,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.6_x,H_in-C_out.6_y,H_in-C_out.6_speed,H_in-C_out.6_angle,H_in-C_out.7_x,H_in-C_out.7_y,H_in-C_out.7_speed,H_in-C_out.7_angle,H_in-C_out.8_x,H_in-C_out.8_y,H_in-C_out.8_speed,H_in-C_out.8_angle,C_in-E_out.20_x,C_in-E_out.20_y,C_in-E_out.20_speed,C_in-E_out.20_angle,H_in-C_out.9_x,H_in-C_out.9_y,H_in-C_out.9_speed,H_in-C_out.9_angle,H_in-C_out.10_x,H_in-C_out.10_y,H_in-C_out.10_speed,H_in-C_out.10_angle,E_in-C_out.0_x,E_in-C_out.0_y,E_in-C_out.0_speed,E_in-C_out.0_angle,E_in-C_out.1_x,E_in-C_out.1_y,E_in-C_out.1_speed,E_in-C_out.1_angle,E_in-C_out.2_x,E_in-C_out.2_y,E_in-C_out.2_speed,E_in-C_out.2_angle,H_in-C_out.11_x,H_in-C_out.11_y,H_in-C_out.11_speed,H_in-C_out.11_angle,E_in-C_out.3_x,E_in-C_out.3_y,E_in-C_out.3_speed,E_in-C_out.3_angle,E_in-C_out.4_x,E_in-C_out.4_y,E_in-C_out.4_speed,E_in-C_out.4_angle,E_in-C_out.5_x,E_in-C_out.5_y,E_in-C_out.5_speed,E_in-C_out.5_angle,H_in-C_out.12_x,H_in-C_out.12_y,H_in-C_out.12_speed,H_in-C_out.12_angle,H_in-C_out.13_x,H_in-C_out.13_y,H_in-C_out.13_speed,H_in-C_out.13_angle,H_in-C_out.14_x,H_in-C_out.14_y,H_in-C_out.14_speed,H_in-C_out.14_angle,H_in-C_out.15_x,H_in-C_out.15_y,H_in-C_out.15_speed,H_in-C_out.15_angle,H_in-C_out.16_x,H_in-C_out.16_y,H_in-C_out.16_speed,H_in-C_out.16_angle,E_in-C_out.6_x,E_in-C_out.6_y,E_in-C_out.6_speed,E_in-C_out.6_angle,scenario,participant_id,source_file
14277,14277,425.6665469559794,1568022698.98315,425.6665469559794,-113.27821682146431,581.6352141544618,79.45883819488456,696.0882323860501,0.9978470802307128,591.7076346930719,106.592063107643,735.4523056632762,0.989589512348175,596.6827290049922,45.44665558221803,733.005932091831,0.996728777885437,562.4546929553417,143.90748384981973,753.9654723335804,0.7817135453224182,605.3241281550454,3.1360087467853863,754.3477276099647,0.839375913143158,445.8461059151339,203.6295506007512,589.908549371391,0.9022899866104126,447.12665466059644,-42.60695522025842,614.7262492554368,0.9286221861839294,522.9388730916185,283.3007881709796,368.7452887301408,0.7163922190666199,526.7332533967393,-125.35027922545004,318.37489654780603,0.924726128578186,707.4195021445128,317.0997016599372,181.6365431470917,0.8879692554473877,747.6582442519035,-136.51268153286006,168.48074792650232,0.6094108819961548,342.5014346666165,154.18203315061115,170.34987163936668,0.007381170988082886,342.9643247811414,-26.219940418096357,104.81427683892136,0.4180549681186676,626.2539397084612,217.1428121035605,75.78018723377974,0.30445557832717896,585.5887448494248,-32.88439470462752,-67.24355533587351,0.379567414522171,405.9753176971209,200.04217682320598,-540.3878346997903,0.014972269535064697,395.3127226988058,-63.99551121305413,-624.8355183905655,0.017358332872390747,3209.23,439.3961878239176,4.006654695597941,359.14661878239184,3203.3266546955983,409.9776243521647,7.983345304402058,179.77,3203.01,488.6442790477626,7.986690608804118,179.77,3201.726654695598,635.3042790477626,7.966726522010293,179.46,3204.41,1048.0824833874535,7.073381217608234,359.45,3197.57327347799,710.5208260037421,7.973273477989707,175.19,2812.5357209522376,880.12,7.963345304402059,89.69,3202.69,796.3011133093913,9.229892260381472,179.99,3202.28,925.6142072213504,7.273273477989707,179.45,3202.146654695598,939.7642072213504,7.266690608804118,179.45,2649.5901077396184,841.0157209522372,7.953381217608235,353.93,3201.9266546955982,963.1009696565668,8.046690608804116,179.45,3200.496654695598,1112.3275166125459,7.143345304402058,179.45,3200.36,1126.537516612546,7.1733812176082346,179.45,2762.987301133309,609.0559364314744,7.97,318.5830579987527,,,,,,,,,,,,,,,,,,,,,2c,2,1568022227
14278,14278,425.7,1568022699.0165296,425.7,-79.3049043661492,582.1688108518256,79.45757194460872,694.6779960357751,0.9979403018951416,591.505645363455,107.222591017504,735.9143079353345,0.988865852355957,594.7369680458588,44.543020936016255,732.162087070767,0.9963802099227904,569.9517740982176,141.5469736808974,756.3089623436459,0.6432286500930786,596.9054481291316,1.4162695535724763,752.0527984713885,0.8082898855209351,441.1783908054374,203.1715554973605,589.1543933495553,0.93353533744812,442.6288077804908,-43.81448086994421,612.8046350578151,0.9368239641189576,529.7968233835675,282.66379080232787,371.99315772914565,0.7232482433319092,532.3567971110913,-123.81392014565834,321.4869996998657,0.9176181554794312,702.105088496366,308.9416766008398,184.56671726141155,0.8554153442382812,746.0326812522528,-142.58608855949248,168.91671972619048,0.5175333619117737,357.796738811421,153.4739109320783,172.7121327558757,0.009591758251190186,347.68155717249886,-24.87042629020739,107.76430651055092,0.4000900983810425,625.4435195615772,214.32991989349392,66.04371673919658,0.18237176537513733,541.4450252065928,-34.421970766455885,-101.97231670788008,0.16367477178573608,387.30088379914565,219.31553996241368,-592.4603886631373,0.011666029691696169,404.77707726336547,-67.70711321805007,-612.4838287671778,0.03182211518287659,3209.23,439.53,4.01,359.16,3203.33,409.71,7.98,179.77,3203.01,488.38,7.98,179.77,3201.73,635.04,7.95,179.46,3204.41,1048.32,7.06,359.45,3197.59,710.29,7.99,175.19,2812.8,880.12,7.96,89.69,3202.69,795.99,9.26,179.99,3202.28,925.37,7.29,179.45,3202.15,939.52,7.26,179.45,2649.56,841.28,7.94,353.93,3201.93,962.83,8.04,179.45,3200.5,1112.09,7.14,179.45,3200.36,1126.3,7.16,179.45,2762.81,609.26,7.97,318.66,,,,,,,,,,,,,,,,,,,,,2c,2,1568022227
14279,14279,425.7332116338102,1568022699.0499074,425.7332116338102,-79.3049043661492,584.0779281666702,79.06268478919688,697.1677031563904,0.9972744584083556,591.2209273929285,107.32404252740663,736.5071147138831,0.9890156984329224,596.5776220295892,45.07222767248866,732.3890284384006,0.9969780445098876,560.1977990268333,144.8246165798257,752.9868529048417,0.7868473529815674,604.7253296415771,1.0252733242232477,755.3153164493045,0.8438467979431152,437.4944533714427,203.88013790219608,587.5766132815829,0.9151923656463624,447.2582950549307,-43.51970607240925,612.7796754874918,0.9328230619430542,527.4826725313671,281.9245552984551,370.1223447963797,0.7508493661880493,530.2880771255019,-125.11208398931083,321.85589905400207,0.9308812022209167,715.2656615348726,310.3146307348353,194.006094825334,0.9208405017852784,749.1745667391386,-144.0504596736379,170.4092307540813,0.5522935390472412,351.9401263320028,154.00423000958475,169.10627076179566,0.010881394147872923,338.0073509588942,-29.92507067317243,105.19167136889322,0.3753824234008789,674.9177453653316,233.5523390515989,88.83420469700278,0.06290292739868164,604.8866096993511,-26.2165474736149,-58.19294197046229,0.3744634389877319,471.3909781839278,218.3519508443533,-486.6653942742497,0.02619084715843201,400.27159638304084,-67.83311900551942,-609.1196510554727,0.022817432880401608,3209.226678836619,439.66284653524076,4.016642326762038,359.18989047042913,3203.33,409.4443069295185,7.986642326762039,179.77,3203.0133211633806,488.11430692951853,7.970036509856943,179.77,3201.733321163381,634.7743069295185,7.9632846535240756,179.46,3204.4066788366194,1048.5591237634333,7.0932116338101885,359.45,3197.609926980286,710.0641608900906,7.976715346475924,175.19,2813.0656930704818,880.1233211633811,7.956678836618981,89.69,3202.69,795.6811318055652,9.266642326762037,179.99,3202.2833211633806,925.1308762365668,7.26010952957083,179.45,3202.153321163381,939.2808762365668,7.2533576732379625,179.45,2649.533430692952,841.5423719071006,7.943321163381019,353.93,3201.93,962.5609857661377,8.059926980286113,179.45,3200.5,1111.8508762365666,7.143321163381018,179.45,3200.3633211633805,1126.0641973999475,7.1334306929518485,179.45,2762.633978340806,609.4559486394801,7.973321163381018,318.58361324223665,,,,,,,,,,,,,,,,,,,,,2c,2,1568022227
14280,14280,425.7663658577088,1568022699.0832276,425.7663658577088,-78.2550377889846,592.2746228538505,79.16216301037505,697.8723109644342,0.9970581531524658,588.4550722097686,107.5884960448254,735.7896203189848,0.9878382682800292,593.0118489170446,44.92491007262677,731.3798312509622,0.9960966110229492,559.1037185865838,143.84543534271546,751.8998035457039,0.7191428542137146,605.6758918117965,0.13187669302845606,755.6755557740578,0.8188435435295105,440.74255054566413,202.51093207726018,588.3399796697997,0.9342249631881714,434.97625303176363,-45.478874465084715,607.3310201855977,0.9438031911849976,531.1954437272847,281.4880146802182,371.0923899188558,0.7673924565315247,526.4344510620298,-126.53656034464451,318.97276692094175,0.928779363632202,694.2254611126407,307.68508168560084,182.55283742621629,0.9130184650421144,741.6965728381504,-146.90697922547966,164.91325642610002,0.5585638880729675,327.85694921875665,153.69381995500044,166.70104856688278,0.11624997854232788,337.38921275425037,-34.05951805291731,104.87938945592748,0.4535319805145264,649.016217240313,221.3013685012535,65.71813391966947,0.09901732206344603,635.4640988611425,-23.93560400513439,-35.9786426045097,0.3331270217895508,496.70457018554237,241.46389766528625,-485.4113532193844,0.004665970802307129,470.8642930110402,-61.12735316012505,-533.8087838065734,0.010525435209274292,3209.223363414229,439.7954634308352,4.023273171541764,359.21972927193787,3203.33,409.17907313832944,7.993273171541762,179.77,3203.016636585771,487.84907313832946,7.9600902426873565,179.77,3201.73663658577,634.5090731383294,7.976546343083527,179.46,3204.4033634142293,1048.7978341755033,7.126365857708817,359.45,3197.629819514625,709.8387121675801,7.9634536569164736,175.19,2813.3309268616704,880.1266365857707,7.953363414229117,89.69,3202.69,795.372797523308,9.273273171541764,179.99,3202.286636585771,924.8921658244963,7.230270728062066,179.45,3202.1566365857707,939.0421658244964,7.246726828458238,179.45,2649.506907313833,841.8042902758998,7.946636585770882,353.93,3201.93,962.2924365525586,8.079819514625289,179.45,3200.5,1111.6121658244963,7.1466365857708825,179.45,3200.3666365857707,1125.8288024102674,7.106907313832947,179.45,2762.4582609541435,609.651558560482,7.9766365857708825,318.50735852726973,,,,,,,,,,,,,,,,,,,,,2c,2,1568022227
14281,14281,425.8,1568022699.1170301,425.8,-83.6113799956603,591.6858778966896,79.1863113988412,700.1668377151344,0.9966224431991576,588.0962744219621,105.95824242244757,736.0606374295422,0.9913040399551392,595.9771660889132,44.81451943859657,733.3518436865373,0.9963390827178956,557.1367706896766,142.52704273485324,752.4791708105001,0.7316151857376099,605.4103975685796,-0.5896757880127019,756.5145978049281,0.8340579271316528,437.57214942752273,202.55357618264145,587.1982272238513,0.9201052784919742,446.66515572311346,-46.18694836263962,612.2687450749565,0.9480335116386414,531.5105909399275,284.1283122931233,361.31623843287343,0.973340392112732,535.819038589701,-126.005307531564,324.96367136007774,0.9436436295509338,707.4064294182747,305.129832659811,189.49044797313138,0.9109498262405396,737.1642770277641,-148.36862231644545,160.83807873973993,0.5163860321044922,334.58436227550044,163.83802697751767,158.24409143301816,0.04835808277130127,343.46740521816866,-38.542306196109216,112.7093329000877,0.4031443297863007,622.1671485780284,213.89258062030063,46.038646541251495,0.1046282947063446,686.6035469182965,-25.48874627705681,2.553000544180179,0.3204929828643799,524.8218650252707,230.92306088708145,-465.77843622179637,0.011265426874160768,641.4174184286369,-42.71564734912253,-354.84762303574814,0.003408670425415039,3209.22,439.93,4.03,359.25,3203.33,408.91,8.0,179.77,3203.02,487.58,7.95,179.77,3201.74,634.24,7.99,179.46,3204.4,1049.04,7.16,359.45,3197.65,709.61,7.95,175.19,2813.6,880.13,7.95,89.69,3202.69,795.06,9.28,179.99,3202.29,924.65,7.2,179.45,3202.16,938.8,7.24,179.45,2649.48,842.07,7.95,353.93,3201.93,962.02,8.1,179.45,3200.5,1111.37,7.15,179.45,3200.37,1125.59,7.08,179.45,2762.28,609.85,7.98,318.43,,,,,,,,,,,,,,,,,,,,,2c,2,1568022227
14282,14282,425.8330222525793,1568022699.1498814,425.8330222525793,-83.66177874389871,584.3858972521326,77.82459986792327,698.0299514651211,0.9971172213554382,584.2593872498599,104.65046549187905,735.3100641816515,0.9940030574798584,592.6038764905937,42.35755526825439,732.1215294371966,0.9968528151512146,559.0347877776896,140.20016899265914,754.5493457520095,0.7152912020683289,602.7011753717687,-3.6872790462055267,754.1199044330463,0.80999755859375,440.28121182798486,201.5094078793421,589.2459954745627,0.9343666434288024,438.6973964239164,-46.80371621897415,609.9577294116502,0.9484281539916992,534.4562289148703,279.3977427913419,365.0702280313568,0.9676213264465332,529.942624476614,-127.35122087258199,323.28248758877896,0.95657616853714,718.7549695218735,312.4950113566238,196.52745628272373,0.9099828004837036,736.01162297142,-150.19524918121866,159.78741220442615,0.5052083730697632,337.9433915880505,168.9966184723399,144.0584526162819,0.1901042461395264,354.40426335384626,-46.00216605641646,118.5665981551246,0.5087096095085144,621.7996630537809,206.78114829360047,43.322955229729956,0.0923011302947998,608.0847274724156,-34.05799341458402,-50.174969791741546,0.33451682329177856,537.1971963658274,222.41511485181442,-464.5937426511363,0.02209872007369995,749.8236691901276,-31.388393306003238,-242.1378126068594,0.004724353551864624,3209.22,440.0620890103176,4.03,359.25660445051585,3203.33,408.64912420462286,7.983488873710308,179.77,3203.02,487.31582197936484,7.963208901031753,179.77,3201.74,633.9758219793648,7.9800933242261864,179.46,3204.3966977747423,1049.2744579933135,7.14018664845237,359.45,3197.7028356041274,709.3061952762697,7.963208901031753,172.90486012150672,2813.864178020635,880.13,7.966511126289692,89.69,3202.69,794.7594975015276,9.246977747420617,179.99,3202.2933022252582,924.4122397814284,7.213208901031753,179.45,3202.16,938.5622397814284,7.2135821979364945,179.45,2649.453582197937,842.3308757953772,7.95,353.93,3201.9333022252576,961.7558219793648,8.083488873710309,179.45,3200.5033022252583,1111.1355420066864,7.143395549484124,179.45,3200.3733022252577,1125.3555420066864,7.093208901031753,179.45,2762.108284286588,610.0481335154764,7.973395549484124,318.43,,,,,,,,,,,,,,,,,,,,,2c,2,1568022227
14283,14283,425.86647781332766,1568022699.1831632,425.86647781332766,-71.95527087373661,594.8038535485855,73.61261589796109,701.1879966769118,0.9973893761634828,590.3858562680966,99.56036008735387,737.0358033641202,0.9967069625854492,604.3870029954144,39.79330991249924,736.2946813823642,0.997200846672058,566.9630467006418,135.7297617807074,754.5004274591784,0.7465353608131409,615.3595295389223,-5.29415850349293,757.1519692462523,0.8519861698150635,440.7426407013935,201.29029099818024,588.9416642022734,0.9109752178192142,458.64914338196013,-47.865097913321115,612.8944060545481,0.9654831886291504,532.8304066742721,281.29821256703497,358.5555864624878,0.973447561264038,519.0040097983589,-126.993941100165,370.557378871539,0.23188820481300354,718.7745390012174,303.7166425792853,190.77246373038804,0.9277503490447998,744.2808434247461,-151.7748242717195,158.90622287241902,0.7348667979240417,342.71397906976415,170.88097554202128,136.59055057242352,0.35284632444381714,348.67325255860436,-37.18944367604831,165.2828701483061,0.8277730941772461,624.3797353604111,205.4232947474252,23.640543064383593,0.06267213821411133,580.9724830355833,-37.043198323941404,-69.11813321247891,0.3389571011066437,533.8950643633432,218.17397918275842,-473.3499717887088,0.015019565820693968,781.622299803272,-30.89754609541008,-207.36958309668262,0.002873331308364868,3209.22,440.19591125331016,4.03,359.26329556266546,3203.33,408.3848252747123,7.96676109333622,179.77,3203.02,487.0481774933795,7.9765911253310255,179.77,3201.74,633.7081774933796,7.9700566560017325,179.46,3204.393352218667,1049.5119924746255,7.120113312003464,359.45,3197.756364501324,708.9984041173865,7.9765911253310255,170.58973531773282,2814.131822506621,880.13,7.983238906663779,89.69,3202.69,794.4550518987191,9.21352218667244,179.99,3202.296647781333,924.1713597440416,7.2265911253310255,179.45,3202.16,938.3213597440416,7.186817749337952,179.45,2649.426817749338,842.5951747252877,7.95,353.93,3201.936647781333,961.4881774933797,8.06676109333622,179.45,3200.506647781333,1110.8980075253744,7.136704437334488,179.45,3200.376647781333,1125.1180075253744,7.1065911253310245,179.45,2761.934315370697,610.2488668799654,7.966704437334488,318.43,,,,,,,,,,,,,,,,,,,,,2c,2,1568022227
14284,14284,425.9,1568022699.2165115,425.9,-109.87908962428403,581.0048386961776,70.17280284829046,690.1671623373662,0.9964821338653564,583.8021412550994,100.2409830254022,732.1696306512576,0.9953501224517822,591.382865868934,37.74103173245713,729.2998917256168,0.9960662126541138,568.8002619672012,131.18772867752295,753.0561647382367,0.6173940300941467,607.3270379704643,-8.487160906191344,751.6450094160764,0.774897575378418,440.4399021955629,186.93322377275737,589.1668061660023,0.6420903205871582,444.621655259759,-48.55472892548671,610.1697652803338,0.955482006072998,533.3337227492068,284.3342354789238,356.9117585375166,0.9722013473510742,533.0911940589798,-130.41783879544406,333.4481210624984,0.9439567327499392,719.5484309378163,302.0374186914148,188.64647558982605,0.8876820206642151,745.1668839616956,-153.4598970112474,165.18032061686986,0.2929049134254456,338.99750549328576,170.28401910594772,129.67594211456046,0.233322411775589,356.73854178952865,-45.70587206305295,129.46123831158712,0.5620323419570923,594.7955987585755,205.72354669314137,-5.895624375956688,0.15074864029884338,589.5799881817991,-38.00977636320484,-51.83052257401603,0.4417950510978699,528.1882776931059,217.03010083813967,-477.78435476703277,0.049875348806381226,797.7402293855667,-26.67980730076716,-188.24023608477432,0.0027285516262054443,3209.22,440.33,4.03,359.27,3203.33,408.12,7.95,179.77,3203.02,486.78,7.99,179.77,3201.74,633.44,7.96,179.46,3204.39,1049.75,7.1,359.45,3197.81,708.69,7.99,168.27,2814.4,880.13,8.0,89.69,3202.69,794.15,9.18,179.99,3202.3,923.93,7.24,179.45,3202.16,938.08,7.16,179.45,2649.4,842.86,7.95,353.93,3201.94,961.22,8.05,179.45,3200.51,1110.66,7.13,179.45,3200.38,1124.88,7.12,179.45,2761.76,610.45,7.96,318.43,,,,,,,,,,,,,,,,,,,,,2c,2,1568022227
14285,14285,425.9341421556943,1568022699.2506626,425.9341421556943,-109.98986203698915,578.725344253817,70.97492582406649,692.4803401063281,0.9959125518798828,591.1129006423907,97.23179998917415,735.2248820722548,0.9975046515464784,592.2647784188849,35.87802215912207,731.8004048976143,0.9966881275177002,573.248674778611,129.04170634805135,755.9908290649196,0.7598600387573242,612.5359742659156,-12.01917950286335,755.4813979986208,0.8422567844390869,437.1140288936864,197.9247714259656,588.1125658846086,0.906191110610962,444.8526410671708,-53.527842184989964,607.0633421673598,0.9628395438194276,537.7965723007367,283.98890825529304,358.29258550207163,0.9722724556922911,518.5962651078315,-129.93026757074546,369.94303269725447,0.17132368683815002,709.3894116119648,303.1175037228696,181.0090961852796,0.8757598400115967,752.0025565282974,-150.9230574486583,163.92557844845447,0.6813684701919556,341.0918604495592,171.25365143352508,125.09974742274508,0.3948942720890045,354.7302243087346,-37.75924734618416,166.39408557815156,0.802593469619751,581.4131202146264,204.3227805415479,-21.548042069711386,0.10860472917556764,586.0503750619271,-43.787963005438925,-47.64120737808349,0.2749320566654205,510.6444660108737,217.18625662948966,-496.25354236149286,0.05092817544937134,536.8767809345945,-70.14868204072754,-468.1699955635991,0.0017909407615661621,3209.216585784431,440.4699828383467,4.026585784430568,359.2290294131668,3203.333414215569,407.8468627544455,7.9670710778471605,179.77,3203.02,486.50686275444536,7.979757353291704,179.77,3201.743414215569,633.1702769700149,7.970242646708296,179.46,3204.39,1049.9889950898603,7.093171568861137,359.45,3197.8646274491107,708.4032058921678,7.99,168.35194117366638,2814.6697230299847,880.1334142155695,7.9795147065834096,89.69,3202.69,793.8358921676123,9.190242646708297,179.99,3202.3,923.6841764790007,7.233171568861136,179.45,3202.163414215569,937.8341764790007,7.173656862277727,179.45,2649.3692720598747,843.1331372455545,7.953414215569433,353.93,3201.9434142155687,960.943448538876,8.073899508986022,179.45,3200.513414215569,1110.4175906945702,7.119757353291704,179.45,3200.38,1124.6375906945702,7.109757353291704,179.45,2761.57904657482,610.6548529341659,7.956585784430567,318.43,,,,,,,,,,,,,,,,,,,,,2c,2,1568022227
14286,14286,425.9666496639176,1568022699.2831786,425.9666496639176,-79.6292818590696,582.4662890188323,71.54303917486527,693.2369593690947,0.9959053993225098,591.15952395649,97.4127558107978,736.2474287904688,0.997602105140686,595.8351218085646,35.003217136093234,733.2859294511935,0.997150719165802,567.7260717326478,128.34555986177378,754.28000641848,0.6826918721199036,617.2315842503987,-13.732775201400392,755.5853390202924,0.8412929773330688,442.5825072042141,182.6294558895735,593.2379772503144,0.7887547016143799,440.38711275191145,-54.6736380429829,605.4575945415627,0.9610061645507812,538.3904789470405,281.7438521053828,357.7468266067988,0.9657400846481324,508.55940897858324,-129.89105507583906,386.2451948804298,0.1734771430492401,707.860454704631,307.9150576930412,181.18717414980512,0.8675401210784912,751.9015442571377,-150.33076972631864,157.44755504576972,0.616515576839447,344.0487649467701,172.7383492432712,124.27268774241085,0.3037600517272949,362.84465042482833,-35.913024078956134,179.96669372895138,0.8072209358215332,567.2659941360778,205.69144585103803,-37.50895406907142,0.12260839343070985,599.6938057428438,-39.95328218758264,-20.455846321831764,0.35413897037506104,494.0279675521277,220.36798740884063,-515.3769883453356,0.04870206117630005,680.0333083542114,-43.63270274278239,-313.9264972602829,0.0033714473247528076,3209.2133350336076,440.6032636220623,4.0233350336082365,359.1900204032988,3203.336664966392,407.5868026886589,7.9833248319588135,179.77,3203.02,486.246802688659,7.970005100824713,179.77,3201.746664966392,632.9134676550507,7.979994899175288,179.46,3204.39,1050.2165476474233,7.086670067216474,359.45,3197.916639462268,708.130142823092,7.99,168.4299591934023,2814.9265323449486,880.1366649663918,7.960010201649423,89.69,3202.69,793.5368230919577,9.19999489917529,179.99,3202.3,923.4501224197929,7.226670067216474,179.45,3202.166664966392,937.6001224197933,7.186659865567052,179.45,2649.340015302474,843.3931973113409,7.956664966391762,353.93,3201.9466649663923,960.6801377222673,8.09665476474234,179.45,3200.516664966392,1110.186787386185,7.110005100824711,179.45,3200.38,1124.406787386185,7.1000051008247125,179.45,2761.406756781237,610.8498979835058,7.953335033608237,318.43,,,,,,,,,,,,,,,,,,,,,2c,2,1568022227
