,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.8_x,H_in-C_out.8_y,H_in-C_out.8_speed,H_in-C_out.8_angle,H_in-C_out.10_x,H_in-C_out.10_y,H_in-C_out.10_speed,H_in-C_out.10_angle,H_in-C_out.11_x,H_in-C_out.11_y,H_in-C_out.11_speed,H_in-C_out.11_angle,C_in-E_out.18_x,C_in-E_out.18_y,C_in-E_out.18_speed,C_in-E_out.18_angle,H_in-C_out.12_x,H_in-C_out.12_y,H_in-C_out.12_speed,H_in-C_out.12_angle,H_in-C_out.13_x,H_in-C_out.13_y,H_in-C_out.13_speed,H_in-C_out.13_angle,C_in-E_out.19_x,C_in-E_out.19_y,C_in-E_out.19_speed,C_in-E_out.19_angle,C_in-E_out.20_x,C_in-E_out.20_y,C_in-E_out.20_speed,C_in-E_out.20_angle,C_in-E_out.21_x,C_in-E_out.21_y,C_in-E_out.21_speed,C_in-E_out.21_angle,H_in-C_out.14_x,H_in-C_out.14_y,H_in-C_out.14_speed,H_in-C_out.14_angle,D_in-A_out.7_x,D_in-A_out.7_y,D_in-A_out.7_speed,D_in-A_out.7_angle,A_in-D_out.16_x,A_in-D_out.16_y,A_in-D_out.16_speed,A_in-D_out.16_angle,C_in-E_out.22_x,C_in-E_out.22_y,C_in-E_out.22_speed,C_in-E_out.22_angle,H_in-C_out.15_x,H_in-C_out.15_y,H_in-C_out.15_speed,H_in-C_out.15_angle,H_in-C_out.16_x,H_in-C_out.16_y,H_in-C_out.16_speed,H_in-C_out.16_angle,E_in-C_out.0_x,E_in-C_out.0_y,E_in-C_out.0_speed,E_in-C_out.0_angle,H_in-C_out.17_x,H_in-C_out.17_y,H_in-C_out.17_speed,H_in-C_out.17_angle,H_in-C_out.18_x,H_in-C_out.18_y,H_in-C_out.18_speed,H_in-C_out.18_angle,E_in-C_out.1_x,E_in-C_out.1_y,E_in-C_out.1_speed,E_in-C_out.1_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,H_in-C_out.20_x,H_in-C_out.20_y,H_in-C_out.20_speed,H_in-C_out.20_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,H_in-C_out.23_x,H_in-C_out.23_y,H_in-C_out.23_speed,H_in-C_out.23_angle,H_in-C_out.24_x,H_in-C_out.24_y,H_in-C_out.24_speed,H_in-C_out.24_angle,H_in-C_out.25_x,H_in-C_out.25_y,H_in-C_out.25_speed,H_in-C_out.25_angle,H_in-C_out.26_x,H_in-C_out.26_y,H_in-C_out.26_speed,H_in-C_out.26_angle,scenario,participant_id,source_file
12761,12761,379.8324347101558,1569226576.0458748,379.8324347101558,,617.9634866496301,58.720764350894356,587.9780357852792,0.997555673122406,615.9603798764704,79.67221771105129,624.9473288043288,0.9573076367378236,632.4719439835237,31.83606830850667,627.5409818012338,0.9770156145095824,605.0925853906597,115.00538174869908,639.9547740613508,0.7514293789863586,579.3786127246258,-14.351250133375904,622.8057535325331,0.8715019226074219,506.7156852318451,154.67281505924848,532.1551634036235,0.9529292583465576,507.4073997336882,-73.11377861796356,512.3762222365647,0.6032540202140808,541.8285808851737,235.2434132530098,334.65428655626744,0.7014315128326416,549.136140357791,-184.0791487586373,307.47122427822103,0.9081628322601318,671.0266394585694,305.2553854420492,148.6593632852099,0.7550313472747803,743.8678212896721,-226.06711403769526,144.44095645556632,0.7518466114997864,323.36048142633166,154.04271888073782,147.20273961494624,0.6981217265129089,387.50837445620783,-28.91952682909807,142.05271974231462,0.1339830458164215,356.21686020323233,155.60630984043317,-199.9747867447325,0.6638019680976868,555.1248721041909,-23.296434554851643,2.1243249696847784,0.5980321168899536,277.07031609338475,206.9606941419828,-612.7222567904188,0.03772848844528198,448.853990628573,-88.13716693393292,-384.85422111910276,0.06521183252334595,3208.8070261159382,395.18514743484155,5.493243471015584,357.61106992023633,3206.16,80.54620049992472,6.990269586953249,179.26,3204.16,217.56295702890912,7.066756528984415,179.51,3203.8532434710155,278.38052231875326,7.9702695869532505,179.75,3203.57,1135.8105560290594,6.7435130579688325,359.45,3202.3032434710162,573.5794439709402,6.776756528984415,179.46,3202.96,502.19052231875327,7.959730413046751,179.78351305796883,3203.7,1122.2205560290597,6.6621651232025885,359.45,3203.83,1108.687312558044,6.6532434710155846,359.45,3203.97,1093.8473125580442,6.659730413046751,359.45,3198.9670345435143,704.2105223187532,7.949730413046751,154.547843304374,2362.073487775239,113.28351305796885,11.317026115937665,268.77,3315.5332434710162,66.53700926078447,7.47784330437401,178.76,3204.586756528985,1029.7821819783558,8.733243471015584,359.45,3025.876234210231,881.2132434710156,7.987026115937664,89.71,2955.7262342102313,880.86,7.980269586953249,89.71,3202.69,769.3780876085974,8.956486942031168,179.99,2706.2394776812466,879.5532434710154,7.9702695869532505,89.69,2647.5502780145302,866.3551474348415,6.415678181171421,28.64252741349841,3202.133243471016,941.3583571955506,9.33,179.45,2717.707017688361,661.1951474348415,6.736486942031168,322.4,2723.12053074633,653.2783909058571,6.965678181171421,320.4870682538206,2771.5972872753136,598.0219039638259,6.89,318.76108677538963,,,,,,,,,,,,,,,,,,,,,2c,27,1569226154
12762,12762,379.8658544679288,1569226576.0792494,379.8658544679288,,622.0572085211761,64.74801007479937,588.2250583161257,0.99804425239563,607.7135667850138,87.57879676571719,618.0888355443923,0.9948914051055908,637.6370289160992,36.74622309168818,627.3295236678064,0.9921835064888,599.4930840336427,115.37549344782164,633.9074119278615,0.7054492831230164,603.9914487619474,-8.744011853876067,631.0051860183846,0.7866867780685425,499.93364394051673,156.87517288836852,518.9155212290578,0.7137043476104736,499.1378248485476,-74.09250604194541,502.36934122890113,0.5785378813743591,546.3778883822201,232.8084197486932,333.78036080994,0.6466476917266846,549.8852269480857,-184.42924933342243,305.67145846933875,0.8708059191703796,671.345161628872,304.7785621863152,148.11795399709567,0.7110717892646791,746.6956053187918,-227.2567737205161,145.56199799588316,0.7946580648422241,326.3798662716603,152.5306027900469,156.0984816819524,0.6947606801986694,397.63934250103074,-23.31513112334091,125.86711183178343,0.008960485458374023,364.30995037174483,161.44632032653118,-188.76782007897808,0.7592126131057739,549.4133128075282,-25.617613407527,-22.027291202291735,0.18834787607193,269.0831163941053,208.57678354493854,-615.7623962071215,0.050236910581588745,467.5169605273887,-92.91155109158194,-388.56898506228373,0.0704774260520935,3208.793658212829,395.3656141268149,5.496585446792868,357.44731310714945,3206.16,80.3156041712921,6.980243659621396,179.26,3204.16,217.32901872449924,7.063414553207132,179.51,3203.8565854467934,278.11316425657054,7.960243659621396,179.75,3203.57,1136.037810381915,6.736829106414263,359.45,3202.306585446793,573.3521896180848,6.773414553207132,179.46,3202.96,501.9231642565706,7.969756340378605,179.77682910641425,3203.7,1122.4478103819154,6.705610808307286,359.45,3203.83,1108.9112249351222,6.656585446792867,359.45,3203.97,1094.0712249351222,6.669756340378605,359.45,3199.077319744165,703.9431642565704,7.959756340378605,154.62805072302885,2361.695844512406,113.27682910641428,11.303658212828527,268.77,3315.536585446793,66.27633515015629,7.5580507230288365,178.76,3204.5834145532067,1030.0729338709796,8.73658544679287,359.45,3026.140250296637,881.2165854467929,7.973658212828528,89.71,2955.9902502966365,880.86,7.970243659621396,89.71,3202.69,769.0773097886419,8.963170893585739,179.99,2706.5068357434297,879.5565854467927,7.960243659621396,89.69,2647.663905190958,866.5356141268147,6.45243991472155,30.036131312626022,3202.136585446793,941.0475534482632,9.33,179.45,2717.5699966814927,661.3756141268149,6.743170893585737,322.4,2722.9768257879073,653.4621995736078,7.00243991472155,321.0919658695091,2771.450240341114,598.199028680022,6.89,318.8446361698217,,,,,,,,,,,,,,,,,,,,,2c,27,1569226154
12763,12763,379.9,1569226576.1133487,379.9,-89.13152632051846,619.0855844076126,66.12536867975237,581.4402006764265,0.9967934489250184,618.2179912070079,88.36351329431399,620.5596047776551,0.9935165047645568,638.6249327523692,36.8344622579646,625.6906024058159,0.98811936378479,611.7808497828,117.55190267773754,634.7094028187468,0.6518358588218689,608.4153350709418,-7.325792733685915,630.0648595061758,0.7462260723114014,490.75821760186,157.64305596783691,503.8163510516055,0.3176935017108917,501.7897957492301,-70.82597113720429,499.7809958173393,0.6065692901611328,543.2299993453305,233.2555264620564,332.55811603802897,0.776383101940155,548.7333556978197,-175.81268331501113,309.7153648107358,0.3990887999534607,671.2989907379098,304.1943242022058,148.1949005961128,0.7232873439788818,742.6602614049547,-223.88516397843327,147.90711516533247,0.8099416494369507,314.741215886134,157.16660146609263,151.53939813470612,0.7587644457817078,403.7854312381877,-17.5817457399805,123.9459946350825,0.026164323091506958,579.7316317082563,187.58338806830318,-46.42321562090248,0.2464930713176728,542.972961921593,-14.620468463866768,-12.877743934214154,0.5586168169975281,236.45085842708787,267.8847911876252,-688.3134917472008,0.007601171731948852,498.98001166788146,-91.31330579167542,-388.5432268880279,0.0093153715133667,3208.78,395.55,5.5,357.28,3206.16,80.08,6.97,179.26,3204.16,217.09,7.06,179.51,3203.86,277.84,7.95,179.75,3203.57,1136.27,6.73,359.45,3202.31,573.12,6.77,179.46,3202.96,501.65,7.98,179.77,3203.7,1122.68,6.75,359.45,3203.83,1109.14,6.66,359.45,3203.97,1094.3,6.68,359.45,3199.19,703.67,7.97,154.71,2361.31,113.27,11.29,268.77,3315.54,66.01,7.64,178.76,3204.58,1030.37,8.74,359.45,3026.41,881.22,7.96,89.71,2956.26,880.86,7.96,89.71,3202.69,768.77,8.97,179.99,2706.78,879.56,7.95,89.69,2647.78,866.72,6.49,31.46,3202.14,940.73,9.33,179.45,2717.43,661.56,6.75,322.4,2722.83,653.65,7.04,321.71,2771.3,598.38,6.89,318.93,,,,,,,,,,,,,,,,,,,,,2c,27,1569226154
12764,12764,379.93310524444274,1569226576.1462,379.93310524444274,,621.1788258985155,67.07281160687126,580.5769189445866,0.9968056678771972,619.5220872828072,89.68801173504059,619.3485784793481,0.9959708452224731,638.2234795613856,37.086984972109754,623.0754391086479,0.9910505414009094,608.3784119384319,120.58684398063852,632.6504281900717,0.644727349281311,608.4100732477075,-7.966852540452216,631.5175674776642,0.7481453418731691,484.88048710252144,161.79470211624098,496.2604814654687,0.4117557406425476,507.1237141640924,-67.82287305050565,498.1313854535977,0.572377622127533,563.0668619575156,232.1099226587954,323.83240750790736,0.86965411901474,541.9457529038266,-173.58762626712138,308.40867719217783,0.3710927963256836,675.5860384811955,305.6171082053666,138.10164173168727,0.6577367782592773,746.7796136559638,-223.4380222534557,146.0654881343043,0.824270486831665,327.25915111305216,157.69568535213511,154.1182407593479,0.8603723645210266,397.152661960958,-16.105985102539375,117.94341044295165,0.04428166151046753,653.4431338812285,185.63988443787187,-3.5294639372373524,0.1760815680027008,531.7636254450284,-8.195879441043731,-35.760374082518894,0.6824485659599304,176.13549657816841,269.10305342407935,-765.7555717665675,0.013245612382888794,491.43503778167707,-77.24929161823461,-382.5924451944218,0.055472761392593384,3208.7667579022227,395.73538936887945,5.503310524444276,357.1508895466732,3206.163310524444,79.8482632889007,6.973310524444276,179.26,3204.163310524444,216.8549527644564,7.06,179.51,3203.86,277.5784685689022,7.953310524444276,179.75,3203.566689475556,1136.4884946133222,6.696894755557243,359.45,3202.31,572.8948843377892,6.773310524444276,179.46,3202.96,501.3884685689022,7.970068426667173,179.77,3203.696689475556,1122.8984946133226,6.7168947555572425,359.45,3203.826689475556,1109.3651156622107,6.703036817775586,359.45,3203.9666894755555,1094.5184946133222,6.670068426667173,359.45,3199.2860052088845,703.4150896177907,7.963378951111448,155.25623653330553,2360.935910737797,113.26006842666716,11.303242097777105,268.77,3315.5466210488885,65.74515804445794,7.709521013329791,178.76,3204.576689475556,1030.6580156266518,8.733378951111451,359.45,3026.674841955542,881.22,7.969931573332827,89.71,2956.524841955543,880.8633105244443,7.969931573332827,89.71,3202.69,768.4786738489038,8.936894755557242,179.99,2707.044841955543,879.56,7.963242097777102,89.69,2647.899178879994,866.9053893688796,6.526415768887035,31.787741919983304,3202.143310524444,940.418810702238,9.349863146665657,179.45,2717.294268497785,661.7354577955466,6.753310524444276,322.4,2722.684336924452,653.8386998933238,7.063173671109931,321.938426186655,2771.1576474488957,598.5554577955468,6.8734473777786205,319.0127631111069,,,,,,,,,,,,,,,,,,,,,2c,27,1569226154
12765,12765,379.9664115883252,1569226576.1792507,379.9664115883252,-89.12890666417526,620.6298043050651,66.12229158622628,582.0043188815438,0.9949297904968262,609.1410186518642,98.34711988807236,616.313197967273,0.996532678604126,638.9699894220424,39.643237240437095,625.0894787787556,0.9899075627326964,606.1023128131068,120.88389453817932,627.4773407043076,0.6835734248161316,603.8075413097845,-4.595415453130293,630.1792921014962,0.7504068613052368,494.2062233292551,161.64352905303934,494.59358312091285,0.39446496963500977,498.2156361455649,-70.99920307275501,500.77107478704056,0.6530575752258301,547.0773890114899,235.2789189356773,330.3399204190498,0.6406580209732056,544.5075950539257,-165.8636703938149,307.0080347726929,0.4925058782100678,677.6863155201265,303.28686702191555,137.72328616329446,0.5720764398574829,743.1323490492414,-222.0152846403151,146.8405629475467,0.8711109161376953,315.2831167987323,162.36907489005546,133.8117011908225,0.8327203989028931,375.68788948811584,-28.84256495457069,143.00832280656545,0.5069010853767395,627.5859199241739,190.99310784864414,-23.52228779870609,0.2379194796085357,506.99167785681516,-3.256460051612038,-74.18440408876424,0.6855520009994507,172.95902215494903,299.8572924074241,-778.1199744974185,0.018722206354141242,492.89486874313417,-67.936015637694,-412.25677119482964,0.0944979190826416,3208.7534353646697,395.921904894621,5.506641158832519,357.02099480553176,3206.166641158833,79.61511888172373,6.9766411588325195,179.26,3204.166641158833,216.61847772289119,7.06,179.51,3203.86,277.3153484522311,7.956641158832518,179.75,3203.5633588411674,1136.7083164829464,6.66358841167482,359.45,3202.31,572.6684011993888,6.7766411588325175,179.46,3202.96,501.12534845223115,7.9600765235024475,179.77,3203.6933588411675,1123.118316482946,6.68358841167482,359.45,3203.823358841168,1109.5915988006109,6.746335064822733,359.45,3203.9633588411675,1094.7383164829464,6.660076523502447,359.45,3199.382593606143,703.1586307698959,7.956717682334964,155.80579120736547,2360.559549051925,113.25007652350244,11.31656463533007,268.77,3315.553282317665,65.47870729339856,7.779464335482878,178.76,3204.573358841168,1030.947780818429,8.726717682334964,359.45,3026.941292706601,881.22,7.979923476497554,89.71,2956.791292706601,880.8666411588325,7.979923476497554,89.71,3202.69,768.1855780227384,8.90358841167482,179.99,2707.311292706601,879.56,7.976564635330073,89.69,2648.0190817179705,867.0919048946209,6.563052747157697,32.11747472441929,3202.146641158833,940.1057310697432,9.369846952995108,179.45,2717.1577124878672,661.9119814181234,6.756641158832518,322.4,2722.537789011369,654.0285460534535,7.086488111827626,322.1682399594437,2771.014430170201,598.7319814181234,6.856794205837411,319.09602897081294,,,,,,,,,,,,,,,,,,,,,2c,27,1569226154
12766,12766,380.0,1569226576.2125814,380.0,-91.14807041238448,619.8291553187607,74.51487375546552,585.1809878143235,0.9967764616012572,618.9623656819302,92.09192201523749,619.3439426359422,0.9953218698501588,638.8722829221721,44.46096207313195,626.2538669591431,0.9924999475479126,607.3460988476795,121.59871086089157,630.9245974629653,0.6333322525024414,611.075496941284,-0.25483424041226505,633.8983013872225,0.8248741626739502,495.81171038311936,161.49611729696238,497.0464681635749,0.4095262587070465,494.89915775098495,-70.44221849351193,505.056623960772,0.7256358861923218,540.2553438487674,238.2646072323653,330.7844723271304,0.5717670917510986,539.9421170577776,-162.24467447543242,319.3836870044763,0.3163109421730041,678.3979097757873,302.96255850340395,141.76573520307338,0.4561138153076172,729.3394176887442,-220.0603604274604,148.88967117672038,0.8972129821777344,346.135068241042,159.82532129958258,166.94895136312226,0.8127484321594238,381.12009134352286,-35.3280251045234,160.24464824845782,0.5549517273902893,595.1018468369334,186.82934572317382,-46.2069281223252,0.2431980073451996,500.8810053674552,-6.598061130672335,-93.841169446677,0.8671912550926208,161.26975033221726,286.11988853048393,-792.9428683925412,0.01267087459564209,477.85792867693146,-74.77215774792843,-452.00493145405744,0.6053829193115234,3208.74,396.11,5.51,356.89,3206.17,79.38,6.98,179.26,3204.17,216.38,7.06,179.51,3203.86,277.05,7.96,179.75,3203.56,1136.93,6.63,359.45,3202.31,572.44,6.78,179.46,3202.96,500.86,7.95,179.77,3203.69,1123.34,6.65,359.45,3203.82,1109.82,6.79,359.45,3203.96,1094.96,6.65,359.45,3199.48,702.9,7.95,156.36,2360.18,113.24,11.33,268.77,3315.56,65.21,7.85,178.76,3204.57,1031.24,8.72,359.45,3027.21,881.22,7.99,89.71,2957.06,880.87,7.99,89.71,3202.69,767.89,8.87,179.99,2707.58,879.56,7.99,89.69,2648.14,867.28,6.6,32.45,3202.15,939.79,9.39,179.45,2717.02,662.09,6.76,322.4,2722.39,654.22,7.11,322.4,2770.87,598.91,6.84,319.18,,,,,,,,,,,,,,,,,,,,,2c,27,1569226154
12767,12767,380.0338283220383,1569226576.2465107,380.0338283220383,-85.29758366821406,618.9628308699569,72.49057509678619,586.9676155341905,0.9969919919967652,608.7672099259412,104.53705797727172,618.0042065739152,0.9977751970291138,637.9763099677226,46.90804225662839,628.7828650721767,0.9900952577590942,598.7062754613343,129.99756899147596,626.5055555826501,0.6982717514038086,584.3296198406117,-2.3244988228846,624.170989131319,0.8708517551422119,526.4778325961672,157.44086234378574,533.0563009771573,0.8522337079048157,494.32028316720744,-69.67012999530293,505.90591945489507,0.7784187793731691,534.2575436768656,238.7366788474374,331.26440748983435,0.5987041592597961,540.6204868835304,-161.52259936738216,326.1267323215818,0.18386375904083246,679.9091996249878,306.5774709357508,140.31077255653463,0.4982365667819977,728.3922608418094,-218.53365456730202,148.21319455436316,0.8995069861412048,327.81806800479393,158.8539069197387,154.61805269020883,0.6790423989295961,359.37563195283104,-38.82093678867207,153.2397727455534,0.6436244249343872,539.4816213394597,193.12639843335518,-69.12937747847445,0.08359742164611816,479.26943288180536,-18.120646776922428,-106.96774120925687,0.1822500824928284,170.98797076614818,308.9325916448638,-787.2847906611038,0.02358618378639221,478.5118963969397,-69.8208264435077,-455.099268382424,0.8130040168762207,3208.726468671185,396.2960557712103,5.506617167796176,356.7918978660892,3206.173382832204,79.14320174573244,6.983382832203822,179.26,3204.17,216.1398189135286,7.066765664407645,179.51,3203.86,276.7793734236942,7.96,179.75,3203.556617167796,1137.1566497576562,6.6469141610191125,359.45,3202.313382832204,572.213350242344,6.76646867118471,179.46,3202.963382832204,500.58937342369416,7.95,179.77,3203.686617167796,1123.566649757656,6.6635313288152895,359.45,3203.8166171677967,1110.043266925452,6.742640349146487,359.45,3203.96,1095.1900325898598,6.687211154242048,359.45,3199.5848677983186,702.6293734236943,7.963531328815289,156.2788120271083,2359.794357128764,113.23323433559237,11.353679825426758,268.77,3315.5667656644077,64.93260775928654,7.9142738118726275,178.76,3204.5666171677967,1031.5376892339364,8.757211154242048,359.45,3027.4806265763063,881.22,7.979851503388533,89.71,2957.3306265763063,880.87,7.99,89.71,3202.69,767.5889279338597,8.873382832203822,179.99,2707.8506265763062,879.5633828322037,7.986617167796178,89.69,2648.2482506305223,867.4491416101912,6.623679825426757,32.544719301707026,3202.15,939.4720137728407,9.373085838980886,179.45,2716.8813038796434,662.2726729390064,6.756617167796178,322.4,2722.241155383032,654.4128214356177,7.143828322038225,322.4,2770.7245382152355,599.0926729390063,6.8569141610191116,319.2645708050956,,,,,,,,,,,,,,,,,,,,,2c,27,1569226154
12768,12768,380.06646738755785,1569226576.2792473,380.06646738755785,,625.1818145707922,73.55179642560205,591.7529130633177,0.9961122274398804,613.8543785500409,104.487152014208,623.6704372500446,0.9970545768737792,635.0325537401806,48.30293565121554,628.7636757202807,0.98359477519989,596.3259634694127,135.83189475958932,628.2845168283139,0.7103946805000305,584.6422977845733,2.281424130762481,625.1474015354672,0.9024405479431152,518.9766909463998,164.12541127938283,532.727466706807,0.8898441791534424,500.10918537919457,-67.92459999271367,503.3417949745466,0.7965903282165527,531.1966871992598,237.6033008079531,352.40168814185614,0.2254104018211365,549.9429106595082,-162.27129647355252,307.2408436899835,0.4007403254508972,682.3160998110691,302.29780023559664,144.01249640277624,0.5069006085395813,728.6751991217328,-220.01210064021492,146.995556757475,0.9052006006240844,327.60611494245165,145.94413149598603,168.0972810936687,0.4319631457328797,362.7785592929107,-45.46213577067091,144.67272669257113,0.7147743105888367,479.50550935052274,205.38313654619046,-80.39460312769873,0.06629595160484314,437.7451817811357,-23.132223596250054,-143.8602369501039,0.7746284008026123,151.15893293427015,286.414679514987,-761.2829862425206,0.011839538812637327,473.898854932032,-65.82365516489878,-473.3817329249911,0.681540310382843,3208.7134130449767,396.4755706315681,5.503353261244216,356.6972445760823,3206.176646738756,78.91472828709516,6.986646738755784,179.26,3204.17,215.9080815483394,7.073293477511567,179.51,3203.86,276.5182608995373,7.96,179.75,3203.5533532612444,1137.3753314966375,6.663233693778918,359.45,3202.316646738756,571.9946685033625,6.753413044976866,179.46,3202.966646738756,500.32826089953727,7.95,179.77,3203.683353261244,1123.7853314966374,6.676586955023135,359.45,3203.8133532612437,1110.2586847578816,6.696945657419032,359.45,3203.96,1095.4119782353937,6.723114126313617,359.45,3199.686048901429,702.3682608995372,7.9765869550231345,156.20047826986118,2359.422271781841,113.22670652248844,11.376527171290483,268.77,3315.5732934775115,64.66496742202575,7.976288036359887,178.76,3204.5633532612437,1031.8249130105091,8.793114126313617,359.45,3027.7417391004633,881.22,7.9700597837326494,89.71,2957.591739100463,880.87,7.99,89.71,3202.69,767.2984402507353,8.876646738755785,179.99,2708.1117391004627,879.5666467387558,7.983353261244218,89.69,2648.3526956401847,867.6123369377891,6.646527171290486,32.636108685161936,3202.15,939.1652065569564,9.356766306221083,179.45,2716.747483711013,662.4489238928122,6.753353261244216,322.4,2722.097543494745,654.5988641090796,7.176467387557834,322.4,2770.584190233501,599.2689238928124,6.873233693778918,319.34616846889463,,,,,,,,,,,,,,,,,,,,,2c,27,1569226154
12769,12769,380.1,1569226576.31288,380.1,-85.11032816449472,622.555095757888,77.71870838429193,590.0904121226379,0.9977812767028807,610.7311275117536,103.05493213864513,622.2788046300317,0.9945721626281738,636.7474786654872,50.41812702801009,631.7823327998526,0.987881362438202,588.9488477824283,144.57852250873594,629.5151517430428,0.6823382377624512,574.677985229014,1.5216496599856202,625.9908864478305,0.8647602796554565,504.69623360064674,170.33921550060742,506.69550102607343,0.6850220561027527,500.1477227425628,-68.28927916668515,504.7865366687294,0.8262237310409546,545.7252797685466,245.116683391106,336.2099219744997,0.7282533049583435,551.0923610712932,-163.60253270122712,305.37317637723334,0.4006589651107788,681.5789537112032,301.30291999275636,139.11688060838318,0.3592036068439484,731.1604327141075,-219.32992318134862,150.568683958122,0.9214410185813904,331.793345050922,153.8074911869015,149.5586585794096,0.6109645366668701,334.4755239372992,-52.582563328740385,115.27231709554144,0.7055155038833618,463.2713039498281,213.79289272536855,-78.50280979955812,0.05735427141189575,402.8130442002012,-22.59817864516359,-174.46289572089265,0.8389219045639038,115.24958349316742,318.22836695385837,-771.495823908378,0.018906444311141968,458.7069567751464,-62.829365960259466,-490.2042033243415,0.7416570782661438,3208.7,396.66,5.5,356.6,3206.18,78.68,6.99,179.26,3204.17,215.67,7.08,179.51,3203.86,276.25,7.96,179.75,3203.55,1137.6,6.68,359.45,3202.32,571.77,6.74,179.46,3202.97,500.06,7.95,179.77,3203.68,1124.01,6.69,359.45,3203.81,1110.48,6.65,359.45,3203.96,1095.64,6.76,359.45,3199.79,702.1,7.99,156.12,2359.04,113.22,11.4,268.77,3315.58,64.39,8.04,178.76,3204.56,1032.12,8.83,359.45,3028.01,881.22,7.96,89.71,2957.86,880.87,7.99,89.71,3202.69,767.0,8.88,179.99,2708.38,879.57,7.98,89.69,2648.46,867.78,6.67,32.73,3202.15,938.85,9.34,179.45,2716.61,662.63,6.75,322.4,2721.95,654.79,7.21,322.4,2770.44,599.45,6.89,319.43,,,,,,,,,,,,,,,,,,,,,2c,27,1569226154
12770,12770,380.1331890943923,1569226576.3460884,380.1331890943923,-90.88293473534144,624.7888868640972,82.11382649838333,594.6445847085972,0.9984531998634338,613.0609848799877,106.55734678331123,626.4325842626179,0.9933193922042848,633.0694535705118,53.791809976994465,634.2603856451224,0.9840871691703796,584.6404325580434,147.84409265049985,628.9402160876314,0.614332914352417,575.4181145039887,6.069771828215322,626.9074474833793,0.8976559638977051,497.78730755028863,173.24259629795074,501.2724131557333,0.7265406847000122,508.9068924969492,-63.42957616358572,496.011270425349,0.8291434049606323,553.3477688381327,248.3546561170838,333.24364795194737,0.8891031742095947,554.9566938458762,-162.8489150599494,306.15539021150363,0.4938050508499146,694.5418872312932,309.686350994692,138.9689807537857,0.8730834722518921,732.3491049169313,-218.54423870753757,148.68841049263088,0.9192675352096558,329.15511439633764,157.2790641391166,154.4423458665711,0.514106810092926,347.6278587475218,-51.35954878648883,120.94285526485788,0.6254816651344299,508.1076981144945,201.6295643301141,-51.83918544092585,0.04570111632347107,381.1694584746624,-22.329204566327714,-181.88107553033768,0.7429975867271423,119.41261735598258,288.86904484169287,-753.314664214163,0.008949577808380127,417.01442115363164,-59.00358702668723,-529.1262631871241,0.6783913969993591,3208.690043271682,396.8425400191577,5.496681090560769,356.5236650828977,3206.183318909439,78.44767633925383,6.9866810905607695,179.26,3204.17331890944,215.4376763392538,7.076681090560768,179.51,3203.86331890944,275.9844872448615,7.966637818878462,179.75,3203.55,1137.8190480229891,6.676681090560769,359.45,3202.32331890944,571.5476330675715,6.7366810905607695,179.46,3202.97,499.7978061543008,7.953318909439231,179.77,3203.68,1124.2323669324285,6.693318909439231,359.45,3203.81,1110.7023669324285,6.65,359.45,3203.956681090561,1095.8623669324286,6.743405452803844,359.45,3199.892886192616,701.8344872448614,7.983362181121538,156.04034617345846,2358.6616443239277,113.21004327168232,11.380086543364616,268.77,3315.586637818879,64.11453051654382,8.096421460466926,178.76,3204.5566810905607,1032.4120640306523,8.820043271682307,359.45,3028.2721938456993,881.2233189094393,7.956681090560769,89.71,2958.1255127551385,880.8733189094393,7.983362181121538,89.71,3202.69,766.7012981504693,8.906551275513849,179.99,2708.642193845699,879.57,7.976681090560769,89.69,2648.5960752870083,867.9592211097183,6.699870184953077,33.43360880111697,3202.15331890944,938.5413414221516,9.353275637756923,179.45,2716.4739247129914,662.8092211097185,6.759956728317692,322.4,2721.8039679846743,654.9791778380361,7.229913456635384,322.4,2770.300605803552,599.6325400191577,6.883362181121537,319.5129727359808,,,,,,,,,,,,,,,,,,,,,2c,27,1569226154
