,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.14_x,H_in-C_out.14_y,H_in-C_out.14_speed,H_in-C_out.14_angle,C_in-E_out.18_x,C_in-E_out.18_y,C_in-E_out.18_speed,C_in-E_out.18_angle,C_in-E_out.19_x,C_in-E_out.19_y,C_in-E_out.19_speed,C_in-E_out.19_angle,H_in-C_out.15_x,H_in-C_out.15_y,H_in-C_out.15_speed,H_in-C_out.15_angle,H_in-C_out.16_x,H_in-C_out.16_y,H_in-C_out.16_speed,H_in-C_out.16_angle,H_in-C_out.17_x,H_in-C_out.17_y,H_in-C_out.17_speed,H_in-C_out.17_angle,C_in-E_out.20_x,C_in-E_out.20_y,C_in-E_out.20_speed,C_in-E_out.20_angle,C_in-E_out.21_x,C_in-E_out.21_y,C_in-E_out.21_speed,C_in-E_out.21_angle,C_in-E_out.22_x,C_in-E_out.22_y,C_in-E_out.22_speed,C_in-E_out.22_angle,D_in-A_out.20_x,D_in-A_out.20_y,D_in-A_out.20_speed,D_in-A_out.20_angle,C_in-E_out.23_x,C_in-E_out.23_y,C_in-E_out.23_speed,C_in-E_out.23_angle,H_in-C_out.18_x,H_in-C_out.18_y,H_in-C_out.18_speed,H_in-C_out.18_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,H_in-C_out.20_x,H_in-C_out.20_y,H_in-C_out.20_speed,H_in-C_out.20_angle,E_in-C_out.0_x,E_in-C_out.0_y,E_in-C_out.0_speed,E_in-C_out.0_angle,E_in-C_out.1_x,E_in-C_out.1_y,E_in-C_out.1_speed,E_in-C_out.1_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,E_in-C_out.2_x,E_in-C_out.2_y,E_in-C_out.2_speed,E_in-C_out.2_angle,E_in-C_out.3_x,E_in-C_out.3_y,E_in-C_out.3_speed,E_in-C_out.3_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,H_in-C_out.23_x,H_in-C_out.23_y,H_in-C_out.23_speed,H_in-C_out.23_angle,E_in-C_out.4_x,E_in-C_out.4_y,E_in-C_out.4_speed,E_in-C_out.4_angle,E_in-C_out.5_x,E_in-C_out.5_y,E_in-C_out.5_speed,E_in-C_out.5_angle,scenario,participant_id,source_file
13992,13992,417.55003458562487,1569237130.8344376,417.55003458562487,-89.2806277445459,557.0270830527124,50.423518336564406,623.7406199668019,0.9991106390953064,557.4994151561009,82.87140381516724,661.2808227222,0.99284565448761,557.6980319488555,18.322372381146714,661.7052562435293,0.9974806308746338,545.4930211549604,120.89546130625723,683.6744258959017,0.7308042049407959,552.9309486990045,-25.233580478990078,682.220963180752,0.9182426333427428,417.4114072153618,182.62826747725853,517.6762196878536,0.9652060270309448,383.6030495884448,-74.92139831496142,475.9167940088665,0.9802192449569702,490.5363673450637,250.0476469401326,317.3264636289412,0.8939237594604492,487.78345173173864,-141.27213003744944,275.5587301346937,0.9858995676040648,658.1056623446412,302.0689245970108,158.63957135558303,0.7880091071128845,748.556075008302,-173.12494078054058,165.30769897604333,0.9193589687347412,434.3831528024076,144.92034334454743,110.12465718695265,0.004569768905639648,361.9566798949615,-37.54299405451374,102.30281036057778,0.3149532079696655,618.9539126440596,191.97685261141186,13.406901977252858,0.13354775309562686,767.5817099113461,-45.44036549412882,45.568050255522024,0.4728723764419556,237.6169443051949,215.5063229711628,-718.5220976970016,0.010204523801803587,329.82454030346526,-65.78317235249551,-637.1350558351796,0.17732512950897214,3208.53,397.8951833038121,5.195051878437375,359.43,3203.58,421.8397579006256,6.980006917124984,179.77,3203.02,1193.3202697678744,7.829993082875018,359.45,3203.82,1109.9402559336245,7.350006917124983,359.45,3201.0900276684997,692.1397579006256,6.99,177.84491353593768,3202.19,585.5797233150008,7.985003458562492,179.46,3201.605003458563,647.9097233150006,7.970013834249968,179.46,3203.9549965414376,1095.5502559336244,7.345024209937441,359.45,3204.714996541437,1016.085266309312,7.655024209937443,359.45,3204.8549965414372,1001.345266309312,7.645010375687475,359.45,2448.2845676796883,125.0698270718754,13.425017292812454,246.08635921505925,3205.98,865.285273226437,7.934989624312525,359.99,3007.2252386408118,881.42,6.9649965414375075,89.71,3174.7053423976868,881.9550034585625,9.964989624312524,89.71,2941.0402766849993,880.79,7.9950034585624925,89.71,3202.7,705.534865116063,3.820083005499801,180.04500345856252,3202.69,784.9697233150008,8.014989624312525,179.99,2747.904816696188,626.065204055187,7.919993082875018,318.43,3199.6450034585628,1200.884754442063,7.1,179.45,3199.4650034585625,1220.2546921879382,8.879986165750033,179.45,,,,,,,,,,,,,,,,,2c,14,1569236662
13993,13993,417.5752477742765,1569237130.8680696,417.5752477742765,,552.7916040310289,50.65941320480058,621.113905572917,0.9990138411521912,552.9620823657241,83.43209691472356,659.479549582963,0.9926351308822632,564.859218838018,16.935640534422568,663.3301554807076,0.997587502002716,548.8753881828974,117.40963546018179,684.4455133501067,0.7029536962509155,556.8438741575596,-26.220103819411165,681.7300764419801,0.9061278104782104,405.58736689328913,181.41898995924538,514.7423056375002,0.9644953012466432,406.9062382221814,-75.73706894300419,485.85560585666815,0.9768096208572388,475.9664958174701,246.69988302549328,313.88219546648514,0.8928972482681274,522.4763872303116,-140.11212614722092,292.78799631038964,0.9856926202774048,667.838936646236,298.4855049563908,164.15295398602916,0.8135965466499329,739.1338043371649,-174.23040152085272,165.1182179331341,0.8880700469017029,435.9677918159736,142.30140206430212,108.78536890184677,0.004801630973815918,356.2024859668024,-37.69334698255949,103.6819701307362,0.2376973628997803,612.3506098377252,187.20173647429425,0.6779473221930061,0.10272875428199768,788.8022208811965,-41.79945524132018,53.05204447774002,0.15803948044776914,237.70887442629697,201.3145080982214,-712.3082400893941,0.0077305734157562265,342.8089270406167,-54.183523331742535,-626.2782713740312,0.03478133678436278,3208.53,398.0288132036656,5.232871661414776,359.43,3203.58,421.6632655800644,6.985049554855302,179.77,3203.02,1193.5169326393566,7.824950445144696,359.45,3203.82,1110.126833529646,7.355049554855302,359.45,3201.110198219421,691.9632655800642,6.99,177.7818805643087,3202.19,585.3780178057879,7.987524777427652,179.46,3201.607524777428,647.7080178057879,7.980099109710608,179.46,3203.952475222572,1095.7368335296462,7.362673441993562,359.45,3204.7124752225727,1016.2794078619294,7.672673441993562,359.45,3204.852475222572,1001.5394078619294,7.652574332282955,359.45,2447.969402821544,124.9437611286174,13.437623887138257,247.07723752906708,3205.98,865.4844574167845,7.927425667717045,359.99,3007.399209642508,881.42,6.9624752225723485,89.71,3174.954952965337,881.9575247774278,9.957425667717043,89.71,2941.241982194212,880.79,7.997524777427651,89.71,3202.7,705.4365336803216,3.88059465826364,180.04752477742767,3202.69,784.768017805788,8.007425667717046,179.99,2747.7711867963344,626.2139618682313,7.914950445144696,318.43,3199.647524777428,1200.7057408026367,7.1,179.45,3199.467524777428,1220.030294808939,8.869900890289395,179.45,,,,,,,,,,,,,,,,,2c,14,1569236662
13994,13994,417.6,1569237130.9010868,417.6,,556.8804821161555,49.33882011046611,622.5659773165032,0.9990510344505308,557.5559111109974,81.99160264820102,659.6363870920542,0.9925655126571656,558.4362312223708,14.653500955556753,660.0035795539701,0.9977844953536988,549.4505669749182,116.08096280403512,684.5365637228757,0.6852238178253174,548.3193979559369,-28.03165023066643,674.7096012103789,0.8968582153320312,396.5711813375937,176.8017528969603,512.8873983717925,0.96605384349823,379.3493274775358,-76.89392270536689,477.65129189521673,0.9760724902153016,494.9754583547493,242.5025583433484,320.01824855267625,0.9017437696456908,511.35417786558327,-142.33355875876563,286.8666498039093,0.9821351766586304,665.399587375221,294.10717040885504,161.8715097290749,0.8660610914230347,734.4047772359613,-175.33645836157996,165.02819912449758,0.808218240737915,433.67484548350603,141.60069405712596,107.01618620693338,0.0061323940753936785,364.4040544532618,-40.81996278069477,110.15523749209585,0.221099466085434,607.4119205558735,185.8344219238944,-18.686258499223925,0.2396713495254517,784.3093500991156,-37.78099706915311,50.49556052795634,0.4618629217147827,298.66274206643305,186.4222636167275,-651.797645631814,0.007487088441848755,389.6075367603083,-39.12501020857896,-579.9312419009128,0.02164191007614136,3208.53,398.16,5.27,359.43,3203.58,421.49,6.99,179.77,3203.02,1193.71,7.82,359.45,3203.82,1110.31,7.36,359.45,3201.13,691.79,6.99,177.72,3202.19,585.18,7.99,179.46,3201.61,647.51,7.99,179.46,3203.95,1095.92,7.38,359.45,3204.71,1016.47,7.69,359.45,3204.85,1001.73,7.66,359.45,2447.66,124.82,13.45,248.05,3205.98,865.68,7.92,359.99,3007.57,881.42,6.96,89.71,3175.2,881.96,9.95,89.71,2941.44,880.79,8.0,89.71,3202.7,705.34,3.94,180.05,3202.69,784.57,8.0,179.99,2747.64,626.36,7.91,318.43,3199.65,1200.53,7.1,179.45,3199.47,1219.81,8.86,179.45,,,,,,,,,,,,,,,,,2c,14,1569236662
13995,13995,417.63339290187895,1569237130.9344554,417.63339290187895,-84.22857702535954,560.165776152845,49.02161613415251,625.1157535195794,0.9988918304443359,553.0022618298078,80.4482872377342,658.8448746575541,0.9950495958328248,564.7844476253239,13.737365166877105,663.0786077834275,0.9978413581848145,545.4192696581756,114.56397142520932,683.2384300129725,0.7763486504554749,562.8046038059014,-28.520790541669818,679.0951854305473,0.888382077217102,399.28457297112925,187.03945917048136,506.17214023766235,0.9857051372528076,373.38157886869993,-79.55594361734231,473.09803368383336,0.9752734899520874,516.0140088820634,240.38339832346168,329.64350524593493,0.905688226222992,523.1371896979426,-143.64836788951655,288.9553182890353,0.9774669408798218,663.4969635199892,292.8770696742908,153.9484922447284,0.8486642837524414,725.9946195825834,-172.02905171848798,165.29615605075207,0.6728149652481079,431.81440008182335,141.95250809484267,108.26053029193064,0.004690676927566528,363.9963832835207,-42.03962637133913,111.02500114518294,0.23009225726127625,606.1542246838644,186.07077233784455,-8.490239150935395,0.2833836078643799,784.0146892987923,-35.22687933656461,47.894563978503214,0.38855689764022827,390.9871849759583,173.37139456049934,-565.1399731290396,0.005964338779449463,438.34592134290637,-23.949652172467772,-529.0291872719855,0.0039743781089782715,3208.5266607098124,398.32696450939466,5.183178455114762,359.4400178705637,3203.58,421.25624968684747,6.9866607098121065,179.77,3203.016660709812,1193.9738039248434,7.8500536116910435,359.45,3203.816660709813,1110.5537681837159,7.33328567849685,359.45,3201.1567143215034,691.5595889770352,6.979982129436319,177.63651774530263,3202.193339290188,584.9161960751562,7.973303549060532,179.46,3201.613339290188,647.2461960751564,7.973303549060532,179.46,3203.95,1096.1637681837162,7.343267807933168,359.45,3204.71,1016.7271253444678,7.676642839248426,359.45,3204.85,1001.9837860542799,7.66,359.45,2447.242588726513,124.65303549060529,13.443321419624212,248.05,3205.98,865.9471432150315,7.943375031315258,359.99,3007.803750313153,881.42,6.970017870563681,89.71,3175.527250438413,881.96,9.879874906054232,89.71,2941.707143215032,880.79,7.979964258872638,89.71,3202.7,705.1997498121085,4.02014296450945,180.05,3202.69,784.3061960751564,7.996660709812106,179.99,2747.466356910229,626.5570181210858,7.903321419624213,318.43,3199.653339290188,1200.2929103966596,7.106678580375787,179.45,3199.473339290188,1219.5161424634653,8.856660709812106,179.45,,,,,,,,,,,,,,,,,2c,14,1569236662
13996,13996,417.6669699970176,1569237130.968008,417.6669699970176,,555.9454153261756,46.45659932185001,625.7184208969309,0.9989548921585084,556.2650535311568,75.92418268956362,661.8625415489937,0.9968446493148804,557.4452011181215,12.033794218906223,662.0056760470894,0.997544765472412,544.1825949483432,108.9215841657608,683.7509366568977,0.8044748306274414,557.3644961724258,-29.644251788312047,677.4020012803758,0.894118070602417,412.56311381754784,180.38600058494617,512.1428951942689,0.9856729507446288,395.06525699158914,-78.14229523041458,480.4859806476418,0.9737849235534668,529.3783055500884,238.1970565460859,334.7404960472046,0.8977682590484619,503.19805456704216,-147.87091191197658,281.4639611915908,0.9716055393218994,670.5881163355241,292.4435368469153,158.8940410798013,0.9106500148773192,726.8611174174628,-178.2165737169316,158.13946884968485,0.8070699572563171,420.8969595038303,145.558897280796,106.648748687799,0.006455898284912109,371.8437105850457,-42.85709335247508,133.88525936132308,0.759171724319458,620.0313506693137,186.87739857399845,-4.033833515304025,0.2597036957740784,782.8804168882144,-34.27843771574239,45.96576573277423,0.4052195250988007,449.47593177322375,171.2510930594626,-511.37622037725225,0.01761135458946228,486.3632864885635,-12.791504844424727,-480.855807144651,0.008075058460235596,3208.5233030002983,398.49484998508797,5.095878007754268,359.4500909991052,3203.58,421.0212100208768,6.983303000298243,179.77,3203.0133030002985,1194.239062976439,7.88027299731583,359.45,3203.8133030002978,1110.7988809782282,7.3064240023859295,359.45,3201.1835759976148,691.3279070205788,6.969909000894724,177.55257500745603,3202.196696999701,584.650937023561,7.956515001491206,179.46,3201.6166969997016,646.9809370235611,7.956515001491206,179.46,3203.95,1096.4088809782286,7.306333003280653,359.45,3204.71,1016.9856689770354,7.663212001192964,359.45,3204.85,1002.2389719773337,7.66,359.45,2446.82287503728,124.48515001491205,13.436606000596482,248.05,3205.98,866.2157599761407,7.966878997912313,359.99,3008.038789979123,881.42,6.9800909991052755,89.71,3175.856305970772,881.96,9.809363006263064,89.71,2941.9757599761406,880.79,7.959818001789447,89.71,3202.7,705.0587260125261,4.100727992842212,180.05,3202.69,784.0409370235609,7.9933030002982415,179.99,2747.2917560155083,626.7551229824037,7.896606000596483,318.43,3199.6566969997016,1200.0545130211751,7.113393999403518,179.45,3199.4766969997017,1219.2206640262452,8.85330300029824,179.45,,,,,,,,,,,,,,,,,2c,14,1569236662
13997,13997,417.7,1569237131.001014,417.7,-88.32335827998259,551.6823959301407,42.27764122668962,622.5458490511044,0.9989089965820312,551.29979820789,72.61918162511648,661.7726820324956,0.9981771111488342,557.0951533311536,10.015955813338216,661.4304425416376,0.9842922687530518,543.9768323507096,105.0428278050141,683.4486542422272,0.8120761513710022,538.6396145692748,-33.3986433764826,671.7164585719837,0.8716952800750732,395.4428898115482,181.8329899439676,504.85502072485673,0.9879659414291382,411.6866630603762,-77.12902076861873,488.4679935075737,0.9726740121841432,492.6172944753556,243.71136790494413,318.41635898621536,0.8786387443542479,510.5801337006446,-148.34743568529262,283.9333258235044,0.9692648649215698,668.6315614595602,295.14341065919587,154.38069371637403,0.8951528072357178,712.5787048494226,-176.76246665320485,156.81178438399164,0.6434818506240845,426.8337317854772,149.54013977765106,106.88208537737437,0.008585035800933838,374.2280911830425,-44.71274306425441,134.48393102123038,0.7796663045883179,686.4639042590743,183.58201873876828,10.7458959895186,0.4345359802246094,781.9540521845171,-35.687969401753385,46.580591235921496,0.3765985071659088,475.1913084742488,192.6480643502057,-491.8867502426911,0.01702031493186951,596.6685024354181,-8.514284548403568,-377.4117766146949,0.010808408260345459,3208.52,398.66,5.01,359.46,3203.58,420.79,6.98,179.77,3203.01,1194.5,7.91,359.45,3203.81,1111.04,7.28,359.45,3201.21,691.1,6.96,177.47,3202.2,584.39,7.94,179.46,3201.62,646.72,7.94,179.46,3203.95,1096.65,7.27,359.45,3204.71,1017.24,7.65,359.45,3204.85,1002.49,7.66,359.45,2446.41,124.32,13.43,248.05,3205.98,866.48,7.99,359.99,3008.27,881.42,6.99,89.71,3176.18,881.96,9.74,89.71,2942.24,880.79,7.94,89.71,3202.7,704.92,4.18,180.05,3202.69,783.78,7.99,179.99,2747.12,626.95,7.89,318.43,3199.66,1199.82,7.12,179.45,3199.48,1218.93,8.85,179.45,,,,,,,,,,,,,,,,,2c,14,1569236662
13998,13998,417.7334093894766,1569237131.034423,417.7334093894766,-97.15179734533243,550.457102302765,40.13484088695277,624.4032535252954,0.9989180564880372,546.3116644868389,70.55499736505249,662.9610085226153,0.9986118674278259,555.9169556189394,7.405239254097303,663.8050607537273,0.997309148311615,529.5629476043442,106.65664085125108,679.5466148956249,0.8357353210449219,539.3966168274692,-38.29519858062542,672.7898389445053,0.8269424438476562,414.7708269674322,167.89006353864852,508.8438031700354,0.687302827835083,412.6088734736956,-78.54650724628118,489.43170439604415,0.9722299575805664,477.5693667080865,237.9683659520772,306.0492756830162,0.7352583408355713,524.2367322217957,-149.3059910781294,291.0542752639743,0.9644253253936768,682.1671726349207,291.0203715488804,165.08766611308198,0.9123395681381226,721.0569611191122,-176.67160604200137,164.1009319079787,0.6132427453994751,420.57959360171446,153.03260446863266,101.80716688953531,0.01199910044670105,380.444178993782,-42.31516744013592,134.54128695554087,0.8305184841156006,697.300177055074,182.35669203415455,-1.0889370841271957,0.3977466225624085,796.7909931328912,-31.060066389925442,43.29437300995886,0.4636101424694061,482.0645326169885,202.97537624226302,-481.56925571307136,0.010552644729614258,664.6248845655791,-29.7760297851789,-311.74248029847377,0.006014198064804077,3208.52,398.8303878863308,5.053432206319592,359.46668187789527,3203.583340938948,420.5594752126114,6.983340938947661,179.77,3203.0066590610527,1194.767275115813,7.916681877895321,359.45,3203.8066590610524,1111.2838885431793,7.28,359.45,3201.2434093894767,690.8661342736638,6.96,177.38647652630848,3202.203340938948,584.1227248841873,7.946681877895322,179.46,3201.623340938948,646.4527248841871,7.950022816842983,179.46,3203.9466590610523,1096.8938885431794,7.286704694738304,359.45,3204.706659061052,1017.49725229897,7.666704694738304,359.45,3204.8466590610524,1002.7439113600225,7.6399543663140355,359.45,2445.992382631542,124.14961211366928,13.440022816842985,248.05,3205.98,866.7439341768652,7.959931549471053,359.99,3008.5038657263362,881.4233409389476,6.9866590610523405,89.71,3176.4940482610805,881.9633409389478,9.639771831570172,89.71,2942.507275115813,880.7933409389476,7.956704694738304,89.71,3202.7,704.7763396252506,4.230114084214914,180.05,3202.69,783.5127248841873,7.99,179.99,2746.942930235774,627.1504563368596,7.910045633685964,318.43,3199.663340938948,1199.5827933347161,7.126681877895322,179.45,3199.48,1218.6326564336582,8.863363755790646,179.45,,,,,,,,,,,,,,,,,2c,14,1569236662
13999,13999,417.767168541844,1569237131.068182,417.767168541844,-89.3744050038147,555.3981996986221,34.416882543614186,623.8861640210392,0.9987915754318236,548.9232850608068,64.0590673945686,664.8924163709839,0.9990181922912598,547.6819231212702,3.0368924355753464,660.9375846899252,0.9952077865600586,530.1758189213137,102.5528779208272,681.7267147926492,0.8422322273254395,556.272684961725,-40.003981687264,678.9260574810072,0.7728472352027893,410.34808042469314,163.51333517167163,517.9094080982259,0.7304298281669617,424.42380071096045,-73.34277748741248,493.6167390976447,0.5448862910270691,478.0155193902525,233.31417811376045,309.0735508341822,0.5897965431213379,514.7132175275032,-151.08111488417575,290.04058136800137,0.9710294008255004,679.5778050615643,291.4490276746693,163.70980960381505,0.922598123550415,718.4734298481383,-183.80164967869732,155.3224413890991,0.8400102853775024,405.001119145399,161.3245085439418,95.61412796506858,0.010714441537857056,383.6530060463845,-45.515910357442856,141.39705722065915,0.7629102468490601,607.34761681959,195.70392363311612,-114.76419068055624,0.720840573310852,777.6050648290634,-32.974266468482426,40.72185072220276,0.34401392936706543,484.4635593611537,206.4739028428944,-485.2020431883034,0.02498677372932434,1452.6918180538714,-33.68368297221675,453.3828121474392,0.007402390241622925,3208.52,399.00255956340436,5.097319104397196,359.4734337083688,3203.5867168541845,420.3265370612765,6.9867168541844,179.77,3203.003283145816,1195.037348334752,7.9234337083687985,359.45,3203.803283145816,1111.530330355461,7.28,359.45,3201.277168541844,690.6298202070919,6.96,177.30207864538997,3202.2067168541844,583.852651665248,7.9534337083688,179.46,3201.6267168541845,646.182651665248,7.960150562553199,179.46,3203.943283145816,1097.1403303554612,7.3035842709219985,359.45,3204.7032831458155,1017.7571977721988,7.683584270921997,359.45,3204.8432831458163,1003.0004809180143,7.6196988748936025,359.45,2445.5703932269503,123.97744043659559,13.450150562553198,248.05,3205.98,867.0106314805677,7.929548312340403,359.99,3008.740179792908,881.4267168541844,6.9832831458156015,89.71,3176.811384293333,881.9667168541846,9.538494374468009,89.71,2942.7773483347523,880.7967168541844,7.973584270921997,89.71,3202.7,704.6311752700708,4.2807528127659955,180.05,3202.69,783.242651665248,7.99,179.99,2746.764006728227,627.353011251064,7.930301125106398,318.43,3199.6667168541844,1199.3431033529075,7.133433708368798,179.45,3199.48,1218.3321999775885,8.8768674167376,179.45,,,,,,,,,,,,,,,,,2c,14,1569236662
14000,14000,417.8,1569237131.1010132,417.8,,549.6757047220987,27.120181359854907,625.066568058993,0.9970867037773132,553.1426958153415,58.21442045089061,666.6947416539074,0.9990981817245485,550.7899697465845,-2.2770198215133357,663.5484096381646,0.9942553639411926,536.1122343096404,98.93941585729586,679.1551200078536,0.8927302360534668,538.9823892654097,-42.20319463341848,671.9782618670788,0.7690563201904297,413.8784355330291,159.9346778233513,520.8462994625515,0.974467396736145,413.3943560866812,-73.27413083981318,487.73364160370375,0.466468870639801,502.5976955092772,227.26498707407555,321.2173255464188,0.623938262462616,509.5694234545253,-153.58100825572717,288.29162007462287,0.962333083152771,690.2314476342174,286.57503168544775,169.45936222152585,0.8936198353767395,716.5144967041397,-187.0178354998796,148.95395979069434,0.7868071198463441,367.92407777421465,162.68318286709646,86.63242072219705,0.2103589773178101,388.2980100830674,-50.99617544599056,120.1558723621527,0.4452604055404663,670.7464703003037,181.11033636187142,-47.164242236046704,0.5077734589576721,796.8163832357408,-41.37839836502728,58.07858072913658,0.3669053316116333,474.6456448454225,214.34052354522962,-498.01265558715727,0.03558176755905152,1004.749029413857,-43.28952164595307,20.509708406129906,0.005800306797027588,3208.52,399.17,5.14,359.48,3203.59,420.1,6.99,179.77,3203.0,1195.3,7.93,359.45,3203.8,1111.77,7.28,359.45,3201.31,690.4,6.96,177.22,3202.21,583.59,7.96,179.46,3201.63,645.92,7.97,179.46,3203.94,1097.38,7.32,359.45,3204.7,1018.01,7.7,359.45,3204.84,1003.25,7.6,359.45,2445.16,123.81,13.46,248.05,3205.98,867.27,7.9,359.99,3008.97,881.43,6.98,89.71,3177.12,881.97,9.44,89.71,2943.04,880.8,7.99,89.71,3202.7,704.49,4.33,180.05,3202.69,782.98,7.99,179.99,2746.59,627.55,7.95,318.43,3199.67,1199.11,7.14,179.45,3199.48,1218.04,8.89,179.45,,,,,,,,,,,,,,,,,2c,14,1569236662
14001,14001,417.8500988480809,1569237131.134485,417.8500988480809,,560.9865090872452,23.54688661753297,628.4505388571265,0.9953360557556152,553.0137656302018,54.71584242562773,667.2630224407765,0.9990228414535522,551.4348650450005,-4.6979560446361575,662.3179425227167,0.994607388973236,531.3093033613466,95.63911363647264,679.7277817957513,0.9035699963569641,547.9856201734983,-43.557104492686605,671.091199210116,0.7259679436683655,401.51803628804566,161.22204241845017,515.1750119521308,0.9772780537605286,418.2507372451049,-73.73610533278645,488.0196241296912,0.473613440990448,473.6021993250303,233.27469019630507,307.1022003421627,0.624305009841919,512.9256493572543,-154.63966580945822,291.09380442635535,0.9617475271224976,688.3465954168163,286.8587134641793,168.0233267944736,0.8701142072677612,718.2269932084288,-185.9925716735712,152.73170629330468,0.893035888671875,333.99021399551293,167.30037970532024,75.54409839073281,0.22813960909843445,391.6497018874119,-51.18178678763253,120.13755040342969,0.32881808280944824,692.1718814879099,174.25661666619405,-22.91898243641933,0.5152773261070251,810.901153929734,-46.946985656038436,61.547581186562574,0.21765553951263428,459.2662721370681,220.06165266640164,-515.9662263210781,0.05357849597930908,1242.284677628215,-43.078467641272326,248.38651639421718,0.005554169416427611,3208.514990115192,399.4305140100204,5.134990115191915,359.4850098848081,3203.59,419.749308063434,6.99,179.77,3202.994990115192,1195.6907710150306,7.874891267111063,359.45,3203.7949901151924,1112.1307117061822,7.26998023038383,359.45,3201.365108732889,690.0493080634342,6.965009884808085,177.09475287979785,3202.215009884808,583.1942191001613,7.954990115191915,179.46,3201.63,645.5192092153533,7.98001976961617,179.46,3203.9349901151922,1097.7457215909903,7.279920921535318,359.45,3204.6949901151925,1018.3907512454144,7.634871497494892,359.45,3204.8349901151923,1003.6357611302226,7.630059308848512,359.45,2444.538774283797,123.55950575959574,13.43996046076766,248.05,3205.98,867.6657808998388,7.930059308848512,359.99,3009.3206919365657,881.43,6.985009884808085,89.71,3177.575899517536,881.97,9.289703455757438,89.71,2943.435780899839,880.8,7.99,89.71,3202.7,704.259545298828,4.460257005010218,180.05,3202.69,782.5792092153531,7.969960460767659,179.99,2746.3294859899797,627.8455832036769,7.919940691151488,318.43,3199.67,1198.754298178626,7.089901151919148,179.45,3199.485009884808,1217.5941202520805,8.89,179.45,,,,,,,,,,,,,,,,,2c,14,1569236662
