,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.14_x,H_in-C_out.14_y,H_in-C_out.14_speed,H_in-C_out.14_angle,H_in-C_out.15_x,H_in-C_out.15_y,H_in-C_out.15_speed,H_in-C_out.15_angle,H_in-C_out.16_x,H_in-C_out.16_y,H_in-C_out.16_speed,H_in-C_out.16_angle,H_in-C_out.17_x,H_in-C_out.17_y,H_in-C_out.17_speed,H_in-C_out.17_angle,H_in-C_out.18_x,H_in-C_out.18_y,H_in-C_out.18_speed,H_in-C_out.18_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,H_in-C_out.20_x,H_in-C_out.20_y,H_in-C_out.20_speed,H_in-C_out.20_angle,E_in-C_out.0_x,E_in-C_out.0_y,E_in-C_out.0_speed,E_in-C_out.0_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,H_in-C_out.23_x,H_in-C_out.23_y,H_in-C_out.23_speed,H_in-C_out.23_angle,H_in-C_out.24_x,H_in-C_out.24_y,H_in-C_out.24_speed,H_in-C_out.24_angle,E_in-C_out.1_x,E_in-C_out.1_y,E_in-C_out.1_speed,E_in-C_out.1_angle,H_in-C_out.25_x,H_in-C_out.25_y,H_in-C_out.25_speed,H_in-C_out.25_angle,H_in-C_out.26_x,H_in-C_out.26_y,H_in-C_out.26_speed,H_in-C_out.26_angle,H_in-C_out.27_x,H_in-C_out.27_y,H_in-C_out.27_speed,H_in-C_out.27_angle,scenario,participant_id,source_file
13912,13912,456.9249786688284,1569576358.5690632,456.9249786688284,,,589.3364332031111,39.953772732661264,610.3210131300558,0.996713399887085,586.2014465157528,70.9403306304187,655.7409508829264,0.9969301223754884,626.3575914567325,13.074429150902738,672.5302662603591,0.9761950969696044,579.1535995315824,105.24176931681292,677.5001494863087,0.5048900842666626,588.322658641058,-36.13024411047438,677.5655900085424,0.902983784675598,455.6778636640415,159.33610902542674,533.7621453068905,0.5139672756195068,456.85262981159724,-95.7997751321858,542.2223540104405,0.7796005010604858,557.539149504088,253.18169243882485,327.43370131787736,0.8662227392196655,519.6721346838799,-170.53277783073204,303.9988645084925,0.03992033004760742,713.4900925090974,274.7347877030112,155.07488182965452,0.9414750337600708,716.5771146670293,-197.86064296159245,140.12461475988852,0.5651587843894958,391.8148728182807,138.43884040130658,136.17209373923995,0.3403414487838745,377.14521944125016,-66.72537770485881,127.65062955906636,0.5761120319366455,686.0551974978089,153.7543311396714,1.3700543660838775,0.4152858257293701,805.1717025356382,-87.87931407189379,63.226135752449856,0.6176027059555054,480.00757805213954,202.30089198937,-486.58187992668485,0.010376602411270142,412.0315876923089,-112.66994247253004,-563.5124841318571,0.008914083242416382,3208.54,425.70738267855654,5.5150042662343095,0.03249786688284473,3203.29,419.4801706493725,7.954995733765688,179.77,3203.19,444.75266851625526,7.962506399351466,179.77,3203.08,472.0301706493725,7.962489334414223,179.77,3202.002497866883,605.5701706493724,7.99,179.46,3196.69,874.6676215876778,5.672489334414223,179.64,3196.81,808.0401706493724,7.9674936006485355,179.64,3195.707382678557,882.5025490616946,5.465004266234312,104.81409982456049,3205.092497866883,355.3401877143096,8.849991467531376,179.77,2913.119829350628,880.65,7.992497866882845,89.71,2891.847331483745,880.542497866883,7.954995733765688,89.71,2665.7100341298747,748.0298549480334,6.957493600648536,346.68,2675.292566126632,724.8248421493305,7.9825063993514656,337.35,,,,,,,,,,,,,,,,,2c,30,1569575905
13913,13913,456.9501088288876,1569576358.602839,456.9501088288876,-85.42830977457152,,604.1603458739689,37.4936275938199,614.7613237895528,0.9959272146224976,585.7899344814979,68.89876150740957,655.8304549384884,0.9971480369567872,629.8051954698801,10.087068314180511,673.6041484990662,0.9790338277816772,577.1478342242838,102.26827516338356,676.8184031201339,0.4814329147338867,587.7853493798864,-41.85532282668277,676.5872960964384,0.9007134437561035,455.9109805439932,156.84112327849243,530.492328591454,0.5625891089439392,456.6281705337241,-97.17922111728303,542.7909878942525,0.802323579788208,557.1094042806535,255.1835781981101,327.16043992197126,0.8433352708816528,506.9837340767063,-168.21007115418394,303.04195748213436,0.053790509700775146,723.8050966221394,273.9311981844276,160.9041109805255,0.9510033130645752,709.3430091221197,-197.45188490072394,138.19066006260582,0.3430624306201935,382.3351160067451,140.01841829194962,115.84973228704919,0.3061996102333069,379.3879886119474,-70.07941143374393,125.99885829493769,0.5577520728111267,570.9379987318919,172.04711571911844,-154.40113279804555,0.6102302074432373,807.9908789733541,-88.85310268587601,71.55494622392976,0.7293599843978882,461.6763566891424,208.76128250653903,-510.0697449759482,0.01550254225730896,309.39393328267863,-128.74117345345982,-670.727115435456,0.01055532693862915,3208.54,425.84559855888193,5.509978234222476,0.0350108828887619,3203.29,419.27912936889913,7.9600217657775225,179.77,3203.19,444.55414025178777,7.954967351333713,179.77,3203.08,471.82912936889915,7.975054414443809,179.77,3202.0050108828887,605.369129368899,7.99,179.46,3196.69,874.5243796753406,5.685054414443809,179.64,3196.81,807.8391293688991,7.975032648666287,179.64,3195.8455985588816,882.4447496935585,5.4599782342224765,105.87459257905752,3205.095010882889,355.11904230578904,8.860043531555046,179.77,2913.320870631101,880.65,7.995010882888763,89.71,2892.0458597482125,880.5450108828888,7.9600217657775225,89.71,2665.6698258737797,748.2007400364357,6.965032648666287,346.68,2675.2146626304484,725.0108053337683,7.974967351333714,337.35,,,,,,,,,,,,,,,,,2c,30,1569575905
13914,13914,456.97498886876497,1569576358.6362786,456.97498886876497,,,595.3342408883009,35.90409009756865,611.3303057174271,0.9948638677597046,592.8061978103333,64.67732381226489,657.8923214644665,0.9971463680267334,626.4197393152165,4.965465633195669,671.9573085241636,0.9749006628990172,580.8753245219731,97.63022766807222,678.3945730194976,0.5073692202568054,585.0364467584919,-45.20308572841751,673.366412551213,0.8540233373641968,454.8625833653865,158.76352480932042,544.5800973006071,0.9384866952896118,457.2038007458192,-89.45709826054838,531.0494590936994,0.8591213226318359,560.6636191650249,255.01375838082592,329.92524849021737,0.860917329788208,521.1725384443171,-183.97163852262585,288.36946677363176,0.974427342414856,715.6170682308772,278.8372647248329,150.24358831130698,0.9441230893135072,715.2165917864547,-193.16301368695326,135.33647490508358,0.5186523199081421,398.5877623133678,135.8929570785593,116.01860224778984,0.3453559279441833,387.3605693527128,-66.34867412807347,122.54047882707977,0.17929506301879886,535.1897864859369,179.86244970173686,-210.99229481949104,0.4397929012775421,692.1927335291588,-89.58149431289469,20.62771001653914,0.7849553227424622,446.142484680025,211.55018920526715,-526.6502610622016,0.027022242546081543,336.64171088958057,-126.76412340447422,-496.2879320155474,0.07566088438034058,3208.54,425.9824387782073,5.505002226247005,0.037498886876497294,3203.29,419.0800890498802,7.964997773752994,179.77,3203.19,444.35758793675666,7.947503339370508,179.77,3203.08,471.6300890498802,7.987494434382486,179.77,3202.007498886877,605.1700890498802,7.99,179.46,3196.69,874.3825634480396,5.697494434382486,179.64,3196.81,807.6400890498802,7.982496660629492,179.64,3195.9824387782073,882.3875256018407,5.4550022262470055,106.92453026188187,3205.097498886877,354.90009795486816,8.86999554750599,179.77,2913.5199109501195,880.65,7.997498886876497,89.71,2892.2424120632427,880.5474988868765,7.964997773752994,89.71,2665.630017809976,748.3699243076018,6.972496660629492,346.68,2675.137534506829,725.1949176288608,7.967503339370508,337.35,,,,,,,,,,,,,,,,,2c,30,1569575905
13915,13915,457.0,1569576358.6698945,457.0,-87.89835854583202,,595.6506619757323,33.9566117188864,613.6568059775127,0.9918965101242064,588.4644454649377,60.20216285616733,659.0761304829267,0.9966075420379642,622.2987225885079,1.5402738820471529,671.0348027131745,0.9731827974319458,587.4108419560056,90.33717423053513,683.7303232955436,0.8847559690475464,582.3835899160998,-47.204111409924145,669.1857022107486,0.8456172943115234,458.73038964338247,157.0104254083723,547.921276064621,0.9396515488624572,457.180812595289,-89.46350629944641,529.7811612900564,0.8347653746604919,561.7177842862178,255.45967632165141,328.75383343607683,0.8395276069641113,526.0801012984793,-187.415237917014,289.69945489534064,0.9714930057525636,722.0630497384677,277.2276345730823,153.57182739402623,0.9539628028869628,722.3873110212973,-192.15751672653545,133.8176328241427,0.6734691858291626,387.0960747660369,140.07849502796378,102.79045736352656,0.3239355683326721,390.071941697832,-61.12063089471193,122.5506636285892,0.14611607789993286,518.0998153799836,178.63272332901226,-231.432390803122,0.4956256449222565,713.1964712055476,-89.45187032247881,35.20898920962392,0.6350544095039368,420.59159454631276,221.50192394430042,-551.0749157165478,0.022314339876174927,209.4029211199223,-141.07198545345432,-592.6817567346526,0.016252487897872925,3208.54,426.12,5.5,0.04,3203.29,418.88,7.97,179.77,3203.19,444.16,7.94,179.77,3203.08,471.43,8.0,179.77,3202.01,604.97,7.99,179.46,3196.69,874.24,5.71,179.64,3196.81,807.44,7.99,179.64,3196.12,882.33,5.45,107.98,3205.1,354.68,8.88,179.77,2913.72,880.65,8.0,89.71,2892.44,880.55,7.97,89.71,2665.59,748.54,6.98,346.68,2675.06,725.38,7.96,337.35,,,,,,,,,,,,,,,,,2c,30,1569575905
13916,13916,457.0502363069511,1569576358.7037015,457.0502363069511,-92.41270125558123,,591.9943674840935,31.82393266513546,612.582012320913,0.990028977394104,587.9673753088001,58.07769768029072,659.4311931086627,0.9966229200363159,621.7695074094986,-1.3630657103936912,671.1505919346822,0.9699710607528688,584.0062322584946,87.40103054697485,684.6303544495653,0.844925045967102,579.3157359491073,-49.867735308723745,666.2931908554979,0.7325843572616577,459.1819407589145,156.6325141701607,547.8662049090578,0.9419888257980348,459.3840265125989,-90.9250371761367,529.7691188529409,0.8225247859954834,565.9038758951167,255.9580156490022,330.3296964776659,0.8366904258728027,504.6735665283791,-177.82852923135934,292.43925651616837,0.3605770170688629,723.1430247029916,276.8148013108022,152.41604554198588,0.965162754058838,716.2049586174362,-191.5513465771309,132.91561198283398,0.2342613041400909,405.50485038848007,143.44546114992434,100.61757762904652,0.37204062938690186,398.79272409979967,-66.083461514012,122.21258008091688,0.06388235092163086,519.6312167796734,182.1739750378088,-232.3115229004456,0.5346553325653076,623.808054114002,-101.58796229976141,5.82951230088122,0.6111966371536255,408.2220988202163,226.57487920316257,-565.9044890885797,0.0283796489238739,523.985511662213,-123.98676080567623,-253.54277502984863,0.016423493623733517,3208.545023630695,426.3962996882306,5.494976369304899,0.04502363069510238,3203.29,418.47810954439177,7.97,179.77,3203.19,443.7581095443919,7.955070892085308,179.77,3203.08,471.0281095443918,7.984929107914692,179.77,3202.015023630696,604.5681095443919,7.995023630695102,179.46,3196.69,873.943605788989,5.760236306951024,179.64,3196.815023630695,807.0381095443919,7.9799527386097955,179.64,3196.336016119889,882.1642201870618,5.45,111.56184868560801,3205.1,354.23792049883104,8.824740062353873,179.77,2914.121890455608,880.655023630695,7.984929107914692,89.71,2892.841890455608,880.55,7.9800472613902045,89.71,2665.5096219088778,748.8765832565718,6.974976369304898,346.68,2674.909291079147,725.7467250407425,7.965023630695102,337.35,,,,,,,,,,,,,,,,,2c,30,1569575905
13917,13917,457.1,1569576358.7371905,457.1,-92.61448754418969,,599.4324281106301,28.06943409540589,615.4424200624594,0.9830694198608398,590.7414705701162,53.86214317086064,661.9005601957849,0.9963877201080322,615.1711428655426,-4.6718299450476195,669.5711599575898,0.9648724198341372,590.1870697724297,83.71334528616252,686.9225040338475,0.8716931343078613,563.9257435149532,-53.52249197769152,659.9475143013015,0.7268003821372986,454.77177665968077,155.77952748424,546.4974478549974,0.938464879989624,458.1871317755207,-89.46331630731459,527.9521774173692,0.8064600229263306,570.2341574841048,256.09923608515123,332.73964283143164,0.827178955078125,519.3071378796265,-193.60526370678315,296.5172601000405,0.9772539734840392,716.6491169973826,279.56567725927727,146.7621196638153,0.9699423313140868,701.6253252598907,-192.63858799106163,132.18407048486327,0.7179211378097534,396.5211719658742,145.98651369249106,90.05119948720329,0.4026662111282349,403.44909350345597,-57.683803065487965,131.0545734331386,0.1159869134426117,443.6738078315837,195.277613978714,-300.90633108034666,0.4578651189804077,637.6147562276902,-102.40193433547735,11.37724329298419,0.386323630809784,381.55640848496034,228.2607761774402,-595.0292629106759,0.047069400548934937,642.901057965217,-117.19822668043352,-127.15042980636377,0.011127233505249023,3208.55,426.67,5.49,0.05,3203.29,418.08,7.97,179.77,3203.19,443.36,7.97,179.77,3203.08,470.63,7.97,179.77,3202.02,604.17,8.0,179.46,3196.69,873.65,5.81,179.64,3196.82,806.64,7.97,179.64,3196.55,882.0,5.45,115.11,3205.1,353.8,8.77,179.77,2914.52,880.66,7.97,89.71,2893.24,880.55,7.99,89.71,2665.43,749.21,6.97,346.68,2674.76,726.11,7.97,337.35,,,,,,,,,,,,,,,,,2c,30,1569575905
13918,13918,457.1501822321047,1569576358.7710354,457.1501822321047,-88.97628348538856,,588.5182116116164,30.529250055304125,611.6594359191431,0.995940327644348,593.8954322965527,52.412962208677385,664.4250332574064,0.9803935289382936,621.3505716868777,-5.293653089892273,670.2852278912236,0.9669866561889648,568.5299443754383,90.54486921042141,678.8858526191358,0.7309629321098328,566.3852540772177,-56.43603787479734,659.3998335817819,0.7420773506164551,458.6972439309026,153.26653403943513,547.630046627459,0.9397149085998536,459.97100520056887,-89.55970014659937,528.5277444784092,0.7754563093185425,574.0083988237496,254.80490542905784,336.5657728608489,0.8407159447669983,526.8852011270943,-195.12408897050588,305.15686276463583,0.9711626768112184,720.3973410820442,277.9988049224137,148.0679591356971,0.9716533422470092,707.5791870433528,-191.65442729404842,140.00786659661532,0.7277165055274963,362.1149537540124,144.68003432505952,93.58901679086193,0.3585771322250366,410.9610010590934,-54.81212885474717,139.75828691653305,0.12788406014442444,609.66136752641,171.8559740604538,-123.30792054395909,0.32562923431396484,618.8615879254762,-96.65645718496164,27.437274783788837,0.6327210664749146,347.05314045034584,231.84243243646824,-628.1517459386745,0.04193076491355896,615.1009136439636,-104.97975428064896,-143.3278119531453,0.003650575876235962,3208.55,426.9460022765757,5.500036446420933,0.055018223210466316,3203.295018223211,417.68356036637323,7.975018223210466,179.77,3203.1950182232104,442.9585421431627,7.985054669631399,179.77,3203.085018223211,470.2285421431626,7.97,179.77,3202.02,603.7685421431628,7.979927107158135,179.46,3196.6950182232104,873.3589430537929,5.855164008894197,179.64,3196.82,806.2435603663731,7.964981776789534,179.64,3196.795892937313,881.7992710715813,5.460036446420933,138.95157847292552,3205.105018223211,353.3533781342685,8.830218678525595,179.77,2914.916439633627,880.66,7.964981776789534,89.71,2893.641457856837,880.55,7.969927107158135,89.71,2665.3497084286323,749.5512391783118,6.964981776789534,346.68,2674.6044350804755,726.4813485175745,7.980036446420933,337.35,,,,,,,,,,,,,,,,,2c,30,1569575905
13919,13919,457.2,1569576358.8046346,457.2,-84.9321657890765,,599.7625648572036,28.836199076496573,614.3207985785407,0.9961357712745668,597.8464163523545,51.025804374230795,665.1489439682783,0.9810183644294742,622.3757305766726,-6.1388651117517625,668.8438013591663,0.9705424308776855,579.7238126198979,90.24093277532651,678.9119381011869,0.7561639547348022,559.482698232532,-57.213495260217975,654.8902344026687,0.7531264424324036,458.91342280248915,151.62114615531954,547.7876061910573,0.9377676248550416,462.7249733264018,-91.05600239594307,527.9180771652618,0.761262059211731,562.6723362335539,256.64071669743026,331.2351064659317,0.8536893129348755,502.59677367368516,-179.9037917497009,303.81981945712505,0.3377121388912201,716.4890887220765,279.45745676475417,146.31227986012794,0.9734848141670228,709.1117123675932,-192.77360731676117,131.02439629085748,0.8012162446975708,342.16175636401715,141.39658035015526,113.76632509625584,0.516656756401062,423.0876179381615,-59.69222720416202,137.86176295931006,0.06273159384727478,656.5068553237138,160.18973879429458,-57.533182641262385,0.22771203517913816,621.7614634459504,-102.01024438659391,46.97456907676491,0.6606262922286987,329.1837786261579,234.8580807442243,-649.3460900574687,0.038644403219223016,726.7514183734041,-95.69890692952677,-29.90988890182029,0.029024332761764526,3208.55,427.22,5.51,0.06,3203.3,417.29,7.98,179.77,3203.2,442.56,8.0,179.77,3203.09,469.83,7.97,179.77,3202.02,603.37,7.96,179.46,3196.7,873.07,5.9,179.64,3196.82,805.85,7.96,179.64,3197.04,881.6,5.47,162.62,3205.11,352.91,8.89,179.77,2915.31,880.66,7.96,89.71,2894.04,880.55,7.95,89.71,2665.27,749.89,6.96,346.68,2674.45,726.85,7.99,337.35,,,,,,,,,,,,,,,,,2c,30,1569575905
13920,13920,457.21980713895783,1569576358.8378522,457.21980713895783,-91.38214634503383,,604.0219649888079,28.092432818575105,615.6033882636691,0.996015965938568,591.1211003434635,51.39998226715848,662.6323377011636,0.9799468517303468,624.2069952415584,-6.394462457840973,669.3252538911935,0.9695470333099364,571.2076277164405,91.9463882033182,675.5066066528236,0.7404815554618835,568.1458245762361,-57.555236236075075,657.1670954689023,0.7677114009857178,463.3869903169243,152.79440810488708,549.2064355933244,0.9359406232833862,463.2910392248696,-91.16707559297727,527.5090206713285,0.760151743888855,569.3166516733925,256.11510565646716,334.27711772841116,0.8535014390945435,497.29618561749567,-175.5130168460355,306.16320239652,0.29526013135910034,727.2054915328038,276.38965321098635,153.04975767566575,0.9609022736549376,705.6442002836943,-191.9604488539685,127.94098370145157,0.7295633554458618,349.9906977812206,142.11371530367927,111.73047990902391,0.3430266082286835,433.5794100019484,-61.21626550739438,142.20522144001632,0.059810489416122437,671.0119619611049,164.94825703636548,-51.78079816994693,0.3609737753868103,623.8884590992883,-95.60073848718224,48.41967057136543,0.7634102106094359,291.8286878706923,246.02205923497016,-687.3340427129716,0.03129780292510986,551.7156296615024,-92.86242491085329,-192.62353131212916,0.0238494873046875,3208.55,427.32893926426783,5.51,0.06,3203.3,417.1315428883378,7.976038572208444,179.77,3203.2,442.40154288833776,7.9920771444168865,179.77,3203.09,469.6735236022335,7.975942141687335,179.77,3202.021980713896,603.2135236022335,7.958019286104221,179.46,3196.7,872.9511571662532,5.911884283374669,179.64,3196.8219807138958,805.6915428883377,7.958019286104221,179.64,3197.067729994541,881.4950221635237,5.464057858312665,162.67149856129024,3205.11,352.73371646327575,8.886038572208443,179.77,2915.4684571116627,880.66,7.9679228555831125,89.71,2894.196476397766,880.5519807138958,7.9480192861042225,89.71,2665.2383085776673,750.0246885449129,6.96,346.68,2674.3885978692306,726.9965728282876,7.99,337.35,,,,,,,,,,,,,,,,,2c,30,1569575905
13921,13921,457.23998760321183,1569576358.871696,457.23998760321183,-84.87729549123188,,600.7541265756037,27.39325114538437,614.3432341414491,0.9806301593780518,595.4242854213009,50.81248849246131,660.7070628689132,0.9966105222702026,626.4727358085528,-5.984647152884718,669.1405597324381,0.9729523062705994,564.4975951365876,92.11685520177242,674.2573593351915,0.7857922911643982,578.0486726072437,-54.397634498017474,661.1749107114863,0.445445716381073,459.54509226257653,155.0011912768546,547.8691527856192,0.93656587600708,458.63122788203987,-92.50616226567408,527.6007072656861,0.7717286944389343,558.0890696858627,257.8806617873719,329.4137413287888,0.8466710448265076,495.6815394235878,-174.74496734808847,306.44831457166197,0.2660636305809021,731.6005624202937,276.2257280446806,154.6012838527486,0.9621840715408324,708.1913277035568,-190.95061732500957,130.74371967276042,0.6994063854217529,351.7981014989203,143.50037538139154,113.09488581733038,0.380850613117218,432.46470825712936,-62.34887547456822,140.06340820058574,0.05894699692726135,695.8579499025521,163.43853853257806,-31.25235048688859,0.3621271252632141,606.6195304005173,-95.07837598980127,31.410078268253468,0.7612859010696411,243.5943287974593,255.25651315234936,-734.7685294879367,0.03295066952705383,481.4862190171608,-85.23690928782409,-263.8829304595721,0.013922423124313354,3208.55,427.4399318176648,5.51,0.06,3203.3,416.9700991743058,7.972002479357644,179.77,3203.2,442.2400991743058,7.98400495871529,179.77,3203.09,469.514097934627,7.981996280963532,179.77,3202.023998760321,603.054097934627,7.956001239678823,179.46,3196.7,872.8300743807292,5.923992561927066,179.64,3196.823998760321,805.5300991743057,7.956001239678823,179.64,3197.0959826444964,881.3880657029778,5.458003719036467,162.7239677683506,3205.11,352.5541103314152,8.882002479357645,179.77,2915.6299008256938,880.66,7.97599504128471,89.71,2894.355902065373,880.5539987603212,7.946001239678822,89.71,2665.2060198348613,750.16191570184,6.96,346.68,2674.326038430044,727.1459082637673,7.99,337.35,,,,,,,,,,,,,,,,,2c,30,1569575905
