,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.14_x,H_in-C_out.14_y,H_in-C_out.14_speed,H_in-C_out.14_angle,H_in-C_out.15_x,H_in-C_out.15_y,H_in-C_out.15_speed,H_in-C_out.15_angle,H_in-C_out.16_x,H_in-C_out.16_y,H_in-C_out.16_speed,H_in-C_out.16_angle,E_in-C_out.0_x,E_in-C_out.0_y,E_in-C_out.0_speed,E_in-C_out.0_angle,E_in-C_out.1_x,E_in-C_out.1_y,E_in-C_out.1_speed,E_in-C_out.1_angle,E_in-C_out.2_x,E_in-C_out.2_y,E_in-C_out.2_speed,E_in-C_out.2_angle,E_in-C_out.3_x,E_in-C_out.3_y,E_in-C_out.3_speed,E_in-C_out.3_angle,H_in-C_out.17_x,H_in-C_out.17_y,H_in-C_out.17_speed,H_in-C_out.17_angle,E_in-C_out.4_x,E_in-C_out.4_y,E_in-C_out.4_speed,E_in-C_out.4_angle,H_in-C_out.18_x,H_in-C_out.18_y,H_in-C_out.18_speed,H_in-C_out.18_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,H_in-C_out.20_x,H_in-C_out.20_y,H_in-C_out.20_speed,H_in-C_out.20_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,E_in-C_out.5_x,E_in-C_out.5_y,E_in-C_out.5_speed,E_in-C_out.5_angle,H_in-C_out.23_x,H_in-C_out.23_y,H_in-C_out.23_speed,H_in-C_out.23_angle,H_in-C_out.24_x,H_in-C_out.24_y,H_in-C_out.24_speed,H_in-C_out.24_angle,E_in-C_out.6_x,E_in-C_out.6_y,E_in-C_out.6_speed,E_in-C_out.6_angle,H_in-C_out.25_x,H_in-C_out.25_y,H_in-C_out.25_speed,H_in-C_out.25_angle,scenario,participant_id,source_file
9281,9281,542.6,1568223858.1814172,542.6,-94.3971634853896,563.4650839898941,138.20519619995736,639.7231815440415,0.9967029094696044,584.8896048320677,165.01246290207857,690.7994013635573,0.9974062442779541,597.646082084732,107.00944990486073,691.7651550385797,0.9743603467941284,584.3779146920497,195.30410041270645,709.6111996616135,0.4144931733608246,540.2254764547899,49.209585893539284,691.6516800488722,0.5641017556190491,419.2638943108837,261.4428316855225,544.130234201716,0.9451045989990234,427.7694476701602,-24.34834753531633,538.885836662738,0.4901889860630035,556.2011132396271,308.19774100534767,335.8634414616484,0.9207373857498168,503.7018519233725,-100.43667031092451,351.3376885070598,0.7557958364486694,720.3647403804052,338.09618331248765,149.82448241043426,0.6028329133987427,712.1105686566726,-160.6791416989934,173.815339825208,0.8147754073143005,493.0110673325857,190.6032898510909,80.56121767767664,0.20328417420387268,407.04240238119,-20.0464548785481,80.49511502647292,0.6992767453193665,461.53638312332816,180.2178383895525,-364.5828831865824,0.013064026832580566,575.7951490571379,-63.202952436999766,-189.39709046535816,0.022825926542282104,516.452873921864,180.51017239258263,-488.7302435113668,0.0012196600437164307,435.75762347915946,-84.77068286757036,-571.7862593942488,0.0013349056243896484,3208.14,412.15,4.55,0.57,3204.84,159.13,7.97,179.26,3203.42,387.67,8.13,179.77,3203.18,446.87,7.7,179.77,3205.78,209.04,7.62,179.51,3205.65,224.14,7.74,179.61,3204.66,463.85,7.76,179.77,3203.88,570.55,6.83,179.46,3020.79,881.19,7.99,89.71,3203.39,623.45,7.26,179.46,2875.82,880.46,7.95,89.69,2765.79,879.87,7.98,89.69,2713.09,879.59,7.96,89.69,2650.41,833.37,7.94,353.93,2650.29,827.0,7.95,353.93,,,,,,,,,,,,,,,,,,,,,2c,7,1568223547
9282,9282,542.6334284581471,1568223858.2149868,542.6334284581471,-91.07519234670441,555.001924966911,134.63071306633134,640.8611796691872,0.9970250129699708,582.0365724208355,162.71183589806319,688.6620428452246,0.9971946477890016,600.8341140142022,107.90748311415628,693.7156261434246,0.9702278971672058,577.0350544238797,193.82581996241922,705.8328658902536,0.4542737901210785,543.1388555306006,49.361544546805256,694.9743238287056,0.6304154992103577,417.39691111818826,264.1424549652429,538.1233988879009,0.9265637397766112,431.0529050753136,-31.52342767748637,538.3549457813092,0.4965964555740357,550.8144230657416,308.3153788431897,328.5421426844485,0.9381619691848756,533.6371608833613,-102.13780285377385,347.5225014136435,0.9330161809921264,719.4383401406726,337.24096740769636,157.04574888983043,0.8115253448486328,686.2546969694104,-159.61043864128848,163.6412755259193,0.665568470954895,475.33632952560174,183.12018055829327,58.60704213546234,0.4561188220977783,412.04866927870864,-7.384339923645327,73.77032137310583,0.22980064153671265,467.5594433562785,185.5689464379353,-415.9813392005991,0.0028828084468841553,428.1894668828055,-83.66949192668476,-365.426807406682,0.020921945571899414,516.2149786057239,184.34025544168912,-486.5856426330885,0.0020400285720825195,402.7274532721956,-91.53570372738555,-609.3252170320616,0.003830611705780029,3208.143342845814,412.300428061662,4.55,0.57,3204.8433428458147,158.86257233482314,7.97668569162942,179.26,3203.42,387.39922948900846,8.119971462555869,179.77,3203.18,446.6126008722673,7.6966571541852895,179.77,3205.783342845815,208.785943718082,7.630028537444133,179.51,3205.6533428458147,223.87925802645256,7.746685691629421,179.59328577092649,3204.66,463.58925802645257,7.770028537444133,179.77,3203.8833428458147,570.3226864845998,6.819971462555867,179.46,3021.057427665177,881.19,7.979971462555867,89.71,3203.39,623.2026294097113,7.300114149776528,179.46,2876.084084819363,880.46,7.963371383258842,89.69,2766.0540848193627,879.8733428458148,7.98,89.69,2713.3540848193625,879.5933428458148,7.956657154185289,89.69,2650.379914387668,833.6340848193622,7.953371383258842,353.93,2650.2599143876673,827.2640848193622,7.9466571541852895,353.93,,,,,,,,,,,,,,,,,,,,,2c,7,1568223547
9283,9283,542.6663920550997,1568223858.2480896,542.6663920550997,-86.64599865948006,558.4230915342498,134.784914289211,641.3317267623669,0.9978964924812316,578.1019420241232,162.46374692651233,687.8073657535042,0.9785020351409912,597.0891951778472,107.70524389624485,693.6007768335746,0.9799800515174866,572.4581374010812,190.95571831102055,703.1941248501711,0.4919603765010834,546.0552057511825,49.36685836883928,695.2983948811062,0.6101532578468323,406.6273698098312,261.60095770344503,536.5982313005186,0.9441599845886228,430.96668463464607,-27.49580573192766,540.1191101938635,0.5098819136619568,551.0916911606304,310.9140039065008,326.312005574893,0.8157749176025391,491.83191661231047,-102.3124954035804,339.6426075683774,0.7770808935165405,712.3647239483197,337.9311346549445,143.94540039778656,0.8177520036697388,682.4664653895377,-163.45939576938653,167.22186664800327,0.5426143407821655,489.1196688679119,189.959060424173,72.61941604906706,0.402834415435791,408.31390010621817,-26.160355429991327,73.25729077168339,0.6311140060424805,459.62920559259794,186.80551303237846,-455.1763178952275,0.0014044344425201414,359.3669162477758,-93.80778695291107,-457.6268142233664,0.018593788146972656,507.3299568008528,186.01234716053867,-493.72134679647627,0.001112431287765503,413.539756347959,-88.38889792263167,-596.1791727098494,0.002576708793640137,3208.1466392055104,412.4487642479483,4.55,0.57,3204.8466392055097,158.59886355920298,7.983278411019925,179.26,3203.42,387.13222435369306,8.110082383470113,179.77,3203.18,446.3587811757329,7.693360794490037,179.77,3205.7866392055103,208.53542038124283,7.639917616529888,179.51,3205.6566392055097,223.62214197022288,7.753278411019925,179.5768039724502,3204.66,463.33214197022295,7.779917616529888,179.77,3203.8866392055097,570.0985340253227,6.810082383470112,179.46,3021.321136440797,881.19,7.970082383470112,89.71,3203.39,622.9586987922627,7.339670466119551,179.46,2876.344497235287,880.46,7.976556822039852,89.69,2766.314497235287,879.87663920551,7.98,89.69,2713.6144972352868,879.59663920551,7.953360794490037,89.69,2650.3502471504103,833.8944972352872,7.966556822039852,353.93,2650.2302471504104,827.5244972352872,7.943360794490037,353.93,,,,,,,,,,,,,,,,,,,,,2c,7,1568223547
9284,9284,542.7,1568223858.2818394,542.7,-92.99898230188795,562.1657390363291,127.75787816209692,642.8877645796236,0.9981896877288818,574.6051000275057,156.99360529003326,685.9854038818269,0.9861217141151428,593.330755375411,99.44217941632799,692.5002910416932,0.9928032159805298,566.6299327780581,193.46566824959407,704.8901142368982,0.5894740223884583,555.3535855494831,48.86260017965059,707.7706243930286,0.8797672986984253,421.34918387000135,260.43924326506925,521.2801251443127,0.4016106128692627,431.565597905579,-30.705488479551335,539.324159576204,0.4455515444278717,561.7559918458646,308.52395150500263,331.5686034411064,0.781224250793457,512.7950800019642,-96.00547892117676,351.8668882101118,0.7559105157852173,718.1552769631224,340.4980633694068,146.40124203673648,0.8497145771980286,687.5655434883678,-161.40316396759832,172.60991170634526,0.7146223187446594,447.2451041570845,189.1986730251037,62.379268598509924,0.4716287553310394,420.92095161872004,-31.054433212462147,64.76812085187818,0.4472362995147705,494.40988925478064,187.3003935725956,-386.5456615742187,0.026320427656173703,318.11398171536916,-108.217799975545,-510.077285110867,0.00790637731552124,479.745722354216,160.9268112219165,-524.3551877244266,0.004030048847198486,343.48165831469953,-121.888958115937,-664.4080579007583,0.001472681760787964,3208.15,412.6,4.55,0.57,3204.85,158.33,7.99,179.26,3203.42,386.86,8.1,179.77,3203.18,446.1,7.69,179.77,3205.79,208.28,7.65,179.51,3205.66,223.36,7.76,179.56,3204.66,463.07,7.79,179.77,3203.89,569.87,6.8,179.46,3021.59,881.19,7.96,89.71,3203.39,622.71,7.38,179.46,2876.61,880.46,7.99,89.69,2766.58,879.88,7.98,89.69,2713.88,879.6,7.95,89.69,2650.32,834.16,7.98,353.93,2650.2,827.79,7.94,353.93,,,,,,,,,,,,,,,,,,,,,2c,7,1568223547
9285,9285,542.7328993558258,1568223858.3147526,542.7328993558258,-94.48877668054504,559.7411421812203,126.91278441586228,639.7508740563849,0.9977222681045532,571.8408713046485,156.18602453121417,682.410549136071,0.9891785383224488,591.6925190369694,98.15299399376808,688.7430597992834,0.9933674335479736,569.0378463216408,190.5224038346037,704.625419367014,0.5573297739028931,533.7246358402132,43.216814242071344,693.8198766541417,0.9841122031211852,406.88374895501,260.8479807787148,535.4442492705466,0.9355093240737916,424.77423815944366,-33.65895171902697,537.346291920127,0.4218994379043579,559.1907894817318,310.42641013434985,330.99615795664346,0.8089160323143005,511.8699166163651,-104.12406729398336,342.2185966114753,0.9091510772705078,707.3409637869887,343.0857001700432,137.0076581024924,0.6481053233146667,676.1594027485401,-160.99454433676854,169.59970639101596,0.4062471389770508,451.04193349469057,188.94463872101792,48.175447289276114,0.25396475195884705,415.47338198162595,-14.571366263581245,90.83299167529556,0.14675766229629514,511.3070878272417,183.25518336088226,-358.85747860097916,0.01549610495567322,572.8725710463364,-60.51509709907686,-211.05298500629613,0.03615540266036986,466.9927168994558,150.38329275211575,-538.1545720802144,0.002949416637420655,362.4445071877797,-100.33170881793218,-644.8221462445964,0.0015970766544342039,3208.15,412.75133703679865,4.5434201288348435,0.57,3204.853289935583,158.06680515339374,7.9932899355825775,179.26,3203.42,386.5935152178112,8.106579871165152,179.77,3203.1832899355827,445.8466749601415,7.69,179.77,3205.79,208.02667496014152,7.640130193252268,179.51,3205.6632899355827,223.10667496014156,7.76,179.5468402576697,3204.6632899355827,462.81338502455895,7.799869806747734,179.77,3203.89,569.6429944448021,6.816449677912889,179.46,3021.849904911024,881.19,7.956710064417423,89.71,3203.3932899355827,622.4698347024719,7.347100644174223,179.46,2876.8731948466057,880.4632899355826,7.986710064417423,89.69,2766.8431948466064,879.88,7.98,89.69,2714.143194846606,879.6,7.95,89.69,2650.2936805153395,834.4199049110238,7.9668402576696895,353.93,2650.173680515339,828.0531948466063,7.9564496779128895,353.93,,,,,,,,,,,,,,,,,,,,,2c,7,1568223547
9286,9286,542.7661855021485,1568223858.3480527,542.7661855021485,-93.29482810120096,556.1160764881131,127.64884360387792,638.1082697255388,0.9973452687263488,568.8157996819696,155.55228581107028,679.4256763769607,0.9872081875801086,598.6492158961212,100.93067881197594,688.7274429209717,0.9908932447433472,571.4829633631764,191.7805350957559,709.0339137660867,0.8431096076965332,535.3744747138755,40.97045125968607,695.1931686613716,0.9845706820487976,419.1384928425348,259.560706150726,542.2729549152725,0.929479479789734,420.1074584515586,-36.07746008896285,534.1087368959013,0.4299781024456024,551.0251246690411,309.0167092149515,320.41583097084134,0.7032992839813232,516.8051364094333,-103.70139847249042,341.1501892351969,0.9168643951416016,720.0692115455169,339.4371543921923,149.52282388347342,0.7865976691246033,677.6787768428815,-161.15807994665326,173.44976605510388,0.473138302564621,444.23548039955284,186.67445686878816,51.24145816041126,0.3353506326675415,399.712414998967,-24.50709430224592,120.23033271082949,0.6118597984313965,608.2954843367438,177.4449892707269,-195.13073399474246,0.09261929988861084,588.347118198003,-48.55996246000728,-111.41636717730024,0.07565048336982727,415.1687509612776,139.85928584069984,-594.2952537650664,0.008632630109786987,1299.1908682630026,34.58223520625393,319.4226042031512,0.004877150058746338,3208.15,412.90445330988297,4.536762899570305,0.57,3204.856618550215,157.8005159828122,7.996618550214848,179.26,3203.42,386.32389743259733,8.113237100429696,179.77,3203.186618550215,445.5903716334568,7.69,179.77,3205.79,207.77037163345676,7.630144349355457,179.51,3205.666618550215,222.85037163345677,7.76,179.53352579914062,3204.666618550215,462.553753083242,7.8098556506445425,179.77,3203.89,569.4133200351755,6.833092751074238,179.46,3022.1128654669733,881.19,7.953381449785152,89.71,3203.396618550215,622.2268458343161,7.313814497851525,179.46,2877.139484017188,880.4666185502149,7.983381449785153,89.69,2767.109484017188,879.88,7.98,89.69,2714.4094840171883,879.6,7.95,89.69,2650.267051598281,834.682865466973,7.95352579914061,353.93,2650.147051598281,828.3194840171878,7.973092751074238,353.93,,,,,,,,,,,,,,,,,,,,,2c,7,1568223547
9287,9287,542.8,1568223858.3818815,542.8,-91.29769197593569,563.2052362787772,124.12032671647607,640.1918342906165,0.9973326921463012,571.7907167611668,151.58009458558917,681.4233446416819,0.9893872141838074,587.1486537356086,95.9437465566279,685.767785041553,0.9891711473464966,574.9609215642217,187.8069864689176,709.6880922971629,0.5019081830978394,542.1981725135611,37.08832027481669,698.5958707644268,0.9731507897377014,415.84970682338735,258.72362258264667,541.4660998417253,0.9372678995132446,428.24325904272126,-35.79060346100215,537.6660401782665,0.3946369886398315,554.5436219887632,308.2692464617768,318.0747347290437,0.9418689012527466,512.8382324122497,-108.29534664774219,340.0122433856976,0.9096287488937378,723.5303200770155,334.9352577881218,156.37440596760817,0.8149790763854979,677.5961028883868,-163.33480314349518,175.60421420225742,0.4332787394523621,426.22091615908073,179.93043472941986,49.251938378342686,0.22964999079704285,403.95792755767184,-25.55850397325345,132.48469505847223,0.4536377489566803,634.8994191818379,178.90947526493244,-144.95576512166588,0.05076831579208374,618.2985493965298,-40.56813559813965,-42.59654658895909,0.10728541016578674,412.54690280678335,141.34120397620217,-599.3879161182873,0.00421479344367981,757.3919306774202,-41.22309392650704,-239.586878322462,0.00487387180328369,3208.15,413.06,4.53,0.57,3204.86,157.53,8.0,179.26,3203.42,386.05,8.12,179.77,3203.19,445.33,7.69,179.77,3205.79,207.51,7.62,179.51,3205.67,222.59,7.76,179.52,3204.67,462.29,7.82,179.77,3203.89,569.18,6.85,179.46,3022.38,881.19,7.95,89.71,3203.4,621.98,7.28,179.46,2877.41,880.47,7.98,89.69,2767.38,879.88,7.98,89.69,2714.68,879.6,7.95,89.69,2650.24,834.95,7.94,353.93,2650.12,828.59,7.99,353.93,,,,,,,,,,,,,,,,,,,,,2c,7,1568223547
9288,9288,542.8328814131279,1568223858.41487,542.8328814131279,-86.93261579259243,563.4175461841869,121.70975541557577,640.873715310737,0.9963637590408324,572.2934261754962,148.3418730391179,680.9607828610697,0.9892587661743164,594.457755398238,94.30407774454542,688.2286557969428,0.9847605228424072,574.8405843003131,187.9057868699949,712.5613742624988,0.9304077625274658,568.3398347711603,38.311036991768134,707.5160167451488,0.9748045206069946,419.13202905816286,255.55694491179005,544.6310388687069,0.9187815189361572,430.23092516682686,-41.503229950367114,539.9172832105745,0.38312485814094543,560.6535346056478,307.2387077017268,323.2762426416378,0.7420204281806946,506.7061500172039,-106.91581067756479,328.53492278569234,0.9034237265586852,717.3801906566057,334.61440068271025,152.73091123193737,0.8490714430809021,679.9239595105572,-159.6172463746325,170.8904519823957,0.3703146576881409,431.9000609873046,175.8522554312633,39.89404013022815,0.27578645944595337,403.669987935845,-22.39615297209455,138.61828886239616,0.3318241834640503,606.8829013836919,172.82412763105003,-163.01815362640414,0.05806809663772582,603.4005628910589,-29.924053922724422,1.6312587170145036,0.18199652433395386,391.9909209591355,163.64873437961475,-614.733808810737,0.0024055540561676025,444.2649857088618,-89.5110446645402,-522.2011408469176,0.006169706583023071,3208.1532881413127,413.2079663590757,4.526711858687207,0.57,3204.8632881413128,157.27023683628934,7.990135576061621,179.26,3203.4232881413127,385.7803724123509,8.129864423938379,179.77,3203.19,445.0735249776022,7.706440706563966,179.77,3205.793288141313,207.26338940154048,7.606847434748827,179.51,3205.67,222.3335249776021,7.773152565251173,179.51671185868722,3204.67,462.03681311891495,7.8002711521232415,179.77,3203.893288141313,568.9531182494172,6.8730169891895505,179.46,3022.6430513050236,881.1932881413127,7.953288141312793,89.71,3203.4032881413127,621.7399656841661,7.293152565251173,179.46,2877.673051305024,880.47,7.9734237173744145,89.69,2767.6430513050236,879.8832881413127,7.983288141312793,89.69,2714.9397631637107,879.6032881413128,7.956576282625586,89.69,2650.2104067281853,835.2097631637108,7.956440706563966,353.93,2650.093694869497,828.8497631637108,7.983423717374414,353.93,,,,,,,,,,,,,,,,,,,,,2c,7,1568223547
9289,9289,542.8660078375083,1568223858.4481044,542.8660078375083,,556.5302306355321,119.11522445074304,638.0224460774314,0.9970411062240601,574.7553958333075,147.8865154161384,684.6701410456567,0.9970901012420654,598.220964225011,91.75969356935906,690.27587539815,0.983657956123352,569.1786321075277,184.085995243436,710.1821621238292,0.6093978881835938,576.9666416763124,34.75066575480609,710.6667498050077,0.9110548496246338,419.43739015071947,253.2273268047623,544.9973127266863,0.9492577314376832,427.38034139194394,-38.50343343236562,539.5827143640278,0.4128609299659729,563.7033023537324,306.01879535870535,330.2522205065342,0.8210709095001221,515.4071899284394,-105.08996126023472,351.43477432889296,0.841378927230835,713.5980929695352,335.2744964080752,150.71009295575732,0.7967996001243591,679.9912428986947,-161.4774626016649,170.9920355805004,0.6456213593482971,432.14969037760704,175.28838246919062,49.664277773527786,0.039233654737472534,403.0060866374412,-21.961618915874034,149.8538595117956,0.07045397162437439,674.2028340008717,175.19374448849064,-81.1732292947042,0.030400216579437256,610.6615191954437,-27.47761161842649,38.71592960118181,0.21669259667396545,369.36281650515093,181.63454944090648,-638.7041279877518,0.0013315677642822266,324.33474847437486,-131.73324969393326,-628.6133392257317,0.005542904138565064,3208.1566007837514,413.3570352687874,4.523399216249169,0.57,3204.8666007837514,157.0085380836844,7.980197648747508,179.26,3203.4266007837514,385.5087357324319,8.139802351252493,179.77,3203.19,444.81513886743517,7.723003918754153,179.77,3205.7966007837513,207.0149412186877,7.593596864996678,179.51,3205.67,222.0751388674352,7.786403135003322,179.51339921624916,3204.67,461.781739651186,7.780395297495015,179.77,3203.896600783751,568.7245459211928,6.896205486255815,179.46,3022.9080627000667,881.1966007837509,7.956600783750831,89.71,3203.4066007837514,621.4981427861893,7.3064031350033245,179.46,2877.9380627000664,880.47,7.966798432498338,89.69,2767.9080627000667,879.886600783751,7.986600783750831,89.69,2715.201461916316,879.6066007837509,7.9632015675016605,89.69,2650.1805929462425,835.4714619163158,7.973003918754153,353.93,2650.067193729993,829.1114619163156,7.976798432498338,353.93,,,,,,,,,,,,,,,,,,,,,2c,7,1568223547
9290,9290,542.9,1568223858.4822073,542.9,-97.19803456119944,560.2066893604435,121.00311282276787,637.8455555554438,0.9976568222045898,568.6015605345594,149.7680745028469,680.5816316447152,0.993392825126648,595.2437924119331,92.27220101421976,688.4613931603154,0.9852255582809448,570.8512059403728,181.7582918916696,710.8355541270728,0.5717983245849609,565.0831665504459,32.88855294597707,704.005932094376,0.9106948375701904,419.7151843288675,254.18154566937937,544.4333819781922,0.9534071683883668,423.5403867941693,-39.582864629459294,537.7066278512149,0.3989425301551819,558.1225828025497,311.14463541885004,324.4547620670845,0.9249480962753296,512.8684622112594,-102.42819042815009,351.3491643642991,0.9190033078193665,719.5700155539548,334.2805956609373,155.19314372372781,0.8428368568420409,678.1547564674268,-161.82275153649894,175.0764470381161,0.33842402696609497,416.85232037279184,176.4022854421276,44.19595759057064,0.06410482525825499,400.2259224174377,-23.11910761096369,151.88834086049172,0.10805514454841614,706.5745420392552,175.57030470395264,-27.90688264743915,0.024448901414871216,629.8563136947822,-17.446127416069483,56.80959507233682,0.25439953804016113,358.1075320079808,161.10296654945128,-657.4290334840642,0.003215581178665161,379.73310386749984,-130.0123639312935,-476.01410962596253,0.00742092728614807,3208.16,413.51,4.52,0.57,3204.87,156.74,7.97,179.26,3203.43,385.23,8.15,179.77,3203.19,444.55,7.74,179.77,3205.8,206.76,7.58,179.51,3205.67,221.81,7.8,179.51,3204.67,461.52,7.76,179.77,3203.9,568.49,6.92,179.46,3023.18,881.2,7.96,89.71,3203.41,621.25,7.32,179.46,2878.21,880.47,7.96,89.69,2768.18,879.89,7.99,89.69,2715.47,879.61,7.97,89.69,2650.15,835.74,7.99,353.93,2650.04,829.38,7.97,353.93,,,,,,,,,,,,,,,,,,,,,2c,7,1568223547
