,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.15_x,H_in-C_out.15_y,H_in-C_out.15_speed,H_in-C_out.15_angle,H_in-C_out.16_x,H_in-C_out.16_y,H_in-C_out.16_speed,H_in-C_out.16_angle,C_in-E_out.23_x,C_in-E_out.23_y,C_in-E_out.23_speed,C_in-E_out.23_angle,C_in-E_out.24_x,C_in-E_out.24_y,C_in-E_out.24_speed,C_in-E_out.24_angle,D_in-A_out.11_x,D_in-A_out.11_y,D_in-A_out.11_speed,D_in-A_out.11_angle,C_in-E_out.25_x,C_in-E_out.25_y,C_in-E_out.25_speed,C_in-E_out.25_angle,C_in-E_out.26_x,C_in-E_out.26_y,C_in-E_out.26_speed,C_in-E_out.26_angle,D_in-A_out.12_x,D_in-A_out.12_y,D_in-A_out.12_speed,D_in-A_out.12_angle,E_in-C_out.0_x,E_in-C_out.0_y,E_in-C_out.0_speed,E_in-C_out.0_angle,H_in-C_out.17_x,H_in-C_out.17_y,H_in-C_out.17_speed,H_in-C_out.17_angle,H_in-C_out.18_x,H_in-C_out.18_y,H_in-C_out.18_speed,H_in-C_out.18_angle,E_in-C_out.1_x,E_in-C_out.1_y,E_in-C_out.1_speed,E_in-C_out.1_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,E_in-C_out.2_x,E_in-C_out.2_y,E_in-C_out.2_speed,E_in-C_out.2_angle,H_in-C_out.20_x,H_in-C_out.20_y,H_in-C_out.20_speed,H_in-C_out.20_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,E_in-C_out.3_x,E_in-C_out.3_y,E_in-C_out.3_speed,E_in-C_out.3_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,H_in-C_out.23_x,H_in-C_out.23_y,H_in-C_out.23_speed,H_in-C_out.23_angle,E_in-C_out.4_x,E_in-C_out.4_y,E_in-C_out.4_speed,E_in-C_out.4_angle,E_in-C_out.5_x,E_in-C_out.5_y,E_in-C_out.5_speed,E_in-C_out.5_angle,E_in-C_out.6_x,E_in-C_out.6_y,E_in-C_out.6_speed,E_in-C_out.6_angle,E_in-C_out.7_x,E_in-C_out.7_y,E_in-C_out.7_speed,E_in-C_out.7_angle,H_in-C_out.24_x,H_in-C_out.24_y,H_in-C_out.24_speed,H_in-C_out.24_angle,scenario,participant_id,source_file
13807,13807,409.1500959324976,1568967875.9660294,409.1500959324976,-87.01835335529695,674.9059688389617,-14.006836621483705,587.4213622939287,0.99277001619339,698.7159176263283,13.136998764178381,638.9809957555788,0.9659354090690612,708.6035644857353,-38.07859504169293,641.1090931027475,0.9874364137649536,663.9209936683798,55.24891290952996,657.0276237791279,0.8593237400054932,690.7036094916202,-66.73297738214868,642.2384597347251,0.3656208515167236,564.578870318104,118.39055613826923,533.8350322718542,0.8920769691467285,564.9354620992277,-115.86910849832249,522.6463133470297,0.4211659133434296,680.8630235669831,216.5381866923875,353.2963743481405,0.243930459022522,637.5843305069982,-217.0075437150713,351.39484963178734,0.03754228353500366,844.0607529973628,246.7845261661109,222.15834729726362,0.9547340869903564,748.803772249562,-245.083757402803,171.17763527297214,0.8323358297348022,414.5219300989671,119.25937027271269,186.3492177428603,0.115892231464386,408.6590844210386,-88.4862744070363,193.21503021844813,0.6723132133483887,663.3664279494633,193.01991213315682,58.38546263916263,0.06657090783119203,504.791904175019,-88.56636306658281,-128.2935982896121,0.4018232822418213,641.5997315297209,167.15437779865186,-154.99032066738644,0.02023050189018249,480.484957832438,-125.60056580523243,-491.68261411500913,0.17188462615013125,3207.505028779749,416.7204221029895,4.39,3.3399616270009598,3202.225009593249,614.1993284725168,6.9750095932497596,179.46,3202.1350095932503,623.3743380657666,6.96499040675024,179.46,3202.8749904067504,1208.7857386802316,7.650095932497601,359.45,3203.0849904067504,1186.9558154262295,8.445028779749281,359.45,2376.408887183028,113.58998081350047,11.5700959324976,268.77,3203.7449904067503,1117.83080583298,8.32005755949856,359.45,3205.3849904067497,946.395681120733,7.1250287797492815,359.45,2537.3139927087755,185.37441481176464,12.03005755949856,239.79,3205.1850095932496,332.89913660752165,9.06988488100288,179.77,3002.4106715274834,881.3950095932498,6.97,89.71,3042.920767459981,881.3,7.9750095932497596,89.71,3204.18,538.5991941670201,8.370095932497602,179.46,2890.075661934233,880.8350095932498,6.95499040675024,89.71,3202.7,724.6742229467694,8.169942440501439,179.99,2657.185681120733,876.6103453569913,7.955028779749282,63.03,2651.2449328472517,822.6206715274832,6.99,353.93,3201.8150095932497,974.5191749805208,8.59,179.45,2722.869558710511,654.4955660017357,7.46,322.4149712202507,,,,,,,,,,,,,,,,,,,,,,,,,2c,23,1568967420
13808,13808,409.1750905634725,1568967875.9996045,409.1750905634725,-94.83890573892427,675.2947053790915,-11.010800367443263,587.5466979631268,0.9939855337142944,705.3258236069366,15.682084309511282,642.151835716155,0.9603627920150756,717.7890207968379,-35.56926541526504,645.4046899539887,0.9875290393829346,668.8010023040492,55.23538304124146,656.966446044504,0.8408939242362976,695.0229243166548,-63.94864723135451,643.6279977818526,0.3709019422531128,565.0734229994563,118.45116036810472,533.6906925383119,0.8709226846694946,564.3268904873271,-113.96023487205728,523.5616921211147,0.36185359954833984,678.2810037559284,220.6027778119212,352.7490893803375,0.2572964429855347,632.3950419858926,-215.72403963986233,347.2391383892348,0.04854458570480347,839.1301676752571,246.77708925121019,224.6367047225747,0.956472635269165,758.2231218283391,-243.70934257206667,175.8689574099169,0.8666133880615234,418.03011731659797,121.07657271268593,195.1381576337464,0.11134526133537292,387.11802844660974,-91.3237018910639,182.54296279537655,0.7159234285354614,664.4062755699193,200.77360345126328,50.93200959681072,0.08947664499282837,493.8972342155567,-87.37904079162884,-139.07921674064778,0.4254954755306244,388.4514542631547,204.18680266407463,-422.6068775499828,0.005672752857208252,453.3515337807125,-122.1663951475612,-516.5811200523486,0.10395568609237672,3207.5125271690417,416.8303984792791,4.39,3.329963774610995,3202.227509056347,614.0243660556923,6.9775090563472535,179.46,3202.137509056347,623.2018751120396,6.962490943652749,179.46,3202.872490943653,1208.9781973387385,7.675090563472512,359.45,3203.082490943653,1187.1682697895164,8.452527169041755,359.45,2376.1189494637188,113.58498188730549,11.595090563472509,268.77,3203.742490943653,1118.040760733169,8.335054338083506,359.45,3205.382490943653,946.5731430006548,7.1325271690417535,359.45,2537.051549083539,185.2219475628177,12.045054338083506,239.79,3205.187509056347,332.67418492874737,9.039891323832986,179.77,3002.585633944308,881.3975090563472,6.97,89.71,3043.120724507781,881.3,7.9775090563472535,89.71,3204.18,538.3892392668308,8.395090563472511,179.46,2890.2481248879603,880.8375090563472,6.952490943652749,89.71,3202.7,724.4717664358726,8.154945661916493,179.99,2657.363143000655,876.700326028501,7.962527169041754,63.03,2651.227436605569,822.7956339443076,6.99,353.93,3201.8175090563477,974.3042211541364,8.59,179.45,2722.7545834080265,654.6430343244878,7.46,322.40747283095817,,,,,,,,,,,,,,,,,,,,,,,,,2c,23,1568967420
13809,13809,409.2,1568967876.033065,409.2,-86.95514524775311,671.2406363496323,-8.200733482368571,585.4501918872247,0.9948039054870604,702.3374668257312,18.570252194228026,641.4288391212074,0.957473874092102,705.4831279436029,-33.839017431717245,640.2926394738754,0.9891862869262696,665.433763371242,56.00167689982032,657.3522181876092,0.8358895778656006,699.4712974930068,-68.5845168492412,653.8155663368498,0.7510429620742798,548.1770773110545,108.90565763455852,536.6651061826893,0.9593601822853088,566.9333878481922,-113.79576078347392,526.02996162863,0.3793704211711884,661.2692777434273,222.042815137178,356.18975759244347,0.935636818408966,624.4049691410503,-212.1444862092157,365.46307890010667,0.0028451383113861084,841.9698799538628,246.90979946874802,226.68476587335903,0.9552282094955444,778.188403165209,-234.601014375738,198.98297149158253,0.6910032033920288,493.8161251474215,127.65061133834809,181.117663414128,0.015469610691070557,391.88690979904055,-91.65436289973938,189.29731988924144,0.6281325817108154,682.7846274346027,182.20487362498488,36.72655913058557,0.07481113076210022,486.4834723767688,-90.06864999500681,-143.97919683978526,0.3291980922222137,274.51249885242737,227.01678603012056,-592.2311388080974,0.003407806158065796,420.38972600118876,-135.5415065870698,-560.1082042742805,0.01836791634559632,3207.52,416.94,4.39,3.32,3202.23,613.85,6.98,179.46,3202.14,623.03,6.96,179.46,3202.87,1209.17,7.7,359.45,3203.08,1187.38,8.46,359.45,2375.83,113.58,11.62,268.77,3203.74,1118.25,8.35,359.45,3205.38,946.75,7.14,359.45,2536.79,185.07,12.06,239.79,3205.19,332.45,9.01,179.77,3002.76,881.4,6.97,89.71,3043.32,881.3,7.98,89.71,3204.18,538.18,8.42,179.46,2890.42,880.84,6.95,89.71,3202.7,724.27,8.14,179.99,2657.54,876.79,7.97,63.03,2651.21,822.97,6.99,353.93,3201.82,974.09,8.59,179.45,2722.64,654.79,7.46,322.4,,,,,,,,,,,,,,,,,,,,,,,,,2c,23,1568967420
13810,13810,409.2501049203924,1568967876.066596,409.2501049203924,-100.22926041647837,667.4632369952925,-7.338285830846551,584.0824216878121,0.9942036271095276,695.1779625995268,19.20278717536752,638.854241964681,0.9520682096481324,701.2981551675024,-33.75140899181646,638.3764099747243,0.98844575881958,662.8973429496867,56.45085661609106,653.6048882620086,0.828515350818634,680.4645119470227,-65.00954401761294,640.9281586606767,0.4597209990024567,558.6819130785543,120.01153095087211,533.4748213515741,0.8568055629730225,568.1302986177035,-113.45656279478901,525.8839988955654,0.3443518877029419,660.8096381857165,220.08958396440053,354.74237366768034,0.3831371963024139,629.0641910045432,-213.2544728567308,354.7949546723333,0.04459714889526367,829.5175234043616,247.80862443532345,217.2433881430764,0.9295787811279296,788.1783509505397,-241.63932313917903,197.6528557885596,0.8443596363067627,525.6032950365012,122.75292666709774,175.20934283032815,0.004464179277420044,404.12239693608063,-89.8954829512373,197.91158616557573,0.3174501061439514,696.6971606507045,171.41602859578526,32.15457351204111,0.06984490156173706,508.59456870056084,-89.23594079808703,-132.09913186959312,0.34753555059432983,301.4975342567272,197.43820714404887,-604.2296954093217,0.007540136575698852,440.0843429664724,-122.94441344104506,-551.4151216106981,0.03009259700775146,3207.5300209840784,417.16046164972636,4.395010492039234,3.2147796671760736,3202.23,613.5042760492928,6.98,179.46,3202.145010492039,622.6792655572536,6.975031476117704,179.46,3202.8649895079607,1209.555807887021,7.669937047764593,359.45,3203.0749895079607,1187.8008813312958,8.444968523882297,359.45,2375.248782923449,113.5649685238823,11.59494753980383,268.77,3203.734989507961,1118.6658708392565,8.33997901592153,359.45,3205.374989507961,947.1107554268248,7.160041968156937,359.45,2536.273919319959,184.76937047764596,12.00488458756842,239.79,3205.19,331.9940452244297,9.06511541243158,179.77,3003.1057239507068,881.4,6.9599790159215305,89.71,3043.7208393631386,881.3,7.964968523882296,89.71,3204.185010492039,537.7591186687043,8.399958031843061,179.46,2890.7707344427467,880.84,6.9600209840784695,89.71,3202.7,723.8541291607436,8.185094428353112,179.99,2657.895744934786,876.9703777134123,7.95997901592153,63.03,2651.174926555725,823.3157239507071,6.9849895079607665,353.93,3201.82501049204,973.659097684626,8.59,179.45,2722.4145278582346,655.0856190303147,7.46,322.4,,,,,,,,,,,,,,,,,,,,,,,,,2c,23,1568967420
13811,13811,409.3,1568967876.0999866,409.3,-83.07517838607801,674.6671911986513,-7.5405198486820675,588.0209313299622,0.9931656122207642,698.1474565320253,18.70875715842129,639.7035514374597,0.949044704437256,715.0314823918236,-32.255107308001186,643.7675914701875,0.9873274564743042,665.5276315916815,54.78127983038107,654.961610958155,0.8529098033905029,668.8153933060414,-74.63717027874645,636.2065279191382,0.4702332019805908,559.5231758355899,121.60737069772536,534.0102066560037,0.8559750318527222,568.1564635003372,-113.5245165389562,526.6180489864747,0.3250110149383545,663.5392225850278,217.43252871548358,355.02321949674655,0.54332435131073,613.0363916956976,-212.74917250802227,364.2232902068458,0.0024096667766571045,827.6914720346017,244.219836674649,222.1011438791224,0.8210726976394653,788.4068366552035,-236.99462931744145,205.50478612755512,0.7870858311653137,507.31505354386286,117.99245262798992,185.3242672830584,0.03876420855522157,400.0739238727395,-92.73035573189196,193.89677115774955,0.5872191190719604,684.5954967647317,187.76042105884858,73.9166991065382,0.15861836075782776,506.5280448635301,-87.67186249825373,-129.2538595797582,0.3223065733909607,425.4661721388483,171.04903646706973,-406.2176144670813,0.014180600643157959,405.8318473078326,-128.38699005093935,-593.0816719720764,0.012239962816238405,3207.54,417.38,4.4,3.11,3202.23,613.16,6.98,179.46,3202.15,622.33,6.99,179.46,3202.86,1209.94,7.64,359.45,3203.07,1188.22,8.43,359.45,2374.67,113.55,11.57,268.77,3203.73,1119.08,8.33,359.45,3205.37,947.47,7.18,359.45,2535.76,184.47,11.95,239.79,3205.19,331.54,9.12,179.77,3003.45,881.4,6.95,89.71,3044.12,881.3,7.95,89.71,3204.19,537.34,8.38,179.46,2891.12,880.84,6.97,89.71,3202.7,723.44,8.23,179.99,2658.25,877.15,7.95,63.03,2651.14,823.66,6.98,353.93,3201.83,973.23,8.59,179.45,2722.19,655.38,7.46,322.4,,,,,,,,,,,,,,,,,,,,,,,,,2c,23,1568967420
13812,13812,409.3252615773334,1568967876.1341212,409.3252615773334,-83.07517838607801,667.2857072544863,-6.749715197053468,585.1863039899729,0.9935088157653807,698.3717702301299,19.414183973028887,639.8825844914622,0.9478676319122314,715.8608411738268,-31.64883330118024,644.3175871979895,0.9881811141967772,666.114393015388,54.25026747249292,654.4729079677865,0.8589708805084229,664.8152652605468,-75.98192934649933,633.8237398777983,0.3954220712184906,555.5749828956493,121.51030519182535,532.3832052251627,0.8336461186408997,568.3163887297057,-112.46358105316641,526.6353199627015,0.3307967782020569,674.6579589384937,224.4785082775513,354.9195949814562,0.905296504497528,602.9858052525938,-212.93018040655159,367.9006536857023,0.002464413642883301,833.1008570304797,246.1494125357944,226.15817622245117,0.9493658542633056,789.1347105661251,-239.35890841388616,210.07852540806442,0.8039922714233398,502.15568463118876,118.02512910422043,191.5198311901208,0.05429700016975403,396.97501825389406,-93.34322756048591,192.01691998978413,0.6258150339126587,670.5179534739495,197.88220354952702,80.25530501856014,0.09117841720581056,496.8509202572406,-89.82355680965964,-132.05846118133036,0.3659513294696808,455.37281752267097,155.86496702288684,-345.8491245763395,0.014908671379089355,519.078416053219,-94.57014191235523,-481.83142821157725,0.007010936737060547,3207.545052315467,417.4911509402668,4.402526157733337,3.0241106370665216,3202.232526157733,612.9831689586664,6.977473842266663,179.46,3202.15,622.1531689586664,6.984947684533325,179.46,3202.8574738422667,1210.1319879877335,7.6349476845333255,359.45,3203.0674738422667,1188.4321972496004,8.43,359.45,2374.3794918606663,113.54494768453331,11.572526157733336,268.77,3203.727473842266,1119.2921972496003,8.332526157733337,359.45,3205.37,947.6518833568003,7.185052315466675,359.45,2535.497279595733,184.3184305359997,11.967683104133362,239.79,3205.19,331.31011964626634,9.102316895866638,179.77,3003.626831041333,881.4,6.955052315466674,89.71,3044.3195664609334,881.3025261577333,7.955052315466674,89.71,3204.192526157733,537.130328908133,8.364843053599975,179.46,2891.296831041333,880.84,6.972526157733338,89.71,3202.7,723.2328550658664,8.224947684533324,179.99,2658.429357199067,877.2409416784003,7.95,63.03,2651.119790738133,823.8368310413338,6.98,353.93,3201.83,973.0152765926663,8.577369211333309,179.45,2722.0737967442665,655.5315694640002,7.462526157733338,322.4,,,,,,,,,,,,,,,,,,,,,,,,,2c,23,1568967420
13813,13813,409.3501270392445,1568967876.1677206,409.3501270392445,-83.07517838607801,670.3392761155892,-8.382173611894867,586.1621207786059,0.9935818910598756,698.3687494704338,18.498508543052054,639.8419795856382,0.9509376287460328,715.5174628497579,-33.303930408244256,645.0677800940199,0.988256573677063,667.3838535235748,56.27131877470771,656.2581636000814,0.8437754511833191,689.4514520286307,-71.19920582451451,650.7810009131906,0.7317018508911133,558.9957248723446,120.51927949174521,533.9623446696987,0.8211526870727539,568.065487817084,-112.97747115897764,527.2335694851088,0.35219117999076843,655.8512682569348,216.5930375051361,353.3081990335709,0.5560168623924255,610.8978153116988,-215.71898176448462,351.1326716326411,0.02102932333946228,830.3075401156725,244.38995437358705,222.40750083841567,0.9039757251739502,785.4843953617917,-244.19110389794645,199.05182478267383,0.8644313812255859,514.532516347976,121.30029299460308,161.7023568167479,0.014437437057495115,396.3190267135714,-92.7066989845554,197.47298698809126,0.5817555785179138,753.3533783071683,165.50973395471286,85.62440931329938,0.07307490706443788,490.17428738321587,-92.67285709386374,-136.16685766196935,0.30881160497665405,485.02719150921797,153.84490792420348,-417.3163756524515,0.0022898614406585693,574.7515131263252,-76.0379760920381,-422.3435343544568,0.0046201646327972395,3207.5500254078493,417.6005589726759,4.405012703924452,2.9395680665686386,3202.2350127039244,612.8091107252884,6.9749872960755495,179.46,3202.15,621.9791107252884,6.9799745921510965,179.46,3202.854987296076,1210.3209654982586,7.629974592151097,359.45,3203.064987296076,1188.641067129654,8.43,359.45,2374.093539048688,113.53997459215108,11.575012703924454,268.77,3203.724987296076,1119.5010671296538,8.335012703924452,359.45,3205.37,947.8309146825604,7.190025407848902,359.45,2535.238678791857,184.16923776453288,11.985088927471164,239.79,3205.19,331.08384394287486,9.084911072528838,179.77,3003.800889274712,881.4,6.960025407848903,89.71,3044.516003610032,881.3050127039244,7.960025407848903,89.71,3204.1950127039245,536.9239455742705,8.34992377645329,179.46,2891.470889274712,880.84,6.9750127039244525,89.71,3202.7,723.0289582781951,8.219974592151098,179.99,2658.6059019786358,877.3304573412802,7.95,63.03,2651.0998983686045,824.0108892747116,6.98,353.93,3201.83,972.8039201664217,8.564936480377739,179.45,2721.9594156194753,655.6807622354671,7.465012703924452,322.4,,,,,,,,,,,,,,,,,,,,,,,,,2c,23,1568967420
13814,13814,409.37500432286316,1568967876.201336,409.37500432286316,-94.77944608312656,667.2304663449853,-10.090272770907248,584.2366801578597,0.9936800003051758,691.6088155318671,17.285001712989143,636.7429654665508,0.9558365941047668,708.4999350354233,-34.47349655834114,642.3003914561539,0.9886133074760436,655.4230636900717,57.145171581846625,653.7502162328846,0.8274506926536559,685.7229480507029,-71.16319758162078,650.9376643515703,0.6686080694198608,555.3640961722407,120.4405015262218,532.6719732113235,0.8178654909133911,568.2347435249468,-112.4775017479103,526.93375245957,0.3740468919277191,660.915177305405,213.68346432686863,358.0093920773358,0.5958762764930725,613.4131292463035,-215.74438490520456,342.6828498633838,0.02523323893547058,833.674567580715,243.45554726919858,224.92115401337352,0.9144576787948608,778.9790833320897,-250.62285237098928,191.03030479167526,0.8839432597160339,540.9073308079654,123.80689023598013,158.2582317995155,0.019205331802368164,397.5470091095036,-92.03816864727823,195.54240592201768,0.3058505058288574,797.7205689690053,150.61371786526684,92.33834959882331,0.057318776845932014,501.5270044337152,-95.51666653736929,-128.09591709462902,0.35944417119026184,535.3698995922911,152.6016974849467,-420.7238787547228,0.003447502851486206,709.440886694587,-88.79738200951981,-287.2797590316983,0.002025008201599121,3207.555000864573,417.710019020598,4.4075004322863185,2.8549853022651988,3202.2375004322857,612.6349697399577,6.972499567713682,179.46,3202.15,621.8049697399578,6.974999135427366,179.46,3202.852499567713,1210.5100328537599,7.6249991354273625,359.45,3203.062499567713,1188.8500363120504,8.43,359.45,2373.807450287073,113.53499913542736,11.577500432286318,268.77,3203.722499567713,1119.7100363120508,8.337500432286317,359.45,3205.37,948.0100311246147,7.195000864572635,359.45,2534.979955042223,184.0199740628209,12.002503026004224,239.79,3205.19,330.85746066194514,9.067496973995775,179.77,3003.975030260043,881.4,6.965000864572637,89.71,3044.712534150619,881.3075004322862,7.965000864572637,89.71,3204.1975004322862,536.7174641202356,8.334997406282094,179.46,2891.645030260043,880.84,6.977500432286317,89.71,3202.7,722.8249645525218,8.214999135427366,179.99,2658.782530692329,877.4200155623074,7.95,63.03,2651.079996541709,824.1850302600423,6.98,353.93,3201.83,972.592463255663,8.55249783856841,179.45,2721.844980114829,655.830025937179,7.467500432286317,322.4,,,,,,,,,,,,,,,,,,,,,,,,,2c,23,1568967420
13815,13815,409.4,1568967876.2351112,409.4,-86.95514524775311,663.4802160026646,-9.713980331458835,582.9246476418417,0.9941192865371704,694.2117017636255,17.415125729620605,638.5741943761851,0.9539057612419128,693.982255018961,-35.605693339492824,636.8109165312792,0.9860826730728148,663.769442211236,55.04764103300804,656.8091153241386,0.8383195400238037,669.3124186916865,-67.091567202786,637.5098082014238,0.3787733316421509,558.169044310688,119.16892868592501,535.6028745237443,0.8055750727653503,565.2098759580414,-112.4239390585845,525.5203869927501,0.32046931982040405,680.2395287410437,218.67184550427842,364.3519557238463,0.9338935613632202,619.3533724621883,-215.8532635386537,341.5840155671752,0.02246001362800598,825.6714289385206,242.82756143031108,214.7188878572641,0.9210337996482848,792.0590694549509,-243.86989951152862,197.87140077710487,0.7795414924621582,492.30509937294886,123.15728303635231,158.9180185327308,0.03866234421730042,386.47988688479074,-96.5367832456787,195.34375205412627,0.5951519012451172,794.0832202225673,176.19046666799477,111.54638520227428,0.04183098673820496,518.4800092306258,-100.41098167153092,-111.96658089424784,0.4803796708583832,324.6847478057987,223.4864869688569,-580.9242328921375,0.005642443895339966,779.0791787727994,-95.19147018075441,-217.90159891185039,0.0037265121936798096,3207.56,417.82,4.41,2.77,3202.24,612.46,6.97,179.46,3202.15,621.63,6.97,179.46,3202.85,1210.7,7.62,359.45,3203.06,1189.06,8.43,359.45,2373.52,113.53,11.58,268.77,3203.72,1119.92,8.34,359.45,3205.37,948.19,7.2,359.45,2534.72,183.87,12.02,239.79,3205.19,330.63,9.05,179.77,3004.15,881.4,6.97,89.71,3044.91,881.31,7.97,89.71,3204.2,536.51,8.32,179.46,2891.82,880.84,6.98,89.71,3202.7,722.62,8.21,179.99,2658.96,877.51,7.95,63.03,2651.06,824.36,6.98,353.93,3201.83,972.38,8.54,179.45,2721.73,655.98,7.47,322.4,,,,,,,,,,,,,,,,,,,,,,,,,2c,23,1568967420
13816,13816,409.4495668614277,1568967876.268302,409.4495668614277,-89.0704054646637,670.150699983941,-10.075006712697224,585.7522850237735,0.9938855171203612,687.5018930674869,17.030031043502333,636.0803041739947,0.9516677856445312,696.6537889199727,-35.783893609592205,637.4987778275024,0.9860414266586304,658.2856950687594,53.72273548988701,654.4767472777544,0.8418440818786621,677.9231601148767,-64.92270290045805,638.9196778175112,0.41591811180114746,555.1344653328597,119.12461070380957,533.0220612882645,0.8219227790832521,564.1480040881821,-112.19211712164349,525.2100209104049,0.3173621296882629,654.3784457375788,221.50305431621533,350.64062710897065,0.9310329556465148,627.0979471370694,-215.57543679463936,343.2028318272132,0.018685907125473026,834.8443517006723,240.5589462459618,220.39776279414286,0.9236574172973632,781.9027163666133,-245.38719414265134,187.44420084573173,0.8187825679779053,447.47557891711153,123.43023713578488,147.7924928795531,0.0311717689037323,391.28700222747847,-99.34112495576927,203.54109311335964,0.579730212688446,783.0105785005127,183.9233070218692,108.0402244361167,0.041560620069503784,517.0007411030484,-101.26207733594192,-77.51031733268782,0.14811107516288755,449.93222748623566,185.72914777376755,-478.70864769632516,0.0016367435455322266,498.9004627478023,-118.31344023450936,-435.1358150926864,0.018265724182128903,3207.564956686143,418.0430508764246,4.41,2.5370357512898325,3202.2449566861433,612.1130319700061,6.965043313857231,179.46,3202.154956686143,621.283031970006,6.960086627714461,179.46,3202.85,1211.0816648329933,7.664610175284926,359.45,3203.055043313857,1189.4813183221354,8.459740116856617,359.45,2372.945024407439,113.51512994157169,11.550259883143385,268.77,3203.72,1120.33140494985,8.325129941571692,359.45,3205.365043313857,948.5468814022794,7.165303197000613,359.45,2534.204504641152,183.56764214529102,12.049740116856615,239.79,3205.1949566861426,330.178941561008,9.084696802999387,179.77,3004.4969680299932,881.4049566861428,6.97495668614277,89.71,3045.306534891421,881.31,7.960086627714461,89.71,3204.2049566861433,536.0936383640073,8.349740116856617,179.46,2892.1620113438507,880.8449566861427,6.970086627714461,89.71,3202.7,722.2185084224358,8.170346510857843,179.99,2659.242531110138,877.6041770367126,7.959913372285539,64.82432038368258,2651.0253031970005,824.702011343851,6.98495668614277,353.93,3201.8349566861434,971.953724991722,8.554870058428309,179.45,2721.5069491235754,656.2724444824235,7.455129941571691,322.4,,,,,,,,,,,,,,,,,,,,,,,,,2c,23,1568967420
