,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.10_x,H_in-C_out.10_y,H_in-C_out.10_speed,H_in-C_out.10_angle,H_in-C_out.11_x,H_in-C_out.11_y,H_in-C_out.11_speed,H_in-C_out.11_angle,H_in-C_out.12_x,H_in-C_out.12_y,H_in-C_out.12_speed,H_in-C_out.12_angle,E_in-C_out.3_x,E_in-C_out.3_y,E_in-C_out.3_speed,E_in-C_out.3_angle,E_in-C_out.4_x,E_in-C_out.4_y,E_in-C_out.4_speed,E_in-C_out.4_angle,E_in-C_out.5_x,E_in-C_out.5_y,E_in-C_out.5_speed,E_in-C_out.5_angle,H_in-C_out.13_x,H_in-C_out.13_y,H_in-C_out.13_speed,H_in-C_out.13_angle,E_in-C_out.6_x,E_in-C_out.6_y,E_in-C_out.6_speed,E_in-C_out.6_angle,H_in-C_out.14_x,H_in-C_out.14_y,H_in-C_out.14_speed,H_in-C_out.14_angle,E_in-C_out.7_x,E_in-C_out.7_y,E_in-C_out.7_speed,E_in-C_out.7_angle,E_in-C_out.8_x,E_in-C_out.8_y,E_in-C_out.8_speed,E_in-C_out.8_angle,E_in-C_out.9_x,E_in-C_out.9_y,E_in-C_out.9_speed,E_in-C_out.9_angle,E_in-C_out.10_x,E_in-C_out.10_y,E_in-C_out.10_speed,E_in-C_out.10_angle,H_in-C_out.15_x,H_in-C_out.15_y,H_in-C_out.15_speed,H_in-C_out.15_angle,H_in-C_out.16_x,H_in-C_out.16_y,H_in-C_out.16_speed,H_in-C_out.16_angle,E_in-C_out.11_x,E_in-C_out.11_y,E_in-C_out.11_speed,E_in-C_out.11_angle,E_in-C_out.12_x,E_in-C_out.12_y,E_in-C_out.12_speed,E_in-C_out.12_angle,E_in-C_out.13_x,E_in-C_out.13_y,E_in-C_out.13_speed,E_in-C_out.13_angle,H_in-C_out.17_x,H_in-C_out.17_y,H_in-C_out.17_speed,H_in-C_out.17_angle,E_in-C_out.14_x,E_in-C_out.14_y,E_in-C_out.14_speed,E_in-C_out.14_angle,E_in-C_out.15_x,E_in-C_out.15_y,E_in-C_out.15_speed,E_in-C_out.15_angle,H_in-C_out.18_x,H_in-C_out.18_y,H_in-C_out.18_speed,H_in-C_out.18_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,H_in-C_out.20_x,H_in-C_out.20_y,H_in-C_out.20_speed,H_in-C_out.20_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,E_in-C_out.16_x,E_in-C_out.16_y,E_in-C_out.16_speed,E_in-C_out.16_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,E_in-C_out.17_x,E_in-C_out.17_y,E_in-C_out.17_speed,E_in-C_out.17_angle,scenario,participant_id,source_file
16165,16165,489.53336631708646,1568296963.8155494,489.53336631708646,-96.53674034988352,,577.3646997911218,101.06830218377816,757.8204018855351,0.9993796348571776,563.1193272939179,127.59544979010091,788.799318301521,0.9971410036087036,549.6159582084507,66.45170832230895,778.9912485203404,0.9988703727722168,529.9808363462172,171.73134670376862,778.3310064305684,0.8434098362922668,519.3378161851476,24.78830002554729,760.0374288468498,0.8083673715591431,446.80493984825694,244.30122445409413,604.4121268509505,0.8535895347595215,450.3964346171664,-37.520138073486656,595.0212025220178,0.9755033254623412,585.0285330985116,317.58229809758564,398.91310527479635,0.9081929326057434,538.7191616504383,-131.62686595094573,348.08659842465295,0.9127228856086732,751.1962768869397,358.83720960601363,207.46913852968703,0.9132218956947328,779.8112523857599,-146.328780808617,221.51200646515386,0.7360224723815918,420.1600247555601,177.39424412976945,141.3810444591557,0.4581701159477234,479.28686435353904,-22.25412167550233,160.68189682802455,0.4326719343662262,674.9244208654202,191.12009431487243,-21.09009503049549,0.023117482662200928,821.8277857811136,-79.93567196591067,111.36477505289128,0.013000130653381348,327.6900815489504,222.1116715409415,-713.5582293174615,0.002905845642089844,610.0975876927267,-110.2649415600485,-383.28216507535416,0.00691106915473938,3207.89,470.953435582968,3.053336631708645,0.17664357803948255,3206.093336631709,62.67976251697754,7.253316841456772,179.26,3204.3533366317088,196.5830793584343,7.759980209748128,179.26,3204.143336631709,218.91976251697758,7.133356421960517,179.51,3208.18,56.88642588526889,7.280029685377808,179.29336631708645,3207.523336631709,71.63976251697753,7.243326736582709,179.26,3207.333336631709,86.37309914868618,7.100009895125936,179.26,3200.89,658.4230694633084,7.993326736582709,179.46,3205.3533366317088,291.0230991486862,7.193306946330838,179.77,3197.283336631709,732.4230694633084,7.983316841456772,179.64,3205.3,305.1597625169776,7.14332673658271,179.77,3205.2,329.37639619989113,8.219990104874064,179.77,3204.96,388.99972293647374,8.359980209748127,179.77,3204.76,438.66972293647376,8.303346526834579,179.77,3072.9369305366918,881.45,7.983336631708647,89.71,2832.283593904983,880.23,7.969990104874063,89.69,3202.993336631709,665.0563863047653,8.573306946330836,179.46,3202.743336631709,692.0630397779306,8.996653473165418,179.46,3201.913336631709,964.0163368291356,9.986653473165418,179.45,2695.8565050462767,689.5802077976448,7.966663368291353,322.4,3200.65,1096.3263467242614,9.746653473165418,179.45,3200.24,1139.1597328315995,8.213306946330839,179.45,2744.1431585194423,630.3101979025188,7.963346526834582,318.43,,,,,,,,,,,,,,,,,,,,,,,,,2c,9,1568296430
16166,16166,489.56697477932204,1568296963.8492362,489.56697477932204,-93.40820546695069,,571.0308354914196,104.26741350853256,755.2748457245611,0.9994040131568908,566.3959445733158,129.359975127035,791.204897124751,0.99594908952713,552.3082510547265,66.66661877338287,780.9613872332848,0.9925183057785034,518.1774989095135,175.4288214573555,777.7667230708053,0.8150457143783569,510.11933886494415,26.137507158385052,753.4398376613217,0.8464668989181519,458.843195748918,242.91792874380508,608.9589168035103,0.8653859496116638,450.5685001776537,-35.808613245282835,594.7505883705303,0.9770674109458924,575.0088007218284,320.6280056471003,395.209652013234,0.9074615240097046,551.4847128639361,-132.43327464034843,359.8900397965451,0.8972898721694946,737.6790435085668,357.08039480541856,206.19914386313647,0.9039579629898072,762.3180414198453,-148.82488455993487,210.5502044390044,0.8191996216773987,428.025110314176,180.387153516531,146.80481546354116,0.5402787923812866,488.72637501321196,-22.017205674649958,162.85275210732672,0.3265022039413452,704.8682523963988,189.5479458861534,3.779184691619548,0.02361267805099488,819.2969481172099,-77.61493850537553,91.8540258610482,0.011654466390609741,310.4022017368257,230.01947987453892,-735.2883355721559,0.003972679376602173,612.9634827853687,-110.03413059483348,-393.4823562354765,0.00688934326171875,3207.89,471.0576218158983,3.0566974779322025,0.153117654474584,3206.096697477932,62.437781588881435,7.2365126103389885,179.26,3204.356697477933,196.3242941992204,7.739815132406787,179.26,3204.146697477933,218.67778158888146,7.156882345525416,179.51,3208.18,56.64108411094923,7.310277301389822,179.326974779322,3207.526697477933,71.39778158888143,7.2366050441355965,179.26,3207.336697477933,86.13447906681364,7.110092433796607,179.26,3200.89,658.1542017654239,7.9866050441355965,179.46,3205.356697477933,290.7844790668136,7.166420176542381,179.77,3197.286697477932,732.1542017654239,7.966512610338988,179.64,3205.3,304.91778158888144,7.136605044135594,179.77,3205.2,329.10080680955934,8.209907566203393,179.77,3204.96,388.717411853695,8.339815132406788,179.77,3204.76,438.38741185369497,8.31678991172881,179.77,3073.205798234576,881.45,7.986697477932202,89.71,2832.5491007566443,880.23,7.959907566203394,89.69,3202.9966974779322,664.7707143757629,8.546420176542382,179.46,3202.7466974779322,691.7639244640341,8.983210088271191,179.46,3201.9166974779328,963.6802522067798,9.973210088271193,179.45,2695.6918235813228,689.7919411097287,7.963302522067797,322.4,3200.65,1096.0003446405763,9.733210088271193,179.45,3200.24,1138.8875042874915,8.186420176542383,179.45,2743.9650336695927,630.5118486759321,7.976789911728809,318.43,,,,,,,,,,,,,,,,,,,,,,,,,2c,9,1568296430
16167,16167,489.6,1568296963.8823385,489.6,-94.31442422350048,,573.504366984089,105.45274281316696,757.8719238191603,0.9994176626205444,562.723095902006,131.6041884188581,790.8131046564082,0.9953349828720092,551.7433670007539,67.8912652900446,782.6220599870596,0.9940084218978882,526.2544991741988,175.7621586078854,779.5004386408009,0.797324538230896,515.0913079896634,29.85915239102075,758.9866197346727,0.9463405609130859,455.81660250529205,243.89087148201642,608.4792424447643,0.8455682396888733,450.49902524614333,-35.18232907159534,594.9184067633049,0.975807785987854,578.5116907701195,322.4635841452755,396.0205801174057,0.8972184062004089,551.7085586874956,-130.84832111919889,362.80278915469523,0.5973911881446838,739.9351048416112,360.94962614092276,199.020259239944,0.8905167579650879,772.9134644707143,-146.57070497735796,216.29142687188167,0.8115652203559875,413.6530584316145,177.65507717244034,137.01766631071357,0.5183880329132079,486.8399546009989,-20.27894140990879,164.52904953685757,0.4331430494785309,611.2725417250501,196.80366381256698,-61.0801521344913,0.14623403549194336,828.0791187251992,-70.45940761601993,90.26462205238487,0.018942981958389282,293.2463794961252,231.5350785220081,-751.1067051613425,0.0037653446197509774,611.7012344219889,-107.52236210659487,-400.1797798804914,0.00583726167678833,3207.89,471.16,3.06,0.13,3206.1,62.2,7.22,179.26,3204.36,196.07,7.72,179.26,3204.15,218.44,7.18,179.51,3208.18,56.4,7.34,179.36,3207.53,71.16,7.23,179.26,3207.34,85.9,7.12,179.26,3200.89,657.89,7.98,179.46,3205.36,290.55,7.14,179.77,3197.29,731.89,7.95,179.64,3205.3,304.68,7.13,179.77,3205.2,328.83,8.2,179.77,3204.96,388.44,8.32,179.77,3204.76,438.11,8.33,179.77,3073.47,881.45,7.99,89.71,2832.81,880.23,7.95,89.69,3203.0,664.49,8.52,179.46,3202.75,691.47,8.97,179.46,3201.92,963.35,9.96,179.45,2695.53,690.0,7.96,322.4,3200.65,1095.68,9.72,179.45,3200.24,1138.62,8.16,179.45,2743.79,630.71,7.99,318.43,,,,,,,,,,,,,,,,,,,,,,,,,2c,9,1568296430
16168,16168,489.63341421638603,1568296963.9158268,489.63341421638603,-91.86556960705308,,576.7829920949988,105.3717857691428,760.1740953124989,0.9992910027503968,551.0176243054673,132.1816088172292,788.6124596055809,0.9956041574478148,554.7108399161561,69.216303590503,785.1718610227891,0.9946880340576172,530.2433712778061,176.78689335020562,781.8969422051512,0.8223298788070679,519.3926825331516,32.401713924861546,759.9371361624821,0.943773865699768,451.653112984586,243.89319395359868,605.4876008200516,0.9879345297813416,451.25671853279437,-35.435898602854046,593.3765753445323,0.9788721799850464,575.3506442756518,325.78235430925764,393.26410320967767,0.8834661245346069,553.5558910222338,-133.55519894550378,359.82743706134903,0.9873495101928712,740.0442417098233,362.2780467922016,198.57171306848286,0.862013578414917,772.2005274754181,-145.3006250812502,213.67905021635738,0.7968510389328003,419.7845835993693,179.53042071980374,136.60645670080842,0.4826447069644928,476.4792522931482,-14.649775349584448,166.29486812307408,0.3865080177783966,608.3922329906212,196.93807741041203,-61.28459423084587,0.08614325523376465,835.6115460213119,-86.01123279941922,128.10623376560002,0.010093122720718384,260.22047419206336,235.63251439529083,-785.4853191937461,0.003310680389404297,578.0110746675391,-110.2136114347951,-397.5167017711531,0.0030240416526794434,3207.89,471.2602426491579,3.056658578361404,0.11329289180701947,3206.103341421639,61.95607622038249,7.2467313731087675,179.26,3204.363341421639,195.80936911218947,7.73670710819298,179.26,3204.1533414216387,218.19607622038245,7.220097059663153,179.51,3208.176658578361,56.15607622038248,7.326634313445615,179.39341421638596,3207.533341421639,70.91941764202106,7.223317156722808,179.26,3207.343341421639,85.66275906365969,7.113317156722808,179.26,3200.893341421639,657.6260276905508,7.976658578361403,179.46,3205.36,290.3127590636597,7.126634313445615,179.77,3197.29,731.6260276905508,7.9466585783614025,179.64,3205.3,304.4427590636597,7.1366828432771925,179.77,3205.203341421639,328.5526620039965,8.203341421638598,179.77,3204.9633414216387,388.15932058235785,8.346731373108769,179.77,3204.763341421639,437.8326620039965,8.340024264915789,179.77,3073.737313731088,881.45,7.979975735084213,89.71,2833.0773137310875,880.23,7.9600242649157895,89.69,3203.0033414216387,664.2026377390807,8.533365686554385,179.46,3202.7533414216387,691.1659306308877,9.003414216385961,179.46,3201.9233414216387,963.0158578361404,9.966682843277193,179.45,2695.369611761348,690.2105095632315,7.96,322.4,3200.6533414216387,1095.3525406794176,9.740048529831578,179.45,3200.243341421639,1138.346003425635,8.166682843277192,179.45,2743.6129046531546,630.9104852983157,7.976634313445616,318.43,,,,,,,,,,,,,,,,,,,,,,,,,2c,9,1568296430
16169,16169,489.66686720905886,1568296963.949354,489.66686720905886,-93.77334162456124,,573.5610501402002,106.17002411620042,758.7810289482544,0.9993611574172974,547.0457682041189,132.43163268229284,786.5900226458383,0.9951499700546264,551.409417870136,70.12958280078503,783.9471191170778,0.9956099987030028,537.0275153936658,175.98110212663158,781.244270126929,0.8171707391738892,520.5076385990734,33.33143862482964,758.5133977950345,0.9504959583282472,453.24951378269117,242.6189246414856,611.8696729971714,0.9543194770812988,450.7530011887196,-34.03535715184869,594.4550515823672,0.9771543741226196,571.4476107001358,325.5729703654993,390.14110102046254,0.8708528876304626,552.5051943866478,-129.27495843655478,362.1827728397757,0.5728989243507385,740.2274357805513,360.9560919964972,208.40887030288124,0.9337804317474364,767.7866305659016,-145.67122193600167,214.17418659107798,0.8178672194480896,432.77909034710717,180.61390871557882,145.97029347662468,0.5351787209510803,468.7102302334909,-8.919552944375942,166.32136220325575,0.45377063751220703,665.2831348400256,198.87945809143704,-28.58294741201525,0.03630220890045166,840.6053482733265,-86.61321483351595,142.52800947461822,0.012114405632019043,261.4573115212873,261.3613907811903,-780.8356334358642,0.004282742738723755,580.6509008317977,-112.06606595284029,-414.6264096042845,0.008464723825454712,3207.89,471.36060162717683,3.0533132790941075,0.09656639547053937,3206.1066867209056,61.71186937386987,7.273493767247138,179.26,3204.366686720906,195.5484357693404,7.75343360452946,179.26,3204.156686720906,217.95186937386987,7.2602406508707045,179.51,3208.173313279094,55.911869373869884,7.3132531163764325,179.42686720905894,3207.536686720906,70.67855609477576,7.216626558188215,179.26,3207.346686720906,85.42524281568166,7.106626558188215,179.26,3200.8966867209056,657.3617490484345,7.973313279094107,179.46,3205.36,290.07524281568163,7.113253116376432,179.77,3197.29,731.3617490484345,7.943313279094109,179.64,3205.3,304.2052428156817,7.143373441811785,179.77,3205.206686720906,328.27500216481087,8.206686720905893,179.77,3204.9666867209057,387.8783154439051,8.373493767247139,179.77,3204.766686720906,437.55500216481096,8.350060162717677,179.77,3074.0049376724714,881.45,7.969939837282324,89.71,2833.344937672472,880.23,7.970060162717678,89.69,3203.0066867209057,663.9149420020933,8.546746883623568,179.46,3202.7566867209057,690.8615083975637,9.036867209058922,179.46,3201.9266867209058,962.6813279094107,9.973373441811784,179.45,2695.209037396517,690.421263417071,7.96,322.4,3200.656686720906,1095.0247013512226,9.76012032543535,179.45,3200.246686720906,1138.0716888857166,8.173373441811782,179.45,2743.435603791988,631.1112032543535,7.963253116376432,318.43,,,,,,,,,,,,,,,,,,,,,,,,,2c,9,1568296430
16170,16170,489.7,1568296963.9825602,489.7,-94.24161427689184,,573.2569767585054,106.7029500715207,758.9401388482161,0.9993332624435424,553.6628696350626,133.3708550074355,789.5559609215295,0.9946810007095336,565.5480217037999,70.17481305716973,788.7280083491084,0.9946489334106444,528.0778773728363,177.34471124997458,777.4892718952988,0.8354958295822144,514.687031091057,29.34137153636652,757.2699670657698,0.8487992286682129,461.25310250602286,242.2685930207214,606.9790377604279,0.9847970604896544,453.0476669943897,-31.76903568897542,589.9173027321068,0.7271648049354553,574.9897981745581,326.66308000289797,391.7477364810888,0.852944016456604,547.8209134068783,-129.63922696036008,358.49095659304345,0.5941958427429199,735.4382021479494,361.63575632759654,200.76136474303613,0.8953843712806702,762.9948028864227,-146.2712834563719,205.5482934281061,0.7677591443061829,416.98813486545714,183.6834971668948,142.38564691578185,0.6392660140991211,449.66132558557786,-14.69771186991789,190.3885940969307,0.4504684209823608,657.0611115296913,204.49096730876408,-21.199521919735613,0.2845844626426697,821.4599247284683,-86.89736374250325,144.74033593138589,0.04825890064239502,262.8262793271793,275.83426977873404,-780.2106035780741,0.003314882516860962,551.7294918300352,-114.70277325674105,-405.99143044382674,0.014937996864318848,3207.89,471.46,3.05,0.08,3206.11,61.47,7.3,179.26,3204.37,195.29,7.77,179.26,3204.16,217.71,7.3,179.51,3208.17,55.67,7.3,179.46,3207.54,70.44,7.21,179.26,3207.35,85.19,7.1,179.26,3200.9,657.1,7.97,179.46,3205.36,289.84,7.1,179.77,3197.29,731.1,7.94,179.64,3205.3,303.97,7.15,179.77,3205.21,328.0,8.21,179.77,3204.97,387.6,8.4,179.77,3204.77,437.28,8.36,179.77,3074.27,881.45,7.96,89.71,2833.61,880.23,7.98,89.69,3203.01,663.63,8.56,179.46,3202.76,690.56,9.07,179.46,3201.93,962.35,9.98,179.45,2695.05,690.63,7.96,322.4,3200.66,1094.7,9.78,179.45,3200.25,1137.8,8.18,179.45,2743.26,631.31,7.95,318.43,,,,,,,,,,,,,,,,,,,,,,,,,2c,9,1568296430
16171,16171,489.73331416035415,1568296964.0159776,489.73331416035415,-93.70337484893696,,576.8770820482936,107.39481524095163,760.1028884184062,0.9993689656257628,557.5169624256858,132.50847240311242,791.2043246968399,0.9950379133224488,551.9980010939544,69.42783772755317,784.3079097777754,0.9947850704193116,534.1422095831426,177.85752615602348,782.2118738998746,0.8350077867507935,508.6226486206166,31.257983470902424,754.471374025971,0.9551830887794496,460.7277893855896,240.6163959626056,608.7156628550448,0.9866201877593994,458.17274917168857,-30.834685096301985,589.0724518114082,0.7498245239257812,571.6767762621096,326.6440920188564,389.47301517717017,0.8700401782989502,550.5294097816964,-125.80965703584332,364.1071328073446,0.7258299589157104,741.6533383696315,359.5821429534188,210.05216138602958,0.9387260675430298,761.5314683498344,-149.04026550422927,205.58079767173317,0.7744491100311279,421.46544421085235,184.68993153940662,147.36791448617126,0.6019248366355896,445.4164608420168,-14.5209719502276,194.99479248822533,0.4564788639545441,645.9147692682436,207.09092585467639,-22.555586470326627,0.2404014766216278,797.2682882847503,-85.37511863143055,132.7933555942422,0.06417518854141235,259.8262839195887,283.137142828708,-785.9776243761737,0.0017524659633636475,553.8468671423627,-112.15645201423168,-379.41114043754976,0.031597644090652466,3207.89,471.55994248106265,3.00669159153952,0.08,3206.11,61.22347521337881,7.326651328283372,179.26,3204.373331416036,195.03348096527253,7.766668583964576,179.26,3204.16,217.46347521337884,7.336645576389638,179.51,3208.163337167929,55.42347521337881,7.309994248106265,179.49331416035423,3207.543331416036,70.19680662941423,7.226657080177107,179.26,3207.353331416036,84.95346946148506,7.0966685839645764,179.26,3200.9033314160356,656.8334867171662,7.979994248106265,179.46,3205.36,289.6001380454496,7.1066628320708425,179.77,3197.293331416036,730.8334867171662,7.943331416035424,179.64,3205.3,303.7301380454497,7.1599942481062655,179.77,3205.21,327.72682388509537,8.219994248106266,179.77,3204.97,387.32349246906,8.38001150378747,179.77,3204.77,437.00349246906,8.333348671716626,179.77,3074.5331818667987,881.4533314160353,7.953337167929157,89.71,2833.876513282834,880.2333314160353,7.98,89.69,3203.0133314160357,663.3434982209537,8.569994248106266,179.46,3202.7633314160357,690.2568411407767,9.07,179.46,3201.933331416036,962.016858396458,9.996657080177107,179.45,2694.8867606142644,690.8398792102315,7.96,322.4,3200.663331416036,1094.3735212285287,9.773337167929157,179.45,3200.253331416036,1137.5268238850956,8.193325664141685,179.45,2743.083434950123,631.5065535460898,7.953331416035423,318.43,,,,,,,,,,,,,,,,,,,,,,,,,2c,9,1568296430
16172,16172,489.76655582783303,1568296964.0493224,489.76655582783303,-91.73033628426599,,566.5038000982123,107.55204731034573,756.1516778437165,0.9992351531982422,557.7073755682843,133.00589810718066,791.428281589624,0.994853138923645,547.3385337915122,69.82640485528954,783.3090354259735,0.9945520162582396,532.2077101022617,178.77070959745404,780.4559368591351,0.8187977075576782,499.8708093556672,28.817457715422968,752.9667797685272,0.8613176941871643,449.93504027081434,242.746048768746,609.8612952278503,0.9563169479370116,458.6980203657776,-30.725134576322688,589.5184710168378,0.7318357825279236,579.0779356000661,323.5250051726804,393.331747846305,0.8617807626724243,558.3617620658089,-127.79179686970156,367.96478291387626,0.6444135308265686,738.5343714363278,360.94112884638815,202.92882769148568,0.9145753383636476,782.8431273294935,-144.43660846403395,219.38078135778463,0.7594982385635376,421.6532921589807,184.15600935485324,150.04951355049994,0.6138432025909424,436.4924337826094,-16.44076042013646,191.69980373381162,0.5078304409980774,655.2583950963516,207.85866956761464,-12.861837509920573,0.2797858715057373,821.5544457655617,-82.85359071841266,143.6605091800771,0.14852771162986755,254.72742825998142,288.1365831249317,-793.2365340486357,0.0023596584796905518,543.8541554625541,-109.8572551124349,-418.43561854159776,0.05042374134063722,3207.89,471.6596674834988,2.9634774238171384,0.08,3206.11,60.977486874036025,7.353244662266376,179.26,3204.3766555827833,194.77752012568612,7.763344417216703,179.26,3204.16,217.21748687403598,7.373211410616268,179.51,3208.1566888344337,55.17748687403603,7.319966748349892,179.526555827833,3207.5466555827834,69.95414245681931,7.243277913916486,179.26,3207.3566555827833,84.71745362238592,7.093344417216703,179.26,3200.906655582783,656.5675533773363,7.989966748349892,179.46,3205.36,289.3607980396026,7.113311165566594,179.77,3197.2966555827834,730.5675533773363,7.946655582783297,179.64,3205.3,303.4907980396026,7.169966748349892,179.77,3205.21,327.45424221176967,8.229966748349893,179.77,3204.97,387.04758662898627,8.360066503300217,179.77,3204.77,436.7275866289863,8.306755337733621,179.77,3074.7957910398804,881.4566555827834,7.946688834433407,89.71,2834.142446622664,880.2366555827832,7.98,89.69,3203.016655582783,663.0576198806365,8.579966748349891,179.46,3202.766655582783,689.9543419667198,9.07,179.46,3201.9366555827833,961.6844417216704,10.013277913916484,179.45,2694.7238764436183,691.0493017153477,7.96,322.4,3200.6666555827833,1094.0477528872368,9.766688834433406,179.45,3200.2566555827834,1137.2542422117695,8.206622331133188,179.45,2742.907254112485,631.7026793842144,7.956655582783298,318.43,,,,,,,,,,,,,,,,,,,,,,,,,2c,9,1568296430
16173,16173,489.8,1568296964.0828702,489.8,-94.17385543580272,,572.8265569027694,107.94477378600901,758.8422387170842,0.9992965459823608,553.8234026067032,133.7593992121275,790.8839354430127,0.9952020645141602,547.1115364466091,70.20166619509746,783.1354849442504,0.9944226741790771,534.4636136266164,178.8870795893381,782.8914433659007,0.7942321896553041,495.4722975440511,28.580563206636327,751.7648520242476,0.8390555381774902,451.67436580976823,240.86463192414837,604.6372591967188,0.985729455947876,456.3365523364785,-30.93085472434917,589.8110505038702,0.7445206046104431,584.0077024721899,322.2108716056445,395.5899646994045,0.8830273151397705,556.6423136874074,-128.85631674100148,366.3945190177013,0.6452627182006836,741.375074283931,354.58377636726675,205.78533091031025,0.8967061638832092,780.7887098426677,-146.97456708543172,216.79724939362643,0.8436149954795837,422.6420292244089,186.01218808850533,148.8287846782399,0.7170549631118774,442.8762267890858,-12.850417100740748,206.78453906624802,0.7426686286926271,689.6958300439304,203.82451075307202,-13.420946064900932,0.05105873942375183,834.154198439675,-77.92941363205404,147.74318867641318,0.14619359374046326,242.40105104365315,294.3534940042028,-803.1052694000356,0.004241347312927246,537.0866245975924,-107.19296798857948,-440.54768249391236,0.039155125617980964,3207.89,471.76,2.92,0.08,3206.11,60.73,7.38,179.26,3204.38,194.52,7.76,179.26,3204.16,216.97,7.41,179.51,3208.15,54.93,7.33,179.56,3207.55,69.71,7.26,179.26,3207.36,84.48,7.09,179.26,3200.91,656.3,8.0,179.46,3205.36,289.12,7.12,179.77,3197.3,730.3,7.95,179.64,3205.3,303.25,7.18,179.77,3205.21,327.18,8.24,179.77,3204.97,386.77,8.34,179.77,3204.77,436.45,8.28,179.77,3075.06,881.46,7.94,89.71,2834.41,880.24,7.98,89.69,3203.02,662.77,8.59,179.46,3202.77,689.65,9.07,179.46,3201.94,961.35,10.03,179.45,2694.56,691.26,7.96,322.4,3200.67,1093.72,9.76,179.45,3200.26,1136.98,8.22,179.45,2742.73,631.9,7.96,318.43,,,,,,,,,,,,,,,,,,,,,,,,,2c,9,1568296430
16174,16174,489.8341294129985,1568296964.1170099,489.8341294129985,-94.17385543580272,,573.035301494438,108.4221182588212,759.3723324835138,0.999263882637024,557.4205798870898,133.23698548055322,791.5314039334172,0.9948534965515136,547.4794512021167,73.6222739203463,782.5001343295822,0.9992750287055968,534.7403624534861,178.74217181403588,783.3262244947388,0.806681752204895,502.61939460851784,28.78523058573961,754.1565750386833,0.8798007369041443,447.17496108441566,242.3133915677436,603.1453361554312,0.9869359731674194,457.8881689065562,-30.90469850608736,590.6553148379381,0.7342783212661743,581.7917779108324,322.076033962585,391.3895418547035,0.8607314825057983,555.7798328797576,-129.55463928575128,367.1167306176956,0.6072898507118225,748.8078340981691,350.0787713048634,209.76531217547333,0.903395414352417,779.5991537897876,-150.3709037230384,218.24375210694987,0.8369215726852417,419.6750255989466,191.37430934444203,149.61866168003831,0.7038933038711548,446.49412710928635,-9.98732186247359,215.25081152755826,0.7154052257537842,696.3539250210644,205.08027653125785,-29.240680148069266,0.04194331169128418,845.2437123542488,-78.73488218921902,146.56160015674098,0.059238046407699585,264.2747804945339,288.5429795070748,-785.3390932431497,0.006489008665084839,523.3509401222797,-109.15786863799877,-457.76381080525437,0.04269519448280335,3207.89,471.8658011802953,3.005323532496233,0.08,3206.1134129413,60.4740294025113,7.410716471698643,179.26,3204.3834129413,194.25379057861176,7.7668258825997,179.26,3204.1634129413,216.71402940251133,7.437303530398794,179.51,3208.1397611761004,54.680855285111,7.316348234800603,179.59412941299846,3207.5534129413,69.46426822641085,7.239522352200904,179.26,3207.3634129413,84.2376811677107,7.107064706499246,179.26,3200.9134129413,656.026964696012,7.99658705870015,179.46,3205.36,288.8776811677107,7.1268258825996975,179.77,3197.3,730.026964696012,7.963651765199398,179.64,3205.3034129413,303.00426822641083,7.183412941299848,179.77,3205.21,326.90013881341235,8.222935293500754,179.77,3204.97,386.4833129308126,8.374129412998492,179.77,3204.77,436.1667258721125,8.303890589098947,179.77,3075.3330353039883,881.46,7.9570647064992475,89.71,2834.683035303988,880.24,7.98341294129985,89.69,3203.0234129413,662.4798999895128,8.58658705870015,179.46,3202.7734129413,689.3428352830134,9.059761176100453,179.46,3201.9434129413003,961.0087058700152,10.012935293500753,179.45,2694.3927658763073,691.4750153018906,7.96341294129985,322.4,3200.6734129413,1093.3889446939147,9.742935293500754,179.45,3200.2634129413,1136.7001388134124,8.2131741174003,179.45,2742.549114111108,632.104776477991,7.970238823899548,318.43,,,,,,,,,,,,,,,,,,,,,,,,,2c,9,1568296430
