,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,W_in-P_out.11_x,W_in-P_out.11_y,W_in-P_out.11_speed,W_in-P_out.11_angle,scenario,participant_id,source_file
39133,39133,1105.7,1568719891.8983016,1105.7,-91.16972373478252,669.8934066511011,54.07976563197346,699.0265284851649,0.9925422072410583,707.1226742078903,73.8052665830141,752.2610746140681,0.96844744682312,712.6558097224048,25.2626171378757,751.1611998107633,0.9813621640205384,691.5440485970928,111.39112761076755,779.6254598281328,0.3816368579864502,708.5424026320959,-10.66329890873242,770.6545260771072,0.4736419320106506,515.1988280376493,168.84020779909426,655.533091479615,0.9721483588218688,526.1057976092293,-51.45693235161355,641.6205595419731,0.7131451964378357,637.5062190832829,245.0276891357267,432.77412199293,0.09178075194358826,564.5268907815868,-114.23518192248615,359.856567724775,0.7654933929443359,847.6725355269998,319.06456006438736,233.2483926819399,0.7650983333587646,762.1820741322111,-151.6248115446076,210.8444774485599,0.6861782670021057,438.06795832188635,177.2288425960783,257.1791919199283,0.4586252570152282,458.07741859637343,-3.205467811046373,276.4388500973888,0.4027826189994812,839.8648049122331,249.8736128967757,137.91149270096142,0.03169935941696167,726.8389341076036,-46.06904017518371,136.94322592584558,0.3758260607719421,386.9154449638685,274.0990689735272,-662.2742974943673,0.012593060731887816,570.7610932044637,-104.32737975456664,-226.97128734788532,0.024863243103027344,1212.96,2099.51,5.3,269.9,1912.09,2092.77,7.89,90.16,1897.27,2092.81,7.9,90.16,1768.42,2093.16,8.87,90.25,1588.19,2094.86,8.9,90.57,1760.45,1236.69,7.06,179.85,1760.41,1251.89,7.14,179.85,1760.37,1267.11,7.08,179.85,727.06,2094.66,8.18,90.06,327.52,2093.87,5.54,93.56,315.17,2094.6,5.48,92.82,301.6,2095.27,5.44,92.82,165.48,2116.23,8.28,106.01,,,,,,,,,,,,,1d,15,1568718601
39134,39134,1105.732955064846,1568719891.931307,1105.732955064846,-77.03765720552461,673.2398446348091,50.60308878337778,699.6277035760572,0.993745982646942,716.3973340161058,68.88461353877939,753.3437742188821,0.9748833179473876,722.6461617236682,22.705756299406232,752.4660988279712,0.9788262844085692,696.2526169071141,107.85161561200243,780.2959247331598,0.4253178834915161,706.9443631556842,-14.232013147686748,771.2674460960579,0.4764013290405274,515.6676443121884,167.72805943191403,655.2365244393568,0.9729987382888794,519.4427132479343,-53.52873107077446,637.5557208556828,0.6940059661865234,628.6888059192028,246.35279740948585,432.85004409087617,0.13403028249740598,583.5312588252332,-113.13747275102921,366.06885617414207,0.8649699687957764,846.0097443999609,319.4090637714338,230.2876789519201,0.7566234469413757,748.4183863355528,-153.9702942455706,202.12000414496669,0.7631385922431946,444.89473344255026,178.0986569629154,264.2052337914116,0.40535253286361694,452.78012860294746,0.5411600381359012,273.71613112240345,0.4952545762062073,795.9774799034668,257.72568633942484,105.75006436941021,0.024017751216888428,733.5505486518408,-47.694656418868114,143.99332288830138,0.31763458251953125,380.52140647779055,278.79154521366,-675.4699576047785,0.020977675914764404,486.60734225021935,-115.6614396065758,-312.05292832724615,0.0128096342086792,1212.7853381563166,2099.51,5.3032955064846,269.89670449351536,1912.3470495057986,2092.77,7.870226961092403,90.16,1897.5303450122835,2092.81,7.916477532422997,90.16,1768.7133000771296,2093.16,8.87,90.23681797406158,1588.4800045706447,2094.8567044935157,8.873635948123205,90.57,1760.45,1236.459314546078,7.056704493515401,179.85,1760.41,1251.6560190395935,7.120226961092403,179.85,1760.37,1266.872723533109,7.0964775324229965,179.85,727.330231531737,2094.66,8.18,90.06,327.70454836313763,2093.8601134805467,5.54,93.56,315.351252856653,2094.5901134805467,5.496477532422998,92.82,301.781252856653,2095.260113480546,5.466364051876797,92.82,165.74034501228334,2116.157498857339,8.283295506484599,106.01,,,,,,,,,,,,,1d,15,1568718601
39135,39135,1105.766474318688,1568719891.9648776,1105.766474318688,-80.83465654086207,666.9841368953475,46.610565536490746,695.7614580129429,0.993766725063324,709.909439536955,67.88144240333784,747.8594459511978,0.9754425287246704,705.1009018479144,20.784501476366728,743.2600468491266,0.9734922051429749,695.0628225941434,108.33692014730043,779.0693482640934,0.5236178040504456,706.1813760081186,-14.651238809400349,772.1432591979773,0.4474139511585236,509.4700148818386,168.86240080936076,648.945900626598,0.9649676084518432,525.5892852071738,-49.74733734507185,640.2124444888293,0.6676405668258667,661.1457153279966,243.6399006384089,419.06655568763773,0.4399471580982208,580.8120209153583,-111.52665482890819,367.00588196812487,0.7464198470115662,841.840539824256,318.1767328324888,231.22835563303641,0.5017772912979126,758.607450715493,-150.0035771359619,215.89746118302025,0.8058959245681763,438.6830169062851,179.14344069728878,261.684440689783,0.4890696406364441,454.2646433462427,2.539295034308482,277.36538634059053,0.5223689675331116,775.9560659607297,262.31377502324534,92.07388766598736,0.01745709776878357,713.3460789110835,-48.47100202048637,123.78238577358472,0.2753748297691345,343.1603524095029,317.5196099686941,-708.8541244688098,0.014794349670410156,463.78763953047394,-145.17047323516888,-388.7274629139502,0.010503292083740234,1212.607686110953,2099.51,5.306647431868811,269.89335256813115,1912.6084996857671,2092.77,7.850115408787133,90.16,1897.7951471176361,2092.81,7.933237159344057,90.16,1769.0116214363245,2093.16,8.87,90.22341027252476,1588.7749740044553,2094.853352568131,8.84682054504951,90.57,1760.45,1236.2246797691832,7.053352568131188,179.85,1760.41,1251.4180323373143,7.100115408787133,179.85,1760.37,1266.6313849054457,7.113237159344057,179.85,727.6050894132425,2094.66,8.18,90.06,327.89225618465343,2093.8500577043937,5.54,93.56,315.53560875278464,2094.5800577043938,5.513237159344057,92.82,301.9656087527846,2095.2500577043934,5.493179454950488,92.82,166.00514711763608,2116.0837564988865,8.286647431868811,106.01,,,,,,,,,,,,,1d,15,1568718601
39136,39136,1105.8,1568719891.9984546,1105.8,-91.1705709874669,663.165451251827,44.492943563075904,693.978695100024,0.9930633306503296,708.0073595215033,66.80519865182352,746.1816934076753,0.9769729375839232,704.2951392598441,19.232153202701877,741.6878648167958,0.9764320850372314,691.7347881707228,110.19427877619678,777.8368385727937,0.6019188165664673,708.1001458738185,-14.352411566335096,773.0181128110063,0.4792190194129944,513.6957296047067,162.95816126981208,647.1519255599134,0.9446841478347778,513.7056186967271,-53.06024903511133,631.2132704961779,0.7458732128143309,666.5702458287673,239.937859884049,411.75016393223024,0.5882834792137146,598.7131287849219,-108.29289576021307,377.1189397122169,0.8680809736251831,849.6478097389933,317.66169359388266,238.532327378366,0.3695987164974213,753.4972880343439,-150.45327865667983,213.3576744658535,0.8152201175689697,428.9295335683184,180.905651816877,236.98012096912143,0.42703261971473694,445.531010256124,2.963217404954748,264.25403648703684,0.6388484239578247,795.9917077123091,218.29119428216012,82.69526235681344,0.009407252073287964,707.7324953013649,-46.2524166365345,104.29128943929716,0.3800305724143982,356.6000726397561,265.9017441075392,-693.7824135549935,0.02374622225761414,318.53144569245063,-175.2343193358437,-507.76516676072487,0.004871398210525514,1212.43,2099.51,5.31,269.89,1912.87,2092.77,7.83,90.16,1898.06,2092.81,7.95,90.16,1769.31,2093.16,8.87,90.21,1589.07,2094.85,8.82,90.57,1760.45,1235.99,7.05,179.85,1760.41,1251.18,7.08,179.85,1760.37,1266.39,7.13,179.85,727.88,2094.66,8.18,90.06,328.08,2093.84,5.54,93.56,315.72,2094.57,5.53,92.82,302.15,2095.24,5.52,92.82,166.27,2116.01,8.29,106.01,,,,,,,,,,,,,1d,15,1568718601
39137,39137,1105.8332497438003,1568719892.0320268,1105.8332497438003,-75.98296030326675,663.278916808993,45.377080774367855,693.1405065741379,0.9929288625717164,709.561578731109,68.09838861903516,746.8584202483827,0.9705053567886353,712.1707105686384,20.359349650641764,744.4087356647134,0.9749566316604614,691.2567666943797,111.5023379416071,777.0723642680524,0.578571617603302,707.7224092753884,-12.848048167615746,770.1990565573192,0.4075656831264496,519.265194029717,174.6552434576149,652.9728998142156,0.4715631008148194,526.4030729941823,-50.042848679156684,636.1588566706334,0.7465209364891052,641.9409322115349,235.945234236542,438.4254565476032,0.3704150319099426,600.7596103942437,-101.40084281603977,388.49047678651436,0.8620674014091492,844.8191084979761,318.9956753663105,236.44872828539704,0.4342586100101471,743.6735293366098,-153.72934233999308,213.9454481082542,0.8231531977653503,429.3323747582125,180.45184231266842,238.4150058433256,0.2147635817527771,459.51088546482003,25.17907190217712,270.518511811038,0.08432227373123169,797.5833153798329,195.43590185331058,72.75876018517657,0.0077676475048065186,688.7972220208441,-49.63048573293495,85.90251915079641,0.6033316850662231,363.09832252174095,239.4000284494387,-682.4202721017144,0.013498038053512572,489.7234839915442,-110.63548573543129,-450.8626223096072,0.05506038665771485,1212.2537763578575,2099.51,5.31,269.88667502561987,1913.129348001644,2092.77,7.826675025619953,90.16,1898.3226729760238,2092.81,7.926725179339664,90.16,1769.6059227198245,2093.16,8.87,90.19337512809976,1589.3659227198245,2094.84667502562,8.846599795040383,90.57,1760.45,1235.7539268190167,7.069949846280288,179.85,1760.41,1250.9439268190167,7.076675025619953,179.85,1760.37,1266.1572517933967,7.106725179339664,179.85,728.149322924784,2094.65667502562,8.160050153719713,90.06,328.25954861652264,2093.8300250768602,5.526700102479809,93.56,315.90287359090263,2094.56335005124,5.520025076859857,92.82,302.33619856528264,2095.23002507686,5.533299897520192,92.82,166.53599795040384,2115.9335255892597,8.286675025619951,106.01,,,,,,,,,,,,,1d,15,1568718601
39138,39138,1105.866507515974,1568719892.065607,1105.866507515974,-80.50880589124644,674.0380023537267,48.19321608247165,696.6933619232318,0.9920094609260559,712.4505396384676,71.92283578300405,749.6928726120944,0.9578391909599304,723.5130929651767,22.326310750359788,750.0831877253099,0.9755007028579712,689.2460509091629,114.39119832811848,775.7917037997438,0.4934086203575134,709.4084860797842,-11.476071702494572,770.5786172944687,0.4442320466041565,517.6432784345003,177.93327589397606,651.710632080308,0.9362338781356812,520.1921859876943,-60.79775605972814,638.5032245713372,0.1861535608768463,648.130241830163,240.33223191519005,421.25649210306204,0.2913669347763061,605.4912407250887,-101.39707112544113,385.7024635548578,0.9173399209976196,844.0474649505591,319.41877812059414,234.6027078931036,0.4217918813228607,751.543739681902,-155.83541996711554,212.95714555289288,0.8163751363754272,426.8650701090786,183.07757890867046,238.0568426622544,0.7038702368736267,445.23209194819947,4.1790767638439945,253.29592222849544,0.6178304553031921,841.7541532746577,219.17599634912239,103.22181416749416,0.003693222999572754,677.8741456802272,-41.09097631253547,50.47108334882489,0.45021316409111023,335.1319715950504,226.71914595839286,-712.7091963593386,0.017692774534225464,559.0471863911173,-73.0753956858117,-426.03459512213317,0.10870561003684998,1212.077510165338,2099.51,5.31,269.88334924840257,1913.388758624597,2092.77,7.823349248402601,90.16,1898.5854093761945,2092.81,7.903444738818207,90.16,1769.9019168921686,2093.16,8.87,90.176746242013,1589.6619168921686,2094.8433492484032,8.873206012779193,90.57,1760.45,1235.5177966365848,7.089904509584393,179.85,1760.41,1250.7077966365848,7.073349248402601,179.85,1760.37,1265.9244473881822,7.083444738818207,179.85,728.4187108793892,2094.6533492484027,8.140095490415607,90.06,328.43914058625955,2093.8200477452083,5.513396993610404,93.56,316.08579133785696,2094.556698496805,5.510047745207803,92.82,302.5224420894544,2095.220047745208,5.546603006389597,92.82,166.8020601277919,2115.85703271326,8.283349248402601,106.01,,,,,,,,,,,,,1d,15,1568718601
39139,39139,1105.9,1568719892.0994244,1105.9,-89.11262624372759,670.0843397015691,47.609129453455544,697.9039086587213,0.993180513381958,711.8586253045136,71.864604177668,751.6053470003637,0.95751953125,719.6078548123321,21.44282891301121,751.6522228243563,0.9781851768493652,687.3459663256972,118.22873214094629,778.3539575798204,0.4878375232219696,709.8456207149188,-9.502468700664751,770.7413515950294,0.37576594948768616,512.9723833845778,183.44523717448314,650.482946863318,0.9468142986297609,515.9791511884459,-65.03723802442842,637.6994545727907,0.1567862033843994,625.8094974362311,240.12099539323933,430.32354945430654,0.4138537049293518,601.0165856979179,-99.8775113962158,385.2567935776737,0.9091979265213012,844.2673540192525,320.21006513331304,233.1800050343087,0.35857316851615906,756.7858557862619,-160.3932597673441,213.7301910457272,0.7572668194770813,437.4533923832889,181.96114389821045,250.01660455062944,0.6415988206863403,440.9677092009182,-2.942385751321718,252.69312826661442,0.5120763182640076,737.3125951962431,210.59812962335158,46.91926893583255,0.03920447826385498,658.3370418948346,-39.768039855810564,22.911292389508052,0.33593979477882385,315.02763276922843,226.60021755719413,-738.6429181541014,0.04252004623413086,586.4874469245632,-54.071254937968206,-422.32688600146116,0.13657689094543454,1211.9,2099.51,5.31,269.88,1913.65,2092.77,7.82,90.16,1898.85,2092.81,7.88,90.16,1770.2,2093.16,8.87,90.16,1589.96,2094.84,8.9,90.57,1760.45,1235.28,7.11,179.85,1760.41,1250.47,7.07,179.85,1760.37,1265.69,7.06,179.85,728.69,2094.65,8.12,90.06,328.62,2093.81,5.5,93.56,316.27,2094.55,5.5,92.82,302.71,2095.21,5.56,92.82,167.07,2115.78,8.28,106.01,,,,,,,,,,,,,1d,15,1568718601
39140,39140,1105.9332016465194,1568719892.1328664,1105.9332016465194,-80.70881081838112,673.3621852545405,45.25849003359888,703.6131410501768,0.9935662746429444,711.2889806765613,75.12609114231317,752.8798862762453,0.9585216045379642,712.6329353563481,22.501816725897022,750.6589514924663,0.9815354347229004,688.614538001284,119.65330120794344,780.3891682544078,0.4669523239135742,710.3409841740804,-7.334307258340499,770.0511399795172,0.3451215028762817,513.4735635405369,183.25986833132882,657.5287238821647,0.5601463913917542,512.4549007803722,-46.370796487459224,630.48367624159,0.7160096168518066,620.1000835991191,239.33762816344543,439.25599865384805,0.4697237014770508,607.646609513199,-102.49981152943162,386.23466415358115,0.9245456457138062,840.887214488889,321.04978011578635,233.37676144768363,0.4182057976722717,758.9580151082755,-158.4976589343587,211.11327111830863,0.8125480413436891,437.87122256958907,181.59948822933129,255.75790416100486,0.5524044632911682,430.23338309902084,-20.727857716823266,250.3657261820589,0.6293669939041138,698.9750233641793,209.50458541926056,33.13721582903554,0.062278538942337036,701.8579793250763,-35.37233495950187,41.7410874289676,0.2558121681213379,356.8043181062017,221.47361876915969,-690.0200510698413,0.039043933153152466,580.9534846840309,-46.03150241387719,-435.34935360250654,0.12192946672439575,1211.7240312734489,2099.5066798353478,5.306679835348092,269.88,1913.9156131721527,2092.77,7.859841975822892,90.16,1899.1122930075005,2092.81,7.8833201646519075,90.16,1770.492174489368,2093.16,8.856719341392369,90.16,1590.252174489368,2094.84,8.866798353480924,90.57,1760.45,1235.0475884743664,7.083438682784738,179.85,1760.41,1250.2342683097145,7.0766403293038165,179.85,1760.37,1265.4542683097145,7.073280658607629,179.85,728.9622535014563,2094.65,8.143241152563354,90.06,328.80260905585493,2093.7967193413924,5.476758847436646,93.56,316.45260905585485,2094.540039506044,5.490039506044277,92.82,302.89260905585485,2095.203359670696,5.553359670696183,92.82,167.33229300750068,2115.703636213006,8.253438682784738,106.01,,,,,,,,,,,,,1d,15,1568718601
39141,39141,1105.9663834098283,1568719892.1662884,1105.9663834098283,-76.78836743529853,671.8930603083562,49.404844668909256,703.1719451541965,0.9923450946807858,711.488615141689,78.11013016995109,752.4982441163478,0.9646047353744508,715.913210612729,25.46119699575038,754.6749660018573,0.9836704730987548,684.8805070010442,123.72225181200173,777.4036979197203,0.5228182077407837,707.6432716361238,-4.285255206708179,770.8070564796219,0.4559534788131714,510.53638130857246,187.56225763805224,655.40553428469,0.9368502497673036,522.5362519304183,-38.00181531185945,641.2323963903349,0.5893340706825256,629.8075709311519,238.44720015489239,442.75474444569466,0.4182742238044739,598.8584321409908,-103.90571877201825,379.7835537598589,0.9060646295547484,842.344164006215,320.8413521178216,234.63090942662689,0.32441362738609314,753.0316436701358,-160.18641408052378,204.14497895368217,0.7641177177429199,428.8439027791883,179.93742793553295,254.84448131617745,0.570386528968811,427.81237033580925,-23.15941379484527,250.21218546478968,0.6561983823776245,724.7015356655219,206.79888899550468,50.693495319157,0.05534294247627258,708.6547308429739,-39.241408200609584,41.06549413296472,0.5086567401885986,340.6137625975619,223.37111547621774,-708.1835284467354,0.01799994707107544,566.752484544475,-45.08466010393346,-460.53976869943807,0.1911340951919556,1211.5481679279092,2099.503361659017,5.3033616590171535,269.88,1914.181067278628,2092.77,7.899660091794157,90.16,1899.374428937645,2092.81,7.886638340982847,90.16,1770.7841740064905,2093.16,8.843446636068615,90.16,1590.5441740064905,2094.84,8.833616590171538,90.57,1760.45,1234.8153161312007,7.056893272137228,179.85,1760.41,1249.9986777902182,7.0832766819656925,179.85,1760.37,1265.218677790218,7.086553363931387,179.85,729.2343439605934,2094.65,8.166468386879924,90.06,328.98510875405657,2093.7834466360687,5.4535316131200755,93.56,316.6351087540565,2094.5300849770515,5.480084977051461,92.82,303.0751087540565,2095.1967233180344,5.5467233180343065,92.82,167.5944289376449,2115.6273181573947,8.226893272137227,106.01,,,,,,,,,,,,,1d,15,1568718601
39142,39142,1106.0,1568719892.2001483,1106.0,-75.66552365988828,669.4248119436842,51.583209792768,703.7829618091906,0.9932628870010376,709.9498082195822,82.10351998722517,751.4653955282637,0.9651196599006652,713.7904468034856,27.89058205790548,756.6077716232719,0.9855835437774658,681.3326722366003,130.37574843380963,775.0520998688347,0.5568876266479492,703.0363101004518,-2.3184039464536155,772.1488340243669,0.5106065273284912,512.265591140001,181.22561146850842,661.8069750283972,0.9832284450531006,527.2308019772187,-37.13445209150071,647.4639968012903,0.5815166831016539,657.1021848030925,237.3885340338633,419.55858829708643,0.9662625193595886,603.536408443069,-102.25225358657588,383.39568070667195,0.9252368211746216,843.5561480374408,318.689684340475,233.48109437678528,0.3040354549884796,744.0097763453184,-152.3318221100329,202.8448630543994,0.7244902849197388,432.508295906307,176.06410971661396,233.62604263040973,0.17738187313079834,435.42884898283995,-19.96115510645528,257.08986698129587,0.7957133054733276,733.2121933166243,202.9868742826401,64.82551702988869,0.08805087208747864,719.0898088656833,-37.519431805873644,44.58173977271349,0.4093183279037476,328.87609196029837,226.97235420540898,-719.8787512810277,0.0192393958568573,549.0731223488382,-50.432601211617786,-479.4719259392675,0.246360331773758,1211.37,2099.5,5.3,269.88,1914.45,2092.77,7.94,90.16,1899.64,2092.81,7.89,90.16,1771.08,2093.16,8.83,90.16,1590.84,2094.84,8.8,90.57,1760.45,1234.58,7.03,179.85,1760.41,1249.76,7.09,179.85,1760.37,1264.98,7.1,179.85,729.51,2094.65,8.19,90.06,329.17,2093.77,5.43,93.56,316.82,2094.52,5.47,92.82,303.26,2095.19,5.54,92.82,167.86,2115.55,8.2,106.01,,,,,,,,,,,,,1d,15,1568718601
