,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,scenario,participant_id,source_file
47897,47897,1340.9,1568109951.6137595,1340.9,-74.78178714690175,593.948217354031,40.79213344217224,686.2771391693927,0.9928697347640992,594.288839844073,67.07375812676436,731.5015583046487,0.9979264140129088,618.4427031979448,10.096167356259528,739.675627666203,0.9879077672958374,578.0546771414807,103.5166233157444,740.0357606913059,0.8717580437660217,590.8850392460279,-36.31783317962257,733.3111412345752,0.638748049736023,478.27676094118,166.7417827679062,606.2434736562891,0.958439826965332,495.6513049702582,-93.75181593314184,584.5968192582598,0.903278350830078,579.2346134341318,231.11312136448467,399.12607951703626,0.9631341695785522,609.701882023736,-144.74449909956138,393.3218826007848,0.7799526453018188,734.8795725122028,283.7593079345313,205.05687887370726,0.8300724029541016,778.1979520151442,-188.3362095625336,208.4069964759702,0.287402480840683,430.3112043776058,144.9848980128653,122.72214453485329,0.561458945274353,450.4935508944992,-44.434879622021626,135.5709343832039,0.4686320126056671,466.7829831994552,204.7925318701,-310.75301602646715,0.018954366445541385,853.7486350664637,-30.5898240524523,80.27613250743889,0.0398651659488678,315.37941306943094,259.0508415164639,-727.0495153671149,0.002088308334350586,,,,0.04802408814430237,1196.09,2099.92,4.56,269.9,1862.04,2092.91,7.43,90.16,1846.39,2092.95,7.46,90.16,1831.2,2092.99,7.49,90.16,1761.06,1002.25,7.01,179.85,1761.02,1017.45,7.1,179.85,1760.98,1032.66,7.06,179.85,1437.34,2096.37,8.45,90.57,1186.7,2096.63,8.29,89.86,558.02,2094.73,6.92,89.67,349.68,2093.54,9.21,89.67,,,,,,,,,,,,,1d,4,1568108368
47898,47898,1340.9332926277702,1568109951.6471045,1340.9332926277702,,600.2429303565426,43.17090493433357,689.6060284470739,0.9946171045303344,586.5058902997935,69.76752608623858,730.4780959539385,0.9981340169906616,617.3442436918108,11.420367245207775,741.4878071871849,0.9892728924751282,570.585823626291,104.51883739043116,739.3958901554828,0.8399543166160583,581.3673963867298,-39.25740468245192,733.7828262569005,0.8416249752044678,482.6462140988603,169.40529436711932,608.0081823631381,0.9508455991744996,495.4280882886496,-93.83916898856802,585.0392891284826,0.8862712979316711,579.8098324679154,232.88051228045185,398.0597532145961,0.9490609169006348,608.9361373851617,-143.43898547536853,395.3408346173142,0.7973663806915283,735.7546629152123,280.9128038949765,202.68280643283543,0.7796466946601868,772.3425264357281,-188.40785257780811,208.15085262805317,0.34119540452957153,438.37251216310295,142.5961138098922,131.72140301930014,0.6437408924102783,413.5021408772763,-50.228586505356034,138.0206960757582,0.580322802066803,504.45026411230674,205.1568187959843,-258.33165204037107,0.015797853469848633,829.1528359122382,-26.4511699469246,80.44565760740284,0.08159434795379639,271.0700346734608,286.6383381808225,-773.2719099518703,0.0016524195671081545,,,,0.04212537407875061,1195.9401831750342,2099.92,4.556670737222982,269.9,1862.2896947082763,2092.91,7.443317051108072,90.16,1846.6363654454997,2092.95,7.440024423337891,90.16,1831.4530239710532,2092.99,7.503317051108072,90.16,1761.06,1002.0169516056088,7.013329262777018,179.85,1761.02,1017.2169516056089,7.066707372229817,179.85,1760.98,1032.4236223428318,7.046682948891927,179.85,1437.6229873360464,2096.37,8.459987788331054,90.57,1186.9763288104925,2096.63,8.299987788331054,89.86,558.2597069199453,2094.7333292627773,7.0065608322024735,89.67,349.9862921754857,2093.54,9.21332926277702,89.67,,,,,,,,,,,,,1d,4,1568108368
47899,47899,1340.9667728343927,1568109951.6806376,1340.9667728343927,-109.97901326754827,596.0649796804607,47.5527829065841,690.8989935896452,0.9965102672576904,588.8778668378209,73.14542728437588,733.3910561806558,0.9981178045272828,618.6527413233734,16.5206220381906,743.4338792343402,0.9914335012435912,569.8692633570175,106.18915419440391,739.1138315035735,0.7298008799552917,581.4821361691669,-36.909553854666015,735.4486470757602,0.9022536277770996,474.6704727625311,170.67789293766018,606.3936356295268,0.9463061094284058,494.98389327231695,-80.74945037978587,586.9590362311359,0.2275320291519165,576.5676606805928,234.17961887663014,394.3850098766999,0.9397128820419312,618.4351401890979,-151.05372202644526,389.1106344545478,0.9468148946762084,739.9717993786862,281.1815596960924,203.96277629709573,0.8302640318870544,782.9257215886336,-191.74891668749407,199.47080347495,0.8739099502563477,442.81958335383933,156.3751227432456,139.96877545772725,0.6702748537063599,410.4057577978495,-47.18277164817358,148.9661598219235,0.5554788112640381,484.5356434722753,208.86587869759398,-263.940900461903,0.025728732347488403,834.6678562477427,-22.195400311023327,93.0078119638314,0.08921590447425842,299.35575082955245,260.9919684195257,-744.379010991027,0.00560876727104187,589.8204360340662,-74.13111496119937,-461.40706482900896,0.02853348851203918,1195.789522245233,2099.92,4.553322716560731,269.9,1862.5407962579447,2092.91,7.456709133757073,90.16,1846.884118974506,2092.95,7.419936299364389,90.16,1831.7074735413846,2092.99,7.5167091337570735,90.16,1761.06,1001.7825901592513,7.016677283439268,179.85,1761.02,1016.9825901592512,7.033227165607316,179.85,1760.98,1032.1859128758122,7.033290866242926,179.85,1437.9075690923376,2096.37,8.470031850317804,90.57,1187.2542145254592,2096.63,8.310031850317804,89.86,558.5007644076273,2094.73667728344,7.093609369420978,89.67,350.29431007641267,2093.54,9.21667728343927,89.67,,,,,,,,,,,,,1d,4,1568108368
47900,47900,1341.0,1568109951.7139168,1341.0,-82.1069628000442,599.1931161304443,51.477690450108064,692.8996477357698,0.9977003335952759,592.0428995191558,76.22408242970796,736.1620395175755,0.998154878616333,617.2712634267788,22.721780212619734,742.7510971995018,0.992545485496521,575.3701565577046,107.96021693291063,742.4383022522287,0.6733810901641846,583.5681475097973,-35.164863363213456,735.6792959497217,0.9400848150253296,480.65483747510217,165.48969253896598,599.8461135745587,0.6395519971847534,501.04277802686624,-86.64825901632582,582.5852219996417,0.4917736351490021,587.4805582878113,237.81642252417268,390.23480687755074,0.9215779304504396,598.5531135109233,-144.3891930012014,389.9407304845222,0.860630989074707,734.7746613713533,282.84878926485817,198.34324012708015,0.8044900894165039,776.9772367396547,-186.95673365605103,206.90916190024063,0.30993887782096863,469.017757697018,154.71724415335066,140.77447454762125,0.19153180718421936,397.69314999482737,-50.23761682475519,141.49524839166833,0.6350637674331665,528.1343242271705,202.22746496113308,-207.28047769312684,0.023670434951782227,821.0381055319926,-20.808328546305304,85.13479237400782,0.08928313851356506,320.21774528786966,251.23902687051552,-722.6993988124349,0.0022028684616088867,585.6681700119858,-71.69420792919621,-457.1868580422337,0.02492958307266236,1195.64,2099.92,4.55,269.9,1862.79,2092.91,7.47,90.16,1847.13,2092.95,7.4,90.16,1831.96,2092.99,7.53,90.16,1761.06,1001.55,7.02,179.85,1761.02,1016.75,7.0,179.85,1760.98,1031.95,7.02,179.85,1438.19,2096.37,8.48,90.57,1187.53,2096.63,8.32,89.86,558.74,2094.74,7.18,89.67,350.6,2093.54,9.22,89.67,,,,,,,,,,,,,1d,4,1568108368
47901,47901,1341.0333861027334,1568109951.7473032,1341.0333861027334,-77.79030333141546,599.0835536017213,52.15431149374685,693.6599516258241,0.9977500438690186,587.6877228836205,77.91916581344994,737.1537335837762,0.997754454612732,613.0408287722562,23.79651563778459,742.6815329719502,0.9901334047317504,573.4647560696246,110.0334589636582,749.2383116231741,0.7357506752014159,573.0393697710492,-33.0803912745151,732.9042308636266,0.9185077548027042,475.31892407647416,165.77747423961677,595.7897234299387,0.6284929513931274,499.4627141631517,-85.21698801626297,580.030308238591,0.4146272242069245,580.7746911659874,236.05749478929852,386.78499085412943,0.9244027137756348,598.9436784518027,-141.41054590639843,392.7293032459643,0.8496392965316772,743.9378105508663,281.95155216547903,204.19164391742248,0.7585789561271667,774.9043589014191,-186.38936942819703,209.4709588858344,0.31494295597076416,483.55723334951966,151.68946490157091,143.4605979776709,0.1510961651802063,384.42458843884435,-47.89379479285781,150.24796597975157,0.7105550765991211,490.0903313523097,209.84186730993068,-244.2196922644891,0.02647045254707336,737.6567785981996,-24.69968626054604,28.680325676874762,0.1812377572059632,322.5390206762036,271.27984679706447,-720.5437623984308,0.002912461757659912,582.3658304807137,-63.51581340562036,-461.77126045168114,0.02829641103744507,1195.4864239274264,2099.92,4.5466613897266575,269.9,1863.0403957705007,2092.9066613897267,7.483354441093372,90.16,1847.3837343807745,2092.95,7.446740543826807,90.16,1832.2070571602274,2092.99,7.4932752869932235,90.16,1761.06,1001.3129586705927,7.023338610273344,179.85,1761.02,1016.5129586705926,7.026708882186747,179.85,1760.98,1031.716297280866,7.040031661640059,179.85,1438.4737818732342,2096.3666613897267,8.476661389726656,90.57,1187.8071046526875,2096.63,8.32,89.86,558.9870571602273,2094.74,7.266803867106925,89.67,350.91049075542094,2093.543338610273,9.250047492460089,89.67,,,,,,,,,,,,,1d,4,1568108368
47902,47902,1341.0667567084292,1568109951.7806742,1341.0667567084292,-78.45121344185686,597.368155306433,53.106987424253646,697.2171828894336,0.9982039332389832,587.543231771238,77.32899936204367,736.9181787202893,0.990652322769165,613.6094990477833,26.190254055734968,745.377912212431,0.9885576367378236,571.2781387171598,111.93241598630811,750.3695079395789,0.8186308145523071,573.01549457738,-29.151288362253197,735.1077634606398,0.9193428158760072,477.2719152615659,163.82751872102708,597.6068628852902,0.6602880954742432,497.2502995397843,-80.29402573626645,592.9805367873396,0.9521203637123108,590.1900697838121,235.9758772778596,384.87187677213615,0.9443723559379578,620.6069270392709,-147.35466973039047,388.3328838381878,0.9467228651046752,761.1913562513841,287.78662837322224,218.4224071312356,0.895508885383606,790.3129865595952,-190.71871717270668,203.704402536906,0.9020087122917176,478.6695259763237,149.37162410872213,146.1734154411435,0.05978396534919739,371.5262500897307,-58.658488856434154,153.59435218947314,0.18965941667556765,503.4058700847844,210.3716515872489,-228.15322384403325,0.04680269956588745,634.3473496888514,-30.530467104474525,-42.42579470332336,0.24628838896751404,285.0696738075076,288.0216880147015,-753.4581220157111,0.004028946161270143,569.4658404196516,-58.85501534460538,-477.3230918085756,0.04830712080001831,1195.3329191412254,2099.92,4.543324329157071,269.9,1863.29067531322,2092.903324329157,7.496702683371719,90.16,1847.6373509840628,2092.95,7.493459391801019,90.16,1832.4539996423766,2092.99,7.456567620727771,90.16,1761.06,1001.076027370152,7.02667567084293,179.85,1761.02,1016.276027370152,7.053405366743441,179.85,1760.98,1031.482703040995,7.060054025057579,179.85,1438.7574320216488,2096.363324329157,8.473324329157071,90.57,1188.084080679963,2096.63,8.32,89.86,559.2339996423768,2094.74,7.353567441916177,89.67,351.2208373883924,2093.546675670843,9.280081037586369,89.67,,,,,,,,,,,,,1d,4,1568108368
47903,47903,1341.1,1568109951.8139179,1341.1,,600.7824385248216,53.75605332075941,698.8477672070596,0.9984113574028016,594.4467476708018,77.39091462754641,739.8388267470376,0.99029278755188,611.7714285988598,26.484644925455388,745.1283319816112,0.9891120791435242,578.650378152474,114.24798414630092,754.8900004671173,0.832617461681366,582.5808974559255,-26.476379742427028,736.7289308611902,0.9282188415527344,474.14397040866686,164.71123465919774,596.2873281406603,0.6089762449264526,495.66906753906204,-78.06024348028019,596.9802942732896,0.9519100189208984,594.2145423346485,237.19414107728267,388.54595570298426,0.936050534248352,623.8866446282967,-149.75162458305581,393.2101914811899,0.9819916486740112,755.2137618731148,288.88583498700297,217.18917321834667,0.913933515548706,791.2467480640868,-192.5682415675893,204.22182405063015,0.9052290916442872,501.3557606808053,148.70509524761366,153.4704080654529,0.13770931959152222,378.6162417500706,-57.36674520364994,145.32436525758595,0.12017613649368285,505.3944458649611,210.28170515506352,-275.60264134323097,0.03124439716339112,580.8646973452753,-32.11612503124552,-82.26170034571287,0.2698209285736084,332.1156323558828,257.4200498263661,-695.6226733718222,0.00891166925430298,556.1829176270537,-50.88542276366029,-487.21676184484426,0.04566285014152527,1195.18,2099.92,4.54,269.9,1863.54,2092.9,7.51,90.16,1847.89,2092.95,7.54,90.16,1832.7,2092.99,7.42,90.16,1761.06,1000.84,7.03,179.85,1761.02,1016.04,7.08,179.85,1760.98,1031.25,7.08,179.85,1439.04,2096.36,8.47,90.57,1188.36,2096.63,8.32,89.86,559.48,2094.74,7.44,89.67,351.53,2093.55,9.31,89.67,,,,,,,,,,,,,1d,4,1568108368
47904,47904,1341.133338095408,1568109951.8473,1341.133338095408,-81.00907679625037,597.2263616653489,56.00334965629101,698.2431936440565,0.9985985755920408,584.3845234185293,80.70045364926787,736.1621455578212,0.9903467297554016,617.1738035037588,28.547697288930703,746.7890371167566,0.9897984862327576,579.7198925877965,115.63736167085811,755.2806001721782,0.8325055837631226,582.4566911408386,-24.127424317968785,738.9922168690879,0.923286199569702,479.75431047450246,164.24730570789757,599.0019621283365,0.587821900844574,490.9996845562239,-78.61860940181293,596.0666218425882,0.9442488551139832,591.2941440677624,240.2789141020665,385.43054005167915,0.924379587173462,616.9418705712648,-151.17541272687075,388.98298636407236,0.9817749261856079,758.5398353176632,288.1011928322333,219.33768659715957,0.9095498919487,788.0732805679654,-192.911129570909,200.83578683159172,0.8715232610702515,502.0224541254097,147.2638945195946,164.44558044171762,0.026282548904418945,382.7125310740171,-56.63822673788779,134.93176486827647,0.12408456206321715,517.4053172986498,209.40968946682395,-291.9345513852867,0.03401914238929748,560.0631945141561,-34.79271810335505,-95.70692676457377,0.2367488443851471,404.6616493048188,235.41923108191483,-621.8416422995292,0.011698156595230104,522.6759105499474,-50.197893221722325,-508.8324346537273,0.12618061900138855,1195.0299785706634,2099.92,4.54,269.8899985713776,1863.7933695251024,2092.9,7.5233352381632725,90.16,1848.1367019060208,2092.946666190459,7.509995714132637,90.16,1832.9500357155612,2092.99,7.4566719049489985,90.16,1761.06,1000.6066333321428,7.033333809540817,179.85,1761.02,1015.803299522602,7.076666190459182,179.85,1760.98,1031.013299522602,7.06333095229591,179.85,1439.3200400014289,2096.3566661904592,8.473333809540819,90.57,1188.636706191888,2096.63,8.313332380918363,89.86,559.736703334643,2094.7433338095407,7.526679048061268,89.67,351.8367104777552,2093.55,9.283329523673457,89.67,,,,,,,,,,,,,1d,4,1568108368
47905,47905,1341.166741907449,1568109951.880748,1341.166741907449,-81.00907679625037,596.9493543278245,57.617590502763136,698.446555300634,0.998604416847229,587.3438960003238,80.83668861714523,737.0913156568075,0.9899374842643738,610.8020177515292,29.807499174041947,743.6642832618492,0.9902651906013488,580.9060662327463,114.86865222034493,753.1382692886557,0.8077058792114258,580.2887929533767,-21.96886394123237,735.4917025364093,0.9287606477737428,481.5600031089965,164.6183386169656,598.593569394013,0.611807644367218,494.8078844695218,-76.56704284413455,597.9775201025623,0.9300349950790404,598.0976539554644,244.71938964686558,381.5449116409758,0.9400265216827391,621.5321641025564,-151.13921560588588,389.01865998555877,0.9822982549667358,742.9853321255114,291.55266483771567,204.9092352936785,0.915144681930542,785.3145164615762,-192.891812079206,197.20451854413727,0.8974994421005249,510.6542490146591,146.41229744336837,167.87889464638488,0.05528011918067932,384.19758283572577,-56.50899311455514,121.94282763341305,0.09841135144233704,530.548414708176,208.56839900370284,-297.27542805589326,0.04841640591621399,719.9593053771196,-28.83176318907846,19.5844386580842,0.07186055183410645,464.0323557978724,222.77301984926825,-562.9952054265208,0.012288779020309448,472.1728439736827,-54.37774716018626,-549.7870536980977,0.10798385739326476,1194.8796614164794,2099.92,4.54,269.8799774277653,1864.0472384966129,2092.9,7.5366967629796076,90.16,1848.3838901151228,2092.943325809255,7.479932283295879,90.16,1833.2005643058678,2092.99,7.493416098193925,90.16,1761.06,1000.3728066478568,7.036674190744902,179.85,1761.02,1015.566132457112,7.073325809255098,179.85,1760.98,1030.776132457112,7.046629046275488,179.85,1439.6006320225715,2096.3533258092552,8.476674190744902,90.57,1188.9139578318268,2096.63,8.306651618510196,89.86,559.9939126873575,2094.7466741907447,7.613528959367459,89.67,352.14402554853103,2093.55,9.256606474040783,89.67,,,,,,,,,,,,,1d,4,1568108368
47906,47906,1341.2,1568109951.91405,1341.2,-78.03184481053854,593.0812284498306,57.840833918863574,697.7698596823404,0.9986572265625,587.1443579614631,80.25134592395442,737.8871818377331,0.9890154600143432,620.9284888692149,29.25797228986373,747.4613910741076,0.9888808131217957,570.8989481632542,114.26841901946798,750.3343569172815,0.7751812934875488,586.7812131048764,-22.127872254410878,737.9555621720517,0.9078872203826904,478.7596763046875,164.30552092402053,597.7916367030573,0.6251165270805359,498.37527395833376,-74.33044241529035,600.0162004063816,0.932927131652832,594.1175758772617,244.9575089280944,380.0929554470983,0.93430495262146,622.9361736068407,-151.36337233622982,386.7973259919895,0.9831407070159912,746.3356079232985,288.8723777826081,211.83286553649955,0.8925552368164062,782.1681468925989,-194.3712449595571,194.40761545569083,0.8973063230514526,495.2332536116038,143.926447169258,175.0479340081153,0.21952441334724426,387.20425953356596,-59.29862064693197,111.42010578673086,0.11270776391029358,659.7291337479837,173.2329311998351,-82.91743814442466,0.07806938886642456,794.1652742401402,-31.49069889528829,36.499647084218395,0.033955752849578864,541.0594008573214,209.44805645312007,-483.7155594593316,0.008485794067382812,462.84176908669633,-60.99149272166019,-556.6233488595013,0.030218601226806637,1194.73,2099.92,4.54,269.87,1864.3,2092.9,7.55,90.16,1848.63,2092.94,7.45,90.16,1833.45,2092.99,7.53,90.16,1761.06,1000.14,7.04,179.85,1761.02,1015.33,7.07,179.85,1760.98,1030.54,7.03,179.85,1439.88,2096.35,8.48,90.57,1189.19,2096.63,8.3,89.86,560.25,2094.75,7.7,89.67,352.45,2093.55,9.23,89.67,,,,,,,,,,,,,1d,4,1568108368
