,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,scenario,participant_id,source_file
44743,44743,1397.7,1568709050.8680892,1397.7,-76.5105685623646,612.4600037126795,64.41401115039037,692.8933955284593,0.998630166053772,592.2697665354783,91.74231360389696,726.0817135818472,0.9946227073669434,598.8946956854429,34.26244148203389,720.8811655148793,0.9941740632057192,566.0691439652375,132.4518030684997,730.2338208536607,0.8088774681091309,554.0110259613912,-16.917209197362638,704.4180115386238,0.8775432109832764,499.45341986542815,194.57086132000802,564.3294669912674,0.8979401588439941,459.20556025186266,-76.31436691842228,549.7680024113606,0.8703948259353638,606.9539881867893,249.3468101109964,386.2844079226886,0.9816027879714966,559.8228732464054,-139.15516363970994,376.45630811595885,0.9474262595176696,781.4332527073718,295.28966016346817,231.7563695262,0.9128178954124452,717.8383886829698,-168.17063651936604,208.9964560420992,0.8926060199737549,474.0454575285005,159.78913578547412,111.37893909409706,0.7619321942329407,516.9389615145069,-42.45314021059313,123.8067018867884,0.08451607823371887,402.90984434928214,209.1034549406976,-438.800691867354,0.13021355867385864,832.3949229664295,-65.24246922687098,50.44211594516064,0.1964278221130371,306.36044801405416,227.6131431258527,-745.5863244117444,0.004993557929992676,642.7910209886259,-74.86394183731696,-369.29839898390367,0.12695258855819702,1168.36,2099.87,4.65,269.6,1422.0,2096.53,6.94,90.57,1761.35,880.06,7.67,180.1,1761.33,895.8,7.69,179.85,1761.29,911.56,7.69,179.85,1239.48,2096.75,9.04,89.86,852.58,2094.52,6.79,90.06,688.82,2094.7,9.47,90.06,218.67,2104.44,9.04,102.2,1d,14,1568707580
44744,44744,1397.7348024946054,1568709050.9031208,1397.7348024946054,-79.83152226633852,611.9716939645314,70.72978262496285,693.9796119265445,0.9989486932754515,595.8151528128788,95.00763519254791,727.3611915923799,0.9930914640426636,600.9333536037598,38.684856891425255,722.1055659851379,0.9961173534393308,562.3402851999476,134.70588785022227,730.1727043575279,0.7743948698043823,565.6640084940132,-12.70651838887004,708.0832018262296,0.9088352918624878,499.69457768104434,196.50110540122847,563.9663520414648,0.984418511390686,462.4200021987835,-68.50559356586919,552.0516472682173,0.8230553865432739,617.8065044780925,256.8907837581847,385.97113117207846,0.9810245633125304,564.1868050299021,-140.20358770719034,376.5083312983063,0.9412519931793212,787.9970209053595,294.9885786137725,236.95449801606944,0.9260959625244141,729.7228672560187,-166.45175046282063,213.06593953932392,0.8638949394226074,477.8251932511946,155.74461086160983,114.45062583555807,0.7790411710739136,514.8881984471134,-47.80051248288662,104.74153692143845,0.09833022952079773,343.2494292617945,222.75316047014567,-520.9369182613991,0.2315517961978913,729.3769606083722,-78.36516632461407,-112.34893596909849,0.09304928779602052,280.0096554540637,232.23765907767762,-772.8599099312047,0.007438510656356811,632.7509928252175,-80.12617671853843,-383.38045543702935,0.05584174394607544,1168.1999085248146,2099.8665197505397,4.65,269.6278419956844,1422.2436174622378,2096.52651975054,6.943480249460543,90.57,1761.35,879.7920207915381,7.6595592516183695,180.1,1761.3334802494605,895.5320207915381,7.693480249460543,179.85,1761.2934802494603,911.2920207915379,7.70044074838163,179.85,1239.7932224514489,2096.75,9.012158004315653,89.86,852.816656963317,2094.52,6.7795592516183705,90.06,689.1506236987517,2094.7,9.463039501078914,90.06,218.97278170306728,2104.37387526025,9.026079002157827,102.2,1d,14,1568707580
44745,44745,1397.7671037516195,1568709050.9356346,1397.7671037516195,-75.53825594911821,608.8700819617412,70.62904072299371,691.7539420115587,0.9990490674972534,600.3262137681315,97.21734708381392,729.3511593779518,0.991921842098236,598.4913444150243,38.67163520141961,722.1087245044357,0.995217502117157,568.4042017649061,137.58978512683368,733.4902237696704,0.7005823850631714,561.6938449570671,-11.308346682662876,708.6841531655613,0.8911515474319458,501.6256359754852,197.19867070946964,559.9525599215068,0.9728378057479858,465.8978244738325,-65.61771065250315,556.0809510369453,0.8297920227050781,613.8273951326445,256.598542421321,384.9998076143023,0.9779152870178224,560.7865219539743,-139.3629348945118,371.5873870409863,0.95399010181427,785.2462094076035,295.10284962506734,235.953011339654,0.9290295839309692,743.0255777169717,-165.38527561110675,216.8697313779663,0.8335336446762085,468.7787698298597,162.93342276930045,135.11349160472022,0.885768473148346,513.5820182730516,-48.6432977878873,110.93585634254455,0.046338140964508064,343.6031619874652,208.98913490081702,-486.1622923087217,0.3173845112323761,770.14353287364,-73.50557063990284,-43.30394764493247,0.11056786775588988,274.155754710946,233.25509961114932,-777.5331878348337,0.008484214544296266,641.178954963383,-80.21111450970439,-380.54607604279136,0.0982278287410736,1168.0513227425502,2099.8632896248378,4.65,269.65368300129563,1422.4697262613367,2096.523289624838,6.946710375161952,90.57,1761.35,879.5433011125294,7.649868874514141,180.1,1761.3367103751618,895.2833011125296,7.696710375161952,179.85,1761.296710375162,911.0433011125295,7.7101311254858595,179.85,1240.083933764576,2096.75,8.986316998704375,89.86,853.0363055110129,2094.52,6.769868874514141,90.06,689.4574856403856,2094.7,9.456579249676091,90.06,219.25380263908988,2104.312502871923,9.013158499352187,102.2,1d,14,1568707580
44746,44746,1397.8,1568709050.9687474,1397.8,-79.62968695846025,614.3624834958714,75.1082232377331,688.5064679481436,0.9975405931472778,596.8714600400683,101.2287032758037,726.452904798914,0.9989915490150452,606.8547848692534,42.94228105391287,723.9261878797722,0.9956998229026794,571.9163834425487,137.5825848543371,729.3984899978734,0.9657750129699708,558.530527542082,-6.837894677866154,706.072266075533,0.9317033886909484,499.76766443997985,198.2563996456887,563.8405246999203,0.9755110144615172,451.0366613125403,-61.613391944513594,555.5772735959484,0.8803687691688538,611.2748689936566,257.8648875672348,379.21774341255997,0.9188500046730042,561.518508919237,-137.4432050713528,381.90603580069535,0.9491705894470216,785.0847511244208,297.94815446950616,235.71890661779807,0.9462315440177916,739.0952433977898,-165.36507430869662,215.8622989774836,0.8493164777755737,488.05550948338026,163.20739698337022,132.45340137353682,0.7760087251663208,503.5164672534809,-44.805418538047846,122.99433764304176,0.3199039101600647,347.2082707393297,197.5836001952156,-468.47535931459504,0.2891629934310913,785.3191794609994,-71.6652813605625,-15.254391413960832,0.1717967391014099,313.7006260527335,201.1151789799429,-733.3422556387491,0.0041362345218658465,651.4391479654063,-76.78055138099772,-376.1513010767137,0.014117807149887085,1167.9,2099.86,4.65,269.68,1422.7,2096.52,6.95,90.57,1761.35,879.29,7.64,180.1,1761.34,895.03,7.7,179.85,1761.3,910.79,7.72,179.85,1240.38,2096.75,8.96,89.86,853.26,2094.52,6.76,90.06,689.77,2094.7,9.45,90.06,219.54,2104.25,9.0,102.2,1d,14,1568707580
44747,44747,1397.8334596326913,1568709051.0024762,1397.8334596326913,-79.51680224732195,607.3269844895722,76.08588424011394,686.310471708432,0.9978576898574828,600.7631814002245,103.06330816045252,728.6096311264838,0.9991915225982666,599.1194802158633,43.57262091124549,721.7140589831358,0.9964497089385986,564.9961764951357,141.8607356125321,724.8829958727216,0.9594213366508484,546.3332768543594,-6.800507805918759,701.0204714963378,0.9413940906524658,493.8032756176126,198.51372260728328,563.3749973907811,0.9753212332725524,473.0247199665645,-60.131208260263385,562.513691711461,0.900294303894043,612.2260596591727,257.23434636232645,376.19550534754165,0.9256361722946168,558.5042005732403,-138.16886325771588,376.329358859217,0.9572139978408812,788.7962325652879,298.42973492959544,236.4597586525457,0.9538738131523132,721.5107019024092,-164.7766330448108,211.30203043233104,0.8739341497421265,484.2507635345691,162.71375248415796,134.10347812434094,0.8089528083801271,493.31704865067115,-42.7872769052648,130.19843265114218,0.5708505511283875,358.52895118946196,197.82875354415359,-455.86406894102754,0.2983042299747467,817.789895807842,-66.73263909355498,29.39814141115568,0.334078311920166,299.82424933150526,216.8238430732829,-747.6563893424255,0.008549064397811891,642.5049174689741,-81.87915563452077,-389.4393787311137,0.042909175157547004,1167.742739726351,2099.86,4.64665403673087,269.6967298163457,1422.934217428839,2096.516654036731,6.9667298163456515,90.57,1761.35,879.0357067915462,7.64,180.1,1761.34,894.7757067915462,7.679924220385219,179.85,1761.3,910.532360828277,7.7032701836543485,179.85,1240.6811366942218,2096.753345963269,8.980075779614781,89.86,853.4875255023009,2094.52,6.77672981634565,90.06,690.0878665105673,2094.7,9.476767706153039,90.06,219.83779073095258,2104.1864266978864,9.02676770615304,102.2,1d,14,1568707580
44748,44748,1397.8674395998153,1568709051.0367296,1397.8674395998153,,610.9641836855244,80.95610538588488,690.7787781077037,0.9972467422485352,601.1942405939399,106.0318556387568,728.3601231626418,0.99942284822464,603.3186401884169,46.65401509639888,722.7177936570145,0.9970535039901732,571.8531010342992,146.3504717369128,728.1547001870862,0.9261645078659058,549.3302586892455,-4.971212838876458,702.8186361150138,0.9340524673461914,505.5726449495614,205.7326245567097,561.7134150683277,0.9803190827369692,472.5194104999208,-51.9231575662551,558.2184618328417,0.3432945013046265,608.3921187418268,258.57047834286334,384.11380478065763,0.9777020215988159,542.2949920900962,-134.3026584781667,365.3232602425657,0.9123387932777404,796.3914386251332,296.28559477845613,240.447930141642,0.954120397567749,722.3666217042717,-164.87111473842475,209.07665892985284,0.8716261386871338,480.5116848239675,162.7891645071603,151.4854806552841,0.5081093311309814,477.4031467071048,-44.85004554116635,139.7697138147222,0.3694270849227905,653.3744976000818,177.13120523774452,-122.76241876312574,0.6513234972953796,868.0802269033337,-57.427206282943494,108.48411593707254,0.6981638669967651,391.8136951248628,218.266797677609,-649.8085394753492,0.009916156530380249,616.9252999423277,-85.609651970121,-415.18087275092836,0.1371971070766449,1167.5830338808676,2099.86,4.643256040018454,269.71371979990766,1423.1720771987082,2096.5132560400184,6.983719799907726,90.57,1761.35,878.7774590414024,7.64,180.1,1761.34,894.5174590414024,7.659536240110729,179.85,1761.3,910.270715081421,7.686280200092274,179.85,1240.9869563983389,2096.7567439599816,9.000463759889271,89.86,853.7185892787451,2094.52,6.793719799907725,90.06,690.4106761982467,2094.7,9.50395167985236,90.06,220.1402124383575,2104.1218647603505,9.053951679852359,102.2,1d,14,1568707580
44749,44749,1397.9,1568709051.069552,1397.9,-82.93747337221366,613.018374733402,80.49490082814103,691.5665670375612,0.9972138404846193,602.2842848012149,108.24774102916395,726.1461130237808,0.9993644952774048,595.5771351921028,47.9940621799588,719.9274824326021,0.9973469972610474,574.2693762113481,148.142902032034,724.700619046353,0.9247922897338868,540.5496929452443,-3.475358564472184,700.6591324161976,0.9396663904190063,503.0770480872149,206.78405383865064,557.6952943617135,0.9806382656097412,472.80803671392573,-47.65430196536515,555.8470153803455,0.4010233283042908,610.8602310391467,257.1247761785908,389.71313710840735,0.9775102138519288,553.3118022403245,-131.17493088050315,371.65794011838545,0.9164345264434814,769.564350855737,290.20221117106087,238.03752874727246,0.6651752591133118,736.6982762936888,-162.12920613628415,220.6861243064185,0.8938247561454773,474.067220219378,161.54219830599985,157.76730562129075,0.3409079313278198,479.9913102165545,-49.98779645576321,119.8671121402178,0.11840802431106567,775.2674789331378,160.71369617135383,40.69949825390132,0.7297199964523315,865.7109786218518,-49.36220999259146,114.52617837048331,0.6970933079719543,301.59339887613135,226.2964832408909,-748.7780928152002,0.01145559549331665,615.261003814917,-77.05644059557244,-418.67615658683746,0.24698129296302795,1167.43,2099.86,4.64,269.73,1423.4,2096.51,7.0,90.57,1761.35,878.53,7.64,180.1,1761.34,894.27,7.64,179.85,1761.3,910.02,7.67,179.85,1241.28,2096.76,9.02,89.86,853.94,2094.52,6.81,90.06,690.72,2094.7,9.53,90.06,220.43,2104.06,9.08,102.2,1d,14,1568707580
44750,44750,1397.9327400264256,1568709051.1034036,1397.9327400264256,-83.6146504065414,613.2964654706817,83.8302015143882,691.3313124354912,0.9981176853179932,594.6164188552608,110.88563575002908,722.6055579722922,0.9993346929550172,606.5960572244811,51.26723951182482,724.0642070098752,0.9981091618537904,574.2817949620138,149.92654320915094,724.8329926840547,0.9016083478927612,548.8385776735578,-1.957195919293697,702.8928386232508,0.9450730085372924,502.12199482837997,205.35336515328686,559.0472102718652,0.9813933968544006,480.095558051446,-45.04929732735608,558.4010457190993,0.4465146958827973,610.2390120131655,256.3139272984753,391.74221901525743,0.9734266996383668,577.7493279936392,-136.59162767343213,378.9689048760203,0.959240198135376,764.8674829101959,287.7523302039256,236.86400975624832,0.6006889343261719,726.9815899423828,-163.53687786918496,214.29631248810688,0.8729520440101624,473.9007633991776,162.6280401578319,164.86578952449543,0.2608070969581604,469.9215600030626,-43.139730422417344,133.9654393799685,0.3695741891860962,813.7032100321167,159.93672754443702,72.01326440800653,0.6414655447006226,871.5795702235872,-49.58115996941331,110.05341778658956,0.7001949548721313,273.7085443597532,229.37268071338212,-780.0001644447258,0.01415407657623291,596.2142187921897,-68.29702175940486,-433.32581065124185,0.17014294862747192,1167.2793958784428,2099.86,4.636725997357449,269.7332740026426,1423.6259061823362,2096.51,6.980355984144699,90.57,1761.3467259973575,878.2811757991661,7.64,180.1,1761.34,894.0179017965236,7.6530960105702,179.85,1761.3,909.7711757991659,7.650355984144699,179.85,1241.5746602378294,2096.76,9.000355984144699,89.86,854.1626321796934,2094.52,6.800177992072348,90.06,691.0310302510421,2094.7,9.53,90.06,220.71811223254443,2103.9977939497917,9.063629986787248,102.2,1d,14,1568707580
44751,44751,1397.9651228696412,1568709051.136886,1397.9651228696412,-111.14331090101841,613.0646916459675,84.83777413207027,691.8442438836504,0.9979783892631532,597.9853802505978,111.27367648036505,723.0983903281451,0.9993219375610352,612.6112367993172,52.083103690015676,726.2071411501934,0.9980841875076294,572.4433706726751,150.47777680928422,723.4428866276997,0.9172561168670654,555.3233862684809,0.2633989073218963,704.7827928895973,0.943744421005249,503.0315242397296,207.80642228551426,557.1329173362483,0.9757946729660034,471.02546728068086,-45.36043987765554,555.4474852853518,0.4682571291923523,612.987626934309,256.37367456323534,386.0604236733022,0.9727553129196168,560.1348301892587,-132.50237815441562,376.34490684144026,0.9015403985977172,779.9834722053363,288.60730311502533,232.21919228585202,0.9431998729705808,718.7595026971692,-167.14270833432553,209.896065967516,0.8779857158660889,480.4221563602729,164.39909759806346,172.54593910315597,0.22315353155136108,474.7748329839382,-39.64762368372202,142.60300643276963,0.389865517616272,729.9588438976041,151.49610980057037,36.39859956634726,0.7595412731170654,868.8995983062642,-47.00398229511432,109.57020512407051,0.6705758571624756,308.55525856168975,204.10863654390843,-698.5196626193879,0.008817940950393677,549.4182818391629,-66.2183446700631,-479.65575319146484,0.2030508518218994,1167.1304347996518,2099.86,4.633487713035909,269.7365122869641,1423.8493478005225,2096.51,6.9609262782154575,90.57,1761.343487713036,878.035066190729,7.64,180.1,1761.34,893.768553903765,7.666049147856362,179.85,1761.3,909.5250661907293,7.630926278215457,179.85,1241.8661058267685,2096.76,8.980926278215458,89.86,854.3828355135582,2094.52,6.790463139107728,90.06,691.3386672615886,2094.7,9.53,90.06,221.00308125284,2103.9362665476824,9.047438565179547,102.2,1d,14,1568707580
44752,44752,1398.0,1568709051.1729472,1398.0,-82.72108657403491,610.2771492465288,85.38202811625514,688.9745061459822,0.998043417930603,598.532863383866,112.27524571065204,722.419527815617,0.9993274807929992,604.5909913671762,51.693813665762605,722.1006087621565,0.9977762699127196,574.8346162513221,150.6330092659212,723.242086025877,0.9306094646453856,548.8138803570075,0.4844228490491821,700.5786010079812,0.9376965761184692,497.63735973327204,209.14749035000148,555.4736610141656,0.9775415062904358,468.4034718005025,-45.43947231908829,555.0171639221343,0.4484312534332275,613.733998532082,259.7856048429454,384.5422292843446,0.9710465073585508,558.0000918558619,-133.77328422052258,376.8510707096157,0.9113667011260986,777.4584026621209,289.73725174577555,231.2241038204025,0.9468173980712892,718.6041836910895,-170.5385665707285,207.86674008343223,0.8561822175979614,490.70118220120514,162.65024614980103,180.0403608128067,0.18266737461090088,464.08227625755984,-38.82811950706849,140.37246933779707,0.3652718961238861,798.7036994318722,157.71172109654447,76.21107383967308,0.5682703852653503,875.9126333613106,-43.287148538803216,125.87114983213976,0.6886969208717346,297.2528014342123,193.56776241792102,-686.3126749326158,0.011834055185317991,494.04130637432814,-71.10748614144521,-520.5419916748149,0.4296147525310517,1166.97,2099.86,4.63,269.74,1424.09,2096.51,6.94,90.57,1761.34,877.77,7.64,180.1,1761.34,893.5,7.68,179.85,1761.3,909.26,7.61,179.85,1242.18,2096.76,8.96,89.86,854.62,2094.52,6.78,90.06,691.67,2094.7,9.53,90.06,221.31,2103.87,9.03,102.2,1d,14,1568707580
