,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,scenario,participant_id,source_file
40029,40029,1269.4,1569237982.5446408,1269.4,,559.0304799321766,15.77869385023788,613.7893956932503,0.9980579614639282,582.9477066906821,41.724950310673975,662.8720344293301,0.9981760382652284,568.5063330655931,-17.062241234854664,652.4465357246556,0.9356687664985656,553.0564419095442,81.59665895743683,682.8610135368468,0.8057758808135986,579.2997854370548,-62.85916958206082,675.3984177045909,0.6019939184188843,406.43671803582487,146.89058459120042,524.4197581613853,0.93861186504364,418.8319743262723,-109.47467029842826,497.6319200125806,0.8658588528633118,508.4065613869139,216.3023277866288,326.3981085709236,0.7615770101547241,529.3136107882676,-164.93830875501578,281.47428894800686,0.9791022539138794,679.004526930785,285.15338542814703,150.3776503946241,0.9009661674499512,704.2207578085339,-201.2200072419769,149.95989248508928,0.7652277946472168,357.21027632578904,143.58165388286253,88.6259719022728,0.3347674012184143,381.2688096611487,-69.13804227847861,126.07523133884905,0.6110403537750244,539.3372615023103,171.2100987726185,-181.8417038471273,0.7580325603485107,702.3009907371103,-61.99264263012747,-61.15844126665503,0.19714057445526129,441.60267938873153,217.8312179595843,-533.6054521237702,0.03043156862258911,867.3935827310083,-51.49575422008772,-116.60939886430384,0.003803849220275879,1195.21,2100.02,5.28,268.99,1955.03,2092.65,8.9,90.16,1849.51,2092.94,9.92,90.16,1760.54,1202.26,6.84,179.85,1760.5,1217.29,6.87,179.85,1760.46,1232.31,6.89,179.85,1150.25,2096.54,7.87,89.86,1037.4,2096.17,7.96,89.4,1008.5,2095.87,7.95,89.4,692.98,2094.69,7.59,90.06,674.97,2094.71,7.58,90.06,,,,,,,,,,,,,1d,14,1569236662
40030,40030,1269.4354471858135,1569237982.5801554,1269.4354471858135,-91.85282271003722,558.5136179184103,11.918350845875224,613.9027306694229,0.9985272288322448,573.4597169071476,36.605238770347185,659.1705444275482,0.9734675884246826,568.3162489141422,-20.40372914340611,650.9018533112909,0.92776757478714,552.6493957121525,76.3397420790391,681.9654130162238,0.8381664752960205,596.5035240235989,-64.68382520287328,681.6145087575253,0.8306083679199219,413.75786268526014,145.69904182146684,518.6903873147048,0.9146037697792052,428.14646697496363,-110.07414048524024,499.15544640362833,0.8470747470855713,514.2973374544049,214.7183612840702,323.0551216114994,0.1832226514816284,533.1561700016032,-168.4988624081784,282.2475994611607,0.97601056098938,675.9666714192597,287.547590585209,148.54778611179114,0.9171128869056702,703.7247594287959,-200.5453892964356,152.2595574756226,0.7690542936325073,340.87830764262395,144.28499308211232,91.19922809472664,0.2779453992843628,378.3025594933105,-69.24964021501428,136.5774784600485,0.4575946033000946,525.9333692153705,171.05285349113774,-189.57423501938752,0.7367161512374878,758.2130916449548,-61.2915503461114,14.326486981143546,0.19687265157699585,409.70938977046876,224.9357431350804,-561.9521904242255,0.027953565120697015,522.9824581047835,-84.58393460388378,-459.44537445911345,0.0041264593601226815,1195.022129915189,2100.0164552814185,5.283544718581341,268.979365844256,1955.3454799537396,2092.65,8.903544718581342,90.16,1849.8644718581338,2092.94,9.941268311488047,90.16,1760.54,1202.011869699306,6.878991904394756,179.85,1760.5,1217.0489591364687,6.8451869699306105,179.85,1760.46,1232.0689591364687,6.861642251349268,179.85,1150.5264880493444,2096.54,7.859365844255977,89.86,1037.6764880493447,2096.17,7.921008095605244,89.41417887432537,1008.7835774865073,2095.8735447185813,7.957089437162683,89.4,693.2458538936006,2094.69,7.59,90.06,675.239398612182,2094.71,7.601268311488049,90.06,,,,,,,,,,,,,1d,14,1569236662
40031,40031,1269.466507705341,1569237982.611275,1269.466507705341,,563.8290324939962,9.598499460177782,610.5454333381001,0.998383104801178,580.9761652323118,32.83212887793948,660.600785649636,0.9805707931518556,581.8396002932818,-26.56856163662365,658.8491004616843,0.9902950525283812,557.6481348060727,71.28187328264292,682.8384329606499,0.8504962325096129,578.1171182034947,-67.81097877562547,673.4495127816028,0.7843816876411438,422.56141444338965,149.8638563381684,513.8052159609806,0.9680495262145996,428.9170925618728,-110.46196655164265,500.0805585729335,0.7910031676292419,505.19543391109437,215.23635172898963,315.23168887356996,0.2076474726200104,532.5889736426603,-172.21538879462491,283.79652016584686,0.9700318574905396,672.2188803124883,288.72646292038087,156.83435149928954,0.9615196585655212,715.0015814048975,-199.7949012778089,159.22530377909462,0.7412123680114746,331.1639991461825,146.01238979166297,90.38811736111008,0.2580044269561768,390.9555827864212,-67.11880500535129,140.3194907551419,0.3142225742340088,573.1236304360493,164.16256532118499,-138.80337355416805,0.7348933219909668,769.4748645786498,-60.22195763190835,11.107626352340446,0.1098666489124298,365.89011662870905,238.04840787468368,-602.4905913836932,0.03752228617668152,1386.975853552193,-47.51227855717007,385.7166430602677,0.005465686321258545,1194.8575091616929,2100.0133492294667,5.286650770534094,268.9700476883977,1955.6219185775344,2092.65,8.906650770534094,90.16,1850.175077053409,2092.94,9.959904623204565,90.16,1760.54,1201.7944460626136,6.913158475875036,179.85,1760.5,1216.8377476036815,6.82344460626134,179.85,1760.46,1231.8577476036814,6.836793835727246,179.85,1150.7687601016596,2096.54,7.850047688397717,89.86,1037.9187601016597,2096.17,7.886841524124962,89.42660308213638,1009.0320616427276,2095.876650770534,7.963301541068188,89.4,693.4788077900571,2094.69,7.59,90.06,675.4754585605913,2094.71,7.619904623204565,90.06,,,,,,,,,,,,,1d,14,1569236662
40032,40032,1269.5,1569237982.644831,1269.5,-80.31129359586906,561.0761994665979,9.925212984190038,608.0039796379292,0.9983894228935242,577.7609936051177,33.39797287172122,657.5979286280888,0.9845079183578492,583.0617925860444,-26.63561166501596,658.5442309985955,0.991136074066162,562.940001167743,69.29004136247852,684.9049979018955,0.8041623830795288,567.8010449100026,-69.635606621898,670.0483977052428,0.8078476786613464,397.3774589653218,142.5046022938567,510.183382245679,0.92964768409729,419.03063982082017,-111.48573291875964,487.72845713071786,0.9767802953720092,510.7247572386863,217.233869409822,323.0582471375756,0.8455792665481567,533.2089201688357,-173.97590319095053,282.0981186584494,0.9440680742263794,677.0289796838169,288.20862027037566,157.17406254396303,0.9599393606185912,715.3415207700438,-206.9476049393671,157.4475772638973,0.5974941253662109,361.9478374382818,159.4305906130358,69.16580392109068,0.01068958640098572,407.19007061891676,-58.79617773566083,130.37336721590992,0.09246546030044556,482.7035983101811,183.62302820442864,-243.5616634450461,0.3769820928573608,758.7369066172027,-61.89840352615962,29.199644605102463,0.07806786894798279,344.9679131211332,217.94634257266517,-620.7699950988381,0.03423261642456055,833.5826074196028,-77.28998049473748,-155.7844290511591,0.004437625408172607,1194.68,2100.01,5.29,268.96,1955.92,2092.65,8.91,90.16,1850.51,2092.94,9.98,90.16,1760.54,1201.56,6.95,179.85,1760.5,1216.61,6.8,179.85,1760.46,1231.63,6.81,179.85,1151.03,2096.54,7.84,89.86,1038.18,2096.17,7.85,89.44,1009.3,2095.88,7.97,89.4,693.73,2094.69,7.59,90.06,675.73,2094.71,7.64,90.06,,,,,,,,,,,,,1d,14,1569236662
40033,40033,1269.533213039501,1569237982.677986,1269.533213039501,,561.5620781078512,8.571937017915893,606.0774742029048,0.9981299638748168,586.0145589480488,31.1304349425772,658.645082607874,0.9869666695594788,597.7882149318758,-28.079927979624497,662.1781113761176,0.9916017055511476,566.8492655723765,65.93442733615565,686.0687546010494,0.8004461526870728,559.6937642643845,-70.14332294004531,660.9358270952432,0.6462602615356445,411.10981567488,151.21511465369431,511.4298981663877,0.9641581773757936,430.2727928207801,-110.92328429710008,492.23550818934547,0.8076810836791992,486.2650358888961,216.3406048604644,314.03645633613223,0.9764816164970398,529.6020405438829,-175.691840402355,278.52499937902087,0.9497817158699036,682.9056515547979,288.0869738422013,153.34046804695774,0.908583164215088,720.2262459956274,-198.726311804842,146.93267783633073,0.8833625316619873,349.8860224974916,152.85511941654906,85.44513032371756,0.2194693386554718,401.1736879581217,-61.18712470505204,137.22060197017908,0.322304904460907,488.2007878669458,190.83229391104703,-224.23766505377992,0.5687805414199829,752.2890064269683,-66.74116761367814,37.09832988978639,0.06988030672073364,328.36157479118253,205.9767736108981,-636.2126400282092,0.028269857168197632,515.7706094186921,-94.14045763636368,-462.446213758896,0.0033244788646698,1194.500649586694,2100.00667869605,5.339819559251705,268.9799278237007,1956.2155960515602,2092.65,8.890072176299318,90.16,1850.8388090910607,2092.94,9.986642607900226,90.16,1760.54,1201.330830027442,6.946678696049887,179.85,1760.5,1216.3841513313926,6.823249127650795,179.85,1760.46,1231.4041513313925,6.826606519750568,179.85,1151.292383012059,2096.54,7.8433213039501135,89.86,1038.4457043160091,2096.1733213039497,7.883213039501136,89.45328521580046,1009.5623830120591,2095.8833213039497,7.946750872349204,89.4,693.9824191002086,2094.69,7.59,90.06,675.9824191002086,2094.71,7.610108264448978,90.06,,,,,,,,,,,,,1d,14,1569236662
40034,40034,1269.5666009071,1569237982.7113154,1269.5666009071,-104.57156049917452,565.6505177538631,8.824206498415805,606.0487518693923,0.9980000257492064,578.4859528419574,31.005090529621924,656.185070841219,0.9852094650268556,591.9983661668159,-28.842233704785446,658.9375240050485,0.99059396982193,567.2134223776648,61.68017536428717,686.1108296635564,0.7976341843605042,562.4419137846862,-71.86955438792592,660.7642762441476,0.6293821334838867,416.0059118834479,148.78598309684224,513.8683790698221,0.9712281227111816,428.0182624756705,-112.11282629807293,490.61565783590936,0.7819226384162903,521.409607553033,217.23539601403576,323.9284404331568,0.7480845451354979,525.2784135264849,-176.7710905565925,275.8351419482936,0.9443622827529908,672.8366438349393,289.3592141776197,156.98436379176434,0.9694485664367676,732.0212610924788,-204.85917075881042,163.72746951677357,0.6563977003097534,343.36395266291805,151.13571639807782,90.9291158728648,0.19439199566841125,394.05062423845436,-60.736060878167294,141.80367950022082,0.2881672978401184,491.1168000297316,192.5689687619003,-222.40020533875787,0.6320395469665527,703.2794768214769,-69.52795729716019,14.806212353843591,0.10550734400749208,304.9663631039606,199.34822646184912,-657.4802208599764,0.015484452247619629,441.48738896194016,-96.6146781038457,-532.9679258021497,0.008277028799057007,1194.3203551016604,2100.00333990929,5.389901360649914,268.9999605442599,1956.5127480731894,2092.65,8.870039455740033,90.16,1851.1693489802892,2092.94,9.993320181419989,90.16,1760.54,1201.1004537410104,6.943339909290006,179.85,1760.5,1216.1571138317204,6.846620634969961,179.85,1760.46,1231.1771138317204,6.843300453549973,179.85,1151.5561471660894,2096.54,7.846660090709994,89.86,1038.7128072567996,2096.1766600907104,7.916600907099943,89.46664036283998,1009.8261471660896,2095.88666009071,7.92337936503004,89.4,694.2361668939595,2094.69,7.59,90.06,676.2361668939595,2094.71,7.580059183610051,90.06,,,,,,,,,,,,,1d,14,1569236662
40035,40035,1269.6,1569237982.744656,1269.6,-85.5890483442868,562.9079240777387,7.742858939294997,603.282049848299,0.9970800876617432,574.6984572922843,29.821609700094577,654.0267021759688,0.983372688293457,591.8761236896028,-30.26179431203741,657.9365280233584,0.9877256155014038,571.449890690571,60.678965006937425,687.325319664739,0.8215726613998413,546.7178357101982,-75.62206810459743,654.3169719237069,0.5262925624847412,416.1998797625834,146.3883738057882,514.0915449982094,0.972781777381897,426.1921405404877,-112.41118625778923,493.9499334972136,0.7881382703781128,508.2331343912757,217.45656065117993,314.74886970758547,0.21302804350852966,518.8357901279226,-176.35550422277592,275.90783446121657,0.9524683952331544,672.9317548294579,290.12604502282454,155.36718705819004,0.9719831943511964,725.0552142798787,-206.97657146738285,162.01509546480162,0.659812331199646,336.7929628099953,151.31597275169025,91.9469483072278,0.1665770709514618,396.16222362980017,-58.75900743872377,142.96253190768311,0.29874855279922485,459.92048263955286,193.21577787471557,-248.6832021289556,0.588128924369812,764.3042403614229,-69.79840556554788,27.411435316867824,0.11104273796081544,294.44615796919703,199.06173822334287,-666.9688475896868,0.01569265127182007,500.9763958379828,-72.99581292359845,-470.8075358258676,0.008357197046279905,1194.14,2100.0,5.44,269.02,1956.81,2092.65,8.85,90.16,1851.5,2092.94,10.0,90.16,1760.54,1200.87,6.94,179.85,1760.5,1215.93,6.87,179.85,1760.46,1230.95,6.86,179.85,1151.82,2096.54,7.85,89.86,1038.98,2096.18,7.95,89.48,1010.09,2095.89,7.9,89.4,694.49,2094.69,7.59,90.06,676.49,2094.71,7.55,90.06,,,,,,,,,,,,,1d,14,1569236662
40036,40036,1269.633242296418,1569237982.7779126,1269.633242296418,-79.82229315851666,567.3111947469728,7.3477467812423924,601.8647715276986,0.9963966608047484,574.9173143673228,29.31060013976019,652.6858735450652,0.9830914735794068,585.3194013837381,-30.548168611750217,654.0840194494408,0.9868817329406738,564.2989019110597,62.09594989986658,685.6574152424822,0.8442916274070741,568.7909093233412,-77.49769412689517,658.4069352237923,0.4592795372009277,411.8084242224232,147.01429584800997,512.6996638407151,0.9728477001190186,425.68865355566817,-109.5833824676034,495.4177136344419,0.9750166535377502,509.6588168801789,218.44792237936096,320.2261546309485,0.6966311931610107,524.2450294602822,-174.7032842265237,276.32919028228656,0.9515787363052368,668.7804694510872,291.8460425343148,153.36986347809258,0.9743345975875854,714.6555578143367,-198.89371756045398,145.33731390960878,0.847648024559021,320.2691039119719,153.5040506131379,82.91339591467522,0.18342474102973932,396.65156939275084,-59.176806987038525,143.89574349024898,0.41836455464363104,437.9614146676097,198.20240634756058,-268.64135626862065,0.6192722320556641,792.8415459820053,-69.80211249423472,34.94959323838205,0.1260715126991272,221.14390141849861,234.04235053366278,-739.6484174753798,0.009987026453018187,513.1252882414092,-62.43788121428636,-458.7563682190175,0.00935816764831543,1193.9671400586258,2099.9966757703587,5.350245799671074,269.0532422964181,1957.1058564381208,2092.65,8.86662114820906,90.16,1851.8290987345395,2092.9366757703588,9.963433473940068,90.16,1760.54,1200.640628154715,6.926703081432753,179.85,1760.5,1215.6973039250731,6.8999180667763085,179.85,1760.46,1230.7206281547149,6.856675770358187,179.85,1152.0792899120613,2096.54,7.85,89.86,1039.2426141417031,2096.18,7.953324229641812,89.48997268892543,1010.3526141417032,2095.89,7.9,89.4,694.7426414527777,2094.69,7.583351540716376,90.06,676.7426414527778,2094.71,7.563296918567247,90.06,,,,,,,,,,,,,1d,14,1569236662
40037,40037,1269.667241962775,1569237982.8119268,1269.667241962775,-79.82229315851666,562.8034834335318,9.259542549089637,603.7597392333876,0.9966681003570556,578.1270352805964,30.80451781722497,654.8608013622933,0.9795435667037964,584.4963842985918,-29.00079218261066,655.0123698025334,0.9897605776786804,570.3201270933881,60.96273835587429,689.0353682254864,0.8143285512924194,551.3956541362322,-77.35003187799171,653.9052586051187,0.5330638885498047,421.21402386467344,148.31540207426463,516.067046037825,0.9716596603393556,434.67031467949175,-110.40795396266664,497.9924000425776,0.7676284909248352,498.63241948050535,224.72347251150782,311.0376745463392,0.6269564628601074,524.4819678737535,-173.0694444155034,277.05337954405456,0.9668492078781128,668.2171649374217,289.70927132314813,153.5515227313336,0.9720454216003418,730.2494777430354,-199.11822530846675,157.43522795693633,0.8895061612129211,322.9992670384029,154.818673564964,80.0594789619352,0.22776621580123896,392.9099381858258,-60.376706229920686,141.77783200313047,0.5036916136741638,612.5994355417538,178.89008123901647,-98.60318169950865,0.5864165425300598,775.9672407112637,-69.88704183981136,9.022242227373962,0.12352856993675232,187.92366098215103,252.750483358228,-772.6119487776238,0.006833016872406006,515.429315853029,-58.97946471968784,-455.5944196085866,0.009968131780624391,1193.7903417935695,2099.9932758037226,5.258446700507363,269.08724196277507,1957.4084534686974,2092.65,8.883620981387526,90.16,1852.165695431473,2092.9332758037226,9.926033840947444,90.16,1760.54,1200.4060304568522,6.913103214889981,179.85,1760.5,1215.4593062605747,6.9305177664975455,179.85,1760.46,1230.4860304568522,6.853275803722495,179.85,1152.3444873096453,2096.54,7.85,89.86,1039.5112115059228,2096.18,7.956724196277505,89.50017258883253,1010.6212115059227,2095.89,7.9,89.4,695.0010389170903,2094.69,7.57655160744499,90.06,677.0010389170902,2094.71,7.576896785110019,90.06,,,,,,,,,,,,,1d,14,1569236662
40038,40038,1269.7,1569237982.844699,1269.7,-80.42058414115486,563.8843193698586,8.167766263892176,605.333528844988,0.9978682994842528,582.6499941639438,30.49398102587768,656.7847527135058,0.9855821132659912,598.5854957287913,-28.78956882257109,660.1489812937042,0.9901695847511292,567.9621680745157,62.10910065943546,685.966747276168,0.8230802416801453,559.5883548350032,-72.30390627668612,658.2820191093227,0.6507310271263123,426.8344174227639,147.9353746315543,516.4498117847502,0.9720907211303712,429.9049421451322,-110.30744995015354,499.64232134794014,0.8305891156196594,511.0483187704079,223.97290446625772,316.2306076419346,0.5995129346847534,517.5449274682129,-171.84478090312248,279.40000903629624,0.9811580777168274,667.8044748340742,291.6357460892304,154.76694183171438,0.9602527618408204,705.3164120842157,-197.60122620714318,152.3711970496711,0.7146199941635132,320.0133264728468,158.12747154863118,77.69066204463037,0.19853827357292173,381.53496350624283,-58.54348572933996,139.84396644199202,0.6087905764579773,721.9900823488782,200.6508574090241,-9.038658962878856,0.12103509902954104,796.5949513562317,-56.090544121452176,43.12023898091225,0.2893543839454651,151.03779942040399,294.8550650470562,-807.4151743317062,0.010913312435150143,522.31237347505,-59.8243053472027,-458.6419343486734,0.006016731262207031,1193.62,2099.99,5.17,269.12,1957.7,2092.65,8.9,90.16,1852.49,2092.93,9.89,90.16,1760.54,1200.18,6.9,179.85,1760.5,1215.23,6.96,179.85,1760.46,1230.26,6.85,179.85,1152.6,2096.54,7.85,89.86,1039.77,2096.18,7.96,89.51,1010.88,2095.89,7.9,89.4,695.25,2094.69,7.57,90.06,677.25,2094.71,7.59,90.06,,,,,,,,,,,,,1d,14,1569236662
