,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,W_in-P_out.11_x,W_in-P_out.11_y,W_in-P_out.11_speed,W_in-P_out.11_angle,W_in-P_out.12_x,W_in-P_out.12_y,W_in-P_out.12_speed,W_in-P_out.12_angle,W_in-P_out.13_x,W_in-P_out.13_y,W_in-P_out.13_speed,W_in-P_out.13_angle,W_in-P_out.14_x,W_in-P_out.14_y,W_in-P_out.14_speed,W_in-P_out.14_angle,W_in-P_out.15_x,W_in-P_out.15_y,W_in-P_out.15_speed,W_in-P_out.15_angle,W_in-P_out.16_x,W_in-P_out.16_y,W_in-P_out.16_speed,W_in-P_out.16_angle,W_in-P_out.17_x,W_in-P_out.17_y,W_in-P_out.17_speed,W_in-P_out.17_angle,W_in-P_out.18_x,W_in-P_out.18_y,W_in-P_out.18_speed,W_in-P_out.18_angle,W_in-P_out.19_x,W_in-P_out.19_y,W_in-P_out.19_speed,W_in-P_out.19_angle,W_in-P_out.20_x,W_in-P_out.20_y,W_in-P_out.20_speed,W_in-P_out.20_angle,conflict_1g_x,conflict_1g_y,conflict_1g_speed,conflict_1g_angle,scenario,participant_id,source_file
64593,64593,2073.0666520684617,1568298547.1227329,2073.0666520684617,,,554.4833981664224,100.25417637129264,758.2700633938376,0.999414563179016,540.2404481222131,131.72596664497536,788.3689984465518,0.9974977970123292,528.8272725189903,68.25385141211962,781.6858880351617,0.9993746280670166,519.1642471125473,173.64926821723338,768.0960827261682,0.9041990041732788,492.80464146215417,26.438040770744767,748.4373157802856,0.9393488168716432,445.3017804087951,246.45196750920482,595.3161597002775,0.7959920167922974,434.2911143004082,-37.3776325016644,594.6056520445425,0.9718692898750304,583.3121242968939,325.00332242366727,387.9659841029632,0.7753851413726807,553.9455073044451,-118.14336871844525,359.8397938795188,0.7382014989852905,770.3106599939549,357.65473562358636,216.11806340186385,0.7741807699203491,753.5674450559981,-143.70317881893416,214.38743297664558,0.90264630317688,422.724046954072,200.87758627228413,116.91152586465584,0.3225599527359009,480.71932258111366,-7.493026643665029,156.46976377328454,0.2601034045219421,716.2109749418756,209.489229424934,16.821597675160888,0.060634613037109375,849.9408271535127,-41.55434426295992,128.54154580673773,0.17685964703559875,267.2924152942288,291.24843865313204,-778.1489739438542,0.0051705539226531965,569.4575802622621,-100.26823543555928,-437.9457370119243,0.011537820100784302,1106.393352310999,2099.406665206847,1.2866652068462252,274.4200043794613,1774.0198905134669,2093.15,7.45,90.16,1758.2265557203132,2093.22,7.58333041369245,90.37,1735.743242824466,2093.3833347931536,6.320065691919871,90.57,1720.6065600997742,2093.5333347931532,7.410035035690599,90.57,1495.9132077887753,2095.7833347931532,8.536656447923576,90.57,1312.5865557203128,2096.93,7.529991241077349,89.86,1297.5598905134668,2096.89,7.50666958630755,89.86,1279.639890513467,2096.85,7.490004379461325,89.86,933.8532253066206,2095.0966652068464,7.386656447923576,87.44976350908846,821.6731946503912,2094.55,9.513326034231127,90.06,702.3798773750829,2094.68,8.396682724691527,90.06,218.40320340931402,2104.4966958630757,9.17666958630755,102.2,199.21654258192916,2108.6500262767677,8.64999124107735,102.2,,,,,,,,,,,,,1d,9,1568296430
64594,64594,2073.1,1568298547.1561375,2073.1,-90.23401618154713,,558.6611298225193,100.74934092677928,760.4070677397812,0.9994134902954102,544.7134987980297,132.68635505670684,789.9603610411348,0.9972987174987792,528.58531232979,68.46681201051061,782.1209517619102,0.9993914365768432,516.7406572094794,175.3372380108575,768.340103609783,0.9129860401153564,494.80907100241234,25.731955232990032,750.956296657191,0.94377601146698,446.40573769036973,237.7667633035638,592.5005015034062,0.9847058653831482,438.1053664156427,-35.89900081552967,596.6273857132802,0.9693931341171264,585.3059975086333,324.69745053036996,383.3928503364348,0.6763345003128052,561.5694699770512,-117.1478271247343,363.48225496355315,0.763507604598999,768.5072276781578,359.07693770817457,214.4232700533109,0.6405210494995117,764.6471171618766,-143.2967629928666,217.02207567122056,0.9385617971420288,431.9154980020418,199.5896453783357,119.58371670190908,0.2861887216567993,480.16520039975006,-6.7372618019141175,152.9452899451445,0.32860398292541504,707.5128520566092,212.77640732744118,11.825016339454862,0.049656420946121216,854.961103596228,-44.174631506070455,135.20785082946293,0.2406374216079712,254.2641915483645,267.2718929508639,-796.4075811874228,0.006779342889785768,569.9212872436262,-98.26279354441348,-437.27076891734595,0.013031214475631714,1106.35,2099.41,1.29,274.41,1774.27,2093.15,7.45,90.16,1758.48,2093.22,7.59,90.37,1735.95,2093.38,6.17,90.57,1720.85,2093.53,7.33,90.57,1496.2,2095.78,8.56,90.57,1312.84,2096.93,7.55,89.86,1297.81,2096.89,7.5,89.86,1279.89,2096.85,7.48,89.86,934.1,2095.1,7.41,87.99,821.99,2094.55,9.53,90.06,702.66,2094.68,8.36,90.06,218.7,2104.43,9.17,102.2,199.5,2108.59,8.67,102.2,,,,,,,,,,,,,1d,9,1568296430
64595,64595,2073.132931689728,1568298547.1892135,2073.132931689728,-90.23401618154713,,558.9137823200309,101.88584069600657,760.5817267256325,0.9994195699691772,536.5003752812619,132.8139686026742,788.1545043283368,0.9970914125442504,532.4093287395041,69.05604957688807,782.8923164867497,0.9993952512741088,512.4199574622415,177.0801915105626,767.6302887066838,0.8854043483734131,495.6401293542491,26.78634265442161,749.8704424847205,0.9561218023300172,450.6424438560373,236.64329559871243,594.4027009230623,0.9839174747467041,437.95017170108804,-36.86122037974133,597.5977311363755,0.9710588455200196,588.0552213652279,325.14944686002525,387.0687563142626,0.7152762413024902,566.0047150686295,-116.13956762783288,367.26038290587206,0.8019567131996155,765.9387363159705,359.75262729323424,211.16327880864796,0.6878907680511475,757.1252013810227,-142.41621479562806,216.04244197722,0.9042712450027466,432.79475343502463,200.62825131809242,116.33002795134388,0.31631144881248474,483.9084485629675,-5.212955216318557,152.83846224223922,0.2936810255050659,674.2677880786795,219.1711881847981,-64.7535926295968,0.05178704857826233,861.1853714040187,-43.66953807587642,135.15009357332406,0.14123156666755676,264.4313705301593,252.9307106074873,-785.9116453383352,0.014369964599609375,569.6304347779411,-98.9840341332233,-436.0169871033731,0.020908504724502563,1106.310481972327,2099.4132931689733,1.2603614792449755,274.39682732410887,1774.5136945039858,2093.15,7.440120493081658,90.16,1758.7269876729583,2093.2167068310278,7.566947817190536,90.37,1736.160762814258,2093.3767068310267,6.255622393292294,90.57,1721.0805218280946,2093.53,7.214739085952682,90.57,1496.4799193626864,2095.78,8.533654648217757,90.57,1313.0869876729585,2096.93,7.546706831027219,89.86,1298.0602808419312,2096.89,7.5098795069183435,89.86,1280.1369876729586,2096.85,7.509638520755026,89.86,934.340401335013,2095.1,7.386947817190538,88.20076281425794,822.3028510524142,2094.55,9.493775141299414,90.06,702.9366261937137,2094.68,8.392931689727805,90.06,218.99638520755025,2104.367429789517,9.193052182809463,102.2,199.77662619371358,2108.527429789517,8.663413662054442,102.2,,,,,,,,,,,,,1d,9,1568296430
64596,64596,2073.166701561235,1568298547.2231314,2073.166701561235,-92.21827386534436,,558.9097728885165,103.288288665936,760.6889439520016,0.9993743896484376,540.1148814988055,132.83559429195628,788.1938589901271,0.9968949556350708,536.6058364127889,70.19922253545343,783.4490107332947,0.9993430972099304,510.2229799950629,178.16379389048043,766.0674567977513,0.8858494758605957,497.08245386236086,26.63461873580998,750.9990852521578,0.8722054958343506,441.6387417144989,245.67711195497256,594.4016920365767,0.7812510132789612,438.7266981912095,-35.095056053563795,596.1555882623022,0.9733279943466188,582.8616991537625,327.0566121788136,389.83733803941215,0.7408560514450073,569.4522555896776,-111.74125252468596,372.242054709466,0.8553485870361328,763.0894956579092,360.56988984405746,210.70661175954268,0.7165088057518005,766.1066519030942,-144.34129874555285,223.03557717701847,0.9393020272254944,425.64495353494414,194.7046608954404,140.11382933002028,0.5290699005126953,484.234548558714,-4.595898160678036,154.66479993171464,0.24638330936431885,697.7542446548575,219.20414983686143,-26.67308126861241,0.08782926201820374,864.0818473328096,-48.79340817751234,139.4876603128858,0.1398148238658905,281.2199309656478,246.79063807184048,-767.661625869405,0.011984944343566895,571.4364743720888,-78.41345055446105,-433.5228183581978,0.018157899379730225,1106.2699581265176,2099.4166701561235,1.229968594888196,274.3833193755059,1774.7635915531414,2093.15,7.429989531629398,90.16,1758.980261709265,2093.2133298438766,7.543308907135263,90.37,1736.3768899919062,2093.3733298438765,6.343424059211878,90.57,1721.316910928647,2093.53,7.096544535676317,90.57,1496.7669632705006,2095.78,8.50663875101173,90.57,1313.340261709265,2096.93,7.5433298438764655,89.86,1298.3169318653886,2096.89,7.520010468370602,89.86,1280.3902617092654,2096.85,7.5400314051118045,89.86,934.5869213970179,2095.1,7.363308907135264,88.41688999190615,822.6236648317357,2094.55,9.456628282641127,90.06,703.2202931143767,2094.68,8.426701561235339,90.06,219.30031405111802,2104.3032670336524,9.216691092864737,102.2,200.06029311437683,2108.4632670336528,8.656659687752933,102.2,,,,,,,,,,,,,1d,9,1568296430
64597,64597,2073.2,1568298547.2565758,2073.2,-90.11933385523665,,562.5332409365194,103.7651109163863,761.8669446253758,0.9994012117385864,540.6778909872056,132.63480935989395,787.497113354547,0.9969218969345092,533.1623247491918,71.313010981993,782.5205952691142,0.9993747472763062,503.1745874055929,179.1509726772854,763.5172989711783,0.8941723704338074,494.5006043089825,26.931777014029368,752.6450006284598,0.8877676725387573,441.608277818128,240.61943706009617,591.2401156451817,0.9854437112808228,438.3250273989575,-34.454881016412116,596.9984739164295,0.9677473306655884,574.3242886674391,329.7286194758971,386.91391385689684,0.7567605376243591,575.720349348421,-109.98942059742727,370.76651908428335,0.8128620386123657,764.6740684113672,359.5650874705163,210.9300924142908,0.6543758511543274,771.5085083347113,-142.62396511305397,222.50415817358544,0.92240309715271,429.06453835542686,198.95915729322,126.52273528475936,0.30750858783721924,472.5120113288763,-7.869021598667459,161.78616617848587,0.2495018839836121,707.8910134963251,218.65759911679714,-5.13739764034068,0.06150975823402405,822.8431473780862,-53.59826899455185,133.12551220981052,0.3351683616638184,284.8763230160417,242.24397021814644,-763.6395316963591,0.014484971761703491,570.4706314692328,-67.25536744230703,-428.68608986768,0.032289355993270874,1106.23,2099.42,1.2,274.37,1775.01,2093.15,7.42,90.16,1759.23,2093.21,7.52,90.37,1736.59,2093.37,6.43,90.57,1721.55,2093.53,6.98,90.57,1497.05,2095.78,8.48,90.57,1313.59,2096.93,7.54,89.86,1298.57,2096.89,7.53,89.86,1280.64,2096.85,7.57,89.86,934.83,2095.1,7.34,88.63,822.94,2094.55,9.42,90.06,703.5,2094.68,8.46,90.06,219.6,2104.24,9.24,102.2,200.34,2108.4,8.65,102.2,,,,,,,,,,,,,1d,9,1568296430
64598,64598,2073.232972001138,1568298547.2894564,2073.232972001138,-90.17662065795423,,554.9506759778479,103.52588294730637,758.6162436926057,0.9994356036186218,537.2169410773708,132.99064260418922,786.0651550522618,0.9971559047698976,532.8266441552311,71.48534930747861,782.7287418249373,0.9967655539512634,506.358936166728,178.37844495865056,763.3819830192365,0.8794876933097839,493.3168160588369,26.601408608892545,750.658776976893,0.8629896640777588,440.11684805122843,246.9687350863514,594.3488914324188,0.7763193845748901,446.040355476567,-30.508822516734718,591.2365450387399,0.7909666299819946,584.8591603565206,327.5337965944607,390.57931672863947,0.7347256541252136,568.5287666833893,-113.6512232832157,367.37499725749603,0.7833291888237,757.0386204047328,360.8071990805119,205.28146651813373,0.7568663358688354,771.2484890610292,-141.5760029575326,224.01545257868145,0.9275213479995728,418.64545508277604,194.44369287410225,144.59603007848375,0.6419753432273865,469.2601662773657,-9.285610786999763,162.37735920726269,0.2501799464225769,718.8058430182565,219.03080249594345,9.608941410130056,0.11292478442192078,807.2099312310155,-56.67214495761297,131.5383912037182,0.3789999485015869,285.139165547606,240.7744457563156,-765.1150975701988,0.013711243867874146,570.7191476088185,-69.95007300433507,-423.23782440267405,0.03382459282875061,1106.1904335986342,2099.4232972001137,1.2065944002276168,274.35681119954484,1775.2572900085354,2093.146702799886,7.452972001138085,90.16,1759.4772900085354,2093.21,7.4969195992033395,90.37,1736.8109124076252,2093.37,6.515727202959021,90.57,1721.787398408194,2093.5267027998857,7.039349602048553,90.57,1497.3302620096738,2095.7767027998857,8.489891600341426,90.57,1313.8372900085355,2096.93,7.513622399089532,89.86,1298.8172900085356,2096.89,7.533297200113808,89.86,1280.8872900085355,2096.85,7.533730798748107,89.86,935.0706956083079,2095.103297200114,7.326811199544768,88.78496840534899,823.2499368106979,2094.55,9.439783200682852,90.06,703.7769648095599,2094.68,8.433622399089533,90.06,219.89674801024282,2104.1773531978374,9.220216799317148,102.2,200.61696480956,2108.3406503979513,8.633513999430956,102.2,,,,,,,,,,,,,1d,9,1568296430
64599,64599,2073.266543858349,1568298547.3229349,2073.266543858349,-92.38435169645479,,559.3575071525254,105.44524104612083,759.2729829853563,0.999433934688568,537.1366956423035,133.07863841593928,785.7150326635036,0.9968336820602416,540.5366094183969,72.96989311019077,784.1213682409067,0.9970659017562866,517.5611486988308,179.00420867755238,767.5120013080783,0.8720567226409912,489.9887115661396,28.211265542548386,747.8766651232933,0.884820282459259,453.55046859530546,238.77164844193445,598.4252985566362,0.9860285520553588,448.73829111725814,-29.50204826398005,587.2311564548637,0.8143908381462097,567.2976403637879,331.04338481680827,382.833729411166,0.7607134580612183,558.0037574789643,-110.0538795126334,380.2220180587241,0.14608564972877502,751.0156531455998,363.5516279041272,202.06768212877049,0.7337110042572021,765.7175486964836,-142.70740229441714,227.44123118064618,0.8063163757324219,416.35442718168997,194.6400690020995,148.6899816140499,0.5653713345527649,442.782763068381,-3.0329185127659017,201.6422914741388,0.800740122795105,708.7422574784707,218.0143076115753,-6.115864720082017,0.0793854296207428,796.9510204882408,-57.49367038755854,128.5142131177691,0.34271910786628723,286.8547995802385,238.28019486122398,-762.9481472590646,0.011761397123336792,571.9151306064913,-66.94817014875913,-422.83649434282233,0.022937983274459842,1106.1501473699811,2099.426654385835,1.2133087716697872,274.34338245666044,1775.5090789376168,2093.143345614165,7.486543858348934,90.16,1759.7290789376168,2093.21,7.473419299155745,90.37,1737.0358438509381,2093.37,6.603014031707232,90.57,1722.0291157801125,2093.523345614165,7.099778945028085,90.57,1497.615622795966,2095.773345614165,8.49996315750468,90.57,1314.089078937617,2096.93,7.486764913320853,89.86,1299.069078937617,2096.89,7.536654385834893,89.86,1281.1390789376171,2096.85,7.496801755816171,89.86,935.3157701659472,2095.106654385835,7.313382456660426,88.94275613423999,823.5655122684799,2094.55,9.459926315009362,90.06,704.0589684101311,2094.68,8.406764913320853,90.06,220.1988947251404,2104.113566669137,9.200073684990638,102.2,200.89896841013103,2108.280221054972,8.616728070825532,102.2,,,,,,,,,,,,,1d,9,1568296430
64600,64600,2073.3,1568298547.3562984,2073.3,-91.5721851689395,,560.0814510420984,106.5295651121482,758.428234793058,0.9994325637817384,537.4308118953568,134.37038298039474,785.1454843190687,0.9964731335639954,541.0982446054313,73.25114695221684,784.0329180458345,0.9969543218612672,521.9734947796084,179.49746533400688,769.5464810895903,0.8597426414489746,497.4350649209134,29.29571643447679,753.1880917907102,0.9026910662651062,442.5397085161616,241.4549118443935,591.2383323114068,0.9874119758605956,448.9410240797869,-29.59928243238965,587.0064265292423,0.8234717845916748,572.2743086418111,329.1747518808403,384.93073895852433,0.7523421049118042,541.0491864581438,-109.8457111562013,379.76334106728063,0.15674197673797607,759.0704024655362,362.1651872727082,207.23941980965031,0.7009226679801941,762.3271373740617,-143.23612495710353,225.1834955723409,0.8666048049926758,422.75008847317736,196.99591985656954,145.96840320566125,0.5392099618911743,440.788946949871,-2.1537809664571865,203.6802182554047,0.8033777475357056,717.3573880851181,213.87027589190293,1.9135712550603896,0.06745857000350952,809.0396204715435,-55.44385875370134,135.3811651470693,0.2986759841442108,249.69736629004902,268.1006599125304,-801.3294510027887,0.0053524672985076896,569.6314394816114,-67.98712502189335,-426.96070535776323,0.02274221181869507,1106.11,2099.43,1.22,274.33,1775.76,2093.14,7.52,90.16,1759.98,2093.21,7.45,90.37,1737.26,2093.37,6.69,90.57,1722.27,2093.52,7.16,90.57,1497.9,2095.77,8.51,90.57,1314.34,2096.93,7.46,89.86,1299.32,2096.89,7.54,89.86,1281.39,2096.85,7.46,89.86,935.56,2095.11,7.3,89.1,823.88,2094.55,9.48,90.06,704.34,2094.68,8.38,90.06,220.5,2104.05,9.18,102.2,201.18,2108.22,8.6,102.2,,,,,,,,,,,,,1d,9,1568296430
64601,64601,2073.333233244885,1568298547.389653,2073.333233244885,-92.31269973379266,,559.4266812712062,107.01541542661128,759.8066059142218,0.9994430541992188,540.5657012666171,133.78038219628343,787.2494419878932,0.9965585470199584,534.0073582652785,74.55050127097094,781.5273885638576,0.9994561076164246,512.0575750064736,180.82788273720882,764.9918666230577,0.8603274822235107,492.6465365199373,29.655646740112854,748.5977440667913,0.9084286093711852,449.8547341463282,239.526624280508,595.5234090868053,0.9860278367996216,448.9231323432332,-29.47298081825562,587.0725514379508,0.8175840377807617,569.9296972474748,328.70125411215463,382.1682130611114,0.7368233799934387,540.501833935719,-109.0015565620833,384.8920730171605,0.20174184441566467,760.3455760984414,361.43173782488543,208.47547622806306,0.6909154653549194,758.0207093318854,-143.09994969815997,222.95077531243385,0.8492542505264282,413.9161588266502,197.02965247934208,145.6370536011734,0.5603631138801575,438.8341509349317,-0.9365818776583604,207.39457104217186,0.8552238345146179,708.3469743440558,216.2768843610312,-3.295616194198999,0.07309737801551819,795.2149622945558,-52.10925786233414,125.26189745105059,0.5030350685119629,253.68002637198845,249.007222029001,-796.7014206213993,0.008615672588348389,570.4938626235745,-82.70563318804028,-433.23972283327566,0.015089333057403563,1106.070120106138,2099.43,1.22,274.32003002653454,1776.0092493366358,2093.14,7.506706702046093,90.16,1760.2292493366358,2093.2066766755115,7.493203218350202,90.37,1737.4893093897049,2093.3666766755114,6.776406436700405,90.57,1722.5092793631704,2093.5166766755115,7.17329329795391,90.57,1498.1824825815204,2095.7666766755115,8.500030026534567,90.57,1314.5892493366355,2096.93,7.489909920396293,89.86,1299.5692493366355,2096.8933233244884,7.5267067020460905,89.86,1281.639249336636,2096.85,7.489909920396293,89.86,935.8059260121472,2095.1133233244886,7.326586595907817,89.19969973465432,824.1957158264054,2094.55,9.476676675511523,90.06,704.619159257032,2094.68,8.373353351023049,90.06,220.7990992039629,2103.9835335102307,9.186646648976954,102.2,201.4591592570321,2108.1601801592074,8.6,102.2,,,,,,,,,,,,,1d,9,1568296430
64602,64602,2073.366480980424,1568298547.423022,2073.366480980424,-90.5053276237596,,559.0374798511426,108.32897782539648,760.6521440020894,0.9993985295295716,537.0905378104216,134.6273390915615,786.3626618656798,0.9962307214736938,533.8056765621593,75.44263877516542,780.9565798321847,0.9994213581085204,507.2880812917185,181.58605466977053,763.8907008444794,0.8482304811477661,499.78233253635926,31.0251949134617,749.2903305173887,0.9289222955703736,450.946004331262,240.08366845923732,594.5984279910404,0.9855605959892272,449.42361233535416,-28.39855607337511,586.1113192411477,0.8413501977920532,579.1850253231501,328.98450210336534,391.2005058417402,0.7927968502044678,552.3707300217227,-112.70216827876688,362.7558059248468,0.7067648768424988,763.5640272276027,360.6982560292153,211.99689557788025,0.7210294604301453,772.6258872338229,-140.52810375838007,219.0401166965237,0.9405909180641174,433.9113093347106,198.3855363786412,139.11495254007048,0.31562596559524536,442.24829480921125,-8.760802085975365,189.44719917678842,0.6235555410385132,709.0378980550831,219.13412902650688,-0.583516267538073,0.07189247012138368,798.8331537838433,-51.35336986327855,126.47340295898458,0.5007479190826416,255.93044818700713,243.8268528834175,-795.2867268150778,0.013296544551849363,568.0325090390153,-88.16753492303862,-438.92099812366035,0.018976539373397827,1106.0302228234918,2099.43,1.22,274.31005570587297,1776.2586073531759,2093.14,7.493407607830607,90.16,1760.478607353176,2093.2033519019574,7.536425274550526,90.37,1737.718718764922,2093.3633519019572,6.8628505491010525,90.57,1722.748663059049,2093.5133519019582,7.186592392169392,90.57,1498.4650883335996,2095.7633519019582,8.490055705872956,90.57,1314.838607353176,2096.93,7.5198328823811345,89.86,1299.818607353176,2096.8966480980425,7.513407607830608,89.86,1281.8886073531762,2096.85,7.5198328823811345,89.86,936.0519592551336,2095.116648098043,7.353184784338786,89.29944294127044,824.5115693140232,2094.55,9.473351901957653,90.06,704.8984402355572,2094.68,8.366703803915303,90.06,221.0983288238113,2103.9170380391533,9.193296196084695,102.2,201.73844023555725,2108.100334235238,8.6,102.2,,,,,,,,,,,,,1d,9,1568296430
