,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,W_in-P_out.11_x,W_in-P_out.11_y,W_in-P_out.11_speed,W_in-P_out.11_angle,W_in-P_out.12_x,W_in-P_out.12_y,W_in-P_out.12_speed,W_in-P_out.12_angle,scenario,participant_id,source_file
38102,38102,1208.0,1568374277.7417002,1208.0,-78.87019990698306,,616.1841611705751,82.6039434560117,681.8811769106693,0.9988601803779602,598.9072078095948,112.09233486601124,720.4119010066001,0.9985129833221436,604.7159013357177,47.25337703376008,720.6695174254197,0.9928600788116456,563.4934762452158,152.7894743802189,722.6082074069168,0.9055473804473876,542.6651344203955,6.2623671671700585,711.1163191787148,0.6471905112266539,480.50217612970187,210.76935690288232,587.3823173035718,0.9873279333114624,490.2632539711239,-44.399618801838045,565.9090226521705,0.9609519243240356,560.1688092284078,276.89327757730325,365.03376391315203,0.03625163435935973,558.5624850053474,-132.32514808519014,342.74738384024295,0.6311620473861694,788.4239265452337,300.610574942787,224.45657227117192,0.5431399345397949,772.6141594384424,-171.17309723251762,196.00183473847162,0.7534705400466919,437.0041566767569,168.23403866219127,187.9349379945433,0.5335845947265625,406.29020544989373,-21.449265831123267,153.5025191846924,0.769131064414978,717.418696981463,190.9066315723935,46.628103993803904,0.22629314661026,843.5430850816493,-19.96238632367968,102.25364189344528,0.4381110966205597,466.4814437182482,242.74704374188545,-558.9850116788559,0.026896268129348755,433.4257346737523,-78.36422015941423,-620.0784396859543,0.09660390019416808,1186.64,2100.72,4.43,270.04,1622.25,2094.52,7.79,90.57,1490.06,2095.85,7.21,90.57,1760.9,1063.71,7.06,179.85,1760.86,1078.97,7.09,179.85,1760.82,1094.23,7.15,179.85,1235.53,2096.74,9.27,89.86,1130.68,2096.49,9.27,89.86,921.79,2094.44,7.9,90.06,831.77,2094.54,8.85,90.06,423.25,2093.96,6.44,89.67,318.53,2094.43,8.23,92.83,242.26,2101.18,8.13,96.98,207.88,2106.78,8.1,102.2,1d,10,1568373023
38103,38103,1208.0351038676695,1568374277.777098,1208.0351038676695,-83.33024286549472,,619.0215476411122,83.99666012606734,684.7746112281071,0.9987295269966124,605.2883470649922,112.70909002261028,723.558860373128,0.9986221194267272,604.2764518118279,47.97761880429062,721.0905258353042,0.9929356575012208,562.2901327405519,154.20133305225232,722.814354015549,0.8992267847061157,549.3250456078212,7.201056499571563,713.9026903581146,0.6412092447280884,480.2750934852961,210.42514917663502,588.4531378103196,0.9886928796768188,486.44546699365264,-44.95216761270836,565.9136727742293,0.9628791213035583,554.9941597757573,278.2383647195987,363.04821215652,0.03936117887496948,566.1802054866569,-131.8154171010963,346.32338158436835,0.6156899929046631,782.2737017607753,299.5600020839848,219.15749080199922,0.5525452494621277,746.4242284207241,-174.7717145475771,196.73939459619882,0.7386193871498108,426.0052052064889,167.37444022303058,176.27595891073182,0.5824465155601501,417.5342755948335,-24.512682025539675,161.46564038597626,0.7751810550689697,709.7477392766666,185.55326695930918,38.062702700552,0.27687230706214905,839.0417240639042,-25.913685796879147,103.5881008091346,0.3440383970737457,545.2537166460952,227.051377164284,-470.71068248483687,0.056566059589385986,428.7497168595101,-73.29742481421133,-620.937162759384,0.21486929059028625,1186.4820325954865,2100.716489613233,4.437020773533948,270.00840651909726,1622.5238101678242,2094.5164896132333,7.797020773533948,90.57,1490.312747847222,2095.846489613233,7.234572707368815,90.57,1760.9,1063.457252152778,7.0986142544367095,179.85,1760.86,1078.720762539545,7.086489613233026,179.85,1760.82,1093.980762539545,7.125427292631185,179.85,1235.8564659693284,2096.74,9.305103867669736,89.86,1131.0064659693285,2096.49,9.29106232060184,89.86,922.0708309413577,2094.44,7.917551933834867,90.06,832.0824244222606,2094.54,8.85,90.06,423.4746647530863,2093.96,6.443510386766974,89.67,318.8178517148918,2094.412448066165,8.205427292631185,92.8826558015046,242.5443413281249,2101.144896132331,8.122979226466054,96.98,208.1573205545909,2106.7168130381947,8.121062320601842,102.2,1d,10,1568373023
38104,38104,1208.0672290763273,1568374277.809492,1208.0672290763273,,,616.0255815871293,84.34942089043219,682.8941907537898,0.9988170266151428,601.949532409307,112.94692598173368,722.8162576135335,0.9985008835792542,603.9565581999608,47.7504675546321,721.6843118681131,0.9925998449325562,565.1004932044548,153.9981518321485,724.9252959631012,0.8771826028823853,543.6607268056804,6.574020749392103,712.6015011339522,0.6117497086524963,472.42055570774505,209.4823121456396,583.1700348606314,0.9895620346069336,485.98143701312415,-45.14083099202694,566.2618671513976,0.9625512957572936,562.6520197687548,276.00740363884825,366.9694286660408,0.04567345976829529,563.3298022863657,-134.8161271782032,346.9156922790055,0.6501020193099976,796.0601305063631,292.07857642817197,211.86307515673008,0.8789497017860413,758.4683537152713,-175.92719871436788,188.34628406053355,0.7492963671684265,436.4848063652466,162.00730831678214,180.13859968259112,0.5855162143707275,411.8094040565506,-24.82554841449277,159.51603634729568,0.7611486911773682,733.4711919125342,181.2380923805976,36.6031421963288,0.5457885265350342,838.7099235885628,-18.401156560216773,102.44609143679595,0.43276679515838623,575.3374372236736,217.64068932600537,-437.0401056886003,0.053358912467956536,430.0185399596277,-72.97563631900391,-616.2288185127344,0.2071148157119751,1186.337469156527,2100.7132770923668,4.443445815265472,269.9794938313054,1622.7743867953534,2094.5132770923674,7.803445815265472,90.57,1490.5440493495569,2095.8432770923678,7.257060353429148,90.57,1760.9,1063.2259506504429,7.133951983960091,179.85,1760.86,1078.4926735580755,7.083277092367266,179.85,1760.82,1093.7526735580755,7.102939646570852,179.85,1236.1552304098445,2096.74,9.337229076327354,89.86,1131.3052304098446,2096.49,9.310337445796415,89.86,922.3278326106188,2094.44,7.933614538163678,90.06,832.3683387793135,2094.54,8.85,90.06,423.6802660884951,2093.96,6.446722907632736,89.67,319.0812784258843,2094.3963854618364,8.182939646570851,92.93084361449104,242.80455551825162,2101.1127709236725,8.116554184734529,96.98,208.4111097029861,2106.6589876626113,8.140337445796415,102.2,1d,10,1568373023
38105,38105,1208.1,1568374277.8425374,1208.1,-100.17961494942169,,614.7995773087424,83.68808746147599,684.834091752946,0.9987590312957764,601.418910134549,112.07598976997515,723.3587351676816,0.998497486114502,606.8978824593299,48.47127897302378,724.2606568007564,0.9932934045791626,565.7152320641591,153.782151630172,724.5243584782828,0.8989578485488892,549.7003417729629,6.817637324455498,713.8683390944237,0.648811399936676,475.3788821125947,208.08516989094474,586.2719594832721,0.9882225990295408,481.03969727229037,-46.29006838592945,565.6736574177141,0.961960792541504,561.4183027135357,276.2020123453047,365.52271671405447,0.05022001266479492,559.256798341431,-136.47754393996402,345.00592604547614,0.6480052471160889,797.6957314106028,290.4281349814445,210.7470677417112,0.9099262356758118,766.1835503189819,-176.04777108136767,192.55421038258885,0.7690142989158629,428.25275299780236,162.39104468640022,168.70144016991497,0.632857620716095,405.18163028198944,-26.795403021120766,152.58265275302432,0.7565757632255554,722.3855306410445,172.04118424897118,1.344994618958424,0.4823259115219116,835.8217501481076,-17.560041283117823,101.27207708897436,0.4181239008903504,573.1793418653027,198.6433978077607,-442.66877596138085,0.07228311896324158,462.06322088281416,-65.03663163311444,-582.7659785581662,0.05441516637802124,1186.19,2100.71,4.45,269.95,1623.03,2094.51,7.81,90.57,1490.78,2095.84,7.28,90.57,1760.9,1062.99,7.17,179.85,1760.86,1078.26,7.08,179.85,1760.82,1093.52,7.08,179.85,1236.46,2096.74,9.37,89.86,1131.61,2096.49,9.33,89.86,922.59,2094.44,7.95,90.06,832.66,2094.54,8.85,90.06,423.89,2093.96,6.45,89.67,319.35,2094.38,8.16,92.98,243.07,2101.08,8.11,96.98,208.67,2106.6,8.16,102.2,1d,10,1568373023
38106,38106,1208.1334815011285,1568374277.8762455,1208.1334815011285,-82.2503081597294,,611.8839132869691,82.69541939956679,682.1311882802307,0.9988440871238708,598.6087285927622,111.64833351014966,720.494323777626,0.9984647631645204,604.2766929371659,47.14586895188057,721.5159298253825,0.992508590221405,569.6663266435961,152.4716892504649,724.6682033439009,0.9088596105575562,547.1100265417546,6.302686983976628,714.6015455615558,0.6215904355049133,480.989099793982,207.27223514858196,586.0129797447947,0.9886924028396606,488.5797780754061,-47.00782025556437,568.3034047497384,0.9539116621017456,564.6602381165768,275.81595197718883,366.74430673629996,0.06266790628433228,557.7809586404636,-138.20619422193982,345.825332930248,0.6550806164741516,794.0646277723304,291.0626925024416,210.24603744905158,0.8982870578765869,763.8742325843879,-178.54674183375968,190.4948383701912,0.758222758769989,430.6610499520729,159.29732915819486,168.4846878227111,0.6298962831497192,413.839263977074,-30.509802112724884,156.2947701582445,0.7549359798431396,725.8729214662842,165.79679344719568,4.67185515212708,0.4233601987361908,836.8049935404608,-20.61422128193795,106.33064784919004,0.37242591381073,575.5345614034379,205.1313494511092,-441.71857877376914,0.010192424058914185,508.0686255367268,-51.43731044336015,-526.4113068628635,0.02101367712020874,1186.0426813950344,2100.71,4.446651849887148,269.9399555496614,1623.2911557088025,2094.51,7.799955549661446,90.57,1491.0210668081256,2095.8366518498874,7.23982219864578,90.57,1760.9,1062.7522813419876,7.139866648984334,179.85,1760.86,1078.0222813419875,7.106785200902814,179.85,1760.82,1093.2789331918748,7.103437050789963,179.85,1236.774726110608,2096.7433481501125,9.359955549661443,89.86,1131.9180298103822,2096.4933481501125,9.286474048532929,89.86,922.8545038589152,2094.44,7.923214799097186,90.06,832.9579853600438,2094.54,8.873437050789963,90.06,424.1109779074482,2093.963348150113,6.480133351015666,89.67,319.62120015914104,2094.363259249436,8.163348150112851,93.03022225169278,243.33785200902813,2101.046518498872,8.106651849887147,96.98,208.9378520090281,2106.5430814480815,8.153303699774296,102.2,1d,10,1568373023
38107,38107,1208.1668879316264,1568374277.909878,1208.1668879316264,-80.40710684035103,3.7540651270441354,611.6292714753133,77.42849328591302,681.6772592261192,0.9987478852272034,609.4198992179682,108.51370794939406,723.2941764981879,0.99834942817688,604.4433724526449,45.53748012748125,720.5410648798476,0.9912391901016236,567.8183137566367,148.98660691322047,720.7266447176038,0.9134026765823364,544.1065520016182,4.912840840724254,710.6045215364157,0.6428892016410828,476.51914746645457,205.21899428071566,585.0438441540588,0.9865533709526062,488.8888074016017,-47.49068579718937,569.0422011677954,0.951480746269226,569.7990277051142,275.23298669981733,369.1964767658907,0.05494803190231323,564.7709690166666,-138.83154365037504,349.2651213877037,0.6461643576622009,793.4118254930446,291.8336647838301,210.84064798982868,0.8879367113113403,772.0239524885501,-178.57224422035398,197.94854768803384,0.7767302989959717,410.2622527021455,159.12190348553395,159.3800286838163,0.4820495843887329,412.2296648631818,-30.35087792407609,162.7466976038391,0.6196433305740356,738.6832586399748,160.07698237178317,19.382931354020684,0.3372705578804016,825.7250960190712,-22.68697336200767,99.72898538364777,0.0664692223072052,573.9597722315997,210.06010400358971,-444.33796082836784,0.006010472774505615,553.7646918808864,-50.779493264410064,-463.9371242861589,0.010081171989440918,1185.8956931008438,2100.71,4.443311206837357,269.9299336205121,1623.5517258666864,2094.51,7.789933620512071,90.57,1491.2615931077105,2095.8333112068367,7.19973448204828,90.57,1760.9,1062.5150956854525,7.109800861536209,179.85,1760.86,1077.7850956854522,7.133510345301148,179.85,1760.82,1093.0384068922897,7.1268215521385025,179.85,1237.0887465572885,2096.7466887931632,9.34993362051207,89.86,1132.2253689709632,2096.4966887931632,9.243045688885637,89.86,923.1184146598488,2094.44,7.896489654698852,90.06,833.2553025914752,2094.54,8.896821552138501,90.06,424.33146034873454,2093.9666887931626,6.510199138463791,89.67,319.89179224617413,2094.346556034187,8.166688793162644,93.08033189743963,243.60510345301148,2101.0131120683736,8.103311206837356,96.98,209.20510345301147,2106.486290516235,8.146622413674713,102.2,1d,10,1568373023
38108,38108,1208.2,1568374277.9432142,1208.2,,3.9157318895534683,611.8090371334669,76.86711964102497,681.2343115479995,0.998690128326416,603.1878682832843,108.17502934569842,720.4158332807173,0.9981504678726196,597.5225330575165,44.694816897715256,717.5170798709477,0.9913870692253112,557.5287383595431,153.94842341885925,720.5708525307028,0.5692437291145325,547.0932746732827,2.9558861216152685,711.2097946768141,0.5954189896583557,481.45098655279696,204.54082513336976,584.9206211308508,0.9866516590118408,485.5071105167015,-48.69522984709538,567.6053772291926,0.9429440498352052,570.9703247371659,274.4814370657239,369.2374020605778,0.05397206544876098,559.1407921492251,-141.32014464711943,346.34689865625427,0.5931751132011414,796.2741453893871,292.46739059844174,212.93247032923787,0.8388702869415283,763.8833723212639,-180.3655622933321,192.34961736126306,0.8278174400329591,413.75666285009044,153.6113785220987,158.43135999959333,0.5361678004264832,418.5300389576227,-34.22433264265054,166.09883687625856,0.5893111228942871,717.2527761032304,156.29623892710458,-10.98935208481322,0.4468150138854981,834.7615665251958,-23.025697252228184,104.61827453201212,0.2322276830673217,564.378065518544,197.53886991026226,-456.13709313013845,0.019986003637313843,581.9360148000768,-23.165954500236104,-431.10623401263115,0.004322826862335205,1185.75,2100.71,4.44,269.92,1623.81,2094.51,7.78,90.57,1491.5,2095.83,7.16,90.57,1760.9,1062.28,7.08,179.85,1760.86,1077.55,7.16,179.85,1760.82,1092.8,7.15,179.85,1237.4,2096.75,9.34,89.86,1132.53,2096.5,9.2,89.86,923.38,2094.44,7.87,90.06,833.55,2094.54,8.92,90.06,424.55,2093.97,6.54,89.67,320.16,2094.33,8.17,93.13,243.87,2100.98,8.1,96.98,209.47,2106.43,8.14,102.2,1d,10,1568373023
38109,38109,1208.2333022002058,1568374277.976793,1208.2333022002058,-80.54102108145263,,612.0596362795259,73.26870800006219,680.4155573302062,0.9986205101013184,602.8151948937647,105.359043913946,719.9883294510234,0.9977356195449828,604.5250810726077,42.581467411017954,718.9980222245645,0.9889812469482422,557.8693762462426,153.7097527949393,721.8528359822467,0.5964398384094238,542.6299395457023,1.9107214560381216,709.6487973429472,0.5431961417198181,481.2744377614984,203.8763798862364,585.8669092548816,0.9852294325828552,484.9015703681064,-49.38219007907285,568.0922730972973,0.9483031034469604,569.383249516787,274.46424448581377,367.1259843927768,0.07138293981552124,557.4176898291151,-142.23343278505166,346.6167445979563,0.5916491150856018,793.9114709491142,293.0419634361966,210.8188656635756,0.8415011167526245,761.4268281156908,-181.76812499851883,190.3344152790987,0.8618434071540833,405.32916886046723,152.219886431802,157.37881069887544,0.4513068795204162,424.2954675116353,-34.78211613135608,174.7747752003481,0.5149704217910767,721.5706194165526,156.26203612642917,7.764206369077157,0.5201926231384277,822.8283447359264,-25.955648908875165,97.05256027847506,0.3874855041503906,552.9446302505398,187.2403460972476,-466.0289511669902,0.01845172047615052,577.0942540678869,-11.851718824156935,-436.54721413503626,0.005426347255706787,1185.600140099074,2100.71,4.44,269.9000186798765,1624.0730873816253,2094.5066697799793,7.803311540144048,90.57,1491.7431060615024,2095.8266697799795,7.196632420226361,90.57,1760.9,1062.0435543785388,7.106641760164628,179.85,1760.86,1077.3135543785388,7.136688459855952,179.85,1760.82,1092.5635543785388,7.143339559958844,179.85,1237.7097104619138,2096.75,9.316688459855953,89.86,1132.8397104619135,2096.5,9.213320880082312,89.86,923.6430873816257,2094.44,7.899971980185205,90.06,833.8463895818313,2094.54,8.929990660061735,90.06,424.76646430133763,2093.97,6.526679119917687,89.67,320.43307804168745,2094.313348899897,8.176660440041157,93.17662308028808,244.13641760164623,2100.9466977997945,8.096669779979424,96.98,209.73641760164628,2106.37338625965,8.149990660061736,102.2,1d,10,1568373023
38110,38110,1208.2666904697162,1568374278.0104587,1208.2666904697162,-78.58629386305597,,615.4377628321922,68.97822742229933,681.6977830346455,0.9985595941543579,604.2761172472482,100.54881704164076,720.7924516621301,0.9922900199890136,604.9068352593223,38.31056482121157,718.8761326674322,0.9867981672286988,560.8432491086071,152.0049495499585,723.4268958889203,0.6649465560913086,546.288033676098,0.3978096718791235,710.9634833449416,0.4271915853023529,473.18266933104064,203.4572267854433,581.1807306504747,0.9816775321960448,484.6021173270366,-51.267927605631115,568.4808149782442,0.9355689287185668,572.5941837691099,273.5963460984973,367.9019742961706,0.07373589277267456,549.4328860853764,-143.22910231791755,344.23276975961966,0.6140583753585815,796.8090261294551,292.82945771762934,211.91293549282943,0.8142440319061279,760.1062746688675,-183.2809697805837,188.13219861517425,0.841943621635437,398.7233501910579,154.34546370017534,154.8932716828459,0.40927508473396296,423.9710715287017,-34.38583951065537,180.5699036514648,0.4892474114894867,721.7743032348119,157.1058021364064,13.989222133628516,0.4228488504886627,825.844935739583,-28.13315299467957,101.31176926083357,0.3459120392799377,547.3644298043084,200.17850514876991,-476.73727532544524,0.013679534196853638,707.7801000786673,-27.368826249658113,-293.59557881667746,0.004898905754089356,1185.449892886277,2100.71,4.44,269.8799857181703,1624.336854710758,2094.503330953029,7.826683328801348,90.57,1491.9868404289284,2095.8233309530287,7.23335951668783,90.57,1760.9,1061.8064976650148,7.133352375772969,179.85,1760.86,1077.0764976650148,7.1133166711986515,179.85,1760.82,1092.3264976650148,7.136661906056758,179.85,1238.0202213683608,2096.75,9.293316671198651,89.86,1133.1502213683607,2096.5,9.226676187886484,89.86,923.906854710758,2094.44,7.930021422744589,90.06,834.1435451804742,2094.54,8.940007140914863,90.06,424.9834880531554,2093.97,6.513323812113517,89.67,320.70686185167295,2094.2966547651417,8.183338093943242,93.22336665760271,244.4035237577297,2100.913309530284,8.093330953028378,96.98,210.00352375772968,2106.3166262014824,8.160007140914864,102.2,1d,10,1568373023
38111,38111,1208.3,1568374278.044045,1208.3,-79.2151850651227,,615.973220844174,66.10732555036908,680.8816443691387,0.9984652400016784,602.2608665180496,99.61628728686749,720.8191762796738,0.9928510189056396,600.7580576109424,35.76067805586965,718.6795650215265,0.9844611883163452,564.4427071617135,150.73536606847074,725.1337530407968,0.737504780292511,546.5569199446427,-0.9392448894230512,712.7909480710832,0.3786662518978119,484.25082020290535,202.21786223450275,588.8519392218004,0.9810190200805664,483.9782283551455,-51.9806513199466,569.6759616335386,0.9332669973373412,575.9050374299081,273.8369826388452,370.9804214849338,0.09800449013710022,547.8310646576069,-144.10458374031703,343.5669239869316,0.5522558093070984,793.7545932053923,293.652162593544,211.1955055636787,0.8405775427818298,762.3137345956346,-182.01737315104901,191.2900368356864,0.8958345055580139,406.3625760412658,149.50160836960785,165.50367943402546,0.4812861084938049,418.9524987005436,-38.38029230396747,180.0843357088213,0.4914941489696503,692.7091995131982,162.48637251912368,-0.24268194194877424,0.6437641382217407,822.1688333104934,-31.170866478145104,99.1659186565514,0.4336917400360107,537.6009224559317,211.80533208320716,-486.06180243539495,0.007570713758468628,758.0754805169203,-35.982564801357825,-237.84224349537013,0.0033330023288726807,1185.3,2100.71,4.44,269.86,1624.6,2094.5,7.85,90.57,1492.23,2095.82,7.27,90.57,1760.9,1061.57,7.16,179.85,1760.86,1076.84,7.09,179.85,1760.82,1092.09,7.13,179.85,1238.33,2096.75,9.27,89.86,1133.46,2096.5,9.24,89.86,924.17,2094.44,7.96,90.06,834.44,2094.54,8.95,90.06,425.2,2093.97,6.5,89.67,320.98,2094.28,8.19,93.27,244.67,2100.88,8.09,96.98,210.27,2106.26,8.17,102.2,1d,10,1568373023
