,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,W_in-P_out.11_x,W_in-P_out.11_y,W_in-P_out.11_speed,W_in-P_out.11_angle,W_in-P_out.12_x,W_in-P_out.12_y,W_in-P_out.12_speed,W_in-P_out.12_angle,scenario,participant_id,source_file
45050,45050,1415.0,1568017648.957717,1415.0,-98.32833245567689,535.2563264499961,111.49598678269236,680.6914394608858,0.9927462339401244,510.7005249496327,146.71607837548538,704.9278766299182,0.997314989566803,522.7653787914849,85.40622629211164,723.4035484281418,0.9977171421051024,495.2120889456942,182.65932419794623,712.872672550455,0.6953294277191162,467.87439002631487,29.2438026984655,728.7664960869682,0.9919561743736268,384.841356376072,227.05257091356285,557.1325790906482,0.9284898042678832,421.85425911304833,-53.54541172906543,565.1170604982823,0.9673539400100708,506.5699149411453,279.296775742889,354.3751986757071,0.7525563240051271,540.2642472650758,-140.37271630455862,322.8892780657618,0.9138175249099731,671.7377743369109,335.0387199817273,169.36717481783086,0.7434484362602234,736.8011597010345,-155.42271508293445,168.3945261486933,0.75327467918396,395.97513386709716,173.3979828018379,172.92517479871742,0.05092063546180725,389.4142844576737,-8.271286473267565,124.48547570615749,0.3934265971183777,671.9844438533488,263.42541385048855,93.59073944751124,0.6130521893501282,731.6527826741661,7.464169389069369,17.38554054823038,0.4112626612186432,463.4657878912036,175.45458591196441,-372.39200108460295,0.03196772933006286,449.72107064677033,-63.433521681734845,-582.1656866778576,0.005608022212982178,1164.49,2100.01,3.82,270.71,1877.65,2092.87,7.18,90.16,1583.96,2094.9,7.51,90.57,1760.84,787.05,7.42,180.37,1569.51,2095.05,7.43,90.57,1760.94,802.67,7.51,180.37,1036.76,2096.16,7.58,89.4,907.71,2094.46,9.07,90.06,673.9,2094.71,9.44,90.06,612.74,2094.78,8.63,90.06,512.78,2094.47,8.29,89.67,,,,,,,,,1d,1,1568016169
45051,45051,1415.0323015130975,1568017648.991406,1415.0323015130975,-78.05087187023906,531.1404497764759,111.96429765988405,680.0598472725197,0.9931204319000244,510.4130093237194,146.22348643816485,705.0096256800284,0.9973799586296082,526.7335720014944,81.85959746396256,725.8989577101801,0.9977271556854248,499.69464587538727,181.5253422251622,714.4177583725702,0.7062959671020508,459.7538618276888,28.50221753239941,726.808987302582,0.9914889335632324,398.7683929482317,228.5270323461557,560.903186392033,0.9250017404556274,423.89916294076517,-58.10109259629543,560.5171059792674,0.9713934659957886,506.06610337826316,281.4015729570329,355.66709938248573,0.7075655460357666,540.1726424885636,-142.89746387636376,318.27689591581037,0.8860072493553162,662.5315570906564,336.35925591303817,162.194459247613,0.8245220780372621,737.3718311727188,-155.27849853282817,167.13669973698802,0.6965657472610474,399.0131793877613,172.3855922281123,170.94951092220458,0.10512307286262512,400.2191859966237,-9.505515237014034,106.05253795896006,0.2034549117088318,677.715317344327,263.2980255218923,89.44020265898897,0.44200745224952703,773.4906513374606,7.461328988044405,45.966254932918616,0.11251726746559143,471.7581826227343,195.6806905920112,-372.1577926623502,0.030159950256347656,551.0905984131427,-49.81375495914257,-465.36610832158783,0.006007790565490723,1164.3672542502293,2100.01323015131,3.8264603026195134,270.68092863821215,1877.8793407429928,2092.8667698486897,7.18,90.16,1584.2022613482318,2094.9,7.493849243451217,90.57,1760.84,786.8045085004585,7.4490713617878095,180.37,1569.7554914995417,2095.0467698486905,7.4687618157170785,90.57,1760.94,802.4309688030778,7.47123818428292,180.37,1037.0119518021609,2096.1632301513096,7.663983934053672,89.40323015130976,908.0071739204976,2094.46,9.105531664407325,90.06,674.2036342231171,2094.71,9.423849243451217,90.06,613.0177930126391,2094.78,8.626769848690243,90.06,513.0513327100196,2094.473230151309,8.312611059168296,89.67,,,,,,,,,1d,1,1568016169
45052,45052,1415.064561649754,1568017649.0250518,1415.064561649754,-97.55598297349259,523.0868671799478,106.23303674072329,687.3208901547539,0.9959313869476318,515.8636515488814,141.671019411212,710.8194224411236,0.997910737991333,517.7630539421343,79.86725624271376,725.6247178287573,0.9976298809051514,491.1481492288687,178.6570884133487,713.9322991322789,0.7234524488449097,455.00854098354006,28.519474834040274,726.9334535277449,0.9658435583114624,395.21262620220136,227.7872559710996,553.988318231249,0.26547425985336304,417.2222719003052,-49.67338801780252,565.0686520200005,0.7175343036651611,505.9116313216288,281.2240582853855,356.0134895297722,0.7339699268341064,552.0684912422519,-140.93174310880062,324.3363830402922,0.9063858389854432,665.714729718135,336.86893674834187,162.48259558344068,0.9173473119735718,737.0562167453967,-155.16902857791698,167.77619271723077,0.7550148963928223,401.4529135487172,173.64710181595822,152.6591727889405,0.01056671142578125,397.78563157885407,-13.590069568630025,123.04714992061596,0.5224658846855164,684.8229202550456,252.88066912532008,69.39668360620593,0.1427658200263977,728.6698422969121,-0.7232169848979968,20.22457419351241,0.26856398582458496,498.3777786813456,186.74831992908352,-392.5186863311429,0.01195332407951355,682.8372945925353,-35.956251349657286,-323.23130526820387,0.004752993583679199,1164.2446657309342,2100.016456164976,3.8329123299508248,270.65189451522133,1878.1083877132544,2092.8635438350248,7.18,90.16,1584.4442123731562,2094.9,7.477719175122937,90.57,1760.84,786.5593314618686,7.478105484778714,180.37,1570.000668538131,2095.0435438350246,7.507473979704952,90.57,1760.94,802.1922437918195,7.432526020295048,180.37,1037.2635808680825,2096.1664561649754,7.747860289360732,89.40645616497541,908.3039671777381,2094.46,9.141017814729539,90.06,674.5068795076887,2094.71,9.407719175122935,90.06,613.2952301878855,2094.78,8.623543835024588,90.06,513.3223178579346,2094.4764561649754,8.335193154827888,89.67,,,,,,,,,1d,1,1568016169
45053,45053,1415.1,1568017649.0620124,1415.1,-82.1095809408654,519.3763177081998,107.90612413970058,685.8552468500484,0.9964473247528076,515.7082588498425,138.26136027262106,716.3897766936211,0.9982557892799376,516.4878059533197,77.05135726139433,727.0270363433266,0.9971767663955688,509.50514670008414,174.20361830259955,724.5649984908423,0.6992210149765015,460.76692924252023,27.93575976334873,731.2179996838478,0.9519435167312622,397.4323794815084,230.84209197978402,575.9259762860137,0.9343793392181396,415.59969127349154,-47.307980120658605,566.8625542550795,0.7017717957496643,509.66835273973254,278.636149692122,342.9130173515675,0.9457231760025024,534.407712507264,-143.1249123903314,312.5931309051934,0.876158595085144,679.872912803331,333.4693556550638,162.10568947027897,0.8560408353805542,737.5643163922168,-154.05050847124832,166.75996438651399,0.7059743404388428,392.395680052668,177.01733366247225,154.1212886752874,0.2447569966316223,393.39005307941636,-17.972077076927192,124.673658397547,0.5319319367408752,744.294595076739,232.2154223061977,70.13115537669901,0.2509973645210266,722.4166677283592,-7.283318659300094,19.677583756289152,0.2517409920692444,526.0690692641854,204.04723653405551,-433.33342492610365,0.00632023811340332,618.6935406227124,-13.264068080646286,-396.2178080322748,0.006650418043136597,1164.11,2100.02,3.84,270.62,1878.36,2092.86,7.18,90.16,1584.71,2094.9,7.46,90.57,1760.84,786.29,7.51,180.37,1570.27,2095.04,7.55,90.57,1760.94,801.93,7.39,180.37,1037.54,2096.17,7.84,89.41,908.63,2094.46,9.18,90.06,674.84,2094.71,9.39,90.06,613.6,2094.78,8.62,90.06,513.62,2094.48,8.36,89.67,,,,,,,,,1d,1,1568016169
45054,45054,1415.131046717339,1568017649.0922215,1415.131046717339,-91.7103064594311,519.9223560191476,107.35671049834606,684.1464992830361,0.9959988594055176,509.9452996802372,138.27719702387964,715.6846317994446,0.9980943202972412,512.5403113411755,75.33482488453832,726.4381186890632,0.9968620538711548,503.26837452002684,172.09766772611192,724.0331971951832,0.6325358152389526,453.7550465007115,24.556050388247666,730.1153988053842,0.9306088089942932,397.88358189474883,226.91446933274796,560.3162494001249,0.24961069226264954,415.58247388265823,-47.181926923617524,566.6124882826801,0.6831588745117188,504.2897639787912,276.58067698523627,336.515274980877,0.8329430222511292,540.0519623864193,-142.36676585384987,316.1750214378785,0.884108304977417,664.2338629555585,337.53815769756727,148.72255904053506,0.8862056732177734,740.5539826571013,-152.25064211114932,167.96696687212176,0.6449265480041504,414.31159173928637,176.75387458350522,143.17304398415288,0.04982241988182068,393.7909589976729,-16.91748934215867,122.09648742568834,0.5060896277427673,720.7851537264844,222.40617281781502,18.207846543403548,0.09333953261375427,718.9623615094175,-11.302044448635002,21.66985669117008,0.3365382552146912,504.7444477351373,242.0054950554245,-492.0927098758921,0.003959566354751587,599.9253695710609,2.304714252694061,-417.6182267867836,0.006283462047576904,1163.9889178023786,2100.02,3.84,270.595162626129,1878.583536364839,2092.86,7.158267297862892,90.16,1584.9397457083066,2094.896895328266,7.46,90.57,1760.8368953282659,786.0633589634273,7.4727439391935295,180.37,1570.4997457083066,2095.0368953282664,7.5127439391935305,90.57,1760.9368953282662,801.6971496199595,7.42725606080647,180.37,1037.7883737387097,2096.173104671733,7.883465404274216,89.41931401520162,908.9125251277825,2094.46,9.16758131306451,90.06,675.1349438147179,2094.71,9.411732702137108,90.06,613.8701064408468,2094.78,8.632418686935491,90.06,513.8776877539115,2094.48,8.33516262612902,89.67,,,,,,,,,1d,1,1568016169
45055,45055,1415.1660290997124,1568017649.12626,1415.1660290997124,-95.64206227505794,526.1667612156273,104.87840661670674,688.367617884812,0.9964290857315063,505.3754495479461,136.15653534052458,715.6652465829933,0.9986329078674316,515.7024987361642,71.58342231415438,727.8722219824333,0.9964979887008668,491.93624406445485,170.1512407304586,719.6134591075528,0.7331926822662354,458.09528632877664,22.16917363387104,728.0499371000458,0.9168347120285034,398.0288258236593,226.89828004180578,554.8058508862478,0.2399936318397522,415.9378835057,-46.21703248567714,565.8548601675764,0.6865156292915344,499.92993421944084,279.75262268162237,343.281862976676,0.9561395645141602,552.672437339892,-139.19106424945915,322.6254789706797,0.8864927291870117,658.1322676105364,335.89364273234435,156.33655509225315,0.9323307275772096,744.6420406305705,-149.5973789209519,168.556939122065,0.677510678768158,418.0806215905158,175.5086011995023,135.0352886059637,0.04633745551109314,405.9630485856732,-16.005792775960277,129.23213959429458,0.5254530310630798,713.9761903480432,208.1952425995824,1.4159714959839107,0.3524693250656128,798.5288139661252,-12.560652069505633,72.39104863212296,0.3124581277370453,508.3999855635318,248.03323051400096,-504.25400272768434,0.0047928988933563215,549.3464800841191,8.861672312010537,-473.7735281368029,0.005135864019393921,1163.8524865111215,2100.02,3.84,270.5671767202301,1878.8354095179293,2092.86,7.133779630201298,90.16,1585.198615337872,2094.893397090029,7.46,90.57,1760.8333970900287,785.8079875720991,7.43076508034508,180.37,1570.758615337872,2095.0333970900288,7.47076508034508,90.57,1760.9333970900286,801.4347817521567,7.469234919654919,180.37,1038.0682327976997,2096.1766029099717,7.932440739597406,89.42980872991373,909.2308648073832,2094.46,9.153588360115027,90.06,675.4672764472681,2094.71,9.436220369798702,90.06,614.1744531674982,2094.78,8.646411639884972,90.06,514.1680415276132,2094.48,8.307176720230052,89.67,,,,,,,,,1d,1,1568016169
45056,45056,1415.2,1568017649.1593144,1415.2,-78.73021195682027,526.0023830895586,103.24075660444616,689.7116254694777,0.9968994855880736,514.9320438371075,132.65391681863483,721.1232364005682,0.9989801645278932,503.1590473947869,68.82477084235185,724.0306363570877,0.9965323209762572,490.1057161175512,166.8730759324778,718.6272478950618,0.7486917972564697,442.32000668609277,15.196333429101982,723.3021656713329,0.9354368448257446,398.2489428423371,226.41474882315205,552.4372682129676,0.24185144901275635,416.5883848933685,-46.32814946167731,564.4980434311087,0.6711468696594238,515.4721514352332,282.21577571104547,345.10793333250365,0.9668684005737304,542.0260935290136,-142.16969124151743,317.0798916495757,0.891448438167572,660.9169163216683,341.4203457489357,150.3436097728631,0.8712854385375977,734.3372073212099,-149.99878187568046,160.2659068373201,0.6513041257858276,421.0479717941597,176.56417069267516,120.47156234222228,0.16069504618644714,432.1533467024981,-16.754384732851697,115.08399064987637,0.1679633855819702,678.5596769546028,211.1845047008324,-50.180229240176,0.38899290561676025,824.4316533499502,-18.371822447605762,82.45233934041994,0.12057808041572572,501.0300020159732,246.5856728131868,-509.9361808525693,0.004911065101623535,639.3306802728722,-5.7006033267227485,-377.88190293417915,0.005558013916015625,1163.72,2100.02,3.84,270.54,1879.08,2092.86,7.11,90.16,1585.45,2094.89,7.46,90.57,1760.83,785.56,7.39,180.37,1571.01,2095.03,7.43,90.57,1760.93,801.18,7.51,180.37,1038.34,2096.18,7.98,89.44,909.54,2094.46,9.14,90.06,675.79,2094.71,9.46,90.06,614.47,2094.78,8.66,90.06,514.45,2094.48,8.28,89.67,,,,,,,,,1d,1,1568016169
45057,45057,1415.2329749062162,1568017649.1930346,1415.2329749062162,-87.53625286760811,525.763277282681,101.66049874916183,690.2199542942999,0.9964241981506348,518.8833138997973,131.3275286724346,723.0736060610221,0.9988033771514891,511.575793825971,67.28495221220531,726.3155707488402,0.9961782693862916,499.9830180503144,162.8843299424964,722.1228241610231,0.7249854207038879,456.9192265756519,12.623998399113136,727.6367336350024,0.9347482919692992,393.78369646311637,229.9330355688075,573.3317465315695,0.9290014505386353,416.4164500690328,-46.97314217468757,564.8309406372485,0.6419718265533447,513.4609485513579,282.3706565121128,341.13974584719614,0.959121823310852,548.9536188453579,-141.8129615149557,320.61921110000213,0.9037877321243286,662.1061416370537,343.0792862859044,147.89409348878863,0.8720646500587463,741.4201035347714,-147.3786940271296,163.89674821604925,0.6725251078605652,401.2880698752563,169.57477128562462,122.98389964972894,0.5866180062294006,448.994847856552,-19.47868065441039,118.84444712950248,0.08792358636856079,713.4856509082211,203.8441207673288,-5.9221718837519575,0.2442593574523925,815.1564609341775,-24.38354463566093,87.23967420222158,0.18570014834403992,494.50486558205625,232.18233634971668,-511.62448472905874,0.02164897322654724,1413.4755016581494,31.562578795793403,471.52442282302565,0.006802976131439209,1163.5946953563796,2100.02,3.8334050187568063,270.51362007502723,1879.310824343512,2092.86,7.103405018756807,90.16,1585.7006092872416,2094.886702509378,7.479784943729582,90.57,1760.83,785.3126882033803,7.409784943729582,180.37,1571.2573117966197,2095.03,7.449784943729582,90.57,1760.93,800.9359856940017,7.477025093784028,180.37,1038.6070967403493,2096.18,7.9997849437295825,89.45318996248638,909.8400716465652,2094.46,9.116917565648821,90.06,676.1032616090517,2094.71,9.469892471864794,90.06,614.7535841934574,2094.78,8.650107528135209,90.06,514.7236917215927,2094.4832974906217,8.306379924972775,89.67,,,,,,,,,1d,1,1568016169
45058,45058,1415.2657695885625,1568017649.2265706,1415.2657695885625,-91.1832536234703,522.5185014274144,92.7304321164834,688.0188171926449,0.9985636472702026,515.0078600148389,127.548155092616,722.9472350753746,0.9987409114837646,508.7517511082875,64.41904605479084,724.6551931917065,0.9962500929832458,501.4255794630847,159.71121812561464,723.186330807389,0.7552961707115173,444.1318840233091,14.034005874457856,720.3858380600569,0.8644805550575256,388.2531191928152,230.80256166925145,573.2152022750194,0.9361716508865356,416.15321313066056,-47.25872803429697,565.3648807313757,0.617906391620636,514.2206305724798,282.82990499454695,338.9669278838973,0.9529653787612916,556.3404957464302,-142.5045773272343,327.6988565862856,0.8950773477554321,662.1362247975942,343.83994834029716,147.8507684425959,0.8593865633010864,736.2823922830482,-147.31011797866552,161.2759265111099,0.6719543933868408,397.19162881403605,167.51952822139808,122.90158950389768,0.5634078979492188,427.34229765975516,-16.441100431829902,128.0884616694955,0.2941315174102783,730.2387765840787,202.31249805786823,14.123761760875935,0.22331565618515006,696.6742964009624,-31.04084555651948,34.89456818098253,0.4833585917949677,487.6472273317473,231.0987473768109,-522.9112597749444,0.01582762598991394,1050.9913713733713,1.0890043318493028,126.44752000053991,0.009693175554275513,1163.4700755634622,2100.02,3.8268460822874903,270.48738432915,1879.5403871199373,2092.86,7.096846082287491,90.16,1585.9498488730753,2094.883423041144,7.4994617531375285,90.57,1760.83,785.0667280857808,7.429461753137529,180.37,1571.503271914219,2095.03,7.469461753137529,90.57,1760.93,800.6933050446373,7.4442304114374505,180.37,1038.8727336673567,2096.18,8.019461753137529,89.46630783542503,910.1385032559192,2094.46,9.093961288006216,90.06,676.4148110913442,2094.71,9.479730876568762,90.06,615.0356184616379,2094.78,8.640269123431237,90.06,514.9958875850691,2094.486576958856,8.33261567085004,89.67,,,,,,,,,1d,1,1568016169
45059,45059,1415.3,1568017649.2615747,1415.3,-90.45345084236892,525.0239345442343,88.62885812297598,690.8161473255386,0.9988166689872742,521.6205916623912,124.39405563312826,725.9527964129643,0.9986077547073364,515.3303587993291,61.80355805940258,727.7561345150145,0.9956501722335817,509.55460209037733,158.71927569701685,729.1458264374602,0.6612993478775024,435.66639713171577,10.400477923466092,715.8718747963718,0.8382874727249146,390.3696061037936,229.58007450911998,574.1180698682987,0.9388588666915894,417.38132583217833,-64.46863232929279,572.6472984758125,0.9084300994873048,514.1663136331705,282.83689051034315,339.03057175432457,0.9529950022697448,537.4695465571325,-145.3841001680013,317.117681086474,0.9052190780639648,666.9347496522756,341.9944436899424,147.9971044052608,0.8539092540740967,746.4705551498308,-144.80156538771837,171.12527842841715,0.6676204204559326,404.2686038679184,166.7187052297582,129.7863744412379,0.626049280166626,431.1781844028855,-12.78546609623204,143.68585413768466,0.25044137239456177,716.3384986748387,201.96529554581898,2.9694846073161334,0.4618354737758637,669.0927377671844,-31.62729650219821,34.533871023511665,0.6616342067718506,470.7851700303064,232.18046393396025,-539.4604973545571,0.009454548358917236,732.7563624207253,-23.98040807818493,-177.69811636919013,0.005820900201797485,1163.34,2100.02,3.82,270.46,1879.78,2092.86,7.09,90.16,1586.21,2094.88,7.52,90.57,1760.83,784.81,7.45,180.37,1571.76,2095.03,7.49,90.57,1760.93,800.44,7.41,180.37,1039.15,2096.18,8.04,89.48,910.45,2094.46,9.07,90.06,676.74,2094.71,9.49,90.06,615.33,2094.78,8.63,90.06,515.28,2094.49,8.36,89.67,,,,,,,,,1d,1,1568016169
