,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,W_in-P_out.11_x,W_in-P_out.11_y,W_in-P_out.11_speed,W_in-P_out.11_angle,W_in-P_out.12_x,W_in-P_out.12_y,W_in-P_out.12_speed,W_in-P_out.12_angle,W_in-P_out.13_x,W_in-P_out.13_y,W_in-P_out.13_speed,W_in-P_out.13_angle,W_in-P_out.14_x,W_in-P_out.14_y,W_in-P_out.14_speed,W_in-P_out.14_angle,scenario,participant_id,source_file
35030,35030,1107.0,1569242103.1008933,1107.0,-70.98581638379567,617.5333187642836,14.216410207358766,591.7287215646151,0.9950253367424012,639.5812591936159,38.14832262652837,639.3594297415658,0.8270628452301025,642.5778304851443,-17.43660002147965,636.2730178130463,0.8222495913505554,632.9206749721243,76.01797833728831,668.7598646754784,0.5024881362915039,620.1308279194061,-63.72014972393093,652.0614517461232,0.4680202901363373,462.0701469390026,131.16780754393932,551.259786323521,0.832123875617981,485.2506243077504,-110.97097776624624,534.6392049028468,0.9707702398300172,556.0778595417587,215.82318436390239,339.91254916364744,0.8409932851791382,553.1399115878065,-209.6659794609544,318.4463889562831,0.961027979850769,676.8998861666588,264.51221314974555,160.51725578104714,0.9250763654708862,731.6339492514702,-211.48309170978808,135.95123158864956,0.6342494487762451,399.38248439623186,106.6759382978672,172.13611489390405,0.5857200026512146,373.32526575494217,-94.79916947921473,119.00611406045236,0.13116195797920227,674.5483659150264,166.8254383983579,22.22817644514177,0.04140442609786986,822.8473689232253,-88.39182351104714,53.31743701209177,0.5906686782836914,513.3591725359579,189.01384614164246,-451.0832202314009,0.008979320526123047,675.8762379038999,-57.52570880381946,-304.74742511028865,0.016794711351394653,1206.44,2100.45,5.15,270.52,1724.98,2093.49,7.69,90.57,1709.57,2093.65,7.7,90.57,1247.76,2096.77,7.19,89.86,1761.3,909.82,9.08,179.85,1760.71,1136.78,7.62,179.85,1760.67,1152.5,7.56,179.85,988.55,2095.66,7.21,89.4,850.2,2094.52,7.61,90.06,717.5,2094.67,7.03,90.06,702.82,2094.68,7.08,90.06,645.79,2094.75,8.28,90.06,558.96,2094.74,7.02,89.67,375.43,2093.69,7.83,89.67,202.0,2108.05,7.23,102.2,,,,,,,,,,,,,,,,,1d,28,1569240955
35031,35031,1107.03316304286,1569242103.1342616,1107.03316304286,-76.35236800132397,608.2386809517902,12.398152391204547,588.6269253024334,0.994476854801178,650.8607951560025,40.13827876361979,646.3039958738268,0.9667001962661744,636.1155390580963,-19.319003609925247,635.2247260359784,0.9681500196456908,631.677956056355,73.04674795760847,669.3683910244999,0.4774159789085388,629.2833793836605,-62.6480626302702,659.6528947011761,0.7737330198287964,461.71433388511383,129.26946463943904,551.0074218056791,0.8401423692703247,480.28345903844,-112.37144185992443,534.2190408927586,0.9683723449707032,558.8837222439201,213.0595642784332,341.1463102075138,0.7901360392570496,557.5021049374018,-211.87372526837868,318.92319347414576,0.9617425799369812,677.0334041044972,259.8232275110917,154.6170934128594,0.8578560948371887,714.5857643659799,-214.90976599465336,125.72694347357086,0.6730043888092041,397.1241199147548,103.4038985747773,169.97110381921055,0.5239740610122681,378.30354828528425,-94.2010077979422,123.27164773039496,0.14120057225227356,673.0145016713184,154.1338017387036,13.815497022086275,0.16755536198616028,824.3569127218245,-89.02761787400291,46.67002332347275,0.5205650925636292,502.0333009361652,189.68003942140427,-460.83714468735633,0.00698930025100708,536.4438523513006,-81.37611125587736,-442.7810864462489,0.01849129796028137,1206.270868481414,2100.453316304286,5.146683695713998,270.523316304286,1725.238671734308,2093.486683695714,7.7198467385740255,90.57,1709.8253554300222,2093.6466836957143,7.7,90.57,1247.9987739085925,2096.77,7.199948912858008,89.86,1761.3,909.5182163099738,9.070051087141993,179.85,1760.71,1136.5279608742635,7.613367391427993,179.85,1760.67,1152.2479608742638,7.569948912858008,179.85,988.788773908592,2095.6633163042857,7.213316304286002,89.4,850.4520391257363,2094.52,7.596734782855989,90.06,717.7321413000203,2094.67,7.013418478569987,90.06,703.0488249957342,2094.68,7.036888044281964,90.06,646.0652532557382,2094.7466836957137,8.283316304286004,90.06,559.1987739085922,2094.74,7.106223911436068,89.67,375.6886717343082,2093.69,7.83,89.67,202.2354576043062,2107.996939131424,7.269795651432033,102.2,,,,,,,,,,,,,,,,,1d,28,1569240955
35032,35032,1107.066307603359,1569242103.167611,1107.066307603359,-71.21094248208789,615.3573881838779,10.465833147396026,595.3588363181127,0.9959738850593568,640.2438955773771,40.301728845533795,645.1984740640024,0.9780514240264891,630.9488630170754,-21.225071733905864,632.8688471412144,0.9697381258010864,630.6573624085167,69.72191009593696,670.789993328392,0.5498638749122621,637.2329095698888,-67.723705986209,662.2274723556973,0.8005297780036926,465.21800163943794,131.075025807212,554.0496071785417,0.8165698051452637,506.11387207866784,-112.18790317096615,541.2452801544994,0.9632576704025269,555.4821599886263,208.7045675556577,337.8538954049039,0.977731466293335,545.6550663315834,-210.4002491947676,314.7271113066122,0.9605495929718018,672.8948541311133,258.30332098538696,152.38156198939316,0.8348841667175293,720.2858396839991,-214.48305544022057,129.89107322614962,0.6780238747596741,392.9264136717357,107.49151556658865,166.5412922049619,0.6088974475860596,373.90531699107214,-94.90244392089672,119.63179324959385,0.18491089344024653,682.2772489526294,174.1126057056816,26.89566544134644,0.03301331400871277,824.1917898222305,-90.91556066380028,46.03283130760093,0.5730540752410889,497.9357130129116,192.32774057206424,-467.61888277810476,0.012464076280593872,628.4461043595987,-84.6659969228797,-354.99706150444985,0.0163973867893219,1206.1018312228684,2100.456630760336,5.143369239664088,270.52663076033593,1725.4971993062009,2093.483369239664,7.749676843023213,90.57,1710.0805685458652,2093.643369239664,7.7,90.57,1248.2374147441858,2096.77,7.209892281007737,89.86,1761.3,909.2166008094321,9.060107718992263,179.85,1760.71,1136.2760622144706,7.6067384793281745,179.85,1760.67,1151.9960622144706,7.579892281007737,179.85,989.0274147441856,2095.666630760336,7.216630760335913,89.4,850.7039377855293,2094.52,7.583476958656352,90.06,717.9641532235139,2094.67,6.996846198320438,90.06,703.277522463178,2094.68,6.993800115633137,90.06,646.3403531078808,2094.743369239664,8.286630760335912,90.06,559.4374147441857,2094.74,7.192399768733723,89.67,375.9471993062012,2093.69,7.83,89.67,202.47078398384983,2107.9439078346254,7.309569124030949,102.2,,,,,,,,,,,,,,,,,1d,28,1569240955
35033,35033,1107.1,1569242103.2015116,1107.1,-84.94610745606695,604.4624678089444,6.5412256155322135,590.6413760307591,0.9963043928146362,643.0194662812733,36.18799004532986,645.826686345518,0.9856194257736206,638.6595686228577,-24.23690092493495,635.786661592427,0.9649543762207032,626.5827010285662,65.25785123479379,667.1669890751152,0.6667137145996094,632.2849122000301,-67.99662164312389,659.6777917503724,0.7415240406990051,464.4755135770942,128.37566394548028,551.1426996732018,0.8880098462104797,488.41300090242765,-112.84486719489107,530.9530409717823,0.963057279586792,559.1985389581341,205.43285722283846,339.22928234803584,0.8544372320175171,548.9936022149534,-210.0795592262717,316.3003641926396,0.9588974118232728,676.3574530392261,258.3393447076402,153.71928331494723,0.7837384939193726,724.6661695671547,-215.20202787741925,131.47531842346942,0.7461658716201782,386.2904518531423,117.70969515480213,153.73140731765014,0.651311457157135,390.16227555042974,-84.55089423137832,110.94979355318392,0.4251161515712738,700.0788428302736,164.46391682036852,-0.7624121308057283,0.2330865561962128,790.2622896494853,-87.29299235751385,50.550726619248245,0.6029236316680908,490.99576355919004,187.5093861559781,-479.24320914968513,0.010158061981201172,693.6514463150653,-84.71495453927119,-293.1132435492844,0.03401264548301697,1205.93,2100.46,5.14,270.53,1725.76,2093.48,7.78,90.57,1710.34,2093.64,7.7,90.57,1248.48,2096.77,7.22,89.86,1761.3,908.91,9.05,179.85,1760.71,1136.02,7.6,179.85,1760.67,1151.74,7.59,179.85,989.27,2095.67,7.22,89.4,850.96,2094.52,7.57,90.06,718.2,2094.67,6.98,90.06,703.51,2094.68,6.95,90.06,646.62,2094.74,8.29,90.06,559.68,2094.74,7.28,89.67,376.21,2093.69,7.83,89.67,202.71,2107.89,7.35,102.2,,,,,,,,,,,,,,,,,1d,28,1569240955
35034,35034,1107.1329097785083,1569242103.2342513,1107.1329097785083,-73.73584851745477,614.270950432873,6.743064764344583,597.0471049691369,0.9964171648025512,642.4550424220728,35.088311639105804,647.5421088128032,0.9842773675918579,636.8581463078424,-24.941460212470666,636.8118580854373,0.9601979255676272,638.1789937541832,56.76174983735935,670.8844617019148,0.5211965441703796,637.3322395808702,-70.1321479343505,662.4123310534189,0.752867579460144,461.03914741394624,136.61843229997248,554.0646696117452,0.9832843542099,496.60905123129083,-114.05669270418178,531.2598604454117,0.9637346267700196,570.7816626511271,209.99566189506814,349.83402011140174,0.5019316673278809,549.5082492238433,-209.88343368026173,315.8238987824172,0.9653494954109192,674.8359978232993,256.49736595913294,158.39706261573386,0.5941892266273499,721.1144156494403,-217.12410384523469,132.65340094650765,0.8410378098487854,393.7302617750975,127.82023009702057,143.28523803202992,0.4872293174266815,390.5630405984574,-82.91642939115064,107.59044703474831,0.3599640727043152,618.0443725722207,166.94481346667789,-109.97116915860741,0.41808244585990906,787.7743307678363,-85.70820257650537,58.09495329653365,0.5606809854507446,476.97069667532537,184.78673235605103,-491.2314924604895,0.012768357992172241,732.6193338762398,-82.91760025767205,-253.92886387881612,0.02262967824935913,1205.7621601296064,2100.46,5.136709022149144,270.53329097785087,1726.013405294516,2093.48,7.747090221491433,90.57,1710.5966962723667,2093.6367090221493,7.716454889254282,90.57,1248.7169504052615,2096.77,7.2002541328948615,89.86,1761.3,908.6138119934227,9.05,179.85,1760.71,1135.769885683335,7.5901270664474305,179.85,1760.67,1151.4931766611858,7.573545110745718,179.85,989.5069504052617,2095.6732909778507,7.236454889254283,89.4,851.2101143166652,2094.52,7.596327822806852,90.06,718.43036844956,2094.67,6.98,90.06,703.7436594274109,2094.68,6.9796188006577085,90.06,646.896442139472,2094.74,8.313036844955995,90.06,559.9301143166651,2094.743290977851,7.365565424122272,89.67,376.4666962723668,2093.69,7.823418044298288,89.67,202.9436594274108,2107.840635332237,7.3137992436405765,102.2,,,,,,,,,,,,,,,,,1d,28,1569240955
35035,35035,1107.1663760419112,1569242103.2675445,1107.1663760419112,-85.14723278460423,608.1241669399087,4.848073191620756,593.7995181300274,0.997010350227356,642.0945830913881,32.52096294002879,648.0655020822737,0.988093912601471,638.5504840962059,-26.429201562684426,637.0896746918581,0.9544377326965332,635.3260026339043,53.51297435690986,669.8702794117993,0.5315901041030884,640.2234493599208,-73.30657637074121,663.6083610524373,0.6642909049987793,466.19475722810165,124.10237304183936,551.2090685910749,0.913638949394226,489.5757072686328,-115.6363981599545,525.2622829221366,0.9678889513015748,562.355102901518,207.2696626920345,338.0633476334444,0.826142430305481,556.8684700711365,-207.5103924440432,320.2211488349273,0.9600913524627686,673.8300280932767,256.91284712061616,149.8692531251022,0.8211231231689453,713.3538426677486,-218.71868697978815,129.87766512379514,0.8157719373703003,378.5915635956726,129.930981483056,140.62580505480372,0.726220965385437,407.35855824751474,-87.75024361563686,93.367427318364,0.04008641839027405,588.9414087056479,164.65802926092977,-142.90390727880228,0.4474854171276093,818.3148240204057,-88.22117877758282,55.32216352065237,0.4343714118003845,468.3974207082682,185.5342559649817,-501.0684182735095,0.012596726417541504,1129.735314609723,-66.68545133207394,134.4636632375914,0.00955882668495178,1205.5914821862527,2100.46,5.133362395808876,270.53663760419107,1726.2710955227165,2093.48,7.713623958088765,90.57,1710.8577331269073,2093.633362395809,7.733188020955618,90.57,1248.957907501761,2096.77,7.18017437485326,89.86,1761.3,908.3126156227987,9.05,179.85,1760.71,1135.5155420814747,7.5800871874266305,179.85,1760.67,1151.2421796856654,7.556811979044382,179.85,989.7479075017607,2095.676637604191,7.253188020955617,89.4,851.4644579185256,2094.52,7.623100833528988,90.06,718.6646322933786,2094.67,6.98,90.06,703.9812698975697,2094.68,7.009738437720113,90.06,647.1775587520543,2094.74,8.336463229337863,90.06,560.1844579185254,2094.746637604191,7.452577708969213,89.67,376.72773312690765,2093.69,7.816724791617752,89.67,203.18126989756973,2107.7904359371328,7.276986353897642,102.2,,,,,,,,,,,,,,,,,1d,28,1569240955
35036,35036,1107.2,1569242103.3009946,1107.2,,612.0018893014827,-0.0964228629515418,592.452600638453,0.9962462186813354,641.5268127422073,25.93932316621759,648.464655117441,0.9897297024726868,642.0361830726414,-29.439767316435784,638.2424032542905,0.9551630020141602,634.1579749585977,49.01191066043065,670.1815654231814,0.5369033217430115,639.4165070743278,-80.23652433780731,662.9986534646694,0.7344586849212646,467.67476421798403,120.59301438014872,548.2097285457271,0.9148980975151062,495.87675162605336,-124.24097554004216,517.2972036118879,0.5272172689437866,568.9168240968147,205.35640187561862,340.40096933191415,0.8016084432601929,557.8107813887996,-213.15181419243703,309.10795536027143,0.9674426317214966,674.3515894380969,258.62962545589585,147.4175011203043,0.8238445520401001,711.6944699513208,-218.45226696568886,131.00830481128241,0.8651083111763,373.0596090379429,128.62217884133293,134.07069957486576,0.7253484725952148,390.25025344675913,-79.56831843376523,125.59825450948057,0.6828060150146484,568.2528952777158,162.80590332803544,-166.84655846436326,0.2009047567844391,674.1226834491322,-92.37610785779349,-0.3616537155359083,0.7767090201377869,451.91020663030463,184.71012273590514,-519.4675862727248,0.011291921138763428,1304.1236045168062,-58.269621237097255,304.1755389918846,0.0100955069065094,1205.42,2100.46,5.13,270.54,1726.53,2093.48,7.68,90.57,1711.12,2093.63,7.75,90.57,1249.2,2096.77,7.16,89.86,1761.3,908.01,9.05,179.85,1760.71,1135.26,7.57,179.85,1760.67,1150.99,7.54,179.85,989.99,2095.68,7.27,89.4,851.72,2094.52,7.65,90.06,718.9,2094.67,6.98,90.06,704.22,2094.68,7.04,90.06,647.46,2094.74,8.36,90.06,560.44,2094.75,7.54,89.67,376.99,2093.69,7.81,89.67,203.42,2107.74,7.24,102.2,,,,,,,,,,,,,,,,,1d,28,1569240955
35037,35037,1107.233538985265,1569242103.3345375,1107.233538985265,-71.91378913702324,615.3269520390163,-3.005090469074709,594.3595741512547,0.996904194355011,639.8900894281759,23.923117020570412,647.952166841181,0.6394755840301514,649.5984516891747,-30.896544534122363,639.8642961106432,0.9554010629653932,633.0715894747074,46.96857510012283,672.0520008868641,0.5028779506683351,640.5734025250142,-85.40570218317748,662.3588956344623,0.6618863940238953,474.0719215631104,112.90787513859414,540.057758845503,0.2397145926952362,504.4380766070858,-127.76634559314623,516.4160422529117,0.5739756226539612,560.0853204231086,210.6465758983448,340.78921948464904,0.9901320934295654,578.0514415518752,-210.87530263451458,318.1245709414983,0.9636917114257812,674.3895283999681,258.91094321722096,147.17880908399377,0.8212573528289795,709.2834943789662,-220.85159276046755,126.75916240362858,0.8923115730285645,370.39093611998084,131.64203263889164,137.6416396877841,0.6952652931213379,394.9962301210725,-77.56248152786284,139.150712633446,0.6025256514549255,641.1925425801003,153.27216577812618,-78.65692624509944,0.2750617563724518,653.2685532266368,-111.69387119577722,2.008677912669981,0.8542948961257935,424.9823797675102,195.16877815379752,-536.089081993284,0.006641656160354614,663.6747087081047,-105.12718468937956,-321.20708497955525,0.013121455907821657,1205.2455972766215,2100.4633538985267,5.12664610147349,270.5534155941061,1726.788250186541,2093.4766461014733,7.696769492632549,90.57,1711.3782501865412,2093.6266461014734,7.726522710314431,90.57,1249.4414806939087,2096.7733538985267,7.1700616955795295,89.86,1761.3033538985267,907.7014413355612,9.0835389852651,179.85,1760.71,1135.0051037119854,7.563292202946982,179.85,1760.67,1150.7351037119854,7.54,179.85,990.2348345924353,2095.68,7.2532305073674515,89.4,851.9782501865413,2094.52,7.65,90.06,719.1347728968558,2094.6666461014734,6.99341559410604,90.06,704.4547728968557,2094.68,7.04,90.06,647.7383735777004,2094.74,8.35664610147349,90.06,560.6982501865413,2094.75,7.6137857675832175,89.67335389852651,377.2549579835943,2093.6933538985268,7.820061695579529,89.67,203.6581267953822,2107.6896915221023,7.24335389852651,102.2,,,,,,,,,,,,,,,,,1d,28,1569240955
35038,35038,1107.2665911761972,1569242103.3675935,1107.2665911761972,-106.30934317671458,613.1092264220093,-5.650895142806213,590.1421487439617,0.9963573813438416,646.1133170501076,10.137251794326268,644.3698254156433,0.9490548372268676,640.1288373202941,-37.6763239125041,634.3709736271358,0.9519800543785096,619.535689737726,50.86900145966703,669.7176262073876,0.4330755770206451,646.9995042393354,-88.39653029954746,662.4901158430847,0.507111132144928,468.6942637022045,110.2661168127307,546.2181159249534,0.5838621258735657,504.1781566436058,-117.38013285797987,515.2161403280254,0.5648620128631592,564.5804911839542,203.13243975875446,338.6499167153957,0.7634738683700562,559.6044157254445,-214.09777364043163,308.3323831426715,0.9642454385757446,674.459170378648,256.6675415514,146.65584890105578,0.8354147672653198,698.1556929490367,-220.98512332870098,134.76157155338896,0.5551412105560303,369.5236224360437,132.62753596997558,139.26930453414525,0.7112646698951721,391.22776319029055,-77.63950200577807,153.18728949302925,0.4510729908943176,669.9334292841297,148.52780256789768,-44.16934979336544,0.25721222162246704,636.2104150339352,-118.23345150373272,19.199473571581766,0.8841719627380371,389.7326696620684,192.9754308462513,-570.126373873894,0.005166888236999512,451.06962885620806,-121.44114900159713,-523.5473662900843,0.010054320096969604,1205.0737258837746,2100.46665911762,5.123340882380283,270.56663647047884,1727.0427520567182,2093.47334088238,7.713295588098584,90.57,1711.6327520567181,2093.62334088238,7.703386176661983,90.57,1249.6794564686195,2096.77665911762,7.179977352859152,89.86,1761.3066591176196,907.3973611789861,9.116591176197169,179.85,1760.71,1134.7539070609014,7.556681764760567,179.85,1760.67,1150.4839070609014,7.54,179.85,990.4761155862393,2095.68,7.236704411901416,89.4,852.2327520567183,2094.52,7.65,90.06,719.3661382333803,2094.66334088238,7.006636470478868,90.06,704.6861382333801,2094.68,7.04,90.06,648.0127067624363,2094.74,8.353340882380282,90.06,560.9527520567183,2094.75,7.68650058763377,89.67665911761972,377.51607029195765,2093.69665911762,7.82997735285915,89.67,203.8927973509999,2107.640113235704,7.246659117619719,102.2,,,,,,,,,,,,,,,,,1d,28,1569240955
35039,35039,1107.3,1569242103.4010062,1107.3,-74.72177273971188,610.9407253449202,-5.0650429541460005,585.0855947003342,0.996570646762848,647.1213624251216,9.333730700922564,642.913595419127,0.9668754935264589,643.171714743532,-36.968968160871604,634.6061755085567,0.9521784782409668,619.9416659954621,46.62701169333515,665.1012476086903,0.6216093897819519,643.4660228940132,-88.00935902613294,659.8189068323883,0.481673389673233,463.29105705756837,110.11229546522608,547.697807761215,0.5766287446022034,500.68380451729865,-113.8137714371772,513.5896059754299,0.5256863832473755,559.643883162249,204.42481769779232,335.5007310081872,0.7891862988471985,556.6393164189127,-217.3691794160962,310.9836485924858,0.9698807001113892,674.8622085593139,258.46329429271464,145.94765289518938,0.8232786655426025,708.4259667877395,-224.5520341738052,133.29613805981796,0.766714334487915,372.7689408393834,132.44984202525842,144.2508001557844,0.7132898569107056,392.9228969386724,-76.49915391730264,161.37576611536488,0.3695982098579407,681.2243551442366,149.86046232599008,-29.98729462333472,0.2454906702041626,638.5761554381735,-106.842072545186,24.135753247786113,0.8172841668128967,355.13879955091005,163.58209442021763,-607.5138519631176,0.002554655075073242,478.7845345278344,-111.5105800026886,-488.96886421685485,0.006403595209121704,1204.9,2100.47,5.12,270.58,1727.3,2093.47,7.73,90.57,1711.89,2093.62,7.68,90.57,1249.92,2096.78,7.19,89.86,1761.31,907.09,9.15,179.85,1760.71,1134.5,7.55,179.85,1760.67,1150.23,7.54,179.85,990.72,2095.68,7.22,89.4,852.49,2094.52,7.65,90.06,719.6,2094.66,7.02,90.06,704.92,2094.68,7.04,90.06,648.29,2094.74,8.35,90.06,561.21,2094.75,7.76,89.68,377.78,2093.7,7.84,89.67,204.13,2107.59,7.25,102.2,,,,,,,,,,,,,,,,,1d,28,1569240955
