,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,W_in-P_out.11_x,W_in-P_out.11_y,W_in-P_out.11_speed,W_in-P_out.11_angle,W_in-P_out.12_x,W_in-P_out.12_y,W_in-P_out.12_speed,W_in-P_out.12_angle,W_in-P_out.13_x,W_in-P_out.13_y,W_in-P_out.13_speed,W_in-P_out.13_angle,W_in-P_out.14_x,W_in-P_out.14_y,W_in-P_out.14_speed,W_in-P_out.14_angle,W_in-P_out.15_x,W_in-P_out.15_y,W_in-P_out.15_speed,W_in-P_out.15_angle,scenario,participant_id,source_file
38618,38618,1227.0469515299287,1569227423.1163805,1227.0469515299287,,663.5575105840827,90.4354847298601,602.5418385832232,0.04997643828392029,684.8428635573254,115.44812627823565,633.3653673351139,0.8969058990478516,676.2475847608315,70.93965274796615,628.4511230377524,0.916172981262207,638.3307336389038,161.54123901420297,640.6510085717689,0.6522989273071289,616.822106581492,25.08393820766706,641.4367672736444,0.6299487352371216,508.2757962425708,214.89569239675973,511.786819214484,0.9610226154327391,484.5611684985195,-36.09146515341249,496.8904157198117,0.9874377250671388,567.3089191433709,282.56723476065946,306.444023665752,0.939586341381073,548.268821772334,-151.9034262294796,300.19863555676017,0.9370368123054504,720.1779689168695,323.33608799465486,146.38278136823598,0.7358466386795044,730.2030867280838,-172.274391501989,150.17833960981477,0.9337587356567384,340.3277668025524,161.7418602707807,99.5303149035818,0.12466773390769954,356.10765983856385,-14.636607055330005,83.18398968091458,0.2610265016555786,703.0577794534662,173.80270730934262,0.7817774321001139,0.12946146726608276,496.64519879600647,9.724059944852986,-115.0515042540267,0.5434830784797668,160.6848704202846,275.52844734223135,-792.5769876833123,0.015912890434265137,454.8224537450709,-67.04484604410132,-490.8501241289497,0.3632676601409912,1191.5340229623278,2100.23,4.525304847007123,268.8785982128504,1958.9662219334446,2092.645304847007,7.800609694014247,90.16,1695.2427461684802,2093.79,7.358353317078363,90.57,1584.1786607095014,2094.9053048470073,7.031829082042743,90.57,1569.0921364744656,2095.0553048470074,7.452866070950134,90.57,1761.35,890.4135956674347,6.3187181153205705,179.85,1761.02,1016.2325586785272,7.461829082042742,179.85,1760.98,1031.8878635255344,7.525304847007122,179.85,1014.9943928514017,2095.934695152993,8.424085458978631,89.4,927.1931734633732,2094.5475612239434,9.083475764964383,88.64353317078361,824.0672589223517,2094.55,8.966951529928762,90.06,789.7772589223517,2094.59,9.05347576496438,90.06,690.9643928514017,2094.7,8.38347576496438,90.06,509.7233558624942,2094.454695152993,7.027561223943009,89.67,487.680307392423,2094.33,8.171829082042741,89.67,277.7925637693589,2096.8283533170784,9.060609694014248,96.98,,,,,1d,27,1569226154
38619,38619,1227.1,1569227423.1541436,1227.1,,651.377868268087,93.60447346960457,600.6737519502218,0.023350149393081658,664.9090997087101,120.17918167745951,621.0049611460993,0.9793434143066406,655.6556208967922,75.146408684057,616.5361091702221,0.9551651477813721,637.2611026936282,163.03342976525943,640.6497075172623,0.5535469651222229,615.3905108087997,28.688557357477197,638.3268470770598,0.5464942455291748,506.74099207547584,208.0462896967687,501.4896635715006,0.6873311400413513,490.7125185923024,-30.17677952796389,495.9021504212261,0.9872972369194032,567.248881674107,281.1769707379472,306.3764143792305,0.9509273767471312,547.5692771049918,-150.6531741590036,303.0834548370189,0.9404757022857666,730.2380345321646,319.16286796852273,151.0538937962731,0.8714505434036255,727.6763956335312,-174.57958900056084,146.55036758858418,0.9232698678970336,350.9969651283809,160.8295591842903,120.20827403877188,0.4499522745609283,350.8014573678989,-17.386862506212818,82.90283906609977,0.26597991585731506,586.5922437565621,198.63112068010705,-39.202206061154605,0.015915751457214355,452.17089989145006,6.360886687096628,-143.6051007509277,0.6193974018096924,163.3533373660031,273.6857304279054,-788.2796537093035,0.015166074037551882,446.06325934428855,-67.98025303518719,-494.9416455707155,0.658873438835144,1191.29,2100.23,4.52,268.99,1959.38,2092.64,7.79,90.16,1695.63,2093.79,7.3,90.57,1584.55,2094.9,7.0,90.57,1569.49,2095.05,7.49,90.57,1761.35,890.09,6.08,179.85,1761.02,1015.84,7.43,179.85,1760.98,1031.49,7.52,179.85,1015.44,2095.94,8.44,89.4,927.66,2094.59,9.11,88.06,824.55,2094.55,9.02,90.06,790.26,2094.59,9.08,90.06,691.41,2094.7,8.41,90.06,510.1,2094.46,7.07,89.67,488.11,2094.33,8.14,89.67,278.27,2096.77,9.05,96.98,,,,,1d,27,1569226154
38620,38620,1227.12574980618,1569227423.1874022,1227.12574980618,-72.4751921904183,631.3889380679378,107.33561387949759,587.3608590221993,0.9919768571853638,662.6687169423101,124.32243581728176,622.8245155838598,0.9877331852912904,653.0018183367431,78.73998917462612,618.5636723235389,0.9778367280960084,637.8470023972851,162.59135928834723,638.5556368754476,0.4194762408733368,614.0582946044318,30.18628386433681,644.1746361003593,0.6938415169715881,506.91655097481726,203.691627989771,502.19287541346773,0.5954827070236206,486.44411006183935,-21.908293999873816,496.8500743965025,0.8188625574111938,564.9490927953052,278.30388434283407,311.48429393233573,0.8920806050300598,545.7436397181209,-139.19546543396677,301.65456213489546,0.09898149967193604,729.8903965863768,320.5803581793546,155.33576701527227,0.8388956785202026,709.9191713015233,-169.73735851534568,149.2303822089673,0.7766498327255249,353.13532694594386,156.33614382536132,126.7298965541323,0.35489821434021,334.99370998849105,-16.684968619467245,76.69474911585363,0.08274531364440918,566.0576189710632,206.3771632758723,-48.69322766116667,0.018283307552337646,410.4975007373545,0.1799217422351127,-166.38837196786983,0.7795484066009521,179.16644397498868,302.8925109254398,-772.9678280745003,0.012213528156280521,425.1664608060417,-68.09741782597564,-515.4131646273622,0.7130969762802124,1191.1741258721895,2100.23,4.517425019381993,269.03892463174213,1959.5834234688227,2092.64,7.810599844944052,90.16,1695.8179735851145,2093.787425019382,7.302574980618006,90.57,1584.7302486432604,2094.897425019382,6.9897000775279725,90.57,1569.6805485657324,2095.047425019382,7.477125096909968,90.57,1761.35,889.9277762210656,6.1469494960681725,179.85,1761.02,1015.6468764536496,7.450599844944053,179.85,1760.98,1031.2968764536497,7.501975135673952,179.85,1015.6562983719127,2095.942574980618,8.434850038763987,89.4,927.8891732750026,2094.626049728652,9.115149961236012,87.54242889578066,824.7791732750026,2094.55,9.007125096909967,90.06,790.4943232362385,2094.59,9.077425019381991,90.06,691.6237233912946,2094.697425019382,8.39455011629196,90.06,510.27767366264254,2094.46,7.0468251744379415,89.67,488.32114841067664,2094.332574980618,8.142574980618008,89.67,278.4991732750026,2096.7416752132017,9.03455011629196,96.98,,,,,1d,27,1569226154
38621,38621,1227.1484365193635,1569227423.2167046,1227.1484365193635,-99.26792738758644,626.5444415498703,112.98967229645521,581.1611828141425,0.9934164881706238,649.7178734025523,132.64124817831623,615.8400499406089,0.9909074902534484,653.9307818857346,84.48356300804959,616.8379748731131,0.9815981388092041,635.908592330693,167.63469780511258,636.6523339059897,0.358814150094986,619.8677298083355,36.361661223591945,639.5250431226813,0.5663580298423767,502.59691782397834,208.08836040682968,483.19059194359744,0.7347630262374878,493.3206484262037,-21.80746447289014,490.404192858805,0.853249192237854,568.1465165615991,277.59079382861563,303.68876773901883,0.962745189666748,554.0433884617763,-154.45780692955645,285.34293514864316,0.5902772545814514,728.8796473979323,320.79581368434793,158.2049523461964,0.858575701713562,733.7278498711635,-169.5633612395132,146.07169795842682,0.8780853748321533,346.2417001075325,161.5712905289995,122.53595139633377,0.4001145958900452,338.71406315393375,-7.086013987592387,61.179869979574825,0.0015301406383514404,552.4469526394189,202.27009685434376,-54.82774106340767,0.11507666110992433,403.9341423033327,-4.429146890387521,-169.4447504639225,0.7878082990646362,173.09917578550233,283.1533236874298,-783.0877908608879,0.015932261943817142,426.85510244426735,-67.25105001010462,-522.9820672216803,0.6500691175460815,1191.0720356628642,2100.23,4.515156348063648,269.0820293867907,1959.762648502972,2092.64,7.828749215490808,90.16,1695.9835865913535,2093.7851563480635,7.304843651936351,90.57,1584.8890556355445,2094.895156348064,6.980625392254597,90.57,1569.84843024329,2095.0451563480638,7.465781740318245,90.57,1761.35,889.78484992801,6.205934950345128,179.85,1761.02,1015.4767261047735,7.468749215490807,179.85,1760.98,1031.1267261047738,7.486094436445542,179.85,1015.8468667626537,2095.9448436519365,8.430312696127299,89.4,928.0910850223352,2094.657811127109,9.119687303872704,87.08642596079343,824.9810850223352,2094.55,8.995781740318245,90.06,790.7007723262079,2094.59,9.075156348063649,90.06,691.8120231107173,2094.6951563480634,8.380938088381894,90.06,510.4342119836082,2094.46,7.0264071325728406,89.67,488.5071794587808,2094.334843651937,8.144843651936352,89.67,278.70108502233523,2096.7167198286998,9.020938088381897,96.98,,,,,1d,27,1569226154
38622,38622,1227.174146638609,1569227423.249912,1227.174146638609,,620.0938381520888,113.85776384667764,568.8811487133735,0.9810168147087096,638.8951895316987,138.30386831590076,608.4274632666983,0.9918861389160156,641.5761323514042,87.38552082959727,610.4606133793859,0.9815493822097778,631.5774286487383,175.12813324025637,631.2280028702951,0.39652857184410095,613.4751148755549,38.04802374856797,633.1768001396372,0.5609365701675415,501.67388970467016,219.02748327274617,482.53450837604674,0.5247623324394226,495.35145629374875,-12.392905882414185,495.68303647630967,0.5106809735298157,563.2094074249718,274.66788196428547,303.2183471054018,0.9334444403648376,547.2061871248001,-142.5283940937846,289.321034891363,0.10800650715827942,725.2045530406995,321.81222947718436,156.29566964796248,0.7472307682037354,733.7894610107405,-173.0838030638703,146.67561090917718,0.9483891129493712,349.81509982255875,154.16049170029282,119.04157873272922,0.3639547824859619,342.2099519550145,-4.892411810845552,49.42585086394453,0.0024389028549194336,602.6557964511654,201.94546348152542,-30.253673648478127,0.18700161576271052,393.22458879268754,-25.810328248703406,-165.18838197973992,0.8002345561981201,191.03248454490605,273.1266966460343,-764.9432211742147,0.014790683984756468,433.63836849471534,-63.30623833054903,-525.575476949683,0.5429758429527283,1190.9563401262594,2100.23,4.512585336139097,269.1308786133572,1959.9657584450115,2092.64,7.849317310887227,90.16,1696.171270461846,2093.7825853361387,7.307414663860903,90.57,1585.0690264702635,2094.892585336139,6.970341344556386,90.57,1570.0386851257072,2095.042585336139,7.452926680695483,90.57,1761.35,889.6228761767633,6.272781260383492,179.85,1761.02,1015.2839002104324,7.489317310887227,179.85,1760.98,1030.9339002104325,7.4680973529736745,179.85,1016.062831764316,2095.9474146638613,8.425170672278194,89.4,928.3199050836203,2094.6938052940527,9.124829327721807,86.5696525639584,825.2099050836205,2094.55,8.982926680695483,90.06,790.9347344113423,2094.59,9.072585336139095,90.06,692.025417100455,2094.692585336139,8.365512016834579,90.06,510.6116118064024,2094.46,7.003268025251869,89.67,488.7180024365942,2094.337414663861,8.147414663860904,89.67,278.92990508362044,2096.6884386975303,9.00551201683458,96.98,,,,,1d,27,1569226154
38623,38623,1227.2,1569227423.2833045,1227.2,,620.5980511236443,106.88354464115751,564.7479084090393,0.9887389540672302,639.6092160209913,140.01988564977665,604.7938677216259,0.9926139116287231,641.7127006362745,87.57420202076695,607.7066657727851,0.9743738770484924,630.2438798124276,182.26678538987167,630.1911537943648,0.4608867168426514,608.2362759985483,38.11164635220057,631.9405545447822,0.6614571213722229,498.2850952233371,233.05894162313353,491.779502787071,0.27347639203071594,492.56082717922317,-6.167709647030506,497.39782454482946,0.6425248384475708,536.3013959085105,269.89477709852383,274.8436366455187,0.7867546081542969,543.3794373493574,-138.59058281340285,293.1758729657612,0.10824698209762572,722.4371699285471,322.9239081361935,161.3680353401054,0.7371348142623901,732.2216168408695,-172.68944181465042,145.81795067338862,0.9445352554321288,350.2284146088812,140.00420793894236,74.33603084406883,0.00621163845062256,332.2382930358574,-10.159261747667298,60.48103951574156,0.07143691182136536,664.9281382894272,185.35119251355982,-11.838526140334494,0.1110280454158783,370.3193531404936,-21.878332976906144,-187.8395609379274,0.6705179810523987,191.24627067789692,266.60990887163825,-766.4066992245282,0.012251436710357666,395.0827701251419,-66.46560889477547,-547.9474240144198,0.7077534198760986,1190.84,2100.23,4.51,269.18,1960.17,2092.64,7.87,90.16,1696.36,2093.78,7.31,90.57,1585.25,2094.89,6.96,90.57,1570.23,2095.04,7.44,90.57,1761.35,889.46,6.34,179.85,1761.02,1015.09,7.51,179.85,1760.98,1030.74,7.45,179.85,1016.28,2095.95,8.42,89.4,928.55,2094.73,9.13,86.05,825.44,2094.55,8.97,90.06,791.17,2094.59,9.07,90.06,692.24,2094.69,8.35,90.06,510.79,2094.46,6.98,89.67,488.93,2094.34,8.15,89.67,279.16,2096.66,8.99,96.98,,,,,1d,27,1569226154
38624,38624,1227.233349552889,1569227423.3166394,1227.233349552889,,623.1864443396213,113.12055193266066,559.3182050690558,0.9917888641357422,631.8348656078767,144.57718107849456,599.590041767887,0.9916863441467284,639.7605955295526,88.71098428465523,602.6913288595438,0.9750483632087708,620.0134829775615,183.9985326222439,623.8151282118781,0.4346463084220886,608.8135491718589,41.22393449973042,628.2653248925095,0.6906642913818359,503.3794608823903,237.51459035460053,479.84575479544736,0.2553504109382629,487.4840330999701,-13.795230190655113,495.43884336157515,0.8915916681289673,547.294184920173,267.60924871729117,281.6719789864464,0.7996433973312378,541.4135692621392,-135.661353074608,295.8268420894205,0.13054713606834412,728.5610392423353,318.2893404351248,157.0659048042025,0.8370376825332642,731.9330664402513,-169.5653372048202,146.58658117232295,0.9452190399169922,400.76904093465913,149.43528798638462,78.78576981280021,0.021920710802078247,322.29355385361333,-11.667286953064561,70.17738999233035,0.05707976222038269,673.774128725229,193.8118883277552,-29.62835644175303,0.0718807578086853,357.5035254531324,-18.7366156354672,-198.71743579738376,0.5627087354660034,163.61741422758058,298.8421600947755,-792.3118687449406,0.008429378271102905,359.5345043193032,-64.01294054219144,-571.8294937931119,0.4493497312068939,1190.6899270119998,2100.226665044711,4.506665044711105,269.20334468702225,,,,,1696.606786691378,2093.776665044711,7.333344687022266,90.57,1585.4834468702227,2094.886665044711,6.993349552888953,90.57,1570.4767866913785,2095.0366650447118,7.416655312977734,90.57,1761.35,889.2398929509329,6.426708837511275,179.85,1761.0233349552886,1014.8398783533328,7.496660178844419,179.85,1760.983334955289,1030.4932133086218,7.45,179.85,1016.5601362442673,2095.953334955289,8.41333008942221,89.4,928.8434760654228,2094.7833592846223,9.123330089422211,85.30963992586527,825.7401459760007,2094.55,8.983339821155582,90.06,791.4701459760007,2094.59,9.06333008942221,90.06,692.5201362442673,2094.69,8.35666991057779,90.06,511.0234468702227,2094.4633349552887,6.986669910577791,89.67,489.20346633368933,2094.34,8.176679642311163,89.67,279.45681102071165,2096.6233154918227,9.006674776444475,96.98,,,,,1d,27,1569226154
38625,38625,1227.2666766846273,1569227423.349952,1227.2666766846273,-77.33536301085546,626.6538946666757,113.45257059986807,563.2270753866402,0.9895408749580384,634.8415001044617,146.0113120856839,600.7815409909292,0.9897269606590272,638.9413400761835,90.4210187243214,604.2240856096591,0.9692071676254272,622.6654597249773,184.2631285582014,623.4081113373886,0.4261090755462647,611.32269463428,43.48638005442832,630.1065445977246,0.5707736611366272,502.8015709160266,239.04996791090187,489.827908808984,0.2767899036407471,491.064284436643,-1.4666825818908793,498.4257043347271,0.7692510485649109,541.9588299800038,269.13157450478826,274.293614915226,0.8500407934188843,547.6067347769826,-142.61949737121728,290.31337262623816,0.948790431022644,724.2538323359001,323.4134800483969,158.5082420721319,0.7608432769775391,732.5378449901996,-167.51230717237723,145.40236895644918,0.9599154591560364,380.080897417249,139.5221321756168,44.74529980866736,0.016889214515686042,312.3794150913265,-16.419578785064832,60.16147532410987,0.3990286588668823,676.3006108295183,183.41471272158574,-36.23619109786257,0.12125355005264282,348.7684582416356,-16.17410330291607,-202.38256512125446,0.5019577741622925,150.97299310094118,284.38100856704415,-800.5871643846087,0.008992761373519897,346.4884975573676,-62.4905920276624,-584.4584505133022,0.3885108828544617,1190.539954919177,2100.2233323315368,4.5033323315372655,269.22667367923907,,,,,1696.8534074662423,2093.773332331537,7.3566736792391385,90.57,1585.7167367923914,2094.883332331537,7.026676684627343,90.57,1570.7234074662424,2095.0333323315367,7.3933263207608615,90.57,1761.35,889.0199338814597,6.513359380031091,179.85,1761.0266676684628,1014.589924865295,7.483329326149062,179.85,1760.9866676684628,1030.2465925337576,7.45,179.85,1016.8400841508696,2095.9566676684626,8.406664663074531,89.4,929.1367548247206,2094.836682695404,9.116664663074529,84.56977760127299,826.0400901616463,2094.55,8.996670673850938,90.06,791.7700901616461,2094.59,9.056664663074534,90.06,692.8000841508698,2094.69,8.363335336925466,90.06,511.25673679239134,2094.4666676684633,6.993335336925468,89.67,489.47674881394414,2094.34,8.203341347701874,89.67,279.7534224931834,2096.58665564691,9.023338342313671,96.98,,,,,1d,27,1569226154
38626,38626,1227.3,1569227423.3832607,1227.3,-72.12763042396506,618.810527641538,123.60673826470119,562.3964857064078,0.9895083904266356,632.1290286677962,147.73483543632628,598.3203155936246,0.9893398284912108,642.9115672756446,92.28622891468511,604.6041038258007,0.9748542308807372,626.6623621904047,187.1960572841283,623.3754235518174,0.42940807342529297,602.6231980451764,42.94537218471817,627.2951443644097,0.6870011687278748,498.0554869295696,238.48587043156704,484.31397693317365,0.5999122262001038,487.71118952591104,-18.151689041096112,494.2354744023529,0.8203094601631165,553.406059689141,271.2685366556448,280.6864145933538,0.8069279789924622,542.7453765715696,-133.80561232067595,295.70957252439644,0.2146248519420624,719.3835334646208,324.4421794519982,160.43986557351587,0.6824472546577454,727.3317586547907,-159.26001917079378,159.13695408724638,0.8825350999832153,367.24230057063926,133.79241669698922,37.820965133197156,0.0036984086036682133,311.473909138937,-8.466087202649009,36.04727499753813,0.0024799108505249023,701.1865434981912,180.38981966416333,-8.582435720758497,0.07203543186187744,361.8917906858496,-21.545789880544266,-180.2684833557745,0.6856554746627808,140.3087691744385,276.51434617937025,-808.3854825106607,0.009177595376968384,320.5633290598023,-57.366997578356866,-583.568863122517,0.055316120386123664,1190.39,2100.22,4.5,269.25,,,,,1697.1,2093.77,7.38,90.57,1585.95,2094.88,7.06,90.57,1570.97,2095.03,7.37,90.57,1761.35,888.8,6.6,179.85,1761.03,1014.34,7.47,179.85,1760.99,1030.0,7.45,179.85,1017.12,2095.96,8.4,89.4,929.43,2094.89,9.11,83.83,826.34,2094.55,9.01,90.06,792.07,2094.59,9.05,90.06,693.08,2094.69,8.37,90.06,511.49,2094.47,7.0,89.67,489.75,2094.34,8.23,89.67,280.05,2096.55,9.04,96.98,,,,,1d,27,1569226154
38627,38627,1227.3334691515608,1569227423.4167693,1227.3334691515608,,613.06667718837,108.24878161506264,553.1121729910221,0.9834911823272704,647.0181949013837,138.83220375698073,599.7082848166508,0.991963267326355,633.9849339434146,88.30725273058258,597.0779468834273,0.9726535677909852,628.7935578796448,182.81001544470897,620.4683778814368,0.5831827521324158,611.5678910006166,42.846164632310256,627.1040002314088,0.7071588039398193,502.31341071049246,225.13494114098927,479.1486254452676,0.7729783058166504,487.3843924383918,-17.944723085712468,493.7293218165871,0.8715544342994691,574.7991043435466,288.33315658764127,295.1395794246298,0.8958353400230408,538.3356772888889,-130.15328868938542,296.1753366625425,0.16813182830810547,724.7104996701369,325.92926139099336,155.1750862129801,0.8978618383407593,725.3860641450534,-155.65198008383092,159.7335543475171,0.8606945276260376,367.0951041221656,149.2168231258968,110.79013729889084,0.2938838005065918,311.0417706598304,-5.272039958155247,24.95595864755396,0.0019361674785614007,589.8583444144076,190.13661629075355,0.8264745523148349,0.5439068675041199,361.5590711932109,-21.661245332763453,-184.32164755987117,0.7210314869880676,251.4402041624129,223.8117884651901,-660.4138270865566,0.021247565746307373,302.6006845965296,-53.485932934063904,-603.3674496937277,0.016581267118453983,1190.2393888179765,2100.22,4.5066938303121695,269.20983701812696,,,,,1697.34767172155,2093.766653084844,7.3866938303121685,90.57,1586.1842840609258,2094.88,7.036571593907406,90.57,1571.2143248063944,2095.03,7.356612339375662,90.57,1761.35,888.5690628542302,6.687019794058205,179.85,1761.03,1014.0889813632936,7.46330616968783,179.85,1760.99,1029.7489813632938,7.47008149093651,179.85,1017.4044877882673,2095.963346915156,8.426775321248678,89.4,929.7245285337357,2094.9234691515608,9.086571593907406,83.50534922985976,826.6412223640477,2094.55,8.986571593907406,90.06,792.3712223640478,2094.586653084844,9.02657159390741,90.06,693.3611408731111,2094.69,8.393428406092593,90.06,511.724284060926,2094.47,7.0066938303121695,89.67,490.0244470427989,2094.343346915156,8.206571593907407,89.67,280.3478754488916,2096.513183933283,9.023265424219575,96.98,,,,,1d,27,1569226154
