,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,scenario,participant_id,source_file
46464,46464,1474.5499293380285,1568816189.406936,1474.5499293380285,-92.3989838851788,573.9616277614965,91.17728051010404,615.9634617630119,0.9971410036087036,560.799945213871,118.03568405653523,656.6039329726559,0.9979588985443116,596.9876140209142,62.48752121532834,674.6486714409896,0.9767589569091796,527.5660377767665,152.41576149532668,662.7645382513404,0.7241230010986328,550.0089082554324,13.742409448832008,661.7477814564487,0.8917968273162842,489.733319859235,178.25542976915278,545.8617279967392,0.9152399301528932,495.7374377796579,-19.591998101986405,532.6484217917346,0.9470497369766236,597.3525243388798,280.1670212694347,408.289404831378,0.9309569597244264,598.1379752122435,-87.82318264771835,395.9360062604403,0.1498764157295227,737.1883060478173,325.1130004217754,237.78192757242002,0.848812460899353,811.6693417467161,-160.0352944342234,279.4689480810946,0.11743736267089845,384.21252156644914,158.74329609093382,155.44388785051987,0.6746399998664856,480.6049869270372,-7.219739926088704,195.26488091374847,0.1573772132396698,500.9632369664962,141.22956990110276,-97.75571537911516,0.2210122644901276,611.446998738817,-17.36148624613502,91.90698208931404,0.08468317985534668,482.31986310343325,171.29638714722284,-522.2839764038838,0.09335753321647644,576.2574078763313,-47.09897801844457,-282.52073695129195,0.0019275546073913574,1170.2853038464773,2100.950042397183,4.34,264.5853321112658,1817.2344559028202,2093.03,7.654978801408565,90.16,1802.75445590282,2093.07,7.705007066197145,90.16,1645.4893640422572,2094.285007066197,8.96,90.57,1760.3150070661968,706.5706359577431,9.059985867605713,180.37,1761.17,837.3405935605601,8.334922271831406,180.37,1761.28,854.1356006267572,8.46,180.32997173521144,1353.984470035214,2097.024992933803,7.359816278874232,89.86,1218.224272181694,2096.7,10.34001413239429,89.86,944.7994205718343,2095.2049929338027,8.285035330985725,89.4,399.71437110845415,2093.824992933803,8.944992933802855,89.67,1d,20,1568814665
46465,46465,1474.5749561824314,1568816189.440333,1474.5749561824314,-97.06281338406569,573.4237337451145,83.57839148459247,615.7723975122218,0.9959102869033812,574.1700222941282,111.58218905024134,661.991266342395,0.9980807304382324,593.0157114720183,58.19093986961728,673.4660476095228,0.9727957248687744,541.8647798313326,148.49835049277854,670.4782469443937,0.7900147438049316,544.5453523407624,8.105948603462776,660.8005160296577,0.8513157367706299,494.8380988844692,168.1673907205576,547.8659158270679,0.9574116468429564,485.47721658164085,-22.89444226681013,533.1463811743438,0.8527841567993164,604.8096773169294,277.1465185549769,394.1688271674698,0.9312570691108704,593.9415174631473,-91.05376336749448,395.810490697217,0.1178354024887085,735.4791537222445,324.3889440168003,246.5458689848941,0.3762682378292084,813.3622546171997,-158.7904201743942,289.2812835446903,0.10501238703727722,402.11944459619065,140.4831856095776,175.116113228635,0.8254714012145996,461.68426746345233,-10.0227988884146,204.92229761420464,0.3784085512161255,486.753339032826,150.22573344757419,-102.68827126950451,0.622879147529602,621.4593031745658,-6.471922056011206,99.75997494383505,0.10290509462356567,465.59695886430916,174.14609174536633,-542.297802877795,0.05630695819854736,563.8260640283117,-51.403992399199154,-293.1482659760445,0.0036320388317108154,1170.1776884155454,2100.9350262905414,4.34,264.46770594257333,1817.4271626047205,2093.03,7.662486854729366,90.16,1802.9471626047205,2093.07,7.702504381756878,90.16,1645.714605641881,2094.282504381757,8.96,90.57,1760.312504381757,706.345394358119,9.064991236486245,180.37,1761.17,837.1303680675778,8.362451800674341,180.37,1761.28,853.9228724493347,8.46,180.33998247297245,1354.1721713682339,2097.0274956182434,7.424886074321171,89.86,1218.4820486790416,2096.7,10.335008763513756,89.86,945.004640695936,2095.2074956182432,8.272521908784391,89.4,399.9371100236378,2093.827495618243,8.947495618243119,89.67,1d,20,1568814665
46466,46466,1474.6,1568816189.4737525,1474.6,-92.61982106761236,569.7635068277409,79.40018816864372,612.5478206067028,0.9949092864990234,575.8221853504704,108.67588734984152,660.6971802013809,0.9977568984031676,586.8895088921125,54.10100355112289,672.5161020429223,0.9676510095596312,544.3714464861514,142.60534081170994,670.8419944495515,0.8547565340995789,554.0259967403355,6.691373671063424,667.3865213084322,0.8064942359924316,495.07994489849517,162.91605962294847,548.2644221635252,0.9458228349685668,486.2489222837986,-24.505591637082624,538.7373283537252,0.8098471760749817,597.5655323457047,270.9484248910104,398.00465584318454,0.9544529914855956,577.8298887250799,-91.53928401227414,389.3765617753687,0.15584251284599304,745.3232983193898,322.70971183672884,258.85612129728116,0.44232431054115295,810.1256686731311,-159.25097262668342,289.4499065481207,0.14718860387802124,414.62618854770017,136.68021368524458,182.39439073162143,0.8112310767173767,463.7360190266128,-8.075933451774198,212.61982844690047,0.43829676508903503,500.76074217763085,151.4018091365235,-98.4588670453926,0.7601789236068726,614.9599820622204,-3.6804918009764105,69.91440020296727,0.6132413148880005,449.156318675588,175.70302770910175,-564.8757926015841,0.049635529518127434,601.389901492315,-53.628277540038454,-190.18111612972805,0.04886659979820252,1170.07,2100.92,4.34,264.35,1817.62,2093.03,7.67,90.16,1803.14,2093.07,7.7,90.16,1645.94,2094.28,8.96,90.57,1760.31,706.12,9.07,180.37,1761.17,836.92,8.39,180.37,1761.28,853.71,8.46,180.35,1354.36,2097.03,7.49,89.86,1218.74,2096.7,10.33,89.86,945.21,2095.21,8.26,89.4,400.16,2093.83,8.95,89.67,1d,20,1568814665
46467,46467,1474.6333264377818,1568816189.5071688,1474.6333264377818,-92.75641057793112,571.844519309311,75.42057090771333,612.9583753731248,0.9922953248023988,571.9581802142552,105.40524532476164,658.0453129340979,0.9968399405479432,584.8389412142552,50.57483957348578,671.4813289188352,0.9690459966659546,555.1624496675518,138.05396636623968,677.6551716168633,0.8737021088600159,548.3235889423252,1.1297789719165787,665.4693597709729,0.7119137048721313,480.0336171153666,160.00351114998043,545.3828464547427,0.9442588090896606,472.92842580686096,-26.95297990194928,535.4306411947607,0.8009658455848694,591.9855011270146,265.7352257057354,387.9283736231519,0.960651159286499,577.3380240096227,-91.38858709576598,389.8174715748619,0.12867271900177002,743.1462120936563,322.44830875965863,257.9704988873064,0.4232945442199707,799.4566684144447,-163.07284440528855,284.2105155449395,0.22244754433631891,411.6278705292434,133.76852746489124,179.3283683900044,0.7994266152381897,456.3484993448262,-8.688511688806479,209.46986924182187,0.4928849935531616,406.7628635234597,183.8709324170252,-138.27158930723286,0.009283185005187988,629.0183661792535,-2.3226626740223297,87.17880302609072,0.43728506565094,425.475579901395,175.70271766451316,-548.0556919865255,0.007880926132202148,581.8543759724383,-56.79265536454713,-237.5322935569586,0.002686142921447754,1169.9233636737602,2100.903336781109,4.346665287556362,264.3233388497746,1817.8732809271414,2093.03,7.676665287556363,90.16,1803.3932809271414,2093.07,7.6700062059963745,90.16,1646.2332726524799,2094.276667356222,8.920008274661832,90.57,1760.31,705.8167294161856,9.06333471244364,180.37,1761.166667356222,836.643390566411,8.370004137330916,180.37,1761.2766673562219,853.4300579226327,8.46,180.35666528755638,1354.619946214698,2097.03,7.576648738232698,89.86,1219.0865949529307,2096.7,10.343330575112724,89.86,945.486609433589,2095.2133326437784,8.276663218890901,89.4,400.4599379400363,2093.83,8.95333264377818,89.67,1d,20,1568814665
46468,46468,1474.6665313711926,1568816189.5404632,1474.6665313711926,-88.8052866757284,568.9653845247932,75.13695125305561,609.6504840481438,0.9917491674423218,563.6317690244914,102.69089633125307,655.0914555250567,0.9971106052398682,584.9935244829926,47.02049815992473,670.7994044104112,0.9750574827194214,540.0557426191299,136.71833996964858,673.1801485916263,0.867598295211792,547.5469921087101,-1.7576967107355144,664.7656062495822,0.6443079113960266,479.5410423981125,156.21393459640754,543.7073665478646,0.9329001903533936,478.50197654430366,-26.60899492005432,541.1968776418087,0.8036664724349976,594.2569608166124,263.0519990706878,386.9847772807216,0.960627019405365,591.6703769344598,-104.38468613394795,394.0906999157472,0.7734957337379456,743.7282258873323,323.37110751510164,255.48545210911809,0.3301299810409546,796.9627258753524,-165.26017970134657,284.8532913620653,0.23373985290527344,397.6221003341015,132.38165580819364,167.69858992536462,0.8037095069885254,458.9377372737265,-9.499630952431511,209.90255957561345,0.6337438821792603,437.97934925752656,163.45673765412343,-98.95048265706468,0.15303736925125122,620.7284092191633,-9.447126167690476,99.41238990053822,0.07902023196220398,435.7329437635824,177.53592999532108,-554.0756744181647,0.020722836256027215,590.2430907778023,-28.367475349153327,-283.89975805896853,0.0027511417865753174,1169.7772619667535,2100.886734314404,4.353306274238475,264.2967749030461,1818.125638421062,2093.03,7.6833062742384755,90.16,1803.645638421062,2093.07,7.64012176592686,90.16,1646.525476066493,2094.2733468628808,8.88016235456915,90.57,1760.31,705.5145645221494,9.056693725761523,180.37,1761.1633468628809,836.3677896191033,8.350081177284574,180.37,1761.2733468628808,853.1511364819839,8.46,180.36330627423848,1354.8789446953003,2097.03,7.662981565100181,89.86,1219.4319262604006,2096.7,10.356612548476953,89.86,945.7622103808967,2095.216653137119,8.293265685596191,89.4,400.75878234073133,2093.83,8.956653137119238,89.67,1d,20,1568814665
46469,46469,1474.7,1568816189.574022,1474.7,-90.29121740269473,568.9397928761994,76.65296485703294,613.1939303731771,0.997421145439148,573.4327812812612,98.06283583190417,663.3660842719672,0.9847677946090698,581.1929135563943,44.67216072675604,667.99267702616,0.974300980567932,552.0835909100189,137.7541070858619,679.2613560461875,0.6273602843284607,541.1991135410044,-4.4192147402966135,661.1617467090716,0.6179357767105103,482.5160884656334,153.9024599278519,547.6207821885782,0.9335622787475586,470.7782283978658,-27.196542964315487,537.9146933823548,0.7884441614151001,587.3706645303023,263.42527934201684,385.4371093968708,0.9626061916351318,596.5838795108517,-110.3313417892049,384.87238126736213,0.6338855624198914,755.6128233656406,321.7357064949672,263.54320112807585,0.2231098115444184,775.3979259601973,-171.87244234096931,272.04532453211493,0.2098684310913086,395.4295238775865,132.75993074223527,166.41725747927245,0.8672247529029846,453.70604992710633,-9.830645589211688,210.39937725131503,0.705691933631897,320.48624009123336,198.2161804275176,-192.0783444491996,0.0029275715351104736,616.3995714656509,-9.45895806446642,98.62711091165104,0.10425454378128053,407.35047310009753,189.68517400704533,-558.0573003850092,0.006023645401000977,599.4757962157782,-48.40440483334843,-299.4281464405499,0.00189894437789917,1169.63,2100.87,4.36,264.27,1818.38,2093.03,7.69,90.16,1803.9,2093.07,7.61,90.16,1646.82,2094.27,8.84,90.57,1760.31,705.21,9.05,180.37,1761.16,836.09,8.33,180.37,1761.27,852.87,8.46,180.37,1355.14,2097.03,7.75,89.86,1219.78,2096.7,10.37,89.86,946.04,2095.22,8.31,89.4,401.06,2093.83,8.96,89.67,1d,20,1568814665
46470,46470,1474.7333000166982,1568816189.6073046,1474.7333000166982,-93.0281026507342,565.1381318601985,71.96111128555889,612.5280101063878,0.9968528747558594,569.8315632607768,96.10916532055971,661.9695248186051,0.9781147241592408,580.6337128592422,41.65397914896708,668.3288505570142,0.965972065925598,561.3391291951883,134.77405625164712,683.5382916012212,0.6791293621063232,535.6530750409141,-7.917394252768947,659.606668873253,0.6654720306396484,475.5368852075701,152.2821631091469,542.1401558570984,0.9264105558395386,478.3091337433898,-30.22780598283815,532.7581715671718,0.984331488609314,593.6867496012583,261.69413900969937,382.2206034809124,0.9566026926040648,597.0181768774569,-113.26669054753314,384.0610484588176,0.7351326942443848,757.3915755545903,324.8718047109916,264.5336799318281,0.1323731243610382,776.3334098105278,-171.88300250157727,274.7786807250514,0.4468686580657959,397.7145158625544,131.59832774231526,161.43461806264503,0.8810839653015137,453.3441483114866,-10.993117419233007,209.3837799174069,0.7216445803642273,407.44731552096914,169.38555217621013,-118.82527638041628,0.09766057133674624,600.7687928490001,-13.27392849680234,96.24923795876516,0.08440759778022766,404.5861689379184,183.889879694284,-546.7840671825953,0.005238860845565796,593.0658184927704,-28.094290382706852,-319.78381758594907,0.0033583343029022217,1169.486809928198,2100.8533499916507,4.3666600033396366,264.3399300350662,1818.636410128576,2093.03,7.693330001669818,90.16,1804.1530801269064,2093.0666699983303,7.62665000834909,90.16,1647.1197001502835,2094.27,8.869970015028361,90.57,1760.30666999833,704.9102998497164,9.02002998497164,180.37,1761.16,835.8136098614052,8.33,180.37,1761.27,852.5869498580655,8.453339996660365,180.37,1355.3997401302458,2097.03,7.786630018367997,89.86,1220.1229901719912,2096.7033300016697,10.346689988311272,89.86,946.3197201402647,2095.2233300016696,8.31,89.4,401.3563701486138,2093.8333300016698,8.940019989981092,89.67,1d,20,1568814665
46471,46471,1474.7686634383722,1568816189.6426494,1474.7686634383722,-91.19901232899572,559.1581728434463,69.61021986898166,613.3173510176094,0.9967852234840392,565.389540492762,96.15713412226864,661.7809858138828,0.9969434142112732,586.7563289257475,40.70299304160894,674.4010605019964,0.9476360082626344,541.2287240249029,133.79297974052017,676.9801673553462,0.6833657026290894,538.0034689917362,-9.707770462629364,661.3989292668083,0.6514925956726074,484.6158873508396,149.22238047825408,542.5200288029878,0.8994425535202026,471.47790718814764,-29.269085843254967,534.3477334171848,0.9817712306976318,590.1331170460902,260.44056236087175,379.7217066772297,0.9604209661483764,604.6679519449742,-111.77086381137613,386.8632879498372,0.6665727496147156,760.5318280422267,323.87347582484864,266.87598228371974,0.16576147079467773,763.6692271301251,-174.83813487731285,263.3264843836774,0.5126729607582092,402.3516998619197,125.91790255258732,165.7124898907209,0.8458073139190674,433.96504394440836,-16.131115336308355,198.9511871566236,0.8344072103500366,451.2497373805657,153.04525068216012,-83.24658279714271,0.1105269491672516,598.7929337700878,-16.526818849149855,93.66815368724517,0.09205090999603273,392.78021547030966,179.26730451068798,-510.958822609214,0.017197608947753906,663.8339111399191,-20.67559906292016,-216.78573902800133,0.023818552494049072,1169.3347472149997,2100.835668280814,4.3737326876744405,264.41419322058164,1818.908708475466,2093.03,7.696866343837222,90.16,1804.4218421316286,2093.0631336561632,7.644331719186102,90.16,1647.4379709453501,2094.27,8.901797094534983,90.57,1760.3031336561628,704.5920290546503,8.988202905465018,180.37,1761.16,835.5200934615108,8.33,180.37,1761.27,852.2863607738362,8.44626731232556,180.37,1355.6755748193034,2097.03,7.825529782209424,89.86,1220.4872334152335,2096.706866343837,10.321935593139456,89.86,946.6167728823264,2095.226866343837,8.31,89.4,401.6711046015126,2093.8368663438373,8.918801936976678,89.67,1d,20,1568814665
46472,46472,1474.8,1568816189.6739695,1474.8,-91.48854012606216,569.1541929015384,65.16553494669566,621.8657722252001,0.9971269369125366,558.455855318098,93.32658304431784,664.589025184499,0.940577507019043,568.5082432013628,36.190656661537425,667.2261819997185,0.938412070274353,536.0690231422618,135.4045013889451,678.4394971760721,0.6857602596282959,541.3082610268116,-10.852997361294944,666.6131567322433,0.5022030472755432,484.7629837596477,149.763756821237,544.0392078676053,0.926192045211792,471.0151928980785,-29.35677996542621,534.4595641841873,0.9806944131851196,594.6290824095007,258.86359598893813,385.3561133231036,0.9609547853469848,594.4452584524582,-117.77565406853334,384.4105368918736,0.5952486991882324,767.8880117811708,323.47246990561695,272.39838245066,0.11340025067329408,760.3900377737799,-174.94793277865344,261.01765355675946,0.4081215858459473,397.35062632503343,123.25002599802822,163.66735038096766,0.8310737609863281,425.043640233545,-22.61646748344429,184.94485078750614,0.8729805946350098,466.10110771232667,147.0796251494253,-70.4425441022656,0.1248268187046051,590.5640498994678,-10.253843045239616,72.03782137385018,0.3101593852043152,379.92991167025536,178.26063989376217,-502.711050984024,0.0112648606300354,642.6546686517563,-39.44821498656668,-256.71794907152906,0.03112822771072388,1169.2,2100.82,4.38,264.48,1819.15,2093.03,7.7,90.16,1804.66,2093.06,7.66,90.16,1647.72,2094.27,8.93,90.57,1760.3,704.31,8.96,180.37,1761.16,835.26,8.33,180.37,1761.27,852.02,8.44,180.37,1355.92,2097.03,7.86,89.86,1220.81,2096.71,10.3,89.86,946.88,2095.23,8.31,89.4,401.95,2093.84,8.9,89.67,1d,20,1568814665
46473,46473,1474.8369972839346,1568816189.7110252,1474.8369972839346,-93.2134861689147,567.7158584575209,62.86262847408143,626.2735183477953,0.997666358947754,562.2178163415614,90.44179019889877,666.5860040825627,0.9919233322143556,564.4401050523966,34.28788291630967,663.275858983224,0.9905171990394592,531.9223767740693,134.56182217449017,677.4682746621178,0.7565938830375671,543.1230927798301,-10.083859797995695,669.9857035833222,0.4632731676101685,481.3503216970797,155.27289766755584,541.898010162015,0.7033949494361877,475.68946178980246,-29.259121866507282,537.5401818606825,0.9810019731521606,591.0148408172694,257.4101484649932,378.44351393161486,0.9518011808395386,592.4352706067108,-116.77084767680387,383.12940653007263,0.7016037702560425,761.0147893976082,322.2318099975039,264.23954465203286,0.1399398148059845,749.0477231132202,-177.66197741848708,252.82079394109192,0.4085333943367005,411.22052527907135,123.25184943022005,167.69062398700785,0.8316096067428589,436.0103382921398,-20.98018328801486,185.8382070250639,0.906925618648529,510.45580207970886,143.43938738331826,-62.41375584855663,0.09749215841293336,630.4073211804404,-16.88199900906065,43.45985983188177,0.35843971371650696,320.2818468044017,178.2590003752243,-640.2217776362965,0.005552530288696289,637.4721693060379,-53.14291920954761,-287.0178228175944,0.19299441576004028,1169.037211950687,2100.8089008148195,4.38,264.63538859252617,1819.4311793579043,2093.0263002716065,7.6630027160652,90.16,1804.944879086298,2093.06,7.64890081481956,90.16,1648.0492758270198,2094.2663002716067,8.937399456786961,90.57,1760.3,703.9770244445868,8.985898098754364,180.37,1761.1563002716064,834.9529225433412,8.315201086426079,180.37,1761.2663002716065,851.7092228149478,8.421501358032597,180.37,1356.2085788146915,2097.03,7.8230027160652,89.88589809875437,1221.1910720245285,2096.71,10.2815013580326,89.86,947.1870774566588,2095.2336997283933,8.32479891357392,89.4,402.2829755554132,2093.84,8.929597827147841,89.67,1d,20,1568814665
