,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,W_in-P_out.11_x,W_in-P_out.11_y,W_in-P_out.11_speed,W_in-P_out.11_angle,W_in-P_out.12_x,W_in-P_out.12_y,W_in-P_out.12_speed,W_in-P_out.12_angle,W_in-P_out.13_x,W_in-P_out.13_y,W_in-P_out.13_speed,W_in-P_out.13_angle,scenario,participant_id,source_file
33461,33461,1334.6477617639325,1568224650.1168013,1334.6477617639325,-83.73943349100229,562.6379297156665,104.98366173929142,623.8172578248684,0.9981788396835328,581.5675362938805,134.40855807715187,675.3746937054775,0.9927144050598145,579.2288876610372,70.56736148779704,668.9360104854443,0.9889931678771972,550.9596418596238,175.59223050143297,692.3463178949993,0.7325453758239746,513.8506768516133,15.644040091718715,664.2770522409322,0.3349156379699707,408.581972732842,247.2235663687624,545.1400630577292,0.9406837224960328,416.7224922263436,-15.500163993465572,535.4527857614419,0.3607081770896912,553.1586255346097,296.51003109236177,353.9095283511096,0.9236154556274414,521.9951200887567,-103.50142882866672,366.74513126310416,0.844524621963501,737.6495915186739,342.15388762069097,156.97693125940756,0.30952996015548706,701.6426316295531,-164.2698680240039,184.76014264507538,0.09849554300308228,400.6744041058825,180.9694521312251,60.10638463608736,0.5186692476272583,392.7487964731324,-22.965101642279844,142.23900774523173,0.7842540740966797,337.6419664480728,184.4495281046105,-484.3943226874997,0.01163598895072937,722.7917474333805,-15.408947643457095,46.19862049011768,0.039934813976287835,232.47175958568337,189.2135016785404,-776.9300175145148,0.0020602047443389893,475.9293132329238,-49.82178834203171,-491.09485381920405,0.002851247787475586,1205.4559673567305,2100.18,5.1768626511574976,270.06477617639325,1951.0911988170333,2092.6652238236065,8.411342941640472,90.16,1643.25075116982,2094.31,8.609104705573019,90.57,1626.9007511698196,2094.4752238236065,8.656566765247216,90.57,1389.9568702878535,2096.845223823607,8.152238236067452,90.57,1760.6552238236068,758.8480538314948,10.167314116719057,180.37,1760.6347761763934,1164.8313391232925,7.301342941640471,179.85,1760.5947761763932,1180.2513391232926,7.324776176393255,179.85,1351.5970182308088,2097.02,6.0189529442698095,89.86,923.334632051786,2094.44,9.05955235278651,90.06,697.1895561711345,2094.69,6.95044764721349,90.06,683.2643323475278,2094.7,6.95955235278651,90.06,401.5273179350671,2093.834776176393,7.91,89.67,367.1816464642469,2093.64,8.130895294426981,89.67,351.3068702878537,2093.55,8.144776176393256,89.67,197.6668702878536,2108.9840288249216,8.234328529179765,102.2,,,,,,,,,1d,7,1568223547
33462,33462,1334.67274762524,1568224650.1498759,1334.67274762524,-105.01050407303208,562.8205765803933,105.79680644893236,623.42290508147,0.9977458715438844,588.0955171348553,137.42410395197618,674.6548998126989,0.9923447370529176,583.5734592487634,74.23763287565843,667.6284330463887,0.9909043312072754,556.3855907206382,179.70975798639248,693.1209431922407,0.736190915107727,496.94857294259003,15.455617136061536,661.2335930880878,0.4486518502235413,419.1034932944729,249.04149970055,544.0274525086868,0.949998378753662,422.2778655176808,-12.369140967739508,539.127588732325,0.3075925409793854,543.5843060962075,302.3602314468812,356.83203669582565,0.913009762763977,512.5366899057756,-100.60077224543406,365.3168773293526,0.9641669988632202,735.0864318161798,340.8896589890657,156.76690870214998,0.5072551369667053,702.848511445891,-164.38507922389417,191.6705144654981,0.1366431713104248,421.9445092910634,181.8281513356532,68.33485325016721,0.7083330750465393,390.83796219624895,-16.449286198319193,139.27656030512523,0.7539976835250854,452.77370002966455,177.77413057914285,-346.1115268880966,0.03987342119216919,777.0439855688022,-17.68993873513957,56.171996016326226,0.36929816007614136,228.08934351576312,166.38007712308325,-784.9120494785848,0.0018565952777862547,517.7228604209439,-64.05058671534425,-466.53223010417605,0.0030792057514190674,1205.3335366363244,2100.18,5.044437586228385,270.067274762524,1951.3010800520153,2092.662725237476,8.396351424856045,90.16,1643.4656295770633,2094.31,8.619099050095974,90.57,1627.1156295770636,2094.472725237476,8.63907666233205,90.57,1390.1592557644433,2096.8427252374763,8.127252374760072,90.57,1760.6527252374758,758.5906994600286,10.197297150287913,180.37,1760.6372747625242,1164.6489423357484,7.2863514248560435,179.85,1760.5972747625242,1180.0689423357485,7.327274762523992,179.85,1351.7419362263915,2097.02,5.919009499040292,89.86,923.5620033896832,2094.44,9.064549525047983,90.06,697.3619586141555,2094.69,6.945450474952015,90.06,683.4392333766796,2094.7,6.964549525047985,90.06,401.72470623939535,2093.837274762524,7.91,89.67,367.3865305269674,2093.64,8.120900949904026,89.67,351.50925576444337,2093.55,8.147274762523994,89.67,197.8692557644434,2108.9390542745678,8.241824287571978,102.2,,,,,,,,,1d,7,1568223547
33463,33463,1334.7,1568224650.1859508,1334.7,-81.83460109851403,559.3290916709012,114.21240929174259,621.7573067723406,0.9986007213592528,566.8248472937572,147.6262502528932,667.811719828017,0.9851619005203248,579.7998197342134,80.02984004322376,667.2189904142173,0.9932003021240234,554.2297849010597,185.79148096317485,692.1090297890776,0.6029309630393982,497.4863131568499,19.24864388211153,664.3312062178853,0.4645474851131439,423.41891519941163,249.49735186995042,547.3060886061921,0.932486891746521,418.9674390964541,-28.551038221036624,543.2924129262586,0.9460704326629642,554.7661282119665,305.495720729352,339.23270115787017,0.9306509494781494,505.365144427954,-101.32996868809624,358.41553932209763,0.837302565574646,726.1842274017938,340.3684761086005,154.94385668049048,0.901521861553192,713.402746294825,-165.2561776643728,187.52143794333801,0.3343039453029633,435.2499931211688,185.37406950292672,57.85075200028835,0.4459413886070252,385.4032690107296,-20.12840885572924,127.60871749448981,0.6079539060592651,327.94947311454615,177.3998059387925,-537.4264973446141,0.0166131854057312,775.062635208547,-12.083726322027516,44.86587661345456,0.14505496621131894,222.2554187261953,154.97189942930711,-793.2871671565158,0.00666123628616333,470.7744029079184,-55.52642970962618,-512.4466440875068,0.02798047661781311,1205.2,2100.18,4.9,270.07,1951.53,2092.66,8.38,90.16,1643.7,2094.31,8.63,90.57,1627.35,2094.47,8.62,90.57,1390.38,2096.84,8.1,90.57,1760.65,758.31,10.23,180.37,1760.64,1164.45,7.27,179.85,1760.6,1179.87,7.33,179.85,1351.9,2097.02,5.81,89.86,923.81,2094.44,9.07,90.06,697.55,2094.69,6.94,90.06,683.63,2094.7,6.97,90.06,401.94,2093.84,7.91,89.67,367.61,2093.64,8.11,89.67,351.73,2093.55,8.15,89.67,198.09,2108.89,8.25,102.2,,,,,,,,,1d,7,1568223547
33464,33464,1334.7,1568224650.1859508,1334.7,,555.6059643937574,111.65922701444721,620.398250320542,0.9984117746353148,579.0205519293379,140.0710739683565,673.9202455944817,0.991991639137268,589.8246869231082,81.80221493024995,678.8690350995522,0.8652977943420409,564.2872731792891,178.03871834688232,693.364487636055,0.7576260566711426,522.2621819507267,24.57428929588561,670.1743948899127,0.4041813015937805,426.5383741332068,236.1824015605412,541.6682594310562,0.2989828884601593,422.730529193852,-31.74537474974394,525.7156277758675,0.5434571504592896,556.8235357194616,302.7712597968318,345.19752431248236,0.687218427658081,516.7119606739041,-102.61189009785738,341.6806249289086,0.9666506052017212,727.8916369895948,342.06690861517393,157.63092799397137,0.8741352558135986,710.5888174194287,-164.69166535741726,185.79077054314686,0.2270659208297729,416.413539166509,209.3276446427874,53.22015734933638,0.2699407637119293,426.3791237221712,-30.806844999685808,106.87727807285576,0.7345646619796753,209.86241597654842,211.373185454136,-694.1587414722864,0.006114661693572998,653.6920467170113,-37.96176721862995,-121.5917097016442,0.03946670889854431,230.40707050614208,165.52018851006378,-781.9954854231979,0.010275274515151978,453.31187123091337,-65.17957320797328,-529.9300260680402,0.028552234172821045,1205.2,2100.18,4.9,270.07,1951.53,2092.66,8.38,90.16,1643.7,2094.31,8.63,90.57,1627.35,2094.47,8.62,90.57,1390.38,2096.84,8.1,90.57,1760.65,758.31,10.23,180.37,1760.64,1164.45,7.27,179.85,1760.6,1179.87,7.33,179.85,1351.9,2097.02,5.81,89.86,923.81,2094.44,9.07,90.06,697.55,2094.69,6.94,90.06,683.63,2094.7,6.97,90.06,401.94,2093.84,7.91,89.67,367.61,2093.64,8.11,89.67,351.73,2093.55,8.15,89.67,198.09,2108.89,8.25,102.2,,,,,,,,,1d,7,1568223547
33465,33465,1334.7561925008515,1568224650.222124,1334.7561925008515,-88.63709741483162,557.5713690815907,117.35938389732657,624.3903232413618,0.9982165098190308,575.9289541569443,143.26583589499563,673.6273847668857,0.9932422637939452,572.3676309707555,81.1789947231146,667.0382825428037,0.9911594390869141,566.0844543618242,182.71942906228543,700.8498779652562,0.7228186130523682,542.2772349581173,29.03385943563373,679.3181912257128,0.4496661424636841,419.17977109579886,258.63970944026437,535.7036727102172,0.9066019654273988,415.4222788327865,-38.899852112183744,539.3701505616714,0.85352623462677,552.7497747461108,299.293608315271,356.3838350701943,0.8839386701583862,507.52025031653284,-105.56310949010431,362.57239427549433,0.8584138751029968,731.4678139670459,339.20686625114206,154.78586796006215,0.4507366716861725,712.4011248517635,-164.5156333561916,192.62925377410855,0.2309521138668061,444.9495328929824,196.85682998919827,56.37418214936618,0.3527669906616211,437.0111994327166,-28.40645222560285,72.8792718654795,0.37724897265434265,234.23975288225918,197.5252866483649,-744.702414532166,0.017439395189285282,510.42076360303406,-61.97984392987085,-367.70428308192663,0.012787312269210815,233.00959980725798,149.98466356136572,-786.9051864270273,0.00418776273727417,428.3917787055896,-74.11696156950279,-562.5678736531112,0.006296038627624512,1204.907798995571,2100.18,5.0404812521293625,270.1093347505962,1952.0020170071546,2092.66,8.385619250085176,90.16,1644.18887475741,2094.304380749915,8.641238500170351,90.57,1627.8332555073252,2094.4643807499147,8.636857750255523,90.57,1390.8407785069846,2096.84,8.133715500511045,90.57,1760.65,757.7368364913121,10.213142249744475,180.37,1760.64,1164.0454139938674,7.247522999659302,179.85,1760.6,1179.4597947437826,7.324380749914826,179.85,1352.231535755025,2097.02,5.8549540006813965,89.86,924.3157325076655,2094.44,9.036284499488954,90.06,697.9433475059623,2094.69,6.968096250425871,90.06,684.017728255877,2094.7,6.936284499488952,90.06,402.3839207567288,2093.84,7.887522999659303,89.67,368.06515925689916,2093.645619250085,8.138096250425871,89.67,352.1907785069843,2093.55,8.144380749914825,89.67,198.54515925689915,2108.794472748552,8.261238500170348,102.2,,,,,,,,,1d,7,1568223547
33466,33466,1334.8,1568224650.2503247,1334.8,-80.3577532718188,556.0522227455584,126.39413307942472,627.9624618273809,0.9983117580413818,574.7441398622474,151.13743658662753,675.547997465422,0.9827803373336792,572.426049506908,90.0033427896893,663.433900910337,0.9928997159004213,565.5355429015858,188.91095664118117,704.0317587783983,0.9220046997070312,552.1844593324092,29.117902879291147,682.6948411360887,0.5669322013854979,416.7429209822768,263.76702764063117,538.8263566163845,0.8946869373321533,413.80690586722864,-36.66140772814568,530.0843246826323,0.7982425689697266,556.0153517733187,303.5633370552648,349.29265539360574,0.9342291951179504,525.524210427341,-108.97470389200674,343.60873519760935,0.7681628465652466,733.4585414200087,338.45724846592907,155.6660886946961,0.29506269097328186,710.8828069741652,-164.62451926066626,193.99253882314844,0.11885565519332884,467.4297902593575,197.8734739162347,50.405130138905385,0.2754742503166199,437.2565577486756,-8.416152895078998,51.41257330329504,0.05401647090911865,223.83267854378778,222.91195015537812,-787.0458339564981,0.007621318101882935,472.42625012776085,-71.70266487031051,-433.20287606859335,0.04767599701881409,231.49768515494046,154.8848325575359,-783.5851345831253,0.004891902208328247,433.0068729957868,-84.94932805013238,-570.5568949321397,0.009720474481582642,1204.68,2100.18,5.15,270.14,1952.37,2092.66,8.39,90.16,1644.57,2094.3,8.65,90.57,1628.21,2094.46,8.65,90.57,1391.2,2096.84,8.16,90.57,1760.65,757.29,10.2,180.37,1760.64,1163.73,7.23,179.85,1760.6,1179.14,7.32,179.85,1352.49,2097.02,5.89,89.86,924.71,2094.44,9.01,90.06,698.25,2094.69,6.99,90.06,684.32,2094.7,6.91,90.06,402.73,2093.84,7.87,89.67,368.42,2093.65,8.16,89.67,352.55,2093.55,8.14,89.67,198.9,2108.72,8.27,102.2,,,,,,,,,1d,7,1568223547
33467,33467,1334.8248103245012,1568224650.2833898,1334.8248103245012,-81.9441657017397,555.6486106585719,126.74048063831057,628.8708565582692,0.9987891912460328,573.1678918048283,151.68276332588596,674.4441363435633,0.9904063940048218,585.0111465118352,91.09128691126163,671.7813244804223,0.9948647022247314,559.0570012619767,187.31480797638028,694.7687965740275,0.6967456340789795,553.8437366692376,37.31269831726358,685.1583672552442,0.7308686375617981,422.3545444763836,260.4678378863134,548.6379254355427,0.9535744190216064,436.2239116303791,-33.60807689137766,536.0989798516375,0.9311800003051758,557.3110239528568,308.2661376518609,357.03520519551483,0.8681418895721436,525.1026326368902,-118.78052864674149,338.2757900787742,0.609910249710083,734.7340792347137,343.0516028074298,144.31045127399636,0.8934215307235718,729.1145219495993,-166.27670940737318,170.48556763833113,0.9564919471740724,458.87070130227255,187.9401515133409,80.07042179260036,0.2762182950973511,428.0775434699504,-4.620458576640535,37.57829929045619,0.022562861442565918,260.91461504035806,208.89821596690052,-640.6467787530681,0.05447942018508911,452.7575028936322,-76.10346870886704,-469.8662244880314,0.024704664945602417,206.58264032950592,178.86779024357116,-810.7883253710772,0.006775021553039551,405.6795467184099,-91.263678705425,-594.4503405006848,0.0033237338066101074,1204.553467345044,2100.18,5.15,270.1524051622506,1952.5784067258103,2092.66,8.380075870199521,90.16,1644.7833687907105,2094.29751896755,8.64751896754988,90.57,1628.4258498231604,2094.4575189675493,8.642556902649641,90.57,1391.4009636284595,2096.83751896755,8.155037935099761,90.57,1760.64751896755,757.0394157225378,10.192556902649642,180.37,1760.64,1163.5488846311412,7.2374430973503605,179.85,1760.6,1178.9613656635916,7.295189675498802,179.85,1352.6388619470074,2097.02,5.909848259600956,89.86,924.9332929205107,2094.44,9.017443097350359,90.06,698.4236722715083,2094.69,6.9850379350997605,90.06,684.4936722715084,2094.7,6.9372913569513175,90.06,402.9260015635594,2093.84248103245,7.872481032450119,89.67,368.6209636284597,2093.65,8.140151740399041,89.67,352.7509636284597,2093.55248103245,8.14496206490024,89.67,199.0984825960096,2108.675341415897,8.26751896754988,102.2,,,,,,,,,1d,7,1568223547
33468,33468,1334.8499639522631,1568224650.3169124,1334.8499639522631,-86.91165307618479,548.317365487911,132.69254908606905,624.3779925326228,0.9986542463302612,567.5327627944332,157.6949459023021,672.8452985078162,0.9801973700523376,582.5965742874205,95.89865538270284,670.1632668140412,0.9770903587341307,554.6700436257527,191.97983460246314,692.5414267171692,0.6200959086418152,566.8508602009807,42.985224973534486,690.8303827127702,0.8067573308944702,416.7258827468878,260.6688069701248,540.2226692949869,0.9821252822875975,420.8516335850897,-17.38314148621464,545.0014641585092,0.6222095489501953,562.6816317027217,307.2130484032245,356.8159569660192,0.7994715571403503,526.8046381961294,-104.83275720537472,343.55387455319124,0.9530453085899352,740.4072992038043,340.558762420338,150.35755641680674,0.8684092164039612,710.1281455994334,-167.11024771451966,185.85847064010258,0.3143031597137451,458.3869090859363,189.4691377385424,92.15229567550855,0.02265647053718567,408.4952228559078,-32.705029072632286,54.637922711057776,0.2388375699520111,343.29576477277595,191.65841832223208,-466.01387793336477,0.024313926696777344,509.70521744112455,-74.01081116046075,-337.1621066377452,0.15904709696769714,191.70540749731785,186.1184040813064,-822.2125385403552,0.013275831937789915,375.5587252931508,-95.32514614461878,-629.8124878461707,0.007720947265625,1204.4251838434582,2100.18,5.15,270.16498197613157,1952.78969719901,2092.66,8.37001441909476,90.16,1644.999689989463,2094.2950036047737,8.645003604773692,90.57,1628.644686384689,2094.455003604773,8.635010814321069,90.57,1391.6047080133312,2096.8350036047736,8.15000720954738,90.57,1760.6450036047738,756.7853640821428,10.18501081432107,180.37,1760.64,1163.3652631484795,7.24498918567893,179.85,1760.6,1178.7802595437058,7.270036047736897,179.85,1352.7897837135786,2097.02,5.929971161810482,89.86,925.159675570368,2094.44,9.02498918567893,90.06,698.5997476658416,2094.69,6.98000720954738,90.06,684.6697476658418,2094.7,6.964960347489411,90.06,403.1247152228785,2093.844996395226,7.874996395226309,89.67,368.82470801333113,2093.65,8.12002883818952,89.67,352.9547080133311,2093.554996395226,8.14999279045262,89.67,199.29971161810482,2108.6300648859265,8.265003604773689,102.2,,,,,,,,,1d,7,1568223547
33469,33469,1334.874946733431,1568224650.3502073,1334.874946733431,-86.82811612290398,555.2706643709269,135.33049111029936,628.1956829216443,0.9987577199935912,569.3956831109645,160.3258681762266,672.219677937037,0.9729096293449402,574.7637653756966,97.61494932631578,668.8594102072245,0.9790889024734496,567.2603528470153,197.34388583935242,697.4366767388451,0.4629341065883637,557.2072042259671,42.54769921888606,692.5175032829668,0.7276631593704224,415.25303102804565,262.5268845199752,542.0062574533092,0.9853745698928832,412.3663534892321,-10.686955149206259,548.8686927658372,0.609326183795929,545.2908082073745,302.78083730308583,356.3802489636339,0.8549648523330688,508.2654831203217,-104.19443831559364,362.8793794832068,0.9451010823249816,741.7823953198497,341.0301837059608,153.72921098611462,0.8837746977806091,699.6575511469567,-168.52530381755685,191.69417132943508,0.35053709149360657,461.75700651886405,189.2210491262763,105.3832847931253,0.00445479154586792,374.7623555819572,-20.700700460835968,84.53859704907214,0.4402910768985748,569.6055261126897,173.20223156489914,-177.46330897049825,0.08763951063156128,680.7358756955798,-43.13363420767082,-106.68176800676771,0.04658716917037964,193.29144547380642,187.54529837591232,-824.6329657372942,0.012923896312713623,349.8643194972274,-94.50525786969743,-660.5728019048616,0.008937865495681763,1204.2977716595026,2100.18,5.15,270.17747336671545,1952.9995525608201,2092.66,8.360021306627628,90.16,1645.2145419075061,2094.2925053266567,8.642505326656908,90.57,1628.862036580849,2094.4525053266566,8.62751597997072,90.57,1391.8070685407904,2096.8325053266567,8.145010653313816,90.57,1760.642505326657,756.5330379923475,10.177515979970721,180.37,1760.64,1163.1828888459545,7.252484020029279,179.85,1760.6,1178.600383519297,7.245053266569069,179.85,1352.9396804005855,2097.02,5.949957386744745,89.86,925.3845206008784,2094.44,9.032484020029278,90.06,698.7746271340166,2094.69,6.975010653313813,90.06,684.8446271340165,2094.7,6.992441406774025,90.06,403.32207919410433,2093.8474946733427,7.877494673343092,89.67,369.02706854079054,2093.65,8.100042613255255,89.67,353.1570685407905,2093.5574946733427,8.154989346686186,89.67,199.49957386744742,2108.5850958798237,8.262505326656909,102.2,,,,,,,,,1d,7,1568223547
33470,33470,1334.9,1568224650.3835962,1334.9,-88.89665269327473,558.8860329147457,137.6973283620332,630.4097301067127,0.9985150098800659,567.8322493542566,163.45135112045398,671.343901968627,0.9601458311080932,581.348617819357,103.66638216025447,671.0051309853909,0.9895721077919006,565.4221906287578,203.69872746465228,696.2872228578476,0.4539459347724914,540.9750556979377,47.3675903647273,680.3784637851678,0.5017496347427368,426.1427924026458,266.945066339596,540.3664563271094,0.9826896786689758,409.49931667710024,-24.66830036979943,538.5191978851885,0.9573691487312316,554.5934364145933,301.61633685450636,339.9048500925937,0.8623726367950441,517.0317719619055,-104.14300484743937,341.83721857158406,0.9364513158798218,749.1843783352084,339.1967236201024,161.05665823282038,0.802993655204773,700.954354154763,-168.30734406299203,191.52005332620743,0.33863091468811035,465.0929612943361,181.89549459859302,115.5808936388546,0.003756940364837647,333.46561017854174,-23.295921690910745,122.8545647410652,0.6509262323379517,631.2548692091782,169.32456746475043,-45.89505191078601,0.15733274817466736,583.0285979780335,-46.61150540915736,-119.37920705305143,0.04962703585624695,194.3656649392861,228.36987702795463,-787.1963862574745,0.004284173250198364,308.93275089531664,-133.7848138359712,-695.3076204438017,0.0035140514373779297,1204.17,2100.18,5.15,270.19,1953.21,2092.66,8.35,90.16,1645.43,2094.29,8.64,90.57,1629.08,2094.45,8.62,90.57,1392.01,2096.83,8.14,90.57,1760.64,756.28,10.17,180.37,1760.64,1163.0,7.26,179.85,1760.6,1178.42,7.22,179.85,1353.09,2097.02,5.97,89.86,925.61,2094.44,9.04,90.06,698.95,2094.69,6.97,90.06,685.02,2094.7,7.02,90.06,403.52,2093.85,7.88,89.67,369.23,2093.65,8.08,89.67,353.36,2093.56,8.16,89.67,199.7,2108.54,8.26,102.2,,,,,,,,,1d,7,1568223547
