,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,W_in-P_out.11_x,W_in-P_out.11_y,W_in-P_out.11_speed,W_in-P_out.11_angle,conflict_1e_x,conflict_1e_y,conflict_1e_speed,conflict_1e_angle,W_in-P_out.12_x,W_in-P_out.12_y,W_in-P_out.12_speed,W_in-P_out.12_angle,scenario,participant_id,source_file
38961,38961,1234.1,1568023507.304992,1234.1,-83.07858074570159,572.9365842360321,28.59067606833268,648.2370281578598,0.9824607372283936,617.7434438835725,56.986872556657325,694.7977430083653,0.9614717960357666,608.5445948033689,6.32864936765422,692.2561571424707,0.9880118370056152,589.4776915059085,120.25780190745355,724.4325033187906,0.748668372631073,629.4817773876791,-23.12488941508468,720.5734396246937,0.2025282084941864,436.95397523218,192.06021572777337,587.3782110690024,0.9739166498184204,441.9481169961573,-76.968700369648,577.6819388203255,0.950225830078125,532.2871290001203,269.44354906577615,342.3067657512738,0.9454825520515442,561.4285533721454,-139.0721437259746,324.59610889510486,0.6857888698577881,697.3051178043265,310.14102735794563,180.2233637102836,0.8298919796943665,755.5007022116513,-133.40277634190954,171.1393385907329,0.5480835437774658,358.51873040588094,171.59315841351437,141.05686006936457,0.18672046065330505,386.64689495842424,-32.15973770098364,131.72579385233811,0.03413459658622742,578.4095248754181,199.9668937486217,-23.787913780366715,0.22100207209587092,633.3589289980819,-37.48670148878113,-18.84353748912676,0.5512810349464417,220.90391556452514,246.60611108108344,-804.4367482205616,0.013460367918014526,510.0496771049218,-46.15136101702751,-483.65320777726487,0.061144113540649414,1209.57,2100.33,6.24,269.0,1627.33,2094.47,7.54,90.57,1612.96,2094.61,7.51,90.57,1598.56,2094.76,7.51,90.57,1583.32,2094.91,7.59,90.57,1427.51,2096.47,7.64,90.57,1399.15,2096.76,7.84,90.57,1375.89,2096.95,8.01,90.22,1760.3,1293.83,6.77,179.85,1760.26,1308.79,6.81,179.85,1360.22,2097.01,8.31,90.22,1760.22,1323.77,6.8,179.85,826.87,2094.55,6.94,90.06,813.01,2094.56,6.97,90.06,735.6,2094.65,8.11,90.06,592.57,2094.8,8.29,90.06,1380.3,1910.57,7.94,154.36,356.4,2093.58,6.19,89.67,1d,2,1568022227
38962,38962,1234.1322585914886,1568023507.3370063,1234.1322585914886,-77.78028460909206,595.4602751122209,54.493872004629324,658.1328924651979,0.9939966201782228,625.5199761548498,80.89109844450245,702.2785652640213,0.98847758769989,619.0428381284968,26.294838670639265,697.5257406490421,0.9809417128562928,587.8397000861022,124.49910209307413,727.9671537894335,0.6139428615570068,628.0514047096217,-19.04946935698048,724.7583547441658,0.34161680936813354,432.86182688354495,189.0183521507949,585.3799889192843,0.9028226137161256,442.8514394331007,-77.60759024738825,575.8123923076813,0.8619550466537476,530.5662779108534,270.0832184206071,339.7710595662918,0.9279369115829468,566.5344031895839,-135.00273052591956,327.1803098807586,0.6944631338119507,693.6400896114999,309.0097951832425,179.26300363838192,0.8405388593673706,750.9195538743708,-133.240216541687,171.94362349635162,0.630251944065094,379.3781057672247,172.49396837570225,159.22289305168925,0.13818523287773132,377.49770505449163,-32.26643868700441,121.04550928113441,0.03581613302230835,621.4701835142832,221.69133372978763,10.831169840917509,0.03467002511024475,701.3456213604773,-33.584080523459484,20.473024818341912,0.6408892273902893,201.39413984828602,224.28908673935862,-826.1735333631256,0.00679895281791687,491.94919179274507,-41.91084974744388,-502.636026087288,0.07160794734954834,1209.3699967327718,2100.3267741408513,6.236774140851157,269.01935515489305,1627.5719394361633,2094.466774140851,7.5238707042557875,90.57,1613.2051652953119,2094.61,7.516451718297684,90.57,1598.8019394361634,2094.756774140851,7.490644845106942,90.57,1583.5619394361634,2094.906774140851,7.554515549362731,90.57,1427.7551652953118,2096.466774140851,7.620644845106943,90.57,1399.4048428727588,2096.756774140851,7.859355154893056,90.57,1376.1480687319074,2096.95,8.003548281702315,90.22,1760.3,1293.6106415778786,6.763548281702313,179.85,1760.26,1308.5706415778786,6.790644845106943,179.85,1360.487746309354,2097.01,8.329355154893056,90.22,1760.22,1323.5506415778787,6.790322422553473,179.85,827.095810140419,2094.55,6.936774140851156,90.06,813.2325842812703,2094.56,6.950644845106942,90.06,735.8612945910562,2094.65,8.122903436595369,90.06,592.8345204502051,2094.8,8.264193126809259,90.06,1380.4096792110604,1910.3441898595806,7.923870704255787,154.36,356.60322912637713,2093.58,6.222258591488428,89.67,1d,2,1568022227
38963,38963,1234.1660823293414,1568023507.370574,1234.1660823293414,-77.55230784162869,598.1394241589303,69.28118175556213,664.014950207912,0.9827080368995668,622.0707929639656,93.13326173366899,706.9708454754236,0.9863101243972778,625.7325320460092,39.693276812437134,705.1590071790097,0.9796576499938964,595.8314536001153,131.79058118112496,742.1575578801859,0.862319827079773,627.3868332635436,-10.385794277918462,726.7744395074315,0.4017495810985565,437.27572979645066,203.37480038702984,586.3277644264592,0.9734700918197632,444.4300489184595,-64.43894524683805,583.6190057606125,0.9700613021850586,525.9792303964663,267.92962148443127,348.6493413347582,0.854446530342102,558.0111095601759,-137.629209323407,338.08876000997816,0.5762252807617188,703.6952914000949,304.79992365234517,186.0469772269519,0.887797474861145,756.8890421490556,-134.5387230629806,172.40403779247364,0.6440005302429199,388.5113314344985,169.817507560227,171.5903547802981,0.06338271498680115,371.8144757112252,-33.578579150150496,125.43659455447796,0.4745334386825562,635.4058613310405,208.83355330768669,34.32048667712223,0.3074719607830048,717.7923954114373,-30.993059284140084,27.013840781134487,0.60611492395401,254.557382840074,234.3254927019412,-772.7046426767835,0.010453462600708008,466.7655234632143,-39.51599015511727,-527.6134383035293,0.10562732815742493,1209.1602895580836,2100.323391767066,6.23339176706586,269.0396493976048,1627.8256174700605,2094.4633917670662,7.5069588353292955,90.57,1613.4622257029946,2094.61,7.523216465868281,90.57,1599.0556174700605,2094.7533917670653,7.470350602395157,90.57,1583.8156174700605,2094.903391767066,7.5173094377244505,90.57,1428.0122257029948,2096.4633917670662,7.600350602395157,90.57,1399.6720504017972,2096.7533917670653,7.879649397604845,90.57,1376.4186586347314,2096.95,7.996783534131717,90.22,1760.3,1293.3806401604786,6.756783534131718,179.85,1760.26,1308.3406401604784,6.7703506023951565,179.85,1360.7684833335334,2097.01,8.349649397604843,90.22,1760.22,1323.3206401604784,6.780175301197578,179.85,827.3325763053898,2094.55,6.933391767065859,90.06,813.4659680724558,2094.56,6.930350602395157,90.06,736.1352668676652,2094.65,8.136432931736563,90.06,593.1118751005996,2094.8,8.237134136526874,90.06,1380.5246799197607,1910.10742369461,7.906958835329295,154.36,356.81631867485083,2093.58,6.256082329341407,89.67,1d,2,1568022227
38964,38964,1234.2,1568023507.404235,1234.2,,597.3498474102518,70.1350283086974,663.1899580089641,0.985721468925476,610.483812963976,99.80615726884459,698.650949984876,0.9941525459289552,622.8119375712278,46.141762301402295,704.249571588777,0.9875814914703368,586.3443896247009,138.29967235913983,731.5259231939337,0.5692609548568726,621.1772723236422,-4.921989735530186,728.1865230110162,0.4707981646060944,438.52406790386397,208.33052871092517,584.5808177622208,0.9569302201271056,438.2617017572118,-63.74097433864541,586.4740439661774,0.9756123423576356,525.7804443512663,267.7604096337015,348.99226705767785,0.8569257259368896,534.3418622446243,-144.507150193362,358.63645752558466,0.1922558546066284,699.0830589871823,301.96463752353105,174.8448356921197,0.8791147470474243,750.3171056988043,-138.5049796276727,173.03582815977958,0.7712141871452332,388.01851533896433,168.51721782036088,170.57557382296343,0.08788272738456726,363.5168645414815,-33.13271920718435,117.79264775127008,0.5551770329475403,666.5225386346757,209.39054160704342,32.27382542464915,0.2379801571369171,798.9157456434815,-25.682732902977115,75.39284553025641,0.2890819609165192,277.85969297064497,240.03759077093585,-746.4199511654422,0.009634137153625488,454.6383871064074,-43.99205854723798,-553.8548959699643,0.03974312543869018,1208.95,2100.32,6.23,269.06,1628.08,2094.46,7.49,90.57,1613.72,2094.61,7.53,90.57,1599.31,2094.75,7.45,90.57,1584.07,2094.9,7.48,90.57,1428.27,2096.46,7.58,90.57,1399.94,2096.75,7.9,90.57,1376.69,2096.95,7.99,90.22,1760.3,1293.15,6.75,179.85,1760.26,1308.11,6.75,179.85,1361.05,2097.01,8.37,90.22,1760.22,1323.09,6.77,179.85,827.57,2094.55,6.93,90.06,813.7,2094.56,6.91,90.06,736.41,2094.65,8.15,90.06,593.39,2094.8,8.21,90.06,1380.64,1909.87,7.89,154.36,357.03,2093.58,6.29,89.67,1d,2,1568022227
38965,38965,1234.2343642587316,1568023507.438893,1234.2343642587316,-113.76876996904595,597.5138574651588,74.16433343705873,662.8154623164928,0.9921640753746032,614.8704581952303,103.38443312131581,704.8635972771143,0.9893022775650024,624.4276439953338,50.5114430526493,709.1532062307256,0.982901930809021,575.0072137782225,145.94470148409832,726.7044845338535,0.5874773859977722,624.6945098538154,-1.4821108357179362,738.0271270100482,0.6809672713279724,439.8056280574089,210.45492724387557,582.0539888942087,0.9640580415725708,448.16989800959533,-68.70509963424057,586.1516549139832,0.9351138472557068,527.8991037943423,268.99741709265743,344.64969235373565,0.8236824274063109,556.9684464921537,-135.6391079566226,334.54363868370507,0.7872781753540039,707.600069901323,298.557588338964,178.42224594626842,0.8770622014999391,750.0191709446462,-144.4615874101042,171.596503005571,0.6883819103240967,402.6265098972732,167.09258472622747,172.0728801973326,0.1289089322090149,364.44314237463743,-33.82085851749999,121.88433292627106,0.4604478180408478,649.8980209992558,201.88621827074985,52.168067766397854,0.28946125507354736,747.8219245365814,-27.389659829737766,41.92318464126754,0.5044823288917542,299.18890747453224,238.98352031500286,-720.6135984022876,0.006493896245956421,429.79466288748336,-51.67817181887826,-586.7558498882968,0.019268244504928592,1208.7369415958656,2100.316563574127,6.233436425873137,269.0806185552388,1628.3342955146122,2094.456563574127,7.49,90.57,1613.9777319404852,2094.606563574127,7.53,90.57,1599.5677319404851,2094.746563574127,7.463745703492544,90.57,1584.3277319404851,2094.9,7.473127148253727,90.57,1428.5311683663585,2096.46,7.5937457034925435,90.57,1400.2080412181049,2096.746563574127,7.875945018888048,90.57,1376.9614776439776,2096.95,7.969381444761183,90.22,1760.3,1292.9197594665,6.75,179.85,1760.26,1307.8797594664998,6.743127148253727,179.85,1361.3352233474702,2097.01,8.321890037776095,90.22,1760.22,1322.8563230406264,6.794054981111952,179.85,827.8071133852465,2094.55,6.923127148253728,90.06,813.9405498111197,2094.56,6.9306185552388175,90.06,736.6917869215971,2094.65,8.143127148253727,90.06,593.6717869215971,2094.8,8.223745703492545,90.06,1380.8049484419105,1909.663814447612,7.886563574126863,153.73800691696238,357.2430584041344,2093.58,6.269381444761184,89.67,1d,2,1568022227
38966,38966,1234.266581563905,1568023507.471386,1234.266581563905,-104.84539072270852,589.8245352399035,75.82701248831387,661.5260257816917,0.9938443899154664,614.4644604642629,105.01716020985128,706.7281343999597,0.9898396730422974,624.079097678773,50.94661906937961,710.4295270225139,0.9882245063781738,573.9670102767591,149.03888243565947,722.1190588520958,0.7158232331275941,625.013704373795,1.7670149779140851,740.6559477289172,0.6787160038948059,441.12416348264605,209.7054456177549,579.3115252197679,0.9442144632339478,444.4411583635495,-69.558771086598,585.0341944090387,0.947582483291626,524.1937392443219,264.7235477547692,346.9800272553065,0.909398078918457,554.3444296005891,-135.1727728051611,336.28511691298905,0.3636985421180725,705.944799391299,297.0978894394119,175.90752042659815,0.8895516991615295,757.4416806881935,-146.34584590293517,170.56536112761438,0.651155948638916,429.7032694367968,155.92356568721078,177.07634194215038,0.11583817005157472,371.4570566261255,-31.922846295247307,109.34378800287777,0.7003912925720215,665.4883158780536,210.93399122042004,38.54231544532715,0.3446511030197144,808.4767373452678,-19.616818877281943,76.88687858980964,0.2953894436359405,262.17176198148206,242.43595127020507,-759.1618721753748,0.008250385522842405,401.61004674508536,-59.64798267268753,-620.2081373369881,0.010133981704711914,1208.537194303789,2100.3133418436096,6.236658156390502,269.099948938343,1628.5727035728971,2094.4533418436095,7.49,90.57,1614.2193617292874,2094.603341843609,7.53,90.57,1599.8093617292875,2094.7433418436094,7.4766326255620035,90.57,1584.5693617292875,2094.9,7.466683687218999,90.57,1428.7760198856781,2096.46,7.6066326255620025,90.57,1400.4593361984591,2096.7433418436094,7.853392905266495,90.57,1377.2159943548495,2096.95,7.950051061656994,90.22,1760.3,1292.7039035218365,6.75,179.85,1760.26,1307.6639035218366,6.7366836872189975,179.85,1361.6026269804115,2097.01,8.27678581053299,90.22,1760.22,1322.637245365446,6.816607094733505,179.85,828.0294127909445,2094.55,6.916683687218997,90.06,814.166070947335,2094.56,6.949948938343004,90.06,736.9559688240209,2094.65,8.136683687219,90.06,593.9359688240212,2094.8,8.236632625562004,90.06,1380.9595915067441,1909.4705106165698,7.883341843609498,153.1548736933194,357.442805696211,2093.58,6.250051061656996,89.67,1d,2,1568022227
38967,38967,1234.3,1568023507.5050902,1234.3,-77.2829728238882,587.1300577478638,77.69881603794231,657.4638861510497,0.9950700998306274,609.0184015895662,108.26800088573582,700.9645201106433,0.9890964031219482,617.0354817049764,51.64446007446517,705.6917558308821,0.991268754005432,580.0053238698953,150.0362385489352,723.6279848518152,0.7104964256286621,615.4410472784955,4.778998752198088,729.5342049541417,0.6741753816604614,441.4965989214254,211.0192222017918,578.584418967065,0.9486784338951112,445.43932553705406,-56.82556852282942,593.307396617464,0.9706739783287048,518.7821336193094,266.06584459135803,342.3479757045564,0.8808938264846802,532.9949196739815,-138.70442211236585,353.1068201952732,0.5296481251716614,710.4822201090292,291.63460690235735,179.27194146148813,0.9175941348075868,766.7644836751033,-152.80806149277322,179.1179556021136,0.7459673285484314,419.0369880410657,152.5678188817933,168.49717237787536,0.08466121554374695,356.1283785146441,-28.201478602193376,141.46272077004002,0.7633766531944275,702.4257489987327,206.7175872185663,46.18287572374484,0.30634766817092896,793.7359574573344,-22.19031389962911,70.57659555358941,0.4029896557331085,368.4002762614782,235.00328205829132,-648.4005652798113,0.00908300280570984,395.4494931439289,-62.81193893256464,-627.3889216179456,0.008378595113754272,1208.33,2100.31,6.24,269.12,1628.82,2094.45,7.49,90.57,1614.47,2094.6,7.53,90.57,1600.06,2094.74,7.49,90.57,1584.82,2094.9,7.46,90.57,1429.03,2096.46,7.62,90.57,1400.72,2096.74,7.83,90.57,1377.48,2096.95,7.93,90.22,1760.3,1292.48,6.75,179.85,1760.26,1307.44,6.73,179.85,1361.88,2097.01,8.23,90.22,1760.22,1322.41,6.84,179.85,828.26,2094.55,6.91,90.06,814.4,2094.56,6.97,90.06,737.23,2094.65,8.13,90.06,594.21,2094.8,8.25,90.06,1381.12,1909.27,7.88,152.55,357.65,2093.58,6.23,89.67,1d,2,1568022227
38968,38968,1234.3334209616378,1568023507.538735,1234.3334209616378,-103.82268151437815,594.4602763708441,77.54402837755873,658.9351170683896,0.994252622127533,607.1852379850412,110.14790271512905,697.2819440992406,0.9846157431602478,612.4786345300238,51.932714258531675,700.9995551436203,0.9899234771728516,570.505079402717,152.50072598645522,718.148729266563,0.6515847444534302,610.2373719346444,4.865472285228732,725.5981670409227,0.6072229146957397,439.9358664431768,211.5138189778398,581.8228325433827,0.9621762037277222,441.5776145237484,-56.48592930909157,591.3419206491567,0.9737141132354736,513.778845815557,261.52233404936766,340.4268150042316,0.9116514921188354,537.2379636595031,-139.94559185822635,362.5262741514383,0.4393059611320496,719.5640608615556,291.07826187011136,185.65912042516902,0.9197642803192142,764.5767500731504,-148.40133519930848,180.7274087650873,0.6661809086799622,411.45714422135217,154.12693332167643,163.70272764964213,0.05712071061134338,347.0756834611383,-29.03988866981955,146.6380536149682,0.7582715749740601,723.5952509441728,198.7981804357217,53.72319482297468,0.08312392234802246,767.8102577693387,-20.050304916996513,52.54335505441486,0.372596800327301,460.2228676148287,204.88675983243488,-546.5154151247001,0.006687641143798828,587.2070469006079,-47.347924012702805,-419.24389820023805,0.002544611692428589,1208.119447941682,2100.3066579038364,6.2433420961637776,269.1233420961637,1629.0739993084474,2094.45,7.520078865474006,90.57,1614.7206572122836,2094.5966579038363,7.506605326853551,90.57,1600.3073151161193,2094.74,7.486657903836223,90.57,1585.0739993084474,2094.896657903836,7.493420961637786,90.57,1429.2839993084472,2096.456657903836,7.606631615344887,90.57,1400.9840255969384,2096.736657903836,7.8400262884913365,90.57,1377.7473676931022,2096.9466579038362,7.956736769310227,90.22,1760.3,1292.252737460863,6.75,179.85,1760.26,1307.212737460863,6.760078865474006,179.85,1362.1540518854301,2097.006657903836,8.240026288491336,90.22,1760.2233420961636,1322.182737460863,6.829973711508664,179.85,828.4939467314646,2094.55,6.950105153965343,90.06,814.6306046353008,2094.56,6.963315807672442,90.06,737.500709789266,2094.646657903836,8.116631615344886,90.06,594.4840518854297,2094.8,8.229947423017329,90.06,1381.2937890005164,1909.0761584225006,7.886684192327558,151.74789692069314,357.85720996215423,2093.583342096164,6.236684192327558,89.67,1d,2,1568022227
38969,38969,1234.367048441874,1568023507.5725875,1234.367048441874,-103.68569864901501,589.5426209438011,77.43061314798929,657.2153781239939,0.9935232400894164,607.4120780053154,109.33932838712471,696.291590267325,0.9768908023834229,616.0093295874817,53.806747392021215,701.4427005575274,0.9860348701477052,573.0964313701187,151.20875755704932,720.2572034447949,0.5647103786468506,618.0502234276628,7.864707236340133,726.0369629797151,0.5959339737892151,433.81379788717874,211.574604306532,583.8383550843798,0.9659374952316284,445.21144537027664,-64.8146161336395,582.8772891542097,0.9589325189590454,509.16411131938276,259.91363343549176,338.49016284732164,0.8883986473083496,549.6682962762494,-141.9591530214712,347.2300190081098,0.2392667233943939,720.4111440425484,288.4964416861743,190.32625226232122,0.9249462485313416,761.1672576174099,-151.95694584017397,171.653017060593,0.5209516882896423,395.81683776004684,161.1857133578154,159.83140167876118,0.17866411805152893,351.24655377241584,-34.281337156958195,136.14115878818842,0.3637439012527466,671.6611188841578,196.74256606560797,27.08480519339645,0.07531750202178955,739.5571643293069,-23.204480672367055,34.47923900254699,0.36100584268569946,499.95664293492484,192.77006457534625,-504.7506323491524,0.011229425668716429,683.0499521013791,-38.54533869193489,-313.76389317126143,0.002498209476470948,1207.9075948161942,2100.3032951558125,6.246704844187392,269.1267048441874,1629.3295681582415,2094.45,7.550343597686537,90.57,1614.9728633140546,2094.5932951558125,7.483066090688249,90.57,1600.5561584698673,2094.74,7.483295155812608,90.57,1585.3295681582415,2094.8932951558127,7.527048441873929,90.57,1429.539568158242,2096.4532951558126,7.5931806232504275,90.57,1401.249682690804,2096.7332951558124,7.850114532562178,90.57,1378.0163875349915,2096.9432951558124,7.983638753499143,90.22,1760.3,1292.0240705952572,6.75,179.85,1760.26,1306.9840705952572,6.790343597686538,179.85,1362.4297972233662,2097.003295155813,8.25011453256218,90.22,1760.2267048441877,1321.9540705952572,6.819885467437822,179.85,828.7293390931177,2094.55,6.990458130248716,90.06,814.86263424893,2094.56,6.956590311625214,90.06,737.7730923791788,2094.6432951558127,8.103180623250427,90.06,594.7597972233663,2094.8,8.209770934875642,90.06,1381.4686518977444,1908.8811190371314,7.8934096883747875,150.94083739502568,358.0657003396184,2093.586704844188,6.243409688374786,89.67,1d,2,1568022227
38970,38970,1234.4,1568023507.6057596,1234.4,-76.16297545962064,585.0962305431606,77.70479942053906,652.7570811637163,0.9935204982757568,603.3040499800456,108.89662076064792,696.1355990926896,0.9897888898849488,621.8821182291431,50.62921974250038,704.7435762659662,0.9885640740394592,576.3880482309869,150.09131719039215,722.1556838065526,0.5528514385223389,617.6954124160425,2.52451426891842,730.1011668227078,0.5157066583633423,429.56725118025497,210.87647250214886,581.2341655151918,0.9538335800170898,434.7307048913542,-61.23188467346219,585.3400082131117,0.9790757894515992,518.4733147850424,257.6241579510926,338.6662310080281,0.9024661183357242,540.0219688753856,-142.18626186372842,357.0987150521668,0.3613418936729431,722.5838702278712,287.0624525019912,190.57327381453914,0.93354594707489,755.6391705047313,-151.86898026869468,170.98054246756192,0.7261837720870972,380.75959581428674,157.0361257313431,153.76945485201998,0.03723892569541931,354.96760715447,-38.968263127736265,127.7499609007775,0.42226243019104,662.1899566222285,195.69808366966274,26.92151807916582,0.08270803093910217,608.9691284304413,-32.82114508983491,-43.10630700523115,0.43021199107170105,516.2880291117158,201.4865020359125,-489.9617020291698,0.02286556363105774,758.4501130991928,-32.26877087109413,-230.7043463096832,0.00318831205368042,1207.7,2100.3,6.25,269.13,1629.58,2094.45,7.58,90.57,1615.22,2094.59,7.46,90.57,1600.8,2094.74,7.48,90.57,1585.58,2094.89,7.56,90.57,1429.79,2096.45,7.58,90.57,1401.51,2096.73,7.86,90.57,1378.28,2096.94,8.01,90.22,1760.3,1291.8,6.75,179.85,1760.26,1306.76,6.82,179.85,1362.7,2097.0,8.26,90.22,1760.23,1321.73,6.81,179.85,828.96,2094.55,7.03,90.06,815.09,2094.56,6.95,90.06,738.04,2094.64,8.09,90.06,595.03,2094.8,8.19,90.06,1381.64,1908.69,7.9,150.15,358.27,2093.59,6.25,89.67,1d,2,1568022227
