,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-K_out.10_x,H_in-K_out.10_y,H_in-K_out.10_speed,H_in-K_out.10_angle,Q_in-J_out.6_x,Q_in-J_out.6_y,Q_in-J_out.6_speed,Q_in-J_out.6_angle,Q_in-J_out.7_x,Q_in-J_out.7_y,Q_in-J_out.7_speed,Q_in-J_out.7_angle,K_in-H_out.9_x,K_in-H_out.9_y,K_in-H_out.9_speed,K_in-H_out.9_angle,Q_in-J_out.8_x,Q_in-J_out.8_y,Q_in-J_out.8_speed,Q_in-J_out.8_angle,K_in-H_out.10_x,K_in-H_out.10_y,K_in-H_out.10_speed,K_in-H_out.10_angle,Q_in-J_out.9_x,Q_in-J_out.9_y,Q_in-J_out.9_speed,Q_in-J_out.9_angle,K_in-H_out.11_x,K_in-H_out.11_y,K_in-H_out.11_speed,K_in-H_out.11_angle,K_in-H_out.12_x,K_in-H_out.12_y,K_in-H_out.12_speed,K_in-H_out.12_angle,K_in-H_out.13_x,K_in-H_out.13_y,K_in-H_out.13_speed,K_in-H_out.13_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,H_in-K_out.11_x,H_in-K_out.11_y,H_in-K_out.11_speed,H_in-K_out.11_angle,K_in-H_out.14_x,K_in-H_out.14_y,K_in-H_out.14_speed,K_in-H_out.14_angle,K_in-H_out.15_x,K_in-H_out.15_y,K_in-H_out.15_speed,K_in-H_out.15_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,Q_in-J_out.14_x,Q_in-J_out.14_y,Q_in-J_out.14_speed,Q_in-J_out.14_angle,scenario,participant_id,source_file
24785,24785,811.4,1568027421.7570488,811.4,-105.29486784114776,653.4677030544657,113.25710470332592,641.1712027482106,0.0016323626041412356,631.5162027097931,144.10593799042914,637.1632099054398,0.9087157845497132,652.3989902353992,99.46070690468729,638.7137368592879,0.7614634037017822,608.4393859128818,179.56560513576198,657.4550565172848,0.0714954137802124,640.5876788842728,55.75465795521549,676.1880481003998,0.2981773018836975,453.2828455166571,218.4440257021664,547.9704405676341,0.06091886758804321,467.2668003704992,-36.22876302139122,550.6150574229873,0.7536332607269287,543.8554897295658,281.17371324620626,355.9462193435696,0.6966434717178345,546.5477578502225,-140.12900294753078,339.9163836097089,0.9804362654685974,714.312258816999,318.216570392798,180.17465770644313,0.7855964899063109,765.7102108037375,-154.23076659873962,186.62755247263192,0.8707376718521118,399.8914557360969,177.33033440179432,169.89156675615644,0.2968842089176178,397.49704524055375,-16.483088116898927,101.91373931240696,0.3723617196083069,655.8038202352681,210.7419843254181,54.69187262753812,0.8053647875785828,829.0010841434586,-15.407734591790154,95.45129856596088,0.4452746510505676,485.1278900141529,235.93560731879364,-453.52808745861824,0.006565183401107788,410.64433562739146,-60.07580106498514,-618.7687358252515,0.08586946129798889,1764.46,1239.17,5.76,0.02,1570.11,869.44,7.16,268.61,1761.12,976.74,8.31,179.85,1761.08,992.75,8.33,179.85,2765.96,595.39,9.35,138.41,1761.04,1008.15,8.26,179.85,2645.33,816.43,9.03,173.91,1760.29,1297.0,7.83,179.85,2589.82,874.62,8.48,89.83,2574.37,874.57,8.5,89.83,2557.71,874.52,8.53,89.83,1760.25,1312.55,7.78,179.85,1760.21,1327.46,7.93,179.85,1952.25,875.45,7.71,269.55,2138.98,873.31,8.14,89.83,2123.94,873.27,8.13,89.83,1757.02,1706.6,8.89,179.28,1751.44,1721.18,8.88,128.66,1742.87,1734.22,9.05,178.14,2a,3,1568026605
24786,24786,811.4332354460022,1568027421.7903461,811.4332354460022,-89.7828239758159,655.8633160030056,111.04468829060131,644.3669464487467,0.002849996089935303,624.8823283744496,144.8744595132776,635.1438076736432,0.9497534036636353,655.8615915405219,95.76076543914408,640.6677213611101,0.9045754671096802,605.6313283749238,180.14418900143727,657.2564809802379,0.09220734238624573,635.1615974555318,51.13852480468297,675.8425945407569,0.4636975526809693,452.0155722946309,212.67068958221057,547.5780662328547,0.07437324523925781,467.4849341336071,-37.225643527279466,549.3148866280724,0.7841368913650513,532.0668338924967,281.7400838764245,354.5388627689814,0.6390160322189331,550.5730174611085,-139.7144411486727,341.4980378514518,0.976446807384491,721.7314261768123,317.64613122321754,189.33444516915958,0.7677605748176575,760.7379051837057,-154.6628671103698,180.78454332597505,0.8447933197021484,399.9620098241748,178.08880597280393,171.46195607282033,0.3350512981414795,382.8398333509567,-19.13814311320976,117.74932649951248,0.6532174348831177,668.5870733866024,211.40818568923748,38.9162459100026,0.7649625539779663,818.0703151861858,-15.317482541126823,92.35908282038778,0.4785765111446381,555.8959807966643,228.8483455593177,-417.32471369478907,0.004035294055938721,392.69842416247633,-69.89857708420077,-636.9525457793378,0.07001128792762756,1764.46,1239.3627655868122,5.769970633800626,119.63104661691307,1569.8707047887851,869.4333529107996,7.1865883568016695,268.61,1761.1233235446002,976.4608222535823,8.319970633800626,179.85,1761.08,992.4708222535824,8.336647089200419,179.85,2766.1627362206127,595.1606754225858,9.313441009397703,138.41,1761.04,1007.8741457981827,8.283264812201459,179.85,2645.363235446002,816.1308809859813,9.039970633800626,173.91,1760.29,1296.744087065784,7.803411643198331,179.85,2590.1025012910172,874.62,8.513235446002088,89.83,2574.652501291017,874.57,8.493352910799581,89.83,2557.9925012910176,874.5233235446002,8.526676455399791,89.83,1760.25,1312.2874399765835,7.796617723001043,179.85,1760.21,1327.204087065784,7.863529107995824,179.85,1951.994087065784,875.4466764553998,7.71,269.55,2139.252530657217,873.3133235446002,8.16658835680167,89.83,2124.212530657217,873.27,8.13,89.83,1757.0233235445999,1706.3075280751816,8.880029366199373,179.28,1751.712530657217,1721.0636759389927,8.896617723001045,127.5266712913288,1742.9397944366044,1733.9308516197818,9.030058732398748,176.46825706609502,2a,3,1568026605
24787,24787,811.4665325277062,1568027421.8237052,811.4665325277062,,660.007428069189,109.48907474684741,650.6946868457953,0.002053588628768921,643.6573544161332,138.23407264636475,642.5150381435358,0.9042466282844543,658.1231572835393,93.71734129816687,640.7159000209889,0.7878859639167786,604.9612812707896,178.0573488153995,654.103080168499,0.073163241147995,636.7959872616091,52.91508496981774,674.2432873258052,0.323354572057724,446.2340872476009,224.7660124671831,544.0349869836889,0.7004165649414062,462.9031446153759,-34.52388617463569,549.4355058662172,0.6791853904724121,542.4770393264953,279.83798396728736,353.2833985687011,0.475737452507019,559.5309327216316,-138.62001284378513,342.98907114479255,0.9823569059371948,714.2693932047987,316.7681215223784,183.1870558660025,0.768288254737854,768.1259354444172,-158.1333649412918,188.07984898407986,0.8895816206932068,403.88425276102737,177.92416072204648,163.92129769574169,0.37146511673927307,377.4763022595909,-22.75267920592113,120.17431892861907,0.6937856674194336,663.3357804947844,211.032919138318,32.00642075049018,0.7604957222938538,830.8895939498938,-14.961955010000658,98.35808220080808,0.3426784873008728,567.6544753834219,224.5328516961985,-416.2229354506735,0.017200171947479248,409.57931282999175,-66.38196796216977,-619.2046191340087,0.01852494478225708,1764.46,1239.555888660697,5.779959758311911,239.4639139624572,1569.6309658005139,869.4266934944587,7.213226022165098,268.61,1761.1266532527707,976.1811267672664,8.329959758311912,179.85,1761.08,992.1911267672664,8.343306505541277,179.85,2766.3658484190087,594.9309255588262,9.276814219522992,138.41,1761.04,1007.5977800200372,8.30657276939446,179.85,2645.3965325277068,815.8312072506427,9.04995975831191,173.91,1760.29,1296.487699536661,7.776773977834901,179.85,2590.385526485504,874.62,8.54653252770637,89.83,2574.935526485504,874.57,8.486693494458724,89.83,2558.275526485504,874.5266532527706,8.523346747229363,89.83,1760.25,1312.0243930311196,7.813266263853184,179.85,1760.21,1326.947699536661,7.796934944587259,179.85,1951.737699536661,875.4433467472293,7.71,269.55,2139.525566727192,873.3166532527707,8.193226022165097,89.83,2124.4855667271922,873.27,8.13,89.83,1757.0266532527703,1706.014513756184,8.87004024168809,179.28,1751.9855667271925,1720.9471361530277,8.913266263853185,126.39124080521276,1743.0097183081832,1733.6411670089544,9.01008048337618,174.79341385636954,2a,3,1568026605
24788,24788,811.5,1568027421.857235,811.5,,662.1207141202823,103.67323315828469,653.0130478065469,0.0037860274314880367,649.3790980734614,130.66342192637566,643.3030182495672,0.906136155128479,652.9930518782538,85.5417884190645,637.8810333298426,0.8086110949516296,609.6362319873798,171.86094948425506,656.5216682804155,0.05325654149055481,636.9989999908428,48.22882590904896,674.2499894558155,0.34098365902900696,438.01737879765113,238.36759709587884,553.2711806401837,0.8643142580986023,462.9134132950364,-35.9765257002204,547.5639033766006,0.7125813364982605,549.8839943848765,278.56475301693195,359.29509864412285,0.5459364652633667,553.1107179308134,-139.83939162899344,338.3580599657744,0.972128450870514,694.8963686900718,316.6610950188732,175.20602319343627,0.7673109769821167,771.3465615847173,-159.57949448445606,191.9821437189581,0.8929312825202942,405.93702057551207,178.31947949694847,159.88724265506147,0.5351980328559875,388.4271232435427,-22.014158203778933,126.892026978261,0.7549578547477722,702.3163804248163,207.2855652378581,41.77104259158989,0.5229719281196594,839.4058706801312,-14.627733666640351,103.62440628758192,0.3375806212425232,553.1319301264003,218.61138478904925,-429.2110966929215,0.11670354008674624,592.6670862375098,-46.501527241896156,-421.24645570923684,0.007205277681350708,1764.46,1239.75,5.79,359.91,1569.39,869.42,7.24,268.61,1761.13,975.9,8.34,179.85,1761.08,991.91,8.35,179.85,2766.57,594.7,9.24,138.41,1761.04,1007.32,8.33,179.85,2645.43,815.53,9.06,173.91,1760.29,1296.23,7.75,179.85,2590.67,874.62,8.58,89.83,2575.22,874.57,8.48,89.83,2558.56,874.53,8.52,89.83,1760.25,1311.76,7.83,179.85,1760.21,1326.69,7.73,179.85,1951.48,875.44,7.71,269.55,2139.8,873.32,8.22,89.83,2124.76,873.27,8.13,89.83,1757.03,1705.72,8.86,179.28,1752.26,1720.83,8.93,125.25,1743.08,1733.35,8.99,173.11,2a,3,1568026605
24789,24789,811.5246437706486,1568027421.8904738,811.5246437706486,-89.78713132083129,656.39635498782,101.19655841079417,645.5622784740473,0.0020554959774017334,637.9140917532075,124.89868857737764,637.6070187622101,0.8591799139976501,649.6834486011219,77.60639176612848,634.9649649359244,0.758769154548645,618.7901382352409,164.25017136011635,658.7884983891538,0.09184429049491882,632.2925027573809,42.952580206985466,673.1607177390379,0.3350315988063812,435.86891364185584,238.33608551339103,556.7866968559125,0.8337885141372681,463.59499646461,-41.015622845387725,545.741316833052,0.31883370876312256,545.1074553475199,275.1224963655239,358.9614971184171,0.4709234833717346,557.5013181081251,-141.58182244172556,336.51461983417227,0.9794346690177916,698.4824716480114,314.6936004759079,177.66042166770583,0.7207460999488831,766.0028741897559,-160.4939333979239,187.80240026437184,0.8646444082260132,383.7288622129944,175.7125174922394,136.6841578654782,0.6291950941085815,386.9562898453106,-26.57625665210808,122.7668182006332,0.7722035646438599,677.3158750711642,194.49119928655315,10.970668975814332,0.7131478190422058,844.9358138551877,-23.639558873447104,108.10619002778999,0.6558265686035156,547.6674643018996,206.4576322845934,-444.69916232967216,0.077668696641922,420.85999577901185,-88.38842660540342,-610.2154391269277,0.021660715341568,1764.4575356229352,1239.8904694926966,5.785071245870283,359.88535622935143,1569.2125648513302,869.4175356229351,7.235071245870283,268.61,1761.13,975.6979210806816,8.322749360545988,179.85,1761.0824643770648,991.7054567036168,8.34753562293514,179.85,2766.7203270009563,594.5299579825247,9.257250639454012,138.41,1761.0424643770648,1007.1154567036168,8.325071245870282,179.85,2645.452179393584,815.3082060641626,9.072321885324293,173.91,1760.29,1296.0377785889411,7.754928754129717,179.85,2590.8819364275782,874.62,8.577535622935141,89.83,2575.431936427577,874.5724643770649,8.50464377064859,89.83,2558.767007673448,874.53,8.505213737610848,89.83,1760.25,1311.567778588941,7.825071245870283,179.85,1760.21,1326.4977785889412,7.7472506394540135,179.85,1951.2927073430708,875.4375356229352,7.6902849834811295,269.55,2140.0020789193186,873.32,8.224928754129719,89.83,2124.9620789193186,873.2724643770648,8.15464377064859,89.83,1757.0324643770648,1705.5006704412274,8.86,179.28,1752.4620789193186,1720.7437468027301,8.92753562293514,124.46632809337487,1743.1588600660755,1733.1429923265518,8.98753562293514,171.9517427795163,2a,3,1568026605
24790,24790,811.5491544358753,1568027421.9235332,811.5491544358753,,659.8594199752513,87.47238198448721,647.7686168869392,0.0008671879768371582,645.6988627416715,118.37599929638232,641.9954509047362,0.6385431885719299,656.4336874699508,71.53888860985009,643.5212334264068,0.6708563566207886,607.024773097685,163.50193276470878,656.5732192731722,0.08199042081832886,627.738529603803,34.848856788284,672.4670829807202,0.3673652410507202,431.049469523738,218.32077926076767,545.6576742537269,0.8648490905761719,460.35504744896286,-43.8343648060431,552.2331231385182,0.7905337810516357,546.0805072533184,280.588749015124,343.12015922910825,0.9482909440994264,550.4247414034849,-141.81531120220768,343.1024914568731,0.9684213995933532,695.541653200802,318.35985054683283,175.6077057166975,0.8381685614585876,765.6333138535257,-161.79573804435782,186.7949473844841,0.8599066138267517,386.15932540443276,167.90028693971175,141.36025337080147,0.7784737348556519,399.8692494281578,-24.83825569875895,132.06020470862927,0.7695459723472595,720.7797830295685,200.73058969713617,18.930538814053193,0.8212663531303406,837.4931542278717,-19.06420640255518,101.7435295649411,0.3212166428565979,531.9881536743382,200.1250350989055,-474.39325102734637,0.160164475440979,346.92027118789093,-104.5511481193547,-691.0243430167392,0.02612873911857605,1764.4550845564124,1240.0301802844886,5.780169112824972,359.86084556412493,1569.0360880616988,869.4150845564125,7.2301691128249725,268.61,1761.13,975.496933625824,8.305591894887401,179.85,1761.0849154435875,991.5020181822364,8.345084556412486,179.85,2766.8698420588385,594.3608343924616,9.274408105112599,138.41,1761.0449154435876,1006.9120181822364,8.320169112824972,179.85,2645.474238992288,815.0876100771237,9.084577217937571,173.91,1760.29,1295.846595400174,7.759830887175027,179.85,2591.0927281485265,874.62,8.575084556412486,89.83,2575.642728148526,874.5749154435875,8.529154435875142,89.83,2558.972897261351,874.53,8.490507338474915,89.83,1760.25,1311.376595400174,7.8201691128249715,179.85,1760.21,1326.306595400174,7.764408105112599,179.85,1951.106426287349,875.4350845564123,7.6706764512998875,269.55,2140.203066374176,873.32,8.229830887175027,89.83,2125.163066374176,873.2749154435875,8.179154435875143,89.83,1757.0349154435876,1705.2825255207113,8.86,179.28,1752.6630663741764,1720.657959474437,8.925084556412486,123.6868889391705,1743.2372941948004,1732.9371027386487,8.985084556412486,170.79974151386838,2a,3,1568026605
24791,24791,811.5742871435717,1568027421.9574316,811.5742871435717,,661.0334736068339,79.73796773708985,653.3254032916873,0.0017841458320617676,652.3071634271253,112.542232591437,650.6779988979204,0.8174628019332886,661.7890540269796,68.38389819759593,655.2898453978934,0.8519954681396484,604.5563717750414,162.01457417048175,665.4560775133277,0.3966782093048096,632.1807645458322,31.84343662304186,677.8453376224614,0.4141457080841065,432.6008605537442,213.35599076128145,549.9391167305014,0.8111962676048279,464.39412028939904,-44.16681805368713,551.670292350566,0.3497902750968933,544.774745102094,274.880732571894,344.55485820987985,0.8478115797042847,565.0386573189069,-141.18868380166026,342.1984435961992,0.9719698429107666,702.8538594434409,318.1732029633925,179.92919465175652,0.8807860612869263,773.971877570376,-160.2556456876481,188.954116207836,0.7770249247550964,384.9669092165988,166.66493155049187,134.0988646868012,0.6623128056526184,398.81674357033205,-28.517332681206355,139.07700433575303,0.5742225646972656,722.8629356314187,193.7194317619521,26.32746986730439,0.6686893105506897,790.4988086627243,-38.46066466720493,77.98312659439762,0.3906694650650024,516.6447809878483,199.3018945076318,-495.9072818309087,0.07432091236114502,591.955109554857,-59.521121628731784,-420.8024597703934,0.013562500476837158,1764.4525712856428,1240.1734367183594,5.775142571285636,359.83571285642824,1568.855132566283,869.4125712856427,7.2251425712856365,268.61,1761.13,975.2908454227112,8.287998999499726,179.85,1761.0874287143572,991.293416708354,8.342571285642817,179.85,2767.023151575788,594.1874187093545,9.292001000500274,138.41,1761.0474287143572,1006.703416708354,8.315142571285635,179.85,2645.4968584292146,814.8614157078537,9.09714357178591,173.91,1760.29,1295.65056028014,7.764857428714364,179.85,2591.308869434718,874.62,8.572571285642818,89.83,2575.8588694347172,874.5774287143573,8.55428714357182,89.83,2559.1840120060033,874.53,8.475427713856908,89.83,1760.25,1311.1805602801398,7.8151425712856355,179.85,1760.21,1326.1105602801401,7.782001000500274,179.85,1950.9154177088544,875.4325712856427,7.650570285142543,269.55,2140.409154577289,873.32,8.234857428714365,89.83,2125.369154577289,873.2774287143571,8.20428714357182,89.83,1757.0374287143572,1705.0588444222108,8.86,179.28,1752.8691545772888,1720.5699949974987,8.922571285642817,122.88766883441612,1743.3177188594295,1732.7259879939966,8.982571285642818,169.61850425212444,2a,3,1568026605
24792,24792,811.6,1568027421.9921124,811.6,,661.4513730664486,75.28629143103078,661.0730834173529,0.003450930118560791,646.2622762689732,112.15074776992456,652.2313188081769,0.8146378993988037,661.2874308523699,68.16641607778993,659.1059307994171,0.8957161903381348,595.0215023559432,162.8101941794618,662.7456248632133,0.36100119352340704,633.8424774497337,27.22268487922388,678.7235694025021,0.47350597381591797,442.0108150501374,206.80039704419846,543.9474056245575,0.06311273574829103,462.3226084264845,-45.3279382121525,550.5594970724662,0.3638489842414856,542.7256089529635,275.3748322592208,348.69475882249674,0.4523828029632568,569.3409378044853,-145.72767110573787,335.2538671060362,0.9716944694519044,707.7331680432318,318.8069348899904,179.43413989375182,0.724248468875885,761.0141510178139,-159.0294160652285,182.64861261874088,0.8327435255050659,389.7591732728324,173.62592156711952,122.81802848896864,0.3605809807777405,398.6543160641504,-30.17788749912104,140.47479699721012,0.5279728770256042,713.8828623648549,194.43068924067887,0.5314627676945065,0.5633854269981384,799.603971641723,-47.06179622865736,89.99299312261934,0.465880036354065,492.50590389707605,197.894836295062,-520.5409467641422,0.11122715473175047,537.6568813683426,-58.445964987678316,-479.747966864611,0.014906197786331175,1764.45,1240.32,5.77,359.81,1568.67,869.41,7.22,268.61,1761.13,975.08,8.27,179.85,1761.09,991.08,8.34,179.85,,,,,1761.05,1006.49,8.31,179.85,2645.52,814.63,9.11,173.91,1760.29,1295.45,7.77,179.85,2591.53,874.62,8.57,89.83,2576.08,874.58,8.58,89.83,2559.4,874.53,8.46,89.83,1760.25,1310.98,7.81,179.85,1760.21,1325.91,7.8,179.85,1950.72,875.43,7.63,269.55,2140.62,873.32,8.24,89.83,2125.58,873.28,8.23,89.83,1757.04,1704.83,8.86,179.28,1753.08,1720.48,8.92,122.07,1743.4,1732.51,8.98,168.41,2a,3,1568026605
24793,24793,811.6320383095108,1568027422.0237277,811.6320383095108,-77.28912524914787,649.9916138005133,73.83536080975695,646.5325327383734,0.0012016594409942627,647.7718491218033,107.213999340282,650.5505939409796,0.9247004985809326,653.7558114424343,58.59094212673813,651.426322287844,0.9497887492179872,581.938110395482,160.92453912394984,654.3179291442732,0.10445192456245422,635.6269664090785,24.034319958039518,671.9222649085099,0.09126424789428712,442.89668852267687,213.09255922498087,551.5550584683384,0.850124180316925,458.848247549794,-46.282838350705525,547.1985670045997,0.5356640219688416,533.8532681317207,281.42069033294763,347.4438516207444,0.7993917465209961,572.1937523300239,-143.80850526816388,340.2094400409229,0.9679906368255616,694.9901699506447,321.79541737217187,171.57341515008716,0.8277655839920044,776.8160742356332,-152.1244060773841,195.19437061224644,0.7886691093444824,389.06887219631795,174.05805365988945,134.6583010850776,0.6462650895118713,405.1561272693338,-27.12713824794263,147.05432927979678,0.4336903095245361,708.351791560312,193.138698417513,5.7215184686093625,0.617702305316925,767.8827534018857,-48.94540213360594,73.80142549932415,0.4325695931911469,459.96637389326315,205.83608922504945,-545.8884669550491,0.0727182924747467,555.176745693358,-53.94932225370361,-461.3193421361984,0.01457977294921875,1764.45,1240.5058221951615,5.766796169048934,359.80038850714686,1568.4393241715234,869.4035923380977,7.2039808452446765,268.61,1761.13,974.8108782001107,8.289222985706388,179.85,1761.09,990.8140820310615,8.30475785953829,179.85,,,,,1761.05,1006.2240820310616,8.313203830951066,179.85,2645.5520383095104,814.3448590453552,9.07475785953829,173.91,1760.293203830951,1295.2033050167681,7.766796169048934,179.85,2591.805529461792,874.62,8.566796169048933,89.83,2576.3523256308404,874.58,8.56718467619574,89.83,2559.6755294617915,874.53,8.485630647608517,89.83,1760.253203830951,1310.733305016768,7.7875731833425474,179.85,1760.213203830951,1325.6568973548658,7.822426816657453,179.85,1950.4733050167679,875.43,7.63,269.55,2140.8859179689384,873.32,8.233592338097871,89.83,2125.842714137987,873.28,8.23,89.83,1757.043203830951,1704.5448590453552,8.863203830951065,179.28,1753.333102645134,1720.3614582548105,8.887961690489352,121.26583843128277,1743.5057264213851,1732.2408782001105,9.002426816657453,167.4744813622891,2a,3,1568026605
24794,24794,811.6659186454438,1568027422.0571606,811.6659186454438,-74.68022983970275,656.5109836493425,69.35853084003902,652.6293371096548,0.003308713436126709,647.8530245116377,100.06072628746857,647.1354170247547,0.94960355758667,657.4932093779931,55.01814331377602,650.1540886095099,0.9328309297561646,572.4466623128787,157.85675592778722,646.9421692560674,0.14520159363746646,637.0839172033087,20.18235416021864,667.4912486588241,0.11793571710586548,449.9504334527038,215.16716144119863,537.847191658713,0.22162532806396484,461.03107120400256,-54.08371442489555,548.4600536871234,0.5183684229850769,541.7104250266177,282.9514125033254,346.88612732087125,0.629810631275177,560.2233271672012,-143.26684530837946,344.5428968946859,0.9580239057540894,714.9715214524275,320.52110057270716,181.45372991901212,0.8994251489639282,767.2297045128715,-153.76380460875913,187.9069668217173,0.8013246059417725,399.53488146098465,179.24685883407872,123.44229571808495,0.21033793687820435,412.36713786654974,-27.539598822146722,157.0816855546577,0.4042279124259949,695.8615124019542,194.8014233948689,-8.00715564322769,0.325745165348053,689.201262576483,-56.1879035884356,36.94156840819596,0.4604789316654205,424.9543529922092,213.0006731807172,-584.094469593651,0.011368900537490843,661.0143771902366,-43.103573987604186,-342.5993779997704,0.008346259593963623,1764.45,1240.7023281435734,5.763408135455627,359.79022440636686,1568.1953857528056,869.3968162709112,7.187040677278143,268.61,1761.13,974.5262833782728,8.30955118726623,179.85,1761.09,990.5328752428172,8.267489490011913,179.85,,,,,1761.05,1005.9428752428172,8.316591864544371,179.85,2645.585918645444,814.0433240555509,9.037489490011913,173.91,1760.2965918645443,1294.9424264300835,7.763408135455627,179.85,2592.096900350816,874.62,8.56340813545563,89.83,2576.6403084862714,874.58,8.553632541822513,89.83,2559.966900350816,874.53,8.512734916354972,89.83,1760.2565918645444,1310.4724264300835,7.763856948189399,179.85,1760.2165918645444,1325.3892427009946,7.846143051810602,179.85,1950.2124264300837,875.43,7.63,269.55,2141.1671247571826,873.32,8.226816270911257,89.83,2126.1205328926385,873.28,8.23,89.83,1757.0465918645443,1704.243324055551,8.866591864544368,179.28,1753.6007572990052,1720.2361010118582,8.854081354556287,120.41544199936274,1743.6175315299647,1731.956283378273,9.0261430518106,166.48517555304355,2a,3,1568026605
