,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-K_out.11_x,H_in-K_out.11_y,H_in-K_out.11_speed,H_in-K_out.11_angle,H_in-K_out.12_x,H_in-K_out.12_y,H_in-K_out.12_speed,H_in-K_out.12_angle,H_in-K_out.13_x,H_in-K_out.13_y,H_in-K_out.13_speed,H_in-K_out.13_angle,K_in-H_out.18_x,K_in-H_out.18_y,K_in-H_out.18_speed,K_in-H_out.18_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,K_in-H_out.19_x,K_in-H_out.19_y,K_in-H_out.19_speed,K_in-H_out.19_angle,K_in-H_out.20_x,K_in-H_out.20_y,K_in-H_out.20_speed,K_in-H_out.20_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,H_in-K_out.14_x,H_in-K_out.14_y,H_in-K_out.14_speed,H_in-K_out.14_angle,Q_in-J_out.14_x,Q_in-J_out.14_y,Q_in-J_out.14_speed,Q_in-J_out.14_angle,K_in-H_out.21_x,K_in-H_out.21_y,K_in-H_out.21_speed,K_in-H_out.21_angle,K_in-H_out.22_x,K_in-H_out.22_y,K_in-H_out.22_speed,K_in-H_out.22_angle,H_in-K_out.15_x,H_in-K_out.15_y,H_in-K_out.15_speed,H_in-K_out.15_angle,K_in-H_out.23_x,K_in-H_out.23_y,K_in-H_out.23_speed,K_in-H_out.23_angle,H_in-K_out.16_x,H_in-K_out.16_y,H_in-K_out.16_speed,H_in-K_out.16_angle,Q_in-J_out.15_x,Q_in-J_out.15_y,Q_in-J_out.15_speed,Q_in-J_out.15_angle,K_in-H_out.24_x,K_in-H_out.24_y,K_in-H_out.24_speed,K_in-H_out.24_angle,K_in-H_out.25_x,K_in-H_out.25_y,K_in-H_out.25_speed,K_in-H_out.25_angle,H_in-K_out.17_x,H_in-K_out.17_y,H_in-K_out.17_speed,H_in-K_out.17_angle,K_in-H_out.26_x,K_in-H_out.26_y,K_in-H_out.26_speed,K_in-H_out.26_angle,scenario,participant_id,source_file
28091,28091,883.1,1569227079.2334626,883.1,-85.72384449691711,620.3409359632062,95.91736792376196,577.7849528598657,0.9968628883361816,636.6358811108347,121.79365896982205,613.66145723862,0.9869287014007568,648.3075805978348,66.40234605974909,615.9627669358329,0.9809097051620485,628.0925264933197,159.99592429954026,638.5286088309456,0.5660136342048645,613.1522319177128,14.941632801517846,645.5079038031448,0.7193422913551331,506.11474314879206,192.2828204835693,502.0085596592311,0.9428596496582032,490.16030145340636,-47.933005448722035,495.5205979686463,0.9650965332984924,459.6801539536465,246.2042428578001,257.2924810478009,0.7346815466880798,555.7462598984002,-134.55218263892928,291.45573520918737,0.17162907123565674,998.9771555183136,205.2403514160107,371.6205459008933,0.03435415029525757,749.0008356614521,-164.11174296624128,139.35790162339762,0.9268120527267456,305.09159313973333,163.20602270584422,46.36373084204976,0.37126147747039795,399.9335037991262,4.642335008622472,90.10707122856961,0.09815052151679993,401.946031660792,170.47887174265352,-185.72265165277668,0.8276718854904175,576.5538088410393,-7.094251306251397,-26.595221316824563,0.33282285928726196,333.2935786347825,209.0403554955917,-628.4523511031098,0.012504994869232178,853.1485001748127,-50.843491181136635,-44.430573547728606,0.03815433382987976,1764.52,1266.65,4.61,2.49,1398.33,797.81,7.17,181.84,1398.78,811.88,7.06,181.84,1399.23,826.09,7.12,181.84,2659.87,743.66,7.09,166.56,1760.4,720.05,8.85,180.37,2656.41,758.39,6.98,166.91,2653.29,771.82,7.13,166.91,1760.55,742.73,9.38,180.37,1501.77,867.78,8.16,268.61,1760.89,1067.87,8.42,179.85,2564.5,874.54,7.82,89.83,2549.86,874.5,7.84,89.83,1619.0,870.66,9.08,268.68,2306.67,873.8,6.89,89.83,1794.05,874.21,8.23,269.55,1760.26,1308.84,8.28,179.85,2249.37,873.63,8.37,89.83,2129.31,873.29,7.65,89.83,2224.61,876.86,8.07,269.83,1905.46,871.78,7.04,89.55,2a,27,1569226154
28092,28092,883.1333267480388,1569227079.2668447,883.1333267480388,-83.63044375487978,624.0209090183884,95.5465197291708,577.624943704472,0.9966629147529602,633.7288544838933,120.33637835939442,611.3119777831832,0.9871361255645752,644.0334152898201,65.62441038350259,613.9343117297018,0.9822742342948914,626.3156007333813,159.3645068401213,636.0163907143162,0.6286501884460449,612.8346016975178,15.654920684590097,645.6813349187232,0.677323579788208,492.76801148653306,192.8284647359944,489.456236060382,0.9495491981506348,493.4789801373557,-39.883930770060815,498.41831684515887,0.97337406873703,405.6501898873713,245.16501736637852,227.6263867001601,0.7725285291671753,568.7528881004447,-149.8831325658826,286.69819466237635,0.7942684888839722,629.5796830031412,238.17991620930906,141.35961475441619,0.01579272747039795,748.573768962187,-174.39809603863972,139.64008535325112,0.8812776803970337,296.8650095883614,157.00565793210112,36.22481251905619,0.08944883942604065,412.62245823621714,6.637444464782982,101.7862009192273,0.10821974277496338,403.4232930861936,169.20801098403274,-183.06656693469344,0.8684585094451904,557.7972856853218,-9.177240210545676,-2.6944359724991784,0.3591231107711792,299.5254436245762,215.9575475632497,-621.7871373875203,0.040589600801467896,630.0034181018406,-61.59904265144624,-195.7239631599577,0.0514165461063385,1764.52,1266.8033030409779,4.606667325196132,2.113407747162896,1398.3200019755884,797.5733800889253,7.166667325196133,181.84,1398.7700019755885,811.6433800889254,7.0733306992154725,181.84,1399.2233346503922,825.8533800889253,7.116667325196133,181.84,2659.9599822197038,743.4433761377486,7.0566732519613184,166.1534136739281,1760.4,719.7567246172597,8.84666732519613,180.37,2656.463322796862,758.1600454385332,7.023324772450287,166.91,2653.339990122058,771.5967107881409,7.0666791787265035,166.91,1760.55,742.4133958936325,9.389998024411604,180.37,1501.5000533408868,867.7733346503923,8.126673251961318,268.61,1760.89,1067.5933879912786,8.40000395117679,179.85,2564.7632813095056,874.5433326748039,7.82,89.83,2550.1232813095057,874.5,7.84,89.83,1618.7000592676516,870.6533346503923,9.066669300784527,268.68,2306.896621886663,873.8,6.880001975588394,89.83,1793.773387991279,874.2066673251961,8.253328723627078,269.55,1760.26,1308.5667206660828,8.246673251961317,179.85,2249.6532773583285,873.6333326748039,8.399994073234812,89.83,2129.563283285094,873.29,7.6533326748038695,89.83,2224.3433860156906,876.86,8.056669300784527,269.83,1905.689954561467,871.7833326748039,7.010005926765188,89.55,2a,27,1569226154
28093,28093,883.166962687562,1569227079.3005366,883.166962687562,-83.63044375487978,627.52055687591,95.91126819009588,579.5933070200063,0.9966671466827391,640.333197526033,119.2970032367002,614.172255908705,0.9847641587257384,645.2798459737065,65.94924568406306,613.8116478685986,0.9780582189559937,625.5364068663573,158.9409671200395,636.4555257574957,0.5957378745079039,616.8794804089138,16.767557858901604,644.3674580488139,0.6577733755111694,502.2622218547713,192.0106858452737,498.7372300885702,0.9372838735580444,493.726769518736,-38.65757980850147,498.6882500642488,0.975467562675476,418.598782202912,243.92297537783267,238.40283571856662,0.7590004205703735,585.7083957272084,-143.6548766745134,303.64019387400344,0.7573748826980591,614.0104760885031,259.99554852592604,135.21558411557618,0.02402469515800476,759.061250700061,-168.4880113316039,136.581523975898,0.9084596633911132,297.8077460283165,161.71523084117788,45.421049931891844,0.16625893115997314,404.74818955505447,8.95331772273428,101.24950999646099,0.0540066659450531,384.0073188514856,172.97876314697208,-186.4918345843132,0.8890901207923889,544.8402194659739,-1.0215862169860266,-30.142632601290497,0.2778959274291992,295.0026668500982,201.84628358221886,-605.7849555619002,0.060955852270126336,569.0866677002064,-69.12488607687108,-222.39862497128647,0.10608327388763428,1764.52,1266.958028362785,4.603303731243806,1.7333216305500894,1398.3099111937313,797.3345649183102,7.163303731243807,181.84,1398.7599111937313,811.4045649183103,7.0867850750247765,181.84,1399.2166074624874,825.6145649183103,7.113303731243807,181.84,2660.050799256417,743.2247425308473,7.023037312438062,165.74305521174438,1760.4,719.4607283494548,8.843303731243807,180.37,2656.517140300099,757.9279574558226,7.067051493830521,166.91,2653.390444031343,771.371349993335,7.0027708936323165,166.91,1760.55,742.0938544681616,9.400088806268583,180.37,1501.2276022307485,867.7666074624876,8.093037312438062,268.61,1760.89,1067.3142096932359,8.379822387462836,179.85,2565.0290052317387,874.5466962687561,7.82,89.83,2550.389005231739,874.5,7.84,89.83,1618.3973358119424,870.6466074624876,9.053214924975224,268.68,2307.125346275421,873.8,6.869911193731419,89.83,1793.4942096932361,874.2033037312439,8.276873881293358,269.55,1760.26,1308.2909059619922,8.213037312438061,179.85,2249.9391828442763,873.6366962687563,8.430266418805745,89.83,2129.818916425471,873.29,7.656696268756193,89.83,2224.0742984995045,876.86,8.043214924975224,269.83,1905.9220425441772,871.7866962687561,6.979733581194255,89.55,2a,27,1569226154
28094,28094,883.2,1569227079.333629,883.2,-83.63044375487978,623.9944230266058,91.00971882598438,578.1927020180874,0.9961788058280944,638.9370445817458,116.19252740624927,613.4438587002522,0.9883137941360474,645.0190555185352,62.713658949878855,614.156488454042,0.97078275680542,630.1146005696172,158.14731206259782,641.5739920439346,0.6331957578659058,614.266559120453,17.76493352150855,643.1143805304389,0.9334988594055176,495.13039374471487,197.26167093948703,495.51154947757215,0.9400547742843628,492.93565683990914,-37.97596941474664,500.739182891924,0.9685652256011964,536.1227641479653,254.36282290639184,309.0702703778672,0.9590768814086914,584.5849528356514,-141.16299174971385,304.621895510518,0.7701635360717773,657.5859579714738,294.4567066000039,131.78022972622398,0.6870642900466919,762.5147370568084,-157.58609665412268,141.01773518888623,0.8401159644126892,294.4966043643558,160.95938062824294,46.12076836773039,0.2360157072544098,411.74012890512665,10.771245038020382,104.3982307665972,0.09409663081169127,362.53272511249946,173.4931967936336,-188.48528363957504,0.8627741932868958,555.0322411995606,-3.367976077931239,0.4371084281569893,0.22551870346069336,257.95688905199245,204.36268093505922,-573.3779687630357,0.218224972486496,728.0446400957447,-62.79591130092771,-54.49620251807071,0.22021594643592834,1764.52,1267.11,4.6,1.36,1398.3,797.1,7.16,181.84,1398.75,811.17,7.1,181.84,1399.21,825.38,7.11,181.84,2660.14,743.01,6.99,165.34,1760.4,719.17,8.84,180.37,2656.57,757.7,7.11,166.91,2653.44,771.15,6.94,166.91,1760.55,741.78,9.41,180.37,1500.96,867.76,8.06,268.61,1760.89,1067.04,8.36,179.85,2565.29,874.55,7.82,89.83,2550.65,874.5,7.84,89.83,1618.1,870.64,9.04,268.68,2307.35,873.8,6.86,89.83,1793.22,874.2,8.3,269.55,1760.26,1308.02,8.18,179.85,2250.22,873.64,8.46,89.83,2130.07,873.29,7.66,89.83,2223.81,876.86,8.03,269.83,1906.15,871.79,6.95,89.55,2a,27,1569226154
28095,28095,883.2334182216299,1569227079.3671052,883.2334182216299,,615.8577298227708,96.12531234320095,575.9289494963336,0.99489825963974,638.7727395839828,117.77899832882856,613.8388614765997,0.9800945520401,642.5230321536844,66.34098877703293,613.4330299268435,0.9736430644989014,628.6672587137684,155.2211685554041,639.8229664931935,0.5853872895240784,624.309008177344,20.355743663683754,650.1594347211726,0.6560685038566589,497.3445634842632,197.68207275387851,500.4086344914724,0.937252402305603,499.9034069147409,-28.61715864248313,497.5312884147648,0.9822547435760498,547.3340465122263,255.4620048064659,333.30913406857263,0.9626352787017822,577.8776042851257,-136.3712925456895,310.68974282956765,0.6566035747528076,669.7640220004057,305.73941101003516,134.27628829051923,0.8061644434928894,762.4643581177089,-154.25550228142646,142.9079664281559,0.6784130930900574,332.57143062383665,159.38490617404707,109.67516194216014,0.6777094006538391,415.738982770476,10.4108012742298,111.54655038385741,0.048980146646499634,346.9209351069336,188.05951067879107,-202.66668546199384,0.23006227612495425,537.8794764751576,4.391097752025502,-33.81237622297968,0.26309290528297424,306.1872044429989,192.52288950921616,-554.6454700074628,0.05617356300354004,670.6676742493397,-66.45737755026889,-108.55144884452434,0.06900933384895325,1764.513316355674,1267.2637238194975,4.5966581778370115,0.9623231626043204,1398.293316355674,796.8593888042647,7.173367288651956,181.84,1398.743316355674,810.9327306264278,7.1,181.84,1399.2033163556741,825.1393888042646,7.120025466488968,181.84,2660.230229198401,742.7927815594059,7.023418221629889,164.9222722296264,1760.396658177837,718.8759196496568,8.803239956207122,180.37,2656.623469154608,757.4727560929167,7.086607244859077,166.91,2653.4934691546077,770.9194142707538,6.993469154607822,166.91,1760.546658177837,741.469210538842,9.396632711348042,180.37,1500.6893124047979,867.753316355674,8.086734577303911,268.61,1760.89,1066.7592869383086,8.373367288651956,179.85,2565.547320306551,874.55,7.809974533511032,89.83,2550.9106621287133,874.503341822163,7.8232908891850546,89.83,1617.795894183168,870.633316355674,9.046683644325975,268.68,2307.5772439070834,873.8,6.829923600533099,89.83,1792.9459705826348,874.2,8.289974533511034,269.55,1760.26,1307.742628760472,8.203392755140921,179.85,2250.500713061691,873.64,8.443290889185057,89.83,2130.3239784843868,873.29,7.636607244859077,89.83,2223.542654226961,876.86,8.03,269.83,1906.3839275514088,871.79,6.960025466488968,89.55,2a,27,1569226154
28096,28096,883.2667326732673,1569227079.4004776,883.2667326732673,-87.54039842612767,615.2315673190392,102.9364286780563,577.035865059122,0.9961167573928832,636.6924726533869,122.0612964208902,614.5705046120273,0.9910548329353333,637.4569786200952,72.91146823540277,611.5130516871685,0.975269079208374,625.5156686737412,158.13302779673523,638.8349250232702,0.550293505191803,603.1270403135923,19.687256806818198,639.0744011842538,0.7626205682754517,491.6134663279629,201.41592563245888,485.3288260098143,0.5755100250244141,498.31902299491,-34.038860715707216,501.3591678691021,0.9783473014831544,539.9077106744161,252.97200531719153,318.523473735801,0.9558349847793579,577.184269316904,-135.42431398083434,310.3203057794028,0.7045575380325317,666.3371815515468,302.5782098997025,130.78443682221865,0.7431871891021729,771.8877449623462,-156.75752855121124,138.29154711981008,0.8250513672828674,312.1497248517107,158.34403937278782,103.12183445882636,0.6859800815582275,417.99261775202035,8.700839738720141,113.46365471441516,0.08330672979354857,317.67040262024983,201.24903009370632,-206.61522511615345,0.08191162347793579,539.5135385396967,6.452003546891397,-44.668414391666886,0.31805703043937683,263.89436074202985,201.7915861899613,-552.7932567804296,0.37279242277145386,591.4205700757675,-55.89199923142711,-184.31233621054253,0.06902104616165161,1764.5066534653463,1267.4169702970296,4.5933267326732725,0.5658811881194682,1398.2866534653463,796.6195247524756,7.186693069306909,181.84,1398.7366534653463,810.6961980198024,7.1,181.84,1399.1966534653463,824.8995247524756,7.1300198019801835,181.84,2660.320178217821,742.5762376237628,7.056732673267272,164.5058415841591,1760.3933267326736,718.582752475248,8.766594059406001,180.37,2656.676772277228,757.2462178217827,7.06328712871291,166.91,2653.5467722772282,770.6895445544559,7.046772277227634,166.91,1760.5433267326734,741.1593861386143,9.383306930693092,180.37,1500.4194653465354,867.7466534653465,8.113386138613818,268.61,1760.89,1066.4794455445551,8.386693069306908,179.85,2565.803841584158,874.55,7.799980198019818,89.83,2551.1705148514848,874.5066732673268,7.806633663366363,89.83,1617.4927326732682,870.6266534653465,9.053346534653457,268.68,2307.8037821782173,873.8,6.799940594059455,89.83,1792.6727920792084,874.2,8.279980198019821,269.55,1760.26,1307.4661188118816,8.22671287128709,179.85,2250.780554455445,873.64,8.426633663366365,89.83,2130.5771683168314,873.29,7.61328712871291,89.83,2223.276138613862,876.86,8.03,269.83,1906.6171287128711,871.79,6.970019801980183,89.55,2a,27,1569226154
28097,28097,883.3,1569227079.4338028,883.3,-87.5397039526318,619.0383195068835,101.1995784643975,579.7832721838029,0.996831476688385,639.9814966780657,121.77047460070247,616.0788606820158,0.9913530349731444,641.5657193804112,72.24177504520934,615.0610053019841,0.9791741371154784,627.7835371814376,159.1245230715177,639.4689891514857,0.6058431267738342,608.2584617178719,20.798189526212,643.5490198169642,0.736738383769989,486.28595135475604,204.57753135261243,472.1473200770607,0.5473513603210449,494.86308345236176,-32.021636368615745,497.8739065811112,0.9786142110824584,531.1715701327686,249.15895082197062,297.8613227788524,0.9616969227790833,582.2627398720598,-134.21633463104934,318.4051337457322,0.6136456727981567,671.6697864239527,303.61062386771687,131.51733932090738,0.7353748083114624,767.7154149536298,-152.7983057882477,142.55652244629445,0.7170321345329285,296.4504847400757,161.04327154975832,76.11284162503762,0.2169946134090424,408.6761328241308,6.432453230042378,110.38603255175751,0.08159685134887695,361.4169970254509,171.47155996767367,-191.84599388275225,0.848820686340332,527.8677234507423,8.463291683521057,-56.971734563895254,0.3886223435401917,284.3465849323773,198.7121630426016,-523.3623383661371,0.3155299723148346,567.602770403226,-63.26470120574477,-206.1590838317263,0.055025994777679436,1764.5,1267.57,4.59,0.17,1398.28,796.38,7.2,181.84,1398.73,810.46,7.1,181.84,1399.19,824.66,7.14,181.84,2660.41,742.36,7.09,164.09,1760.39,718.29,8.73,180.37,2656.73,757.02,7.04,166.91,2653.6,770.46,7.1,166.91,1760.54,740.85,9.37,180.37,1500.15,867.74,8.14,268.61,1760.89,1066.2,8.4,179.85,2566.06,874.55,7.79,89.83,2551.43,874.51,7.79,89.83,1617.19,870.62,9.06,268.68,2308.03,873.8,6.77,89.83,1792.4,874.2,8.27,269.55,1760.26,1307.19,8.25,179.85,2251.06,873.64,8.41,89.83,2130.83,873.29,7.59,89.83,2223.01,876.86,8.03,269.83,1906.85,871.79,6.98,89.55,2a,27,1569226154
28098,28098,883.333406545866,1569227079.46731,883.333406545866,-86.5557999076537,619.0840218275409,100.8037452301923,580.3599931871763,0.9964361190795898,636.7992006644322,119.8413731449305,614.2809173683437,0.9900379180908204,638.0445366526944,72.56801138679748,614.808314625584,0.9717018008232116,625.6112778346637,159.28093709846976,637.4777570668273,0.7106314897537231,620.4650088652795,24.06209346191102,651.8687612214973,0.7146748304367065,484.63371189778456,205.56325350700558,469.67902900898224,0.6094404458999634,497.44061717100425,-27.097258786202666,503.7697226392617,0.9886458516120912,530.5486571978813,247.3980633924985,296.0069232777783,0.9592671394348145,580.5144557906789,-115.4977675495735,319.96626414227853,0.4382355809211731,667.7809018632491,305.11594552093425,132.57393279704888,0.7018276453018188,760.370194374414,-153.62736576509087,141.26141751034163,0.7713600397109985,294.3746191052428,161.49882296284616,68.03109997498936,0.24969518184661865,403.5692898067039,6.8959054997607545,112.12851940673315,0.06294757127761841,362.3623682540991,166.66248588620402,-195.9145198821366,0.8646612167358398,546.740221652171,12.455226636637294,-44.711503536385315,0.4035296142101288,313.847054793603,191.78619257209462,-492.4487646805956,0.3591097295284271,557.3222054760487,-47.662969595249216,-213.74379600137902,0.0724577009677887,1764.4933186908268,1267.7236701109834,4.583318690826801,120.12956555019451,1398.2733186908267,796.1394728697649,7.173274763307207,181.84,1398.7233186908268,810.2194728697649,7.126725236692794,181.84,1399.1833186908268,824.4228135243515,7.14,181.84,2660.500197673838,742.1428574518712,7.09,163.67241817667508,1760.39,717.9960223963792,8.756725236692795,180.37,2656.783450473385,756.7894948335246,7.066725236692793,166.91,2653.653450473385,770.2294948335248,7.1033406545865985,166.91,1760.5366593454135,740.532637814273,9.390043927519596,180.37,1499.8794069784853,867.7333186908268,8.123296727067004,268.61,1760.89,1065.9193850147255,8.379956072480404,179.85,2566.323911712341,874.55,7.8100439275195965,89.83,2551.687230403168,874.51,7.773296727067003,89.83,1616.8860004326195,870.6133186908268,9.070021963759796,268.68,2308.257164511889,873.8,6.7867032729329955,89.83,1792.1260663238986,874.1966593454133,8.253296727067003,269.55,1760.2633406545865,1306.9160663238988,8.236637381653603,179.85,2251.3406149852744,873.64,8.41,89.83,2131.0838897485814,873.29,7.586659345413401,89.83,2222.7427476330718,876.86,8.003274763307205,269.83,1907.083845821062,871.7933406545866,6.973318690826802,89.55,2a,27,1569226154
28099,28099,883.3671824822376,1569227079.5011876,883.3671824822376,-86.3986984213393,614.2823958584457,107.28744053474405,580.6645524651383,0.9966735243797302,632.4667405343897,122.981840440219,614.8017934890509,0.9916883707046508,632.4050102719506,79.62067440984997,614.1730525216673,0.98318749666214,615.6146192738556,162.7863788369612,635.8664156424611,0.6416813135147095,602.4019673725468,23.822605543186512,648.4866348561817,0.7857776284217834,488.44041176956335,204.32288018206782,478.75810238231264,0.5469570159912109,494.30800483453805,-28.819358117483606,500.86712382419717,0.7264960408210754,534.7292216993517,255.69856062113323,325.44421546204194,0.9560942649841307,580.3114412687528,-125.80142911929994,317.59484536588894,0.21193358302116394,672.8672897341194,309.83996138916825,130.95393066230866,0.8670176267623901,759.0029301898892,-155.61305487226898,141.38432560228017,0.7861313819885254,302.64953998750883,163.73410407888963,88.75371307684246,0.7756794691085815,402.7725463446418,9.05975813773033,109.43657296623944,0.1590740978717804,366.7277265696165,181.78653979041283,-193.032429386763,0.1888071894645691,525.2736556848637,12.951295537350745,-70.37949577246911,0.3470183312892914,307.29382472126616,189.68349318195087,-539.0310687391262,0.05692601203918458,518.6953792828573,-61.15085547054743,-253.3620014022206,0.023835867643356327,1764.4865635035526,1267.879039418293,4.576563503552479,241.41557546703842,1398.2665635035526,795.8962861278892,7.1462540142099105,181.84,1398.7165635035526,809.9762861278892,7.1537459857900885,181.84,1399.1765635035526,824.183004376113,7.14,181.84,2660.591392702041,741.9233138654556,7.09,163.25021897202987,1760.39,717.6987941563091,8.78374598579009,180.37,2656.83749197158,756.5564408725604,7.09374598579009,166.91,2653.70749197158,769.9964408725605,7.106718248223761,166.91,1760.5332817517765,740.2117664187426,9.410309489342566,180.37,1499.6058218938754,867.7265635035526,8.106408758881193,268.61,1760.89,1065.635667149204,8.359690510657432,179.85,2566.590741609677,874.55,7.830309489342567,89.83,2551.947305113229,874.51,7.756408758881196,89.83,1616.5786394116378,870.6065635035526,9.080154744671283,268.68,2308.486840879216,873.8,6.803591241118807,89.83,1791.8491036456514,874.1932817517762,8.236408758881195,269.55,1760.2667182482235,1306.6391036456516,8.223127007104956,179.85,2251.624332850796,873.64,8.41,89.83,2131.340586865006,873.29,7.583281751776239,89.83,2222.472540142099,876.86,7.9762540142099105,269.83,1907.3202773756632,871.7967182482237,6.966563503552478,89.55,2a,27,1569226154
28100,28100,883.4,1569227079.5341039,883.4,-86.50540678660738,610.2270965273606,110.07648694306549,580.2887050316187,0.9958398342132568,634.1668064912402,125.02932536450017,620.134816409244,0.9921509623527528,641.5496184763401,79.65906026688995,622.8234787801632,0.9833892583847046,606.2347772074282,180.72088739061402,639.0020346440341,0.6522117853164673,597.424441526936,24.684343791870628,645.0979334695357,0.7524990439414978,491.6033854093074,203.39474539196698,475.34509945382734,0.4994292557239533,493.91772685164887,-23.699463992056927,500.77327986008027,0.8004820346832275,534.1855345210031,250.8467430600237,317.0290599539046,0.9417881965637208,579.9682807436012,-130.7022481928893,317.2209595729142,0.13153737783432007,675.368057986585,305.3791801252006,135.28667805346694,0.572363555431366,758.3228588935657,-155.14721817710296,142.66251235054008,0.8263128995895386,289.52536616601884,159.77185417511532,60.476214023282346,0.3562743067741394,396.0398587146434,7.668448213532423,105.69079636518028,0.07827088236808777,389.8853847967356,160.24870074555201,-178.51692278144853,0.8703575134277344,543.1408245200715,15.072279548898766,-51.5297445615399,0.4111937284469605,312.1224585904954,189.36614388115646,-551.3956049017712,0.07416120171546936,520.233032101706,-68.97816279287511,-250.99129461506595,0.03793126344680786,1764.48,1268.03,4.57,359.26,1398.26,795.66,7.12,181.84,1398.71,809.74,7.18,181.84,1399.17,823.95,7.14,181.84,2660.68,741.71,7.09,162.84,1760.39,717.41,8.81,180.37,2656.89,756.33,7.12,166.91,2653.76,769.77,7.11,166.91,1760.53,739.9,9.43,180.37,1499.34,867.72,8.09,268.61,1760.89,1065.36,8.34,179.85,2566.85,874.55,7.85,89.83,2552.2,874.51,7.74,89.83,1616.28,870.6,9.09,268.68,2308.71,873.8,6.82,89.83,1791.58,874.19,8.22,269.55,1760.27,1306.37,8.21,179.85,2251.9,873.64,8.41,89.83,2131.59,873.29,7.58,89.83,2222.21,876.86,7.95,269.83,1907.55,871.8,6.96,89.55,2a,27,1569226154
