,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,Q_in-J_out.5_x,Q_in-J_out.5_y,Q_in-J_out.5_speed,Q_in-J_out.5_angle,Q_in-J_out.6_x,Q_in-J_out.6_y,Q_in-J_out.6_speed,Q_in-J_out.6_angle,Q_in-J_out.7_x,Q_in-J_out.7_y,Q_in-J_out.7_speed,Q_in-J_out.7_angle,Q_in-J_out.8_x,Q_in-J_out.8_y,Q_in-J_out.8_speed,Q_in-J_out.8_angle,K_in-H_out.5_x,K_in-H_out.5_y,K_in-H_out.5_speed,K_in-H_out.5_angle,Q_in-J_out.9_x,Q_in-J_out.9_y,Q_in-J_out.9_speed,Q_in-J_out.9_angle,K_in-H_out.6_x,K_in-H_out.6_y,K_in-H_out.6_speed,K_in-H_out.6_angle,H_in-K_out.10_x,H_in-K_out.10_y,H_in-K_out.10_speed,H_in-K_out.10_angle,H_in-K_out.11_x,H_in-K_out.11_y,H_in-K_out.11_speed,H_in-K_out.11_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,K_in-H_out.7_x,K_in-H_out.7_y,K_in-H_out.7_speed,K_in-H_out.7_angle,K_in-H_out.8_x,K_in-H_out.8_y,K_in-H_out.8_speed,K_in-H_out.8_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,H_in-K_out.12_x,H_in-K_out.12_y,H_in-K_out.12_speed,H_in-K_out.12_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,H_in-K_out.13_x,H_in-K_out.13_y,H_in-K_out.13_speed,H_in-K_out.13_angle,K_in-H_out.9_x,K_in-H_out.9_y,K_in-H_out.9_speed,K_in-H_out.9_angle,H_in-K_out.14_x,H_in-K_out.14_y,H_in-K_out.14_speed,H_in-K_out.14_angle,scenario,participant_id,source_file
25751,25751,801.9321647088507,1568805945.6763446,801.9321647088507,-82.5473217065858,614.6101833080298,90.1087885914271,688.406041147007,0.997780442237854,604.4653625786715,109.8573388742452,733.8976875740213,0.9976506233215332,605.2914311392601,52.560804115207354,732.5676469911775,0.941892385482788,583.1797255655928,146.82304944198313,744.2673159653335,0.699176549911499,571.5120601315224,3.6903242060761743,722.3584151612014,0.4789195060729981,478.4259708526754,197.78504320745807,603.6032735608541,0.9619377851486206,523.3445054466176,-38.959542997241584,587.3946105209675,0.5609027743339539,573.3554844376438,262.12124565643643,371.7557994300522,0.9338322877883912,647.1422607974822,-117.87770817858187,418.93528717797966,0.9397240877151488,741.6657142427106,300.7623737073928,228.63043776841357,0.931464910507202,756.2065861017244,-197.71457159629605,233.84366156257389,0.7654037475585938,466.1217892640048,168.86419836949835,177.43273143181648,0.00823482871055603,397.0811581943543,-38.52146964665608,149.34239852570138,0.4257875382900238,667.4497820366217,190.05424507786134,60.53093093206357,0.4148226976394653,521.5540651385088,-44.93991440354666,-91.64693739547356,0.5699129104614258,532.4418213011843,117.4666594612238,-432.72535800446025,0.018878549337387085,487.292643657633,-73.7982552520522,-508.59751189577275,0.1458379030227661,1764.173216470885,1249.2036894277935,5.476783529114932,0.9881858784940988,1760.61,751.6512799798152,6.864268232919445,180.37,1760.71,766.6412799798152,6.812865883540278,180.37,1760.806783529115,781.1912799798152,6.779298825310416,180.37,1760.896783529115,795.0012799798152,6.848185878494098,180.37,2707.9311741315987,662.5970117468959,7.663567058229861,142.36,1760.99,809.9880635089302,6.833216470885068,180.37,2665.746494126552,729.6316305671602,7.8167835291149315,157.26,1487.5862493874242,867.4335670582299,8.297835291149308,268.61,1523.7430329165393,868.3135670582299,8.27,268.61,1760.75,1119.8594658583092,8.113216470885071,179.85,2650.294329417701,784.6930329165393,8.546082354425346,166.91,2647.098948237965,799.8665999747691,8.576082354425347,173.91,1760.27,1305.2162493874246,8.18,179.85,1759.123216470885,1538.5380635089305,6.973567058229863,179.28,2012.7523317418493,875.92,7.673567058229861,269.55,1758.833216470885,1561.69519762539,7.273216470885068,179.28,2046.0523317418495,876.18,7.780350587344793,269.55,2030.4708847290356,872.76,7.766783529114932,89.55,2313.8398164456544,877.12,8.40321647088507,269.83,2a,18,1568805099
25752,25752,801.9659628718516,1568805945.7095597,801.9659628718516,-87.69418983844494,618.4529491369826,88.03538657084744,692.6992956291216,0.9977450966835022,604.5992465939343,115.12213380275087,733.0196209420405,0.9971202611923218,616.7344018831493,58.538283518723844,735.2592850505638,0.9545630216598512,582.1551846584869,148.78414078589208,742.3999216577347,0.7170757055282593,578.2451317535141,6.929370428274997,724.1716328778363,0.5850534439086914,478.4176885946025,199.431979459916,602.037527224199,0.9540555477142334,530.080189143524,-33.945021217488325,591.3094092880242,0.5919039249420166,572.6981104293992,263.25092287987513,372.4506469629069,0.9327426552772522,642.4154771671402,-118.8266442686538,415.0185421594352,0.9213613867759703,748.0899601929442,298.1101464737537,233.77358352703843,0.9210075736045836,736.2724348635259,-202.107308620691,218.12194888477285,0.732995867729187,496.8148416782911,168.51910029398675,187.97622390939708,0.0065150558948516854,397.76439150855174,-39.08675868564064,150.94519544655031,0.3824380338191986,664.157687485979,193.46700781948624,65.84848281646808,0.3148820400238037,534.9022916044762,-41.871112984137895,-82.13949949521673,0.6026843786239624,528.3959478631898,110.70806349952588,-373.78565597534515,0.05680876970291138,454.6098355010908,-75.09667687427664,-547.0190261126417,0.10048094391822816,1764.1765962871855,1249.3861995079988,5.473403712814838,0.9442482665928892,1760.61,751.421452471409,6.837229702518702,180.37,1760.71,766.4114524714089,6.826385148740648,180.37,1760.8034037128145,780.961452471409,6.799577723110974,180.37,1760.893403712815,794.7714524714088,6.8042482665928885,180.37,2708.0900254977028,662.3942227688902,7.656807425629675,142.36,1760.99,809.7548561842237,6.836596287185162,180.37,2665.847888615555,729.3916636098535,7.813403712814837,157.26,1487.3091044508167,867.4268074256297,8.264037128148377,268.61,1523.4625081636316,868.3068074256297,8.27,268.61,1760.75,1119.5857007380016,8.116596287185162,179.85,2650.361925743703,784.4125081636314,8.562981435925813,166.91,2647.1293665846665,799.5793155892611,8.592981435925811,173.91,1760.27,1304.9391044508168,8.18,179.85,1759.1265962871853,1538.3048561842236,6.966807425629676,179.28,2012.4920858867426,875.92,7.666807425629675,269.55,1758.836596287185,1561.4484710354834,7.276596287185162,179.28,2045.7920858867426,876.18,7.770211138444512,269.55,2030.7345104004428,872.76,7.763403712814838,89.55,2313.5559118764463,877.12,8.406596287185163,269.83,2a,18,1568805099
25753,25753,802.0,1568805945.7430096,802.0,-83.28540976224994,620.5522805837696,89.66988592296522,693.4641414281598,0.9978006482124328,599.839644516984,117.87546559160705,729.951215075567,0.9969646334648132,616.7031022001113,60.905640170008155,733.2839924770121,0.9545786380767822,579.9847528308081,148.15755981485555,738.6660613559231,0.7393697500228882,579.0896351750347,9.857978194473816,722.5594324320473,0.6527460217475891,480.5353817138364,199.4791251915973,607.7754200618392,0.9502778053283693,528.7243859664044,-33.38197443397325,589.2027369013812,0.62020343542099,586.0871766459346,262.530215434195,388.46259511709394,0.9505405426025392,624.1252359074283,-116.55692978863907,409.2564820296042,0.9409562349319458,720.3124726999339,302.6323891031892,213.593491126283,0.9354642629623412,742.062832861919,-196.60065042090957,229.00244605298042,0.8579062223434448,517.5844490313164,167.60411287479926,194.03930786793134,0.00828629732131958,409.49808224089037,-38.49919705091981,187.73052259903776,0.8597779273986816,701.1600186505368,194.1167284079678,66.8322929837386,0.0628499686717987,516.8339597950542,-43.202747929279994,-94.82050296048814,0.5399169325828552,506.1081473410609,143.2918771276469,-364.20856803966063,0.02774009108543396,438.0698316668292,-76.77931183604316,-566.469040375214,0.03127306699752808,1764.18,1249.57,5.47,0.9,1760.61,751.19,6.81,180.37,1760.71,766.18,6.84,180.37,1760.8,780.73,6.82,180.37,1760.89,794.54,6.76,180.37,2708.25,662.19,7.65,142.36,1760.99,809.52,6.84,180.37,2665.95,729.15,7.81,157.26,1487.03,867.42,8.23,268.61,1523.18,868.3,8.27,268.61,1760.75,1119.31,8.12,179.85,2650.43,784.13,8.58,166.91,2647.16,799.29,8.61,173.91,1760.27,1304.66,8.18,179.85,1759.13,1538.07,6.96,179.28,2012.23,875.92,7.66,269.55,1758.84,1561.2,7.28,179.28,2045.53,876.18,7.76,269.55,2031.0,872.76,7.76,89.55,2313.27,877.12,8.41,269.83,2a,18,1568805099
25754,25754,802.024867107203,1568805945.7762241,802.024867107203,-82.11926537339315,619.5446865352261,90.43450164421357,691.6382190365039,0.9981178641319276,610.0518332137274,118.95038042580515,731.9843737090164,0.9972985982894896,626.2767777302853,63.180613050137424,734.8359402292357,0.9658079147338868,584.2884905122872,150.28784718457825,736.3632940481967,0.730404257774353,580.8618746712292,13.037861047814689,722.5563573657392,0.5965585112571716,481.3823872173365,200.4550884747601,606.9491157321459,0.9426729679107666,534.5824738495336,-32.137753548733194,594.1715033565263,0.6396231055259705,594.493974790674,266.69702380796434,395.6412716217429,0.9551080465316772,617.3243922248847,-119.0251545084272,401.0004736374549,0.9463679194450378,728.2899299067695,302.3860636516644,219.7043450025053,0.940885066986084,750.1058933276677,-198.13289007184508,225.21111729959443,0.763724684715271,500.9859432807363,174.35291895222576,207.83268667838138,0.019303768873214718,398.965859780542,-39.69468253934896,189.96427873839627,0.8547958135604858,651.6742766558127,200.3751076624657,46.2830107151872,0.3301748335361481,510.1011648550212,-43.73882039609428,-104.12662508294494,0.4781631231307984,526.1906056362577,165.1596517737469,-326.0313850192473,0.02482086420059204,440.4541198374896,-81.45597233725834,-572.4380811438264,0.01851704716682434,1764.18,1249.7067690896174,5.472486710720314,0.8527524963140529,1760.6075132892795,751.0209036710187,6.8075132892796875,180.37,1760.7075132892794,766.0109036710187,6.817619603517183,180.37,1760.8,780.5584169602984,6.8324335536015655,180.37,1760.89,794.373390381739,6.76,180.37,2708.3643886931345,662.0383106460611,7.659946842881252,142.36,1760.9875132892794,809.353390381739,6.820106314237496,180.37,2666.0246013216088,728.9709568281373,7.812486710720313,157.26,1486.823603010214,867.4150265785594,8.252380396482817,268.61,1522.9760897209344,868.2950265785594,8.260053157118747,268.61,1760.7524867107206,1119.108576431655,8.122486710720313,179.85,2650.4772475036857,783.9236030102139,8.582486710720312,166.91,2647.1823803964826,799.0786295887733,8.607513289279687,173.91,1760.27,1304.461063142375,8.157619603517183,179.85,1759.1324867107205,1537.8934435388578,6.984867107203129,179.28,2012.0410099852563,875.9175132892798,7.662486710720312,269.55,1758.8424867107206,1561.0184701174169,7.28,179.28,2045.3360365638157,876.1775132892798,7.769946842881253,269.55,2031.1939634361843,872.7624867107202,7.764973421440627,89.55,2313.0611162994933,877.12,8.402539867839062,269.83,2a,18,1568805099
25755,25755,802.0498946853592,1568805945.809653,802.0498946853592,-81.36546209750244,618.0556023060303,94.79235812328066,690.2435507755272,0.9983384609222412,603.3567576543212,122.93715698925136,727.9113631774611,0.9963557720184326,629.2543465199516,65.84710084819943,734.6367410755687,0.9685538411140442,584.7917733848611,151.79823864457194,736.3870659229301,0.694277286529541,585.3679707131457,14.494474067646024,723.688426928723,0.7217240929603577,479.6397703080284,199.74197672609586,610.3258855087646,0.9549412727355956,535.3961068463974,-32.75381107798233,595.8944306891601,0.632472813129425,592.0699681849085,267.94589953964953,402.08081979233737,0.9655869603157043,613.2390832355412,-119.10934036215244,416.113262969604,0.7159401774406433,693.8653233779405,313.7955830452189,214.63143558019704,0.8078806400299072,751.5699951393719,-198.147484562853,224.18060825469138,0.7339552044868469,484.99910967272035,166.17965485251634,211.7465160826127,0.05662316083908081,398.020138395072,-33.681732625923985,189.70688621184127,0.863117516040802,639.8682401002626,201.89578703735958,39.10778014163054,0.3698833584785461,527.5967767755365,-46.602189163078364,-94.18817863884436,0.5326530337333679,502.7842667233323,167.44837737021382,-384.80926300447373,0.015428543090820312,443.03146852700564,-99.10440711609655,-578.1260072137093,0.012104511260986328,1764.18,1249.8444207694752,5.474989468535916,0.8052000978176113,1760.605010531464,750.8507161395578,6.8050105314640845,180.37,1760.705010531464,765.8407161395578,6.795094783176763,180.37,1760.8,780.3857266710219,6.844947342679577,180.37,1760.89,794.2057056080937,6.76,180.37,2708.479515552652,661.8856424193092,7.6699578741436625,142.36,1760.985010531464,809.1857056080937,6.800084251712677,180.37,2666.099684056077,728.7907582654141,7.814989468535916,157.26,1486.6158741115191,867.4100210629282,8.274905216823237,268.61,1522.770863580055,868.2900210629282,8.25004212585634,268.61,1760.754989468536,1118.9058530485906,8.124989468535915,179.85,2650.524799902182,783.715874111519,8.584989468535916,166.91,2647.204905216823,798.8658951744471,8.605010531464082,173.91,1760.27,1304.2608425171268,8.135094783176763,179.85,1759.134989468536,1537.71574773395,7.009894685359153,179.28,2011.8508003912705,875.9150105314641,7.664989468535915,269.55,1758.8449894685361,1560.8357687968783,7.28,179.28,2045.1408214541987,876.1750105314641,7.779957874143661,269.55,2031.3891785458013,872.7649894685359,7.769978937071831,89.55,2312.850884642983,877.12,8.395031594392254,269.83,2a,18,1568805099
25756,25756,802.0748942391107,1568805945.8430445,802.0748942391107,-81.3739678105585,619.8289557848498,93.7371963199973,686.5986607651503,0.9977704286575316,600.1964990313729,123.19286523489492,724.8224282490597,0.9959819316864014,624.8386867446953,64.74326908511811,731.4573167203407,0.9695786237716676,585.2818125591789,152.4815578124911,735.636144803522,0.6900349259376526,592.3974897229202,15.21711257415436,725.9798938805875,0.6892160773277283,488.0069553181005,199.65193702886987,609.303010008198,0.9600311517715454,531.6599558891081,-33.93609262219003,594.9816103005379,0.6747592687606812,581.9642264557014,268.0827220827909,396.5097489017305,0.9699950218200684,630.5997586612992,-116.2090549371835,412.2265274701757,0.9520074129104614,731.186073267776,301.95401079388387,229.05307301670703,0.9220929741859436,751.697026384087,-194.88735628811168,233.69976527569497,0.8410687446594238,472.9613020319196,162.16830483620376,207.2204836703868,0.0623079240322113,405.45372649076194,-37.122355408725475,175.3426170861798,0.2898917496204376,656.3954929072611,199.71786108295825,56.573466227903005,0.33639663457870483,608.4122861679472,-39.86860004184182,-27.98651352282608,0.5291745662689209,514.8544992526378,141.47155675314718,-393.8539920026647,0.014877080917358397,452.5392392767256,-94.52302559848611,-571.2164470492172,0.015597552061080931,1764.18,1249.9819183151085,5.4774894239110665,0.7577009456897468,1760.602510576089,750.6807191740477,6.802510576088934,180.37,1760.7025105760888,765.6707191740476,6.772595184800407,180.37,1760.8,780.2132297501364,6.857447119555331,180.37,1760.89,794.0382085979587,6.76,180.37,2708.594513499909,661.733145141425,7.679957695644264,142.36,1760.9825105760888,809.0182085979587,6.780084608711473,180.37,2666.174682717332,728.6107614784033,7.817489423911066,157.26,1486.4083778153815,867.4050211521777,8.297404815199593,268.61,1522.5658672392926,868.2850211521777,8.240042304355736,268.61,1760.7574894239112,1118.7033566632035,8.127489423911067,179.85,2650.5722990543104,783.5083778153813,8.587489423911066,166.91,2647.2274048151994,798.6533989675594,8.602510576088934,173.91,1760.27,1304.0608460871147,8.112595184800407,179.85,1759.1374894239111,1537.5382509023145,7.034894239110661,179.28,2011.660803782759,875.9125105760891,7.667489423911066,269.55,1758.8474894239112,1560.6532720544922,7.28,179.28,2044.9458249349368,876.1725105760888,7.789957695644263,269.55,2031.5841750650632,872.767489423911,7.774978847822133,89.55,2312.6408883914705,877.12,8.387531728266802,269.83,2a,18,1568805099
25757,25757,802.0748942391107,1568805945.8430445,802.0748942391107,,617.0377861303987,92.35581573672395,683.8064640266165,0.9977160692214966,618.9620580599867,115.25237016574057,730.523446773066,0.9780808091163636,634.9198006565384,65.82699547423356,735.2857497258605,0.9598946571350098,595.6758116604915,145.2583287198773,736.7593366989787,0.6789610385894775,597.9004557072401,15.8382818306929,725.8722364490128,0.7838354110717773,496.9597358248428,192.76179463707334,581.308165091971,0.4760463237762451,526.1173397892119,-31.9696148376504,589.1734025683445,0.5780086517333984,580.4387899623371,268.0039472515478,388.01578270242464,0.8973830938339233,632.5885336822017,-118.92406606702278,410.69144981739686,0.9196721315383912,715.7692510944336,299.72332817457936,221.4401273726835,0.7965320348739624,772.3248059257795,-194.8089366164645,243.69788027837959,0.7223861813545227,491.71732967695374,159.57616268428654,213.73264346452487,0.12989741563796994,405.4996473734826,-37.72591904716629,186.60552129109124,0.8661074638366699,649.357373588042,186.7248465476206,68.03124665125273,0.7374944686889648,643.3506395008714,-29.20155543957968,0.6616125433786806,0.4099566936492921,555.5737056966151,163.1724231437636,-363.40091437611983,0.019729465246200558,586.5756353691181,-76.208500476949,-418.546705010997,0.015238195657730103,1764.18,1249.9819183151085,5.4774894239110665,0.7577009456897468,1760.602510576089,750.6807191740477,6.802510576088934,180.37,1760.7025105760888,765.6707191740476,6.772595184800407,180.37,1760.8,780.2132297501364,6.857447119555331,180.37,1760.89,794.0382085979587,6.76,180.37,2708.594513499909,661.733145141425,7.679957695644264,142.36,1760.9825105760888,809.0182085979587,6.780084608711473,180.37,2666.174682717332,728.6107614784033,7.817489423911066,157.26,1486.4083778153815,867.4050211521777,8.297404815199593,268.61,1522.5658672392926,868.2850211521777,8.240042304355736,268.61,1760.7574894239112,1118.7033566632035,8.127489423911067,179.85,2650.5722990543104,783.5083778153813,8.587489423911066,166.91,2647.2274048151994,798.6533989675594,8.602510576088934,173.91,1760.27,1304.0608460871147,8.112595184800407,179.85,1759.1374894239111,1537.5382509023145,7.034894239110661,179.28,2011.660803782759,875.9125105760891,7.667489423911066,269.55,1758.8474894239112,1560.6532720544922,7.28,179.28,2044.9458249349368,876.1725105760888,7.789957695644263,269.55,2031.5841750650632,872.767489423911,7.774978847822133,89.55,2312.6408883914705,877.12,8.387531728266802,269.83,2a,18,1568805099
25758,25758,802.1,1568805945.8765779,802.1,-85.55461389357541,620.9814746144838,92.71854856391724,683.886046567422,0.997625470161438,614.6023169954766,114.71788061233048,725.6226469101565,0.983195424079895,632.8202113797997,64.25339603549271,733.0427444210736,0.970413327217102,587.6109202406689,146.76363885492847,735.1226298919782,0.6805295944213867,600.5774981943915,14.40594719991441,729.3899399198165,0.727583646774292,494.2991341189762,188.66993577046364,582.8083744156414,0.8463703393936157,526.5584740041288,-35.39643866621631,591.2889194225015,0.643645167350769,584.7146912115204,267.37000835896913,403.90569235161513,0.589734673500061,631.4177377714441,-113.08299448081054,423.1041853010456,0.9558553695678712,720.8261034543712,299.26049013026403,223.8765795746021,0.9233667254447936,769.4210609140528,-193.62178323399925,250.6071994192739,0.8387618064880371,448.3822142291036,161.03089318139573,210.6673181859523,0.29560476541519165,396.7617323409913,-37.44311661779001,166.51525797494912,0.2719267010688782,671.0391290273325,177.8670917956748,78.55056735089805,0.816819429397583,675.5347283929957,-32.236709656051005,27.025330681891198,0.4832552671432495,600.9253538487179,184.95663646148083,-351.2332821730436,0.004911899566650391,525.8444095988726,-106.33474867639609,-489.4406408637975,0.016633063554763794,1764.18,1250.12,5.48,0.71,1760.6,750.51,6.8,180.37,1760.7,765.5,6.75,180.37,1760.8,780.04,6.87,180.37,1760.89,793.87,6.76,180.37,2708.71,661.58,7.69,142.36,1760.98,808.85,6.76,180.37,2666.25,728.43,7.82,157.26,1486.2,867.4,8.32,268.61,1522.36,868.28,8.23,268.61,1760.76,1118.5,8.13,179.85,2650.62,783.3,8.59,166.91,2647.25,798.44,8.6,173.91,1760.27,1303.86,8.09,179.85,1759.14,1537.36,7.06,179.28,2011.47,875.91,7.67,269.55,1758.85,1560.47,7.28,179.28,2044.75,876.17,7.8,269.55,2031.78,872.77,7.78,89.55,2312.43,877.12,8.38,269.83,2a,18,1568805099
25759,25759,802.1333232496708,1568805945.9099321,802.1333232496708,-105.73831636044588,612.0809556021549,85.82575851538272,677.0004599056892,0.9974936842918396,614.3299123654476,110.30352755266694,725.2205792734828,0.9866591095924376,631.9046374098842,60.3680013324345,734.3055889651213,0.9650514125823976,583.5133091829738,144.39168894698955,732.9584154340448,0.6335436701774597,598.0963424817728,11.261052857015846,728.5212738133612,0.6814669370651245,491.4248946200208,186.31118667809304,578.2722631961036,0.87120121717453,526.0158838072426,-32.41944387814618,587.7261765100934,0.12293413281440735,583.5858402514987,261.95827583133337,382.66820606851485,0.954556941986084,613.2952829596443,-116.73822260525316,401.32662924930366,0.9359911680221558,733.3422773270793,299.67127040099393,230.94454183139442,0.9581666588783264,772.1689127715523,-198.68847450288447,245.49146907256105,0.719909131526947,433.917071906449,163.69363119074728,183.76507461407158,0.20705386996269226,396.71755686445886,-41.10629931539265,163.45121526650723,0.2629033923149109,701.3325958815301,177.02930995744384,82.61061019980625,0.6600443124771118,717.6768577066681,-24.183621884747964,60.11813798176639,0.3863281011581421,607.7376883806704,199.60699722438758,-359.821661276796,0.008990585803985596,540.4490906135269,-114.50749184117184,-471.37225326264297,0.013330310583114624,1764.18,1250.303277873189,5.483332324967074,0.6366888507244114,1760.6,750.280069577272,6.829990924703648,180.37,1760.7,765.270069577272,6.7933202245719375,180.37,1760.796667675033,779.8134019022391,6.850006050197568,180.37,1760.8866676750329,793.640069577272,6.8066525495390096,180.37,2708.866619273452,661.3767281770088,7.7066616248353625,142.36,1760.98,808.623401902239,6.7699969749012165,180.37,2666.3499697490124,728.1934049273378,7.800006050197568,157.26,1485.9234170277327,867.393335350066,8.306670700131711,268.61,1522.0867493526998,868.2733353500657,8.210006050197569,268.61,1760.76,1118.2300816776672,8.123335350065856,179.85,2650.683314174374,783.0200847027658,8.596664649934144,166.91,2647.279990924704,798.1534200528317,8.619993949802431,173.91,1760.27,1303.5867493527,8.106661624835361,179.85,1759.143332324967,1537.1267372523048,7.033341400263423,179.28,2011.2134109775354,875.9066676750328,7.653338375164639,269.55,1758.8533323249671,1560.2267402774035,7.2966616248353615,179.28,2044.4900786525684,876.1666676750328,7.793335350065856,269.55,2032.039921347432,872.77,7.799993949802433,89.55,2312.150084702766,877.1166676750328,8.383332324967071,269.83,2a,18,1568805099
25760,25760,802.1668013272324,1568805945.9434414,802.1668013272324,-82.18524843385353,611.5170404379071,82.11413423971591,676.5922968039868,0.9963594675064088,613.2518203152591,113.09941634669106,727.2400239162524,0.9966888427734376,631.8575267693764,58.806267240351104,734.3484611044998,0.9614972472190856,582.7792001519465,141.8687654936141,732.2229147278226,0.6882413625717163,604.0102333726281,9.469365788735177,730.2408849692415,0.6905185580253601,488.11564425365515,185.86724192125087,573.801313294362,0.8919755220413208,526.0460860197294,-30.534935321678535,585.7799623834412,0.12794500589370728,573.5867065851071,262.58682226020284,378.05761037974935,0.9567438364028932,632.9524402518516,-115.63756180683123,405.5523544760083,0.8961741328239441,733.9028556332875,300.7314171269705,232.23545658748915,0.9367939829826356,768.9122182536205,-199.2160313627712,238.59013405928792,0.6841696500778198,405.2713708506099,159.9128201833807,166.21840896847831,0.1636187732219696,397.72640057492765,-43.32872107471053,160.39037116573573,0.28414711356163025,735.7176737446432,179.1688849257217,99.2111817920917,0.5965808629989624,693.4796762571124,-23.58629647804773,43.92843124373093,0.32015901803970337,598.0391397623339,192.467733891196,-373.4771308272369,0.01307988166809082,730.2440458649196,-65.97177359113515,-245.2524195022155,0.009900450706481934,1764.18,1250.487407299778,5.4866801327232375,0.5630370800887902,1760.6,750.0490708420967,6.860121194509131,180.37,1760.7,765.0390708420965,6.836841725402079,180.37,1760.7933198672765,779.5857509748199,6.8299192036605785,180.37,1760.883319867277,793.4090708420965,6.8535218581253154,180.37,2709.0239662379918,661.1725119038825,7.723400663616184,142.36,1760.98,808.39575097482,6.780040398169709,180.37,2666.450403981697,727.9557105766503,7.779919203660579,157.26,1485.6455489839716,867.3866397345537,8.293279469107054,268.61,1521.8122291166947,868.2666397345537,8.18991920366058,268.61,1760.76,1117.958909249418,8.116639734553528,179.85,2650.746922521741,782.7388688512482,8.603360265446474,166.91,2647.310121194509,797.8655085858016,8.64008079633942,173.91,1760.27,1303.3122291166944,8.123400663616184,179.85,1759.1466801327233,1536.8923907093736,7.0065589382141065,179.28,2010.9556297803106,875.9033198672768,7.636599336383816,269.55,1758.856680132723,1559.9823503112036,7.313400663616184,179.28,2044.2289496475878,876.1633198672768,7.7866397345535265,269.55,2032.3010503524124,872.77,7.820080796339421,89.55,2311.868868851248,877.1133198672768,8.386680132723237,269.83,2a,18,1568805099
