,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,K_in-H_out.8_x,K_in-H_out.8_y,K_in-H_out.8_speed,K_in-H_out.8_angle,K_in-H_out.9_x,K_in-H_out.9_y,K_in-H_out.9_speed,K_in-H_out.9_angle,Q_in-J_out.9_x,Q_in-J_out.9_y,Q_in-J_out.9_speed,Q_in-J_out.9_angle,K_in-H_out.10_x,K_in-H_out.10_y,K_in-H_out.10_speed,K_in-H_out.10_angle,K_in-H_out.11_x,K_in-H_out.11_y,K_in-H_out.11_speed,K_in-H_out.11_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,H_in-K_out.8_x,H_in-K_out.8_y,H_in-K_out.8_speed,H_in-K_out.8_angle,K_in-H_out.12_x,K_in-H_out.12_y,K_in-H_out.12_speed,K_in-H_out.12_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,H_in-K_out.9_x,H_in-K_out.9_y,H_in-K_out.9_speed,H_in-K_out.9_angle,H_in-K_out.10_x,H_in-K_out.10_y,H_in-K_out.10_speed,H_in-K_out.10_angle,K_in-H_out.13_x,K_in-H_out.13_y,K_in-H_out.13_speed,K_in-H_out.13_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,K_in-H_out.14_x,K_in-H_out.14_y,K_in-H_out.14_speed,K_in-H_out.14_angle,H_in-K_out.11_x,H_in-K_out.11_y,H_in-K_out.11_speed,H_in-K_out.11_angle,scenario,participant_id,source_file
25965,25965,811.0337671949816,1569241807.1835446,811.0337671949816,,609.5709336374947,-10.2999365555684,586.4973953315637,0.9978460073471068,640.7567938352414,8.223946086439028,637.8891321451074,0.9810229539871216,646.7256994748958,-42.61024973593,634.7293036613853,0.9608820676803588,606.4315044297589,55.943414942290325,664.8141771656556,0.4811788201332092,634.3002548684714,-94.15012232478529,656.2710795709811,0.5413283705711365,466.64695137659515,117.10412409232023,550.2458951424965,0.7716913223266602,498.84687613249235,-115.83434102723488,505.9444390888086,0.4852211475372314,558.6127081612466,217.5359870344447,343.01806636697745,0.9871580600738524,557.692592020056,-223.67987140558984,306.15997557410185,0.9435813426971436,672.5147796714458,250.93301127973945,154.4354989296833,0.6592967510223389,704.8754894892975,-214.91259034274398,146.26947352776506,0.6586577892303467,364.66275559510734,140.26962594587522,153.16782311497525,0.685038685798645,394.5098978987663,-72.32703694397065,164.7046238813595,0.4199878871440888,701.8919984567218,171.80782716639266,-4.177579787707316,0.22054165601730347,643.0105766676676,-117.54888178429312,36.23754215893544,0.8540054559707642,331.8369521934992,192.43013527802242,-620.1126283173029,0.002902001142501831,488.37315152950464,-101.03178824225829,-479.66962071236094,0.008795857429504395,1763.8066232805018,1254.3655894139035,5.233376719498147,359.5370137559852,2759.0488359749074,603.1709037081039,7.556883597490729,138.41,2749.465459255409,613.9709037081037,7.52,138.41,1760.4,719.3797322816539,8.376232805018542,180.37,2739.3588359749074,625.3509037081037,7.63272592702596,138.41,2729.712212694405,636.2275269886056,7.580911109461059,138.41,1761.25,927.3933693181407,7.669609524516688,179.85,1639.573369318141,871.1332465610037,7.7161026465241065,268.68,2654.134157670465,768.1798624401483,8.280130158494439,166.91,1760.5033767194982,1214.5729788426574,8.573116402509271,179.85,1818.376615879145,874.4,7.82,269.55,2076.02362963513,876.41,7.076493122007418,269.71,2275.976890998848,873.71,8.156753438996294,89.83,1758.8933767194985,1557.4198624401486,7.926623280501853,179.28,1758.7033767194982,1572.4632391596467,7.94,179.28,1987.8294867673794,872.4233767194983,6.470260316988873,89.55,2089.934020110613,876.47,6.4014243420815875,269.83,2a,28,1569240955
25966,25966,811.0665485004467,1569241807.2161744,811.0665485004467,-78.05682916867585,617.6296497671511,-13.699020425067776,586.6153667716333,0.9968804717063904,637.5237704907317,5.916361781851911,635.0424784170452,0.9759297370910645,644.3994095920152,-43.56941903950016,632.0245340502997,0.9517359733581544,604.1193273879562,56.005816585785944,664.1109497626758,0.5176005959510803,638.5495353030124,-92.99876947277215,655.6127009243928,0.4893222749233246,462.702734258988,119.48633292546585,548.8435895289157,0.8096941709518433,491.4845456345129,-111.86224789068262,494.9993165329813,0.4190705120563507,554.7472333863135,218.89007644615208,341.1179871513331,0.9862939119338988,558.2235030036694,-212.52547902580463,307.2504488249166,0.3758140802383423,671.4982913237587,250.83592191583847,153.72715652492266,0.6362239122390747,695.4591044150917,-215.99133040012455,148.4593234222997,0.20537665486335754,355.6605970372586,150.51551005745492,135.1189004507805,0.6787911653518677,403.8256042715957,-75.37794940486047,158.6701683005065,0.03941398859024048,701.0219292164172,174.74404886575294,-3.7605815533926834,0.24377432465553284,636.7036362761924,-122.6345756204905,30.180809602427157,0.8787193298339844,315.4359578305772,196.1163925442337,-643.5775488292064,0.005234122276306152,495.5812755792086,-109.62975312558956,-469.3063251100426,0.008536100387573242,1763.8033451499552,1254.536052202323,5.2366548500446735,359.5632388003573,2759.212742502233,602.9873283974982,7.5732742502233625,138.41,2749.6260876521887,613.7873283974983,7.52,138.41,1760.4,719.1076474462923,8.343451499553273,180.37,2739.522742502233,625.1673283974983,7.586832099374582,138.41,2729.8793973522784,636.0406735474538,7.649751850938128,138.41,1761.25,927.1442313966048,7.6401063495979455,179.85,1639.3242313966045,871.1266902999107,7.673486949419254,268.68,2654.196442150849,767.9176119964262,8.289964550134018,166.91,1760.506654850045,1214.2943377462027,8.556725749776636,179.85,1818.120921696516,874.4,7.82,269.55,2075.794160496873,876.41,7.063380599821309,269.71,2276.245697703663,873.71,8.163309700089346,89.83,1758.8966548500448,1557.1576119964263,7.923345149955328,179.28,1758.706654850045,1572.204266846471,7.94,179.28,1988.042565252904,872.4266548500447,6.4899291002680375,89.55,2089.734054147275,876.47,6.257186598034399,269.83,2a,28,1569240955
25967,25967,811.1,1569241807.2494712,811.1,-78.20881744535279,611.811591643035,-13.802133244130257,582.2294567338671,0.9963903427124025,645.0023347992948,5.541352043090208,635.7192009382936,0.9780147075653076,643.2322247271625,-43.521074360742695,629.3805760294609,0.9547315239906312,603.0504608885076,56.223782757475284,665.1565444783217,0.4824996292591095,639.5223955264188,-92.94850123641243,655.6744800202939,0.4242998063564301,462.15048246810784,117.7093609556647,548.390473754935,0.7953836917877197,494.0246907891318,-113.48787660120456,507.7078493785932,0.5989820957183838,556.0481887376028,216.60314013842518,336.9502567506112,0.8480216860771179,554.231759804154,-222.3836023256438,303.7437425509512,0.9410718679428101,671.2440365833852,252.4258837794623,153.92213314278615,0.6536450386047363,694.8508670700935,-217.36406932595608,140.0756456394787,0.605722188949585,366.9086186629425,141.42348314645318,152.15924805868985,0.6908926367759705,396.05426865606796,-69.80751875511059,164.79803836302057,0.5232161283493042,696.8711736083172,162.06768417466566,3.4129458334668072,0.6178820133209229,641.1800860666622,-121.66617008690427,28.918845662459802,0.8680688142776489,308.02381181936767,202.6869194563746,-653.8938505935524,0.007765203714370727,513.1340860961898,-116.84677067334341,-451.3845448830848,0.0035338401794433594,1763.8,1254.71,5.24,359.59,2759.38,602.8,7.59,138.41,2749.79,613.6,7.52,138.41,1760.4,718.83,8.31,180.37,2739.69,624.98,7.54,138.41,2730.05,635.85,7.72,138.41,1761.25,926.89,7.61,179.85,1639.07,871.12,7.63,268.68,2654.26,767.65,8.3,166.91,1760.51,1214.01,8.54,179.85,1817.86,874.4,7.82,269.55,2075.56,876.41,7.05,269.71,2276.52,873.71,8.17,89.83,1758.9,1556.89,7.92,179.28,1758.71,1571.94,7.94,179.28,1988.26,872.43,6.51,89.55,2089.53,876.47,6.11,269.83,2a,28,1569240955
25968,25968,811.1332810890905,1569241807.282834,811.1332810890905,-106.53481840206116,607.3835332021348,-15.646856214870837,579.2312535213334,0.997298300266266,637.545627245451,3.747535904588986,630.3166565684422,0.9847095012664796,648.7468020386202,-43.56422564486385,630.1817865193983,0.9656627178192142,595.067015316437,59.404768690745115,660.3660670379056,0.5684970617294312,640.3442930452047,-90.84314371741651,654.6948781338688,0.4044699668884277,473.2059152746096,120.58741628969065,534.2634798657941,0.20829325914382926,493.98508125293205,-113.17275574870916,512.0556757422818,0.6015817523002625,554.8071793801931,213.13511827421496,339.3389022791372,0.8718971610069275,547.7106353247776,-205.73006936459407,310.5072103596692,0.6654032468795776,671.2933745110546,253.4876919537021,153.83049104379634,0.6540545225143433,708.9489712528143,-212.0213154724325,134.64297869303186,0.8664153814315796,356.11031170655576,143.8480792852186,146.04956076108624,0.7109155654907227,395.4794261655757,-67.61410525577269,162.92643828930142,0.6468371748924255,708.140746974858,172.75729231616265,8.085157595128068,0.18117329478263847,652.0652867048284,-117.81644305356708,15.680672687978616,0.8235517740249634,317.4825412730788,204.94387770018642,-651.2476236594146,0.013578414916992188,510.48650841562403,-115.08302297671221,-454.8303492140876,0.003820657730102539,1763.8,1254.8863897721787,5.243328108909033,359.62328108909037,2759.5464054454524,602.6102977921852,7.5833437821819345,138.41,2749.959733554361,613.4102977921851,7.563265415817429,138.41,1760.396671891091,718.5504388516413,8.329968653454198,180.37,2739.856405445452,624.7969540100033,7.520031346545802,138.41,2730.216405445452,635.6602977921851,7.670078366364505,138.41,1761.253328108909,926.6337356140043,7.633296762363231,179.85,1638.8137356140046,871.116671891091,7.653296762363231,268.68,2654.3199059603626,767.3804231783682,8.303328108909032,166.91,1760.51,1213.7237826338232,8.543328108909032,179.85,1817.5970793961865,874.3966718910908,7.82,269.55,2075.327032376368,876.41,7.036687564363867,269.70334378218195,2276.789576821632,873.71,8.156687564363867,89.83,1758.9033281089094,1556.6270793961864,7.929984326727098,179.28,1758.713328108909,1571.6737512872776,7.936671891090968,179.28,1988.4763270790872,872.43,6.5033437821819335,89.55,2089.3170010298213,876.47,6.196530831634858,269.83,2a,28,1569240955
25969,25969,811.1665578971653,1569241807.3161926,811.1665578971653,-78.02897967717199,600.9670133254067,-10.066547399413594,575.0762732722246,0.9968051910400392,639.2194240593248,9.848004064633033,630.534590179122,0.9834879636764526,652.6974340065283,-40.94976892923855,631.7791474921147,0.9680002927780152,614.4614344630669,50.93237392661186,660.0021495765128,0.8026368021965027,637.251273768496,-90.82498333201956,654.8871016810604,0.43676114082336426,478.93486084673583,117.63027412953858,528.405896999089,0.16419371962547302,491.7366814312052,-111.44515333925051,500.34838428709253,0.3933638632297516,563.9234099940447,217.00866496421932,341.0815892329347,0.8643208742141724,550.8278550325092,-199.71699801162964,312.51517371301213,0.740244448184967,667.4746776088185,255.8346158937406,153.1102834156196,0.6097202897071838,721.5008911084883,-209.52595449429282,138.24870460963044,0.8809818029403687,346.54120310647016,145.85431876758992,135.81059912510378,0.7043557167053223,399.8904885138087,-69.880284602671,141.717616269543,0.2001887559890747,710.0891203274365,177.46201945227043,8.006300274157637,0.26333850622177124,713.9196093082197,-117.32403118915407,34.41046605284728,0.7831183075904846,302.3886379232507,206.58750664520386,-668.4677077184674,0.006023585796356201,508.0894163731443,-96.3895947820845,-460.93014543611537,0.013970464468002321,1763.8,1255.0627568549758,5.246655789716523,359.6565578971652,2759.7127894858263,602.4206199861583,7.5766884205669545,138.41,2750.1294452755433,613.2206199861582,7.606525266314793,138.41,1760.3933442102834,718.2709136638123,8.349934738299135,180.37,2740.0227894858263,624.6139315655913,7.5000652617008665,138.41,2730.3827894858264,635.4706199861582,7.620163154252165,138.41,1761.2566557897164,926.3775041918277,7.656590528015656,179.85,1638.5575041918278,871.1133442102835,7.676590528015658,268.68,2654.379804214897,767.1108810329617,8.306655789716523,166.91,1760.51,1213.437602084379,8.546655789716523,179.85,1817.3341926123944,874.3933442102833,7.82,269.55,2075.0940947198433,876.41,7.023376841133911,269.6966884205669,2277.059118967038,873.71,8.143376841133911,89.83,1758.9066557897165,1556.3641926123944,7.939967369149567,179.28,1758.7166557897165,1571.4075368226786,7.933344210283478,179.28,1988.692626331574,872.43,6.496688420566954,89.55,2089.1040294581426,876.47,6.283050532629582,269.83,2a,28,1569240955
25970,25970,811.2,1569241807.349717,811.2,-77.96838097231259,615.3854763832135,-4.038585735723744,581.6609093354897,0.9963676929473876,639.5653387985487,13.70059181084136,630.4924184490901,0.9814544916152954,649.8177409008846,-37.02708126307732,630.365575365794,0.9735760688781738,621.6620242968511,51.5631464677261,664.7656949324016,0.7698818445205688,641.3117406307152,-87.27339274785611,656.94553499311,0.4884151816368103,471.99003943553726,125.37319767507576,551.0110461601404,0.8376495838165283,495.53032278094963,-114.52493821592752,514.0846755467685,0.4946955144405365,556.5294426149836,218.5921698025633,338.5493337772813,0.8730342984199524,547.0409796373388,-204.4923890567548,314.42882750479686,0.07920518517494203,664.0280590302223,253.69834676355072,148.3646359520307,0.6538008451461792,722.0638325457567,-209.2605828518229,140.50743235866338,0.8662773966789246,363.37834152917486,144.54711569459346,130.64672913392738,0.6279680132865906,389.2182878496762,-71.91646682645775,149.56480680541776,0.6462808847427368,709.8757976510386,176.901545250758,2.8943698858237785,0.32258665561676025,739.3507991458873,-106.51506050155257,44.69412962276576,0.7726072072982788,243.93012204741257,229.8771432241196,-726.875517601845,0.002901434898376465,511.70113226104064,-84.0537992163798,-437.6371079016938,0.4195875525474548,1763.8,1255.24,5.25,359.69,2759.88,602.23,7.57,138.41,2750.3,613.03,7.65,138.41,1760.39,717.99,8.37,180.37,2740.19,624.43,7.48,138.41,2730.55,635.28,7.57,138.41,1761.26,926.12,7.68,179.85,1638.3,871.11,7.7,268.68,2654.44,766.84,8.31,166.91,1760.51,1213.15,8.55,179.85,1817.07,874.39,7.82,269.55,2074.86,876.41,7.01,269.69,2277.33,873.71,8.13,89.83,1758.91,1556.1,7.95,179.28,1758.72,1571.14,7.93,179.28,1988.91,872.43,6.49,89.55,2088.89,876.47,6.37,269.83,2a,28,1569240955
25971,25971,811.2330797979993,1569241807.3827634,811.2330797979993,,608.8502085848486,-1.9419200750078645,578.1324934088436,0.9962619543075562,633.1302574185718,15.094721984586434,629.1403638047609,0.9839969873428344,655.6498919146799,-34.955802196632945,632.9840598516369,0.9730578660964966,613.381998505948,52.6186912613877,658.7548898308253,0.8253642320632935,641.7289707313661,-81.54043089996634,656.9058114170232,0.5986842513084412,465.50829979900215,130.98794255753722,544.5440542281855,0.9014568328857422,493.92628194325135,-117.52243620577026,513.5255408589221,0.7369493842124939,558.8764233964777,214.37929133621617,342.08207294583144,0.9862461090087892,552.5019910036413,-210.0781772844864,308.0710099764156,0.9722393751144408,665.7515533698455,255.0635851790041,152.30738947118084,0.6427188515663147,721.6213291141031,-207.5043524294357,142.23988882779034,0.8887266516685486,371.8549969631732,146.04690331757504,130.36288248695752,0.6359773874282837,389.7971622661718,-70.41140114989228,144.62995993151682,0.7783355712890625,721.7289445052402,179.73147277866326,6.150391060148594,0.3235912322998047,732.970489624498,-104.54594974840431,35.03012401532149,0.8070299625396729,191.20081988679212,244.82082277109777,-779.915844064382,0.004604935646057129,505.92284521729766,-80.47772111095095,-462.78487101316716,0.28250840306282043,1763.8,1255.4120149495955,5.2466920202000855,359.72638777779906,2760.048706969796,602.0447531312049,7.579923939399741,138.41,2750.4653989899957,612.8447531312048,7.620228181800777,138.41,1760.39,717.7121296968072,8.383231919199655,180.37,2740.355398989996,624.2414451514047,7.526311717198792,138.41,2730.7120910101958,635.0980611110048,7.533612222200949,138.41,1761.26,925.8652855554068,7.68,179.85,1638.0452855554065,871.1033840404002,7.7,268.68,2654.5028516161983,766.572053636207,8.326539898999567,166.91,1760.51,1212.8655137372075,8.573155858599398,179.85,1816.8119775756068,874.3866920202,7.8332319191996564,269.55,2074.628441414006,876.4066920202,7.0199239393997415,269.68007606060024,2277.601254343593,873.7133079798,8.143231919199655,89.83,1758.9133079798,1555.8386695958068,7.940076060600258,179.28,1758.7233079798002,1570.878669595807,7.9233840404001725,179.28,1989.1250186869947,872.4333079797998,6.49,89.55,2088.671673333205,876.47,6.456007474797758,269.83,2a,28,1569240955
25972,25972,811.2665109019397,1569241807.4161608,811.2665109019397,,604.3365266234907,-0.39084752226467145,578.2154178422659,0.99738347530365,640.4248432286407,25.91234032745399,638.908304486112,0.9892928004264832,657.1997142578393,-30.799856440773247,635.8633215739284,0.969180464744568,625.3222679128205,53.81288380402011,666.525312302515,0.6374567747116089,642.4353257000423,-77.92973029087581,658.9713552059402,0.697554886341095,468.4574989885165,138.38371486979338,547.9712063715929,0.8916895389556885,489.628543326967,-121.60703803384001,513.402038465455,0.4319864809513092,560.7139962058867,215.8859884748936,347.57991461123567,0.41522660851478577,559.8435071334749,-210.36008377298504,307.8305297983733,0.9661859273910522,665.4093061181973,255.98571344479112,154.90332291144952,0.6884418129920961,711.9287813935373,-214.9388538176931,148.1414418845472,0.6088730692863464,373.75388662861815,145.2661702980895,143.12953482761984,0.7472140192985535,380.8213956403901,-71.54343371981979,137.2153271409837,0.7351272106170654,727.5882798464987,185.3311811120693,2.8785467739409683,0.26444900035858154,809.1894259803746,-90.72631202910088,63.74338532987972,0.8264461755752563,164.68784483907174,257.1577964318738,-797.7108505544403,0.004052221775054932,495.4326412198595,-84.39535114510541,-489.2743294917365,0.11028590798377992,1763.8,1255.585856690087,5.243348909806018,359.7631619921338,2760.219205599893,601.8575389491369,7.589953270581943,138.41,2750.6325545096997,612.6575389491371,7.59014018825417,138.41,1760.39,717.4313084237056,8.396604360775925,180.37,2740.522554509699,624.050887858943,7.573115262715737,138.41,2730.875903419505,634.9141900393312,7.496838007866208,138.41,1761.26,925.6078660550636,7.68,179.85,1637.7878660550634,871.096697819612,7.7,268.68,2654.566370713686,766.3012616942875,8.343255450969906,166.91,1760.51,1212.5780062433175,8.596557631357868,179.85,1816.5512149648694,874.383348909806,7.846604360775925,269.55,2074.3944236864213,876.403348909806,7.0299532705819425,269.6700467294181,2277.8753893959065,873.716651090194,8.156604360775924,89.83,1758.9166510901941,1555.5745638746755,7.930046729418056,179.28,1758.726651090194,1570.6145638746757,7.916697819612037,179.28,1989.3423208626086,872.4366510901939,6.49,89.55,2088.4510280471973,876.47,6.542928345043507,269.83,2a,28,1569240955
25973,25973,811.3,1569241807.4496162,811.3,,615.280956195768,-1.2276446143934692,582.937320896563,0.99695086479187,638.9965181155065,27.715099405160327,639.3794714322482,0.9896469712257384,642.3941756779784,-30.1608666226293,630.7415709110962,0.975765585899353,627.3044014618165,54.729788204497005,665.187812507307,0.6364558339118958,640.8710826520456,-73.83175515895367,657.4435958649734,0.7214310169219971,467.9185373123868,136.65155735143802,549.9571186358949,0.8223209381103516,491.5099576730997,-124.68083604266221,514.9877985723316,0.4587387144565582,554.1135130768158,218.06637690613968,344.8015899465454,0.31001779437065125,556.7950501789858,-214.20585644057618,311.0254438789474,0.9796289205551147,672.001810039618,253.80613354787081,160.8172821528775,0.7371942400932312,716.5389541053563,-209.88331441682567,143.15184275085778,0.9080073833465576,355.480992183602,145.28530288134687,162.24653751275483,0.8709846735000609,380.6625551425949,-79.82651475827089,144.00926969588474,0.5738996267318726,595.8579504126662,202.0007159792427,-119.14950959332592,0.2226703763008117,824.4337839994812,-88.538417147769,70.49281428011872,0.7181738018989563,181.1275008514225,254.7170516297542,-779.791360256056,0.0028972625732421875,,,,0.22211480140686035,1763.8,1255.76,5.24,359.8,2760.39,601.67,7.6,138.41,2750.8,612.47,7.56,138.41,1760.39,717.15,8.41,180.37,2740.69,623.86,7.62,138.41,2731.04,634.73,7.46,138.41,1761.26,925.35,7.68,179.85,1637.53,871.09,7.7,268.68,2654.63,766.03,8.36,166.91,1760.51,1212.29,8.62,179.85,1816.29,874.38,7.86,269.55,2074.16,876.4,7.04,269.66,2278.15,873.72,8.17,89.83,1758.92,1555.31,7.92,179.28,1758.73,1570.35,7.91,179.28,1989.56,872.44,6.49,89.55,2088.23,876.47,6.63,269.83,2a,28,1569240955
25974,25974,811.3330780934031,1569241807.4826875,811.3330780934031,-113.39433306128332,606.1161078291104,3.3811421607564682,580.6240656885846,0.9970914125442504,640.9053547632485,33.07610633364402,640.2493590449769,0.9874852895736694,638.3961404903555,-26.500055442384802,628.3215730270625,0.9796539545059204,627.9140265728922,58.02834859230491,664.8995450560849,0.6814225316047668,646.1484839460395,-69.4325790333735,659.8963928855221,0.7766571044921875,464.42601132104653,136.62279442099475,546.8822092937671,0.8726400136947632,494.4176750151572,-112.33065068220742,511.97645440883247,0.8067212104797363,553.606007041004,218.11883683032474,332.87931899154097,0.6889833211898804,548.3057029987357,-202.6203077777876,310.3589661246345,0.8122600317001343,676.9614665845304,261.7038851136632,154.01570686881553,0.9184887409210204,730.7330488626487,-206.81890192126315,149.40381494974477,0.8725645542144775,369.4797463761398,140.1685199916403,163.59238680061588,0.5751245021820068,379.4898594229835,-83.26251208247335,148.03581954605616,0.5227325558662415,698.1768808026081,185.71665883433297,-24.370052307031585,0.2683323919773102,822.2457334896782,-84.89648273584498,66.58961379315086,0.6926884651184082,172.94958136694626,256.612927180072,-784.1278074016087,0.0022374391555786133,477.95745244942685,-83.05253091720155,-510.8528279348555,0.18005970120429993,1763.8,1255.9353138950355,5.236692190659703,359.8363859027433,2760.5553904670146,601.481454867603,7.616539046701492,138.41,2750.965390467015,612.281454867603,7.57984685604179,138.41,1760.3866921906601,716.8754518247553,8.393460953298508,180.37,2740.8553904670152,623.6747626769433,7.586921906597015,138.41,2731.208698276356,634.541454867603,7.532771805486566,138.41,1761.26,925.0952986807973,7.670076571979106,179.85,1637.2719908714566,871.0833843813194,7.706615618680598,268.68,2654.692848377466,765.7653752527762,8.33684533461791,166.91,1760.51,1212.0055283967342,8.603460953298509,179.85,1816.0286830621164,874.38,7.86,269.55,2073.9251455368385,876.3966921906598,7.049923428020897,269.65338438131937,2278.417932556564,873.72,8.153460953298508,89.83,1758.9233078093405,1555.0453752527758,7.946462474722388,179.28,1758.7333078093402,1570.0886830621164,7.929846856041792,179.28,1989.7750076071195,872.44,6.496615618680598,89.55,2088.0017611555195,876.47,6.716003042847759,269.83,2a,28,1569240955
