,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,Q_in-J_out.4_x,Q_in-J_out.4_y,Q_in-J_out.4_speed,Q_in-J_out.4_angle,Q_in-J_out.5_x,Q_in-J_out.5_y,Q_in-J_out.5_speed,Q_in-J_out.5_angle,Q_in-J_out.6_x,Q_in-J_out.6_y,Q_in-J_out.6_speed,Q_in-J_out.6_angle,H_in-K_out.6_x,H_in-K_out.6_y,H_in-K_out.6_speed,H_in-K_out.6_angle,Q_in-J_out.7_x,Q_in-J_out.7_y,Q_in-J_out.7_speed,Q_in-J_out.7_angle,Q_in-J_out.8_x,Q_in-J_out.8_y,Q_in-J_out.8_speed,Q_in-J_out.8_angle,K_in-H_out.11_x,K_in-H_out.11_y,K_in-H_out.11_speed,K_in-H_out.11_angle,H_in-K_out.7_x,H_in-K_out.7_y,H_in-K_out.7_speed,H_in-K_out.7_angle,H_in-K_out.8_x,H_in-K_out.8_y,H_in-K_out.8_speed,H_in-K_out.8_angle,K_in-H_out.12_x,K_in-H_out.12_y,K_in-H_out.12_speed,K_in-H_out.12_angle,K_in-H_out.13_x,K_in-H_out.13_y,K_in-H_out.13_speed,K_in-H_out.13_angle,Q_in-J_out.9_x,Q_in-J_out.9_y,Q_in-J_out.9_speed,Q_in-J_out.9_angle,H_in-K_out.9_x,H_in-K_out.9_y,H_in-K_out.9_speed,H_in-K_out.9_angle,K_in-H_out.14_x,K_in-H_out.14_y,K_in-H_out.14_speed,K_in-H_out.14_angle,H_in-K_out.10_x,H_in-K_out.10_y,H_in-K_out.10_speed,H_in-K_out.10_angle,H_in-K_out.11_x,H_in-K_out.11_y,H_in-K_out.11_speed,H_in-K_out.11_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,K_in-H_out.15_x,K_in-H_out.15_y,K_in-H_out.15_speed,K_in-H_out.15_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,K_in-H_out.16_x,K_in-H_out.16_y,K_in-H_out.16_speed,K_in-H_out.16_angle,H_in-K_out.12_x,H_in-K_out.12_y,H_in-K_out.12_speed,H_in-K_out.12_angle,Q_in-J_out.14_x,Q_in-J_out.14_y,Q_in-J_out.14_speed,Q_in-J_out.14_angle,scenario,participant_id,source_file
25239,25239,783.7336255145883,1568378931.826819,783.7336255145883,,566.9485872147886,10.488072280567998,673.660925987195,0.9976727962493896,587.2025325797614,39.29980861567099,735.6650138506619,0.985889196395874,617.2080002040258,-23.71911184917437,743.2188050793071,0.9145442247390748,495.47197990323235,92.87417462019957,731.431189215484,0.8247606754302979,567.4570651661861,-63.425356887809045,733.0458941890428,0.16066700220108032,461.5938626252088,155.27934447785668,593.5844863219222,0.15240421891212466,453.9279768337322,-108.04764764914292,586.2875702736883,0.02304074168205261,605.7191462693228,238.59648027594966,388.76395650554497,0.9183306694030762,548.8214509816427,-193.37472360148567,408.9476839911186,0.5618665814399719,784.6315016559215,277.73204016392066,233.22214155176403,0.8988925814628601,723.2345635939389,-222.88963691023503,170.19315137810318,0.4814618229866028,409.96664225670446,138.58782758329156,197.75515801231472,0.22062212228775024,407.03448280446815,-89.47683304133653,215.76433751083957,0.5850823521614075,665.311609809621,138.30316794322607,-2.7900334819498767,0.153245747089386,717.4036856650516,-113.929524446607,106.18995923325356,0.4658088684082031,512.7295784327721,190.0809743545808,-514.9953556945645,0.014009684324264526,809.1557978062485,-35.61339128233114,-134.165555760468,0.013797432184219359,1762.1434502058353,1233.4850279846114,5.826637448541183,2.73803991856446,1760.356637448541,712.661258846424,6.967251029176366,180.37,1761.31,906.6313465008003,6.8101753087529096,179.85,1761.27,921.5813465008004,6.7566374485411815,179.85,1609.3545337435062,870.4332748970824,7.349912345623546,268.64318724270595,1761.23,935.4747090522592,6.7830995883294545,179.85,1761.2,949.2613465008003,6.793537860211727,179.85,2642.860262963129,839.5977209862123,7.8601753087529085,173.91,1623.4845337435065,870.7632748970824,7.32,268.68,1638.4945337435065,871.1132748970824,7.236812757294091,268.68,2488.002279013788,874.32,7.829912345623544,89.83,2471.992279013788,874.28,7.8498246912470915,89.83,1759.2233625514586,1530.771258846424,7.0832748970823625,179.28,1838.1141831260004,874.5566374485411,8.563187242705908,269.55,2118.4519283962823,873.2533625514587,6.6099123456235445,89.83,2076.9778086405886,876.4166374485411,7.58,269.71,2125.6645337435057,876.5766374485413,7.353099588329455,269.83,1757.5633625514588,1663.3042707803768,8.173187242705911,179.28,1751.1583028816938,1721.2793864193645,7.509035801858998,130.10866090028378,1744.032661316447,1743.4078962949652,7.570087654376454,198.1432748970824,2063.1525419769173,873.0133625514587,8.693274897082363,89.55,1755.8567251029174,1779.5041831260003,8.513274897082361,179.0,1875.2521037050349,871.5433625514587,7.206725102917638,89.55,2285.934007817247,877.04,9.086900411670547,269.83,1755.5867251029174,1794.9875456774594,8.416812757294089,179.0,2a,11,1568378102
25240,25240,783.7668185504751,1568378931.8602874,783.7668185504751,,561.945715067919,-1.7316901553421502,672.1220979876854,0.9980219006538392,582.7256676456808,25.72411434433627,736.1320474873305,0.9882558584213256,603.9098802923628,-32.9622624985746,739.6987409425493,0.8899011015892029,503.1183962067485,79.72333894020653,736.4523778245077,0.9144243001937866,574.8899337196955,-71.44835062461206,740.3925798832146,0.3077240586280823,464.38708507464906,152.25745811577602,584.0451809121025,0.1809699535369873,454.78137557612473,-108.69201885488705,581.1836873066909,0.0733993649482727,604.8510678696485,239.79379014551654,382.9443920744104,0.8937550187110901,552.7569791738798,-197.7250443449295,406.1817604323438,0.907118320465088,793.5762029050353,282.53424050705587,218.34650351666718,0.9104275107383728,723.0126648398117,-218.16048173472402,168.11952558852926,0.4187377393245697,409.1825404356957,135.87598489085735,198.28300505500943,0.05082288384437561,425.0397711354799,-84.61368793774069,238.1679020126386,0.5361624360084534,652.4905256997117,145.09859873616887,-5.259530142240578,0.592850387096405,702.1439039941401,-121.03198214565542,133.34089374828727,0.2826162874698639,478.4903853533284,192.4674958528188,-555.3763528006967,0.01742503046989441,632.2135036777756,-22.642623808406267,-233.26805963361224,0.019769638776779168,1762.1567274201902,1233.6775475927561,5.823318144952485,2.8940471872332125,1760.3533181449525,712.4255882916265,7.033637100950303,180.37,1761.31,906.405633856769,6.8300911302850915,179.85,1761.27,921.3556338567688,6.753318144952486,179.85,1609.1122245815313,870.426636289905,7.3399544348574555,268.6265907247624,1761.23,935.2523157118164,6.756545159619878,179.85,1761.2,949.035633856769,6.816772985332607,179.85,2642.890136695428,839.3388153062939,7.880091130285091,173.91,1623.2422245815314,870.7566362899049,7.32,268.68,1638.2522245815314,871.1066362899049,7.253409275237575,268.68,2488.261184693706,874.32,7.819954434857454,89.83,2472.2511846937064,874.28,7.829908869714909,89.83,1759.2266818550477,1530.5355882916265,7.07663628990497,179.28,1837.8320423209607,874.5533181449524,8.546590724762424,269.55,2118.671002433136,873.2566818550474,6.599954434857454,89.83,2076.7288608714357,876.4133181449524,7.58,269.71,2125.4222245815313,876.5733181449525,7.3265451596198785,269.83,1757.5666818550476,1663.0320878861035,8.156590724762424,179.28,1751.3441838826611,1721.2096810440023,7.399498783432,129.19917171698083,1743.9563173339072,1743.168906436579,7.5800455651425445,198.13663628990497,2063.441321389134,873.0166818550474,8.68663628990497,89.55,1755.863363710095,1779.2220423209612,8.50663628990497,179.0,1875.4910935634207,871.5466818550475,7.21336371009503,89.55,2285.631951190676,877.04,9.113454840380122,269.83,1755.593363710095,1794.7087241760087,8.433409275237576,179.0,2a,11,1568378102
25241,25241,783.8,1568378931.8937442,783.8,-81.47658474929895,564.8280843642342,-5.358933188168798,675.9372313702179,0.9979696273803712,580.5838214999551,21.56574624192659,739.6277593099823,0.9703733921051024,601.4417526116073,-35.70006038983876,741.4552282109554,0.8294817805290222,513.8439203787358,72.45738299797827,740.9077900836908,0.7681034803390503,580.2085334108252,-75.19958761832254,743.0175998915004,0.3008913993835449,458.0325096884581,144.6487637879124,603.4564760163242,0.6586512923240662,456.2973997773137,-109.181779327856,582.984512362332,0.04879996180534363,605.1611989424442,239.93234101585216,391.5100549545552,0.8551075458526611,559.5637467412931,-202.227131081571,403.0551734985042,0.9686294198036194,780.9678930294832,283.3183929124798,225.93797647155026,0.8936913013458252,724.2759537348007,-218.54976471912983,164.70246669742892,0.3619279563426971,426.8354549985685,140.37934050137474,178.67707168158853,0.01723530888557434,432.82223826714136,-76.75534780819126,234.18285557993752,0.10663825273513794,705.8283632587363,140.00186385359476,21.56657221603104,0.20353493094444275,703.4647290823407,-146.03650996035262,142.67339888807516,0.34107357263565063,443.6958109152324,187.19925048193818,-588.9519362341645,0.009512007236480713,660.7092936371084,29.716231353687657,-106.39891632948748,0.07795318961143494,1762.17,1233.87,5.82,3.05,1760.35,712.19,7.1,180.37,1761.31,906.18,6.85,179.85,1761.27,921.13,6.75,179.85,1608.87,870.42,7.33,268.61,1761.23,935.03,6.73,179.85,1761.2,948.81,6.84,179.85,2642.92,839.08,7.9,173.91,1623.0,870.75,7.32,268.68,1638.01,871.1,7.27,268.68,2488.52,874.32,7.81,89.83,2472.51,874.28,7.81,89.83,1759.23,1530.3,7.07,179.28,1837.55,874.55,8.53,269.55,2118.89,873.26,6.59,89.83,2076.48,876.41,7.58,269.71,2125.18,876.57,7.3,269.83,1757.57,1662.76,8.14,179.28,1751.53,1721.14,7.29,128.29,1743.88,1742.93,7.59,198.13,2063.73,873.02,8.68,89.55,1755.87,1778.94,8.5,179.0,1875.73,871.55,7.22,89.55,2285.33,877.04,9.14,269.83,1755.6,1794.43,8.45,179.0,2a,11,1568378102
25242,25242,783.8336356030742,1568378931.9276767,783.8336356030742,-81.63929206694209,567.9350273794244,-11.79066884746221,678.1859426138961,0.9978745579719543,586.7195854619954,14.001214899973354,742.6897558180548,0.8862119913101196,605.0032488304321,-46.9202062059157,744.3840747427325,0.9668905735015868,513.5898148221311,67.91975403734149,745.1595807687307,0.7891641855239868,589.3845378454429,-80.08051432779601,746.3702982544844,0.5343379378318787,461.6100448214289,140.3101985342549,606.0319518661464,0.600318968296051,455.27102731677803,-110.96131560620668,580.7412491083701,0.052987873554229736,604.0457013977589,241.53811036042114,394.99302160385867,0.8684936761856079,544.2874922127369,-193.1282261942204,417.1576377761595,0.6727758646011353,797.097019489318,286.57061318164415,218.3597717453476,0.9172174334526062,726.341145958945,-216.444892238186,168.58413086314889,0.4556576609611511,422.778444042029,143.43267908631643,185.56662272976337,0.05795973539352418,424.42033762940827,-77.7971165640044,247.14190754655635,0.4035184383392334,736.6696504665007,143.29622213310708,36.743964650519,0.2502371668815613,707.9529265945225,-141.74585121049378,171.98311510497112,0.5637837052345276,417.4590972226738,184.79809160662705,-615.3214118801902,0.011071473360061646,739.5722870940808,17.39921421655025,-6.768242271688847,0.08801084756851196,1762.1868178015372,1234.0650864978304,5.826727120614844,3.288812781826985,1760.35,711.9478236578658,7.14372628399649,180.37,1761.31,905.9512778990953,6.829818638155467,179.85,1761.27,920.9012778990954,6.766817801537112,179.85,1608.624460097558,870.4132728793851,7.316545758770312,268.58981863815546,1761.23,934.8012778990953,6.7333635603074224,179.85,1761.2,948.5812778990953,6.809727957233199,179.85,2642.9469084824595,838.8142787357136,7.903363560307423,173.91,1622.7510965372508,870.7466364396927,7.326727120614844,268.68,1637.7678236578656,871.0932728793853,7.2733635603074225,268.68,2488.782357703979,874.3233635603075,7.8167271206148445,89.83,2472.7757212642864,874.28,7.8335449221519555,89.83,1759.2333635603077,1530.061187218173,7.080090680922267,179.28,1837.2607338135615,874.5466364396925,8.543454241229691,269.55,2119.1119949802896,873.26,6.596727120614845,89.83,2076.224369416636,876.41,7.610272042766801,269.71,2124.93109653725,876.57,7.316817801537112,269.83,1757.5733635603076,1662.487551615099,8.15345424122969,179.28,1751.7553585405976,1721.0458203113922,7.293363560307423,127.35156667422916,1743.7992745526221,1742.6878236578657,7.573182198462888,198.12663643969262,2064.0226297467457,873.02,8.676636439692578,89.55,1755.8733635603073,1778.654097373869,8.503363560307422,179.0,1875.9755399024414,871.55,7.236817801537112,89.55,2285.0239160120245,877.0366364396925,9.113091517540623,269.83,1755.6033635603073,1794.144097373869,8.466817801537111,179.0,2a,11,1568378102
25243,25243,783.8667070795874,1568378931.96104,783.8667070795874,-68.16408426826085,568.8265007797529,-13.884952024575615,680.9953376744834,0.9978220462799072,590.1612475870201,11.396302917002885,745.2587271064513,0.8804271221160889,601.8029436762804,-50.88289996862309,742.9789548440215,0.9604953527450562,529.6797024761483,61.8821147827114,748.894406642939,0.8752928972244263,589.1250453985182,-87.20896674648655,744.9082730622749,0.627372682094574,457.5353007136665,139.16079350145284,607.5590460318248,0.61397385597229,455.171742252409,-112.55754673198206,578.9489916763503,0.07426092028617859,607.8852045724152,240.506897441268,397.23722142376084,0.8592553138732909,545.9975272755717,-198.88101579649967,409.422829110248,0.931570529937744,779.0306859204898,288.1274045088661,222.8801696547221,0.8923845887184143,724.9660456392917,-216.4695361481417,165.41479362973303,0.4506067633628845,420.09929807907537,143.8749205734031,186.53272289782768,0.053766489028930664,406.4161577986742,-73.94419338750534,245.66400586214885,0.3604091107845305,729.1799385020363,149.85511964906158,34.22525951013762,0.2323501408100128,697.6748751911459,-140.17040281536,165.17452714098854,0.8684841394424438,396.8877858723365,184.21446502792347,-644.3179516788424,0.011927753686904907,775.6353726763314,7.221575772065827,13.620170715427092,0.020442456007003784,1762.203353539794,1234.256901061607,5.833341415917486,3.5236202650707527,1760.35,711.7097090269707,7.186719203463659,180.37,1761.31,905.7263918588054,6.809975752247543,179.85,1761.27,920.6763918588057,6.783353539793715,179.85,1608.3830383190118,870.4066585840825,7.303317168165027,268.56997575224756,1761.23,934.5763918588054,6.7366707079587425,179.85,1761.2,948.3563918588054,6.779963628371313,179.85,2642.97336566367,838.5530140712593,7.906670707958742,173.91,1622.5063676110528,870.7433292920413,7.333341415917486,268.68,1637.5297090269705,871.0866585840827,7.2766707079587425,268.68,2489.040315220782,874.3266707079587,7.823341415917486,89.83,2473.036985928741,874.28,7.856694955711202,89.83,1759.2366707079586,1529.8263797349289,7.090012123876228,179.28,1836.976319115548,874.5433292920413,8.556682831834973,269.55,2119.330266725277,873.26,6.6033414159174875,89.83,2075.9730261951354,876.41,7.640036371628687,269.71,2124.686367611053,876.57,7.333353539793714,269.83,1757.5766707079588,1662.2196726553418,8.166682831834972,179.28,1751.9769374332361,1720.9532201771551,7.296670707958742,126.4288724795107,1743.7199030089905,1742.4497090269706,7.556646460206285,198.1233292920413,2064.3103515924104,873.02,8.673329292041258,89.55,1755.8766707079587,1778.3729898235067,8.506670707958742,179.0,1876.2169616809886,871.55,7.253353539793714,89.55,2284.722965575754,877.0333292920413,9.086634336330055,269.83,1755.6066707079588,1793.8629898235067,8.483353539793715,179.0,2a,11,1568378102
25244,25244,783.9,1568378931.9946268,783.9,-71.28074094938863,567.3865072350227,-15.456688923958746,679.8230128039057,0.9979121685028076,590.829540844798,9.497183204547092,744.7937104172314,0.8772532343864441,608.6684361667859,-50.737623704255476,745.223735173622,0.9597930908203124,537.7603242375396,54.55380039023849,751.0997047659207,0.7711420059204102,581.9777308857706,-90.66676494365049,741.355150190024,0.5799607038497925,459.93078570982163,137.33837977282843,609.999923356208,0.6120262742042542,455.0520448676509,-115.60004784833981,578.1395947774395,0.057751953601837165,616.4698515183085,242.7276543535321,404.30673384323893,0.8703504800796509,547.7014113261689,-197.8490912263519,405.7420497055373,0.8960050344467163,796.8232414366963,289.5696197587315,217.85643881173752,0.8719871044158936,723.0822026386045,-214.3045009692966,167.71898356425427,0.4799709618091583,417.23564849622016,165.67451466562125,188.61252965920863,0.009606629610061646,409.9288047096419,-72.997488797136,245.47648320076016,0.4580093026161194,625.5973034756481,153.56190962696658,-20.95156551212972,0.6503159999847412,689.7388169963551,-135.40202456338238,163.1467512282856,0.4211217164993286,361.7293304583071,188.02184747007882,-685.9565464168234,0.009304732084274292,664.1066813070875,-24.572046482975807,-104.5016816769015,0.014858335256576538,1762.22,1234.45,5.84,3.76,1760.35,711.47,7.23,180.37,1761.31,905.5,6.79,179.85,1761.27,920.45,6.8,179.85,1608.14,870.4,7.29,268.55,1761.23,934.35,6.74,179.85,1761.2,948.13,6.75,179.85,2643.0,838.29,7.91,173.91,1622.26,870.74,7.34,268.68,1637.29,871.08,7.28,268.68,2489.3,874.33,7.83,89.83,2473.3,874.28,7.88,89.83,1759.24,1529.59,7.1,179.28,1836.69,874.54,8.57,269.55,2119.55,873.26,6.61,89.83,2075.72,876.41,7.67,269.71,2124.44,876.57,7.35,269.83,1757.58,1661.95,8.18,179.28,1752.2,1720.86,7.3,125.5,1743.64,1742.21,7.54,198.12,2064.6,873.02,8.67,89.55,1755.88,1778.09,8.51,179.0,1876.46,871.55,7.27,89.55,2284.42,877.03,9.06,269.83,1755.61,1793.58,8.5,179.0,2a,11,1568378102
25245,25245,783.933198109214,1568378932.028283,783.933198109214,,565.7254386758167,-17.34115342100702,674.3046703108463,0.996517539024353,588.5054228046042,6.66410461726624,741.3592213797567,0.866026759147644,610.9978111278103,-51.04118204936863,741.7101015806552,0.951920449733734,519.2538784245263,59.79884707551667,749.9276103231615,0.8693408370018005,585.262895964702,-87.3576016697809,737.3627454043999,0.20544761419296265,458.81459070630194,134.41487521737895,613.6878731825683,0.7128874063491821,456.9215466515651,-125.67066202289608,579.4959148328494,0.0563068687915802,615.0118011684377,239.97515052334305,409.7612918152802,0.8979796171188354,545.4721655622003,-191.449006942358,419.9045811607898,0.6734252572059631,802.4424298909304,289.05647196948917,219.84764564564475,0.8616431355476379,723.5465167550677,-214.2608533356276,174.91888040897754,0.5566754341125488,423.8896916793259,178.66485233979725,189.72450198043708,0.01325702667236328,408.1072007081276,-73.13814835408475,241.1160319676422,0.4872956573963165,656.8168838488014,152.09745902693726,-6.3234707001287225,0.19896185398101807,689.1314803941499,-133.26401447294683,159.5427066321455,0.2987099289894104,351.2839421658993,190.49401162628413,-692.85291820161,0.0075893402099609375,590.0400108047861,-45.045108848597756,-231.2672552930181,0.0079154372215271,1762.236599054607,1234.645868844363,5.836680189078598,4.048823550161966,1760.3466801890784,711.2243339918163,7.276477352899628,180.37,1761.31,905.2709330464232,6.80991886552841,179.85,1761.27,920.2242528573448,6.809959432764206,179.85,1607.8976538027378,870.3933603781572,7.296639621842804,268.5300811344716,1761.2333198109213,934.127572668266,6.74,179.85,1761.2,947.9042528573448,6.773238676449814,179.85,2643.0265584873714,838.034374559052,7.89008113447159,173.91,1622.020973613659,870.7333603781572,7.3101217017073825,268.68,1637.0443339918163,871.0766801890787,7.29659905460701,268.68,2489.558945251869,874.33,7.820040567235794,89.83,2473.562265062791,874.28,7.866720756314392,89.83,1759.2433198109213,1529.3576132355015,7.08340094539299,179.28,1836.4078160716806,874.54,8.556720756314393,269.55,2119.772427331734,873.26,6.643198109214018,89.83,2075.4676943699733,876.41,7.656720756314392,269.7066801890785,2124.197653802738,876.57,7.346680189078598,269.83,1757.5833198109212,1661.6777755044452,8.16340094539299,179.28,1752.4224273317336,1720.7637254832794,7.296680189078598,124.6268897276713,1743.5636443488079,1741.9742934245803,7.52340094539299,198.1166801890786,2064.8888235501613,873.0233198109213,8.676639621842803,89.55,1755.886639621843,1777.8078160716807,8.49340094539299,179.0,1876.6990263863408,871.5533198109214,7.266680189078598,89.55,2284.1178972061525,877.03,9.086558487371217,269.83,1755.6166396218428,1793.2978160716807,8.48340094539299,179.0,2a,11,1568378102
25246,25246,783.9663193170593,1568378932.0618615,783.9663193170593,-78.40084823543813,559.2049799983648,-21.67856745903202,667.5359970767888,0.9935283660888672,589.3901371142163,2.9871915002724165,738.3579588318712,0.8652034997940063,599.4345010145902,-52.08936387820084,734.0343362501317,0.9434170126914978,506.8300511969432,62.3203561283505,744.259271736371,0.9110251665115356,590.8780620489989,-84.98493805705007,737.7508070038813,0.1294773519039154,454.2127537118166,141.7880340491078,634.2772979056356,0.9370762705802916,445.73799216094216,-124.24474273398646,615.662319639775,0.7550940513610841,609.7853144041829,242.031972303622,405.7330273816507,0.8719222545623779,562.1247119699052,-201.79040872479518,392.48742924756255,0.9421034455299376,803.4922851496273,288.72918398531283,219.1771208082335,0.7685912847518921,723.0531835795523,-217.78606224038668,168.0401327391127,0.8124901056289673,429.8186128053732,184.25151243847665,191.7333119832127,0.01480370759963989,420.3707363879017,-74.26775012595515,230.3129772157636,0.10593974590301514,686.1997838801077,149.413530501664,6.17069215563248,0.11097672581672667,694.5816948243553,-135.09513233624114,140.50367603499723,0.3419554829597473,342.6913225759003,191.12349820212432,-699.3814985202526,0.008968502283096312,573.0181618096701,-62.43059528450605,-284.93408474186435,0.0030549466609954834,1762.2531596585293,1234.8412839706505,5.833368068294059,4.336978058416857,1760.343368068294,710.9792370537604,7.322847043883172,180.37,1761.31,905.04239671229,6.8297915902356445,179.85,1761.27,919.999028643996,6.819895795117822,179.85,1607.6558689854667,870.3867361365882,7.303263863411883,268.51020840976435,1761.236631931706,933.9056605757021,6.74,179.85,1761.2,947.6790286439959,6.796423521941588,179.85,2643.053055453648,837.7793412586424,7.870208409764356,173.91,1621.7825009171722,870.7267361365881,7.280312614646532,268.68,1636.7992370537604,871.073368068294,7.313159658529703,268.68,2489.8172906730633,874.33,7.810104204882179,89.83,2473.823922604769,874.28,7.853472273176236,89.83,1759.246631931706,1529.1257647805842,7.0668403414702965,179.28,1836.1262858049952,874.54,8.543472273176237,269.55,2119.9943394242982,873.26,6.676319317059409,89.83,2075.2159731903484,876.41,7.643472273176236,269.70336806829397,2123.955868985466,876.57,7.343368068294059,269.83,1757.5866319317056,1661.4061816001126,8.146840341470298,179.28,1752.644339424298,1720.6676739805278,7.293368068294059,123.75580196133757,1743.4874655707633,1741.7391328488782,7.506840341470296,198.1133680682941,2065.1769780584173,873.0266319317059,8.683263863411879,89.55,1755.893263863412,1777.526285804995,8.476840341470298,179.0,1876.937499082828,871.556631931706,7.263368068294059,89.55,2283.81649421476,877.03,9.113055453647528,269.83,1755.623263863412,1793.016285804995,8.466840341470295,179.0,2a,11,1568378102
25247,25247,784.0,1568378932.096007,784.0,-71.4766215582037,562.7517460914256,-22.151249832693864,667.5640843711783,0.9939075708389282,586.4111633653154,2.203313621465014,736.0724330168439,0.9030274152755736,587.865690217958,-54.38737193330871,725.4844231145555,0.9574759006500244,520.1425111797007,61.49608307848254,748.9086598730516,0.9034864902496338,580.8485088646113,-85.28384830754563,729.6845144018092,0.18184226751327515,453.68828876064924,144.57667843561188,636.4874713357929,0.9426766633987428,441.5347938860946,-123.58963117703657,608.9449862229787,0.5540837049484253,611.8723892033463,241.21089046156675,410.04559603911673,0.9290670156478882,558.8382230777485,-194.83772030042613,405.2319431215558,0.8363490700721741,806.9523121251468,288.57450901498964,220.1667660438353,0.8011862635612488,711.2309001826958,-217.2921675209733,167.12836226604398,0.5455174446105957,432.04338242641,186.85506716821885,193.62078238158608,0.020285367965698242,397.7204343227885,-79.58939814006389,215.67970820678215,0.6921118497848511,718.8969748355887,148.4207713454185,26.626011397453734,0.09908178448677064,683.3998934792739,-136.55203152800524,124.88041235394917,0.5981307625770569,354.3945815141912,218.6389479227857,-685.0143019798193,0.007636576890945435,575.2883363514936,-69.61319687735674,-301.17464890242456,0.005311250686645508,1762.27,1235.04,5.83,4.63,1760.34,710.73,7.37,180.37,1761.31,904.81,6.85,179.85,1761.27,919.77,6.83,179.85,1607.41,870.38,7.31,268.49,1761.24,933.68,6.74,179.85,1761.2,947.45,6.82,179.85,2643.08,837.52,7.85,173.91,1621.54,870.72,7.25,268.68,1636.55,871.07,7.33,268.68,2490.08,874.33,7.8,89.83,2474.09,874.28,7.84,89.83,1759.25,1528.89,7.05,179.28,1835.84,874.54,8.53,269.55,2120.22,873.26,6.71,89.83,2074.96,876.41,7.63,269.7,2123.71,876.57,7.34,269.83,1757.59,1661.13,8.13,179.28,1752.87,1720.57,7.29,122.87,1743.41,1741.5,7.49,198.11,2065.47,873.03,8.69,89.55,1755.9,1777.24,8.46,179.0,1877.18,871.56,7.26,89.55,2283.51,877.03,9.14,269.83,1755.63,1792.73,8.45,179.0,2a,11,1568378102
25248,25248,784.0329342967218,1568378932.1290658,784.0329342967218,,556.0326121724938,-20.82073703708659,664.782270417529,0.9943153858184814,589.983738931418,4.3562921333632545,736.3292460603445,0.8941742777824402,597.6044953462849,-54.605209849649036,728.3437964475902,0.9586746096611024,520.353076958708,65.71225611806561,751.96617867241,0.9039056897163392,586.3794993971867,-84.47472343372797,729.6464599205922,0.16973331570625305,451.1456005971743,147.7254416421875,631.7595048891404,0.9126559495925904,443.88793406786215,-123.12605019648458,609.1075543691214,0.5251597762107849,582.2200006299511,232.315797084219,422.00116128054697,0.8635038137435913,550.4065877942401,-191.66383184731444,403.18746330564863,0.8724648952484131,798.2573837447394,280.76548574980825,225.69874930710208,0.14508384466171265,714.6889389084599,-215.30474800427336,171.26139427469857,0.5197441577911377,395.5179845899444,150.8701217984045,208.20848911927794,0.7405757904052734,402.9444833119962,-81.75346556472103,204.9901972558877,0.15174490213394165,659.9494963927988,151.0109282024934,16.107569618954898,0.01832270622253418,675.5344485184053,-128.82082066214159,80.1882093293938,0.5462740659713745,335.8865859658075,235.94070826994053,-700.8065281886113,0.005188643932342529,632.1186145069697,-56.422246578121005,-253.5580586169167,0.0105401873588562,1762.2930540077055,1235.2310189209857,5.826706570327832,4.890180944101305,1760.34,710.4829927745874,7.422694874754696,180.37,1761.31,904.5860467822927,6.836826281311326,179.85,1761.27,919.5460467822926,6.83,179.85,1607.1695796339318,870.3734131406558,7.300119710983496,268.470239421967,1761.24,933.4527533526204,6.772934296721684,179.85,1761.2,947.2260467822923,6.803532851639157,179.85,2643.1096408670496,837.2631124855708,7.85,173.91,1621.2995796339317,870.7134131406558,7.269760578033012,268.68,1636.3095796339317,871.0634131406558,7.33,268.68,2490.3368875144292,874.33,7.8,89.83,2474.343594084757,874.2832934296721,7.816945992294822,89.83,1759.2532934296719,1528.6594599229486,7.0434131406556615,179.28,1835.5567650481933,874.536706570328,8.533293429672169,269.55,2120.437366358363,873.26,6.686945992294822,89.83,2074.709699344915,876.4067065703279,7.63,269.6901197109835,2123.4695796339315,876.57,7.3202394219669875,269.83,1757.593293429672,1660.8665256262266,8.110239421966991,179.28,1753.087366358363,1720.4777839691794,7.270239421966989,122.06310973031874,1743.330957687868,1741.2628730636038,7.522934296721684,198.11,2065.756528381479,873.0332934296721,8.69,89.55,1755.9032934296722,1776.9633519075378,8.46,179.0,1877.4204203660684,871.5632934296723,7.263293429672168,89.55,2283.2070044701613,877.03,9.146586859344335,269.83,1755.6332934296722,1792.4500584778657,8.453293429672168,179.0,2a,11,1568378102
