,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,Q_in-J_out.7_x,Q_in-J_out.7_y,Q_in-J_out.7_speed,Q_in-J_out.7_angle,Q_in-J_out.8_x,Q_in-J_out.8_y,Q_in-J_out.8_speed,Q_in-J_out.8_angle,H_in-K_out.15_x,H_in-K_out.15_y,H_in-K_out.15_speed,H_in-K_out.15_angle,Q_in-J_out.9_x,Q_in-J_out.9_y,Q_in-J_out.9_speed,Q_in-J_out.9_angle,K_in-H_out.17_x,K_in-H_out.17_y,K_in-H_out.17_speed,K_in-H_out.17_angle,H_in-K_out.16_x,H_in-K_out.16_y,H_in-K_out.16_speed,H_in-K_out.16_angle,K_in-H_out.18_x,K_in-H_out.18_y,K_in-H_out.18_speed,K_in-H_out.18_angle,K_in-H_out.19_x,K_in-H_out.19_y,K_in-H_out.19_speed,K_in-H_out.19_angle,K_in-H_out.20_x,K_in-H_out.20_y,K_in-H_out.20_speed,K_in-H_out.20_angle,H_in-K_out.17_x,H_in-K_out.17_y,H_in-K_out.17_speed,H_in-K_out.17_angle,H_in-K_out.18_x,H_in-K_out.18_y,H_in-K_out.18_speed,H_in-K_out.18_angle,K_in-H_out.21_x,K_in-H_out.21_y,K_in-H_out.21_speed,K_in-H_out.21_angle,H_in-K_out.19_x,H_in-K_out.19_y,H_in-K_out.19_speed,H_in-K_out.19_angle,H_in-K_out.20_x,H_in-K_out.20_y,H_in-K_out.20_speed,H_in-K_out.20_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,H_in-K_out.21_x,H_in-K_out.21_y,H_in-K_out.21_speed,H_in-K_out.21_angle,scenario,participant_id,source_file
27111,27111,880.8,1568114354.817811,880.8,-88.70086964943881,,631.3546209254539,68.25658272148576,629.9591390777127,0.9978827834129332,622.0460447244358,91.66537445003078,669.0660439756925,0.9753589630126952,625.3304369589075,42.34655571919564,667.8942630768432,0.8910830616950989,572.9273406124192,135.0559239396601,678.3807234129032,0.6540400981903076,552.4651072916957,-6.079439888717346,655.7862701698771,0.482761949300766,503.4651630855872,198.7536782457307,525.6097556826116,0.9390709400177002,506.4560196343269,-52.78957253615485,523.482701678291,0.9670451879501344,582.3052691072664,283.1446204229472,313.8858764543424,0.2965223789215088,612.8689582260853,-117.95313127518813,318.6409200020208,0.18246465921401972,769.4135994188539,319.4336307336559,188.01941009684123,0.8108801841735841,797.8291634675458,-151.21735444874406,207.8349594153945,0.43664485216140747,492.66152452793966,185.55383585030566,37.51253213626313,0.6535997986793518,538.1594667293787,-12.70698351709652,36.687817618251394,0.3502972722053528,494.3619665724321,211.09291750850704,-405.56481264443437,0.1078125536441803,153.20190216070637,-122.81624285676041,-860.3992057167758,0.12620052695274353,508.478013756561,204.66654087327217,-527.2631166021762,0.0432853102684021,383.42714626113127,-111.08995756653722,-681.4370932735284,0.018861502408981327,1764.55,1267.59,4.75,1.58,1761.26,851.69,7.16,180.37,1761.32,865.84,7.11,180.1,1436.68,866.2,7.79,268.61,1760.95,1044.03,7.67,179.85,2671.78,715.24,8.01,157.26,1451.36,866.55,7.74,268.61,2666.0,729.01,8.08,157.26,2660.22,742.81,8.05,164.95,2557.96,874.53,8.4,89.83,1909.02,875.11,7.51,269.55,1926.93,875.25,7.5,269.55,2542.49,874.48,8.29,89.83,1942.16,875.37,7.51,269.55,2066.8,876.34,8.15,269.55,1759.83,1475.3,9.26,179.85,1755.81,1782.24,6.18,179.0,1755.58,1795.39,6.26,179.0,2140.54,876.62,8.92,269.83,2a,5,1568113453
27112,27112,880.833270296567,1568114354.8510735,880.833270296567,,,634.3258717770817,66.21961739277626,632.2993233820025,0.9975346922874452,625.5430279147356,88.94003943839064,669.7172457514113,0.978000819683075,632.6568920964914,40.08417824936269,668.2009641209595,0.8669841289520264,585.0120637419643,128.57920080198144,683.11681890484,0.6907277107238771,559.5806231859215,-8.940409153572038,657.7829441250196,0.3930914402008057,510.4841901175743,196.2842343231853,532.9184495251587,0.9563884735107422,505.8937688110528,-57.73406289419444,524.0823627026939,0.96906578540802,584.3634834506457,283.030630252679,320.3177962523686,0.34444671869277954,606.7734009072867,-117.28565938062441,326.673681867234,0.5569390058517456,780.3077812291992,314.4078137330834,191.2901068896193,0.7257008552551271,805.4010140702843,-153.1956309316314,200.64710221433305,0.8945314288139343,503.2848108256997,186.59309101835203,45.82813278116429,0.6255969405174255,545.7012062691473,-15.89032750620045,57.941390614249656,0.3924621641635895,451.7149748100509,217.51938151932202,-489.7992759241812,0.1204507052898407,179.54789567080365,-92.25554558547951,-778.5794080960727,0.12241458892822266,483.57008267055727,206.75442804291248,-537.2581458420839,0.11663717031478882,1319.0857927950722,-28.370758194108596,367.640778375481,0.020786076784133908,1764.5533270296567,1267.7463703938645,4.74667297034331,1.5766729703433098,1761.26,851.4504538647183,7.176635148283451,180.37,1761.32,865.603780894375,7.133289207596833,180.1,1436.4238187164347,866.1933459406866,7.760056733089787,268.61,1760.95,1043.7771457460917,7.643383762746477,179.85,2671.883137919357,714.9937998054048,8.026635148283452,157.26,1451.100491686778,866.5433459406865,7.749981088970071,268.61,2666.103137919357,728.7671268350616,8.046729703433096,157.26,2660.323137919357,742.5637998054049,8.059981088970071,164.47423475909324,2558.239470491162,874.53,8.39334594068662,89.83,1908.770472775748,875.1066729703433,7.513327029656691,269.55,1926.683799805405,875.2466729703433,7.486691881373239,269.55,2542.769470491162,874.48,8.313289207596831,89.83,1941.9104727757485,875.3666729703433,7.513327029656691,269.55,2066.5271835681515,876.34,8.15,269.55,1759.83,1474.9939132715845,9.26,179.85,1755.8133270296564,1782.0337241612854,6.18,179.0,1755.5833270296564,1795.1837241612855,6.250018911029929,179.0,2140.2405673308976,876.62,8.946616237253522,269.83,2a,5,1568113453
27113,27113,880.8665801799051,1568114354.8843756,880.8665801799051,-89.49706235351309,,633.0591653465482,63.30974488560352,630.914325054024,0.9977654218673706,628.3426377850124,85.47585062065626,672.7580821940585,0.984999656677246,631.9531938203324,28.7559111732852,670.5316027045106,0.966594696044922,596.6484913743817,120.13490484654687,689.0985812589688,0.7442566752433777,561.9059511136509,-13.99332470972741,666.1036345354271,0.7200384140014648,495.4735444609763,192.8167181203489,533.3002094601436,0.9653594493865968,501.53325924192774,-58.97272890229304,522.3212456729586,0.969051718711853,588.2376089777947,280.09221122667185,330.6737691602762,0.3200052082538605,608.5020481566032,-115.42223186674336,330.83980912294817,0.5417777895927429,772.1099849056058,319.0022487790892,187.2204533507323,0.8298506140708923,807.7514669177492,-152.0185074794904,200.8330316403389,0.8705867528915405,474.9643899791642,186.13534384914647,30.6455328876649,0.6301902532577515,545.7411129211405,-19.417028612688828,67.83886164761657,0.2574237585067749,453.38015900236326,211.30551330192452,-456.3727356296674,0.08368691802024841,254.64652752661328,-76.7293194206747,-677.9032371485031,0.1078430712223053,473.53301518717063,211.2202911917947,-541.7124262812551,0.12160900235176085,1028.075565913109,-36.83359038269964,43.34864407504557,0.017473280429840088,1764.5566580179905,1267.902926845554,4.743341982009487,1.5733419820094872,1761.26,851.210622704683,7.193290089952566,180.37,1761.32,865.3672807226736,7.156606125933591,180.1,1436.1673326147306,866.1866839640188,7.730077838085383,268.61,1760.95,1043.523990632721,7.616735856075896,179.85,2671.9863985577067,714.7473066687021,8.043290089952565,157.26,1450.8406745967402,866.5366839640191,7.759974053971539,268.61,2666.206398557706,728.5239646866927,8.013419820094871,157.26,2660.426398557706,742.3173066687019,8.069974053971539,163.99790342735662,2558.519273511203,874.53,8.386683964018975,89.83,1908.520648650712,875.1033419820094,7.516658017990513,269.55,1926.4373066687021,875.2433419820094,7.4733679280379475,269.55,2543.049273511203,874.48,8.33660612593359,89.83,1941.660648650712,875.3633419820094,7.516658017990513,269.55,2066.254042524778,876.34,8.15,269.55,1759.83,1474.6874623448728,9.26,179.85,1755.8166580179904,1781.827202884588,6.18,179.0,1755.5866580179904,1794.9772028845882,6.240025946028461,179.0,2139.9407783808538,876.62,8.973264143924101,269.83,2a,5,1568113453
27114,27114,880.9,1568114354.9177876,880.9,-86.91500003488666,,631.5256651549221,59.32747191320324,629.2383435563554,0.998164713382721,621.9989843745277,82.84958063649603,669.0704309086086,0.9903380870819092,627.996445035052,25.598351985878164,670.0305794796309,0.970674693584442,593.3841095577147,118.47541885488995,685.4755735945424,0.7179216742515564,553.2058240713138,-17.254975753631033,660.8570424086157,0.4676152169704437,508.6620467849056,191.23751132158532,535.7614539218706,0.971116542816162,500.3014858082315,-58.33137698830622,524.0932278683058,0.974992334842682,582.1061782811203,280.5268914191648,326.07317531467487,0.3754296600818634,608.2232754197711,-117.04543891553926,333.0637319834146,0.5058557391166687,778.9532657286344,320.40515118213415,188.35728014902767,0.8055996894836426,807.8293294766103,-152.45927902637968,201.18891238804557,0.902376651763916,490.40464680517607,182.2812999581683,45.006933936614026,0.5998536944389343,553.7345781845494,-18.72544976467945,79.18005569824558,0.2081111967563629,425.1995687496225,212.03121582642208,-478.3493679446033,0.09289175271987916,387.2194570630169,-82.23049498906994,-502.3246084360092,0.061951756477355964,446.742517508809,212.34107827551082,-571.2215939342686,0.040526241064071655,863.0717861537038,-41.95831930354025,-139.2866604716039,0.014995813369750975,1764.56,1268.06,4.74,1.57,1761.26,850.97,7.21,180.37,1761.32,865.13,7.18,180.1,1435.91,866.18,7.7,268.61,1760.95,1043.27,7.59,179.85,2672.09,714.5,8.06,157.26,1450.58,866.53,7.77,268.61,2666.31,728.28,7.98,157.26,2660.53,742.07,8.08,163.52,2558.8,874.53,8.38,89.83,1908.27,875.1,7.52,269.55,1926.19,875.24,7.46,269.55,2543.33,874.48,8.36,89.83,1941.41,875.36,7.52,269.55,2065.98,876.34,8.15,269.55,1759.83,1474.38,9.26,179.85,1755.82,1781.62,6.18,179.0,1755.59,1794.77,6.23,179.0,2139.64,876.62,9.0,269.83,2a,5,1568113453
27115,27115,880.9497886806977,1568114354.9510984,880.9497886806977,-88.61072492562025,,631.7451727682297,56.45864528845297,628.3015712330563,0.9976509213447572,625.9837320312166,77.89549045349503,668.0561914254073,0.993908941745758,631.1256193690101,21.884457463488964,671.2233448989857,0.9770184755325316,596.2137465631365,112.52403367553207,685.2214447804455,0.7927943468093872,555.1031547097364,-20.77645968602516,658.0003971605737,0.5019562840461731,507.36276726666006,193.80130337319164,530.2299011152468,0.9688541889190674,507.024201271872,-57.11719323441679,520.8842142326432,0.9355514645576476,580.415568724316,279.29188526766814,324.15094248384565,0.3651365041732788,606.4747098908613,-117.45655945219843,324.6199598410698,0.1703169345855713,788.5891686516568,316.0400119728132,195.3625648263082,0.765661895275116,807.6401772792552,-151.22733019698552,201.7202686916316,0.8995161056518555,462.7799504780725,173.6647152676086,19.62410263355588,0.7878125905990601,555.4464326883666,-16.79508463833203,85.91588660699345,0.1651710569858551,409.90648394959527,223.41552056679583,-492.8993475280109,0.13268384337425232,454.31064067489314,-82.66392006605395,-413.575229026132,0.08206102252006531,417.0424494354866,219.80462311554203,-602.1310372071114,0.02800720930099488,719.8928769184924,-45.765371477140036,-297.37629045783797,0.01888054609298706,1764.5699577361395,1268.2989856673482,4.74,1.589915472279031,1761.26,850.6115214989775,7.170169055441939,180.37,1761.32,864.7665426309078,7.2297886806975775,180.1,1435.5216482905591,866.1700422638603,7.749788680697577,268.61,1760.95,1042.8916060266984,7.5999577361395145,179.85,2672.239366042093,714.1365426309078,8.01519018737218,157.26,1450.1916482905588,866.5200422638603,7.77,268.61,2666.4643449101623,727.9115637628379,7.9999154722790315,157.26,2660.6843449101625,741.7065426309077,8.030211319302422,162.82295847023389,2559.2182249178595,874.53,8.409873208418546,89.83,1907.896584894768,875.1,7.505063395790727,269.55,1925.8165848947683,875.24,7.494852076488304,269.55,2543.74324604979,874.4849788680698,8.345063395790728,89.83,1941.0365848947683,875.36,7.524978868069757,269.55,2065.57173281828,876.3350211319303,8.164936604209274,269.55,1759.83,1473.9169652695127,9.26,179.85,1755.8249788680694,1781.3063313116052,6.219830944558061,179.0,1755.5949788680693,1794.4563313116053,6.2499154722790315,179.0,2139.1919018737217,876.6150211319302,8.995021131930242,269.83,2a,5,1568113453
27116,27116,881.0,1568114354.984692,881.0,-87.0827209326981,,631.9477252051615,58.225085451595156,628.0157867032664,0.9973700046539308,622.8830402680771,78.28971288613137,666.3590278019224,0.9930151104927064,635.3301524998349,22.447903544693602,671.7103266307228,0.9755029678344728,591.5523935217287,110.03549959801201,682.529681172331,0.828394889831543,559.6010428128743,-21.839940449358245,660.6866083797315,0.6137635707855225,511.34357426493324,192.61080867984413,531.9604664375513,0.971571683883667,502.92657455155614,-57.1231038750751,519.7625854452931,0.9273790121078492,575.9829089507377,278.11630704454274,323.50251725423146,0.3876546621322632,616.2331603855566,-118.00314287903576,338.7099592044435,0.4742445051670074,763.0509255580656,319.7095181631948,182.1562806591116,0.8468319773674011,809.1443539929961,-150.09376086500853,206.81995795493089,0.8824598789215088,480.4322073762468,178.00479660721166,49.09040156411636,0.5439599752426147,556.9906288211059,-16.18472236131499,102.74374693501808,0.1338823437690735,582.7602314703835,202.6794363183889,-205.04038739536406,0.07598143815994263,698.954327683521,-54.61554569880005,-91.79868521718464,0.1538759171962738,398.30223746159857,225.39053162805226,-616.3983251938614,0.036075949668884284,780.6637378520783,-17.8166401548474,-227.91170542703028,0.017397612333297733,1764.58,1268.54,4.74,1.61,1761.26,850.25,7.13,180.37,1761.32,864.4,7.28,180.1,1435.13,866.16,7.8,268.61,1760.95,1042.51,7.61,179.85,2672.39,713.77,7.97,157.26,1449.8,866.51,7.77,268.61,2666.62,727.54,8.02,157.26,2660.84,741.34,7.98,162.12,2559.64,874.53,8.44,89.83,1907.52,875.1,7.49,269.55,1925.44,875.24,7.53,269.55,2544.16,874.49,8.33,89.83,1940.66,875.36,7.53,269.55,2065.16,876.33,8.18,269.55,1759.83,1473.45,9.26,179.85,1755.83,1780.99,6.26,179.0,1755.6,1794.14,6.27,179.0,2138.74,876.61,8.99,269.83,2a,5,1568113453
27117,27117,881.0249710217515,1568114355.0179749,881.0249710217515,-88.45537210122774,,630.6648292428082,57.6959106202216,630.5555753665838,0.9971888065338136,619.3173359817742,77.62626416175124,664.5574432691787,0.9918385744094848,622.1034049588691,23.8318698422208,665.5828679848822,0.9761822819709778,592.9720403073161,108.47651666919037,682.9626486382954,0.8553517460823059,563.3023345812725,-19.98105754886464,662.7652102629256,0.5689873099327087,506.62185807319884,192.52039625122302,531.7192017641651,0.9711536169052124,501.2419836606322,-56.914400442545784,522.3193547259239,0.9717427492141724,569.3785219012824,281.0265600114479,317.72178121075495,0.3199457824230194,619.7987418831839,-115.85594403096606,341.0384764762128,0.5157671570777893,777.1473070784053,317.7302049897407,187.10567478369515,0.7155361175537109,806.0577087661895,-150.63727085701024,205.75460092660103,0.9020683765411376,488.6622090518032,172.26123946346925,48.74689048675511,0.6645920276641846,553.950410797097,-16.035121842921775,104.91443736961271,0.14530488848686218,477.07750190659465,216.5877094649606,-302.50375870482054,0.04791975021362305,804.2709910749129,-39.500807924999684,42.29697993171226,0.14673444628715515,382.5419244184559,226.1611506459074,-631.4225472977654,0.028931140899658207,746.9671650605194,-9.65382021331222,-264.676618335813,0.023448258638381958,1764.582497102175,1268.657363802232,4.742497102175152,1.629976817401216,1761.257502897825,850.0727057455642,7.13,180.37,1761.32,864.220208643389,7.262520284773936,180.1,1434.9352260303385,866.1550057956497,7.797502897824848,268.61,1760.95,1042.3202202346883,7.607502897824848,179.85,2672.467410167429,713.5852144390387,7.987479715226064,157.26,1449.6077231325132,866.5075028978247,7.7575144891242385,268.61,2666.6974101674296,727.3577115412138,8.017502897824848,157.26,2660.9174101674303,741.1552144390387,7.9974797152260635,161.76541149112842,2559.8472594805376,874.53,8.412531876073327,89.83,1907.332717336864,875.0975028978247,7.492497102175152,269.55,1925.252717336864,875.2375028978247,7.520011591299392,269.55,2544.372253684888,874.49,8.364959430452128,89.83,1940.472717336864,875.3575028978247,7.525005795649696,269.55,2064.9577347238123,876.3275028978247,8.172508693474544,269.55,1759.83,1473.220266599886,9.250011591299392,179.85,1755.832497102175,1780.8326825629654,6.267491306525455,179.0,1755.602497102175,1793.9851796651403,6.262508693474544,179.0,2138.517757906411,876.61,8.972520284773935,269.83,2a,5,1568113453
27118,27118,881.0498932097883,1568114355.0511925,881.0498932097883,-88.45537210122774,,631.2723092721595,58.19459805256819,629.3718488082658,0.9975847005844116,615.0113146985195,78.57651510672876,664.3011075086329,0.9936152696609496,628.1030353625454,24.975862893366042,668.069803770396,0.9790435433387756,589.0935376639144,111.4251087954149,681.4914265123576,0.8535089492797852,554.888386854738,-21.423902388395494,658.0519852403141,0.6897850632667542,507.30683523893913,191.81265096623852,529.5881847007627,0.9714086055755616,502.21606431287387,-58.40131244765821,520.1817194132539,0.9660143852233888,587.7612677276678,277.2865531837749,327.921789199046,0.3137515187263489,614.5423727443111,-116.23509072812031,337.2180294848259,0.5100474953651428,775.8538943541378,320.27423975043143,188.23029948227432,0.7972963452339172,802.3439331096588,-149.52592857516484,204.49884669004632,0.9012731313705444,483.8682575003085,176.17347434068688,51.58151029569288,0.5287514328956604,563.6398611829188,-17.00644147743412,111.4307761566294,0.19166967272758484,399.748724565154,222.16373576138042,-384.5065811823944,0.045797735452651984,851.8151983827727,-36.27286671072722,88.39689373237337,0.12332788109779358,372.1921437678706,228.00377590307846,-653.2399785597522,0.012257099151611328,764.9104550325623,-7.777836238836937,-246.78005506827827,0.02276134490966797,1764.5849893209786,1268.7744980860048,4.744989320978824,1.6499145678305922,1761.255010679021,849.8957582105036,7.13,180.37,1761.32,864.0407688895247,7.2450747531482325,180.1,1434.7408329636514,866.1500213580423,7.795010679021176,268.61,1760.95,1042.1308116056093,7.605010679021176,179.85,2672.5446689503437,713.400790247567,8.004925246851768,157.26,1449.4158222846304,866.5050106790213,7.745053395105879,268.61,2666.7746689503438,727.1757795685456,8.015010679021175,157.26,2660.994668950344,740.970790247567,8.014925246851769,161.41151642100698,2560.054113641242,874.53,8.385117469232936,89.83,1907.1458009265882,875.0950106790214,7.494989320978824,269.55,1925.0658009265885,875.2350106790213,7.510042716084705,269.55,2544.5840922832,874.49,8.399850493703537,89.83,1940.2858009265885,875.3550106790213,7.520021358042352,269.55,2064.755865000715,876.3250106790213,8.165032037063527,269.55,1759.83,1472.9909824699482,9.240042716084703,179.85,1755.8349893209786,1780.675672778334,6.274967962936473,179.0,1755.6049893209788,1793.830662099313,6.255032037063527,179.0,2138.2959504328846,876.61,8.955074753148233,269.83,2a,5,1568113453
27119,27119,881.0748933886663,1568114355.0845141,881.0748933886663,-101.9709709634769,,625.5319814639126,54.38431778997818,627.9566403041371,0.9976150989532472,618.5587562754461,77.20943460376431,664.9236719751758,0.9936012029647828,628.0213497417499,22.476884419532947,669.0261999859679,0.9740922451019288,587.544477183887,112.47530125674723,683.5648633216002,0.8519584536552429,553.8230107930706,-21.80761212493553,660.725099715071,0.4793285429477692,507.0041966197835,190.18613541923008,530.0202341632646,0.96746563911438,496.02517529159286,-56.98743973847355,522.3180364532311,0.969169020652771,571.0117765748075,280.2556221476388,316.1286097342143,0.3233959674835205,606.6556244456991,-113.43855134656258,331.8501703767745,0.6057928800582886,779.9043668587019,319.62043192198684,187.5192616250965,0.7982871532440186,802.0569826994458,-153.16332109121754,212.2159529089183,0.9638675451278688,489.6100665823809,175.79058174652062,60.162168798001865,0.5256405472755432,557.3232195433077,-15.251361166590414,109.98727932164805,0.2737381458282471,372.5377728855669,224.78708339044988,-409.0544649951516,0.07010385394096375,869.4330228914579,-32.25390649271938,115.1644692963119,0.21928223967552185,353.1420130266784,230.91115292981868,-680.6580380419774,0.01118260622024536,669.7660154163583,-29.968599786554126,-339.2747412941284,0.04251554608345032,1764.5874893388666,1268.8919989267315,4.747489338866627,1.6699147109330124,1761.252510661133,849.7182569404695,7.13,180.37,1761.32,863.8607676016028,7.227574627933613,180.1,1434.5458315684034,866.1450213222666,7.792510661133371,268.61,1760.95,1041.9408102461364,7.602510661133373,179.85,2672.6221695048653,713.2157889238696,8.022425372066385,157.26,1449.2233209072697,866.5025106611332,7.732553305666867,268.61,2666.8521695048653,726.9932782627362,8.012510661133371,157.26,2661.072169504865,740.7857889238696,8.032425372066388,161.056513880939,2560.2616151259303,874.53,8.357617272467108,89.83,1906.958299585003,875.0925106611335,7.497489338866629,269.55,1924.878299585003,875.2325106611332,7.500042644533495,269.55,2544.796593803663,874.49,8.434850744132772,89.83,1940.0982995850034,875.3525106611335,7.515021322266747,269.55,2064.553363551803,876.3225106611334,8.157531983400121,269.55,1759.83,1472.7609808242705,9.230042644533494,179.85,1755.8374893388666,1780.5181716514026,6.282468016599879,179.0,1755.6074893388666,1793.6756609902689,6.24753198340012,179.0,2138.0734488408702,876.61,8.937574627933612,269.83,2a,5,1568113453
27120,27120,881.1,1568114355.1179776,881.1,-86.98878697893835,,626.6486897104536,56.646789130164,629.3378025308988,0.9978068470954896,614.4866873676257,80.66915450303979,665.4552104250848,0.9922304153442384,624.4830194168413,23.04171074910533,667.9070657624156,0.9719030261039734,579.8125555994063,117.89972295624908,683.9316975363538,0.80240398645401,551.3529806740286,-20.32906967675885,661.7033848604815,0.5463705062866211,500.4192229495548,190.13824230618732,532.859980444231,0.9638842344284058,500.7109746649721,-56.35700973323899,522.6028061705821,0.9669305086135864,588.4893054721375,278.9566706133042,325.67407589884965,0.2598712146282196,610.075617925149,-114.0735580225968,333.3653545943662,0.5886379480361938,794.7784489528112,322.24769847027784,199.02222168426644,0.6832172870635986,799.5879746211177,-152.83310706834754,209.44321296009048,0.9623620510101318,476.6187958259637,177.72626470516533,41.719908069241455,0.5619082450866699,550.0003243767213,-16.09598211729516,95.54704640046556,0.234101802110672,329.4446877201688,241.1535561178594,-504.1836224042203,0.06494611501693726,687.9575482747107,-41.427870766619634,-105.05949427399892,0.18618187308311465,341.2917726490958,261.26339848724075,-696.6596612572554,0.008824259042739868,621.0762548349858,-48.402424193591116,-387.98205716791466,0.06876787543296814,1764.59,1269.01,4.75,1.69,1761.25,849.54,7.13,180.37,1761.32,863.68,7.21,180.1,1434.35,866.14,7.79,268.61,1760.95,1041.75,7.6,179.85,2672.7,713.03,8.04,157.26,1449.03,866.5,7.72,268.61,2666.93,726.81,8.01,157.26,2661.15,740.6,8.05,160.7,2560.47,874.53,8.33,89.83,1906.77,875.09,7.5,269.55,1924.69,875.23,7.49,269.55,2545.01,874.49,8.47,89.83,1939.91,875.35,7.51,269.55,2064.35,876.32,8.15,269.55,1759.83,1472.53,9.22,179.85,1755.84,1780.36,6.29,179.0,1755.61,1793.52,6.24,179.0,2137.85,876.61,8.92,269.83,2a,5,1568113453
