,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,W_in-P_out.11_x,W_in-P_out.11_y,W_in-P_out.11_speed,W_in-P_out.11_angle,conflict_1e_x,conflict_1e_y,conflict_1e_speed,conflict_1e_angle,W_in-P_out.12_x,W_in-P_out.12_y,W_in-P_out.12_speed,W_in-P_out.12_angle,scenario,participant_id,source_file
36890,36890,1166.9664319187434,1568023440.182938,1166.9664319187434,-76.92585621058572,605.7306021204922,72.59340008137106,661.8241523615701,0.9935043454170228,617.6776414005006,94.9090081220476,700.3862289850467,0.9914288520812988,625.0225159292722,40.05806003700857,700.1870175003377,0.9870951175689696,583.4069411429832,142.5295637302867,724.7735466294818,0.8202168941497803,627.3238925301295,-1.6603845602574625,728.0571477558971,0.3443458676338196,448.7336687052146,207.67898292533118,572.7203908648902,0.9091811180114746,436.5582135913725,-60.829599561240244,582.4530498236658,0.8726697564125061,530.5065138963438,300.074020811314,337.4418655311792,0.6896215677261353,556.1184409026908,-141.8030321905023,337.9253824984796,0.8149808645248413,699.8780413645593,337.3467293133847,178.27343554730294,0.8975226879119873,758.167428624938,-138.98251344813542,175.73082152100605,0.6362607479095459,330.9925535034418,175.4701985417744,115.72658641960585,0.20443832874298096,398.656557819826,-27.88451383679612,135.71606523263202,0.5638580918312073,518.4229850496142,209.16259406371609,-60.234976489031496,0.3522503972053528,635.7016442248649,-31.42885170188094,-7.694593131358516,0.4267007112503052,281.8149525747576,246.41552559413154,-677.5144890620062,0.011765569448471071,542.9385835549722,-43.503341702221725,-440.99076987034624,0.0682699978351593,1539.4747652956655,2099.423356808126,6.16,268.6695774537381,1760.49,732.8453286906813,8.496713616251322,180.37,1122.251596198701,2096.47,7.483427232502648,89.86,1107.8982393905753,2096.44,7.516784040628309,89.86,1093.4148825824498,2096.4,7.569718302492057,89.86,1078.0848825824496,2096.366643191874,7.543356808125662,89.86,916.721525774324,2094.45,7.683286383748675,90.06,874.9748121580728,2094.4933568081256,7.876572767497351,90.06,841.391455349947,2094.53,8.023356808125662,90.06,1743.4104929706386,1741.498192528168,6.806502343120366,198.1233568081257,1749.4643427494034,1752.2107746681468,6.716713616251324,238.43676047865864,788.6176759955596,2094.59,9.943356808125662,90.06,1756.1366431918743,1763.4782629525448,6.783286383748676,179.0,359.15502343120363,2093.59,6.9797887268690415,89.67,344.6483098149523,2093.51,7.186713616251325,89.67,191.1248121580727,2110.3970657381365,8.110140848753971,102.2,,,,,,,,,,,,,1e,2,1568022227
36891,36891,1167.0,1568023440.2165992,1167.0,-75.43043761364433,612.3137867567448,74.37541843376523,665.5219669174218,0.99405837059021,620.4545726943879,102.09747007549602,702.9607033834343,0.9905207753181458,627.362194706526,43.50015602340347,702.9422826079898,0.9905633926391602,577.7131834569028,145.18575662289044,725.0601162829868,0.6270241737365723,625.4395540515509,-1.8072940894657383,728.9369361001886,0.4566203355789185,447.96989085647834,211.77851434552687,574.4204680309381,0.9417651295661926,429.1976688413768,-57.96020600398079,574.4296011690856,0.959606409072876,527.5366065446395,307.45291320010165,346.3420170760949,0.9058692455291748,555.4591365059906,-138.3579687675724,332.844378670053,0.9225982427597046,700.5465486931666,336.89291113029645,176.23416791193443,0.8885201215744019,761.3600016447908,-137.38668121656454,176.13985534935009,0.6657760143280029,364.6951261095072,177.4313973111692,115.59580856386751,0.008049905300140379,388.9634153069342,-26.814118755564127,125.60418498038791,0.6136269569396973,619.4790739273219,211.89943743125016,-11.504259922440724,0.4511042535305023,682.5660331353264,-27.859153505709486,15.684798116724295,0.5906096696853638,232.56896139319417,276.10820299665727,-759.0708893721483,0.002554416656494141,527.029714810609,-42.223360812020715,-467.08569169021257,0.06397983431816101,1539.27,2099.42,6.16,268.73,1760.49,732.56,8.49,180.37,1122.5,2096.47,7.47,89.86,1108.15,2096.44,7.5,89.86,1093.67,2096.4,7.61,89.86,1078.34,2096.37,7.54,89.86,916.98,2094.45,7.69,90.06,875.24,2094.49,7.89,90.06,841.66,2094.53,8.02,90.06,1743.34,1741.28,6.83,198.12,1749.32,1752.1,6.71,238.9,788.95,2094.59,9.94,90.06,1756.14,1763.25,6.79,179.0,359.39,2093.59,7.01,89.67,344.89,2093.51,7.18,89.67,191.39,2110.34,8.09,102.2,,,,,,,,,,,,,1e,2,1568022227
36892,36892,1167.033047297572,1568023440.2495348,1167.033047297572,-76.85908957216706,606.7730534465464,77.0241044226023,660.9049899362079,0.9949339628219604,617.0444066088853,106.2597963771894,702.0861261910982,0.9821753501892092,631.0164446561897,44.329830511193435,704.4951267835615,0.991168975830078,571.7046696349851,150.53222246609212,722.6334291496298,0.6119053959846497,626.0418226681089,-0.0366085238425331,729.4028331416897,0.4565141499042511,452.7947657381482,213.753208170475,574.9861390130877,0.930719792842865,434.9967693628911,-56.10033205784356,580.8466044633358,0.8300153017044067,527.7692610194398,308.2199811123965,346.1335307784983,0.9080591797828674,563.4762869026182,-135.64131409195426,334.43347612937407,0.9077486991882324,696.9632999007979,334.39813544731504,173.29013913824141,0.8720299601554871,757.7844519912172,-137.53114844698794,171.4195632844569,0.7516586184501648,379.24431889290946,177.18654058236487,117.20151944505189,0.00615006685256958,399.20273265555846,-30.176118166947674,98.83118976972824,0.3260917663574219,682.6053429801018,230.94935014626992,34.56654484451323,0.02798196673393249,734.8555665419462,-19.96540608015153,44.27366092730904,0.25421905517578125,231.91135045046985,264.4669508350488,-777.0346955901475,0.017590612173080444,497.3715469506739,-39.02059095393007,-494.2611681007813,0.11696738004684447,1539.058497295539,2099.4166952702426,6.232704054658492,268.81922770344454,1760.4866952702425,732.2790979706376,8.49,180.37,1122.7511594615478,2096.47,7.506352027329244,89.86,1108.4011594615476,2096.44,7.519828378543225,89.86,1093.9178547317904,2096.4,7.57695270242796,89.86,1078.5878547317902,2096.37,7.546609459514407,89.86,917.2311594615477,2094.45,7.650343242913551,90.06,875.5010736508191,2094.49,7.880085810728388,90.06,841.9243783805763,2094.53,8.016695270242796,90.06,1743.2706006750986,1741.0651925657814,6.833304729757204,198.0968668916996,1749.1778966204404,1751.9876391882551,6.729828378543225,238.8008581072839,789.2804729757205,2094.59,9.953218919028815,90.06,1756.1433047297573,1763.0285831062674,6.78339054048559,179.0,359.6213310830043,2093.593304729757,6.986866891699572,89.67,345.13124527227586,2093.51,7.206437838057632,89.67,191.65107365081914,2110.283819594128,8.093304729757204,102.2,,,,,,,,,,,,,1e,2,1568022227
36893,36893,1167.0665008026065,1568023440.2828753,1167.0665008026065,-75.3731151781937,609.4701591259018,77.41079620750966,662.9550273914521,0.9947415590286256,613.9404832512097,108.1208776387974,699.4715811932283,0.9771662950515748,623.9937160940093,46.74334589190689,702.4695345943077,0.9897255897521972,576.1815734140542,151.70976290843598,723.1050128420053,0.6753754615783691,625.883139563746,1.0565354452742053,730.2183383360574,0.435289204120636,449.83425382986593,216.86690326278148,571.7339730368149,0.9105358123779296,444.6444873233498,-52.83352293702446,582.4985572231857,0.9495533108711244,529.0756571700714,309.8719319399163,343.51243150450057,0.9099001884460448,549.7018217294873,-139.61351203576692,325.11412646983973,0.9086243510246276,710.1727364690288,330.23420377739154,183.89387372711042,0.8959298133850098,761.8610409908122,-140.41219517231622,174.41611712490442,0.7391397356987,412.8186580053234,175.80463072263024,131.6015746724752,0.019718915224075317,410.88496737869997,-25.94235031502805,92.05396975784271,0.3836778104305267,729.6342539732443,237.2763625783989,62.01403498179953,0.013233095407485962,752.0363686282927,-18.491278158807443,13.002520163258055,0.07822149991989136,244.7330275328223,254.42688050972168,-775.0102788765437,0.005692124366760254,469.4255659130069,-37.02107649022249,-515.0272558278157,0.12109464406967164,1538.8443948633185,2099.413349919739,6.306301765734366,268.90955216703765,1760.4833499197393,731.9947431778445,8.49,180.37,1123.0054060998095,2096.47,7.543150882867184,89.86,1108.6554060998096,2096.44,7.539900481563917,89.86,1094.168756019549,2096.4,7.543499197393468,89.86,1078.8387560195488,2096.37,7.553300160521307,89.86,917.4854060998096,2094.45,7.610199036872164,90.06,875.7653563405916,2094.49,7.87004975921804,90.06,842.1920064208522,2094.53,8.013349919739346,90.06,1743.2003483145263,1740.8477447830576,6.836650080260652,198.07344943817543,1749.034046548792,1751.8738972711376,6.749900481563917,238.7004975921804,789.6150080260652,2094.59,9.966600321042613,90.06,1756.1466500802605,1762.8044446225367,6.7766998394786935,179.0,359.8555056182457,2093.5966500802606,6.963449438175429,89.67,345.37545585902774,2093.51,7.233200642085223,89.67,191.9153563405916,2110.226948635569,8.096650080260654,102.2,,,,,,,,,,,,,1e,2,1568022227
36894,36894,1167.1,1568023440.3162613,1167.1,-76.80058323674028,612.9877158444451,78.85876383678527,664.8240135511755,0.996288239955902,625.0135117982112,109.71510672881368,703.7846845156586,0.976186990737915,627.1111367603023,48.41597293618601,703.6218543486142,0.993271827697754,586.4209308803985,152.19779554127948,726.2273869988612,0.6842440366744995,630.3167902050156,5.568648358873359,728.2061587989625,0.519661545753479,453.5710588595056,220.9451805042428,573.4386508471539,0.8685396909713745,449.7135132830671,-49.34429813158291,584.3054504201298,0.9287760257720948,519.746842858101,311.59749946862183,342.1842783755253,0.8997374176979065,563.2654492960753,-137.09660205081616,333.1222625725736,0.9201812744140624,687.9260706049114,335.9530757990997,178.1973909770563,0.8108785152435303,756.4359830076515,-144.69928909331958,169.66390678702138,0.8006811738014221,444.16987872009,175.9809982840874,143.15720350506325,0.03238716721534729,384.8796285291346,-24.808883994166266,67.09721179904155,0.4480397403240204,565.3039587852076,238.28392190066845,-154.25298378308727,0.014071136713027954,743.1169890508896,-18.496636432222488,-25.284302360937204,0.06573626399040222,243.8574474959153,272.4897610110251,-771.8823834972301,0.0045602023601531965,448.48799866021886,-35.55497624615397,-551.6901225684577,0.012273907661437988,1538.63,2099.41,6.38,269.0,1760.48,731.71,8.49,180.37,1123.26,2096.47,7.58,89.86,1108.91,2096.44,7.56,89.86,1094.42,2096.4,7.51,89.86,1079.09,2096.37,7.56,89.86,917.74,2094.45,7.57,90.06,876.03,2094.49,7.86,90.06,842.46,2094.53,8.01,90.06,1743.13,1740.63,6.84,198.05,1748.89,1751.76,6.77,238.6,789.95,2094.59,9.98,90.06,1756.15,1762.58,6.77,179.0,360.09,2093.6,6.94,89.67,345.62,2093.51,7.26,89.67,192.18,2110.17,8.1,102.2,,,,,,,,,,,,,1e,2,1568022227
36895,36895,1167.1333559354293,1568023440.3496876,1167.1333559354293,-85.93063601757498,610.3759398419054,78.6786148699733,662.1570226702436,0.99601811170578,618.4674993241549,109.82341441729756,699.9834938180051,0.9752166271209716,637.5996130367513,47.80061803624234,706.0682453416521,0.9926565289497375,573.6960666609508,158.4755691946917,720.5848761347917,0.7605527639389038,634.5005587745857,7.932114513172883,729.9766031895219,0.5178369283676147,454.19053502763717,219.96099980428497,573.1537157779329,0.8249498009681702,446.12290997266365,-47.82339850228589,583.0189275756743,0.7752398252487183,522.4816573815658,308.33310621169437,344.7538142857026,0.9168308973312378,563.740196730226,-136.79638975514806,335.4677588493106,0.9290320873260498,701.6098030553385,330.2673837340949,182.12099817263316,0.9311271905899048,753.8293617669864,-148.2330732994338,172.69128163266342,0.8324813842773438,477.57932491233663,175.2677552740791,152.76218625517305,0.0569547712802887,397.3626589775413,-22.75564013056727,71.92180258111877,0.4376630187034607,510.5433621820919,237.30335874368188,-249.68175075489532,0.021197885274887085,783.2851806898534,-14.386000232377874,4.302715648105561,0.09804782271385193,255.8370207941571,283.86879795046275,-758.6037660406862,0.005113452672958374,422.7508509545637,-52.19067055189947,-587.4358162501043,0.023447245359420776,1538.4298643874238,2099.41,6.229898290567785,269.1134101804599,1760.48,731.4264745488503,8.486664406457063,180.37,1123.5135051092634,2096.4733355935427,7.576664406457063,89.86,1109.1635051092633,2096.44,7.576677967714692,89.86,1094.6701695157203,2096.403335593543,7.51,89.86,1079.343505109263,2096.37,7.573342374171752,89.86,917.9935051092633,2094.45,7.596684748343504,90.06,876.2901762963492,2094.49,7.873342374171753,90.06,842.7268474834351,2094.53,7.996657625828247,90.06,1743.0899728774848,1740.4098508261661,6.8199864387423705,197.73978980050683,1748.7465694776538,1751.6499254130829,6.756657625828247,238.05296265895814,790.2802237607509,2094.59,9.939972877484744,90.06,1756.153335593543,1762.349844045537,6.7833423741717525,179.0,360.3234915480057,2093.6,6.96001356125763,89.67,345.8568271415486,2093.513335593543,7.213301690398866,89.67,192.44351188989208,2110.11329490977,8.103335593542937,102.2,,,,,,,,,,,,,1e,2,1568022227
36896,36896,1167.1666535812426,1568023440.3830554,1167.1666535812426,-81.53440240985009,610.7727592814632,78.62877653288727,660.8400148211106,0.9963732957839966,614.8901596924941,110.13223039010867,697.6449562925519,0.9722737073898317,636.1751506862813,48.11859390550771,704.0875544759624,0.9926986098289492,574.4523622251627,160.0465142423889,719.8729555385668,0.7398927807807922,632.9356265850594,8.985141204301145,727.3827283278206,0.486621618270874,448.86433909086526,210.81140143007198,583.9971976166273,0.8636757731437683,449.20212367148565,-46.48065789865325,584.9695992998504,0.731210470199585,524.481172875172,311.81754900438216,341.5068806692726,0.9040851593017578,563.6027871261585,-135.99468347499743,336.06960521561354,0.9263087511062622,709.2184108800153,325.9903326050628,187.73983811841674,0.9090099334716796,753.4240058428846,-152.76873089155276,173.0990902619643,0.8374919891357422,476.7552983051554,173.45527887759442,158.9364387837829,0.014381200075149538,391.6767865492282,-21.731003997190328,73.01284905399909,0.38787317276000977,590.9697641253483,222.4438394890566,-49.8776716291311,0.18992942571640006,799.7105041012953,-5.0585892964394965,40.25185950367853,0.09143400192260742,366.1081934635192,257.3093538425871,-605.1510289496497,0.024220168590545654,414.6863054972636,-59.82862078649745,-600.6933994770727,0.020415127277374268,1538.2300785125447,2099.41,6.080058884408303,269.22662217622485,1760.48,731.143444559438,8.483334641875741,180.37,1123.7665672174437,2096.476665358124,7.57333464187574,89.86,1109.4165672174438,2096.44,7.5933267906212984,89.86,1094.9199018593197,2096.406665358124,7.51,89.86,1079.5965672174436,2096.37,7.5866614324970385,89.86,918.2465672174437,2094.45,7.62332286499408,90.06,876.5498979336924,2094.49,7.88666143249704,90.06,842.9932286499408,2094.53,7.98333856750296,90.06,1743.0500157025087,1740.1900863637989,6.800007851254442,197.43012169444387,1748.6033896006568,1751.5400431818994,6.743338567502962,237.5068812676214,790.6098704543018,2094.59,9.900015702508881,90.06,1756.1566653581244,1762.120090289426,6.7966614324970385,179.0,360.5565750686982,2093.6,6.979992148745558,89.67,346.09324042682243,2093.516665358124,7.166684986260361,89.67,192.7065632918165,2110.056688911888,8.106665358124259,102.2,,,,,,,,,,,,,1e,2,1568022227
36897,36897,1167.2,1568023440.4164722,1167.2,-75.27843544250473,610.6462011821251,77.68185089609042,661.0407928615286,0.9955302476882936,621.8251544000994,107.34311327352316,699.6661448432224,0.9822871685028076,634.2403972070406,47.127605144808356,703.4428439239465,0.9915608167648317,569.907714129432,160.83957909087084,715.597587412848,0.8010838031768799,629.4635573469634,8.042999205816042,726.4044064974452,0.44693201780319214,457.59273871741516,214.0735737522937,576.3783804657902,0.8912214040756226,447.74508630747385,-50.14695305422534,589.3811970295076,0.9333401918411256,532.2708189277093,312.0850996317912,345.886805123647,0.8706638216972351,537.4214067526196,-142.13022719517846,349.2035623946656,0.5001807808876038,710.0355450096957,324.8557025444628,188.0844911989172,0.9074509143829346,754.9246239935057,-153.03334312319188,169.95596524187133,0.8597843050956726,495.0056947131723,173.20966921093492,161.26056206306032,0.07284396886825563,375.78858217391604,-22.553133863711963,55.79673641408567,0.5257577300071716,534.2194170097806,220.09489735933403,-187.1108805620931,0.04636615514755249,761.7444202521101,-16.33772941282071,-14.065444284945727,0.08159065246582031,429.3116345633632,263.45022046342336,-557.3946532534471,0.003136157989501953,416.8966674858676,-66.5533160001383,-597.577768592752,0.005933582782745361,1538.03,2099.41,5.93,269.34,1760.48,730.86,8.48,180.37,1124.02,2096.48,7.57,89.86,1109.67,2096.44,7.61,89.86,1095.17,2096.41,7.51,89.86,1079.85,2096.37,7.6,89.86,918.5,2094.45,7.65,90.06,876.81,2094.49,7.9,90.06,843.26,2094.53,7.97,90.06,1743.01,1739.97,6.78,197.12,1748.46,1751.43,6.73,236.96,790.94,2094.59,9.86,90.06,1756.16,1761.89,6.81,179.0,360.79,2093.6,7.0,89.67,346.33,2093.52,7.12,89.67,192.97,2110.0,8.11,102.2,,,,,,,,,,,,,1e,2,1568022227
36898,36898,1167.2332397550815,1568023440.4498394,1167.2332397550815,-109.99915901801573,614.1963662291441,76.79609032468271,662.2895056682709,0.995120406150818,619.2045518106241,108.90684732323557,697.665618172847,0.9826614856719972,632.0028863029776,47.6110891828008,703.4865627148315,0.9923915863037108,569.0140684491034,163.24277495166712,715.7665212331982,0.6239153146743774,630.5189609257272,5.7026991638860824,728.1786345505081,0.32774728536605835,445.6165067475798,222.4173303679116,573.536438155341,0.8996390104293823,460.6525014642898,-46.62789319103069,590.3019531932048,0.7776474952697754,531.819277294797,308.56812829131974,349.02404250171867,0.9005870223045349,550.5592794995133,-142.3648243388684,329.7435390806123,0.8712476491928101,706.9565558857529,321.0885655578302,184.1510368359312,0.9102905988693236,760.3710662824568,-159.8412531228229,176.50595197600933,0.8310922980308533,487.6116038501266,172.54722270003478,156.39193297308069,0.03742092847824097,393.01677683876363,-30.02876740555204,72.74063842665288,0.4604794681072235,665.2142247367356,232.38428919081352,-75.11567093119876,0.008775025606155396,753.6807832049763,-16.714297006038418,-36.63655967107336,0.025893062353134155,512.1441655899163,260.3276674363382,-472.73290938718696,0.0011456608772277832,485.5050580730955,-59.74724406985669,-525.5114640989568,0.003337681293487549,1537.827237494003,2099.41,6.016423363211894,269.46963504481784,1760.4766760244918,730.5774620818072,8.489971926524449,180.37,1124.2692981631112,2096.48,7.550056146951102,89.86,1109.9192981631113,2096.44,7.586732171442952,89.86,1095.4226221386198,2096.41,7.533267828557048,89.86,1080.1026221386194,2096.37,7.583380122459251,89.86,918.7526221386194,2094.45,7.620084220426652,90.06,877.0725940651438,2094.49,7.880056146951102,90.06,843.5225940651437,2094.53,7.97,90.06,1742.9667883183938,1739.7439696654458,6.803267828557049,196.81087027774208,1748.3170690531495,1751.3203088082312,6.7366479510163,236.38162826158197,791.2690735753067,2094.59,9.883267828557047,90.06,1756.1533520489838,1761.670617616462,6.770112293902201,179.1362829958341,361.0193543100624,2093.603323975508,6.970084220426652,89.67,346.56932623658685,2093.52,7.139943853048898,89.67,193.235918040652,2109.9434924163616,8.113323975508148,102.2,,,,,,,,,,,,,1e,2,1568022227
36899,36899,1167.2666056270455,1568023440.483333,1167.2666056270455,-68.3887717859687,610.41861856459,76.09674064440587,662.0074905388849,0.9905772805213928,615.7050229502606,105.05659231350351,695.7036944586183,0.9833877086639404,628.3879038177038,46.421110869394795,702.040357884039,0.9882464408874512,571.6867393726251,157.00400662497026,716.8898000630505,0.6130462884902954,630.8051036281628,5.428077186986082,728.9097889321727,0.3351586163043976,443.0327828327527,210.00939063187542,575.6565308407469,0.927024245262146,454.8303868043843,-54.778339409544145,588.1954542618147,0.8384469151496887,513.6705774457633,287.2439315215194,342.1517610442125,0.5618579983711243,556.839551354489,-141.33811539601803,334.99491792817486,0.7536076307296753,713.0266024221761,307.9781856364953,189.04465278570441,0.9291871786117554,756.7426291411717,-163.35540824377532,176.23616428166,0.8139781951904297,463.03409136834676,171.88073769932316,146.18534464857842,0.0323081910610199,390.50596418536134,-30.98006029378732,82.0538117397787,0.2939149737358093,696.9797402171595,213.4819590229054,-39.60349711909305,0.0551045835018158,784.4830065362555,-20.26542903479382,10.356021211786695,0.08532869815826416,543.2291558154618,230.7350226226244,-457.6108128820344,0.009941369295120241,656.0129025001897,-44.11518949550951,-341.48564118636307,0.006067991256713867,1537.6237056750226,2099.41,6.103174630318248,269.5997619454774,1760.4733394372956,730.2938521701134,8.499981688113644,180.37,1124.519542202841,2096.48,7.530036623772712,89.86,1110.169542202841,2096.44,7.5633760610681655,89.86,1095.6762027655457,2096.41,7.5566239389318355,89.86,1080.3562027655457,2096.37,7.566697186477259,89.86,919.0062027655457,2094.45,7.590054935659068,90.06,877.3361844536593,2094.49,7.860036623772713,90.06,843.7861844536592,2094.53,7.97,90.06,1742.923412684841,1739.5170817360904,6.826623938931836,196.50056766847703,1748.1735958037045,1751.2102014307502,6.743321125409096,235.80106208940862,791.5993957077502,2094.59,9.906623938931835,90.06,1756.146678874591,1761.4504028615,6.730073247545423,179.27308307088646,361.24957882661386,2093.6066605627047,6.9400549356590675,89.67,346.8095605147275,2093.52,7.159963376227287,89.67,193.50284501636384,2109.8867704340228,8.116660562704547,102.2,,,,,,,,,,,,,1e,2,1568022227
