,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,conflict_1e_x,conflict_1e_y,conflict_1e_speed,conflict_1e_angle,scenario,participant_id,source_file
32747,32747,1026.949816825206,1568978777.6573179,1026.949816825206,-94.3502125718694,571.2321564037952,34.73954126088653,558.6082239952686,0.9965083599090576,560.5193672701844,62.65720947074682,597.4364652017542,0.9831525087356568,575.5074841480317,3.9239470341028593,605.0735279859502,0.975449562072754,533.1229144924079,104.83069377122051,606.5805330625399,0.9241211414337158,542.5724515738967,-36.009963465842326,598.8323304976049,0.8196748495101929,456.05382200615713,152.70387239482702,469.60556626662583,0.9783026576042176,477.0996774458114,-84.69829174440659,478.6346812644844,0.8497190475463867,635.2126184360642,245.06509501552642,351.5345235990528,0.9739346504211426,601.1323415485931,-204.92757667554864,337.49103508226955,0.5656312108039856,774.2982299440823,262.5101640243797,206.9016800477016,0.8810996413230896,753.7558373469609,-204.6400093128575,186.15872787219928,0.27685463428497314,483.0702445209912,106.96042728607898,114.27115536682473,0.6885930895805359,501.24980132108004,-59.61417742081426,166.87068605791038,0.6573718190193176,710.1689166670709,136.14246079186864,4.474592536778573,0.028616398572921763,733.8233787302992,-111.8359122394982,77.91945559209464,0.09234768152236936,360.455220345494,161.0413496223769,-652.9971232077238,0.002374023199081421,578.5712051455514,-127.11684824962471,-339.3735691707983,0.0063880085945129395,1583.1762639060792,2097.9350183174797,6.94,269.1847985077265,1760.31,705.8514287633938,7.81,180.37,1268.7283880618122,2096.82,8.850109904876446,89.86,1110.913333109374,2096.4449816825204,9.124981682520593,89.86,1760.78,1108.2013921284351,7.569890095123554,179.85,816.2087177764413,2094.56,7.044981682520592,90.06,607.1734796492092,2094.79,8.345091587397036,90.06,1755.0099633650411,1828.311355493476,7.324945047561778,179.0,1754.7399633650411,1843.8163371759968,7.325054952438222,179.0,1754.4699633650412,1859.3263371759967,7.3602564447117045,179.0,,,,,1e,25,1568977693
32748,32748,1027.0,1568978777.6911526,1027.0,-92.50924108952472,575.7762577882911,34.130132298263554,559.2581387788239,0.996253490447998,561.2571718489778,62.483718059581534,595.6553057146627,0.981922447681427,568.2980450962028,4.070897687148815,599.8157154442123,0.9833390116691588,532.3834716615393,105.36227455721979,606.2035701823359,0.9302451610565186,552.9648520979741,-35.44785285253483,600.4164411003901,0.8384603261947632,451.13024083704175,154.79258143319632,467.2406890240174,0.979923129081726,476.90111978930855,-86.92532861801624,478.8396249996035,0.9862929582595824,635.8684260329524,243.14782478523964,350.6199736913771,0.9712653756141664,584.2818151105065,-204.3200806460587,329.78903074270835,0.6523499488830566,773.4236688365248,253.8162883761672,217.7980200271097,0.7444103956222534,744.7240475047322,-212.4006705840853,192.18903739876097,0.5789515376091003,479.5842159856997,111.63602999769594,115.73183739876131,0.6858916282653809,495.304964585414,-58.04539754756336,159.3018293318842,0.6887543797492981,796.6667330488502,157.30945015496985,59.171909395102574,0.004648208618164063,802.1903155073442,-101.29046017389652,107.1687300351359,0.0590316653251648,364.79222585075007,164.28624846458285,-647.6128923589822,0.002514362335205078,621.2768054769531,-113.808893434464,-339.8948786549587,0.007301270961761475,1582.83,2097.93,6.94,269.24,1760.31,705.46,7.81,180.37,1269.17,2096.82,8.82,89.86,1111.37,2096.45,9.13,89.86,1760.78,1107.82,7.6,179.85,816.56,2094.56,7.05,90.06,607.59,2094.79,8.32,90.06,1755.02,1827.94,7.34,179.0,1754.75,1843.45,7.31,179.0,1754.48,1858.96,7.29,179.0,,,,,1e,25,1568977693
32749,32749,1027.0336317353372,1568978777.7250464,1027.0336317353372,-94.35864539661354,567.7045795441704,34.175248729259266,554.9666290220907,0.9963485598564148,561.6353033784585,62.91661717167636,594.8433959981762,0.9814748764038086,567.9295831968602,4.013078126206693,599.2053430203415,0.9839802980422974,537.6363590648359,105.17352021456776,605.435725232197,0.9337477684020996,554.5778826840518,-34.422593115025755,600.0133750183016,0.8484599590301514,456.06794744350753,154.22625550366303,468.9152584394863,0.9786101579666138,463.9585338562478,-83.82802726555384,474.0802756193492,0.8187596797943115,632.2683807056184,242.49243123813926,347.26575642593696,0.9708771109580994,589.6962221474538,-199.21663347562512,328.48955624349173,0.595686674118042,776.7303307576761,250.60427991409603,219.92311867751832,0.7547330856323242,764.6758313891562,-202.832860338343,193.73005931079769,0.8050582408905029,458.6314476087516,120.37873615902213,108.84709026247656,0.7428091764450073,490.42402000718397,-61.21943727134682,153.71575526989324,0.7243748903274536,839.4083267858783,165.98060745120515,87.8579296644504,0.0052713453769683855,842.1070999455354,-90.0735340129732,121.72490501249872,0.14175304770469666,311.61117689560456,198.9276411990076,-702.7157701675078,0.0015795230865478516,601.8665115976889,-92.88333205968893,-373.79580855963934,0.013997793197631836,1582.6113937203095,2097.926636826466,6.80547305865212,269.3106266442076,1760.3066368264663,705.1976724643716,7.8032736529326066,180.37,1269.469322444499,2096.82,8.846905388269576,89.86,1111.6794119651,2096.45,9.126636826466305,89.86,1760.78,1107.5643988114387,7.6,179.85,816.7987853208923,2094.56,7.053363173533697,90.06,607.8691434032969,2094.79,8.313273652932606,90.06,1755.0233631735337,1827.6911251585066,7.363542214735879,179.0,1754.7533631735337,1843.2011251585066,7.330179041202181,179.0,1754.4833631735337,1858.7111251585065,7.316905388269576,179.0,,,,,1e,25,1568977693
32750,32750,1027.0665189639835,1568978777.7581894,1027.0665189639835,-92.84767939311607,571.0249290531005,34.783160508827855,557.7425846732223,0.9957285523414612,556.3919806616238,65.54817268174197,595.3534332725243,0.9964659214019777,571.1348373463775,5.023126697753334,601.2055706998208,0.9832895398139954,542.5847727686869,106.59124276427696,606.7111701068967,0.9422957897186279,566.2764851406463,-31.625303874532214,604.531126710466,0.8360660076141357,460.7817157603217,152.56132073446275,470.5020089595098,0.98064124584198,467.06490273357207,-81.08579233195084,474.012008579159,0.9858511686325072,639.1636175806302,249.46981746885362,354.6797985442987,0.9842538833618164,592.0739239057846,-196.9339459843724,325.61249120664905,0.5438480377197266,758.8242344601832,254.41613566328246,206.24392264558816,0.7514470815658569,762.4182218946193,-206.43562814789271,186.15601981890853,0.7076805830001831,472.13510790942735,117.10102513225277,122.53325583848421,0.7299054265022278,455.7183883579052,-61.985540330726316,138.72188602324283,0.6853420734405518,754.7629611730678,177.6894112792025,49.11629761086393,0.0048991143703460685,734.3227406916988,-79.55366394792549,43.974131332379855,0.08170542120933533,327.22015878729593,185.59702237509987,-686.5981300225458,0.0023757517337799072,587.1740838656816,-92.67960260904205,-401.6978681267288,0.010630369186401369,1582.3976267341068,2097.9233481036013,6.673924144065652,269.3796898243655,1760.3033481036014,704.9411520809281,7.796696207203282,180.37,1269.7620187794541,2096.82,8.87321517118687,89.86,1111.981974468649,2096.45,9.123348103601641,89.86,1760.78,1107.314455873725,7.6,179.85,817.0322846442834,2094.56,7.056651896398359,90.06,608.1421074010638,2094.79,8.306696207203283,90.06,1755.0266518963986,1827.4477596665213,7.386563274788512,179.0,1754.7566518963986,1842.9577596665213,7.349911378390153,179.0,1754.4866518963986,1858.4677596665213,7.343215171186871,179.0,,,,,1e,25,1568977693
32751,32751,1027.1,1568978777.7919312,1027.1,-88.88945250563536,571.1637038561402,35.246199375901305,558.108081169403,0.9969253540039062,573.065935026528,64.69963621436833,600.9963203185148,0.99701988697052,575.4395435070352,4.720744373151085,603.6201205273626,0.9879080057144164,545.7384625874623,108.31072692647335,609.863815169185,0.9443178772926332,557.438087059132,-33.41760570963987,603.6165427709816,0.8011241555213928,452.3904554176447,146.8037890443289,464.9059727335502,0.9265478253364564,463.2426732981518,-81.34332521868222,472.4047229539898,0.7965511083602905,635.4985271264977,252.71664179018228,353.25282645322835,0.9801540374755859,588.692254679158,-195.08819726193448,324.6158788973249,0.5453634858131409,775.2608565378862,248.58834316147642,214.13089005837767,0.6722985506057739,761.7386255703658,-206.65521534009468,185.4160447420903,0.7783607244491577,483.9689822762976,114.69006595249118,140.6844199553413,0.6675829887390137,438.51759297323014,-64.00602212411961,133.2255470621427,0.7142666578292847,728.1904634823479,182.393589181468,41.230462549906996,0.005364835262298584,664.5864171145188,-66.47790395917728,-9.262222880901222,0.10666212439537047,338.16978002616764,177.0938823843454,-675.9996501883168,0.0011687874794006348,571.1700984942582,-84.8902053003383,-421.8800021573786,0.0038033723831176758,1582.18,2097.92,6.54,269.45,1760.3,704.68,7.79,180.37,1270.06,2096.82,8.9,89.86,1112.29,2096.45,9.12,89.86,1760.78,1107.06,7.6,179.85,817.27,2094.56,7.06,90.06,608.42,2094.79,8.3,90.06,1755.03,1827.2,7.41,179.0,1754.76,1842.71,7.37,179.0,1754.49,1858.22,7.37,179.0,,,,,1e,25,1568977693
32752,32752,1027.133188793474,1568978777.8254168,1027.133188793474,-84.0907008828527,571.3808418718462,35.414468674577996,557.6756818275478,0.9957507848739624,568.5444395276976,67.17450681125601,599.0410517974051,0.9965695142745972,571.0849834087005,6.502642222624773,602.9073328323868,0.9796804189682008,550.2925446077359,106.9363587989686,611.4952173714057,0.922860622406006,550.6752651688862,-36.6029280329633,600.9388641986666,0.6610427498817444,451.771303244968,151.85749837452005,464.650943435528,0.9784448742866516,472.02228962433816,-77.78261471199745,476.80161421120766,0.987006425857544,631.9612407331438,256.1318403723867,349.39186784792463,0.9829180240631104,587.1590684916757,-196.24296622960884,325.82157056461625,0.5400868654251099,778.9887107073524,244.6211136602412,214.1696473289805,0.7082585096359253,760.1696770633342,-209.8717566594946,184.4174265963061,0.6180537343025208,476.45458005205336,107.67461748779385,141.13452568307656,0.4971843063831329,423.2705960571401,-66.3624621101597,135.40954807153895,0.578414261341095,726.8657249283772,181.39044758204122,47.63712227837533,0.00701981782913208,602.159146770107,-58.64607609751327,-58.444952170983385,0.10848930478096007,281.5005275316662,180.1119260705531,-692.7626888076761,0.0014074444770812988,545.5817175825541,-76.76625789576464,-449.6886652138433,0.004488885402679443,1581.9344029282913,2097.92,6.8021914684459,269.5329719836854,1760.3,704.4178085315541,7.809913276084497,180.37,1270.3520613825724,2096.8233188793474,8.880086723915502,89.86,1112.5953368999624,2096.45,9.14655103477933,89.86,1760.7833188793475,1106.8110840489437,7.583405603262918,179.85,817.5023215543191,2094.56,7.046724482610334,90.06,608.6954669858355,2094.79,8.296681120652584,90.06,1755.0333188793475,1826.9577218076386,7.373492327178418,179.0,1754.7633188793475,1842.4644029282915,7.386594396737082,179.0,1754.4933188793475,1857.9777218076385,7.363362241305167,179.0,,,,,1e,25,1568977693
32753,32753,1027.1664962120315,1568978777.8590221,1027.1664962120315,-84.0907008828527,575.9297410256211,35.659429703529746,559.0306637374894,0.9957469701766968,566.0244111340651,67.34395435371222,598.1873159874813,0.9959571361541748,568.1624277101303,5.805827525666393,599.4911993511921,0.9803190827369692,547.4780616448656,107.98033092592254,607.8374380782664,0.9205383062362672,539.9585469687818,-38.992204296790966,593.8000015540848,0.6487913131713867,451.77895083585787,155.9719701303519,464.91892530464963,0.9756357669830322,462.4542081315848,-76.1318796891757,474.7353305527149,0.9847992658615112,625.5945139433933,247.15574386508968,350.5065618097958,0.9734721779823304,578.4085871345342,-196.4616419621146,323.1939122150253,0.6552253365516663,787.794629931998,256.43434885064,213.3590335753015,0.8278696537017822,774.7088328504036,-209.82452927406558,191.52831848456,0.6164935231208801,467.1682820064842,108.70095503717589,137.986826794794,0.3687540888786316,429.348824504886,-62.884081585047284,139.94391360770925,0.6245570778846741,709.2630267212494,183.52980942632718,46.096745768676996,0.01295873522758484,529.8821029293514,-56.02918375904335,-109.27418258919629,0.09354621171951294,279.2836024031451,176.71734882411099,-631.9696184888231,0.0018028616905212398,507.0381914728949,-77.2664172903457,-488.29140217474435,0.007713884115219115,1581.6879280309656,2097.92,7.0653200750503435,269.6162405300792,1760.3,704.1546799249496,7.829897727219013,180.37,1270.6451666658788,2096.826649621203,8.860102272780988,89.86,1112.9017651506917,2096.45,9.17319696962535,89.86,1760.7866496212032,1106.5612784097625,7.566751893984156,179.85,817.7354734842218,2094.56,7.033401515187324,90.06,608.971918559863,2094.79,8.29335037879683,90.06,1755.0366496212032,1826.7145776521688,7.336854166765143,179.0,1754.7666496212032,1842.2179280309656,7.403248106015845,179.0,1754.4966496212032,1857.7345776521688,7.356700757593662,179.0,,,,,1e,25,1568977693
32754,32754,1027.1664962120315,1568978777.8590221,1027.1664962120315,,577.2967774119569,38.37794116924993,556.9537800782473,0.9916887283325196,562.0015368019708,63.44931979210615,594.9766528958149,0.9732517004013062,573.249375240009,3.9623257120187683,596.4259357832198,0.9969604015350342,548.3991671545422,107.11346821305796,604.7504966953961,0.9085394144058228,536.918290627559,-36.14822746152136,593.9441230105813,0.9004685878753662,461.45838036445616,147.7378507402499,467.0614789129722,0.937214732170105,471.97556967176246,-80.40319319587655,474.5367419049538,0.7812275886535645,636.4810564350482,253.64177366678683,348.8358169366037,0.9841971397399902,588.4253525663859,-195.9686976046629,326.40270352696,0.5431641340255737,772.2584916470398,246.04030410580842,205.79816491362868,0.8119435310363771,754.6712038921013,-213.1650040077996,176.96838983656292,0.7517561912536621,466.5202938555457,106.10647532424463,177.2225335484198,0.5283035635948181,431.99648933029977,-63.01770987025638,137.8748984822852,0.7052626609802246,657.8771115393799,162.05888350895805,26.47886760748213,0.012402981519699095,512.8302606096088,-55.60630529900135,-126.72176390410787,0.10408985614776613,297.75446533660414,168.98386391085575,-584.4694874731292,0.0035296976566314697,464.1406767501742,-78.48871072859312,-527.9901499928303,0.006526708602905274,1581.6879280309656,2097.92,7.0653200750503435,269.6162405300792,1760.3,704.1546799249496,7.829897727219013,180.37,1270.6451666658788,2096.826649621203,8.860102272780988,89.86,1112.9017651506917,2096.45,9.17319696962535,89.86,1760.7866496212032,1106.5612784097625,7.566751893984156,179.85,817.7354734842218,2094.56,7.033401515187324,90.06,608.971918559863,2094.79,8.29335037879683,90.06,1755.0366496212032,1826.7145776521688,7.336854166765143,179.0,1754.7666496212032,1842.2179280309656,7.403248106015845,179.0,1754.4966496212032,1857.7345776521688,7.356700757593662,179.0,,,,,1e,25,1568977693
32755,32755,1027.2,1568978777.8928256,1027.2,-101.15197506060444,576.7490263189527,35.01732821699628,557.8766059008011,0.9956099987030028,570.7520085383701,63.67099138618939,597.3910039323719,0.974873423576355,580.6071469989744,5.517982526451192,603.5386790598491,0.981216549873352,545.7202037208143,108.93448114609188,603.0526135249438,0.6381015777587891,547.2492160965949,-38.05351133805162,597.6067292316727,0.6594284772872925,461.5247676544509,145.38365175323344,468.76125437924316,0.9234436750411988,475.9210035578795,-77.61091725667266,480.96716974510383,0.984889030456543,623.1997686597472,245.45677163277625,345.0323270510528,0.9683151245117188,581.1279002115316,-195.34050595258057,329.5701289354782,0.6793377995491028,801.1465274977041,254.64418020120084,223.3429441081947,0.8080633878707886,754.3935701238922,-214.95370053765842,194.159464948123,0.4498327374458313,496.6209526582776,104.42834504648346,166.41800746010438,0.25423794984817505,408.70091651647766,-63.160556236726386,126.06146089289166,0.5853511095046997,594.3426790965201,155.62644472171283,-30.155547334969924,0.017440497875213627,489.96100983441414,-54.541243031842576,-143.7862125041286,0.10641470551490784,382.5780952266083,163.25617622163966,-527.8358185103884,0.003853708505630493,422.1085389273798,-83.25940948093725,-577.7394166760006,0.006472498178482057,1581.44,2097.92,7.33,269.7,1760.3,703.89,7.85,180.37,1270.94,2096.83,8.84,89.86,1113.21,2096.45,9.2,89.86,1760.79,1106.31,7.55,179.85,817.97,2094.56,7.02,90.06,609.25,2094.79,8.29,90.06,1755.04,1826.47,7.3,179.0,1754.77,1841.97,7.42,179.0,1754.5,1857.49,7.35,179.0,,,,,1e,25,1568977693
32756,32756,1027.2375081874181,1568978777.9306445,1027.2375081874181,-84.71953827907645,576.5471756943143,32.1462626515339,558.0302393336972,0.9957528114318848,571.1641169898412,63.681459442524975,598.0263285181992,0.9965060949325562,584.4875643680899,3.0986453188004286,605.3189336581902,0.9785345792770386,541.9408130432673,109.28889132238501,599.6914703109957,0.7218949794769287,563.7844421424156,-34.84023191204753,605.9809354115504,0.7662119865417479,447.21685714018923,144.58896445706063,463.1145735382306,0.9142411947250366,467.38477885447855,-79.62102834524354,477.39087579762116,0.8162845969200134,637.9909438090316,243.7657047991035,355.0261253873275,0.9752390384674072,581.5817834064877,-196.3995735920723,326.02431701423444,0.6018893122673035,792.7457781612096,258.5168956434258,215.76980776292632,0.788564920425415,760.4868760559517,-213.61378249614063,185.8207313886515,0.6571985483169556,506.9386938680041,109.63920125532469,172.72241647523867,0.20168206095695496,411.57192706505583,-64.76452645434406,124.98791494661816,0.5947310328483582,673.9151651357879,175.61474370397397,24.64963243820248,0.003638714551925659,498.1726793821756,-54.80279475546686,-140.82293138775688,0.09739261865615843,445.4362134288823,159.60534849956218,-476.01121226052004,0.002598881721496582,425.2627762121203,-79.24214522936438,-579.3351913481696,0.0029094815254211426,1581.1811935068165,2097.9237508187416,7.1837180690701725,269.80502292477007,1760.2962491812582,703.5974361381402,7.8575016374835815,180.37,1271.2775736867613,2096.83,8.877508187417904,89.86,1113.5550753242446,2096.45,9.20750163748358,89.86,1760.79,1106.021186956882,7.580006549934324,179.85,818.2363081306671,2094.56,7.0575081874179055,90.06,609.5613179555686,2094.7862491812584,8.316255731192532,90.06,1755.0437508187415,1826.1924394131076,7.333757368676113,179.0,1754.7737508187415,1841.6924394131076,7.386242631323887,179.0,1754.5075016374835,1857.2124394131076,7.365003274967163,179.0,,,,,1e,25,1568977693
