,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,conflict_1e_x,conflict_1e_y,conflict_1e_speed,conflict_1e_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,scenario,participant_id,source_file
45595,45595,1451.8667052370652,1568622303.7741985,1451.8667052370652,-109.14323799226436,597.8631008763292,35.32010917281061,675.9666740833447,0.9940532445907592,625.5852630273832,64.5553925844695,734.0913344551826,0.8872075080871582,639.7415217570673,14.349316488462565,733.1087610002652,0.836673378944397,573.4142321649682,117.50414579292152,747.1521339939898,0.7401093244552612,618.0314941747895,-27.71560916463972,735.6220332230597,0.27543219923973083,489.36031375448164,175.1392720108966,599.6360513643168,0.9373224973678588,481.530555015687,-64.52714882094878,590.3679562449761,0.3583002388477325,626.573546702526,255.65615554321133,398.7341941559362,0.985732078552246,553.3109012554901,-178.10570321288415,375.1083472203544,0.9858721494674684,821.6003917335032,288.08640715859366,254.4171618218831,0.9293226003646852,763.4685222270615,-206.34284204568849,233.1923224679021,0.4148838222026825,443.21042193525216,141.0125198052987,203.35256244124687,0.5683701038360596,484.87629240528497,-55.59557829129688,230.5806413641234,0.023315757513046258,820.1620246730745,163.49732763730813,105.06474054008403,0.4740158915519714,677.5233546128354,-130.4541671508253,113.98629511886787,0.5788137316703796,443.06418657582486,186.01912667237136,-593.2755234749238,0.012132197618484495,809.9861313146474,-37.6091908743739,57.50219512044913,0.07913428544998169,1515.499826433208,2098.306658952587,4.583329476293512,268.53330633405454,1874.7603124202253,2092.8733294762933,8.040023142238933,90.16,1669.3902777068674,2094.05,7.156647381467557,90.57,1655.3669482305734,2094.19,7.2000347133583995,90.57,1596.443665038758,2094.7833294762936,8.676658952587022,90.57,1056.8835956120413,2096.29,6.843306334054577,89.64,1759.89,1449.9763002478835,9.466658952587023,179.85,1759.8366705237063,1471.2463002478837,9.533341047412977,179.85,1756.8633641896522,1713.5930980539042,6.166647381467556,162.4816315278448,309.0902777068672,2094.8999884288805,7.236670523706489,92.82,175.17365346763856,2113.849930573283,8.523317905174045,102.2,,,,,,,,,,,,,1e,12,1568620805
45596,45596,1451.9,1568622303.8074708,1451.9,-77.39059795125776,599.8714873857001,36.66653651886186,670.3066166854758,0.99342143535614,626.5768297490924,66.88993284809274,730.3468785250328,0.8837819099426271,633.5004199112549,14.395004254754234,728.170130790586,0.8729648590087891,565.05526904729,120.16013141389764,741.9470418147804,0.7808514833450317,617.1481642933835,-28.742381706356877,734.1744104808351,0.2602575123310089,488.24420328375015,174.34652201876182,595.7778851220895,0.9891189336776732,479.3906945432164,-83.17507873032405,589.1681617857805,0.9639613032341005,610.9418617593448,258.2860008401794,392.08788627222015,0.9872480630874634,564.0209385827641,-171.51823824594808,381.39458553422406,0.7727676630020142,827.1056039836052,289.1102083655396,254.41859820429605,0.9240392446517944,763.5554689160804,-206.27796095040625,231.43025565525795,0.3567525148391724,441.16479359740674,145.2417245405174,175.34903144066482,0.3041883111000061,481.4129060202363,-58.076701115511646,221.56927823282143,0.027980834245681763,757.2674303205716,169.3140294592539,66.7589841001699,0.3665103614330292,685.9807551000264,-127.58752863817848,120.52354193609536,0.6939806342124939,444.2179850066847,191.13033677985146,-592.7430626169031,0.007293105125427245,701.1705414508267,-64.68945548686573,-108.05305780260944,0.0418095588684082,1515.35,2098.3,4.58,268.51,1875.03,2092.87,8.06,90.16,1669.63,2094.05,7.14,90.57,1655.61,2094.19,7.23,90.57,1596.73,2094.78,8.67,90.57,1057.11,2096.29,6.82,89.64,1759.89,1449.66,9.46,179.85,1759.84,1470.93,9.54,179.85,1756.89,1713.39,6.15,163.89,309.33,2094.89,7.24,92.82,175.45,2113.79,8.51,102.2,,,,,,,,,,,,,1e,12,1568620805
45597,45597,1451.9333143103415,1568622303.8410127,1451.9333143103415,-77.85514364352333,606.7497183606373,41.62030896220917,675.2424672208538,0.994596004486084,625.2935080066916,70.32905164222984,732.6644176441307,0.8574303388595581,644.4749197039042,18.578183228374613,736.0165479406157,0.8718807101249695,570.3871158919777,122.82713586478218,744.7875382066952,0.7229110598564148,619.1904352006508,-28.482627526517142,734.6693448749901,0.2497309446334839,490.4704800544027,176.47889588472762,596.0367864048069,0.9405350685119628,485.7505206001274,-69.5732506839928,591.2885501227823,0.3650082945823669,610.8234829983747,258.85452460971715,389.86432371859115,0.9868950843811036,566.2708529478914,-173.19316673613926,381.54195168666917,0.9866927862167358,821.4179141038544,295.9014681849733,248.43922141595056,0.919770121574402,761.4015429951943,-206.1359417888114,227.58036318741853,0.36340808868408203,439.4138663954337,144.56723404705204,159.70807556927255,0.2597008943557739,478.54125589464974,-62.50015092374196,212.48750275897697,0.060839772224426276,799.1504234853702,164.44077416733876,83.38157310507367,0.4295039772987366,734.6094201088977,-109.4159419917948,115.27258828297268,0.4772459268569946,440.7391898658548,197.1657842786669,-595.4541363609179,0.0065094828605651855,656.4847859569901,-79.23386109545183,-217.69928068701145,0.0131586492061615,1515.1967541724289,2098.2966685689653,4.58,268.5033371379317,1875.296514482732,2092.87,8.06,90.16,1669.8698630344586,2094.0466685689653,7.1733143103414685,90.57,1655.8465316034244,2094.1866685689656,7.213342844829266,90.57,1597.0198344999708,2094.7766685689653,8.656674275863413,90.57,1057.339868741356,2096.2933314310344,6.849982879307323,89.64,1759.8933314310345,1449.343514051756,9.469994293102443,179.85,1759.84,1470.613514051756,9.516679982760973,179.85,1756.906657155171,1713.1834512758828,6.156662862068294,164.8161378274928,309.5698630344586,2094.8766742758635,7.236668568965852,92.82,175.72984020686832,2113.730034241385,8.533320017239028,102.2,,,,,,,,,,,,,1e,12,1568620805
45598,45598,1451.9663214901395,1568622303.8742454,1451.9663214901395,,597.2440816762488,35.32177911023662,668.262077594125,0.9942779541015624,622.8786403186152,67.04868071535708,729.4006293186743,0.9219925403594972,640.0817843016694,11.95812686003815,732.317167221745,0.8736730813980103,568.6562171288663,124.79662373742308,742.8420337456122,0.8379524946212769,617.6136495700924,-28.69549552775555,733.8025663473528,0.2298853695392609,488.5566291080273,169.4800828445697,600.3279784175102,0.9365974664688108,473.75270964792674,-83.5497516416025,588.7583592507301,0.9595963358879088,609.9577749050095,260.1475247503573,391.4056247200016,0.9889243841171264,567.4049878994474,-167.21394697081234,389.8863681563506,0.9842636585235596,821.9314392063632,295.77585098424123,253.98512385081668,0.9448368549346924,768.5806403042398,-193.80367950418227,234.1611282184563,0.5669332146644592,442.33523033785866,147.05321472003826,155.73565290851963,0.33669254183769226,470.4356427592683,-68.53089978825629,204.114592650753,0.1706649661064148,809.4406948709783,164.54936310275062,85.24430012125583,0.5551436543464661,769.3958242791672,-101.2363382272025,121.20508962465065,0.6774536967277527,425.232278388038,200.2112319861372,-613.5826946662156,0.003214627504348755,631.9842023025071,-87.30014965965687,-280.22393527480824,0.12239304184913635,1515.0449211453586,2098.293367850986,4.58,268.49673570197206,1875.560571921116,2092.87,8.06,90.16,1670.1075147290046,2094.043367850986,7.206321490139503,90.57,1656.0808825799904,2094.183367850986,7.196839254930247,90.57,1597.3069969642136,2094.7733678509867,8.643471403944199,90.57,1057.5676182819625,2096.296632149014,6.8796893411255535,89.64,1759.896632149014,1449.0299458436746,9.47989644704185,179.85,1759.84,1470.2999458436745,9.493574956902345,179.85,1756.9231607450695,1712.978806761135,6.163264298027902,165.73373742587822,309.80751472900437,2094.863471403944,7.23336785098605,92.82,176.00710051717186,2113.670621317749,8.556425043097653,102.2,,,,,,,,,,,,,1e,12,1568620805
45599,45599,1452.0,1568622303.908154,1452.0,-79.71072374437836,599.2396930158039,39.34419929413731,670.9664115192495,0.9940852522850036,622.6650735701344,70.64783580316049,725.0074807610458,0.9158756732940674,641.1109576484512,15.266099304906405,728.8070013382562,0.9339942932128906,564.6905899922073,126.58982591587328,740.7937310613911,0.7328863739967346,618.8469835967076,-25.784081783056944,735.6046931693518,0.28464779257774353,490.36486741726605,181.26735335492182,596.6074736396483,0.9119775891304016,470.3438154248903,-80.15559253106893,593.5013991797445,0.9106987714767456,614.2067613563975,260.17039904221093,393.319932871637,0.9803383350372314,561.4996644506117,-168.48471336607838,381.5819037171276,0.9838906526565552,823.6912593905593,295.57134093740467,251.03139609821582,0.9421826601028442,755.5142061463788,-193.0171904714415,224.50860801997814,0.638272762298584,446.01467436616525,146.35937728160928,149.08409774120707,0.44528084993362427,481.78821765940285,-69.10305152322115,198.8897504980884,0.2872586250305176,810.366550754387,167.05093375530603,81.89019144277933,0.5672083497047424,827.6576305777758,-91.43854537898476,150.9638175469967,0.7123769521713257,364.812430695392,203.5061799799473,-679.9047589900043,0.0043803751468658465,633.3948676454103,-88.76930243607201,-306.92539130447534,0.1091490089893341,1514.89,2098.29,4.58,268.49,1875.83,2092.87,8.06,90.16,1670.35,2094.04,7.24,90.57,1656.32,2094.18,7.18,90.57,1597.6,2094.77,8.63,90.57,1057.8,2096.3,6.91,89.64,1759.9,1448.71,9.49,179.85,1759.84,1469.98,9.47,179.85,1756.94,1712.77,6.17,166.67,310.05,2094.85,7.23,92.82,176.29,2113.61,8.58,102.2,,,,,,,,,,,,,1e,12,1568620805
45600,45600,1452.0327220994238,1568622303.9408374,1452.0327220994238,-109.75549393191744,598.571215649808,41.29756478621135,664.3499813995933,0.993361473083496,625.4859325685436,69.28564393594246,723.1067843300183,0.9779475927352904,634.8249083657641,17.42729390001446,724.9911823760815,0.9194138050079346,570.0952628185291,128.81132503833462,741.2998587728003,0.7244161367416382,624.8227297186703,-23.139422060327487,737.0037944817499,0.3078746199607849,494.1093131670149,174.210669217663,599.5189555666309,0.9542092084884644,480.6371548588102,-67.55176138552797,592.3656459281759,0.6582819223403931,613.1175879769496,257.80186647915747,396.2202900062042,0.9880950450897216,556.6048440122695,-168.91193450183573,377.5481598637555,0.9794551134109496,815.9462594004608,297.9390021830636,250.26364645771253,0.921191930770874,770.0507070675185,-188.48986182091167,238.37726069490745,0.665120005607605,467.1251008501062,149.4349556488328,158.8511101365269,0.4612280428409576,478.6304301944416,-68.17030684333636,184.39501369145282,0.2163439691066742,817.9720539610075,166.89259856882882,86.14819313435919,0.5767189860343933,858.6188004526803,-88.20448552002294,163.33156508157208,0.7326698303222656,321.6461705341594,208.57998150057546,-730.1770051872304,0.00417289137840271,646.7581047209719,-85.82559343222071,-334.374857009492,0.10561424493789673,1514.7394783426505,2098.2867277900573,4.576727790057613,268.5063610497119,1876.0950490053333,2092.87,8.056727790057614,90.16,1670.5855991158514,2094.0367277900573,7.213822320460907,90.57,1656.5555991158515,2094.176727790057,7.18,90.57,1597.881410055045,2094.7667277900573,8.636544419884773,90.57,1058.0257824860246,2096.3,6.91,89.64,1759.9,1448.4024122654157,9.476911160230452,179.85,1759.84,1469.6691400554732,9.47,179.85,1756.9432722099427,1712.5638507736294,6.2387164087901175,167.5436800546172,310.28232690590943,2094.8401833701732,7.200550110518521,92.82,176.5615934252181,2113.551100221037,8.58,102.2,,,,,,,,,,,,,1e,12,1568620805
45601,45601,1452.0667885633536,1568622303.9748635,1452.0667885633536,-84.84259142757396,600.9455394764918,51.061710113499366,667.33783024467,0.9926334619522096,628.7768148309249,76.30532736448643,724.9954225229149,0.974058985710144,646.3324540827123,23.34755393972464,729.1371596642755,0.9468115568161012,582.9287616021793,124.23429602828493,748.4827204089001,0.93556010723114,618.0730253579378,-26.8196028183536,737.4587470752635,0.2811182141304016,494.930979526173,174.32359502320512,598.6902481157944,0.9590319395065308,479.81123509145203,-66.12320405237351,588.9785424953375,0.6221863031387329,622.0908348973287,259.3594414928114,388.6290054924165,0.9446640014648438,573.4495672896918,-170.18642117227924,386.7754588408129,0.9845026135444641,816.9404638085863,297.6191128213642,246.81419069482945,0.9286843538284302,772.9201446691161,-186.3810261451896,240.72231259901542,0.6097149252891539,478.69458752368416,152.00906428033696,170.68030612107196,0.4430360794067383,482.9471630378386,-66.50387963988123,177.9842085820154,0.3596697449684143,783.9139485902908,163.37790716004656,53.56117687239447,0.4421297609806061,866.0097766317592,-71.8810496439156,139.0097350142147,0.3205727934837341,311.741830094741,212.4234228939576,-741.5171113932905,0.002905905246734619,654.7730224361108,-83.1422451627986,-341.90882203293665,0.059009402990341187,1514.5827726085734,2098.283321143665,4.573321143664633,268.52339428167693,1876.3709873631647,2092.87,8.053321143664633,90.16,1670.8308776561466,2094.033321143665,7.186569149317063,90.57,1656.8008776561464,2094.1733211436645,7.18,90.57,1598.1743816448416,2094.763321143665,8.643357712670735,90.57,1058.2608410871403,2096.3,6.91,89.64,1759.9,1448.0821875044753,9.46328457465853,179.85,1759.84,1469.34550864814,9.47,179.85,1756.9466788563354,1712.349232050872,6.310255983042714,168.45325464154303,310.52419879981113,2094.8299634309938,7.169890292981695,92.82,176.8443450758355,2113.489780585963,8.58,102.2,,,,,,,,,,,,,1e,12,1568620805
45602,45602,1452.1,1568622304.0080357,1452.1,-83.70753039450645,606.5517455736754,59.507542431626256,671.1671093765324,0.9928300976753236,621.0955050245839,84.99013703244567,725.9326652559116,0.7203368544578552,648.1324198277764,27.700860475700512,731.8345918112256,0.9635294675827026,582.8043869745716,128.55421548325114,751.4105783047314,0.8898442983627319,618.6242280737067,-28.00921244972039,737.6934481839467,0.3166162967681885,484.776202966715,188.2629276771843,598.7330141438404,0.8975917100906372,477.7837484627256,-77.19228785643224,591.9142932701159,0.969112992286682,611.2478573351891,260.11376752221355,391.6647902943145,0.8179041147232056,574.7265415553297,-170.89193897833925,387.06885690545937,0.980664312839508,821.1281900084451,297.58528669026265,246.48782478924568,0.9326660633087158,770.0067794744162,-186.98328684053908,239.73146001853885,0.5575891733169556,450.7160629520121,151.6193826089366,184.43363266976638,0.4706286787986755,474.21869910105113,-66.77487920158124,163.83980932760034,0.5586436986923218,792.374765633571,158.72996482639894,65.30687783492795,0.1615726351737976,847.3315678071498,-63.158859641661074,105.83200074301097,0.4183659851551056,341.1512825762273,214.4100747018884,-710.2080119079296,0.00993722677230835,659.0669299405167,-86.43365734478338,-346.6769340926008,0.07403752207756042,1514.43,2098.28,4.57,268.54,1876.64,2092.87,8.05,90.16,1671.07,2094.03,7.16,90.57,1657.04,2094.17,7.18,90.57,1598.46,2094.76,8.65,90.57,1058.49,2096.3,6.91,89.64,1759.9,1447.77,9.45,179.85,1759.84,1469.03,9.47,179.85,1756.95,1712.14,6.38,169.34,310.76,2094.82,7.14,92.82,177.12,2113.43,8.58,102.2,,,,,,,,,,,,,1e,12,1568620805
45603,45603,1452.1331102719068,1568622304.0410426,1452.1331102719068,-77.51985181463657,616.5168310740697,64.42213441430327,683.5169240937021,0.993127942085266,617.3869661849087,91.52685120714868,730.4507709832719,0.9882477521896362,657.8434191443492,31.76898045174068,743.8291769110738,0.9634766578674316,562.1762412690782,134.11159948086737,740.716608415061,0.8930035829544067,622.7347964813664,-25.579228978428148,741.9711529169708,0.3408684432506561,490.37669551792396,186.93507978652752,595.9408234928584,0.9899521470069884,474.61354524667746,-76.11357045274636,598.1062447216216,0.92262864112854,617.7555685373318,259.1246281393723,386.3713893219955,0.9478441476821899,563.9646818526275,-176.6576690444374,377.5915445124705,0.9826952219009399,823.0282509427582,296.004697849882,243.4377625277764,0.9539846181869508,764.3164044903713,-187.27995183041645,235.5739494006179,0.3976569473743439,461.1579352798477,156.19403649308978,162.2311629842705,0.202932208776474,489.6206021000018,-61.801902043191824,169.5649267894171,0.6343731880187988,667.589694605521,163.19248397579352,-68.62058145033927,0.27171677350997925,843.0847998735878,-52.11740996102143,99.35542348767359,0.2223004400730133,334.8180434385495,214.6792146938863,-717.2191453474537,0.012195914983749391,645.9864967807198,-86.12508687137193,-372.11944900751917,0.1047719419002533,1514.2776927492284,2098.2766889728096,4.566688972809311,268.55655513595343,1876.908193202446,2092.87,8.063244108762756,90.16,1671.3083939577295,2094.0266889728096,7.173244108762756,90.57,1657.2783939577296,2094.166688972809,7.189933081572066,90.57,1598.7447483383994,2094.7566889728096,8.633444864046558,90.57,1058.7184608761577,2096.303311027191,6.91,89.64,1759.9,1447.452141389694,9.47648821752551,179.85,1759.84,1468.7154524168845,9.479933081572069,179.85,1756.953311027191,1711.9247832326053,6.4164212990975775,170.23397734148602,310.99508293053884,2094.8067558912376,7.146622054381377,92.82,177.39481525682717,2113.3704015105677,8.553511782474487,102.2,,,,,,,,,,,,,1e,12,1568620805
45604,45604,1452.1664860172054,1568622304.074314,1452.1664860172054,-78.05593037373754,617.7305410199949,66.49313577999614,687.2721721980607,0.9952516555786132,626.408609859162,92.86971351723729,737.3458315429059,0.9931792616844176,661.5682206472562,33.95136499329752,747.0090729623238,0.9720011949539183,576.6516189191539,136.19509213239058,745.8161663367972,0.9114440083503724,619.5099496534933,-24.74785447939111,739.9380847697971,0.43235814571380615,495.31199584277886,188.5285067719308,597.0413597318425,0.9868826866149902,475.02147060953837,-75.28891037370533,597.2769529342837,0.938368022441864,614.9538458495027,259.19864441357595,387.46021842179744,0.9377987384796144,570.5811829309516,-175.16721588595692,383.0985317894655,0.981494665145874,821.6462481770227,299.28660101991045,246.19144670235423,0.9454077482223512,779.9650788282905,-182.8441705201619,249.15722670899703,0.3835137188434601,470.6073156397555,157.8899768704317,160.68166706323422,0.18649998307228088,468.25107102356895,-61.57994656546421,149.76598083230468,0.7233723998069763,654.5828281402057,168.96319501967898,-91.67951536770563,0.4223043024539948,854.2412246609349,-42.49869239496447,116.18309957865542,0.27389901876449585,272.98867363293783,213.99573356627616,-785.1203970391092,0.012596458196640016,627.273620249743,-84.93318740875819,-399.75071302704566,0.24671465158462524,1514.124164320855,2098.2733513982794,4.563351398279456,268.57324300860273,1877.178536739364,2092.87,8.076594406882178,90.16,1671.5486993238794,2094.0233513982794,7.186594406882177,90.57,1657.5186993238794,2094.1633513982792,7.199945805161632,90.57,1599.0317797479665,2094.7533513982794,8.616756991397278,90.57,1058.9487535187177,2096.306648601721,6.91,89.64,1759.9,1447.1317342348275,9.503188813764352,179.85,1759.84,1468.3983828365485,9.489945805161632,179.85,1756.9566486017206,1711.7078408881644,6.453134618925987,171.13512246454695,311.23205072215865,2094.7934055931178,7.153297203441089,92.82,177.67183394280514,2113.31032516903,8.526811186235646,102.2,,,,,,,,,,,,,1e,12,1568620805
