,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,conflict_1e_x,conflict_1e_y,conflict_1e_speed,conflict_1e_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,scenario,participant_id,source_file
29994,29994,936.6,1568282031.3520973,936.6,-78.77971569515233,,600.9752582260899,72.68915270967709,626.5437618465597,0.9969774484634399,612.2174585923256,103.93476491189524,672.7130546945692,0.9938758611679076,624.115075207568,36.51754046152144,673.2362280140047,0.9697646498680116,594.4948256366278,137.45593664409472,700.0227119797023,0.7562131881713867,620.487027794652,-2.522771796005035,706.3478063077913,0.3484787046909332,478.4840735748857,201.89653535927,572.5308439215016,0.7949876189231873,468.5146163709144,-45.72411492487871,562.0805137096215,0.11878111958503725,597.1858423093253,281.11058269128415,368.48070016305223,0.9633414745330808,620.7172469871505,-148.79364623011534,343.5045452898212,0.9339326620101928,742.1545530163936,314.62935359834006,204.4569978574324,0.9174065589904784,762.6335229478359,-170.0885814077364,213.1805446869559,0.8188868761062622,451.70625562588407,181.87653946851242,119.53182158058071,0.011530250310897829,442.18095475511285,-41.81125239508623,144.59324255804196,0.014999657869338991,779.9553998213053,198.46391521452517,65.02977362533096,0.6472997069358826,841.7519707431833,-66.30333546063815,135.15562739697089,0.8052535057067871,240.6424820137589,236.6493067924926,-808.2326433272209,0.019949734210968014,576.1900132313804,-73.50874103407055,-438.5844718135096,0.13787874579429624,1560.17,2097.76,5.87,270.72,1760.8,781.02,9.39,180.37,1148.25,2096.53,8.87,89.86,927.76,2094.6,8.02,87.87,912.79,2094.45,8.07,90.06,1757.19,1692.91,8.27,179.28,1756.96,1711.53,7.98,171.86,1755.04,1826.58,6.13,179.0,529.71,2094.57,7.71,89.67,487.07,2094.33,8.07,89.67,451.18,2094.12,8.4,89.67,327.08,2093.9,7.11,93.56,,,,,,,,,1e,8,1568281044
29995,29995,936.6340100688333,1568282031.38613,936.6340100688333,-78.66040793413866,,600.6317447426212,80.72696299012624,628.0393510455949,0.9970253705978394,618.2095050484334,107.43587709686057,676.122716597805,0.9948801994323728,638.9564094940897,45.890612530365544,681.5726805335986,0.9759014844894408,607.8461682627527,139.29265891417663,706.6268665692891,0.7510480880737305,616.3684614715938,2.442126187809293,706.9068879701014,0.3804900646209717,477.10040045343834,203.10783031010723,574.237824588013,0.8153170347213745,470.3672651793474,-38.55750752809311,562.8780023525146,0.10732674598693848,589.0710353764896,283.9077937555232,364.27401710007825,0.9650319218635559,623.5017201369453,-145.66656067046802,349.87281248990126,0.9199191331863404,748.1612066702036,313.07192962123224,209.76364746442383,0.9166585206985474,756.162447363696,-170.18222626981554,208.57458862131958,0.831730842590332,442.76829693897247,180.5458473594181,128.9106564625642,0.2262071073055268,440.56333299913933,-44.21321911583585,131.77702767619604,0.018265873193740845,756.8605812917294,191.96465731665063,53.331899289099,0.4535059928894043,838.2677372449398,-61.62163348035487,133.89237415827213,0.8558228015899658,224.716963826204,236.40783081464585,-829.4115393773043,0.012511610984802246,564.5939529775306,-73.06792409030463,-455.7958386995917,0.20488005876541132,1559.9727416007681,2097.7634010068837,5.863197986233374,270.7404060412999,1760.8,780.7037063598517,9.372994965583434,180.37,1148.5492886057316,2096.5334010068837,8.85979697935006,89.86,928.0252785368983,2094.644213089483,8.04040604129988,87.27482379542019,913.0620805506653,2094.45,8.032588924283555,90.06,1757.1934010068833,1692.6311174355685,8.246192951816807,179.28,1756.9634010068833,1711.2511174355686,8.037817117016326,173.00613931967658,1755.0434010068832,1826.3657365663514,6.167411075716447,179.0,529.9718775300151,2094.57,7.706598993116687,89.67,487.3454815575484,2094.33,8.087005034416567,89.67,451.462283571315,2094.12,8.376192951816808,89.67,327.3180704818319,2093.8863959724667,7.082791944933494,93.56,,,,,,,,,1e,8,1568281044
29996,29996,936.6668228852712,1568282031.4189649,936.6668228852712,-89.99422489808468,,607.8737044099694,84.38954228951178,630.5257125646676,0.996623158454895,614.8025431474538,112.00910973367071,675.696643503702,0.9954591393470764,637.5653514805607,51.93936195250984,684.1458010554212,0.9465513229370116,608.4134297087813,142.8075380800307,707.0901337684932,0.6169872283935547,617.3900699183653,8.260091645409666,708.9904578620609,0.42980611324310297,474.83087524883916,209.68954586664242,568.6095926626436,0.942343771457672,483.68435162075735,-52.02031227680872,557.63333091507,0.15928694605827332,603.3414524252042,284.3110537502834,373.54341581967225,0.9617811441421508,598.0438412136167,-141.38784637501175,353.45945317037,0.36985719203948975,750.7563438396887,313.0297168774804,206.07841561863572,0.8132392168045044,764.3676944560012,-170.36162360397654,205.44344487670062,0.8257274627685547,444.2057859591615,181.99160498818588,147.54191934924685,0.07063955068588257,415.46140697291236,-38.41136905401292,194.9866984917016,0.8615890741348267,677.8881158842478,208.94605697573638,29.82836392936821,0.6295348405838013,837.3170257168445,-60.362388777413855,134.87641723627712,0.8346729874610901,266.7505504270956,234.54563120538572,-781.9396329413959,0.01959371566772461,550.2136770108881,-71.68920249113354,-468.0200651837147,0.1797926127910614,1559.7824272654275,2097.766682288527,5.85663542294578,270.76009373116267,1760.8,780.3985471669788,9.356588557364454,180.37,1148.8380413903858,2096.536682288527,8.849953134418673,89.86,928.2812185051145,2094.6868697508526,8.060093731162656,86.70059950775587,913.3245830821687,2094.45,7.996494826201798,90.06,1757.1966822885272,1692.362052340777,8.223223980310234,179.28,1756.9666822885272,1710.982052340777,8.093598904960858,174.11193123363583,1755.0466822885269,1826.159015822792,6.203505173798202,179.0,530.2245362165876,2094.57,7.7033177114728915,89.67,487.6112653706958,2094.33,8.103411442635544,89.67,451.7346299477501,2094.12,8.353223980310235,89.67,327.5477601968976,2093.8732708458915,7.056541691783125,93.56,,,,,,,,,1e,8,1568281044
29997,29997,936.7,1568282031.4521642,936.7,-87.52579187009499,,609.0493302566398,87.21037893066216,625.0829287875928,0.9948528409004213,625.8384112229762,119.41282083184755,678.6097604204425,0.9924845099449158,643.2109725016171,57.97531619614157,684.4187661573919,0.9599451422691344,603.2278488576798,149.12985406797017,704.6239547846899,0.5228873491287231,611.6797573420638,14.537655316348342,708.0680099639743,0.5835575461387634,471.06204600593145,210.92600663116082,565.0235957505878,0.9515321850776672,489.5061837091055,-57.15048514733877,554.5949396130716,0.1817153096199036,592.5975582797903,282.4103923384894,368.9302735184674,0.95430326461792,587.7309493318772,-136.85932104489672,354.8535697485053,0.4401753842830658,751.3197639364063,311.00124470978335,205.04638476871776,0.6499758362770081,769.5163499964923,-170.14660463815818,206.58099265603408,0.8208375573158264,453.8262300307695,184.13037860422332,166.74703840403708,0.01839455962181092,391.1301617127281,-39.31560396501499,196.89900746915885,0.8047156333923341,639.3423865673235,203.48326468071517,32.799300507050646,0.6726487874984741,801.8321196382558,-63.75769300716303,110.46465835685652,0.8636460900306702,235.1916109793756,228.6699032495332,-715.3080026781442,0.03953751921653748,511.166198945732,-75.61245535206895,-502.5618892131485,0.1884902119636536,1559.59,2097.77,5.85,270.78,1760.8,780.09,9.34,180.37,1149.13,2096.54,8.84,89.86,928.54,2094.73,8.08,86.12,913.59,2094.45,7.96,90.06,1757.2,1692.09,8.2,179.28,1756.97,1710.71,8.15,175.23,1755.05,1825.95,6.24,179.0,530.48,2094.57,7.7,89.67,487.88,2094.33,8.12,89.67,452.01,2094.12,8.33,89.67,327.78,2093.86,7.03,93.56,,,,,,,,,1e,8,1568281044
29998,29998,936.7327447603984,1568282031.4855325,936.7327447603984,-89.99178688930407,,606.0424798702221,89.33565180320274,626.8218636560084,0.9951444864273072,622.75157252141,121.84329716690685,678.0720208115853,0.9915492534637452,646.460932696481,59.34074565204079,687.0373098976303,0.9408971071243286,609.1946052548476,153.5410044972416,709.4081781751172,0.4890581071376801,612.8040340356023,17.072807344402662,709.8872925362234,0.5315424203872681,479.623510668869,216.74284368552622,567.8732054056577,0.9550970792770386,488.119700752094,-48.72976283006094,554.2894763391287,0.1950453817844391,607.9721529416404,282.4176953670912,375.58336666515885,0.9717121124267578,595.3679165796407,-136.70521638982038,363.5149216427185,0.3677012324333191,753.3597155014197,313.8032124180778,211.3529800130629,0.9257440567016602,757.6514340146443,-170.69590822628,210.01408465106644,0.5107029676437378,489.36355547415525,188.4270148997449,163.63420281270098,0.0029180943965911865,395.2123915049232,-42.01693173895925,171.05307888026977,0.7218617796897888,651.559969888526,203.4666006614656,22.838440300282684,0.04720532894134522,787.9383754289656,-66.40817854163987,100.14240335672486,0.8259111642837524,251.77726233164714,204.0176724535021,-704.3278520288609,0.01131993532180786,461.2971346131824,-80.8850286499825,-551.6841825721302,0.10047781467437744,1559.4000803896884,2097.7732744760397,5.843451047920296,270.8160192364384,1760.7967255239603,779.7821992522539,9.343274476039852,180.37,1149.421428367547,2096.54,8.866195808318812,89.86,928.7954091311084,2094.7758426645582,8.057078667721036,85.4913006003485,913.8519580831884,2094.45,8.00256818851807,90.06,1757.20327447604,1691.8214929647324,8.193451047920297,179.28,1756.97327447604,1710.4414929647323,8.182744760398517,175.67205426537998,1755.05327447604,1825.750256961569,6.213804191681187,179.0,530.7321346550685,2094.57327447604,7.706548952079704,89.67,488.14523255922796,2094.33,8.093804191681187,89.67,452.28833046338735,2094.1232744760396,8.359470284358665,89.67,328.0092133227896,2093.846902095841,7.026725523960147,93.56,,,,,,,,,1e,8,1568281044
29999,29999,936.765446003678,1568282031.5188565,936.765446003678,-87.43865312497744,,607.207804269662,94.83450587401558,624.4319528664076,0.994308590888977,623.9046991785168,125.903127899212,675.4838455516418,0.9844902753829956,644.6538917728852,69.96584667886779,683.6193900102876,0.949620246887207,609.4341941981994,158.83053046322158,706.8835102392387,0.5195246338844299,624.6945974489267,23.05013422050226,714.970419886851,0.7029139995574951,479.4061611375385,214.72672844302696,569.7821293531007,0.9643410444259644,469.1990100457425,-47.7774401239387,570.3938592074867,0.8939306735992432,593.593262491052,286.19743987736,368.01485979373774,0.9522078037261964,619.4615574160787,-148.7554439287144,345.1527844125109,0.95031476020813,739.6972141724701,315.39098133356583,200.30156263729245,0.5540795922279358,760.2731053933385,-171.84303964434608,214.1664731733546,0.8109605312347412,479.8355131617113,181.94174839835352,177.43190521333008,0.0016898810863494873,391.2646387028552,-45.831429591204966,155.24689830126502,0.0965498983860016,688.5213218949742,230.21975909119428,73.64195107151969,0.30766576528549194,824.9183952945211,-63.79418843695902,127.56383116098286,0.8058325052261353,382.50660754941595,206.1455690498201,-469.1406012220326,0.13039612770080564,429.0351685232466,-86.96307528437084,-583.2058575415136,0.094540536403656,1559.2104131786682,2097.776544600368,5.836910799264421,270.8519906040457,1760.7934553996322,779.4748075654277,9.346544600367787,180.37,1149.7124694327333,2096.54,8.892356802942315,89.86,929.0504788286876,2094.821624405149,8.034187797425474,84.86343672938445,914.1135680294232,2094.45,8.045079804781263,90.06,1757.2065446003678,1691.5533427698413,8.186910799264421,179.28,1756.9765446003678,1710.1733427698416,8.215446003677894,176.1135210496516,1755.0565446003675,1825.5507793775646,6.187643197057684,179.0,530.9839342283198,2094.576544600368,7.713089200735578,89.67,488.4101126297909,2094.33,8.067643197057684,89.67,452.56629103126215,2094.126544600368,8.388901403310104,89.67,328.2381220257452,2093.833821598529,7.023455399632209,93.56,,,,,,,,,1e,8,1568281044
30000,30000,936.8,1568282031.5540686,936.8,-78.64183070302906,,609.7172041269291,96.26236349334332,627.8640812489143,0.994245707988739,624.3026067165282,126.46524018655798,674.6756895934218,0.981987237930298,641.1515034765755,66.97432570857092,681.5176242162962,0.9879749417304992,608.4181562639244,163.1599424396261,708.5808504821965,0.4240601658821106,621.2450972073017,24.03589707574997,714.4872738792267,0.6222726106643677,469.09233681515366,212.72030687295646,570.8549134885648,0.8440189957618713,470.1578214707466,-43.87938077016424,576.4885133946266,0.8979841470718384,594.909014206873,286.72535978571767,372.8168735158609,0.9416723251342772,627.2430952772527,-148.5929042804103,346.41417460239364,0.9490194320678712,744.2988165433687,312.81246810296057,205.95661813927762,0.5865426659584045,750.5649115323613,-174.41381305675046,209.43435993399453,0.8277291059494019,469.52906970483286,179.67862063813618,181.15282871896042,0.001649707555770874,396.030527116954,-44.36149029989392,156.99012250421163,0.06323578953742981,657.6277910803029,216.71759971018417,75.47264609803358,0.6076791286468506,811.737254217853,-67.8659144177012,122.5852879926072,0.7274476289749146,452.2082671167137,204.59352420354716,-393.056189750864,0.0287284255027771,421.4350060269711,-91.71438518290606,-595.3668273527849,0.010822713375091551,1559.01,2097.78,5.83,270.89,1760.79,779.15,9.35,180.37,1150.02,2096.54,8.92,89.86,929.32,2094.87,8.01,84.2,914.39,2094.45,8.09,90.06,1757.21,1691.27,8.18,179.28,1756.98,1709.89,8.25,176.58,1755.06,1825.34,6.16,179.0,531.25,2094.58,7.72,89.67,488.69,2094.33,8.04,89.67,452.86,2094.13,8.42,89.67,328.48,2093.82,7.02,93.56,,,,,,,,,1e,8,1568281044
30001,30001,936.8319595353156,1568282031.585493,936.8319595353156,-85.16801698184534,,603.508521274601,97.43625088236456,624.065320261824,0.9949951767921448,623.660697339451,126.7604396637939,675.9834734681168,0.9836394786834716,653.8881693989065,71.58313177233377,688.5398939110937,0.9459289312362672,611.7198583501645,162.6601559127098,708.394496109817,0.4990265369415283,619.9541879042188,20.55384710241189,709.5021963244127,0.33761754631996155,469.6665677816318,208.6994659001371,572.0210584045615,0.8114795684814453,470.5942696848216,-41.717302710330216,576.4984539271354,0.9124280214309692,622.1635157682123,281.4754543698962,386.42358126160883,0.944119930267334,610.0059338787535,-149.74198029404394,336.983739466082,0.9466681480407716,754.9827117135907,310.5596635339939,210.81790569605042,0.6195222735404968,754.5043547601973,-174.55500119008357,215.8360980752116,0.7999347448348999,465.8027687046431,177.02943168892688,180.74695962510512,0.0032095611095428467,391.0469436202245,-48.11768093761835,150.68005898668395,0.07209280133247375,653.1947798275462,206.3975598343636,71.53280912847814,0.5223077535629272,839.8609732210515,-65.82011887981692,137.95123259828162,0.6403340101242065,500.17922412750465,186.5244128367729,-394.6375663620034,0.01182737946510315,412.0342010206897,-106.28892494383942,-610.4274290111678,0.015425324440002441,1558.8214387416376,2097.7831959535315,5.839587860594692,270.9539190706313,1760.7868040464684,778.849580368033,9.359587860594694,180.37,1150.3044398643092,2096.54,8.910412139405306,89.86,929.5660884219304,2094.905155488847,7.994020232342177,83.79411390149134,914.6456762825252,2094.45,8.054844511152794,90.06,1757.2131959535316,1691.0079318104113,8.18,179.28,1756.9831959535315,1709.6247358568805,8.262783814126259,176.8740277249039,1755.0631959535315,1825.1418508810432,6.16,179.0,531.499284375462,2094.58,7.735979767657821,89.67,488.94887223605673,2094.333195953532,8.052783814126256,89.67,453.12526414312,2094.13,8.388040464684357,89.67,328.7037167472095,2093.8040202323427,7.026391907063128,93.56,,,,,,,,,1e,8,1568281044
30002,30002,936.8659461844916,1568282031.6189108,936.8659461844916,-78.5175280293965,,606.351687930635,97.23511547860242,625.7519411698747,0.993822991847992,631.267993193698,125.80598259140535,677.3673216429643,0.9777616262435912,647.9149097387345,73.29989955577778,686.7694721386271,0.9467604160308838,613.2774020034025,162.4173801074593,706.9394654983482,0.5079973936080933,622.1469482136918,20.456512149821478,708.9356539224843,0.4287371635437012,471.8253652924857,207.41554477913692,572.7280936453496,0.7750166654586792,471.030027686798,-39.75749440255832,575.7779670083818,0.8889411687850952,605.461389581318,281.3843077096371,375.8589957402514,0.960919976234436,593.415719870897,-148.14657546859468,338.0655959343373,0.9404314756393432,762.6479331890234,306.6498230682955,211.5661896382279,0.8760343790054321,758.5748853406172,-179.47521621831902,201.6824733672412,0.7893266677856445,464.49325332572226,175.66018902600052,179.72822069378037,0.010053634643554688,397.0341550013732,-49.888398799644406,152.7769326982119,0.0820627510547638,650.4117743040578,200.19316224563968,55.90479589374317,0.4602912962436676,835.343825398117,-67.02989554268247,132.7084202423867,0.5598347187042236,543.8220593440135,191.84223707791432,-377.7142822129776,0.007873833179473877,505.5109257858178,-90.42099519526742,-504.69497173844064,0.003947824239730835,1558.6209175114996,2097.7865946184493,5.849783855347482,271.0218923689832,1760.783405381551,778.5301058657789,9.369783855347482,180.37,1150.6069210419753,2096.54,8.900216144652518,89.86,929.8277856205854,2094.9425408029406,7.9770269077541975,83.3624834569566,914.9175694759327,2094.45,8.017459197059232,90.06,1757.216594618449,1690.7292412871689,8.18,179.28,1756.986594618449,1709.3426466687195,8.276378473796642,177.18670489732276,1755.066594618449,1824.931133656152,6.16,179.0,531.7643802390345,2094.58,7.752973092245803,89.67,489.22416409438205,2094.3365946184495,8.066378473796643,89.67,453.40735333128026,2094.13,8.354053815508394,89.67,328.94162329144126,2093.7870269077544,7.0331892368983215,93.56,,,,,,,,,1e,8,1568281044
30003,30003,936.9,1568282031.6523945,936.9,-77.77154671967182,,603.0443376826578,99.90216063844248,624.5555545379257,0.9948713779449464,639.1396531940879,127.73657536646016,682.6832693163321,0.98157799243927,651.1030167793623,74.65707829044189,687.5488171042334,0.9489940404891968,617.7962844078079,162.47513985930811,710.670857725434,0.37591394782066345,624.5133880737567,19.897726293656266,709.9652988052278,0.4006125628948212,467.94668797361015,206.05745596133633,571.7103984968717,0.7704236507415771,467.0998200064215,-42.83393034717989,573.3894156490196,0.9126718044281006,597.3589144112411,283.33708548957975,370.08273681738297,0.9736894369125366,622.2519354059633,-148.84536307856717,347.63291900991754,0.9522428512573242,762.9880172907256,299.28385420221906,212.40737969121955,0.9383735060691832,772.07687839698,-178.1970907846304,206.6112879145536,0.8011358976364136,473.2350564027397,173.61050112319302,175.52187167014966,0.05880403518676758,394.21481519640616,-51.750691297838344,147.61512103905596,0.09311485290527344,674.8975660422333,193.8314291273716,35.21891724870275,0.4960310161113739,834.4151675078833,-68.42771089424093,134.58593163731635,0.4667686223983765,563.4039922937852,178.80206857957475,-404.117078740903,0.01863172650337219,490.5469157130558,-110.07104412904638,-516.389246654622,0.002792924642562866,1558.42,2097.79,5.86,271.09,1760.78,778.21,9.38,180.37,1150.91,2096.54,8.89,89.86,930.09,2094.98,7.96,82.93,915.19,2094.45,7.98,90.06,1757.22,1690.45,8.18,179.28,1756.99,1709.06,8.29,177.5,1755.07,1824.72,6.16,179.0,532.03,2094.58,7.77,89.67,489.5,2094.34,8.08,89.67,453.69,2094.13,8.32,89.67,329.18,2093.77,7.04,93.56,,,,,,,,,1e,8,1568281044
