,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,conflict_1e_x,conflict_1e_y,conflict_1e_speed,conflict_1e_angle,W_in-P_out.11_x,W_in-P_out.11_y,W_in-P_out.11_speed,W_in-P_out.11_angle,scenario,participant_id,source_file
40112,40112,1272.266221312179,1568730312.0214882,1272.266221312179,-88.9334590985997,626.7521950170716,77.62472475099095,613.3669594290935,0.9941003322601318,637.9111255413637,106.21941585423734,659.7536145689419,0.9969858527183532,634.0149033799146,51.1927211981567,658.9369919667593,0.9923182725906372,604.1355246473663,138.96065832535,658.045199631739,0.5256752967834473,564.4167322647609,-6.239435802861973,635.4896444152259,0.6905858516693115,516.3639798648924,169.46141688484872,522.5857704621621,0.92974054813385,503.9723136527382,-33.963079633936445,528.3497230771836,0.9244903326034546,629.4831354614246,234.20204105346474,345.7214987804575,0.9726619124412536,620.6775903666138,-113.01958837143398,337.9556610581046,0.4425123333930969,818.6776322941423,285.58880871849175,225.42215698969108,0.9472805857658386,750.5676364266513,-168.77623991328184,196.77381926856566,0.26217013597488403,443.4593478087113,146.63268135875686,230.26071258882482,0.1306878924369812,424.2659841741848,-44.178263455067345,192.3275690353308,0.34821948409080505,678.6142230286163,148.53216424074444,70.08713898026896,0.6740826368331909,570.2330549162739,-42.89960924637249,-62.99104091185029,0.5061762928962708,445.15212485455686,151.72475787380492,-464.05460647774765,0.02980819344520569,449.32374745287285,-63.45224313127676,-579.1285677793708,0.03150790929794312,1506.1252483576316,2098.4666221312177,4.29,271.8667557375643,1623.8531483662116,2094.503377868782,7.869599180960831,90.57,1488.829636891083,2095.86,8.34973278730722,90.57,1761.25,929.2992942581456,5.8636450814749095,179.85,1471.836259022301,2096.03,8.343110656089351,90.57,1253.3999041037762,2096.786622131218,7.63,89.86,1153.053281972558,2096.546622131218,7.6367557375642585,89.86,1138.353281972558,2096.51,7.60364508147491,89.86,1033.0271942667257,2096.126622131218,6.422004095195844,89.4,1758.8266221312176,1562.3467180274415,7.636889343910648,179.28,1758.6266221312176,1578.146718027442,7.616622131217871,179.28,1758.156622131218,1615.6099622898776,7.42,179.28,759.9296368910832,2094.62,8.273645081474909,90.06,721.6227475471726,2094.66,8.86026721269278,90.06,300.22585820326196,2095.3368893439106,9.306622131217873,92.82,206.62043852916162,2107.0472901629496,6.723778687821299,102.2,,,,,,,,,1e,16,1568728996
40113,40113,1272.3,1568730312.0552738,1272.3,-95.27535787013872,616.5607347973864,81.45924476701272,607.6274659964064,0.9959050416946412,624.3985055955882,109.64873760306595,652.2724478511936,0.9971063733100892,638.21449998828,55.31131205779366,659.2769634419104,0.9914199709892272,598.7044464439358,139.26747055786927,651.7116339572221,0.7486454248428345,562.6620657737288,-2.3892786555991155,633.1241008940533,0.7103423476219177,523.8309810528641,164.84099327326447,522.9851537133595,0.8884955644607544,508.56189331587854,-33.57698725319977,528.4767922679407,0.9746834039688108,626.6198193077732,233.81985304937743,346.23691799000085,0.9726437330245972,619.1994407526819,-114.16347771707676,336.6611253372573,0.337784081697464,809.0122954360878,273.51153118777927,227.66831862079147,0.8053346872329712,750.8860828580765,-167.37942756855128,188.31042831729786,0.28795626759529114,442.9874474544963,145.4170046005963,232.16894167295627,0.04946696758270264,433.05557087047066,-45.42777902585128,206.0154659974409,0.3328946828842163,692.4375531000069,147.28272086499678,89.9776832460528,0.7646691799163818,518.7863362668198,-47.59185251167986,-83.91544793040215,0.5556610226631165,489.54386171110116,159.91233749129455,-442.6116678506344,0.013680964708328249,436.16380595505063,-68.3802375578097,-601.9194614518658,0.016974598169326782,1505.98,2098.47,4.29,271.86,1624.12,2094.5,7.9,90.57,1489.11,2095.86,8.37,90.57,1761.25,929.1,5.84,179.85,1472.12,2096.03,8.36,90.57,1253.66,2096.79,7.63,89.86,1153.31,2096.55,7.63,89.86,1138.61,2096.51,7.58,89.86,1033.24,2096.13,6.27,89.4,1758.83,1562.09,7.62,179.28,1758.63,1577.89,7.62,179.28,1758.16,1615.36,7.42,179.28,760.21,2094.62,8.25,90.06,721.92,2094.66,8.84,90.06,300.54,2095.32,9.31,92.82,206.84,2107.0,6.69,102.2,,,,,,,,,1e,16,1568728996
40114,40114,1272.3333018971534,1568730312.0885286,1272.3333018971534,-95.16655385531817,619.1025628612208,83.0565279997356,609.3600532730397,0.9964914321899414,632.2195473399404,111.91772358794464,656.6028125065133,0.9971624612808228,637.6110484490807,55.67104877341549,661.114187167678,0.9906957149505616,600.6525702587298,141.26604306874427,652.5609307494921,0.7319424152374268,568.5495346323494,-0.4447780640050967,636.6966548438693,0.6772694587707521,510.0328268297029,168.2898243228839,530.9001708416158,0.8669846057891846,510.0540117015413,-26.05858901372639,525.9372269594041,0.34388113021850586,628.8466594305547,234.44703677138958,346.5901949499434,0.975421667098999,621.9334102014033,-113.8453744166452,337.2517529050748,0.3113825917243957,804.4321766550603,272.26358499197886,226.69635420758755,0.8224472999572754,761.5616767656205,-164.14371195202503,193.29299720732223,0.3579031229019165,449.62326432556455,144.67404674464808,235.67743898851842,0.05855518579483032,424.6385494561227,-48.7543539270996,182.79887390121587,0.013973534107208252,673.4530396139771,145.1432514199907,69.22953456297063,0.6159799098968506,743.5410243539322,-29.43741250486542,40.003214855201065,0.7724596858024597,528.0133123772988,163.20864575424764,-412.9048411734693,0.030468761920928955,441.5255691728018,-75.11065149590405,-603.0027130666305,0.02111726999282837,1505.8368018422393,2098.4733301897154,4.296660379430732,271.8200377234156,1624.383084987514,2094.4966698102844,7.9,90.57,1489.3897359360908,2095.8566698102845,8.37,90.57,1761.25,928.9068489965088,5.833339620569268,179.85,1472.3997359360908,2096.0266698102846,8.36,90.57,1253.9130944183678,2096.79,7.639990569146098,89.86,1153.5630944183674,2096.55,7.606688671992438,89.86,1138.8597642286525,2096.51,7.576669810284634,89.86,1033.4564623314986,2096.13,6.3565849325995165,89.4,1758.8333301897153,1561.8335753919168,7.636650948576831,179.28,1758.6333301897155,1577.6369055816324,7.610009430853902,179.28,1758.1633301897157,1615.1102357713473,7.423330189715366,179.28,760.4830755566602,2094.62,8.25,90.06,722.2163868846675,2094.66,8.853320758861463,90.06,300.84970764352914,2095.303349051423,9.319990569146098,92.82,207.06312271092952,2106.950047154269,6.726632086869028,102.2,,,,,,,,,1e,16,1568728996
40115,40115,1272.3664161322515,1568730312.121596,1272.3664161322515,-92.24425900443174,619.5835382275948,85.13488750798055,608.8090784999307,0.9968655705451964,630.4001580647506,114.47919759947284,656.256326914179,0.9968060255050659,631.8322262281566,54.81464186307833,655.081464469107,0.8248230218887329,596.4285226354589,141.72938122697238,650.7313358689969,0.7135307788848877,562.5472609881717,-0.2262448320449621,635.1139537372746,0.7089463472366333,515.4496594125301,167.49597350248445,529.7542122824407,0.916114330291748,508.4288813850105,-31.992381978947034,529.4858403949934,0.9773155450820924,622.5871754569464,235.1337103435632,343.8623038369803,0.9757685661315918,621.6456369853088,-114.2843108029635,339.875184632838,0.24613940715789795,806.2884682750905,274.8611331266392,229.52051195956108,0.8242532014846802,748.9763971094458,-172.4999670496406,187.2601870988081,0.5265578031539917,448.9959820085543,147.7253611112874,235.34326995355727,0.17618075013160706,418.8723162760386,-52.964257514593704,167.56114386691485,0.07340773940086365,669.2336727940879,142.60978328267137,57.49662240721693,0.34384721517562866,643.4763255151261,-43.145744214271076,-35.92973276548247,0.6409909725189209,545.6907191649432,165.07620097665742,-401.04963120930876,0.016110688447952267,480.36846233790635,-74.36652759565622,-562.3737963235768,0.01058468222618103,1505.6944106313174,2098.476641613225,4.303283226450339,271.78030064129797,1624.6446874447886,2094.4933583867746,7.9,90.57,1489.667895510914,2095.8533583867747,8.37,90.57,1761.25,928.7147864329402,5.826716773549662,179.85,1472.677895510914,2096.023358386775,8.36,90.57,1254.164762605113,2096.79,7.649924839675509,89.86,1153.8147626051132,2096.55,7.583508707423811,89.86,1139.1081209918875,2096.51,7.573358386774831,89.86,1033.6717048596358,2096.13,6.442681943854415,89.4,1758.836641613225,1561.5785957816618,7.653208066125848,179.28,1758.636641613225,1577.385237394887,7.600075160324491,179.28,1758.166641613225,1614.8618790081118,7.426641613225169,179.28,760.7546122844639,2094.62,8.25,90.06,722.5111035770401,2094.66,8.86656645290068,90.06,301.1576700299408,2095.2867919338737,9.32992483967551,92.82,207.2849880860864,2106.9003758016224,6.763057745476867,102.2,,,,,,,,,1e,16,1568728996
40116,40116,1272.3664161322515,1568730312.121596,1272.3664161322515,,617.2364337165552,84.40752578724332,609.3812568828145,0.9967684745788574,629.9873662184633,114.62726772900862,656.8635027459391,0.9964333772659302,633.1643649667184,56.70619836536628,660.6059861185621,0.9862768650054932,606.7198235359075,139.64933332326612,652.8087735133984,0.7677035927772522,565.9367701872842,6.595218534080732,635.5229662533977,0.8177207708358765,514.4347515786445,171.17840694838748,532.8390519202196,0.8643242120742798,506.34380320315927,-26.526534794859906,526.0586650099266,0.3453981578350067,616.9607062223507,235.8668286487767,338.39072879521217,0.9723104238510132,620.9175019628101,-114.422851681356,338.2593425804152,0.33981218934059143,806.2893740399327,277.7602747185018,230.41233530503243,0.8106613755226135,739.4494739728481,-168.01877579530972,177.32592198070503,0.3822562992572784,442.8901868865709,149.46835582394453,230.34418417389526,0.18960177898406985,418.9049694341672,-52.1135559612922,163.79943903367263,0.029504299163818363,679.1549330224051,142.50299848745198,61.48752167350021,0.1504567265510559,705.0213137155704,-38.85959557159246,6.556871278372114,0.7827992439270021,569.608849595292,164.96719689959392,-419.0361505942742,0.003646910190582275,598.3233304265764,-61.88812524587404,-436.2256367318985,0.008227348327636719,1505.6944106313174,2098.476641613225,4.303283226450339,271.78030064129797,1624.6446874447886,2094.4933583867746,7.9,90.57,1489.667895510914,2095.8533583867747,8.37,90.57,1761.25,928.7147864329402,5.826716773549662,179.85,1472.677895510914,2096.023358386775,8.36,90.57,1254.164762605113,2096.79,7.649924839675509,89.86,1153.8147626051132,2096.55,7.583508707423811,89.86,1139.1081209918875,2096.51,7.573358386774831,89.86,1033.6717048596358,2096.13,6.442681943854415,89.4,1758.836641613225,1561.5785957816618,7.653208066125848,179.28,1758.636641613225,1577.385237394887,7.600075160324491,179.28,1758.166641613225,1614.8618790081118,7.426641613225169,179.28,760.7546122844639,2094.62,8.25,90.06,722.5111035770401,2094.66,8.86656645290068,90.06,301.1576700299408,2095.2867919338737,9.32992483967551,92.82,207.2849880860864,2106.9003758016224,6.763057745476867,102.2,,,,,,,,,1e,16,1568728996
40117,40117,1272.4,1568730312.1551325,1272.4,-88.67335626689774,616.3052016034724,86.40059299448984,606.7361002069744,0.9969173073768616,626.8658517448844,115.21926567704635,654.6786264559894,0.9969246387481692,633.7059722575648,57.06286561686677,660.0236438776165,0.9913375973701476,597.6664880212784,141.0887017242436,650.4323453819648,0.7102060317993164,551.3605243021317,-0.0453738181754435,630.148122967883,0.7351529598236084,514.9594064452706,173.55107337167095,519.5225002319372,0.874639630317688,509.09335996257437,-33.68017093483702,527.5442469176246,0.9735122323036194,622.1649545786415,234.3758899556729,342.4473905730036,0.977763295173645,623.8283775979828,-115.02605436483644,342.06357412506975,0.20895206928253174,806.1475737498804,276.586110152923,230.81464061602333,0.8361393213272095,749.4191181440942,-174.24120376212528,188.7041575295824,0.5558439493179321,439.9936872246918,151.92833968723068,229.562226865311,0.19622603058815,427.9747701375441,-54.14001015860352,169.36588092650243,0.06624618172645569,676.1785824207616,143.75792759407662,54.70154617050062,0.2309805750846863,637.9391536777442,-39.64287895307819,-40.1021382058781,0.32631176710128784,589.2212709101766,164.66432292041745,-418.89958268756857,0.007468283176422119,698.777787519751,-55.83494297208874,-329.5141902277467,0.015701949596405033,1505.55,2098.48,4.31,271.74,1624.91,2094.49,7.9,90.57,1489.95,2095.85,8.37,90.57,1761.25,928.52,5.82,179.85,1472.96,2096.02,8.36,90.57,1254.42,2096.79,7.66,89.86,1154.07,2096.55,7.56,89.86,1139.36,2096.51,7.57,89.86,1033.89,2096.13,6.53,89.4,1758.84,1561.32,7.67,179.28,1758.64,1577.13,7.59,179.28,1758.17,1614.61,7.43,179.28,761.03,2094.62,8.25,90.06,722.81,2094.66,8.88,90.06,301.47,2095.27,9.34,92.82,207.51,2106.85,6.8,102.2,,,,,,,,,1e,16,1568728996
40118,40118,1272.433317565889,1568730312.1883829,1272.433317565889,-92.39341028128928,615.7218996924016,85.34483809654938,607.6600039377796,0.997024416923523,626.1071789909528,114.1417673510346,655.7173966934301,0.996918559074402,644.0691604622409,55.99478574454588,664.4365276570518,0.992151141166687,598.9349915953318,141.27810770674475,651.6338727339372,0.6905739307403564,563.9874559269429,1.2056077258458249,636.6479752994774,0.8771588802337646,502.386440292356,168.33767962127123,523.4175273274282,0.9096893072128296,505.83111085768996,-36.77233039635284,524.106924482107,0.9678400754928588,626.6190235991437,234.59669223590998,344.96664833866134,0.9796547889709472,622.3398160895906,-116.67609167056908,340.6169058867261,0.6739950180053711,803.9889239058963,277.1514567242244,227.22470410327892,0.8419421315193176,759.2506921613854,-174.93627079072772,192.51993550004468,0.6204793453216553,438.52570496184745,150.08507639672285,230.238563118294,0.05053439736366272,431.89261388701135,-54.90364175428856,171.87669452745152,0.07525917887687683,660.06154352383,145.19193441225912,37.528530843019574,0.12327256798744204,587.1835312731366,-41.31644934956579,-75.51824861880183,0.3345460891723633,596.4748424340518,163.8822805521548,-424.0778040875274,0.006565719842910768,786.9638242118452,-41.89971081974958,-232.9036955300009,0.008798271417617798,1505.4067344666778,2098.483331756589,4.30666824341111,271.68336013798887,1625.1698770139335,2094.49,7.873345947288884,90.57,1490.2298675534664,2095.846668243411,8.37,90.57,1761.25,928.3234263612557,5.8533175658888945,179.85,1473.2365357968781,2096.016668243411,8.366663513177777,90.57,1254.6732135007558,2096.79,7.646672973644443,89.86,1154.3232135007554,2096.55,7.563331756588888,89.86,1139.6165452573446,2096.51,7.596654052711116,89.86,1034.1165594480444,2096.133331756589,6.616625671311128,89.4,1758.8433317565891,1561.0667864992445,7.633350677522214,179.28,1758.643331756589,1576.8734547426557,7.616654052711116,179.28,1758.173331756589,1614.3667817690111,7.413341217055553,179.28,761.3098675534668,2094.62,8.286649322477784,90.06,723.1031945798222,2094.66,8.863341217055552,90.06,301.77985336276674,2095.2566729736445,9.323341217055553,92.82,207.7265641782778,2106.803355407756,6.776677703877772,102.2,,,,,,,,,1e,16,1568728996
40119,40119,1272.4696947327182,1568730312.2246866,1272.4696947327182,-92.24425900443174,622.902430524813,85.36297966552749,610.0376455059743,0.9969329833984376,622.228448553793,113.98713295015995,655.0896583570467,0.9964239597320556,629.6038294878832,55.07049613662684,659.4074793337212,0.9918217658996582,600.6956669767399,139.8035451117214,652.4064359694478,0.6803512573242188,565.7556484792544,0.060045888876826485,636.5460008525345,0.8870195150375366,508.72671745751353,166.5006881373511,528.8615498463942,0.9000910520553589,512.4201604225939,-39.78159900224517,527.6525164383618,0.4071555137634277,633.1493311332906,235.2635109303177,348.03995828988707,0.9407455921173096,634.2545700335583,-116.13801628711123,332.4398941702272,0.5390012264251709,803.2263454248657,279.7712630719837,227.84278980090474,0.846378743648529,758.9091356696778,-175.02508198174075,189.21376530032163,0.6474398970603943,432.82809823141474,149.53295850517537,220.99013571675587,0.3040913343429565,440.42043189801313,-51.48321616466366,176.06333734491923,0.08832043409347534,652.5949448667337,147.8380268902899,32.48529839504613,0.10773104429244997,593.7410284141532,-42.45520765294519,-64.77723759381725,0.36022746562957764,582.3642963460983,162.12563905832874,-445.3196550510599,0.006041646003723145,826.4064186638764,-51.19786936542626,-190.16290749233602,0.011525452136993408,1505.250312649313,2098.4869694732715,4.30303052672821,271.62151895437955,1625.4536189151995,2094.49,7.844244213825681,90.57,1490.5354357548306,2095.8430305267284,8.37,90.57,1761.25,928.1088010769644,5.8896947327178975,179.85,1473.5384662815586,2096.0130305267285,8.37393894654358,90.57,1254.949679968656,2096.79,7.63212210691284,89.86,1154.5996799686561,2096.55,7.566969473271789,89.86,1139.8966494419278,2096.51,7.625755786174318,89.86,1034.3639241824817,2096.136969473272,6.711206305066536,89.4,1758.8469694732714,1560.790320031344,7.593335794010311,179.28,1758.6469694732718,1576.5933505580722,7.645755786174319,179.28,1758.1769694732718,1614.1012284511594,7.39515263364105,179.28,761.6154357548303,2094.62,8.326664205989687,90.06,723.4233136479177,2094.66,8.845152633641051,90.06,302.11816101427644,2095.242122106913,9.30515263364105,92.82,207.96301576266637,2106.752427374195,6.751213687097472,102.2,,,,,,,,,1e,16,1568728996
40120,40120,1272.5,1568730312.2549307,1272.5,-93.31193137111653,623.773335111507,80.81955466812433,609.2360366234207,0.9956817626953124,622.7687066023175,109.80653929625132,653.3833854313527,0.996369481086731,628.9906517617287,52.161821874305886,658.4308250018562,0.9906341433525084,599.7046696867011,138.24026342206076,651.6123434605126,0.6285961866378784,555.7905425036162,-5.136022249345396,631.0100221208082,0.7046219110488892,509.57123877678544,163.29223917800854,528.9286638000881,0.8929803371429443,515.9375783100844,-41.294037706043724,527.0841411544991,0.966423273086548,633.9224355747574,234.93337912326803,347.8241224543776,0.9461835622787476,637.0607025164186,-114.2910747016118,331.6065034617623,0.9684253334999084,813.7873826318378,286.33297349657835,224.88431414964526,0.9472947120666504,761.1598171932475,-171.84212625625855,183.89120029495442,0.2818165719509125,429.2225761478277,151.38485648965724,213.98745928137672,0.12279179692268373,442.45202676890335,-47.187880782495355,173.2477032400138,0.13852474093437195,650.1691552149158,149.802095587901,28.93736902052189,0.11123424768447876,599.8936113840596,-43.93092318877193,-60.070984247465674,0.3942543864250183,578.9723724865553,163.25488722637925,-452.6350983060309,0.006620347499847412,858.2443759020005,-42.1994900432609,-156.9560486348364,0.0076411962509155265,1505.12,2098.49,4.3,271.57,1625.69,2094.49,7.82,90.57,1490.79,2095.84,8.37,90.57,1761.25,927.93,5.92,179.85,1473.79,2096.01,8.38,90.57,1255.18,2096.79,7.62,89.86,1154.83,2096.55,7.57,89.86,1140.13,2096.51,7.65,89.86,1034.57,2096.14,6.79,89.4,1758.85,1560.56,7.56,179.28,1758.65,1576.36,7.67,179.28,1758.18,1613.88,7.38,179.28,761.87,2094.62,8.36,90.06,723.69,2094.66,8.83,90.06,302.4,2095.23,9.29,92.82,208.16,2106.71,6.73,102.2,,,,,,,,,1e,16,1568728996
40121,40121,1272.5,1568730312.2549307,1272.5,,615.7747066585947,79.73053954505842,608.6078268038144,0.996187686920166,633.1277426284088,108.93578848117457,659.945829071471,0.9953518509864808,643.4196964224483,53.80186802387867,665.0065555115821,0.9893641471862792,602.9949163915132,136.16850210180746,651.7386490634266,0.7113191485404968,578.8894066444557,1.2233371627118066,641.7118572513663,0.801992654800415,517.9375103825738,165.5496750945426,524.3547718190913,0.93049156665802,514.162288081392,-32.75299460000848,531.3728030533265,0.9569435119628906,627.4384818111081,234.02603066344227,345.3113681612333,0.9763234853744508,629.4916660438444,-118.74460096767956,332.37748093119,0.2959430515766144,812.0552824129852,287.14141142853805,219.40262459383902,0.9510061740875244,771.4217276816503,-171.0373670677593,195.94240112090856,0.5677987337112427,428.02934711941145,154.1982754650155,209.4035598610207,0.4004887044429779,433.72267022871904,-46.726417121205074,164.7684486339316,0.12214013934135436,632.954409649416,150.70898318071067,14.019191285569008,0.10913905501365664,612.2899729943451,-45.4316726047038,-51.15964180308506,0.4158833026885986,576.0679824591299,161.20964040325882,-457.5786774123017,0.006654560565948486,1558.707190292806,30.641112803380608,600.7155304461975,0.011001884937286377,1505.12,2098.49,4.3,271.57,1625.69,2094.49,7.82,90.57,1490.79,2095.84,8.37,90.57,1761.25,927.93,5.92,179.85,1473.79,2096.01,8.38,90.57,1255.18,2096.79,7.62,89.86,1154.83,2096.55,7.57,89.86,1140.13,2096.51,7.65,89.86,1034.57,2096.14,6.79,89.4,1758.85,1560.56,7.56,179.28,1758.65,1576.36,7.67,179.28,1758.18,1613.88,7.38,179.28,761.87,2094.62,8.36,90.06,723.69,2094.66,8.83,90.06,302.4,2095.23,9.29,92.82,208.16,2106.71,6.73,102.2,,,,,,,,,1e,16,1568728996
