,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,conflict_1e_x,conflict_1e_y,conflict_1e_speed,conflict_1e_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,scenario,participant_id,source_file
31355,31355,1265.9,1568224581.3692505,1265.9,-96.84036174303331,,562.1379188725904,129.04072623475022,628.7321384342856,0.9980286359786988,574.2565943514472,155.4823846839852,665.5129791295223,0.9790807366371156,586.3066747872316,98.56250784082144,665.9453575654627,0.9958356618881226,572.5899169218486,189.7780075213916,691.5537565024979,0.7001885175704956,572.3753051505828,44.96598344543673,695.642466246743,0.9309960603713988,402.2922488580632,252.49399260588527,535.6456424983106,0.9236387014389038,425.40935330258674,-43.9767850887856,538.5971398807861,0.8618655204772949,549.6246956850923,293.71835809731675,339.97793869800813,0.9268934726715088,521.7572729929366,-117.5048544746392,353.4239381980394,0.4694012105464935,730.7003909171942,322.78029464351954,158.05084349577248,0.6305752992630005,729.9996721263425,-167.39128664513774,177.09858438824978,0.8786704540252686,429.9849156518294,168.5050556687551,120.91050127060929,0.2762766480445862,377.44348426779845,-31.205856466804644,102.64046894316532,0.40746036171913147,694.8639353423919,152.1847694435177,7.491639872937071,0.1923520565032959,628.5868042885379,-63.53940183161696,-148.57549779420884,0.08890658617019652,462.37912744082763,166.83392746383237,-548.4446824322882,0.00969645380973816,339.3487442526952,-133.2547601434305,-674.3073438772462,0.012963801622390749,1498.53,2099.16,5.32,270.3,1376.1,2096.95,8.44,90.22,1761.3,907.84,6.71,179.85,1052.04,2096.26,8.58,89.64,997.56,2095.76,9.39,89.4,831.44,2094.54,8.17,90.06,1759.88,1452.77,10.16,179.85,1757.53,1666.06,7.34,179.28,1757.33,1681.51,7.31,179.28,752.78,2094.63,8.82,90.06,304.08,2095.15,9.02,92.82,220.98,2103.94,6.99,102.2,207.35,2106.89,6.92,102.2,,,,,,,,,,,,,,,,,1e,7,1568223547
31356,31356,1265.931840136861,1568224581.4019096,1265.931840136861,-96.96999433803936,,557.7780093746234,127.02817727442932,625.0401589125053,0.9983642101287842,578.465368624026,155.6831271491095,666.4687797643869,0.9864615201950072,590.9294033769156,97.49911088626727,669.6983656879872,0.99592387676239,569.0104654639247,186.41245008508525,689.3649512245262,0.680632472038269,577.109737331536,42.37741679746839,701.2558615741202,0.933463990688324,418.92946332979795,253.50673843627584,542.2711184355522,0.9423549175262452,417.41757997881797,-41.59645770060595,536.4039680487547,0.951889991760254,538.324447077132,291.0630154285042,344.8181923304178,0.9129598140716552,507.26582593172134,-114.40357512493941,356.34146993216285,0.7847973108291626,727.6364859431035,326.5736805928407,152.5173542270549,0.6961377859115601,706.4617635657833,-165.88764792037662,185.6878878214955,0.3060504198074341,454.63234693834437,170.31639086382057,101.82172223506808,0.1675247848033905,384.7456067767595,-35.08294964172931,101.76344792247679,0.5976082682609558,558.4145126268796,163.92531328827118,-223.13848589442344,0.039073646068573,675.9910053395395,-48.68502309959182,-100.312211554927,0.04785209894180298,470.45821065171066,154.26193348919887,-533.8278246488499,0.003919005393981935,365.85227770934813,-111.08418597063982,-638.5852221671709,0.002582073211669922,1498.3612472746372,2099.16,5.32,270.26497584945304,1376.3674571496313,2096.95,8.44318401368609,90.22,1761.303184013686,907.6266710830321,6.719552041058267,179.85,1052.3138251770038,2096.2631840136864,8.58636802737218,89.64,997.8592972864923,2095.7631840136864,9.399552041058268,89.4,831.7010891222594,2094.54,8.17,90.06,1759.8831840136859,1452.445230604019,10.16,179.85,1757.533184013686,1665.8275670009155,7.34,179.28,1757.333184013686,1681.2743829872293,7.319552041058268,179.28,753.0601932043759,2094.63,8.81681598631391,90.06,304.36656123174805,2095.1340799315694,9.02636802737218,92.82,221.193328916968,2103.8954238083948,6.970895917883464,102.2,207.56969694434017,2106.8422397947083,6.961392177919162,102.2,,,,,,,,,,,,,,,,,1e,7,1568223547
31357,31357,1265.9642827589735,1568224581.4351866,1265.9642827589735,-91.50309038653047,,563.4358511757204,125.61865339873093,629.9938069127494,0.9988518953323364,581.2085376909283,152.84469797533626,670.2378175285658,0.9889020919799804,591.1176346693394,94.28899464940594,670.2420190508271,0.9955881834030152,571.7263629279169,182.94514871704845,689.6510313185678,0.7518078088760376,566.7373583722333,42.37419836975074,694.781939149398,0.9156424403190612,414.3986602560742,248.8588627196328,533.728488319569,0.95335853099823,419.41589534412316,-37.520461482687004,530.5373687564608,0.6259418725967407,549.4573960858595,293.71561631009536,348.8537820912142,0.9044145941734314,521.9379967492688,-117.1745567523093,359.51343746225996,0.68715900182724,725.4324923570617,330.2553609570952,154.98144102749367,0.75357985496521,704.1595787867482,-168.7817957021333,176.6967358425415,0.7114921808242798,452.03036957240164,168.04797974239585,91.76844014356115,0.5626282691955566,401.63950037510216,-39.06374045786335,78.98084580433469,0.332619309425354,580.7079114657511,163.20789349527809,-204.65723152588959,0.06131651997566224,449.4840481184896,-95.06352086530052,-366.7596494187494,0.0415211021900177,483.8613835962642,173.34074844883583,-520.3660822344921,0.006796061992645264,398.42529341650436,-93.30616847028489,-602.5372541174357,0.011637866497039795,1498.1893013774409,2099.16,5.32,270.22928896512923,1376.639975175377,2096.95,8.446428275897343,90.22,1761.3064282758976,907.4093055148779,6.72928482769203,179.85,1052.5928317271716,2096.2664282758974,8.592856551794688,89.64,998.1642579343504,2095.7664282758974,9.40928482769203,89.4,831.9671186235823,2094.54,8.17,90.06,1759.8864282758975,1452.1143158584712,10.16,179.85,1757.5364282758976,1665.590735859494,7.34,179.28,1757.336428275897,1681.0343075835965,7.329284827692031,179.28,753.3456882789662,2094.63,8.813571724102658,90.06,304.65854483076095,2095.1178586205133,9.032856551794687,92.82,221.410694485122,2103.8500041374373,6.951430344615939,102.2,207.79355103691668,2106.7935758615395,7.003567586665466,102.2,,,,,,,,,,,,,,,,,1e,7,1568223547
31358,31358,1266.0,1568224581.4718225,1266.0,-93.92966494038328,,557.3920151942457,124.62269066768593,626.2092502199953,0.9983295202255248,570.5535576884541,154.22051885581547,667.1421491364063,0.9876922369003296,581.4914721462269,92.03483304907152,668.8831425727226,0.994117558002472,564.28020811131,184.15615479306652,691.4704261797078,0.6484876871109009,559.1075049394643,34.118773027395285,695.9978699852652,0.9077540636062622,411.5554378213791,245.67042860602703,538.6090649222965,0.9673954248428344,414.46270016657013,-47.185938248319566,541.4158035369602,0.9507485628128052,552.4705924687454,288.9599431899565,356.0870341178348,0.9048993587493896,524.3494343980684,-114.42482710314016,371.5738034190885,0.8185125589370728,726.7686464960268,334.3182609263933,159.28704174874392,0.6450004577636719,707.0094791885622,-170.6471964296219,178.07085541608953,0.7394757270812988,453.2047947928589,166.4031097638811,64.09593990769113,0.5054463148117065,413.0119128679302,-45.96750393527746,78.6659372706554,0.3537476062774658,526.9636762689852,173.51766038810794,-373.72081544307184,0.008765429258346558,330.75058987368703,-141.67729024773826,-550.0106676210282,0.016542702913284302,473.86557175875237,161.62712348818346,-527.87567582501,0.004272758960723877,350.95515879076555,-129.29198407368722,-650.652732144095,0.002448171377182007,1498.0,2099.16,5.32,270.19,1376.94,2096.95,8.45,90.22,1761.31,907.17,6.74,179.85,1052.9,2096.27,8.6,89.64,998.5,2095.77,9.42,89.4,832.26,2094.54,8.17,90.06,1759.89,1451.75,10.16,179.85,1757.54,1665.33,7.34,179.28,1757.34,1680.77,7.34,179.28,753.66,2094.63,8.81,90.06,304.98,2095.1,9.04,92.82,221.65,2103.8,6.93,102.2,208.04,2106.74,7.05,102.2,,,,,,,,,,,,,,,,,1e,7,1568223547
31359,31359,1266.0310613487434,1568224581.5019634,1266.0310613487434,-97.18199042623331,,556.6623620340573,122.10776548072865,626.8565293558789,0.9980461597442628,569.9675962672744,149.92408142848328,666.8446308872877,0.9916753768920898,585.9958999951635,89.81664248897516,671.2344052126417,0.9948279857635498,569.3436116965181,181.49568007462986,693.5310794844096,0.7398468255996704,553.1106166737023,30.65273906892085,689.950601866732,0.9499193429946899,418.39773696013367,245.3315286755928,534.5325238789998,0.9409174919128418,425.2286086615102,-48.9731624338039,539.7644569348181,0.9261128306388856,542.761695829063,290.57418757915764,363.9011640112428,0.8370698690414429,520.9235478665704,-112.92328381112249,381.2922183369528,0.7376002073287964,732.1588312300049,335.3257600408458,158.1638403978086,0.5796505212783813,713.2681588108659,-167.7581897278169,182.87642428021243,0.657826840877533,395.2974004270956,167.2318110570215,86.48826692455856,0.4717225134372711,397.7208147983548,-45.793509144042815,99.3086631176232,0.5005131363868713,674.8761664519606,167.41435409069075,-128.7460132650071,0.13457217812538147,334.9180503891159,-129.25528629870055,-485.9978554591047,0.060207098722457886,436.6932088783337,148.31544892755002,-568.1246439744928,0.005304098129272461,385.5313131528808,-80.28274759408599,-617.0279305515603,0.003117024898529053,1497.8353748516586,2099.16,5.313787730251273,270.1527263815076,1377.2009153294464,2096.95,8.434469325628182,90.22,1761.31,906.9618889634177,6.733787730251273,179.85,1053.1702337340696,2096.27,8.615530674371817,89.64,998.7950828130644,2095.7731061348745,9.429318404623091,89.4,832.5115969248235,2094.54,8.15136319075382,90.06,1759.89,1451.4362803776896,10.147575460502548,179.85,1757.5431061348745,1665.103252154171,7.31204478613073,179.28,1757.3431061348742,1680.5432521541711,7.34931840462309,179.28,753.9364460038182,2094.63,8.816212269748727,90.06,305.26265827356707,2095.0875754605026,9.046212269748727,92.82,221.86121717145676,2103.7534079768852,6.942424539497454,102.2,208.25121717145672,2106.6934079768844,7.03136319075382,102.2,,,,,,,,,,,,,,,,,1e,7,1568223547
31360,31360,1266.0659634742913,1568224581.5358312,1266.0659634742913,-95.09861825327879,,561.0697913805543,121.50962322665647,630.7374557799994,0.9983205795288086,565.1626334846571,147.01656046340813,668.3355214395158,0.9939032793045044,589.3648047366456,86.71147128976105,673.7483446995128,0.9954770803451538,561.7028891893134,177.97494523969957,688.5630035525653,0.7206596136093141,546.1100335199636,25.094693964661055,684.0283873652355,0.9435347318649292,416.4462766584453,241.28978013825508,539.8809595698775,0.9626373052597046,425.14286346279874,-49.88149774616335,541.8868947301281,0.85248202085495,541.0189719741874,285.03175172722666,370.3389102636342,0.7403060793876648,526.1683727507127,-115.43469071734556,370.1861690011448,0.6658092737197876,722.4389322962402,333.72377564063487,162.10106769093832,0.19932764768600464,709.8238080679973,-167.97691411947596,176.65499538262625,0.659386396408081,418.5834745671997,188.89539167754089,71.5296314115122,0.0240287184715271,383.3379436430152,-37.08460933779135,115.39271720927442,0.4290569424629211,592.7495099583352,158.7690278580456,-218.31837010252806,0.037778615951538086,592.2599897790899,-63.04486584937666,-154.59302815209668,0.17925885319709778,390.265957940154,139.84225912156307,-617.506401677389,0.005971461534500122,406.9075836589569,-87.34185875985035,-596.9924978481074,0.005280256271362305,1497.650393586256,2099.16,5.306807305141735,270.1108438308504,1377.4940931840472,2096.95,8.417018262854338,90.22,1761.31,906.7280447222479,6.726807305141735,179.85,1053.4738822263346,2096.27,8.632981737145663,89.64,999.1266530057677,2095.7765963474294,9.439789042287398,89.4,832.7943041417598,2094.54,8.130421915425204,90.06,1759.89,1451.0837689096577,10.13361461028347,179.85,1757.5465963474292,1664.8484666376733,7.280632873137808,179.28,1757.3465963474289,1680.2884666376733,7.359789042287398,179.28,754.2470749211927,2094.63,8.823192694858266,90.06,305.58026761605106,2095.073614610284,9.053192694858264,92.82,222.09855162518105,2103.701054788563,6.95638538971653,102.2,208.488551625181,2106.641054788563,7.010421915425205,102.2,,,,,,,,,,,,,,,,,1e,7,1568223547
31361,31361,1266.1,1568224581.568859,1266.1,-95.19967599197227,,558.8576397550379,114.1920188729971,632.1200029779842,0.9975957274436952,575.2968751146127,139.33259402950728,672.9311911600281,0.9964666962623596,593.0380585732825,81.81529917904389,675.4942160251527,0.994217813014984,555.7830830144685,173.79416786325962,689.9449100696353,0.7222114205360413,545.8661970830682,23.03831914836018,682.8644958274248,0.930510401725769,418.3902158886706,230.3710628671627,536.0021795839988,0.3976897895336151,415.23304840018096,-53.08896912370032,541.5359019437325,0.9768641591072084,548.8619006083582,282.3241656547125,363.46151614365164,0.6987570524215698,520.5204251863065,-116.5494761034659,372.32314361626777,0.8011555671691895,719.8023869581177,330.45348800202413,161.53459664516805,0.15660351514816284,706.5235556697597,-164.7768003117678,180.8543415162289,0.845839262008667,413.283463918546,195.946431481301,66.11654083953839,0.04796984791755676,388.9289030279205,-36.473552726939616,129.8151703126,0.3328071236610413,585.1129999986367,167.32704903919011,-212.34252594037812,0.06669649481773376,610.2528269740046,-41.513157873579146,-64.04721815674111,0.08500510454177856,396.62525416272,139.4020131847792,-610.4531214426138,0.008489549160003662,421.71373634585007,-90.9631313318385,-577.698938072753,0.01009446382522583,1497.47,2099.16,5.3,270.07,1377.78,2096.95,8.4,90.22,1761.31,906.5,6.72,179.85,1053.77,2096.27,8.65,89.64,999.45,2095.78,9.45,89.4,833.07,2094.54,8.11,90.06,1759.89,1450.74,10.12,179.85,1757.55,1664.6,7.25,179.28,1757.35,1680.04,7.37,179.28,754.55,2094.63,8.83,90.06,305.89,2095.06,9.06,92.82,222.33,2103.65,6.97,102.2,208.72,2106.59,6.99,102.2,,,,,,,,,,,,,,,,,1e,7,1568223547
31362,31362,1266.1343575119533,1568224581.6032429,1266.1343575119533,-94.88347713654066,,560.9243625414987,109.90979451084642,636.5605276860101,0.9975121021270752,574.6346895180485,134.85788030420514,676.1663763390329,0.9954946041107178,592.9234232160693,78.55906081244288,676.4522980775782,0.9930640459060668,565.0543999943466,171.55150199369206,697.2286282216437,0.5546920895576477,550.2159986569636,14.530638995719135,681.711380438536,0.7945483922958374,419.1666810156794,242.6945592000356,545.0499352732008,0.9515109658241272,422.07492180474713,-47.68788452344496,534.3531916089645,0.5780397653579712,549.9245289268332,285.2106463989215,352.16706897085805,0.9071277379989624,532.896464989342,-116.14977149711528,360.99588074104537,0.4188298285007477,726.16711132308,332.97951960243665,158.87536246002657,0.5454597473144531,706.6165145262073,-170.36460383510482,180.4969073927211,0.6629343032836914,413.4050190129757,177.87883373298487,75.34186605196379,0.06831854581832886,401.710957568448,-33.01386543933583,139.16439966329074,0.2448960244655609,684.5009521600214,168.26113143282004,-68.33987562149744,0.15265217423439026,656.1499426958952,-39.91951379892596,-12.5076049010884,0.12257203459739685,395.70722471963484,163.1748873623043,-611.402125945203,0.0062999427318573,322.6831838446675,-132.19981268739394,-681.4270410635853,0.012997984886169434,1497.2879051866462,2099.1565642488044,5.3,270.0493854928278,1378.0686031004102,2096.9465642488044,8.382821244023193,90.22,1761.31,906.2663689187153,6.733743004781443,179.85,1054.065474602801,2096.2734357511954,8.636256995218558,89.64,999.7695248611686,2095.78,9.419078239241747,89.4,833.3482958468242,2094.54,8.11,90.06,1759.89,1450.3929891292685,10.137178755976805,179.85,1757.55,1664.3491901627388,7.260307253586084,179.28,1757.3534357511953,1679.7891901627386,7.3322067368510275,179.28,754.8523461051918,2094.63,8.823128497609279,90.06,306.1992176075825,2095.0428212440233,9.053128497609276,92.82,222.56363108128457,2103.612206736851,6.949385492827831,102.04882694740412,208.95363108128456,2106.5418994832653,6.976256995218557,102.2,,,,,,,,,,,,,,,,,1e,7,1568223547
31363,31363,1266.1666009133987,1568224581.635511,1266.1666009133987,-95.3099728761265,,559.5690663347243,113.5537935716958,630.8864213832746,0.9979498386383056,567.7227551236057,135.90401121104387,673.3077638001637,0.9945855140686036,587.7495354458,80.01145623685758,674.2301902755073,0.9940800666809082,571.4999006906322,168.65118390906218,697.2958360668273,0.584240198135376,564.8541614652341,16.104262266347888,685.6816296230837,0.7840555906295776,421.3923128592705,229.23523623116725,541.2973018332303,0.5159810781478882,414.51997956215325,-52.22224261027395,530.7870627933163,0.7503663897514343,549.3007634209159,284.207045445918,344.78084405328264,0.7188305258750916,539.3452984932583,-112.56271968259013,378.69520443062777,0.6294081211090088,723.5903203921712,325.4032935469433,160.79936643986045,0.30429720878601074,708.2520614793439,-171.01720034902755,184.94218883457455,0.7418581247329712,417.28899423489634,190.85948259939656,62.08550428354693,0.04541286826133728,404.09071601460107,-35.517041915370854,145.85016718726303,0.038103431463241584,626.0524843624572,171.8406440632687,-129.85416981566343,0.03981596231460571,663.8440998125002,-32.582310869926125,21.004583269594747,0.18960416316986084,378.6172084023408,153.38153935129668,-629.4552463834324,0.003352463245391845,351.915666505803,-118.7411463592635,-649.9420151187502,0.0032719075679779053,1497.1170151589868,2099.15333990866,5.3,270.0300394519608,1378.339447672549,2096.94333990866,8.366699543300639,90.22,1761.31,906.0471137888887,6.7466403653594895,179.85,1054.342767855229,2096.2766600913396,8.62335963464051,89.64,1000.069388494608,2095.78,9.390059177941149,89.4,833.6094673985298,2094.54,8.11,90.06,1759.89,1450.0673307746729,10.153300456699363,179.85,1757.55,1664.1138133321892,7.269980274019617,179.28,1757.3566600913398,1679.5538133321893,7.296738995261403,179.28,755.1360880379087,2094.63,8.816679817320257,90.06,306.4894082205885,2095.0266995433008,9.046679817320257,92.82,222.7828862111113,2103.5767389952616,6.9300394519607655,101.90695598104558,209.1728862111113,2106.4967587212423,6.96335963464051,102.2,,,,,,,,,,,,,,,,,1e,7,1568223547
31364,31364,1266.2,1568224581.6689355,1266.2,-96.16758670724195,,561.2624545720282,106.43676606543148,635.9447829451668,0.9972341060638428,571.2889327646424,127.9058484880938,673.6503185894518,0.9913910627365112,584.6735867124195,73.74616764692632,671.3043195462091,0.9897337555885316,566.1831906851772,166.1858498218534,697.6423759529363,0.5305045247077942,592.7449110781855,17.145239611321326,698.7480560431359,0.9443531036376952,426.68524184797343,242.80653396489475,540.6616350618988,0.9698911309242249,414.24214107107554,-52.29867098418172,540.6679728019416,0.8286055922508241,545.2406095015832,284.2532759062829,360.81614971244005,0.9159268140792848,511.0965133787277,-116.51868541471771,362.0276267665194,0.6653300523757935,726.7526977782228,324.98349332816576,167.21477827480732,0.344079852104187,716.524687907563,-171.73289982874564,182.07633888664932,0.2917993664741516,408.6792080259297,176.3573857937561,79.22210974927906,0.3168185949325561,360.3064949926915,-33.80267874398663,174.4981492167995,0.5369026064872742,693.1799722704611,171.60998923697534,-45.56765753230368,0.02729228138923645,660.9773309992113,-27.023385191197534,53.49151075904911,0.15784594416618347,355.8609499078755,153.26481775621338,-651.5034378121159,0.01577615737915039,392.5509356016806,-126.90138253788437,-536.135251690851,0.006603598594665527,1496.94,2099.15,5.3,270.01,1378.62,2096.94,8.35,90.22,1761.31,905.82,6.76,179.85,1054.63,2096.28,8.61,89.64,1000.38,2095.78,9.36,89.4,833.88,2094.54,8.11,90.06,1759.89,1449.73,10.17,179.85,1757.55,1663.87,7.28,179.28,1757.36,1679.31,7.26,179.28,755.43,2094.63,8.81,90.06,306.79,2095.01,9.04,92.82,223.01,2103.54,6.91,101.76,209.4,2106.45,6.95,102.2,,,,,,,,,,,,,,,,,1e,7,1568223547
