,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,conflict_1e_x,conflict_1e_y,conflict_1e_speed,conflict_1e_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,scenario,participant_id,source_file
41646,41646,1091.4,1569577258.1966698,1091.4,-91.1375791631954,,590.3171600501853,25.92205161609981,606.8991464490772,0.9844074845314026,631.7241572159584,54.2315769894327,664.3631737288861,0.9949112534523008,626.1973329281099,-1.230195093705419,660.4211705184357,0.9837464094161988,623.2773804901352,85.08565392009986,684.8721329625059,0.3754067122936249,589.3327064995701,-52.237264009389456,661.6950445660458,0.6377474665641785,450.1235923470172,143.7818522638044,541.8536092206969,0.938945770263672,459.3944482954447,-105.8223567254436,534.9050571249943,0.9089651107788086,546.062972656781,229.3103249074633,326.1496457032629,0.3898796737194061,538.8508030139972,-196.61453752208197,292.3141982201264,0.93867164850235,704.2415517285333,255.73474031117001,141.5651409622604,0.7021092772483826,697.1581819431035,-219.18970761260724,127.90993547314241,0.5986426472663879,399.2559361769403,133.59504904634204,155.14208115908332,0.6015689969062805,407.01803357805017,-73.67303934462727,116.5248675557923,0.3287969827651977,717.104218929732,165.5429895858456,-6.485043104795097,0.413321852684021,708.5883583751495,-127.38603363225408,32.09551386722896,0.12245547771453855,457.10421821885086,206.2418202830104,-507.50372597143127,0.015670448541641242,285.4115861873492,-137.25253013760204,-650.2357117076826,0.020663440227508545,1458.37,2099.15,5.6,273.4,1760.58,747.21,8.42,180.37,825.36,2094.55,7.65,90.06,1758.8,1564.44,8.23,179.28,1758.42,1594.93,8.02,179.28,1758.22,1611.14,8.09,179.28,699.65,2094.69,8.26,90.06,508.84,2094.45,8.59,89.67,150.84,2120.43,6.45,106.01,136.98,2124.41,6.34,106.01,,,,,,,,,,,,,1e,30,1569575905
41647,41647,1091.4501871209188,1569577258.2300494,1091.4501871209188,-91.23640264172249,,597.9732925462482,23.922437297869514,605.6477701742398,0.992584228515625,634.5285768742873,43.27750561565893,667.0643431706018,0.9842135310173036,620.6020865574758,-10.266504097775725,655.4577155749614,0.9950068593025208,626.9355429341963,79.20083960633706,686.7843666548121,0.43723607063293457,591.8031560913979,-62.93809618544746,662.1710875663172,0.7571427822113037,446.6168317651985,141.32087017090652,537.6783889798108,0.9822897911071776,460.2774265800801,-107.9599079776216,532.4643512945158,0.7896124124526978,553.7440676371968,227.95540159536668,328.8937599375403,0.4307647049427033,533.288199826054,-198.09629685896562,292.7339600224927,0.9140444993972778,703.2299165792482,264.7352695828126,139.14403957471927,0.96370267868042,705.3698570277094,-219.5716314148492,136.94808342589644,0.5689267516136169,389.7473568799233,130.06815320083294,135.16049505404027,0.6298362016677856,402.840383988654,-73.08472936439671,117.7855725322536,0.185016930103302,600.9038115095027,176.42101693939858,-134.91065007158613,0.2370252311229705,708.1797117512598,-128.2029185573276,40.31214746918383,0.1266757845878601,440.57161482069284,213.65544143236525,-527.8026206564032,0.021292507648468014,256.10128146253544,-136.23051696576306,-659.8307345605666,0.0199803113937378,1458.0939708349465,2099.165056136276,5.6,273.33977545489745,1760.58,746.7884281842822,8.45011227255127,180.37,825.7414221189827,2094.55,7.6600374241837565,90.06,1758.805018712092,1564.028465608466,8.235018712091879,179.28,1758.425018712092,1594.5285030326495,8.02,179.28,1758.225018712092,1610.7385030326498,8.069925151632487,179.28,700.0665531036259,2094.69,8.254981287908121,90.06,509.2716092399015,2094.455018712092,8.625130984643148,89.67,151.1561788617883,2120.3396631823457,6.475093560459392,106.01,137.29116014969642,2124.3196631823457,6.385168408826902,106.01,,,,,,,,,,,,,1e,30,1569575905
41648,41648,1091.5,1569577258.26318,1091.5,,,616.3848797688897,16.257119234056674,612.7272543078966,0.9950063824653624,627.6484716090482,42.54940998182053,664.9233626357211,0.9627495408058168,622.2895353163489,-15.300869830445848,656.9442763282607,0.9966233968734741,617.7015126332495,76.53421867929474,683.4176238075728,0.4740116596221924,593.9010365064534,-67.09876254872964,662.1376181637232,0.7462003827095032,455.14124487587,137.52031235790892,540.1178720875985,0.9807184934616088,460.22115084878425,-109.47062611333742,532.3769662954192,0.7498182058334351,551.1578188769552,227.5673881446022,327.0566266026585,0.4821917116641998,530.9117782369731,-200.91974351691428,296.8515891691505,0.8758947849273682,710.7391212407872,265.95564020732763,142.55526822740111,0.9661237001419068,676.6003502235309,-208.17647314396592,123.25364287935899,0.8022447824478149,398.93753002495316,131.82042788228634,125.4241959903971,0.1498807668685913,413.21901631796914,-71.74522925151123,127.28247505608972,0.15177154541015625,523.4268870771938,182.1681757415767,-219.76133054601502,0.256205290555954,675.840365147744,-132.59030149142416,32.41280415257717,0.17174896597862244,424.2459680801421,216.7481202084311,-545.2869535109519,0.04506886005401611,213.73876026634997,-149.08440730429373,-595.6472098854482,0.002789735794067383,1457.82,2099.18,5.6,273.28,1760.58,746.37,8.48,180.37,826.12,2094.55,7.67,90.06,1758.81,1563.62,8.24,179.28,1758.43,1594.13,8.02,179.28,1758.23,1610.34,8.05,179.28,700.48,2094.69,8.25,90.06,509.7,2094.46,8.66,89.67,151.47,2120.25,6.5,106.01,137.6,2124.23,6.43,106.01,,,,,,,,,,,,,1e,30,1569575905
41649,41649,1091.5142573353216,1569577258.29653,1091.5142573353216,-85.90448989633656,,606.075161063858,12.599420028803742,610.8700012768684,0.9953243732452391,626.2689007723386,38.460865255837895,666.2370074410916,0.980498433113098,629.3492125501907,-20.81524420819514,659.1257058429687,0.99620258808136,615.2467240128769,72.25758485848681,681.6427586062179,0.5382739901542664,589.4963050114848,-62.125218298420236,660.2470364982307,0.9178290367126464,451.54063792212287,144.1794149683907,539.2649888253083,0.9638431072235109,464.0442663187571,-110.21127597188276,533.7402458838169,0.6944554448127747,544.2314007345567,230.11257796108654,323.77293122833305,0.4012111127376557,526.8690058462764,-199.71303706116788,298.3983702127012,0.23347440361976626,722.3613861726615,263.9005384071661,149.75418757095414,0.9694077968597412,704.0729475263962,-202.1045339345729,125.32402043353292,0.8522980213165283,386.0368891849403,134.00046469869682,103.144096626295,0.4916149377822876,397.55479523643004,-66.6522682040153,159.70533385491737,0.4087333381175995,632.3434215878237,169.19363324958888,-103.03659231469368,0.37457114458084106,600.6652404710406,-125.98920407330843,21.36471454261568,0.5657358765602112,415.3989752652586,201.2860777665734,-557.1240385958897,0.033051609992980964,188.54983479487944,-161.6685618669465,-566.1187735921229,0.005697280168533325,1457.7387331886664,2099.184277200596,5.602851467064332,273.23865372756717,1760.5785742664675,746.2488126497659,8.474297065871337,180.37,826.2312072155089,2094.55,7.674277200596497,90.06,1758.8114257335321,1563.5016641168302,8.238574266467834,179.28,1758.4314257335325,1594.0145155838948,8.029980134725161,179.28,1758.2314257335322,1610.2259413174268,8.042871332339171,179.28,700.5969101496376,2094.688574266468,8.25712866766083,90.06,509.8226130837663,2094.46,8.651445598807005,89.67,151.55839547899427,2120.224336796421,6.5,106.01,137.6869697454621,2124.205762529953,6.425722799403503,106.01,,,,,,,,,,,,,1e,30,1569575905
41650,41650,1091.5285026434372,1569577258.3298519,1091.5285026434372,,,590.8531782954609,9.025652531150355,603.7238559673885,0.9957476854324341,619.600401912792,36.53873807120483,664.856528834282,0.9828190207481384,634.2227216538679,-24.433615104143392,667.57192713716,0.9831720590591432,604.3562665382264,71.59265362569008,677.5021313006209,0.5977621078491211,616.5247543338397,-64.9697602136851,673.5690822595843,0.8384544849395752,455.9267311356498,142.66408936996103,539.743895702779,0.9555603265762328,467.90969182673723,-110.20380067331186,538.2928814442803,0.8949718475341797,546.9211893354576,228.84800234855754,324.747325422972,0.4033524990081787,522.676641050433,-199.0196069882592,297.2162495098096,0.2393843531608581,712.0521199987569,265.26467305960887,143.39207812501797,0.9718459248542786,682.9142657009387,-202.1709878440268,127.09742960152069,0.7874571084976196,389.6634952436256,131.62101636799142,102.48104417423085,0.3826740682125092,399.39243722738405,-63.854920113072566,176.4324925648497,0.4513511955738068,669.6891204510708,165.01488939213914,-66.17060292214063,0.3189267516136169,615.0619913163442,-123.15467531701636,49.4972676104932,0.6113185882568359,386.79127434685273,198.3646998864449,-591.7678731195351,0.03949400782585144,522.1532181757585,-141.62059322934897,-221.05531223625232,0.013112574815750122,1457.6575349324082,2099.188550793031,5.605700528687434,273.19734233403216,1760.5771497356561,746.127727530784,8.46859894262513,180.37,826.3423206188098,2094.55,7.678550793031152,90.06,1758.812850264344,1563.383428059471,8.237149735656281,179.28,1758.4328502643439,1593.8991285881589,8.039951850406021,179.28,1758.2328502643438,1610.1119788525025,8.035748678281411,179.28,700.7137216761847,2094.6871497356565,8.264251321718588,90.06,509.94512273355974,2094.46,8.642898413937694,89.67,151.64671638931048,2120.1986952418133,6.5,106.01,137.7738661249668,2124.181545506157,6.421449206968847,106.01,,,,,,,,,,,,,1e,30,1569575905
41651,41651,1091.547173453714,1569577258.3735256,1091.547173453714,-91.98765530883085,,601.1891675096344,3.7320522744604014,607.2462834820743,0.9961975812911988,615.3341805128697,32.284464379096434,663.5853968419948,0.987545132637024,630.4120948962745,-26.30698014410771,668.1224721633342,0.9779232144355774,592.9609477625825,72.4564460594315,673.3938415841577,0.6336602568626404,615.9834414130668,-67.59912485752028,675.1279094533675,0.7277411222457886,469.51804659606387,141.45137716463992,543.8541096427065,0.956355094909668,468.38238707271034,-109.26943147363913,538.7059651675174,0.8946448564529419,558.9265956614306,228.53750535114207,330.634090202783,0.4293168485164641,526.7213524351257,-198.10542432180412,300.01315563839364,0.23229742050170896,718.9720100353056,263.2753387003743,148.4641221656991,0.9732184410095216,676.4256374159512,-205.94474510637764,125.77510184658138,0.8313205242156982,383.42045374783515,132.74160681806865,98.0643288178746,0.4262193739414215,399.4455044097512,-63.26415961100025,182.18338435725224,0.4503275156021118,694.9885847973497,160.46776427111843,-39.649614399738994,0.3612866401672363,620.5145283689496,-126.7058437787482,60.718121769801996,0.7100129127502441,360.4661503107959,191.51317405305562,-621.2196587968198,0.06685185432434082,683.884652043803,-103.89222544222694,-62.95512153340289,0.005340129137039186,1457.5511113138293,2099.1941520361147,5.609434690742828,273.143196984229,1760.5752826546286,745.9690256434299,8.461130618514343,180.37,826.4879529389702,2094.55,7.6841520361142415,90.06,1758.8147173453715,1563.2284603341723,8.235282654628586,179.28,1758.4347173453714,1593.7478950249156,8.053021417599895,179.28,1758.2347173453713,1609.962612370287,8.026413273142932,179.28,700.866822320456,2094.6852826546287,8.273586726857069,90.06,510.1056917019416,2094.46,8.631695927771517,89.67,151.76247541302766,2120.1650877833144,6.5,106.01,137.88775806765622,2124.149805128686,6.415847963885759,106.01,,,,,,,,,,,,,1e,30,1569575905
41652,41652,1091.5570490129028,1569577258.396626,1091.5570490129028,-86.47432822020622,,601.0615315619484,1.2084702446773792,608.9760455618085,0.9964786767959596,621.154154968659,28.956998532272486,665.4787600965296,0.989560842514038,632.0133044689533,-27.42006624286828,668.3915049852152,0.9776198863983154,588.7843971985368,71.27912663566636,672.6696119408326,0.6188961863517761,592.3362411265755,-68.78826712007412,667.4612111190943,0.6428952813148499,465.6500454146193,128.88581663655665,542.3837159445668,0.894373893737793,471.8709776425616,-108.81277283033572,539.9529707810507,0.9079054594039916,566.9475423086358,235.99784594631404,325.5651223294425,0.9773753881454468,528.6820975704388,-197.74965043980984,299.9397416882695,0.24691188335418696,702.8730901811598,264.42379454963145,155.16861271271347,0.9588515758514404,696.7176278845616,-201.70338843144867,138.23565119853828,0.877867579460144,393.63090876003463,139.35231436803826,80.12354870889875,0.4901194870471954,392.05499336808447,-62.2734213034001,179.06508406736407,0.4602240025997162,577.3517008299333,175.27990656372216,-151.42310038750264,0.2826389074325561,635.1578554256166,-128.38760156813714,72.46138267946597,0.7030645608901978,329.1720343732148,186.57114014968403,-649.5727942160768,0.04088607430458069,533.6028968641741,-93.51265788853857,-203.57260859332592,0.00669407844543457,1457.494820626454,2099.1971147038707,5.611409802580567,273.11455786258176,1760.5742950987094,745.8850833903259,8.457180394838867,180.37,826.5649823006421,2094.55,7.68711470387085,90.06,1758.8157049012902,1563.1464931929065,8.234295098709717,179.28,1758.4357049012906,1593.667902995487,8.059934309031982,179.28,1758.2357049012905,1609.8836078967774,8.021475493548584,179.28,700.9478019058032,2094.6842950987093,8.278524506451419,90.06,510.1906215109644,2094.46,8.6257705922583,89.67,151.82370387999757,2120.147311776775,6.5,106.01,137.9479989787073,2124.1330166780654,6.412885296129152,106.01,,,,,,,,,,,,,1e,30,1569575905
41653,41653,1091.5713780018325,1569577258.4301436,1091.5713780018325,-85.43087718717588,,608.4242363061334,1.3708705285005962,610.9873368352581,0.9959903359413148,621.3957144147672,28.413471295201944,665.8680768303516,0.9875074625015259,621.0907979863824,-27.68358302353105,665.8030237038834,0.974960207939148,587.8961962503904,70.67518912090205,672.4421211777308,0.6395820379257202,590.1641131102828,-68.77075229116531,667.8546901231389,0.683268666267395,456.4079607820506,139.65903036176545,541.206176184058,0.9551180601119996,469.00269158532416,-108.82507309784471,538.3546005923719,0.907031774520874,558.5968820430014,229.98290443604336,326.40348983561125,0.4776280820369721,542.464715261274,-199.95978811236,303.38724526023736,0.8619998097419739,710.3480868757151,265.4949045464129,144.579265721063,0.9765321016311646,680.860513409947,-205.2839936452396,129.3590449847343,0.8596122264862059,394.75561580230794,138.04321013534977,90.91197704148912,0.5855395793914795,414.44652729625807,-62.98202394296185,165.2563040628993,0.07885301113128662,677.7529938351213,163.98517886798348,-56.25288840891278,0.5273914933204651,622.475867879541,-128.02149772880725,64.30971732157718,0.41118478775024414,307.89135815973236,191.3068051116383,-673.2333967977472,0.08485233783721924,493.7990346606359,-84.3902797132953,-246.83463004799663,0.012959867715835571,1457.4131453895545,2099.20141340055,5.614275600366512,273.0730037946856,1760.5728621998169,745.7632869844232,8.451448799266974,180.37,826.676748414294,2094.55,7.691413400549768,90.06,1758.8171378001832,1563.0275625847894,8.232862199816742,179.28,1758.437137800183,1593.5518381851562,8.069964601282795,179.28,1758.237137800183,1609.7689759853395,8.014310999083719,179.28,701.065299615027,2094.682862199817,8.285689000916284,90.06,510.31385081576013,2094.46,8.617173198900462,89.67,151.9125436113619,2120.1215195967015,6.5,106.01,138.03540581117863,2124.1086573968846,6.408586599450231,106.01,,,,,,,,,,,,,1e,30,1569575905
41654,41654,1091.5856922115686,1569577258.4636266,1091.5856922115686,-97.10255203330944,,597.2110892227438,4.555997456168235,607.8110226538183,0.9961090087890624,611.3486286730858,31.364144512214445,663.7622555201804,0.9823131561279296,622.1432576936787,-26.53458628682233,666.2762075947293,0.97563236951828,586.0326727890046,71.7538801133917,676.5592391207922,0.8949391841888428,594.4036274256856,-66.30904196495078,669.8634259367816,0.6857087016105652,455.57242951145537,141.3108882286357,541.508972101149,0.9569404125213624,464.37067082240463,-109.19742713701956,536.8898863118311,0.8977919816970825,559.3769048723942,227.95922846732503,328.8833543146044,0.499781996011734,531.5393174904776,-202.2167837860149,299.2246055374033,0.8427489995956421,708.3704887899491,266.55129760116944,140.29304524153895,0.9735898971557616,697.9184829197746,-202.94788677728997,135.82748526486628,0.8371825218200684,403.04772308423554,137.98512709088723,99.054326416915,0.5028443336486816,422.8169274479085,-58.81719501019596,154.01945800059508,0.08339595794677734,720.1056563530086,163.69579595997632,-11.67226877599117,0.5340607166290283,615.352422617534,-128.83950267994342,59.021582260931346,0.3981631994247437,295.52785487903867,194.6307119556133,-675.4027091822935,0.09422767162322998,466.63171292378615,-83.10419689924521,-316.5449890681756,0.015932023525238037,1457.331554394059,2099.2057076634705,5.617138442313733,273.0314925864509,1760.571430778843,745.6416162016665,8.445723115372534,180.37,826.7883992502356,2094.55,7.695707663470598,90.06,1758.8185692211566,1562.90875464398,8.231430778843134,179.28,1758.438569221157,1593.4358930862936,8.079984548098064,179.28,1758.238569221157,1609.6544623074506,8.00715389421567,179.28,701.182676134863,2094.681430778843,8.292846105784331,90.06,510.4369530194905,2094.46,8.608584673058804,89.67,152.00129171172568,2120.0957540191766,6.5,106.01,138.12272249056886,2124.084323240333,6.4042923365294016,106.01,,,,,,,,,,,,,1e,30,1569575905
41655,41655,1091.6,1569577258.4970946,1091.6,-85.31287386448555,,613.5063172748925,8.86465357475769,613.9002432868878,0.9968476295471193,610.6053978775997,35.144003664189576,664.3168663495238,0.9801885485649108,623.9781180692618,-25.365067003598305,667.0973697668302,0.9803285598754884,586.2870800155159,74.60701828009653,676.3135749405259,0.9071320295333862,599.9997647370527,-64.4184312374316,672.0188113625584,0.7389703989028931,447.13910760965774,132.82885572003505,537.40605397635,0.8533875942230225,471.26609504412767,-108.61147716855405,540.193507327167,0.8928908705711365,568.7026907338328,237.20307792922245,321.4742169142092,0.9762349724769592,536.7461316581523,-197.9003085975278,300.94103229181616,0.20508047938346866,701.2836984837538,266.90535723167517,134.89376278340066,0.97604101896286,694.7566288629938,-200.24507607721063,129.12619701619482,0.8463929891586304,408.29434451041567,140.69104627821224,82.45938925163077,0.522094190120697,423.49819365504914,-58.4773730460645,136.3002107505376,0.2538086771965027,718.6056339310568,158.92727668697222,-11.442304482684676,0.2098986804485321,606.5523171548132,-132.51668406400813,33.26085500540728,0.4512461721897125,299.2948497193921,193.5438842525585,-670.1655060135307,0.04613208770751953,451.1307940369024,-104.13215499087616,-353.48882448901014,0.012154310941696169,1457.25,2099.21,5.62,272.99,1760.57,745.52,8.44,180.37,826.9,2094.55,7.7,90.06,1758.82,1562.79,8.23,179.28,1758.44,1593.32,8.09,179.28,1758.24,1609.54,8.0,179.28,701.3,2094.68,8.3,90.06,510.56,2094.46,8.6,89.67,152.09,2120.07,6.5,106.01,138.21,2124.06,6.4,106.01,,,,,,,,,,,,,1e,30,1569575905
