,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,conflict_1e_x,conflict_1e_y,conflict_1e_speed,conflict_1e_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,scenario,participant_id,source_file
36578,36578,1154.3330666069048,1568968621.0331042,1154.3330666069048,,666.4616202867229,-4.995346410668581,536.1687154574004,0.049287647008895874,725.5151564559364,18.272442673599144,604.2340903221434,0.7249852418899536,742.312755897676,-35.627481750585076,619.938933501301,0.8780921101570129,682.4749865038822,67.50945445583962,623.4562103446692,0.766000509262085,733.754000008998,-61.23804435772088,641.0625754615323,0.4034659266471863,556.4654944778001,125.11324031186017,518.1567169595936,0.1758556067943573,568.6359318256442,-113.24956132902149,521.2659012379225,0.4898309409618378,672.6292384799335,239.3156285825229,350.7160717293241,0.9908959865570068,629.9397303639116,-240.8287860103918,332.58001077487734,0.21025460958480835,834.1336440968794,270.14075667160006,213.6429999660249,0.8753825426101685,769.1959151712538,-232.9269063834322,200.549296723689,0.7962027788162231,366.70487352992683,117.74995822433478,138.34791133492993,0.20421355962753296,425.1929265575449,-90.78120741645589,201.7024304109383,0.40352630615234375,478.7613227489306,169.84171869864446,-137.49907897495763,0.05371028184890747,634.0946332597617,-112.34026390744071,2.6474853589417364,0.4154873788356781,303.1046916438208,208.93272028637853,-670.6199935791657,0.0020518898963928227,580.6989705668309,-116.5324814131192,-337.4458782115902,0.014289647340774538,1525.1279736261663,2098.5133066606904,4.883306660690482,270.96,1417.8942928014526,2096.5666933393095,8.90677335723807,90.57,1392.3075194442151,2096.8266933393093,9.306613321380963,90.52991998207143,1367.214132765596,2096.9866933393096,9.443386678619037,90.22,1250.2178395159292,2096.78,8.056773357238072,89.86,1761.2733066606907,919.1385337516664,6.96,179.85,918.54501296281,2094.45,6.146693339309517,90.06,904.7217063021194,2094.46,6.12,90.06,890.4517063021194,2094.48,6.059919982071446,90.06,1758.6533066606905,1575.8786137695947,7.360080017928554,179.28,876.6149329448813,2094.49,6.43,90.06,1758.4633066606907,1591.398613769595,7.309919982071446,179.28,1758.27,1606.9253071089045,7.373466696547588,179.28,,,,,,,,,,,,,,,,,1e,23,1568967420
36579,36579,1154.3663063658132,1568968621.0666986,1154.3663063658132,-71.48316237995364,663.3091566356095,-3.811893596069696,535.6421585916876,0.0007203817367553711,716.7894492343991,18.890394234681466,602.5565470236379,0.7455140352249146,714.1965176575299,-33.855030277605984,604.8393428455116,0.726852536201477,664.548789227308,72.51279618607967,615.9515884513296,0.8077217340469359,713.1077358227368,-68.34118330001692,633.1873414672327,0.3369651436805725,559.1862404582158,126.89841955221571,511.4687985664483,0.16436666250228882,566.6278053378783,-114.46394498647345,520.0337282377882,0.4927941262722016,675.0086909896339,240.1475553692781,346.0430239628698,0.9902904033660888,633.9700657492813,-238.6732550702278,335.0009435732889,0.27965447306633,834.0529846055241,269.7702657886063,215.419022863392,0.920058250427246,757.2253253613134,-236.0030479601447,189.04996645469228,0.7135220766067505,355.072331025834,123.34603566397487,143.11777974343218,0.190106600522995,421.2707569601216,-92.61588251938326,197.70673487464745,0.3512775301933289,522.3355380740413,193.1346158524622,-97.57686112999737,0.033670395612716675,631.7301846799361,-109.41196610728814,-4.374253607741593,0.3766569495201111,256.5693972812821,218.8859691626218,-696.1583606336748,0.004379749298095703,565.8437028862805,-117.45787810998002,-360.212182540763,0.00811713933944702,1524.9650988075155,2098.5166306365813,4.886630636581317,270.96,1418.1901266557372,2096.5633693634186,8.893477453674732,90.57,1392.6166492020625,2096.823369363419,9.313261273162636,90.53989190974394,1367.529910475225,2096.9833693634187,9.436738726837364,90.22,1250.4870815630868,2096.78,8.04347745367473,89.86,1761.276630636581,918.9058554393075,6.96,179.85,918.7510994680417,2094.45,6.143369363418683,90.06,904.9244688314604,2094.46,6.12,90.06,890.6544688314602,2094.48,6.069891909743951,90.06,1758.6566306365814,1575.635963529564,7.350108090256048,179.28,876.8309913777856,2094.49,6.43,90.06,1758.4666306365814,1591.155963529564,7.319891909743951,179.28,1758.27,1606.6793328929825,7.356846817093414,179.28,,,,,,,,,,,,,,,,,1e,23,1568967420
36580,36580,1154.4,1568968621.1007516,1154.4,-80.78002206007791,672.4997700955669,-2.3015124057238845,549.6218109481039,0.150199294090271,723.3423961974257,20.525476150083755,610.7436864877333,0.8856843709945679,728.2559757420707,-32.656346111235536,612.2990428356152,0.9079484939575196,669.2232251560972,76.21944260483241,618.0644434696412,0.7590405344963074,701.1436396731709,-70.72534553067987,628.2741355146842,0.3837388157844544,556.52112322064,123.7724562744483,525.9006511855713,0.5013443231582642,574.8699540753507,-100.6101958438018,537.437803705754,0.8799103498458862,670.0634470094486,241.75971100093,345.85031555991674,0.9888739585876464,621.6338209818848,-233.31084033631114,349.03226222174624,0.09162834286689757,834.5843976282222,269.50600226734247,214.34644786713832,0.9352034330368042,769.2530346876991,-241.14418639152802,182.8354742265343,0.7715321779251099,391.09137133565565,122.4100762479829,139.94691013862726,0.05154263973236084,415.06052430353,-87.7340553242505,196.16820674815887,0.5843221545219421,582.2860685967485,200.75439518601428,-52.018497716332575,0.04789581894874573,609.6119001838274,-100.4017301925836,-27.471292702944197,0.3402390480041504,236.08384921490017,227.288709396931,-709.3242578997763,0.003932982683181764,556.4954032772741,-114.47895797995831,-373.78085581326246,0.005188941955566406,1524.8,2098.52,4.89,270.96,1418.49,2096.56,8.88,90.57,1392.93,2096.82,9.32,90.55,1367.85,2096.98,9.43,90.22,1250.76,2096.78,8.03,89.86,1761.28,918.67,6.96,179.85,918.96,2094.45,6.14,90.06,905.13,2094.46,6.12,90.06,890.86,2094.48,6.08,90.06,1758.66,1575.39,7.34,179.28,877.05,2094.49,6.43,90.06,1758.47,1590.91,7.33,179.28,1758.27,1606.43,7.34,179.28,,,,,,,,,,,,,,,,,1e,23,1568967420
36581,36581,1154.4335841620916,1568968621.134398,1154.4335841620916,-90.02848446612253,674.5628992517612,-0.8807415359785082,554.8994323542868,0.002140641212463379,726.0582799712962,20.342433267708905,615.6233898336476,0.8432877659797668,714.7962015050522,-34.259972605636676,611.0093437178816,0.8770797848701477,684.3735037603377,75.68987295597236,628.2694719609722,0.7022908926010132,695.8621391193834,-67.32532654987871,630.9120186562633,0.3705338835716248,558.5220082760359,125.62893965105071,516.0676809543272,0.14276868104934692,568.0742560522815,-98.4921373176837,540.2520624413153,0.8694111108779907,675.1736021297637,241.4482779993002,345.1133061485201,0.9903181791305542,627.7653503600549,-246.1667762449985,335.5826819725118,0.9873968362808228,832.2250399445943,269.9989746799804,210.6755650350869,0.9435716867446899,778.9668040392613,-234.8988952076812,202.98278441133044,0.690811276435852,377.6573093289391,129.37726653288325,146.42105338492442,0.18332886695861814,431.331415715884,-81.4937082346394,144.37682749539294,0.4536190629005432,561.2330737904985,181.89987439740418,-62.183147449681684,0.11219623684883118,672.0946199460818,-91.47046010749013,2.673074778117212,0.06579554080963135,240.39082690277615,230.49768857418312,-703.5169556059652,0.005743801593780518,556.9411308164258,-112.23178331207552,-410.772431647696,0.012325376272201538,1524.6354376057513,2098.523358416209,4.886641583790843,270.96335841620913,1418.788899042615,2096.5566415837907,8.890075248627467,90.57,1393.2423327074514,2096.816641583791,9.323358416209157,90.55671683241829,1368.1690495398698,2096.98,9.46358416209156,90.22,1251.0286732967324,2096.78,8.033358416209156,89.86,1761.28,918.434910865359,6.97679208104578,179.85,919.1648633887587,2094.45,6.143358416209156,90.06,905.3348633887584,2094.46,6.106566335163376,90.06,891.0648633887587,2094.48,6.0967920810457805,90.06,1758.6633584162091,1575.1414772005226,7.356792081045778,179.28,877.2615802211768,2094.49,6.4098495027450655,90.06,1758.473358416209,1590.6648356167316,7.319924751372532,179.28,1758.273358416209,1606.1848356167316,7.329924751372531,179.28,,,,,,,,,,,,,,,,,1e,23,1568967420
36582,36582,1154.4665041277276,1568968621.167379,1154.4665041277276,-90.02733319470181,677.3696981355793,0.5046328127884365,556.6881213728859,0.15464651584625244,727.9504261460157,23.32347637275884,613.1022673241667,0.9595926403999328,711.2128401850418,-29.90514704798768,607.1642002019497,0.9057214260101318,683.9201276196352,79.5371705747338,627.5674328671403,0.659601628780365,698.5259891514103,-65.23200662317683,632.2342272404674,0.3497586250305176,551.6395393116452,124.21418698544008,528.5021470454892,0.5983123779296875,571.5031712906176,-96.34662051296436,542.2892602590929,0.8721234798431396,666.9944661638642,242.25861072676202,343.53552207410814,0.989472270011902,619.6126473077383,-238.7712240753772,338.0129058040915,0.9228323698043824,839.4558087461054,268.141646944802,213.7132326497388,0.9318838119506836,766.590254493873,-243.23122971747216,180.08039699479667,0.7380386590957642,385.2411792576793,111.54639231048594,137.92998582307507,0.02161332964897156,420.1739303126426,-79.80938818401648,118.7462221699424,0.4017852544784546,573.6803706319862,182.54790047482086,-39.20717234783641,0.2636556029319763,642.9455311007739,-89.9225410076072,-23.55977502803032,0.14905467629432678,424.75273987797567,206.33658645633489,-421.4390838559187,0.007356494665145873,567.8014800532253,-100.8364831409703,-390.7835015244132,0.03175616264343262,1524.4741297741348,2098.526650412773,4.883349587227243,270.9666504127728,1419.0818867367755,2096.5533495872273,8.899951238318273,90.57,1393.5484883878664,2096.813349587227,9.326650412772755,90.56330082554553,1368.481789213412,2096.98,9.496504127727572,90.22,1251.2920330218205,2096.78,8.036650412772756,89.86,1761.28,918.204471105907,6.993252063863786,179.85,919.3656751791383,2094.45,6.1466504127727575,90.06,905.5356751791384,2094.46,6.093398348908972,90.06,891.2656751791382,2094.48,6.113252063863786,90.06,1758.6666504127732,1574.897869454816,7.373252063863786,179.28,877.4689760046837,2094.49,6.3900975233634565,90.06,1758.4766504127729,1590.4245198675887,7.310048761681728,179.28,1758.2766504127728,1605.9445198675887,7.320048761681727,179.28,,,,,,,,,,,,,,,,,1e,23,1568967420
36583,36583,1154.5,1568968621.2009368,1154.5,,668.0511771586757,-10.976833431804266,556.3262288690397,0.022877871990203857,742.2169426710335,26.376830920504432,622.0859468550509,0.8207471370697021,739.5363776704152,-26.542798514971352,626.1730767827672,0.9422503709793092,692.7877118171632,80.97134980181899,632.4371527472845,0.6067543029785156,707.5909591780954,-62.55352314691767,639.1075815405209,0.4327614903450012,550.3973466873862,122.5871514013643,530.4958318895214,0.5646695494651794,575.0552985499244,-92.16235239547665,547.1072631128426,0.9379974603652954,672.8389078938379,240.07613496497453,349.6140957184388,0.988361358642578,615.3910080381182,-239.49202103475102,334.75353105264196,0.9160252809524536,839.7976571589168,267.69770316541315,214.60130262524785,0.93501615524292,772.476087584241,-236.7959738319326,197.85545622889742,0.7003886699676514,390.1786203064517,103.89107026646508,140.13407280489804,0.015468031167984009,408.8558707815986,-78.69035257627556,107.77666498143812,0.34908729791641235,576.5789686456404,187.87834512068574,-26.185337257003518,0.34665197134017944,673.1642202480373,-83.24573292433958,-9.903396363287133,0.2266155481338501,663.2475888437149,182.79196504005765,-149.9034607224412,0.007123976945877075,541.9993448279101,-97.61113070211384,-414.1487467168034,0.03670474886894226,1524.31,2098.53,4.88,270.97,1419.38,2096.55,8.91,90.57,1393.86,2096.81,9.33,90.57,1368.8,2096.98,9.53,90.22,1251.56,2096.78,8.04,89.86,1761.28,917.97,7.01,179.85,919.57,2094.45,6.15,90.06,905.74,2094.46,6.08,90.06,891.47,2094.48,6.13,90.06,1758.67,1574.65,7.39,179.28,877.68,2094.49,6.37,90.06,1758.48,1590.18,7.3,179.28,1758.28,1605.7,7.31,179.28,,,,,,,,,,,,,,,,,1e,23,1568967420
36584,36584,1154.533418511807,1568968621.2347047,1154.533418511807,,673.9761696729478,0.9404531104832898,557.9665665045451,0.0007236599922180176,731.5221365437883,33.794390081878205,618.2804733978933,0.9768264293670654,727.8867157998427,-20.2844879951228,616.6770162278632,0.9600111842155457,672.6883164482215,87.29757142634944,625.2065837093928,0.4331499636173248,710.8946922252643,-58.864903985854454,643.237042956066,0.4193835556507111,556.04806856949,125.09927108290718,517.9235701258901,0.2075050175189972,564.3260002632818,-91.16883492882977,540.8578700435585,0.935499906539917,663.416327602669,243.3304050968281,340.1821000057791,0.9854497909545898,646.4749280023423,-234.74082363426533,351.098960951414,0.9120528697967528,836.4627855810535,268.9209906746174,211.27637779257512,0.9023088216781616,775.704864248432,-242.4098037261768,185.2748674223594,0.7307561635971069,408.1438802231839,118.7834357605596,174.97933240437396,0.09413570165634157,405.1908564624227,-78.27181473182955,125.11176943911036,0.17623776197433472,594.4997622547819,191.51323666561092,10.19022110556824,0.3458017706871033,649.3519025233825,-78.04712448091855,-32.029423059066765,0.3401709198951721,780.8493483573758,172.4238724407164,0.9908076193044052,0.015401959419250488,518.7806239490612,-107.38770833136982,-456.3442728089053,0.09352189302444458,1524.1462492921453,2098.533341851181,4.876658148819298,270.9633162976386,1419.6774247550825,2096.5466581488195,8.91,90.57,1394.1707921598054,2096.8066581488188,9.326658148819297,90.57,1369.1174758621667,2096.98,9.513290744096492,90.22,1251.8306899456368,2096.78,8.056709255903508,89.86,1761.28,917.7394122685316,6.979923339373686,179.85,919.7771947732036,2094.45,6.15,90.06,905.9438529220228,2094.46,6.093367404722806,90.06,891.6771947732034,2094.48,6.126658148819297,90.06,1758.6733418511808,1574.4027030126279,7.386658148819298,179.28,877.8972203267456,2094.49,6.403418511807016,90.06,1758.4833418511807,1589.9327030126278,7.330076660626314,179.28,1758.2833418511807,1605.456044863809,7.313341851180701,179.28,,,,,,,,,,,,,,,,,1e,23,1568967420
36585,36585,1154.5670550427544,1568968621.268693,1154.5670550427544,,677.6861599022424,4.128897282152671,562.1720991409396,0.06873342394828796,715.6987146724013,38.87037150711729,606.7183918911803,0.9690438508987428,706.4817294135335,-13.875217245536414,603.7268274097721,0.9531916379928588,668.1601090495284,91.72937074870985,620.2399260937711,0.37907418608665466,703.6445006324135,-53.87869606214183,637.6545742092238,0.5253733396530151,553.5199665871618,126.44655191772915,534.8643919450936,0.9165964722633362,559.4413923135886,-91.58486200134912,538.7183676622022,0.8045346736907959,674.0347772897383,245.4174579484589,346.7368575936425,0.9879411458969116,616.6629754985638,-237.5594968599529,338.41711102768613,0.9309725761413574,824.6133814164214,270.7677177097657,219.8209812222807,0.8386150598526001,786.6778762636508,-243.22547968127967,189.1144637883939,0.7821797132492065,418.5009461060344,123.42642687939814,167.4757631898607,0.01720726490020752,381.30222393038514,-79.5027278230958,120.93319963695382,0.16663071513175964,595.1560497747333,196.7332701081208,13.485581384289873,0.2451922595500946,542.1028623851095,-82.75364723788987,-111.34357923615728,0.4508313536643982,841.0782199146228,165.89802296538485,56.29412007304643,0.013642579317092896,480.2032103648124,-113.05610359956057,-487.3199667055999,0.4047710597515106,1523.9814302905027,2098.536705504276,4.873294495724552,270.9565889914491,1419.9767898805148,2096.5432944957247,8.91,90.57,1394.4836118976166,2096.8032944957245,9.323294495724554,90.57,1369.4370229061674,2096.98,9.49647247862276,90.22,1252.1031458463112,2096.78,8.073527521377239,89.86,1761.28,917.507320204994,6.949650461520967,179.85,919.985741265078,2094.45,6.15,90.06,906.1490357608023,2094.46,6.106822017101793,90.06,891.8857412650779,2094.48,6.1232944957245525,90.06,1758.6767055042756,1574.153792683617,7.3832944957245505,179.28,878.115857777904,2094.49,6.437055042754478,90.06,1758.4867055042755,1589.683792683617,7.360349538479031,179.28,1758.2867055042755,1605.2104981878924,7.316705504275447,179.28,,,,,,,,,,,,,,,,,1e,23,1568967420
36586,36586,1154.6,1568968621.3019824,1154.6,,677.6961523747881,11.020023266089076,559.9180011161702,0.0007932782173156737,723.7394493088153,40.12554443441061,611.7311896646182,0.8714663982391357,718.6965437628792,-3.866965729515045,609.120865992815,0.9793158769607544,699.9657964455535,87.55538180146513,639.9003463128142,0.3507106304168701,704.0937476803058,-50.021116878341545,638.8989740583611,0.5823953747749329,563.8215847267294,131.90968512529514,523.0583343411608,0.654900312423706,561.8247903011384,-89.88032016474486,542.8733644549511,0.933053493499756,668.0615126513372,248.16980546775403,341.69359985050306,0.9867042303085328,627.1666470698342,-234.45449905700661,336.94749876526976,0.5108869075775146,826.4747924170834,270.19252216225516,222.01153307752426,0.8697417974472046,762.3711777531619,-238.947314471656,191.8999452407451,0.6930941343307495,426.2765632889247,124.28341102964752,190.51425411157126,0.08191412687301636,384.4740789996313,-81.9322095710235,157.63247836142122,0.3837677836418152,599.7281068578718,193.2819891161576,44.49422333568128,0.3421153426170349,500.19334734782507,-77.38400096153492,-130.82090750356852,0.06568831205368042,866.0704771005103,165.19769412521185,72.81460019846378,0.011682808399200441,424.02784882882116,-110.31902567601244,-518.8127111146727,0.175356924533844,1523.82,2098.54,4.87,270.95,1420.27,2096.54,8.91,90.57,1394.79,2096.8,9.32,90.57,1369.75,2096.98,9.48,90.22,1252.37,2096.78,8.09,89.86,1761.28,917.28,6.92,179.85,920.19,2094.45,6.15,90.06,906.35,2094.46,6.12,90.06,892.09,2094.48,6.12,90.06,1758.68,1573.91,7.38,179.28,878.33,2094.49,6.47,90.06,1758.49,1589.44,7.39,179.28,1758.29,1604.97,7.32,179.28,,,,,,,,,,,,,,,,,1e,23,1568967420
36587,36587,1154.6332915087394,1568968621.3355095,1154.6332915087394,-90.02440207421513,686.7246049661535,12.380946044445446,567.2858920441363,0.048223525285720825,730.6474165460353,50.46381585261103,618.1777907800198,0.961989402770996,734.2664946857005,2.9959031089967283,620.4955024861313,0.9732174277305604,707.8948977169774,87.42235342392523,645.0198140133159,0.3788453340530396,705.9987515347788,-46.449849610022355,643.1949748650693,0.6220136284828186,555.1479407635867,137.63225121121272,534.5073683998468,0.8960450887680054,565.4689818558061,-83.68778856788045,540.6283079912978,0.9286481142044068,672.9969367126179,245.78895122837503,349.84310610169473,0.9865790605545044,620.1903747693037,-236.22611347164445,336.9129755524532,0.9166792631149292,831.8997073888668,268.3331973218204,210.34256857156768,0.9155988693237304,777.7955108638067,-245.56922018361698,186.9653141312252,0.8194203376770021,469.7287069160688,121.80504320381132,194.0275418840897,0.03753432631492615,392.2738704338947,-83.94927091387174,176.10527019957226,0.3278524875640869,606.0582495927083,199.82864506371723,25.51531662873623,0.049561113119125366,484.04470770877134,-83.129803111216,-143.6352443718732,0.3755717575550079,501.64089777580085,206.8446995777824,-298.19367048777303,0.005116194486618042,1433.2812514130676,-32.84245943458792,458.74776961130715,0.08841899037361145,1523.660200758051,2098.54,4.87,270.9200376421345,1420.5662944277808,2096.54,8.91,90.57,1395.099611031277,2096.7966708491267,9.310012547378172,90.57,1370.0662693330244,2096.976670849126,9.49664575436971,90.22,1252.639661220789,2096.78,8.080012547378173,89.86,1761.28,917.046959438824,6.953291508739421,179.85,920.3930782033104,2094.45,6.143341698252116,90.06,906.5564073541844,2094.46,6.139974905243652,90.06,892.2930782033105,2094.48,6.1166708491260575,90.06,1758.683329150874,1573.6636428353283,7.389987452621827,179.28,878.5463948068062,2094.49,6.47,90.06,1758.493329150874,1589.1936428353283,7.393329150873942,179.28,1758.2933291508741,1604.7269719862024,7.323329150873942,179.28,,,,,,,,,,,,,,,,,1e,23,1568967420
