,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,W_in-P_out.11_x,W_in-P_out.11_y,W_in-P_out.11_speed,W_in-P_out.11_angle,conflict_1e_x,conflict_1e_y,conflict_1e_speed,conflict_1e_angle,W_in-P_out.12_x,W_in-P_out.12_y,W_in-P_out.12_speed,W_in-P_out.12_angle,W_in-P_out.13_x,W_in-P_out.13_y,W_in-P_out.13_speed,W_in-P_out.13_angle,W_in-P_out.14_x,W_in-P_out.14_y,W_in-P_out.14_speed,W_in-P_out.14_angle,scenario,participant_id,source_file
60244,60244,1931.1661244068546,1568298405.2416372,1931.1661244068546,-96.46171183158441,6.7755211198152026,551.8776702831317,89.52904602662844,762.5168094654417,0.9987435340881348,526.8889018722818,114.82640470631596,788.6112327337779,0.9994512796401978,529.1294582433776,54.398884596540356,787.7868659478622,0.9985503554344176,505.0779634378891,166.44338708652856,763.1676576888316,0.9703692793846128,492.06886343633744,15.886847431035605,757.6336230381697,0.8606632947921753,461.59398545705534,234.47956306693,572.6763113884682,0.3179211616516113,443.44086162723073,-41.3217895306954,576.0437678297554,0.4841932952404022,585.4624814391616,313.5951561521555,386.73611031869416,0.8128560781478882,553.1715840524746,-117.80036022147628,355.46412069121214,0.8717280626296997,776.039573096779,351.74359793338,204.730653764867,0.9421569108963012,767.4950644375418,-137.93709161504574,213.18241438330392,0.9625492095947266,422.6356488680082,203.48858670673562,157.0116094541799,0.4811070561408997,437.7549117417902,-5.982766712344162,182.4875449944872,0.7523782253265381,722.8948854822042,235.926935212313,-34.029385695901,0.03130936622619629,863.6015674409116,-41.11552349438705,137.67469255036718,0.36488717794418335,256.96649489513,292.3653360666642,-792.808606937826,0.004231154918670654,513.4099235333116,-90.20008277800426,-488.6581013701635,0.047272950410842896,1416.637751186291,2099.98,1.94,269.2559617289107,1760.473387559315,730.8706793892778,7.470488033831084,180.37,1760.58,746.5074545079068,7.512736847539787,180.37,1760.68,762.1340669485924,7.46677511862913,180.37,716.7793206107222,2094.67,7.456937796572824,90.06,701.1559330514076,2094.6833875593147,7.462736847539787,90.06,527.0386698989473,2094.556612440685,8.586287084798046,89.67,511.522057458262,2094.466612440685,8.557263152460212,89.67,293.952057458262,2095.6435502372588,8.503712915201952,92.82,246.7859330514076,2100.620488033831,7.539511966168916,96.98,1366.53,2170.837913864235,2.47146410149325,179.51,224.16528233963282,2103.3938755931463,8.776612440685435,101.1698659995593,203.9788325768911,2107.620976067662,8.463550237258259,102.2,,,,,1e,9,1568296430
60245,60245,1931.2,1568298405.276053,1931.2,-88.34039708672876,10.612823779611457,552.3013704183309,89.00657680245611,762.1186638025772,0.998770833015442,530.1310060206591,114.11610621175305,789.5143417888901,0.9994836449623108,525.9368310525197,53.47596003362562,787.264769187512,0.9983915090560912,502.56947296342764,166.45567586397507,762.6993742166648,0.9700721502304076,487.6288038882317,14.753629701828046,757.7923689764273,0.8420112133026123,458.5631542171959,232.77627903956025,571.0117922098112,0.4001288414001465,443.2364073177927,-39.96845500330557,575.8087651108317,0.5049220919609071,573.7286411810737,312.41211315383595,377.6583349561973,0.7986249327659607,563.0755376403075,-117.3841313390935,360.6479851449117,0.8636984825134277,771.5970564015089,352.9146211254532,198.8367802799091,0.9461405277252196,753.7830484471298,-139.45320925248518,203.75931785139701,0.9688026309013368,420.25761143224884,203.90455560611846,156.8202270159292,0.37524646520614624,438.3263494042182,-6.934255705191673,181.1065008388149,0.6935755014419556,741.2300774955954,235.30677636662784,-15.327929559878724,0.021768897771835327,859.6095615219339,-37.874523564603855,128.4643288918337,0.1965051889419556,272.44849452879646,288.83443402525194,-771.4296426462244,0.0056558847427368155,518.5203416415168,-83.67575989716721,-478.3759996417869,0.13765305280685425,1416.57,2099.98,1.94,269.3,1760.47,730.62,7.44,180.37,1760.58,746.25,7.55,180.37,1760.68,761.88,7.46,180.37,717.03,2094.67,7.44,90.06,701.41,2094.68,7.5,90.06,527.33,2094.56,8.61,89.67,511.81,2094.47,8.52,89.67,294.24,2095.63,8.48,92.82,247.04,2100.59,7.57,96.98,1366.53,2170.76,2.38,179.51,224.46,2103.36,8.78,100.97,204.26,2107.56,8.45,102.2,,,,,1e,9,1568296430
60246,60246,1931.2325855613062,1568298405.3086276,1931.2325855613062,-87.91339477678405,1.1761333433038568,552.1278702572765,89.29530969724533,762.5106291887148,0.9987350702285768,530.2814490962821,113.69665791834484,789.6427488960862,0.9995113015174866,529.4753575230596,52.644996919494076,788.1315680026114,0.9985353350639344,507.78125712021966,166.5114530266582,764.3112896203462,0.9668161869049072,483.14827084424456,13.496825730399673,755.6979277615008,0.8676155209541321,454.5043779852183,233.062636651332,569.2105813076641,0.3671845197677612,443.0615452832897,-39.90383723689652,575.9826507053214,0.5025755763053894,567.1450698467174,312.967052754021,376.4631115645878,0.8333320617675781,544.3663147900427,-120.13683858858374,348.72801174140915,0.8896165490150452,753.9951088840338,348.87108948015845,199.4569597131376,0.7239190936088562,753.7660254199358,-136.60462299455295,206.43875984232352,0.9499664306640624,427.9525493863967,206.7363480955871,160.0777745527174,0.3759402334690094,436.64089294280024,-4.109447160324192,184.60049003354385,0.6891922950744629,733.2225489666074,237.9330164814481,-24.381910983841124,0.01055482029914856,856.072077336798,-41.351801844662106,128.52675235179382,0.2643543481826782,256.0239764565584,286.6769121588228,-791.1137778393332,0.0036295950412750244,518.5797051104465,-83.65708891342922,-480.93811927329045,0.10160645842552184,1416.5243802141715,2099.98,1.7640379689477086,269.34236122969776,1760.47,730.3756082902053,7.44,180.37,1760.5767414438697,746.005608290205,7.530448663216412,180.37,1760.6767414438696,761.635608290205,7.489327005175383,180.37,717.2743917097947,2094.67,7.453034224522392,90.06,701.6543917097948,2094.68,7.503258556130597,90.06,527.6102358272316,2094.56,8.613258556130598,89.67,512.0902358272314,2094.47,8.55258556130598,89.67,294.5169772711008,2095.6169657754776,8.48,92.82,247.28113315366426,2100.560672994825,7.5341558825634225,96.98,1366.53,2170.6752775406044,2.4288783419589697,179.51,224.74349438336205,2103.3241558825634,8.78,100.77774518829472,204.52720160270906,2107.501345989649,8.459775668391794,102.2,,,,,1e,9,1568296430
60247,60247,1931.2666328793914,1568298405.3426635,1931.2666328793914,-90.1189949417112,10.497261311569902,552.8468179905944,89.04756972691696,761.0492581069693,0.9988667964935304,534.0904531924454,113.3579597779112,790.435553536478,0.9994916915893556,522.7392883166012,52.0473200752938,785.2589723762578,0.9983960390090942,509.37994735930323,166.33886073159843,766.1505640362407,0.9706095457077026,482.5515237933802,13.386427647825014,755.6594055609271,0.8436605930328369,452.7639648872607,241.6211049530606,589.4013117467423,0.9165357351303101,428.7959690217573,-43.109439883143104,594.1946231230502,0.95892333984375,588.0824188838653,318.98155517038657,373.72116824331977,0.935401439666748,539.000344471728,-121.75459089174896,344.5961864912229,0.8364235162734985,765.9967458167392,353.35970942472267,195.8183993381017,0.9521972537040708,773.8755380876988,-134.39495200710084,214.77777778414108,0.94637131690979,440.66515513287163,210.02939949917248,144.1701943099817,0.2404843866825104,463.34799478066833,-8.05523436564026,154.9494358872009,0.4598318636417389,393.9061557876879,294.4875110005788,-386.0151167713858,0.012118548154830931,758.9557156830261,-48.99808099981003,8.118763687850105,0.07449966669082643,272.9891935941064,316.5972090643968,-771.2710616248407,0.006401419639587402,513.7065552237824,-85.65534235657411,-481.11028063755873,0.06489184498786926,1416.476713968852,2099.98,1.5801824512863096,269.38662274320893,1760.47,730.1202534045642,7.44,180.37,1760.5733367120608,745.7502534045642,7.5100202723651455,180.37,1760.6733367120607,761.3802534045642,7.5199695914522815,180.37,717.5297465954358,2094.67,7.46665315175657,90.06,701.9097465954356,2094.68,7.506663287939142,90.06,527.9030427627663,2094.56,8.616663287939142,89.67,512.3830427627662,2094.47,8.586632879391424,89.67,294.8063794748271,2095.603346848244,8.48,92.82,247.53308330749653,2100.530030408548,7.496703832669433,96.98,1366.53,2170.5867545135825,2.479949319087136,179.51,225.0397060507054,2103.2867038326694,8.78,100.5768660115906,204.80638961100968,2107.440060817096,8.469989863817426,102.2,,,,,1e,9,1568296430
60248,60248,1931.3,1568298405.3760195,1931.3,-96.5859349138763,7.818082146960831,557.2596900227567,88.99749835032497,762.7235852210948,0.9988601207733154,526.9438059969262,113.6650098316615,788.4479804891075,0.999455451965332,533.366996614684,52.47561920285626,788.2231021336232,0.99834805727005,506.59558080170615,165.94303205844537,763.7621622233687,0.9675085544586182,486.9808255041752,14.548640722759142,756.4011045714552,0.8211007118225098,458.79270362341566,236.68274064323188,578.1398195878836,0.33708685636520386,442.80424990162095,-42.057576769948724,582.1259471845749,0.5165898799896239,573.0875007147347,312.74659683211064,376.9812693402461,0.8707066774368286,540.9481012682459,-124.6110447069278,359.77655811051994,0.7722060680389404,756.5956927105276,347.29878791392036,203.50661922572186,0.7897127866744995,768.4073523649027,-134.52091721640627,213.23028396884442,0.946701169013977,427.11371830655196,205.167105345452,160.99239954733582,0.399520069360733,439.8290744046502,-2.0615075928913007,182.01159860925998,0.7649580240249634,605.0708080195486,263.37113448282435,-102.9563586810404,0.21236833930015564,822.4559234673517,-42.67663644496356,89.99065902106926,0.30533310770988464,274.91377860567167,296.6723250318588,-770.8188288401216,0.007549464702606201,513.195504711874,-85.06615353307231,-484.5434951572676,0.1241525411605835,1416.43,2099.98,1.4,269.43,1760.47,729.87,7.44,180.37,1760.57,745.5,7.49,180.37,1760.67,761.13,7.55,180.37,717.78,2094.67,7.48,90.06,702.16,2094.68,7.51,90.06,528.19,2094.56,8.62,89.67,512.67,2094.47,8.62,89.67,295.09,2095.59,8.48,92.82,247.78,2100.5,7.46,96.98,1366.53,2170.5,2.53,179.51,225.33,2103.25,8.78,100.38,205.08,2107.38,8.48,102.2,,,,,1e,9,1568296430
60249,60249,1931.3498552986239,1568298405.4095345,1931.3498552986239,-96.5859349138763,7.673834445960357,557.2712117823992,89.35993236961134,763.3562331442344,0.9986732006072998,526.5455386784249,114.70117196740946,788.3078475242465,0.9993850588798524,526.5869119892667,52.88082367500221,786.4754544934749,0.998526096343994,508.70128812960417,166.0507571887216,763.1095663479955,0.9679415822029114,483.336692528296,14.22030611879796,755.0965237293798,0.8544009923934937,461.4465586087982,234.3836280919966,573.0594581083633,0.3948618173599243,446.36257848171687,-42.92920686998481,578.9564760513803,0.4965818524360657,568.1012651183103,312.99727638319365,374.27685190068496,0.8340023756027222,555.2579316831634,-119.86963966951073,354.16331022977613,0.8727849721908569,776.4898113678631,350.20191971654333,201.99149075943168,0.9389139413833618,751.5551204250476,-138.17290824439777,200.44907043346518,0.9504754543304444,422.6320752774135,205.727625244183,167.08200574731683,0.33391648530960083,436.6709003724997,-8.757490827392887,173.78699783910992,0.7186628580093384,676.7296989992467,253.3401514358268,-2.576594132912305,0.2354409396648407,845.8647184457974,-38.2341453716324,119.14177769110216,0.3580120801925659,289.9521095625575,282.63535557704836,-756.0988263940843,0.003666341304779053,517.649140394848,-83.65640576194744,-486.2328432702412,0.08141183853149414,1416.3103472833027,2099.98,1.9184951056881092,269.46489870903673,1760.4650144701377,729.5010707901836,7.4499710597247715,180.37,1760.57,745.126085260321,7.4949855298623875,180.37,1760.67,760.756085260321,7.505130231238528,180.37,718.1489292098164,2094.67,7.465043410412843,90.06,702.533914739679,2094.68,7.495043410412843,90.06,528.6187555681652,2094.5649855298625,8.570144701376142,89.67,513.0987555681652,2094.4749855298624,8.590086820825686,89.67,295.5087845084404,2095.5700578805504,8.470028940275231,92.82,248.15391473967887,2100.4551302312384,7.479942119449543,96.98,1366.5349855298625,2170.400289402752,2.3056511561926447,179.51,225.76374109802762,2103.1951591715133,8.789971059724772,100.08585373811924,205.49379897857798,2107.290260462477,8.470028940275231,102.2,,,,,1e,9,1568296430
60250,60250,1931.4,1568298405.443244,1931.4,-96.5859349138763,7.447213422481518,552.9937448657038,89.20795076712831,761.4392022575388,0.9986764192581176,530.1940694053818,114.1899170406344,789.3298561896037,0.999353289604187,526.2545268205467,53.04238413472263,786.2171067555313,0.9984171390533448,510.7351653305109,166.12696144825594,763.4410216898692,0.9648740291595459,487.37765689722033,14.705273186736887,755.8139547084323,0.8403504490852356,462.0467155582332,234.27508375090457,571.9580774557996,0.4075340628623961,450.8758418111862,-42.94244386526429,579.2075260483009,0.4931761920452118,575.6599061902616,311.2146057070433,377.09290974226457,0.8441321849822998,547.9285086265902,-119.23171921308071,351.3676006896646,0.8912559747695923,775.5161482528999,350.24208717982333,198.96762486194942,0.9346596002578736,772.4308457229441,-135.30288956512211,216.82929527002028,0.9470906257629396,423.71065437559616,206.4603698723564,172.88127269919588,0.29456788301467896,436.5311123187414,-5.123905297805148,182.91079134715827,0.7090070843696594,738.0858850390564,241.8256161266801,35.36496323518918,0.026344358921051025,852.0715103074755,-37.03174026412512,129.60744832084237,0.2729345262050629,279.9669207132815,282.9269990280182,-765.1858329765275,0.011975914239883423,511.4347305500378,-82.94631589429481,-490.3842047103023,0.12286710739135742,1416.19,2099.98,2.44,269.5,1760.46,729.13,7.46,180.37,1760.57,744.75,7.5,180.37,1760.67,760.38,7.46,180.37,718.52,2094.67,7.45,90.06,702.91,2094.68,7.48,90.06,529.05,2094.57,8.52,89.67,513.53,2094.48,8.56,89.67,295.93,2095.55,8.46,92.82,248.53,2100.41,7.5,96.98,1366.54,2170.3,2.08,179.51,226.2,2103.14,8.8,99.79,205.91,2107.2,8.46,102.2,,,,,1e,9,1568296430
60251,60251,1931.424955091152,1568298405.4766965,1931.424955091152,-98.13287045313268,6.224784940989211,553.1750610769343,88.74006931924923,760.4137488041368,0.9987257122993468,530.5664390437177,114.50336010232937,789.0983896768802,0.9993686079978944,530.0897608563847,53.3224786394246,786.8959690928264,0.9984429478645324,511.1558668822999,165.59816068997182,762.8970046112195,0.9674942493438721,484.0132372409645,15.271218046438127,753.9197496579291,0.8244359493255615,453.2238451044426,240.62332451849807,590.1036908043511,0.9246934056282043,438.05577582623664,-43.860184181004506,597.7423193922814,0.9584919810295104,589.2224599798418,320.558198214616,373.0465826950949,0.9376993179321288,561.9863906493824,-117.0411947136969,361.77342298599365,0.8976678252220154,784.3368036441867,350.2748155204837,207.20372480947518,0.9085881114006042,777.9018526052997,-133.6325529035572,220.9232110922089,0.9430886507034302,446.63214730021036,208.8711633306096,156.12903884895272,0.2175549566745758,453.3501341564726,-11.010870196923321,150.02813416320038,0.4695176780223846,780.1108930490947,241.5779498454617,62.538372531515215,0.01870056986808777,858.5571104402417,-34.67050492789204,138.1985160383973,0.3009141683578491,271.64063926745627,317.3730720621885,-772.3831680860327,0.006962686777114868,510.057223604678,-83.90444337500773,-494.2356947007838,0.062058746814727776,1416.1425853268115,2099.98,2.3077380168958896,269.52245958203656,1760.46,728.9428368163623,7.462495509115173,180.37,1760.5675044908846,744.5653323254772,7.482531436193796,180.37,1760.667504490885,760.1928368163623,7.467486527345517,180.37,718.7046676745227,2094.67,7.440017963539313,90.06,703.0971631836377,2094.68,7.48,90.06,529.2621182747897,2094.57,8.52,89.67,513.7421182747896,2094.48,8.56,89.67,296.1421182747896,2095.5400179635394,8.477468563806204,92.82,248.71466767452273,2100.3875404179635,7.490017963539313,96.98,1366.54,2170.240107781236,2.144883236994469,179.51,226.41710929302,2103.115044908848,8.792513472654484,99.6402694530897,206.1171272565593,2107.1550808359266,8.479964072921376,102.2,,,,,1e,9,1568296430
60252,60252,1931.450085904847,1568298405.5103846,1931.450085904847,,4.3894443637429665,549.1982360548865,89.67650178304005,759.9776875439893,0.9986646771430968,530.4003440651363,114.53825814518451,789.4660301013188,0.9993658065795898,530.2930613471234,53.55286648288782,787.0052345843883,0.9985449910163879,510.7094788384659,165.18193651603104,763.8047613487904,0.9679772853851318,483.83523726676816,14.918193961002526,753.1069663470378,0.8668410778045654,461.75713847726564,235.0234139588393,580.2296394895626,0.3367519378662109,441.3098589818534,-42.749084242664225,582.6408058613406,0.4543328881263733,584.8708505916521,312.09488579460105,383.35190727943717,0.8577332496643066,552.6259708242549,-118.68245967158887,354.17767398637017,0.8922539949417114,765.1269991069985,347.3290749319191,207.68122732640148,0.6900755763053894,781.3360963755835,-135.47396802642157,223.5331277428711,0.9691533446311952,432.5514735425031,204.38698563698318,167.5842831533981,0.3086015284061432,442.1474402177826,-4.615451277642934,184.66549953914452,0.738788902759552,799.1421908294037,240.7548364732715,68.91592737036905,0.028301745653152462,859.3605504985153,-33.908679057830305,136.49382351511395,0.3476056754589081,276.08438625308696,332.2296900305352,-766.6872031647653,0.006478726863861084,508.08343174202963,-82.87810708083943,-493.1346103457527,0.09269779920578004,1416.0948367807916,2099.98,2.1745447043128703,269.54507731436195,1760.46,728.7543557136502,7.465008590484662,180.37,1760.5649914095154,744.3793643041348,7.464939866607361,180.37,1760.6649914095153,760.0043557136502,7.475025771453987,180.37,718.8906356958652,2094.67,7.429965638061348,90.06,703.2856442863498,2094.68,7.48,90.06,529.4757301911964,2094.57,8.52,89.67,513.9557301911964,2094.48,8.56,89.67,296.35573019119636,2095.5299656380616,8.49506013339264,92.82,248.90063569586502,2100.3649226856382,7.479965638061349,96.98,1366.54,2170.179793828368,2.2102233526012336,179.51,226.63574737216567,2103.0899140951533,8.784974228546012,99.48948457092024,206.32571301022702,2107.109845371276,8.500068723877302,102.2,,,,,1e,9,1568296430
60253,60253,1931.4751477100933,1568298405.5439801,1931.4751477100933,,4.807181148166339,552.9718986376705,90.52157458624252,760.3477474938579,0.9986876845359802,534.1687238122472,114.57923897703805,790.3315152416777,0.9993702173233032,530.4708565628997,54.141494365514966,786.7026658162667,0.9986138939857484,503.8923443656594,165.60361491578334,760.9051315822047,0.963580846786499,484.1759548947116,15.225092169286293,752.3011682600453,0.8633763790130615,452.7844413746289,240.8547269238963,591.7171077834856,0.9161666631698608,437.1804191758751,-42.703271282582456,598.3464601229957,0.9596005082130432,588.7012545341603,318.06391116653174,376.1016094584113,0.95481938123703,549.4545052424231,-119.5822641499195,352.8643589040045,0.8635705709457397,779.5664879884973,351.37989442793565,207.57031684205663,0.9087415933609008,776.0712074749641,-134.2528339622475,216.2494664111951,0.9494117498397828,440.39296781424207,208.843991597611,154.98891773103372,0.1749095618724823,442.2813203940359,-10.599207655413805,175.7833162767628,0.5109537243843079,806.5346816619552,244.4377734199113,77.15505598146098,0.015135884284973145,858.0231792305474,-34.32704662377418,139.14353654673664,0.22695380449295044,270.25748278224626,344.39581189649635,-773.6719255912743,0.007283180952072142,508.95354650360605,-83.65346218577689,-496.1598254796932,0.08519530296325684,1416.0472193508228,2099.98,2.0417171365055005,269.56763293908404,1760.46,728.5663921743002,7.46751477100933,180.37,1760.5624852289907,744.1939069453094,7.447396602934687,180.37,1760.6624852289908,759.8163921743002,7.482544313027991,180.37,719.0760930546904,2094.67,7.419940915962679,90.06,703.4736078256998,2094.68,7.48,90.06,529.688755535793,2094.57,8.52,89.67,514.168755535793,2094.48,8.56,89.67,296.56875553579306,2095.5199409159627,8.512603397065309,92.82,249.08609305469045,2100.3423670609163,7.469940915962678,96.98,1366.54,2170.1196454957762,2.2753840462425843,179.51,226.8537850778117,2103.0648522899064,8.77745568697201,99.33911373944021,206.53372599377442,2107.064734121832,8.52011816807464,102.2,,,,,1e,9,1568296430
