,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,conflict_1e_x,conflict_1e_y,conflict_1e_speed,conflict_1e_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,scenario,participant_id,source_file
44143,44143,1398.765268084608,1568816113.6478822,1398.765268084608,-88.69983421550505,589.0180923367961,85.28834472183908,624.2309872614932,0.996184229850769,567.9340533532953,111.9548100094588,656.5409517089472,0.9979918003082277,578.9516329881743,57.76192876421939,663.9531851222957,0.9782734513282776,539.9153979163926,148.0852085682693,665.4542252997592,0.9289180636405944,552.1784837733812,17.489544091808494,656.2554642178528,0.616357147693634,461.30939032832566,179.28220121309283,522.4775589489943,0.9550201892852784,497.89832589750483,-16.27763474305712,542.3726384236642,0.9223202466964722,603.1998210437614,264.69152127493663,397.092784849717,0.10345694422721864,562.1947806759317,-84.80388281482287,392.1210403110524,0.3161054849624634,802.8952772175569,318.8520297752488,272.35135003806704,0.6630164980888367,741.8179931813138,-168.72413355163403,266.04662919039185,0.07291147112846375,412.5383235760679,134.69716602740328,182.91107291755725,0.7904860377311707,412.02661728519325,-29.500485627865647,176.96489338177742,0.8794522285461426,615.5190274899618,126.1026949854652,13.117327440865807,0.6800749897956848,736.3251165258714,-39.37557984773442,96.58159713117011,0.3594928681850433,574.1223893259757,153.55780793465064,-380.3364512341633,0.031912028789520264,613.1516203522831,-95.813443724551,-381.3572389412533,0.006145209074020386,1443.2158740446466,2099.72,4.19,270.32874127614707,1950.2343591445497,2092.67,8.883053616921583,90.16,1635.7486714853244,2094.3834731915395,8.066526808460791,90.57,1238.4725642514811,2096.75,7.686946383078418,89.86,1223.9625642514811,2096.7165268084605,7.646107233843164,89.86,975.2308859530104,2095.526526808461,8.883473191539212,89.4,1760.0565268084606,1386.7925872385288,9.024312340774463,179.85,1759.85,1466.5082748977545,8.303892766156835,179.85,1759.8065268084606,1483.0017480892934,8.341375318451076,179.85,765.0190910599417,2094.62,7.776107233843164,90.06,446.6722612714615,2094.0965268084606,10.266526808460789,89.67,317.74172510224565,2094.473892766157,8.312634042303955,92.82,,,,,,,,,1e,20,1568814665
44144,44144,1398.8,1568816113.6818163,1398.8,-92.78854948742044,588.8324645451852,84.8164789687828,625.0505154977095,0.9960861206054688,571.0504221743553,111.8759933452424,658.6574798954753,0.9978084564208984,589.3803644328431,57.550323743079204,669.2157566182018,0.9742558002471924,540.7107063629375,147.66807072740264,667.4406371141996,0.9186442494392396,552.0241000072834,16.70081557685261,656.0113567251191,0.5848721861839294,473.9373954614119,178.66253094833831,528.1604229816332,0.9553371071815492,502.3090673088896,-16.706920196774604,542.8549884274379,0.9207611083984376,605.3026621160564,265.52833321880934,399.3084074987197,0.08860090374946594,569.781861943369,-86.68389967758995,394.2691362678162,0.2322964370250702,801.1473495581952,318.4745361160442,271.20937333405305,0.6808477640151978,777.1901497766532,-178.69831888305714,256.3116369426232,0.8527054786682129,413.5951251270341,137.83463313976029,188.06345780897442,0.7944916486740112,421.44321427128295,-25.11898050779361,184.90929197474446,0.8888218998908997,620.0853410707929,122.53966219485541,4.529376559562024,0.8291014432907104,619.2933861329401,-43.683639599898044,7.6241400293551465,0.4768820405006409,571.6334631076143,156.3842320584954,-389.3533414114376,0.07660189270973206,553.8958612231204,-115.06636646350452,-451.02463383867996,0.005696207284927368,1443.07,2099.72,4.19,270.36,1950.54,2092.67,8.89,90.16,1636.03,2094.38,8.07,90.57,1238.74,2096.75,7.68,89.86,1224.23,2096.72,7.66,89.86,975.54,2095.53,8.88,89.4,1760.06,1386.48,9.0,179.85,1759.85,1466.22,8.29,179.85,1759.81,1482.71,8.39,179.85,765.29,2094.62,7.79,90.06,447.03,2094.1,10.27,89.67,318.03,2094.46,8.33,92.82,,,,,,,,,1e,20,1568814665
44145,44145,1398.8336990081893,1568816113.7156453,1398.8336990081893,-87.31608361052622,580.2801842561241,84.7344241625354,623.1994662071072,0.9959449172019958,570.5371895188397,111.52484795483595,660.1218328662649,0.9980665445327759,586.4477439625949,57.97573176201546,668.5710557714312,0.9743856191635132,538.4030449489413,146.31024793428742,664.2475560242383,0.946665346622467,548.3956256403799,16.274727912811375,654.4283672387453,0.5952324867248535,480.60734917731963,177.0759152307357,529.6829790503131,0.9589100480079652,505.71333180353423,-15.615794614300391,547.0191806714648,0.9324551820755004,615.7349051365886,270.2279612640231,393.7239399606916,0.9709280729293824,562.0534422664592,-88.18072425149231,388.1373733196988,0.3772948682308197,802.7391292932265,316.3121660806696,267.29346911210314,0.7474458813667297,781.4292632516226,-179.65083701846302,255.1932940963553,0.8846970796585083,431.48684619532,134.12871725721635,170.06300042643582,0.031160920858383182,412.45530340180125,-29.484938345539387,177.79491477186014,0.8818343877792358,601.7893259525936,116.63595112903508,-9.306319826595768,0.7439490556716919,623.3048447503606,-40.78773000415626,11.802979611030624,0.455552875995636,566.6131325037436,156.8987471970969,-403.45949656206176,0.0380646288394928,486.65853883777913,-128.8768629842091,-528.0092676438134,0.006615310907363893,1442.9284641656054,2099.7233699008193,4.183260198362177,270.39369900818906,1950.8399211728834,2092.666630099181,8.883260198362178,90.16,1636.3029619663318,2094.376630099181,8.083479603275645,90.57,1238.9961124622373,2096.75,7.649670892629797,89.86,1224.4861124622373,2096.72,7.6633699008189105,89.86,975.8365512720642,2095.5333699008193,8.876630099181089,89.4,1760.06,1386.1767089262978,8.996630099181088,179.85,1759.85,1465.9369283312114,8.316959206551289,179.85,1759.81,1482.4302982320307,8.34282138853524,179.85,765.5528522638751,2094.616630099181,7.7798902975432656,90.06,447.3770997843478,2094.1,10.276739801637822,89.67,318.3097017679696,2094.443150495905,8.323260198362178,92.84358930573238,,,,,,,,,1e,20,1568814665
44146,44146,1398.8666180577984,1568816113.7486913,1398.8666180577984,-88.75271436199337,590.9464685919909,83.19366121225418,630.0143540614306,0.996007800102234,569.6437069908119,110.02367166355751,661.8398667472837,0.9982472658157348,585.7693565912111,57.12141143593405,669.4178801683217,0.9722529649734496,540.2229927443858,146.48834058315452,668.0575239739699,0.9424022436141968,553.7818508410795,16.548151603610645,659.0688656634345,0.6008262038230896,473.5155334737223,179.88640821400588,532.2665581229909,0.9834279417991638,501.36698865633406,-16.85500836619314,546.4134289931144,0.9269572496414183,608.534395117696,267.3550611636877,395.6137905873432,0.09489190578460692,554.0665840109926,-90.44502865842705,378.42043697295975,0.2732864022254944,805.302085497495,316.79008234404574,262.2753921334117,0.7879114151000977,765.4634781740068,-172.4823129865208,256.9862517504233,0.5418723225593567,388.53634402355345,138.39315071076535,167.93254744628098,0.7290813326835632,422.14692404486846,-29.62033313459795,183.21594248211102,0.8441938161849976,594.8495260714593,116.93347126708643,-20.617434110253754,0.7802397608757019,715.4995748525702,-40.458097362923105,81.9481231224273,0.32885509729385376,558.0802441053225,153.08368429724266,-415.5361658076946,0.03078731894493103,449.79416956472375,-137.0129529264363,-573.8566704842244,0.0076410770416259766,1442.790204157246,2099.72666180578,4.176676388440283,270.4266180577986,1951.1329007144072,2092.66333819422,8.876676388440284,90.16,1636.5696062681686,2094.37333819422,8.096647223119435,90.57,1239.2462972392693,2096.75,7.620043747981271,89.86,1224.7362972392693,2096.72,7.6666618057798575,89.86,976.1262389086277,2095.53666180578,8.87333819422014,89.4,1760.06,1385.8804374798126,8.993338194220142,179.85,1759.85,1465.6604083144919,8.343294446238867,179.85,1759.81,1482.1570701202716,8.296734719081979,179.85,765.809620850829,2094.61333819422,7.770014582660424,90.06,447.7161659953254,2094.1,10.283323611559716,89.67,318.58292987972834,2094.4266909711005,8.316676388440285,92.866632640459,,,,,,,,,1e,20,1568814665
44147,44147,1398.8666180577984,1568816113.7486913,1398.8666180577984,,584.3249413992742,83.52967200597962,626.1204350539398,0.997738242149353,576.2690591684852,109.0937787293502,667.4013074648155,0.9984405636787416,586.0982653195972,56.784992803587635,668.757383745178,0.9781240820884703,548.3186467452176,146.20450333233313,672.7943425865284,0.9230828285217284,550.2483862692038,13.393237656479002,660.6291883725871,0.6086264848709106,474.54184050867,177.74884619989518,529.5770049939316,0.942719042301178,502.33233896743513,-19.71098568062256,543.7640453069587,0.9113612174987792,608.0617341347928,271.14563915533864,388.52849301069404,0.9773337244987488,554.3960294776056,-88.75650852298736,384.97787435590936,0.4059593081474304,794.5631628033298,321.75425630621544,265.96489394382803,0.8173907399177551,784.6777764454332,-179.20797073668973,255.3121340117441,0.8220683336257935,413.6315487589712,126.79113381573828,148.74041161581698,0.39652174711227417,413.97528353853477,-37.11130646071837,146.07362587029604,0.5352867841720581,575.3949702659952,114.836191904543,-40.03877527319358,0.6097779273986816,708.2054194634649,-40.81068328005506,34.57420475482223,0.0994572937488556,553.4049283618991,150.60748460269923,-419.2067741158519,0.01833716034889221,674.6282017717867,-76.26660184165512,-312.26138339065665,0.006312966346740723,1442.790204157246,2099.72666180578,4.176676388440283,270.4266180577986,1951.1329007144072,2092.66333819422,8.876676388440284,90.16,1636.5696062681686,2094.37333819422,8.096647223119435,90.57,1239.2462972392693,2096.75,7.620043747981271,89.86,1224.7362972392693,2096.72,7.6666618057798575,89.86,976.1262389086277,2095.53666180578,8.87333819422014,89.4,1760.06,1385.8804374798126,8.993338194220142,179.85,1759.85,1465.6604083144919,8.343294446238867,179.85,1759.81,1482.1570701202716,8.296734719081979,179.85,765.809620850829,2094.61333819422,7.770014582660424,90.06,447.7161659953254,2094.1,10.283323611559716,89.67,318.58292987972834,2094.4266909711005,8.316676388440285,92.866632640459,,,,,,,,,1e,20,1568814665
44148,44148,1398.9,1568816113.782202,1398.9,-88.75271436199337,583.0314572244206,80.17982901295646,627.5496814017238,0.9956189393997192,577.6162527456331,109.13705268149893,665.9388651788788,0.9982189536094666,585.1615130469219,54.91806644055061,670.52255815842,0.9712733030319214,549.8649932497513,145.61290786841732,671.6906245584588,0.9438108205795288,540.7508269681681,13.182179487184223,654.2256928645983,0.591408371925354,473.6615772822034,178.33653832825425,531.1979459729655,0.9822608232498168,500.95183413846377,-15.709631812249118,546.3518282573066,0.941437840461731,601.7208917308727,268.3214787199818,393.96476808853333,0.1067291498184204,548.0406681708217,-89.12382069591554,379.1789213355297,0.3710589408874512,782.3704629528462,320.9200451599545,271.00288730315003,0.13757124543190002,787.1607239640705,-178.52963111044627,255.23360460559368,0.8487177491188049,392.2816031992398,139.37696180399368,174.33738938013542,0.7884833216667175,424.36119089332175,-27.4309887206572,187.6905770320071,0.8755332231521606,597.1241763447588,118.09768363925016,-25.92956564703755,0.8156085014343262,665.047690437842,-37.82359123252592,30.22840926669793,0.5080854296684265,549.3054602352217,152.9029122291728,-417.49107285080663,0.12165138125419615,561.1389438523612,-104.44001508553013,-443.9235038994165,0.004130870103836061,1442.65,2099.73,4.17,270.46,1951.43,2092.66,8.87,90.16,1636.84,2094.37,8.11,90.57,1239.5,2096.75,7.59,89.86,1224.99,2096.72,7.67,89.86,976.42,2095.54,8.87,89.4,1760.06,1385.58,8.99,179.85,1759.85,1465.38,8.37,179.85,1759.81,1481.88,8.25,179.85,766.07,2094.61,7.76,90.06,448.06,2094.1,10.29,89.67,318.86,2094.41,8.31,92.89,,,,,,,,,1e,20,1568814665
44149,44149,1398.9338171084478,1568816113.8163452,1398.9338171084478,-89.42139853078268,583.8829119741878,81.55541645891584,625.8785380260722,0.9948229789733888,572.8500297063068,110.16456312154764,661.9584080873107,0.9983243942260742,586.0845808764673,55.686251839396455,668.7714025135231,0.97138774394989,541.6245245641685,147.35890560252759,667.7785501922363,0.9481357932090759,542.8000407734623,15.440811563205912,653.222660506432,0.5909126996994019,480.41086248948267,175.70302419283604,530.1975685861811,0.9512265920639038,505.7798088209037,-13.275215560887242,547.0368691247977,0.942916989326477,607.6260628172722,269.65485193104035,383.2832751978697,0.7996684908866882,551.4957491859657,-88.05111295191801,378.12732095079775,0.3677840828895569,799.6838674358188,317.1447764977506,267.78142740504336,0.7801203727722168,766.3513201627733,-172.6515071757423,258.40981809801,0.5186523795127869,407.9675927291928,131.17071088057185,153.01371707603667,0.3746046423912048,429.4237850242382,-17.820594847227333,192.3041224494672,0.21623048186302185,577.2410697800999,111.37240739227327,-35.346603864730724,0.6813701987266539,628.4076629090664,-37.956515575039134,9.704496485435754,0.2070874869823456,551.4719491553266,153.90572076036796,-415.52488130548124,0.05989989638328552,661.1749490317885,-98.946225479008,-328.14031096217377,0.00454080104827881,1442.5113498553635,2099.73,4.166618289155205,270.49043539760316,1951.727590554342,2092.66,8.839564602396843,90.16,1637.1139185784286,2094.37,8.106618289155204,90.57,1239.7603917350493,2096.75,7.620435397603155,89.86,1225.2503917350493,2096.72,7.6564731566208195,89.86,976.7209722651868,2095.5433817108446,8.88352684337918,89.4,1760.06,1385.2756460239684,8.99,179.85,1759.85,1465.0993179998818,8.37676342168959,179.85,1759.81,1481.5993179998818,8.273671975913565,179.85,766.333773445894,2094.61,7.783671975913565,90.06,448.4083162170138,2094.1033817108446,10.29,89.67,319.140682000118,2094.393091445776,8.313381710844796,92.93734395182713,,,,,,,,,1e,20,1568814665
44150,44150,1398.9338171084478,1568816113.8163452,1398.9338171084478,,579.2549761486507,80.83130472409442,624.5858492366201,0.9967170953750608,573.6896485522199,109.41746238955729,664.6113115666794,0.9984549283981324,585.8564617703266,53.82067148507257,669.1893467389331,0.9728020429611206,543.9874955110317,148.87317297484017,671.4912392333238,0.9197706580162048,557.3169440742155,12.337539881916337,664.0890448103893,0.5654074549674988,471.6809011246415,175.34782217412547,526.2381375094783,0.9231795072555542,505.56795476082686,-15.120453922514775,548.226100852519,0.9024399518966676,616.9033861537522,269.86333686917453,390.8218115539229,0.9857369661331176,560.9725869945746,-85.75304506872574,394.1597825435433,0.4357710480690001,802.81992836602,319.51766736283747,273.8785308141144,0.8367016911506653,766.8803600045458,-172.19766813720162,262.3987653350797,0.4265689849853516,412.9717101903033,125.78539702435684,135.22683593501742,0.4859198033809662,423.12641270859046,-28.113305286884962,174.2774680571374,0.8143608570098877,618.3143576006605,115.27876230625988,-9.628513942023515,0.4955227971076965,709.1155484266652,-36.90902347919227,37.82743128331998,0.142539381980896,547.7536407615491,155.13932710009954,-423.6095190362648,0.026667028665542603,494.44350312811287,-126.80364249512466,-520.657389213006,0.004020363092422485,1442.5113498553635,2099.73,4.166618289155205,270.49043539760316,1951.727590554342,2092.66,8.839564602396843,90.16,1637.1139185784286,2094.37,8.106618289155204,90.57,1239.7603917350493,2096.75,7.620435397603155,89.86,1225.2503917350493,2096.72,7.6564731566208195,89.86,976.7209722651868,2095.5433817108446,8.88352684337918,89.4,1760.06,1385.2756460239684,8.99,179.85,1759.85,1465.0993179998818,8.37676342168959,179.85,1759.81,1481.5993179998818,8.273671975913565,179.85,766.333773445894,2094.61,7.783671975913565,90.06,448.4083162170138,2094.1033817108446,10.29,89.67,319.140682000118,2094.393091445776,8.313381710844796,92.93734395182713,,,,,,,,,1e,20,1568814665
44151,44151,1398.9667040557295,1568816113.8495493,1398.9667040557295,,579.4152045006513,83.17137773055535,623.6827979861648,0.9951506853103638,575.6975645300354,110.42434112643207,661.0548921600057,0.9979308843612672,582.2366412734467,57.46047538202551,666.1092149304197,0.9758929014205932,550.1225119430346,143.0835037066065,670.4121488993169,0.9489505290985109,557.6763596187992,17.058220183468894,657.306060778106,0.670884907245636,472.70199853302734,180.00967616151917,532.4609446325081,0.9849292039871216,502.5383154033468,-15.621440300850804,544.2004760019687,0.9447915554046632,608.062033810157,267.67525320866537,396.09309368776843,0.11244967579841614,554.2757832179193,-86.36461474219604,381.50026946438584,0.370242714881897,794.4347570543503,317.73124937218137,280.58593352046336,0.14279451966285706,767.0535486206129,-170.02504135232024,263.5712456776481,0.4739876687526703,385.14798174588265,144.9616836735149,161.440244989968,0.8271310925483704,428.68936229801636,-16.026939764790487,188.8633578579351,0.2833860516548157,557.5781197543796,117.3020523880417,-55.13140599462787,0.7580409049987793,651.9298132057452,-34.81911179209653,17.837179050533702,0.1796967387199402,544.7278020110282,154.21561473075022,-425.0818120893972,0.10871988534927368,709.5952203192555,-69.71528605754085,-273.6309633585235,0.011066406965255736,1442.3765133715094,2099.73,4.163329594427058,270.5200336501565,1952.016995690419,2092.66,8.80996634984352,90.16,1637.3803028514085,2094.37,8.103329594427057,90.57,1240.0136212291166,2096.75,7.6500336501564785,89.86,1225.5036212291166,2096.72,7.6433183777082325,89.86,977.0136660959918,2095.546670405573,8.896681622291768,89.4,1760.06,1384.9796634984355,8.99,179.85,1759.85,1464.8263563374458,8.383340811145885,179.85,1759.81,1481.3263563374458,8.296692839010595,179.85,766.5902916346895,2094.61,7.806692839010594,90.06,448.74705177401296,2094.106670405573,10.29,89.67,319.4136436625542,2094.3766479721357,8.316670405572943,92.98338567802121,,,,,,,,,1e,20,1568814665
44152,44152,1399.0,1568816113.8831663,1399.0,-108.02423243937142,585.4392375147545,85.02456068333099,626.3161846042573,0.995680332183838,575.9497992289607,110.57903728313852,660.5917150101344,0.998015820980072,586.7530170447719,58.353079630750074,666.844452827826,0.9806619882583618,549.6379068886777,145.03890823687354,672.2048788277434,0.9376482963562012,553.9897370236973,18.257235051816853,654.4702609790247,0.6701976656913757,468.54791929876916,181.02619805791042,530.8680821310488,0.9860173463821412,498.37461129383865,-14.133952119059975,541.4625439257184,0.9457279443740844,602.763925628079,264.63001617106187,394.7806217097219,0.15095505118370056,553.9424196218721,-88.17283758311133,377.93859263309446,0.3523884117603302,798.8816356250754,317.3637692842885,266.7723622484509,0.7917953729629517,775.693507066338,-167.20587128178013,270.183288552022,0.5285326242446899,375.1406220832987,147.0600599031448,163.92915731554405,0.8265154361724854,432.51331393415467,-11.77451874333293,198.38880219806475,0.2496827244758606,553.9420444137332,118.32283207553415,-49.930547918007726,0.806528627872467,616.8777524709291,-35.86889078772397,3.4393516363456063,0.17070245742797852,551.2628111848297,150.91905832955152,-422.25063313589567,0.06156870722770691,793.0095260690724,-49.749516488988206,-179.07802176807797,0.010678589344024658,1442.24,2099.73,4.16,270.55,1952.31,2092.66,8.78,90.16,1637.65,2094.37,8.1,90.57,1240.27,2096.75,7.68,89.86,1225.76,2096.72,7.63,89.86,977.31,2095.55,8.91,89.4,1760.06,1384.68,8.99,179.85,1759.85,1464.55,8.39,179.85,1759.81,1481.05,8.32,179.85,766.85,2094.61,7.83,90.06,449.09,2094.11,10.29,89.67,319.69,2094.36,8.32,93.03,,,,,,,,,1e,20,1568814665
