,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,conflict_1g_x,conflict_1g_y,conflict_1g_speed,conflict_1g_angle,scenario,participant_id,source_file
29651,29651,903.3323120304353,1568972704.7226017,903.3323120304353,-68.71899575161629,676.4250284634812,22.365069847790927,608.9707102475952,0.9974462985992432,678.0722545354554,43.52233025799387,649.3888254129803,0.9921647310256958,698.3296694099903,-7.566126774127937,646.8374701436114,0.9761829376220704,651.509111988107,80.90402026412127,672.2332051880593,0.7411359548568726,713.5710646414377,-47.293933297786296,680.3079729352805,0.2278878688812256,546.22530854699,131.45745643924874,574.4186773536478,0.7645610570907593,559.707180160037,-84.01099866153048,570.3492134721166,0.7544853687286377,674.1819965935863,214.24803943756734,366.0139791330421,0.9314522743225098,622.202549769116,-196.419939157193,372.8974525859034,0.9895046949386596,822.7764880628005,222.29657114209667,209.15841527842858,0.9742002487182616,759.8661265978886,-226.065304183891,183.2520368298747,0.7519794702529907,425.3589698296679,125.60916353531204,155.0161739070872,0.5106844902038574,446.34567207494933,-92.61265359711487,186.0969667482122,0.6592639088630676,746.9200515737967,149.05611916319958,49.11686208804818,0.40260964632034296,830.5604286467868,-105.39250640775072,101.98828878514529,0.5777440667152405,545.6263050219043,146.62169847088794,-469.795439651314,0.02105808258056641,603.7274193599197,-150.29761431528198,-408.5258974562667,0.010711640119552612,809.5782725534726,2099.5432312030434,8.096768796956452,270.59200563956614,1787.3484962434839,2093.11,8.087075187825807,90.16,1666.3049586495706,2094.0767687969565,8.24,90.57,1649.904958649571,2094.2467687969565,8.192924812174194,90.57,1761.02,1017.5408909747774,7.399693609130645,179.85,1760.98,1033.084122177821,7.3432312030435485,179.85,1760.4932312030435,1218.4032030052126,6.3664624060870985,179.85,1325.041421055658,2096.96,8.446156015217742,89.86,843.8844285686902,2099.18,7.67,270.06,1g,24,1568971732
29652,29652,903.3662380692273,1568972704.756364,903.3662380692273,-121.1478228671736,682.5100854119535,20.71327922065285,612.9873604777729,0.9979203939437866,684.0361807161044,39.58791261874407,653.4146396877825,0.9930365085601808,697.4048466776926,-10.20304286757838,648.8289428221942,0.9759651422500608,647.5524147693417,78.98976076369514,670.8732635425821,0.8306223750114441,717.0979901494659,-46.50403028013457,681.5471371884663,0.2168821692466736,535.7654330858529,129.6226673530804,569.948480190496,0.7082138657569885,558.0528055662343,-81.85655867788401,560.4605122575637,0.2818740904331207,674.8380670352632,213.23277496518426,367.96943123079717,0.9516704082489014,616.4484074997663,-196.18766540284543,373.45537411903916,0.991573691368103,821.0177230328818,225.740311279157,208.58751982373383,0.9771350622177124,758.2870794223811,-225.3201231123217,182.02703517492475,0.6995471119880676,395.9029500296047,122.30115656969464,145.42707108686702,0.5910579562187195,456.0629447097921,-94.75217322829387,192.5458436757141,0.65886390209198,730.2322040237416,142.68284343332002,33.26924645900044,0.4273506104946137,831.0489806380461,-113.63176385126046,106.05951582237631,0.5704130530357361,534.840107735536,153.8548486828806,-471.8361417778192,0.029983490705490112,756.9101114802481,-96.88026522999634,-252.949269703418,0.007905244827270508,809.3034716392598,2099.546623806923,8.093376193077281,270.63610948999536,1787.6199045538174,2093.11,8.073504772309121,90.16,1666.583152167663,2094.0733761930774,8.24,90.57,1650.1831521676634,2094.243376193077,8.206495227690878,90.57,1761.02,1017.2898382877188,7.40987142076816,179.85,1760.98,1032.8364620946413,7.346623806922718,179.85,1760.4966238069226,1218.186076356946,6.37324761384544,179.85,1325.3263997815084,2096.96,8.463119034613598,89.86,843.6265906738735,2099.18,7.67,270.06,1g,24,1568971732
29653,29653,903.4,1568972704.7899632,903.4,-76.85456631518271,679.0056966429871,13.685380509924276,611.9642495861533,0.9965897798538208,677.0307271892315,36.61805708208037,651.5134271869226,0.9921276569366456,696.5732877041847,-16.59332125623563,650.0384942153282,0.9715620875358582,636.1389564141842,80.45521465505877,661.5927604836063,0.6741543412208557,713.5216914334137,-50.612316421164856,680.1683663734739,0.22169724106788635,548.6340274425892,132.05425443444548,563.5569932413882,0.4492216408252716,561.0490674515212,-81.48399958616625,555.4312869663697,0.32647258043289185,675.2652656835718,214.09515251899768,367.37893532618085,0.9453021287918092,617.1328555981672,-200.30489356301285,370.69302622616766,0.9913572072982788,820.3595574610426,226.53061189860256,209.8152882846336,0.9675221443176272,755.0931269592521,-226.04080300449849,178.2496620504462,0.6827311515808105,428.8811737168568,118.53564601822987,165.79118595870662,0.5323120951652527,450.0524034823657,-91.64867312855877,194.1719706212129,0.660502016544342,727.6794494195677,141.52494546246726,29.19809425628054,0.3755553066730499,766.9438194770145,-122.82491288015696,70.48913546984775,0.34924328327178955,504.8955490285282,155.01765933632674,-502.8581380047744,0.020557552576065063,822.1724103182266,-68.77825625716629,-156.18989943928062,0.003857731819152832,809.03,2099.55,8.09,270.68,1787.89,2093.11,8.06,90.16,1666.86,2094.07,8.24,90.57,1650.46,2094.24,8.22,90.57,1761.02,1017.04,7.42,179.85,1760.98,1032.59,7.35,179.85,1760.5,1217.97,6.38,179.85,1325.61,2096.96,8.48,89.86,843.37,2099.18,7.67,270.06,1g,24,1568971732
29654,29654,903.4332556658728,1568972704.8235836,903.4332556658728,-121.4376898652575,680.8572625781262,6.397140950510591,615.7822350267545,0.9969660639762878,689.5000003910184,31.79431855132681,658.7844259897428,0.991470456123352,702.3606574979199,-22.534912748391623,654.7063671156523,0.972485899925232,649.6333370380405,78.1389140124671,666.4397190435303,0.6876440048217773,716.9492241039659,-53.72861489020489,681.0253033926294,0.19423875212669373,544.3879999545196,127.92070584528842,569.6772708078154,0.7129934430122375,562.6835233025811,-95.98938481430055,561.9540229822966,0.8811548948287964,670.0176163025283,222.11949258341664,380.0592462410346,0.8411343097686768,627.9518430815466,-198.13112458891052,378.3570995106435,0.8020738959312439,820.9736696765852,226.4806517163025,227.43600706535702,0.7945110201835632,757.7042139176027,-222.440366642397,180.71136907632308,0.6755200624465942,403.40532234008697,116.53285898091494,150.6313608084029,0.4665906131267548,450.0006600614942,-82.19352260715796,192.94460189881343,0.6171138882637024,685.9785026276093,139.39970748444964,-4.191996196029861,0.3502513766288757,680.8929253731935,-123.59034011652001,28.252822726297666,0.4388925731182097,464.70360462969256,143.79442503796753,-551.0274275470937,0.03088343143463135,826.6839948443512,-80.6729173395102,-137.96193733634806,0.006828516721725464,808.7606291064308,2099.556651133175,8.086674433412727,270.7564880315073,1788.1626964601567,2093.11,8.076627832936362,90.16,1667.1326964601562,2094.07,8.216721033889094,90.57,1650.7360220267435,2094.2366744334126,8.246604532698179,90.57,1761.02,1016.7972336391292,7.393395467301822,179.85,1760.98,1032.3439080725418,7.366627832936361,179.85,1760.5,1217.7571637384144,6.366697733650911,179.85,1325.8893475933307,2096.96,8.440093200952733,89.86,843.11393137278,2099.18,7.67,270.06,1g,24,1568971732
29655,29655,903.4665424616182,1568972704.8572354,903.4665424616182,-121.53944252577062,689.1393926463589,6.9399850294145935,618.55698338622,0.9963111877441406,686.9781454291207,31.33862618305556,657.449881643656,0.9914945363998412,702.6301566375854,-22.846151776192013,655.3683724515762,0.973129153251648,642.1062975325548,77.6120701634025,663.7001742334876,0.6943028569221497,713.1701220874553,-55.22407631001978,680.5282947041878,0.20577788352966309,542.8752456755817,126.60524397826227,572.4205346775111,0.7059974670410156,562.3986603354074,-98.69972612612976,563.581305038288,0.9000916481018066,671.1441556778686,221.35278037752155,377.445527959649,0.8238660097122192,632.1328294628353,-204.9794224291232,373.0171564236388,0.9820544719696044,827.1693319362703,230.01267158463486,216.76768872950288,0.9530177712440492,760.8812428673738,-221.7519866760182,175.2048623210826,0.757121205329895,409.0560071038463,117.5063677505293,165.62328338248247,0.4033590853214264,466.3364579738269,-79.07694859360565,203.01432481118482,0.5562558174133301,681.9312840353041,138.91332695785127,-6.755141978953192,0.2784391641616821,662.4127707543581,-123.43818222528245,32.54257841057918,0.4497790932655335,428.26287342988684,133.9930918562487,-591.3633135207697,0.02952221035957336,728.3481266984392,-100.15950511657871,-191.9389855134416,0.009246230125427246,808.4910060608922,2099.563308492324,8.083345753838174,270.833047661722,1788.4356481852694,2093.11,8.093271230809126,90.16,1667.4056481852695,2094.07,8.193420276867222,90.57,1651.0123024314316,2094.233345753838,8.273233969294603,90.57,1761.02,1016.5542400301867,7.3667660307053975,179.85,1760.98,1032.097585784025,7.383271230809128,179.85,1760.5,1217.5441282456434,6.3533830153527,179.85,1326.1689566775933,2096.96,8.400149046058095,89.86,842.8576230455394,2099.18,7.67,270.06,1g,24,1568971732
29656,29656,903.5,1568972704.8910599,903.5,,689.9329395253833,6.634186005992987,618.0515649843999,0.99609637260437,686.6072479729203,31.836073062968172,657.9026800717685,0.9549933671951294,706.2853539936173,-23.985033613713888,656.2841559688404,0.9751009941101074,641.1707044460122,75.94161133098538,662.0737923416508,0.6819119453430176,710.211878717827,-56.27778187260257,677.4460507477553,0.23081570863723755,553.5355253587375,125.69570858968164,582.5744373342437,0.9722685813903807,563.5016659705967,-96.2221523693505,567.1832362161366,0.9591103792190552,665.6096603350728,218.62072008443332,373.0294998492871,0.8925145864486694,622.8174614777961,-206.79498957929974,373.69536942888396,0.7169778347015381,815.9962353337288,227.73571672989559,223.0442237517916,0.77302086353302,763.7775054961211,-225.35388703565783,196.72344733186776,0.8468695878982544,429.74656680953376,117.660601108516,136.5723354819441,0.2979998588562012,469.47844134230735,-80.95743610109824,206.45838467421837,0.4991090297698975,766.5602657376518,134.56324595778588,46.00841106718018,0.14353877305984494,680.67511024517,-129.2166667022635,40.985636557973606,0.2341247200965881,391.7489255691602,124.80845423184635,-627.1572263688278,0.014357119798660278,729.4844908536154,-83.71658906384738,-158.3561644274137,0.019664376974105842,808.22,2099.57,8.08,270.91,1788.71,2093.11,8.11,90.16,1667.68,2094.07,8.17,90.57,1651.29,2094.23,8.3,90.57,1761.02,1016.31,7.34,179.85,1760.98,1031.85,7.4,179.85,1760.5,1217.33,6.34,179.85,1326.45,2096.96,8.36,89.86,842.6,2099.18,7.67,270.06,1g,24,1568971732
29657,29657,903.53320429903,1568972704.9243536,903.53320429903,-73.77707161070829,682.6641958274238,6.615567969482584,613.6716323804264,0.9958992004394532,685.6638222822481,31.299237873992205,655.3969358568029,0.9514449834823608,697.1982210520274,-23.95707119874065,649.9633065730359,0.9675091505050659,643.9823681714599,75.46053690544694,665.0421118399113,0.6808817982673645,709.9488883391805,-56.15694530847905,677.6417748659794,0.17863696813583374,551.4247567375792,124.24201146584744,579.4070176544408,0.6501550674438477,563.2128664839981,-95.79311595589935,562.7597816008873,0.9025618433952332,662.4839650240777,214.2241979080193,366.235128872148,0.2884476184844971,626.9933429271525,-209.5986105072237,371.5716781815496,0.9823545217514038,840.879678042283,228.0328239239524,223.02436175373725,0.9512873888015748,750.5526820465811,-225.73167285201413,191.00411085208657,0.8405879139900208,444.1735883880235,125.6390309649231,119.61581737911315,0.04440167546272278,456.90227002319125,-86.57309955020528,202.180468565112,0.507027268409729,807.9005180808954,135.96482812540495,74.19989589180184,0.08428972959518433,751.6716033451945,-123.13604953694332,75.00633248386939,0.3872931897640228,362.8368461524178,116.97528653473054,-653.1760709731096,0.006010591983795166,754.1239050027498,-73.93583680178564,-196.6636149840209,0.0098189115524292,807.9543656077609,2099.576640859806,8.08,270.97308816815683,1788.975634392239,2093.11,8.090077420582077,90.16,1667.952275252045,2094.066679570097,8.186602149514934,90.57,1651.5622752520446,2094.226679570097,8.246873121552209,90.57,1761.02,1016.0676086170821,7.34,179.85,1760.98,1031.6042881871788,7.4,179.85,1760.5,1217.1208129161118,6.353281719611948,179.85,1326.7289161118508,2096.96,8.363320429902986,89.86,842.3443268974701,2099.18,7.67,270.06,1g,24,1568971732
29658,29658,903.5668147232263,1568972704.9580545,903.5668147232263,-121.56712706294027,682.1359011983508,6.6048888784874284,613.5806312283355,0.9970740675926208,680.4429600461392,32.00013348735711,652.9953966127067,0.992103099822998,700.0445793025717,-22.892177662583308,650.8626839378321,0.9697607755661012,638.3861420022466,77.68326420832517,661.2295737277498,0.7275586724281311,712.6252190576607,-55.59824829715833,677.6606789367496,0.2081308364868164,554.7384669407357,127.04882815570828,581.0526955469143,0.7701057195663452,563.4307919169217,-98.61093216184368,561.4654470715993,0.8997349143028259,669.1138656520328,217.76004937559009,379.6715918746666,0.9860358238220216,624.1938392659073,-207.15192980971733,367.1166451020567,0.9872883558273317,827.5572898264966,228.77160436465155,230.232024034539,0.749464750289917,738.3956390001074,-219.03928678384014,168.94669665095063,0.6029201149940491,451.0353220300759,130.82914469854975,120.55218572493187,0.02007269859313965,465.5332425599067,-82.24524224167597,199.89090100207954,0.6383523344993591,813.8614215203295,137.16718949176544,81.1097317618716,0.16764569282531738,757.2231424846888,-124.25247094767988,71.89516268080436,0.4337027668952942,352.65937011105603,142.68131792238128,-662.8894230949222,0.007883906364440918,691.8120921268672,-76.74677493693379,-286.189147392116,0.006831109523773193,807.6854822141902,2099.583362944645,8.08,271.0369479741298,1789.2445177858096,2093.11,8.069911166064271,90.16,1668.2278807304551,2094.0633185276774,8.203407361613108,90.57,1651.8378807304548,2094.2233185276773,8.193096442838057,90.57,1761.02,1015.8222525204486,7.34,179.85,1760.98,1031.355571048126,7.4,179.85,1760.5,1216.9090672436748,6.366725889290485,179.85,1327.0112436750999,2096.96,8.36668147232262,89.86,842.0855266311581,2099.18,7.67,270.06,1g,24,1568971732
29659,29659,903.6,1568972704.9913292,903.6,-72.31591608544565,679.5684531257832,8.880805935444691,610.2661642043488,0.9965561628341676,684.6360265166005,32.72498599341711,651.9743779151312,0.9921701550483704,708.8184305786282,-20.35473942961352,658.4073267928227,0.8915116786956787,637.4662783001562,78.05160666970781,656.2111230353521,0.7932506799697876,712.1179859119369,-53.083023773486005,675.1116799042113,0.2342420816421509,554.7567828117409,130.88946224161762,565.3574609175955,0.3901553452014923,566.6094750442344,-86.26436601741122,555.5768860172074,0.3866217136383057,665.2898088085718,215.45984258714174,367.09748910418153,0.9572604894638062,615.8697774301172,-204.0808991520108,362.38406614853477,0.9900907278060912,816.4225632011091,232.56502138102402,226.10931601294624,0.6815208196640015,741.0283615656348,-222.10165697059463,183.49248652259368,0.2352528274059296,390.4730123802359,131.65067709575868,130.64332231441307,0.4876329004764557,455.89720910576807,-83.07657284042469,200.21283628624846,0.566584050655365,744.4539132643124,151.79904277041427,43.530305089772575,0.5421904921531677,798.8969857990393,-119.15131828971322,93.59393659625836,0.6412200331687927,348.4165393495143,123.45532936323431,-665.4637760111327,0.004393041133880615,639.4715680478653,-91.44736149297212,-350.01200634925095,0.01866811513900757,807.42,2099.59,8.08,271.1,1789.51,2093.11,8.05,90.16,1668.5,2094.06,8.22,90.57,1652.11,2094.22,8.14,90.57,1761.02,1015.58,7.34,179.85,1760.98,1031.11,7.4,179.85,1760.5,1216.7,6.38,179.85,1327.29,2096.96,8.37,89.86,841.83,2099.18,7.67,270.06,1g,24,1568971732
29660,29660,903.6335785537044,1568972705.0251734,903.6335785537044,,682.3607923372155,10.435939142516887,612.8284183788421,0.9965940713882446,678.28033582166,34.74320577410788,648.5375341673703,0.9928748607635498,695.0263642366829,-17.807252224518525,646.8662499158379,0.9695369005203248,628.3692497118412,81.00080797221543,652.6026057647846,0.804792582988739,714.9033227219595,-51.94629717292696,676.8748555225236,0.2319149076938629,548.4639815369209,132.1822818750057,557.9091681723272,0.3671032786369324,561.3530491927198,-85.19720311373001,552.6561602875105,0.3236555457115173,668.5950596694147,215.84259617428185,369.49997610750717,0.9666723012924194,605.3349803112214,-199.4164684441074,363.87684576864297,0.8106940984725952,819.9738304094708,233.86444224162827,230.85041700117162,0.6997798085212708,738.548993932061,-214.28217337760512,170.86903379118957,0.7633637189865112,402.4717082724737,130.66826579095607,154.43980126273692,0.3981419503688812,436.383415890764,-84.14529984147016,181.57941941768013,0.6843451261520386,741.7585767551031,158.42592463414846,57.4126007367012,0.4337440431118012,848.1522412441092,-100.43467354325873,112.03884548268991,0.6391753554344177,298.48733882622815,148.73985844262555,-716.639036584504,0.004420965909957886,593.9261504571689,-111.09386539696352,-399.70690288586854,0.12273231148719788,807.1480137149936,2099.5933578553704,8.07664214462955,271.1302206983341,1789.778628429636,2093.1066421446294,8.039926433888652,90.16,1668.775344140377,2094.0566421446297,8.22,90.57,1652.3819862850064,2094.216642144629,8.156789276852246,90.57,1761.02,1015.3315187025868,7.356789276852247,179.85,1760.98,1030.8615187025866,7.386568578518203,179.85,1760.5,1216.4817394009208,6.396789276852247,179.85,1327.5720598511175,2096.96,8.403578553704492,89.86,841.5748029918459,2099.18,7.67,270.06,1g,24,1568971732
