,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,W_in-P_out.11_x,W_in-P_out.11_y,W_in-P_out.11_speed,W_in-P_out.11_angle,conflict_1g_x,conflict_1g_y,conflict_1g_speed,conflict_1g_angle,scenario,participant_id,source_file
38528,38528,1218.0,1568811514.1667027,1218.0,,,522.5601926007806,80.30418347860518,751.9165942076908,0.9990284442901612,513.6257876994822,111.28805072822232,787.3372638335512,0.9990332126617432,514.5665078964362,56.27466296419734,794.861879346083,0.9964149594306946,486.02933427097685,150.04943201804898,780.5293021046396,0.8842672109603882,476.39638085912804,17.441890756872645,788.9489915366784,0.91755211353302,449.0447239669559,200.06013333049683,612.5871240351739,0.9895647764205932,466.89465222529276,-51.82309723499974,631.5855151519635,0.9529243111610411,572.3671859838232,258.8329161505152,404.2069231386192,0.983689785003662,580.4498917671168,-130.4370612016367,406.1778205604976,0.1058911681175232,772.4432862447461,275.6517337040979,251.5428501660423,0.4238905012607575,806.3152001544606,-138.66097443571792,261.4843662430841,0.12942084670066833,451.1707706953443,168.82204329909132,198.1509406149916,0.2343581616878509,435.42496256378746,-32.45374046536238,239.20567667340129,0.8324914574623108,763.118528165422,155.87532682976996,91.7233331022647,0.2381231486797333,848.2812281438,-49.47867943185154,188.3885077455684,0.25467199087142944,639.525028589406,177.99463692445298,-348.482329146324,0.005338221788406372,726.3179207848668,-69.5589305558826,-251.6700127054776,0.005441009998321533,705.25,2097.9,4.56,269.31,1737.76,2093.36,7.2,90.57,1400.69,2096.74,7.6,90.57,1384.76,2096.9,7.57,90.41,1051.38,2096.26,7.2,89.64,895.93,2094.47,9.43,90.06,652.39,2094.74,7.67,90.06,637.58,2094.75,7.67,90.06,782.94,2099.25,7.54,270.06,1g,19,1568810250
38529,38529,1218.0339785084675,1568811514.2006805,1218.0339785084675,,,533.0213528906559,77.8592471418602,757.603414132672,0.9988132119178772,517.5307251180983,106.61537051984577,788.4515826483696,0.9993008375167848,514.6113396733043,47.17134231855441,794.0788398565994,0.9956863522529602,482.34195947575984,144.33211038487156,779.5918382405863,0.951884388923645,486.3022369831497,11.981386902753453,789.6561616316669,0.9127969741821288,457.8808280787849,198.36539310200138,617.9772839329637,0.9907246232032776,458.5749801802217,-56.39454335104389,628.2966051858002,0.9546467065811156,587.6124599578447,256.7936146280622,413.2919547725534,0.9846991300582886,576.5655494439525,-132.0583308504803,406.53153759346463,0.08798772096633911,774.4897808299055,275.3048210352965,251.92457433738963,0.3653823733329773,807.0127777895817,-140.81769215618283,256.64836581502135,0.3360216021537781,420.5534648209471,164.59426517803684,205.13406816915844,0.6184918880462646,443.64950138559936,-34.374434369041715,250.97174262425045,0.8129894733428955,750.3462242491878,152.30489281743272,76.93194591518944,0.2708364725112915,868.797564641554,-52.23095653451407,185.34365861946515,0.10519671440124513,632.3638467546311,178.2059094757939,-363.8926587254684,0.009179204702377321,603.274169170772,-99.77472204963152,-397.6838290616909,0.006268680095672607,705.0835053085091,2097.9,4.6857204813298585,269.2726236406857,1738.0148388135065,2093.36,7.288344122015578,90.57,1400.9516345151999,2096.736602149153,7.613591403387011,90.57,1385.0182366643533,2096.8966021491533,7.590387105080517,90.42698925423376,1051.6246452609662,2096.26,7.196602149153248,89.64,896.2493979795947,2094.47,9.433397850846752,90.06,652.6516345151999,2094.74,7.676795701693506,90.06,637.8450323660468,2094.75,7.6971828067740224,90.06,782.6987525898805,2099.25,7.387096711896117,270.06,1g,19,1568810250
38530,38530,1218.069582352815,1568811514.2362835,1218.069582352815,,,533.0597846766951,71.26973771555211,759.0220188067253,0.9988342523574828,510.4822651978618,101.54815869160444,786.1768270039357,0.9993270635604858,515.4313882073502,43.356654334966336,792.4456847000006,0.995813488960266,480.8711764400647,143.5612219420153,774.3682571909427,0.8090271949768066,473.0722450133789,3.177625584070344,779.9077418018054,0.8958373069763184,456.15780095937197,193.25994533212398,616.5942441307434,0.9876132011413574,454.87759040928313,-59.70630096205592,623.9747387448033,0.9400553107261658,586.0339431724532,256.96274809002784,410.3614230457644,0.4930774867534638,575.0966448012582,-132.72457682270704,406.36325877607095,0.07526493072509766,778.1623411748706,276.30661377255603,253.5683619743481,0.34680604934692383,807.2461557399312,-142.25365434368504,255.01880209668832,0.3904951214790344,407.4859167031426,162.77859253289918,195.1607098913965,0.6314776539802551,450.7486218278685,-40.915235697370896,240.5555899611992,0.4971877932548523,757.2947857173642,151.77573300132454,81.94632614776734,0.2638821303844452,870.4097108555973,-55.28575421531294,198.79267080107803,0.24832966923713684,604.007929040301,175.41006190190535,-391.8557631933367,0.0040014684200286865,524.1683456430821,-115.51739627657412,-490.2199178104625,0.004791557788848877,704.9090464712068,2097.9,4.817454705415382,269.2334594119036,1738.2818676461125,2093.36,7.380914117318918,90.57,1401.2257841166752,2096.7330417647186,7.6278329411259875,90.57,1385.2888258813934,2096.8930417647184,7.611749411688981,90.44479117640749,1051.8809929402678,2096.26,7.193041764718504,89.64,896.5840741164607,2094.47,9.436958235281496,90.06,652.9257841166752,2094.74,7.683916470562995,90.06,638.1227423519567,2094.75,7.725665882251974,90.06,782.4459652950137,2099.25,7.226879412332642,270.06,1g,19,1568810250
38531,38531,1218.1,1568811514.2667005,1218.1,,,530.9986635000364,59.57537555178704,754.8544292436218,0.9988373517990112,513.1971308920048,90.63147021691644,788.040375050532,0.9952733516693116,515.6422152743298,33.230967549850696,791.9527090010512,0.9955609440803528,457.2827549358584,134.34843703837782,763.3884858310283,0.91931813955307,467.1806254153521,-8.240833994206431,770.3898173957957,0.8638936281204224,465.9421469788641,191.1571219032727,623.1540696308373,0.9301868081092834,459.6521781336718,-57.76262239054971,624.0001934075385,0.9916692972183228,585.491390303046,257.92425283670485,409.8783837373671,0.4509018659591675,572.0700213521684,-134.4244242616928,404.79793473938884,0.058049380779266364,781.0289959734213,276.64977187348256,256.99453296674307,0.4001351296901703,813.7517655427513,-142.5542953219991,263.02023163330915,0.2556379437446594,415.18596206491264,160.50665296907968,197.3178820008976,0.6552461981773376,445.04053993627855,-41.77772055981211,231.6588313718135,0.4901270568370819,747.0499664014798,153.65743738000177,73.69103295817571,0.16305318474769592,842.5682431266192,-56.35214128760735,195.71789411559828,0.25316953659057617,588.4333715578924,174.6379810229474,-407.9256148529362,0.0042421817779541016,461.2604490500844,-116.60611944227136,-512.4995722319851,0.003291308879852295,704.76,2097.9,4.93,269.2,1738.51,2093.36,7.46,90.57,1401.46,2096.73,7.64,90.57,1385.52,2096.89,7.63,90.46,1052.1,2096.26,7.19,89.64,896.87,2094.47,9.44,90.06,653.16,2094.74,7.69,90.06,638.36,2094.75,7.75,90.06,782.23,2099.25,7.09,270.06,1g,19,1568810250
38532,38532,1218.1331709146316,1568811514.3000224,1218.1331709146316,,,534.7929046670539,52.46855795527108,755.1682949348165,0.999210000038147,521.7609396258969,81.61625084639671,790.2818989882431,0.9987489581108092,521.8889079252307,26.093051547818533,790.0969627546892,0.9984422922134399,475.13759150239633,126.03605045376992,770.0303775245975,0.9741168022155762,480.058130212103,-15.449707248700266,779.0406295944148,0.9549554586410522,461.3057109976496,190.33566226955483,624.3543600614794,0.93890380859375,456.24381857025037,-62.343595636786524,620.9561944374011,0.9909235239028932,594.4327905761155,257.99498616576227,415.8121573485566,0.4623488783836365,573.4308719877288,-134.95594788858656,405.0458963702954,0.049042493104934685,775.9289301937108,277.1704817017707,256.50548006549883,0.2905053496360779,810.591898843793,-143.7663648777915,261.3621557699409,0.2077324390411377,405.56844806519547,165.06146658491699,189.94974774789853,0.6341549754142761,441.92389030247284,-41.100228686463254,232.51724770997,0.4431679248809815,737.6548516854974,155.42253977457682,67.76282291789579,0.1535557210445404,788.6155236141237,-58.44252876958952,171.6796943695071,0.3226202130317688,575.3603010038572,173.64404489737544,-422.6564163336229,0.004928469657897949,520.2709804834251,-89.00737585898638,-382.183298190566,0.004598736763000488,704.5941454268417,2097.896682908537,4.923365817073671,269.19336581707364,1738.7654160426637,2093.356682908537,7.546244378042258,90.57,1401.7087818597377,2096.73,7.610146176831527,90.57,1385.7754160426637,2096.89,7.646585457315817,90.4765854573158,1052.3388305853478,2096.2633170914637,7.196634182926327,89.64,897.1851236890005,2094.47,9.446634182926328,90.06,653.4154160426635,2094.74,7.696634182926327,90.06,638.6154160426637,2094.75,7.736731634147345,90.06,781.9911694146523,2099.25,7.133122189021129,270.06,1g,19,1568810250
38533,38533,1218.1704045910776,1568811514.3374255,1218.1704045910776,,,541.4057892584999,44.94427273726756,753.0734193463481,0.99912029504776,518.4057393606237,71.82640876355609,787.6061862180818,0.9992667436599731,530.8152747708849,19.025574594759934,789.8085456837607,0.9977996349334716,482.43789133035966,119.39749366810024,776.9393097567415,0.975091516971588,480.6339524601976,-22.044311334628297,776.5368804672945,0.9148867726325988,462.9066210235148,178.53371557189658,627.1529404574558,0.13018423318862915,457.4789293387796,-64.92608584919839,617.9780250373773,0.989752471446991,598.7588302435507,261.8207226115836,415.7271511898766,0.9800506830215454,571.267153555904,-134.34429513966185,404.39008914508486,0.05369070172309876,772.4758085463957,278.212678481054,253.8151961345137,0.3121912479400635,807.0837458218435,-143.07505125076548,258.3374801764569,0.4837257266044617,411.7610474079552,169.26454455979754,188.3084240572721,0.3559226989746094,452.86483850826863,-38.182419911975934,239.8444983723217,0.4599325060844421,722.7418344129128,154.56461777274794,54.70706374846657,0.09477341175079346,743.3054067226664,-58.812128454607574,153.62525916774132,0.4971286654472351,550.8988620317335,175.85581037778786,-448.8759996818943,0.0028190910816192627,538.3694222848778,-82.27979753997924,-331.20080784714514,0.0037758350372314453,704.4079770446132,2097.892959540892,4.915919081784524,269.1859190817845,1739.0521153512955,2093.3529595408922,7.6430519368011876,90.57,1401.9880344330804,2096.73,7.576635868030357,90.57,1386.0621153512955,2096.89,7.66520229553869,90.49520229553869,1052.6069130557569,2096.267040459108,7.204080918215476,89.64,897.5388436152351,2094.47,9.454080918215476,90.06,653.7021153512958,2094.74,7.704080918215476,90.06,638.9021153512957,2094.75,7.721838163569047,90.06,781.7230869442427,2099.25,7.181525968400595,270.06,1g,19,1568810250
38534,38534,1218.2,1568811514.3671556,1218.2,,,535.2535209039759,39.795591941404794,747.1916787657617,0.9990987181663512,518.4807219931538,62.0929597042013,786.8363245962632,0.999364972114563,518.0281260893479,9.767997568007086,780.9764149475975,0.9825035333633424,477.9673467452269,113.29139568256953,778.8131901877472,0.9905827045440674,470.527044493014,-27.65565161668437,768.0740337904327,0.6511906385421753,459.06505902721085,175.3704182616736,628.2583306372247,0.9726802110671996,446.112972600408,-68.45940991206172,618.0169819683688,0.9255545735359192,586.7805281088961,262.5413613978518,409.02937229762637,0.9797342419624328,567.5942335036262,-133.53920377753434,402.0892036663637,0.04755687713623047,777.3055009744098,278.7200930299653,259.3197783567194,0.2278806269168853,816.3582410903402,-138.97676876231557,258.10279771006543,0.4293743669986725,405.2856417663112,171.00434663194358,184.842277524955,0.3499748408794403,453.12985842810343,-31.329646855812136,246.9169118357034,0.4018343985080719,720.1590205248068,155.72833849642436,54.59762991473559,0.08728289604187013,727.6227390162668,-50.67708876389451,143.0396966413434,0.2387443780899048,526.9151316403154,174.2467906173188,-473.8775742809,0.002808809280395508,700.6927459208058,-73.57422671080022,-78.33846624476945,0.011730194091796877,704.26,2097.89,4.91,269.18,1739.28,2093.35,7.72,90.57,1402.21,2096.73,7.55,90.57,1386.29,2096.89,7.68,90.51,1052.82,2096.27,7.21,89.64,897.82,2094.47,9.46,90.06,653.93,2094.74,7.71,90.06,639.13,2094.75,7.71,90.06,781.51,2099.25,7.22,270.06,1g,19,1568810250
38535,38535,1218.232914574065,1568811514.4,1218.232914574065,-84.87106164136972,,528.3989045838587,33.24065217650768,740.9388790113096,0.9990233182907104,520.1983012365561,59.65500874723237,783.5117751812311,0.999198079109192,527.8768140752974,5.2143793502511775,781.9870982072516,0.9764288067817688,478.26929216947036,106.47125768476108,777.7583714654668,0.9901241660118104,479.8403412235772,-33.853186101289374,768.7428415698672,0.6374785304069519,454.2042398384713,173.29965959460714,627.069307129464,0.9719842672348022,445.93511113625823,-69.34709347165824,616.428887518213,0.9047359228134156,590.2601693576504,264.45946307064463,410.4413055084883,0.9823956489562988,564.5259087128287,-133.61851852821346,400.8635616039277,0.039687156677246094,774.6062825478249,280.11827649597336,257.38331029651283,0.2957051396369934,816.7650741604183,-136.80334221662883,256.26268713369143,0.3874998688697815,395.7528684093276,174.3174123664302,176.90015363164196,0.3891299962997437,456.2250561528637,-28.81990328259172,251.75588085648803,0.3116016983985901,699.8355679819404,156.60729897911503,39.41552072208634,0.050310760736465454,732.7105793185008,-49.123872954801854,150.08196887924018,0.3115610778331757,491.2080226954807,192.80613987005268,-517.3535989404072,0.0036247968673706055,768.4656060761017,-67.05218127129457,22.726269951030933,0.018728435039520264,704.0987185870813,2097.886708542593,4.919874372219506,269.186582914813,1739.5433165925201,2093.346708542593,7.805577892569048,90.57,1402.4601507628945,2096.7267085425933,7.5631658296260085,90.57,1386.5401507628942,2096.886708542593,7.650376883341483,90.52645728703251,1053.056984933268,2096.27,7.21,89.64,898.1293969962112,2094.47,9.44354271296749,90.06,654.1834422203008,2094.74,7.700125627780495,90.06,639.3834422203006,2094.75,7.719874372219505,90.06,781.2631406945122,2099.25,7.292412062943042,270.06,1g,19,1568810250
38536,38536,1218.2663934935415,1568811514.4334078,1218.2663934935415,-79.96000189349472,,532.8831389458937,28.95860662119244,741.3043327184517,0.9989781379699708,521.2132386655989,54.63260346377158,781.5331189755439,0.9805704355239868,522.319278825157,0.6948438445546028,779.9308518567368,0.9697321653366088,476.1015969082354,107.2836038948642,777.2093087549779,0.816182017326355,478.1731894316853,-38.229465338171956,767.2343609309839,0.5871179103851318,460.1207883254032,172.1819793732557,625.0450930247691,0.9734846353530884,446.3268502370803,-70.1447045090674,615.4887389104799,0.8925715088844299,589.0697907579804,263.31439881378293,413.2353116696388,0.9813994765281676,569.8154776195745,-131.78198293402644,403.9580391210974,0.05564621090888977,777.7130278466666,282.41534995884075,261.65809764551665,0.2718469798564911,812.6368125411602,-134.9056458939479,256.4063883038708,0.37172967195510864,410.7994658419758,175.39621996803137,191.14986995879485,0.3879587054252625,449.1531131662805,-26.3734958779024,252.03001180991922,0.2688949704170227,688.1212320040381,157.78803157989176,30.34694401135653,0.07079419493675232,737.3755453499733,-51.26222298913126,152.19864006241258,0.08547717332839966,467.65439504276026,200.69360263435863,-543.4134588707467,0.0034950971603393555,806.792016021107,-47.47788856650351,71.60819260296938,0.03122231364250183,703.9346718816455,2097.883360650646,4.9299180480625235,269.19327869870835,1739.811147948334,2093.343360650646,7.89262308320853,90.57,1402.7145905509174,2096.7233606506456,7.576557397416698,90.57,1386.7945905509173,2096.883360650646,7.620245855812433,90.54319674677087,1053.2980331535005,2096.27,7.21,89.64,898.4440988392923,2094.47,9.42680325322913,90.06,654.4412299002714,2094.74,7.690081951937477,90.06,639.6412299002714,2094.75,7.729918048062522,90.06,781.0120487984369,2099.25,7.366065685791832,270.06,1g,19,1568810250
38537,38537,1218.3,1568811514.4669428,1218.3,,,529.7014754648832,24.258963754404462,737.7577884982334,0.9988340139389038,521.623573614283,53.324045698721065,780.7399947994716,0.9787559509277344,518.3670985707167,-4.340026362824224,778.5592468387117,0.959705412387848,463.0484321332945,106.72058840195228,770.3215797548912,0.841262936592102,465.19726967543176,-42.11496257201804,761.8070028053029,0.5283329486846924,456.2453694898657,179.74524016220315,623.258357386113,0.9464294910430908,440.0848740833296,-72.21834319499244,613.0696592794643,0.8611968159675598,588.2970954125593,258.6417993187452,414.68859510485566,0.12865924835205078,570.0474900704801,-131.04421401733714,403.2297480324223,0.07004892826080322,781.7016018465398,283.0418227684003,263.96966867288995,0.17220473289489746,815.6384283476109,-133.08602578774594,261.3177062611856,0.32249999046325684,401.1453140188681,176.90443022144157,191.6892502496672,0.49402332305908203,449.2308925521125,-20.73271629317542,255.84509856564446,0.3626036047935486,688.9531853602182,159.75563928931774,28.676402621615747,0.08288663625717163,781.6510997820641,-46.51075714009385,172.65360387576308,0.06870388984680176,459.2098956152552,209.06137296518523,-550.4645766558239,0.001687467098236084,685.2846121732247,-49.81364830092398,-94.38840723549549,0.0037488043308258057,703.77,2097.88,4.94,269.2,1740.08,2093.34,7.98,90.57,1402.97,2096.72,7.59,90.57,1387.05,2096.88,7.59,90.56,1053.54,2096.27,7.21,89.64,898.76,2094.47,9.41,90.06,654.7,2094.74,7.68,90.06,639.9,2094.75,7.74,90.06,780.76,2099.25,7.44,270.06,1g,19,1568810250
