,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,W_in-P_out.10_x,W_in-P_out.10_y,W_in-P_out.10_speed,W_in-P_out.10_angle,conflict_1g_x,conflict_1g_y,conflict_1g_speed,conflict_1g_angle,scenario,participant_id,source_file
51254,51254,1636.7,1568622488.569258,1636.7,-77.3694169035344,635.2108897705847,54.76402921616414,657.5950332857623,0.9968752861022948,660.8527653355685,82.00651312856318,715.76985494677,0.9852505922317504,678.5643503969792,26.00391387760641,722.6723452155558,0.8990978002548218,617.1276768831342,123.17157711599144,736.8172665069283,0.5794968605041504,627.5295120542697,-24.85509526482081,722.9479638657866,0.3188948631286621,498.79281087159416,177.07757299331726,602.1845116028259,0.8300924301147461,500.0069993959945,-55.85503551905914,589.875194835634,0.6155219078063965,628.94734310973,262.3327695640415,386.28742224163216,0.9754015207290648,584.901559089305,-163.29203044147954,402.4668559349757,0.9313888549804688,809.1930760632307,296.2224867676951,248.49185006229686,0.5611574649810791,775.2992934139011,-182.7959191036693,241.90927619880023,0.3450977206230164,467.6326197360104,144.13154442174402,164.91885371503275,0.4232576191425324,486.60129036960615,-65.21298771137779,155.5764025989479,0.05181366205215453,778.303814837092,155.2829030549169,46.341498598188245,0.6532058715820312,814.6230113848276,-56.325943469637664,78.29738602722568,0.6199513673782349,545.3910273321678,165.37178649015826,-491.1738543960213,0.018130868673324585,858.7335550064813,-40.279945516633546,-135.09254906439173,0.019614368677139282,684.97,2097.88,3.96,266.22,1637.09,2094.37,7.13,90.57,1621.74,2094.53,7.17,90.57,1320.85,2096.95,8.6,89.86,1248.86,2096.77,8.22,89.86,1105.33,2096.43,7.74,89.86,1090.7,2096.4,7.8,89.86,773.33,2099.26,6.44,270.06,1g,12,1568620805
51255,51255,1636.7325773200769,1568622488.601983,1636.7325773200769,-77.3694169035344,635.4803644321038,55.43093842513262,657.0357880556127,0.9968149662017822,663.999687798109,83.07763060077447,717.3057665357387,0.984661877155304,679.8909405656814,26.599224293908506,724.3747870364236,0.8894410133361816,620.699176317159,124.19506727361168,738.4807469778357,0.588983416557312,624.4482240912042,-25.96229898231834,721.4882154175236,0.3421950936317444,505.93650713930987,189.2041948727329,594.3088767603931,0.10897094011306764,501.0304580152362,-56.35695760101348,589.4101469182317,0.6150897145271301,621.1138219200176,261.4821423425016,393.1155898483112,0.7511651515960693,589.0109651810275,-163.7594911019186,404.53049360030366,0.9332317113876344,822.7281799645128,302.9937846416933,249.83427497157717,0.9064622521400452,777.3409317217613,-182.43788625268948,241.2902713722768,0.3172800540924072,462.404050732604,145.7702051985952,165.75803334512347,0.11612769961357115,489.5325355736327,-64.39008503640204,158.76125773231558,0.046366214752197266,767.1589282749756,156.93574030827352,33.54667207651749,0.6621358394622803,824.9925297731952,-50.25241715420827,90.91234571902113,0.5694900155067444,562.9584139258128,159.65852897264318,-470.73495728355033,0.023887842893600464,855.438186562986,-39.35280263850793,-138.89975238697798,0.014849305152893066,684.8396907196918,2097.870226803977,3.956742267992292,266.15810309185355,1637.327814436563,2094.366742267993,7.1690927840924985,90.57,1621.9712989725476,2094.526742267993,7.160226803976876,90.57,1321.1334226846707,2096.95,8.629319588069372,89.86,1249.1303917566395,2096.773257732008,8.229773196023125,89.86,1105.5841030966012,2096.43,7.769319588069375,89.86,1090.9541030966013,2096.4,7.7934845359845815,89.86,773.1149896874913,2099.26,6.4856082481079165,270.06,1g,12,1568620805
51256,51256,1636.7659635015536,1568622488.6355207,1636.7659635015536,-82.22630445418551,635.6425784885137,55.90225343376008,656.7060764997582,0.99639892578125,650.023285868278,81.89357984624705,712.3971262079297,0.9827466011047364,680.2656480490672,26.27998238208549,724.0848588874808,0.873191237449646,620.5435245908375,123.89469969621328,737.3020780001442,0.603600263595581,628.7723272707431,-26.624595898510407,722.3826802014653,0.3220416903495789,499.797235401374,178.65813118354058,600.9460090569792,0.8438478708267212,501.45833317587005,-56.43686564992362,588.893545403417,0.6040101051330566,622.7713054137764,259.3835768424727,388.31367633894166,0.9705873131752014,588.2605446548591,-167.47325119846414,401.86820323927896,0.940513014793396,820.1291806743594,304.8027151006344,249.65006067956867,0.9283792972564696,785.9024277441177,-182.31698386645832,238.37654304180484,0.2710241377353668,461.53191214537424,145.68877124903398,162.6420861757573,0.4556232690811157,490.2232354911604,-63.35668914076457,161.33493747749242,0.038957208395004266,779.8317662144008,158.14798781498547,46.2375134875175,0.6593217849731445,801.9271443440323,-55.389154648403995,63.52108579434662,0.5670770406723022,571.5999877925002,167.46111044914215,-463.3379023386877,0.011777371168136595,878.2291201119542,-35.587862402857645,-114.24534249460292,0.014993876218795775,684.7061459937862,2097.860210949534,3.9534036498446565,266.09466934704847,1637.57153356134,2094.3634036498447,7.209156201864116,90.57,1622.2083408610295,2094.5234036498446,7.150210949533972,90.57,1321.423882463515,2096.95,8.659367151398088,89.86,1249.4074970628935,2096.776596350156,8.239789050466031,89.86,1105.8445153121168,2096.43,7.799367151398085,89.86,1091.2145153121166,2096.4,7.786807299689313,89.86,772.8946408897473,2099.26,6.5323489021748005,270.06,1g,12,1568620805
51257,51257,1636.8,1568622488.6697116,1636.8,-72.79503884711356,632.362782735344,55.81395895874853,659.0452742503704,0.997052788734436,659.2023399368928,83.22596331941017,716.8788340818418,0.9846283197402954,661.1044324755952,20.997206797041887,710.7399939014579,0.9671648740768432,624.6499476410861,123.58139600792812,739.2796731172182,0.6092735528945923,632.90275844144,-26.165564250501188,723.5050843084348,0.3672818541526793,499.0126339816942,178.71890139419486,601.8042903641982,0.8460870981216431,501.42746985333895,-57.55930592654132,589.0425450978371,0.5942116975784302,622.8878045478989,257.4180756983283,387.99906235125326,0.9651551246643066,593.9805263016034,-165.5893285772529,405.40596943447724,0.9399985074996948,817.0443868802826,305.56469214403165,247.2462148934747,0.9130256175994872,786.4718531304318,-183.26193376742526,236.4286810885546,0.305439293384552,467.4824722427088,153.0770147419031,159.13384349746394,0.18483325839042666,482.20453082820495,-65.10378651567697,155.3080002625093,0.05584716796875,782.4001400005162,157.92037878458711,48.58684223217432,0.6627543568611145,754.7024280296318,-60.44555126154585,14.94010776929008,0.5560819506645203,566.1040349770391,170.5521403727769,-469.1124523713929,0.013431787490844728,873.8716045788142,-34.35840327320609,-118.16172292135128,0.015713483095169067,684.57,2097.85,3.95,266.03,1637.82,2094.36,7.25,90.57,1622.45,2094.52,7.14,90.57,1321.72,2096.95,8.69,89.86,1249.69,2096.78,8.25,89.86,1106.11,2096.43,7.83,89.86,1091.48,2096.4,7.78,89.86,772.67,2099.26,6.58,270.06,1g,12,1568620805
51258,51258,1636.8326806200655,1568622488.7021215,1636.8326806200655,-77.42078505108785,634.7187790481681,54.17707001818557,658.3081175086137,0.9966127276420592,646.9149638858439,81.30057163172017,709.5968100460885,0.9839732646942142,680.066844066666,25.434076676716188,723.1606343102105,0.889445424079895,623.1753149099725,122.00488404234345,737.3490189163236,0.6508891582489014,635.5490161250807,-25.75573381345859,724.216413902344,0.3661136031150818,499.80491831252783,176.62610777357892,600.1758556764747,0.8306698799133301,497.4974516882617,-57.9048412340093,588.1879903955455,0.6018723249435425,623.9179538554838,258.50998167996653,385.9302532698944,0.9704337120056152,599.7785775061127,-166.23357235565203,405.3725170208157,0.9469248056411744,812.9674198856187,297.7341780172721,254.7433992960807,0.6303155422210693,786.8856474662073,-183.447366140313,235.325143726875,0.32791221141815186,459.75290393955726,148.22893608556203,157.34283599872538,0.4715905487537384,477.5722925439576,-65.41001138763947,154.9988961857365,0.04040086269378662,773.2322849306018,159.2841243123944,40.42347460682504,0.7380416989326477,792.4497534646365,-56.87697125095954,52.68439927902796,0.5697365403175354,558.3944614206139,169.7122326752756,-480.88062994320114,0.019519686698913567,879.4039237173192,-33.19223624427774,-111.81667893414158,0.012959092855453493,684.4425455817445,2097.8401958139802,3.9434638759868994,265.9711748838821,1638.0553004644714,2094.36,7.230391627960698,90.57,1622.6885685264785,2094.516731937993,7.185752868091705,90.57,1322.0043213945696,2096.95,8.667123565954148,89.86,1249.957981084537,2096.78,8.256536124013099,89.86,1106.364908836511,2096.43,7.813659689967247,89.86,1091.7349088365108,2096.4,7.812680620065504,89.86,772.4477717835547,2099.26,6.661701550163759,270.06,1g,12,1568620805
51259,51259,1636.8664262566233,1568622488.7355876,1636.8664262566233,-70.61184346026698,638.7636423798301,53.11186159157614,658.881667600386,0.9972806572914124,656.3173981903426,81.12356734920118,713.742129771708,0.9851039052009584,687.5264903774612,24.521447679748555,727.4215087308862,0.8771008849143982,622.6150721886281,121.58852346637262,737.491829622263,0.652965784072876,640.4300063779667,-25.94494237718584,725.3226992205655,0.3297387957572937,500.0492290321168,176.22732621755313,599.6853860786603,0.8407209515571594,500.2819369417281,-57.29865553742022,589.4558750634058,0.6092363595962524,623.9161241964799,258.37407425619625,385.9352229689192,0.96748685836792,597.3721330584424,-167.66738066146274,400.86008344585616,0.9540578722953796,808.6320242138434,296.65388690554624,254.11230549944023,0.6971472501754761,787.2872593076347,-183.81995831330482,234.4413524895977,0.2925160527229309,457.2985183594335,146.87653340019838,157.58391367610338,0.4646802544593811,480.8873778246054,-65.40364488167654,159.05203913789796,0.04291254281997682,763.4422012297659,159.24687261169882,31.85894107342427,0.7030607461929321,744.1648441784469,-65.66494520942099,1.0951844731182518,0.5647628903388977,557.427204131241,169.30110247481744,-481.45387967416855,0.01641207933425903,882.1182496078435,-33.75789012346033,-109.28676591277076,0.01680871844291687,684.3109375991693,2097.830072123013,3.9367147486753495,265.91043273807816,1638.2982690476874,2094.36,7.210144246026047,90.57,1622.93491167335,2094.5133573743383,7.232996759272556,90.57,1322.2979084326225,2096.95,8.643501620363724,89.86,1250.2346953043107,2096.78,8.26328525132465,89.86,1106.6281248016614,2096.43,7.796786871688372,89.86,1091.9981248016613,2096.4,7.846426256623253,89.86,772.2183014549619,2099.26,6.746065641558134,270.06,1g,12,1568620805
51260,51260,1636.9,1568622488.7688832,1636.9,-72.38489242876575,635.9556798626128,50.10363304961781,656.6745007323344,0.997016668319702,672.910486550951,74.34781261077467,721.0857221712297,0.9416173696517944,691.5251430262515,24.11021477295579,729.2933884626642,0.8332569599151611,629.0902611094477,120.35273360903122,738.3501800545228,0.6020430326461792,648.9844151771092,-24.24967008655416,729.0810346854903,0.2749590277671814,500.81406383422967,175.8028157722911,598.1711664464065,0.83323073387146,500.6863796908695,-56.67982938274543,590.1157607003047,0.6086018681526184,625.04584703711,257.33759606326595,388.8493440778778,0.9632815718650818,591.4719341088365,-166.68177799009555,401.6024300530535,0.950907826423645,815.1551142765093,305.93893278135414,249.27513351833508,0.9225283265113832,782.7938426455237,-184.5752778305076,230.08107627232883,0.30687934160232544,444.851330208266,147.01513098737996,150.73887325934285,0.44314613938331604,482.1872249472862,-65.82222295915504,161.15895830849362,0.03470081090927124,765.4130871162537,159.10123894262742,32.933846283332514,0.6830450296401978,696.2009723748516,-72.6221560496068,-48.7128500831783,0.5862821340560913,553.2846987466329,172.8962018029817,-484.27559548579086,0.03434547781944275,881.6837050763382,-34.44074020917829,-109.69791107648048,0.024731040000915527,684.18,2097.82,3.93,265.85,1638.54,2094.36,7.19,90.57,1623.18,2094.51,7.28,90.57,1322.59,2096.95,8.62,89.86,1250.51,2096.78,8.27,89.86,1106.89,2096.43,7.78,89.86,1092.26,2096.4,7.88,89.86,771.99,2099.26,6.83,270.06,1g,12,1568620805
51261,51261,1636.9331568874375,1568622488.8022163,1636.9331568874375,-109.43913689858118,641.6872714566555,50.07009693891384,661.5105898845122,0.9966193437576294,661.3252310424307,79.10014619527266,716.3116601911722,0.983201801776886,691.5773522467482,23.35330353547991,730.4252947144269,0.802668571472168,627.3803015133952,119.87795411693905,737.7897346548332,0.6124492287635803,647.175199502557,-24.82723144205772,728.3825641591983,0.2777203023433685,505.0730313932835,175.19870406482826,599.3882193421557,0.8237411975860596,500.72034843038256,-56.89211836774904,590.3679713844488,0.5957579612731934,619.6761666124065,258.53454136005934,384.43768054118993,0.9651962518692015,599.0934276698092,-165.18182233031496,406.0133715859778,0.9480485320091248,816.6435576941304,307.8502687962158,247.04352873155239,0.9227935075759888,790.6920382598096,-182.46165496681863,236.42664620299482,0.3082374334335327,452.82350052709177,146.08603556491502,156.535340687209,0.4630956947803497,489.5654464257434,-63.477629750165214,164.6641886406646,0.04165127873420715,779.8464481706651,159.78040494549057,46.98750954085273,0.7373098731040955,822.1881265470157,-54.83126202176754,85.35335177572794,0.5297464728355408,564.7528709505239,169.8698502301097,-473.90583764576104,0.027802169322967533,877.8705969396692,-36.05145062881881,-114.86095618185345,0.019756674766540527,684.0506881389941,2097.806737245025,3.93,265.81352742381887,1638.7787295895496,2094.3566843112562,7.203262754974961,90.57,1623.4187295895495,2094.5066843112563,7.243527423818858,90.57,1322.8751492319616,2096.95,8.639894132462443,89.86,1250.7852021657304,2096.78,8.27331568874374,89.86,1107.1486237220115,2096.4333156887437,7.789947066231219,89.86,1092.5186237220116,2096.4,7.850158801306338,89.86,771.7711645429132,2099.26,6.737160715175276,270.06,1g,12,1568620805
51262,51262,1636.966452275417,1568622488.8356886,1636.966452275417,-82.32760493544271,641.7962694000754,52.255639045139475,662.2588926052831,0.9971904158592224,649.478782015213,80.30577618737148,713.0467903798121,0.9851796627044678,679.3100204852144,22.943513456126183,725.9870616029261,0.8220295906066895,626.4088563580208,119.86026693943536,738.8787158089642,0.5855618715286255,649.0577067604179,-25.09065551874807,728.9582563431717,0.2852962017059326,505.1358579536004,173.88494287932676,600.5403968724397,0.8192838430404663,501.12004507269006,-57.919031790803906,589.657972972426,0.5756464004516602,619.8953412410726,261.1142704731565,382.8496992827223,0.9734907150268556,580.2530169217844,-168.86681953982438,393.88993874402087,0.9514358043670654,813.3358012430858,299.1028381605397,253.79322588496854,0.6702519655227661,786.1175935498861,-181.93491205041252,232.94531136158176,0.2252529263496399,454.7356285783677,146.46201710178838,158.74778151105826,0.4862203896045685,486.9517512878268,-63.427471932373784,161.7746688369988,0.05086904764175415,758.0995628143357,159.61968863711655,25.89597781959629,0.7328041195869446,828.5564581045819,-54.10856066169794,88.6375066408695,0.5244743227958679,554.0838639359988,171.40461053156983,-485.754480562421,0.031308233737945564,869.1560042360421,-38.07084016533928,-124.59001644683195,0.018536478281021118,683.9208361258741,2097.793419089833,3.93,265.7769024970414,1639.0184563830014,2094.3533547724587,7.216580910166765,90.57,1623.6584563830013,2094.5033547724584,7.206902497041399,90.57,1323.1614895685855,2096.95,8.659871365250146,89.86,1251.0615538859606,2096.78,8.27664522754169,89.86,1107.4083277482518,2096.4366452275417,7.799935682625072,89.86,1092.778327748252,2096.4,7.82019295212478,89.86,771.5514149822484,2099.26,6.6439336288326505,270.06,1g,12,1568620805
51263,51263,1637.0,1568622488.8694146,1637.0,-72.93475218338551,635.7566195612301,44.85746009326019,657.7220357814481,0.9962632656097412,652.5645472645565,77.95721897557979,713.4828938273888,0.9812175035476683,677.9954502361869,18.244674978134704,725.039969842594,0.7321640849113464,623.3952214346455,117.3795903803952,737.9479311149063,0.5511345267295837,654.0659544010884,-25.19505869122263,731.5405942178971,0.21057114005088806,504.87289222627606,174.10565781472312,601.2275141794244,0.8374466896057129,500.58726933129645,-57.965831645607395,590.7320231117691,0.5414971709251404,625.9508965424981,257.1012890367028,391.37374166898803,0.963156282901764,598.7078009165208,-169.690084611544,394.59685108548837,0.9728825092315674,811.6616137168811,306.90563121137933,246.94153948972252,0.9171361923217772,783.3905453476268,-182.06473076292045,233.38658311326915,0.3373478949069977,463.79028723861984,148.46294620775285,149.36381939933887,0.039605379104614265,493.9929962928437,-62.7895766713125,167.8613248447408,0.04795384407043457,676.7550509149712,160.41811635754266,-69.44141295801342,0.5976250171661377,805.297531417782,-60.00758827737317,63.305615030091296,0.5619702935218811,552.1798207068498,171.549418176443,-486.87444079837934,0.01835986971855164,885.151731412152,-34.7233762075112,-106.0155743619028,0.017208099365234375,683.79,2097.78,3.93,265.74,1639.26,2094.35,7.23,90.57,1623.9,2094.5,7.17,90.57,1323.45,2096.95,8.68,89.86,1251.34,2096.78,8.28,89.86,1107.67,2096.44,7.81,89.86,1093.04,2096.4,7.79,89.86,771.33,2099.26,6.55,270.06,1g,12,1568620805
