,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,W_in-P_out.9_x,W_in-P_out.9_y,W_in-P_out.9_speed,W_in-P_out.9_angle,conflict_1g_x,conflict_1g_y,conflict_1g_speed,conflict_1g_angle,scenario,participant_id,source_file
35449,35449,1116.9,1568379264.965289,1116.9,-76.44800853764656,568.4426440627527,55.09252317667713,673.7304904830851,0.996781051158905,580.8912993248192,90.12430835628635,729.1986195194095,0.9833229780197144,605.5573722504114,29.05317159427041,743.4285684019103,0.9704314470291138,530.4383876316992,134.3629623767109,722.4454226644591,0.4768202304840088,583.4867368527669,-11.336536460603408,752.0079396625702,0.6651408076286316,453.14275591989923,200.39769062808853,595.3214514206097,0.4957620203495026,455.1388269170894,-75.45261504382323,598.2240187216353,0.5074283480644226,587.8391407766377,269.455609678746,391.51524228679637,0.8592205643653871,559.8494275619645,-161.644411493181,406.7013090341102,0.8853276371955872,782.2372292702089,301.2410271273125,216.65700757191186,0.18935513496398929,764.4599333094017,-190.1524643180447,193.20218213227704,0.5806550979614258,430.886972819857,146.3159106185201,227.41170717305542,0.03639647364616394,386.85955027713163,-58.18409017396254,182.7319996721077,0.16100472211837769,724.3274857929704,147.42127273751615,161.28885901222117,0.741560697555542,726.2930664538803,-104.07217136462157,65.76361837238039,0.634285032749176,612.6891819505395,198.07222132284082,-137.6202187343892,0.15448498725891113,365.38886541698974,-149.8099178595594,-683.3660289412646,0.009246379137039185,750.85,2100.16,6.08,271.36,1820.16,2093.02,7.78,90.16,1805.46,2093.06,7.84,90.16,1760.83,785.47,7.18,180.37,1789.32,2093.11,7.96,90.16,1760.93,800.83,7.27,180.37,1761.03,816.23,7.14,180.37,1301.4,2096.9,6.58,89.86,1287.84,2096.87,6.67,89.86,1066.29,2096.34,8.48,89.77,917.07,2094.45,8.38,90.06,844.88,2099.18,6.71,270.06,1g,11,1568378102
35450,35450,1116.9,1568379264.965289,1116.9,,564.6849829597754,56.23697294476512,671.539719784279,0.9970602989196776,583.4303390669203,89.55274547000326,730.2335181640964,0.9864540100097656,612.5015422129828,28.45870044937056,744.4669052009999,0.9716888666152954,516.8125444995013,140.95944426816587,719.0508914982788,0.6813408732414246,567.2185705782782,-11.506027220326269,746.3488625172465,0.6482841372489929,452.0406746022057,202.54172193560046,599.1948261557411,0.4563257098197937,454.8153498412719,-73.79953322753906,602.75270529925,0.4583148360252381,590.1677273287556,266.5787135551239,390.8873300841494,0.844504714012146,558.4767832068295,-161.4970673820992,409.6107697754519,0.8715193271636963,783.1612640690528,301.41811799304776,218.8979333170893,0.29863429069519043,747.8314968078594,-190.5729584632872,193.25576986600072,0.15323618054389954,453.72032406833915,145.32066249654773,235.72736175818943,0.030829757452011112,381.923425529774,-54.5098635823453,175.2675682739677,0.18515878915786746,732.3779317535161,148.46917100453203,164.6952145185146,0.5745981931686401,726.5306435324992,-102.9977483335695,63.98538546022016,0.6535773873329163,552.3996950022481,203.84525088917763,-211.89933959662682,0.08906102180480957,326.86627906595504,-158.32071724729255,-728.1516633386976,0.009261846542358398,750.85,2100.16,6.08,271.36,1820.16,2093.02,7.78,90.16,1805.46,2093.06,7.84,90.16,1760.83,785.47,7.18,180.37,1789.32,2093.11,7.96,90.16,1760.93,800.83,7.27,180.37,1761.03,816.23,7.14,180.37,1301.4,2096.9,6.58,89.86,1287.84,2096.87,6.67,89.86,1066.29,2096.34,8.48,89.77,917.07,2094.45,8.38,90.06,844.88,2099.18,6.71,270.06,1g,11,1568378102
35451,35451,1116.9306001148475,1568379264.9946375,1116.9306001148475,-69.97613038849647,568.5527298924243,56.93541062307281,673.7640664227098,0.9954230785369872,579.3868742813067,92.70838614042064,726.5079034535406,0.9716562628746032,616.5503780882824,31.62770615555409,746.0212561733623,0.972445785999298,525.616380326732,136.5090094277476,720.5420094504817,0.499893456697464,572.6692783479804,-10.208028847065476,750.183011125567,0.7667374610900879,451.14048122574735,203.62678371207846,601.5159962490126,0.4677718281745911,447.44114744964793,-68.01751017785611,624.4514413169741,0.8749600648880005,596.5994691275615,269.09345679770547,388.15699477372107,0.7646111845970154,555.2718896615198,-164.0321336650794,415.8848366837626,0.8980854749679565,786.1860440865455,296.7502730665156,214.25438011007873,0.8662819266319275,740.3299710148598,-191.39546879930103,195.4237477352581,0.10364696383476256,435.5625965146424,144.21162988373155,236.7462814951796,0.037841349840164185,379.71919314257036,-56.34341466901829,172.83793311906868,0.15677866339683533,732.1859377149617,151.03791275983474,160.86778179193115,0.6935904026031494,717.5508146420908,-104.04921051765216,56.4440337838943,0.5216506123542786,527.867820029727,206.72973380603835,-246.88450327076959,0.11269226670265198,280.7776945071869,-175.5032109519585,-779.8634459138738,0.0036973953247070312,750.6633392994307,2100.1630600114845,6.08,271.3232798621831,1820.3986808958102,2093.02,7.783060011484742,90.16,1805.7017409072946,2093.06,7.833879977030513,90.16,1760.83,785.2496791730986,7.198360068908457,180.37,1789.5617409072945,2093.1069399885155,7.956939988515257,90.16,1760.93,800.6127391845832,7.2332798621830845,180.37,1761.03,816.0066191616138,7.176720137816916,180.37,1301.6050207694775,2096.9,6.607540103362688,89.86,1288.041960757993,2096.87,6.651639931091544,89.86,1066.5470409647182,2096.34,8.4585799196068,89.77918003445423,917.3239809532337,2094.45,8.361639931091544,90.06,844.6749792305224,2099.18,6.71,270.06,1g,11,1568378102
35452,35452,1116.9649317751878,1568379265.0275648,1116.9649317751878,-69.88805459337861,565.3304974055708,58.10874490712972,670.4112419791028,0.9948982000350952,592.3661350657937,93.35504577517064,728.7112180583036,0.9643341302871704,617.4253525889209,32.99454958181383,745.0405598176558,0.965610146522522,498.16493143955256,150.2647821078213,705.7993916324402,0.5825434327125549,569.0341874439722,-8.355187798736527,752.3656917010985,0.7436527609825134,447.3167815005565,205.28981661368613,600.4906339752729,0.6484702229499817,455.0605373447917,-74.21648818268645,613.4169440475106,0.5593499541282654,594.5010171660417,267.3696746949882,384.2459263613445,0.7670230269432068,557.9267379916489,-162.127133902661,418.7916743167833,0.8952363729476929,780.9291161510971,293.3724683263656,208.99920015168698,0.8377695083618164,742.4245091221339,-193.35285773033797,197.34387256901286,0.08590683341026306,414.44673513130135,149.02551802437074,228.3556359556101,0.05353575944900514,381.4559310823821,-56.1133629184629,176.18740057886848,0.15476182103157046,717.6596616113385,147.35828579887104,155.836821600009,0.19458818435668945,684.1886719511758,-105.01637867468884,39.99200556195507,0.6123338937759399,533.0800960829217,206.9049294343969,-299.59526188501815,0.03854799270629883,267.33216238356425,-183.00541259068,-793.4636857825743,0.005275130271911621,750.4539161713562,2100.1664931775185,6.08,271.28208186977497,1820.6664678464624,2093.02,7.786493177518753,90.16,1805.9729610239813,2093.06,7.827013644962496,90.16,1760.83,785.0024912186499,7.218959065112512,180.37,1789.8329610239816,2093.1035068224814,7.9535068224812475,90.16,1760.93,800.3689843961688,7.192081869774977,180.37,1761.03,815.7559980411311,7.217918130225023,180.37,1301.8350428937565,2096.9,6.6384385976687685,89.86,1288.2685497162374,2096.87,6.631040934887488,89.86,1066.8354269115753,2096.34,8.434547757368737,89.78947953255627,917.6089337340564,2094.45,8.341040934887488,90.06,844.4449571062437,2099.18,6.71,270.06,1g,11,1568378102
35453,35453,1117.0,1568379265.0611985,1117.0,-76.18252870914631,565.9547046784849,60.53632647941656,668.7403273848156,0.9945043325424194,589.3694001051239,95.02764453437113,728.6819232897348,0.9576922655105592,610.4034974346278,32.690644253265035,742.5141039785867,0.9684735536575316,492.13500385254684,153.14850182478273,703.0693670127694,0.458151251077652,562.6662229066858,-11.079777129325834,748.8461771244959,0.7660629749298096,443.2247647590986,204.1992787132752,597.7824374119848,0.6632758378982544,457.3648606703469,-76.3086540841549,609.7735910387553,0.6199405193328857,588.5987446349485,263.6665747843483,386.9732959588752,0.770348846912384,558.0153572986812,-164.23235543688827,411.3007852343856,0.8484783172607422,780.7196240262136,291.401159650072,211.28751005052158,0.8721067309379578,754.8204325284231,-198.09201399142785,189.99015185520702,0.4615123271942138,450.295817063425,151.06014626477298,217.1124726008441,0.025152534246444702,377.9434022992408,-63.443605429049384,176.04920740104458,0.11498028039932252,716.6715159769528,146.18027472707985,117.76369478340644,0.08551320433616638,698.737848241183,-102.03359188370615,43.8428862010347,0.2173415124416352,565.2053220174017,206.4927182404156,-365.76634491405764,0.021671712398529053,286.12142152290073,-158.5467086845424,-772.7554654661574,0.013059884309768677,750.24,2100.17,6.08,271.24,1820.94,2093.02,7.79,90.16,1806.25,2093.06,7.82,90.16,1760.83,784.75,7.24,180.37,1790.11,2093.1,7.95,90.16,1760.93,800.12,7.15,180.37,1761.03,815.5,7.26,180.37,1302.07,2096.9,6.67,89.86,1288.5,2096.87,6.61,89.86,1067.13,2096.34,8.41,89.8,917.9,2094.45,8.32,90.06,844.21,2099.18,6.71,270.06,1g,11,1568378102
35454,35454,1117.0334884203282,1568379265.095074,1117.0334884203282,-76.72078270941205,566.5536796001272,58.97565603287769,667.3563089321177,0.9955660104751588,586.1743608442423,93.0542773722526,726.1010907315117,0.9725258350372314,620.8721039661219,31.81720670456855,745.1359777574197,0.9641040563583374,523.1909337376105,139.5508991308806,715.1115453827738,0.3192335665225983,555.3068086410543,-13.345361907516955,743.6559795536964,0.7872753143310547,444.41942808423005,196.32719798388337,592.5183539558674,0.7113314270973206,453.3246774544545,-77.42217771721258,604.8015582843018,0.6136409044265747,607.3744265527856,273.50119823903594,365.986122975798,0.8027850985527039,565.6054826670444,-168.9752790689727,402.5961906000928,0.8389242887496948,782.6760911563524,289.9602445716071,211.49269488312976,0.8963862061500549,758.9167139601218,-198.06411823648625,189.69548928042062,0.40105652809143066,467.7625687992732,160.8683761258304,195.0168531816953,0.003011286258697509,389.5692531466912,-66.58818933711788,174.202707886335,0.08443117141723633,671.2080646701453,154.1661463560429,-7.043710138278242,0.0951337218284607,646.938129835876,-100.18642967444336,10.604384129697024,0.4024143218994141,571.8875207844865,202.41813833334552,-407.25758836402633,0.014193385839462282,370.1044143897969,-134.10551518450927,-677.2032417504157,0.006645262241363525,750.0390694780302,2100.1733488420327,6.076651157967173,271.1730231593435,1821.2045585205933,2093.02,7.823488420328269,90.16,1806.5112096785608,2093.06,7.8300465260984815,90.16,1760.8266511579668,784.5055345316036,7.243348842032827,180.37,1790.3745585205936,2093.1,7.913162737638903,90.16,1760.9266511579672,799.8788833736363,7.1667442101641345,180.37,1761.0266511579669,815.2622322156692,7.226511579671731,180.37,1302.2910235741665,2096.9,6.636511579671731,89.86,1288.7210235741666,2096.87,6.599953473901518,89.86,1067.4146515727903,2096.34,8.440139578295444,89.81339536813131,918.1779538887248,2094.45,8.326697684065655,90.06,843.9856275838007,2099.18,6.71,270.06,1g,11,1568378102
35455,35455,1117.066334337392,1568379265.1282995,1117.066334337392,-72.73334944494142,568.8532331867348,62.18887345080171,673.5758299541152,0.99677711725235,599.6242153391303,89.5637080336122,731.7370247450319,0.9871716499328612,617.9574088048698,26.968966537008505,744.0003966660179,0.9737278819084167,510.2070972727314,142.6530256726386,710.353725540091,0.5488631725311279,564.9253483441419,-15.237798052882038,744.7044762415837,0.638567328453064,442.48548794546076,194.34730826430282,595.8735808499009,0.7278513312339783,452.96163440517563,-85.2950240795579,606.5419011539417,0.6755079627037048,608.9309954022096,272.00702789939487,364.9593262730055,0.8118720650672913,569.9738212850108,-173.21827002692226,394.24621277215414,0.7632743120193481,779.6611010436847,291.61052065596823,210.10148126866204,0.8820587396621704,770.3849161168498,-206.7395520618953,189.6176304507093,0.25007307529449463,473.1066636954959,167.54449866394668,183.13546625535457,0.002392202615737915,390.1109660700397,-67.33994077121268,174.59422713574506,0.06234756112098694,679.057022793207,151.61625776672702,-47.38326037432603,0.2970159649848938,640.0638571567847,-101.26976949135515,9.277622770588213,0.4906270802021026,576.4266123468956,201.5978684017451,-429.34346300069365,0.04523304104804994,407.63867502170973,-122.0371245275169,-631.7395767940789,0.005721926689147949,749.841993975648,2100.176633433739,6.0733665662608,271.10733132521597,1821.4640412653966,2093.02,7.8563343373919965,90.16,1806.767407831657,2093.06,7.8399003012175985,90.16,1760.8233665662606,784.2657593370384,7.246633433739199,180.37,1790.6340412653967,2093.1,7.877032228868804,90.16,1760.923366566261,799.6423927707776,7.1831671686959995,180.37,1761.0233665662606,815.0290262045168,7.193665662608002,180.37,1302.5078066267872,2096.9,6.603665662608004,89.86,1288.9378066267873,2096.87,6.590099698782401,89.86,1067.6938418678321,2096.34,8.469700903652798,89.8265337349568,918.4505750003538,2094.45,8.333266867478399,90.06,843.7655599394735,2099.18,6.71,270.06,1g,11,1568378102
35456,35456,1117.1,1568379265.1623542,1117.1,-73.8217890622728,569.4035965082454,62.90535819270757,673.1740964979721,0.996235191822052,595.2236623927872,86.18495085731772,734.04910265955,0.9910510182380676,625.7325584567989,26.283842553770057,744.5646629994815,0.9771965742111206,513.7954426336506,138.43789314372538,716.7989993140587,0.4583594501018524,553.4726331375372,-16.383680086579034,733.9568950944487,0.4634036123752594,446.35150448572426,181.58333789322208,586.9093738021346,0.1918236613273621,451.6494188351695,-86.44266842640455,599.808739100063,0.7819083929061891,595.6027758714949,263.4584261758636,372.75832806845705,0.9554407596588136,561.5460552789449,-175.97454506637908,403.6329332554174,0.7386258840560913,774.2773801234296,298.93196281681804,212.0547883232296,0.6091844439506531,778.8942664662587,-203.93181289438343,187.2802888750796,0.12998232245445251,457.52201687519465,157.35719755829882,168.2494969702099,0.02659037709236145,391.8424945225344,-69.43776553734514,179.12261963380095,0.04267233610153198,715.7115896502581,173.03300125301655,22.774572153567252,0.016487270593643192,646.430118097981,-104.81032282616763,31.60382466475781,0.2485788464546204,565.1371444423764,199.9902618589769,-447.9426898144146,0.014835506677627562,362.47790328515504,-115.24073064581637,-639.1779486105409,0.007957875728607178,749.64,2100.18,6.07,271.04,1821.73,2093.02,7.89,90.16,1807.03,2093.06,7.85,90.16,1760.82,784.02,7.25,180.37,1790.9,2093.1,7.84,90.16,1760.92,799.4,7.2,180.37,1761.02,814.79,7.16,180.37,1302.73,2096.9,6.57,89.86,1289.16,2096.87,6.58,89.86,1067.98,2096.34,8.5,89.84,918.73,2094.45,8.34,90.06,843.54,2099.18,6.71,270.06,1g,11,1568378102
35457,35457,1117.1361831805493,1568379265.1989427,1117.1361831805493,,567.4299418993278,56.719467757825356,671.3749597513536,0.9962183237075806,591.9265180031102,77.04020651942791,731.06280534815,0.9934866428375244,606.3366903713297,21.77146740396153,736.3819329119849,0.9678179621696472,514.2515202442504,131.79259916567364,719.3217816605569,0.5174300670623779,549.4290805136703,-17.40437894933833,729.5107705863054,0.4597940146923065,445.77276030082254,175.17697361108043,583.9422839298386,0.22989562153816226,451.3290769255892,-93.830599596556,598.4751879365137,0.7457476258277893,593.3091331119616,258.51199970250514,383.8202287231603,0.9414306282997132,561.6935091059287,-172.52541530166616,402.5149300891101,0.5631601810455322,777.9475239037956,295.0549939994172,211.92984403159645,0.8559703826904297,780.7746952560085,-206.39783609163888,189.20616371504212,0.12340953946113585,432.4988934728896,151.5323916286597,181.03348020463403,0.05261364579200745,394.3445854376306,-76.94880325312646,186.31596047586743,0.09433665871620177,667.757203415363,187.63223281195854,26.46878702228199,0.061549872159957886,671.4269470995098,-98.55015804519924,48.48237142465239,0.10608658194541933,546.7399587218326,198.17094434534226,-476.4860313306827,0.01500999927520752,320.74199578730673,-114.35392137179608,-665.0263917601142,0.0073353350162506095,749.4192825986487,2100.1836183180553,6.07,270.97125195695617,1822.0122288082848,2093.02,7.861053455560508,90.16,1807.3158471263398,2093.06,7.882564862494428,90.16,1760.82,783.7594811000446,7.2391450458351905,180.37,1791.18584712634,2093.1,7.872564862494428,90.16,1760.92,799.1358627819898,7.218091590274682,180.37,1761.02,814.5294811000446,7.185328226384557,180.37,1302.9688089916258,2096.9,6.588091590274682,89.86,1289.398808991626,2096.87,6.594473272219746,89.86,1068.2875570346696,2096.34,8.507236636109871,89.84723663610987,919.0339387166147,2094.45,8.361709908329619,90.06,843.2975726903192,2099.18,6.71,270.06,1g,11,1568378102
35458,35458,1117.1361831805493,1568379265.1989427,1117.1361831805493,,569.1658550455684,53.24099205307529,672.5405557665176,0.997333526611328,604.8255015340106,77.01459836029754,738.2805452375853,0.9934533834457396,616.9590106751867,17.649247572468468,742.3568184233034,0.954620361328125,522.4681309963373,128.4336840079398,724.7435725585492,0.4676134884357453,564.8712029957427,-19.711626923797244,738.6932611013194,0.6152416467666626,445.65150886286006,182.6796713393756,597.2996612697648,0.7499281167984009,448.0934853649125,-91.06898673433487,593.1033251425265,0.41746073961257935,601.704976571743,267.2607097303994,368.1543941426373,0.8678072690963745,562.9739135493443,-172.8314064026645,399.62590380309786,0.6496429443359375,774.6113404821305,295.00007096728467,209.44761737387526,0.8952520489692688,782.4991458080009,-207.976832341218,190.9937308214897,0.21307620406150812,446.01425442167954,162.74645278523334,162.0956068791091,0.003723800182342529,407.1235457541432,-80.169954951354,191.01950903179954,0.12266147136688232,690.7044927751538,175.52387631914957,-13.88225446132293,0.02368009090423584,698.9221852453661,-91.12974756211256,77.405419205209,0.07386776804924011,535.6241699165425,200.48374727405144,-492.21919618849495,0.015208661556243896,253.39171400848682,-118.40663693217623,-725.8462887106124,0.009999215602874756,749.4192825986487,2100.1836183180553,6.07,270.97125195695617,1822.0122288082848,2093.02,7.861053455560508,90.16,1807.3158471263398,2093.06,7.882564862494428,90.16,1760.82,783.7594811000446,7.2391450458351905,180.37,1791.18584712634,2093.1,7.872564862494428,90.16,1760.92,799.1358627819898,7.218091590274682,180.37,1761.02,814.5294811000446,7.185328226384557,180.37,1302.9688089916258,2096.9,6.588091590274682,89.86,1289.398808991626,2096.87,6.594473272219746,89.86,1068.2875570346696,2096.34,8.507236636109871,89.84723663610987,919.0339387166147,2094.45,8.361709908329619,90.06,843.2975726903192,2099.18,6.71,270.06,1g,11,1568378102
