,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,conflict_1g_x,conflict_1g_y,conflict_1g_speed,conflict_1g_angle,scenario,participant_id,source_file
36499,36499,1148.8332853624306,1568978899.534837,1148.8332853624306,-83.20182368397576,573.9164507925846,-5.4893857553452285,559.9746277329457,0.9944850206375122,566.5537182223799,29.176686260574456,591.8739041363452,0.9968600273132324,562.4839085822941,-30.483424861036593,596.7617054930142,0.9077239632606506,545.8677097195954,79.97729368413637,597.3914861787338,0.7519558668136597,580.2087091016638,-65.0472696633474,616.5155351566128,0.5257739424705505,458.9385723486748,125.6870456891653,460.21869850760737,0.9472486972808838,463.8581469157975,-107.23304063798271,469.59200375806427,0.9684314727783204,622.3982885313459,233.71465050296126,343.0428404612804,0.820686936378479,600.4943218067788,-199.0878302425685,322.7397454676124,0.9120948910713196,770.4028820068539,248.82417826220345,204.37709024682425,0.7743847966194153,768.2366476727425,-217.25430088647664,182.1198421119833,0.872238039970398,496.47792287139947,121.66665115365349,159.58312955660628,0.2226132154464721,414.31916726095847,-66.28504449525238,115.10255436304016,0.3448857665061951,560.7079885084413,143.10735993665742,-94.47234082740006,0.02143397927284241,685.0636582835473,-55.946477223701756,-10.695609695052411,0.04770532250404358,301.0004215836498,181.169446124992,-713.1872765001273,0.0028635263442993164,515.0612209905294,-81.69430353888131,-478.2423326823984,0.005252331495285034,758.063673926741,2099.41,7.093342927513831,269.8466426812154,1678.259654609502,2093.9566714637567,7.09329975370159,90.57,1617.289597044419,2094.566671463757,8.366657072486168,90.57,1761.2,949.2170168542548,7.386685855027663,179.85,1761.1533285362432,964.7336883180118,7.390014391270747,179.85,1761.113328536243,980.2536883180118,7.37,179.85,458.5496402182313,2094.163328536243,7.536685855027662,89.67,444.17964021823127,2094.08,7.54,89.67,429.62964021823126,2093.993328536243,7.606685855027663,89.67,810.5470312455255,2099.22,7.58,270.06,1g,25,1568977693
36500,36500,1148.8668439919431,1568978899.5683615,1148.8668439919431,-83.13684120864212,574.7805222624528,-4.178946776833257,558.1683942543332,0.993592381477356,567.4653364611618,30.287685591839058,590.5585577562042,0.9964604377746582,566.8996071464427,-28.54362552453939,597.0208947143985,0.93078875541687,545.3341993575985,81.46671208640527,598.9388636651878,0.7066051363945007,586.9750032260338,-61.951566448047984,622.4200315040714,0.6100928783416748,453.4323286348938,124.49702711501423,459.0778181887862,0.941986918449402,481.269460731724,-100.6374889526857,478.80335456545686,0.9770309925079346,623.8009203823011,238.2313395143148,340.34614014802287,0.7763605117797852,584.725747335931,-200.63392371877416,327.3194764477288,0.5600804686546326,769.2016136196371,246.5344165738112,206.33653119724687,0.7911515831947327,758.5648693519728,-218.00127071351727,193.8308807688356,0.5925331711769104,499.3968077808729,114.67273102026381,168.6701665603959,0.22157588601112368,416.3877354439663,-68.21948686734369,148.81523704053959,0.7554137706756592,591.92760612035,150.52834876236096,-64.96497966614038,0.008102566003799437,575.3093399337644,-57.57989038020634,-85.49820623882349,0.10538753867149353,235.02175528174644,209.0575306107373,-779.4511250438063,0.0017454326152801516,456.3650188763816,-84.94861219959368,-543.2802681721737,0.0044588148593902605,757.8254076572058,2099.41,7.086631201611426,269.8634219959714,1678.501276741989,2093.9533156008056,7.116790794360008,90.57,1617.57148953232,2094.5633156008053,8.373368798388574,90.57,1761.2,948.9720388588173,7.373262403222853,179.85,1761.1566843991945,964.4853544596228,7.379946802417138,179.85,1761.1166843991941,980.0053544596228,7.37,179.85,458.80132993957153,2094.1666843991948,7.523262403222853,89.67,444.4313299395715,2094.08,7.54,89.67,429.8813299395715,2093.9966843991947,7.593262403222853,89.67,810.2919856612343,2099.22,7.58,270.06,1g,25,1568977693
36501,36501,1148.9,1568978899.6014838,1148.9,-105.99543757874895,575.6868579147672,-0.3404724804066106,556.5341587484114,0.9926335215568542,558.8156959735876,31.69471080332314,587.0762047975883,0.9964306354522704,567.6105679277332,-24.72909449194113,596.7031007975636,0.9387337565422058,545.7719163207014,81.35507489789912,597.975935339623,0.7350163459777832,574.9571030677553,-58.760908284021575,615.64359244053,0.5562065839767456,447.7107521285113,124.25407773856878,457.2418734861997,0.9438689947128296,481.08158918433526,-97.5384025417424,482.85160425002886,0.9753249287605286,630.9457834114146,237.74837079876846,345.30244150286455,0.7889212369918823,590.9203329111516,-199.3957566526151,334.9812150659436,0.6034702658653259,779.9061506672888,246.1549036273113,215.22092681102436,0.8150672316551208,750.2723252728285,-219.32933114353366,192.9010566313708,0.5915216207504272,494.13131608359686,108.58859443025575,167.5930117550531,0.19374233484268188,421.1041972467012,-70.18901414882848,158.47655385827542,0.7415911555290222,606.0656065299238,152.4295605121011,-51.40638062566515,0.007015198469161986,520.0351065032743,-61.65879533438379,-122.58825110493704,0.07466301321983337,280.11849053975453,217.42260122011436,-732.1281554711755,0.001904129981994629,426.2416921499691,-84.65658322209333,-577.5534952917254,0.003205031156539917,757.59,2099.41,7.08,269.88,1678.74,2093.95,7.14,90.57,1617.85,2094.56,8.38,90.57,1761.2,948.73,7.36,179.85,1761.16,964.24,7.37,179.85,1761.12,979.76,7.37,179.85,459.05,2094.17,7.51,89.67,444.68,2094.08,7.54,89.67,430.13,2094.0,7.58,89.67,810.04,2099.22,7.58,270.06,1g,25,1568977693
36502,36502,1148.933272331362,1568978899.6348176,1148.933272331362,-78.054881805947,574.8505453783308,0.7772545239666186,558.5344835762717,0.9952511787414552,571.9267133281933,31.762177197823785,590.8725014139322,0.9972578287124634,575.0200425060358,-21.64969455201082,600.893217778146,0.95621657371521,545.2428386388698,85.24042594315337,599.5829422865743,0.7477419376373291,579.4378866037201,-55.28241057863181,619.7485539173888,0.6015283465385437,451.7769960886002,133.07833785920042,461.34522306816825,0.9369665384292604,475.83882613613235,-99.20201040009992,480.902187992153,0.9833542108535768,628.0012347029016,239.42197652758247,344.6907377046099,0.7649624347686768,580.8703362301587,-199.41660458829259,333.1040443377712,0.6273185014724731,776.8490350848732,247.4724342999804,212.76431859064442,0.8204466700553894,754.6505175461185,-218.86454879692928,195.93089144677884,0.584088921546936,483.65656360354967,107.77001065154928,167.23657584132584,0.15322762727737427,407.6970459127069,-72.43597942155168,157.689525708479,0.7444381117820741,627.6891905117185,150.84629503064343,-0.647060637019564,0.006935477256774902,484.31607450446313,-80.67789728273014,-108.30149251244134,0.18609189987182612,319.97681222032213,221.5961099134484,-650.4719388890843,0.004614561796188354,391.37656831924505,-87.91806384000068,-570.4258250721138,0.0059423744678497314,757.3537664473296,2099.41,7.083327233136204,269.8666910674552,1678.9729063195346,2093.95,7.1167093680465685,90.57,1618.122833117169,2094.56,8.343400435501753,90.57,1761.2,948.4837847479207,7.3633272331362045,179.85,1761.16,963.9971119810573,7.350036601182773,179.85,1761.12,979.5171119810569,7.366672766863796,179.85,459.2995424852154,2094.17,7.513327233136205,89.67,444.9295424852154,2094.083327233136,7.536672766863796,89.67,430.3828697183515,2094.0,7.589981699408614,89.67,809.7904575147847,2099.22,7.58,270.06,1g,25,1568977693
36503,36503,1148.9669430397066,1568978899.6685505,1148.9669430397066,-78.44500747885913,578.4451413238245,2.7261389018718845,556.4332054408109,0.9958997964859008,568.8606055954461,33.003538008856594,588.3660955280045,0.9974015355110168,565.6262449710117,-20.997048124066986,597.4415442471534,0.9659805893898008,548.6448949840692,86.64311809851284,600.1562319638193,0.698822021484375,583.0893734386973,-54.12514356626731,622.1716011634328,0.5632429122924805,451.5110158690118,130.6888556419625,462.74244084140366,0.9386680126190186,476.7610319447468,-98.79487703889627,477.9663412002742,0.9793476462364196,614.1662294502422,244.9052786897936,354.75134457425025,0.7322875261306763,586.9425503975024,-197.00507469777043,334.1994286264928,0.6453312635421753,780.8773887609822,244.0301948642378,210.92895028390274,0.9046347141265868,769.9832588047262,-217.22009001005887,207.12040019643,0.5326626896858215,479.0552729262101,112.83568850640556,168.32547537231181,0.19989970326423645,412.9474175959005,-79.8668234502632,133.98842867193295,0.5535570383071899,639.0455340153783,147.27194312541653,19.14861057997689,0.012763231992721558,521.7751061598793,-92.77563155726044,-93.90097277257291,0.06457766890525818,398.8931174615178,186.72331404412083,-589.6426536167718,0.00198286771774292,478.39140225334836,-86.95235878160912,-502.02978326136525,0.00497022271156311,757.1147044180817,2099.41,7.086694303970683,269.85322278411724,1679.2086012779478,2093.95,7.093139872205228,90.57,1618.398932925596,2094.56,8.3063626563225,90.57,1761.2,948.2346215061696,7.366694303970682,179.85,1761.16,963.7513158101402,7.329834176175909,179.85,1761.12,979.2713158101402,7.363305696029317,179.85,459.5520727978012,2094.17,7.516694303970683,89.67,445.18207279780114,2094.086694303971,7.533305696029317,89.67,430.63876710177186,2094.0,7.600082911912046,89.67,809.5379272021988,2099.22,7.58,270.06,1g,25,1568977693
36504,36504,1149.0,1568978899.7016685,1149.0,-83.01621499108371,576.0478527803149,4.987851139429592,556.6400739351001,0.996308445930481,572.7260562693433,35.099604750447476,590.8795154531048,0.9976304769515992,575.3470079897703,-19.511234863165182,600.1768736421259,0.9669134020805359,545.7217211760848,86.09964160805097,600.2539554520117,0.6374434232711792,591.3148382728242,-53.79746543913943,625.3701102609617,0.5939664244651794,442.3652176440886,131.26383738989358,458.6500839249402,0.9388664364814758,473.3171862217003,-98.02897074616068,474.2587967780437,0.9780927896499634,623.8963410676478,241.326428798627,348.93894267058215,0.6770325303077698,570.4882234261934,-200.62404995907468,323.3542962968887,0.6151342391967773,791.7663698942916,236.17187325406985,218.184622899506,0.9558453559875488,752.9863453282775,-220.9857950582129,195.33965115203853,0.5903151035308838,476.89915422149636,119.98308162405036,160.83231039675698,0.2246970236301422,429.6284636507588,-81.23373194902888,120.26478149038185,0.7470511794090271,744.7567991565901,142.57672472754456,59.81618061080823,0.040965914726257324,710.5603896011081,-77.65410734442294,17.644955907729553,0.08449512720108032,499.02358613267074,165.84198588887608,-498.010585461836,0.002187103033065796,440.7954973190664,-118.25592327211443,-549.7801840816745,0.007030665874481201,756.88,2099.41,7.09,269.84,1679.44,2093.95,7.07,90.57,1618.67,2094.56,8.27,90.57,1761.2,947.99,7.37,179.85,1761.16,963.51,7.31,179.85,1761.12,979.03,7.36,179.85,459.8,2094.17,7.52,89.67,445.43,2094.09,7.53,89.67,430.89,2094.0,7.61,89.67,809.29,2099.22,7.58,270.06,1g,25,1568977693
36505,36505,1149.0331167347708,1568978899.735193,1149.0331167347708,-78.44500747885913,571.5106244367988,2.2989062404464207,554.6744023417025,0.9947715997695924,568.4566653197944,34.16437081712466,589.4887433052234,0.9969257116317748,570.1217017204852,-20.733035303949137,597.6769656644898,0.9555301070213318,543.5776539007596,85.24538312930123,598.7215389007013,0.6538575887680054,586.1962509046889,-54.13439825281423,622.6672457840689,0.572385311126709,441.8510877515785,126.44382061009537,457.2129007596686,0.9344838261604308,477.1518169254637,-96.8738712826613,476.4523802529087,0.981927454471588,619.0914190611353,238.36322703298873,341.6982987279754,0.7814922928810121,578.1218564739673,-199.65053796231254,327.65272780881963,0.6655623912811279,793.2416412470036,232.77783846861672,217.0180138908869,0.9387695789337158,743.1185734801518,-221.7626624340873,188.24188518436364,0.6515073180198669,483.1472032732735,122.11079162169256,151.78380499007474,0.3380695581436157,439.7534689274685,-87.83652723456169,115.38507446821043,0.7778141498565674,668.503968313732,146.71076638787562,-53.3785056792467,0.05274668335914612,798.5890780765558,-83.47699042315534,79.54803895578837,0.16778922080993652,534.6495637061869,183.32964494769473,-468.36333001652963,0.003376781940460205,494.68959614655364,-128.92683399726994,-501.4616316758581,0.003849893808364868,756.6448711831267,2099.41,7.0833766530458275,269.8168182856604,1679.6751288168732,2093.9466883265227,7.063376653045827,90.57,1618.9481805720752,2094.5566883265233,8.299805061293773,90.57,1761.2,947.7449361626956,7.3766233469541715,179.85,1761.16,963.2649361626956,7.3331817143396,179.85,1761.12,978.7849361626957,7.3566883265229155,179.85,460.04837551078145,2094.17,7.510064979568742,89.67,445.6816871842585,2094.09,7.526688326522914,89.67,431.1416871842585,2094.0033116734767,7.590129959137485,89.67,809.0383128157414,2099.22,7.58,270.06,1g,25,1568977693
36506,36506,1149.0659963023586,1568978899.7684774,1149.0659963023586,-105.99543757874895,566.8006858473426,1.9028656716680707,552.9352883105944,0.9945861101150512,559.0298914555433,33.747306423302675,586.850132520957,0.9971308708190918,567.9179293150121,-21.866724625204817,596.8755893847925,0.9537450075149536,533.7304305622631,83.6007905618234,593.8702442856477,0.7232291102409363,570.5644265262332,-56.50042829747826,615.165255029895,0.5859553217887878,449.8278289391123,123.87321617183132,456.900277999271,0.9435702562332152,469.025633382342,-100.48814284693572,469.8509995404385,0.9757686257362366,614.3646953242572,232.95964824920878,336.18342879851923,0.8314254283905029,595.3293246902351,-199.5745743561517,333.8292071771775,0.6224514245986938,790.9305059763881,233.8922050490484,213.56364246206857,0.928145468235016,743.7472403234552,-221.10544384886902,188.96669262273045,0.654908299446106,478.8796088203984,126.62075467703006,141.69724304697618,0.3452143967151642,434.205241252232,-86.80243514190066,116.7263936067024,0.6596381664276123,671.3420387680948,147.07706269136483,-71.05344560684145,0.08303683996200563,817.9513001412885,-90.42570510604784,95.42614570321888,0.08888882398605348,536.1218102882016,163.56860843236038,-465.5933115882349,0.005879193544387817,684.4338050746701,-119.48140994741655,-313.63472154249354,0.0074421167373657235,756.4114262532535,2099.41,7.0768007395282675,269.7938025883489,1679.9085737467465,2093.9434003697643,7.056800739528267,90.57,1619.2243689398126,2094.5534003697644,8.329396672122794,90.57,1761.2,947.501627362546,7.3831992604717325,179.85,1761.16,963.0216273625459,7.356197411651062,179.85,1761.12,978.5416273625459,7.353400369764134,179.85,460.29497226768996,2094.17,7.500201109292402,89.67,445.9315718979257,2094.09,7.523400369764134,89.67,431.3915718979258,2094.006599630236,7.570402218584804,89.67,808.7884281020741,2099.22,7.58,270.06,1g,25,1568977693
36507,36507,1149.1,1568978899.8028998,1149.1,-81.3650424528647,578.6666595975759,-0.29761892915256993,559.9199604006799,0.9953026175498962,562.9955420497639,31.83219170028988,587.838563000525,0.9972487092018129,567.8545685754856,-24.64972239535196,596.28089257589,0.9557662010192872,543.199380415131,81.86648290436244,598.4103322574806,0.7194650173187256,574.5168454895086,-59.95545685897424,618.691021726175,0.6497570276260376,447.4513878458372,128.62950433076296,457.4423682344003,0.9449431896209716,474.0357111003182,-104.58178476829978,470.14834081985236,0.9668990969657898,620.7475352125838,231.96668014399376,337.9760902046476,0.8268022537231445,612.247978878415,-200.9063106748056,329.8373188213198,0.9841437339782716,793.0069428567807,239.84531178938155,217.62347543313518,0.8997380137443542,767.4313156455675,-221.7765480530373,178.23072418656218,0.9013915657997132,459.80817528538483,127.07680087190086,122.59555987462772,0.404332846403122,469.61122793819015,-81.52825569554709,139.94734447112387,0.4747100174427033,591.9474189045862,139.4380921524683,-152.73581404889038,0.06970223784446716,818.3964633066969,-84.34252440212771,93.68554225644158,0.06006398797035217,515.6801568308001,154.94848780025083,-490.462104287687,0.009252935647964478,546.7837140011239,-139.44061844017529,-456.10644493379004,0.007179409265518189,756.17,2099.41,7.07,269.77,1680.15,2093.94,7.05,90.57,1619.51,2094.55,8.36,90.57,1761.2,947.25,7.39,179.85,1761.16,962.77,7.38,179.85,1761.12,978.29,7.35,179.85,460.55,2094.17,7.49,89.67,446.19,2094.09,7.52,89.67,431.65,2094.01,7.55,89.67,808.53,2099.22,7.58,270.06,1g,25,1568977693
36508,36508,1149.1320287117492,1568978899.8352408,1149.1320287117492,-78.78938332283059,570.9543117036658,-4.414631748236687,561.5993658570526,0.9950525164604188,562.5678425337194,30.001103296934748,589.2257426995386,0.9970598220825196,568.6572524878875,-28.089796371293893,598.5760592420048,0.931504726409912,537.2961682623578,80.46157748624117,595.2956776823247,0.762415885925293,579.1323315913628,-61.15751882069789,620.8475821691651,0.6906294822692871,456.9156453208917,132.86581778581802,460.354130076344,0.6911847591400146,478.3592175072288,-107.04015077581717,472.4059135345629,0.9567272663116456,627.7505454738332,233.05583286707085,340.54618651699343,0.8287252187728882,618.0132822938288,-198.48481762767398,330.2965835684182,0.8826345205307007,763.8182256150862,246.0305862812312,197.05366947991703,0.8193119764328003,762.7183059221526,-222.3629677117344,172.9731151670071,0.9104902744293212,473.0917782846312,124.29927025342569,119.6954710855522,0.4592876136302948,478.95258558410063,-82.8982154477643,135.34558667757454,0.4439463317394257,602.8492172052469,134.39207159327557,-145.81365149019155,0.06827443838119507,790.9314855343389,-96.4649749670434,45.53614686691765,0.04640445113182068,500.300024580968,152.1692712374184,-509.6678357368903,0.01327267289161682,590.8478082163901,-135.58394468841172,-412.78302709374964,0.006559908390045166,755.9457990177555,2099.406797128825,7.07,269.7635942576501,1680.3774038534195,2093.936797128825,7.062811484699688,90.57,1619.7758383075186,2094.5467971288253,8.334377030600624,90.57,1761.2,947.0129875330557,7.380391386475233,179.85,1761.16,962.5361904042306,7.367188515300312,179.85,1761.12,978.0561904042306,7.343594257650156,179.85,460.7902153381192,2094.173202871175,7.48679712882508,89.67,446.4270124669442,2094.093202871175,7.497579901775548,89.67,431.89341820929405,2094.01,7.562811484699687,89.67,808.2865817907059,2099.22,7.58,270.06,1g,25,1568977693
