,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,W_in-P_out.8_x,W_in-P_out.8_y,W_in-P_out.8_speed,W_in-P_out.8_angle,conflict_1g_x,conflict_1g_y,conflict_1g_speed,conflict_1g_angle,scenario,participant_id,source_file
39827,39827,1298.8665006642482,1568114772.7965305,1298.8665006642482,,642.9785776520781,44.04354958452584,631.7144366473926,0.998705506324768,635.510265722271,67.70756593340704,676.4509082695757,0.9858459234237672,621.8609423989078,11.36763355390204,671.6348107355923,0.9695950746536256,581.7418563203188,118.17728576092182,672.4960931643053,0.8762639164924622,544.2007758971733,-33.696348959501904,646.1700820494237,0.34688234329223633,529.9443209335408,177.38216418472226,513.1885156275307,0.874430775642395,505.59596820246765,-60.6166439420705,515.1695521285374,0.5044539570808411,641.0550090486578,285.3765331030969,302.2155205720293,0.94269460439682,574.7343341828163,-163.32732094307624,322.35289980742317,0.6948519945144653,827.2324944398077,302.5140869324528,207.23583325122857,0.8325390219688416,714.9332394296488,-194.42929686008324,167.41073965508568,0.9433478116989136,550.0477964623054,163.39386381228368,41.63791297590407,0.5781660079956055,485.1761071700679,-32.72292885333527,-32.09770936546542,0.64984530210495,211.69403425831837,278.83923206829877,-783.6159370635022,0.13825854659080505,516.2514159038624,-63.8377389369772,-459.00117131837936,0.1479436457157135,305.3414383450437,269.8821042892103,-759.4960296208385,0.03381755948066712,609.9281305460454,-61.72615946222382,-424.42476090769236,0.2695047259330749,724.7641965459097,2098.71,5.085803454090293,266.39401062797015,1885.2187051811356,2092.843349933575,7.800049800725559,90.16,1866.1385557789588,2092.9,8.786749667875933,90.16,1450.0287549818609,2096.2433499335752,7.5467496678759325,90.57,1435.6154050482858,2096.3933499335753,7.640049800725559,90.57,1316.4452058453835,2096.936650066425,8.803399734300745,89.86,1166.721905712534,2096.58,8.613200531398506,89.86,776.3818559118083,2094.6,8.843349933575189,90.06,847.3112948188646,2099.176650066425,7.76,270.06,1g,5,1568113453
39828,39828,1298.9,1568114772.830017,1298.9,-86.33407407331848,649.9639821965045,50.023408936220726,634.9968099561981,0.9983221888542176,625.1832570736417,72.39057728606352,671.5400351875222,0.9875522255897522,629.9188717495015,17.575042989409766,672.6284219341235,0.9742724895477296,601.1633102741356,119.68809485124486,680.2589837869514,0.8849939703941345,542.8942404343618,-29.928440205587073,647.9704773270395,0.3416971564292908,524.6627383127781,184.71665706414302,506.8312013738838,0.9480525851249696,502.9799077094463,-59.56035165706604,518.8745645598599,0.735923171043396,643.7617528393478,281.9149757114212,314.4427263558452,0.9623571038246156,584.786435759685,-162.77000982046758,328.2225160845372,0.6617156863212585,831.5752905220842,291.11318064503524,204.09417531924217,0.5382620692253113,711.5019543419339,-195.41131634829057,163.32571831194642,0.9516690969467164,566.6127449973485,160.59788084821753,59.96129579244968,0.6599099636077881,486.5462377444993,-33.958803696587275,-30.1478651769963,0.6192813515663147,217.49939121476527,288.86746357034804,-772.7567959834987,0.11590456962585448,489.4536296204853,-58.317176107380114,-489.3100138145923,0.20943185687065125,261.6406531294936,288.2953759583635,-807.5393057924917,0.02213573455810547,650.8705850232781,-56.18573177152759,-373.8838277107435,0.2960968911647797,724.59,2098.71,5.26,266.93,1885.48,2092.84,7.79,90.16,1866.43,2092.9,8.77,90.16,1450.28,2096.24,7.53,90.57,1435.87,2096.39,7.63,90.57,1316.74,2096.94,8.79,89.86,1167.01,2096.58,8.64,89.86,776.68,2094.6,8.84,90.06,847.05,2099.18,7.76,270.06,1g,5,1568113453
39829,39829,1298.9333150722782,1568114772.8633645,1298.9333150722782,-101.729595052133,641.9249793582272,50.047479342874496,635.304140787018,0.9982796907424928,632.6778455753124,77.16613439663092,672.0177419662252,0.9968856573104858,629.3743643299651,21.009140891149293,670.9807989111821,0.9794527292251588,588.8891499321447,121.3519045467404,676.2334760765661,0.8572397232055664,549.9713551743358,-21.75019730910006,648.8630309208122,0.4894424080848694,527.1879949186484,189.26196521988584,508.88083989036414,0.9232860803604126,506.36044238639874,-57.721398242954045,522.1520925943731,0.9254634380340576,620.3575344446203,280.21911565481344,313.0235323832865,0.263037383556366,583.460859925799,-163.59933196943166,326.8217139909443,0.6848083734512329,829.1019278943506,286.25832307023836,202.67875548739232,0.8313369750976562,708.8080507851738,-196.1378810347168,159.52082331436424,0.9573103189468384,532.4301940225477,159.18900427293676,102.52618738379348,0.5393352508544922,491.34644138219335,-33.75987333299254,-8.268773692181895,0.44020742177963257,449.4215527882658,221.46934290697502,-384.81164789468585,0.09239834547042848,494.3568436505285,-58.7595386067015,-417.5283688220414,0.1077750325202942,303.6135976914441,261.6620301771264,-762.9264413459921,0.028828710317611694,589.6340187543677,-58.80445176650871,-426.0489404451789,0.3979588449001312,724.4234246386093,2098.7166630144557,5.170049304848972,267.4330575914002,1885.7398575637694,2092.84,7.793331507227815,90.16,1866.723172636048,2092.8966684927727,8.756673971088736,90.16,1450.533194549314,2096.24,7.53,90.57,1436.1198630420859,2096.386668492772,7.583358898810578,90.57,1317.0331726360478,2096.94,8.799994521683447,89.86,1167.296509621592,2096.58,8.626673971088737,89.86,776.9731726360478,2094.6,8.833336985544369,90.06,846.7901424362303,2099.18,7.76,270.06,1g,5,1568113453
39830,39830,1298.9669883788233,1568114772.8970704,1298.9669883788233,-87.23509186119698,645.1703668543488,52.14593165008296,636.4232728925538,0.9984897375106812,633.6399389549332,79.37953940612718,671.1849624549328,0.9969712495803832,633.287921450469,24.5942090873121,671.5580596901401,0.978669047355652,598.8123618097923,122.65379422995592,678.1875575173657,0.7975745797157288,556.7683471722294,-18.720421712836828,653.7326204085507,0.4492372274398804,530.8299294593296,188.92429371340745,512.3618462612699,0.9229717254638672,507.2919230967158,-56.21126086993661,521.295356799915,0.9440115690231324,616.7341867028467,277.43373850292284,317.4365897866785,0.2644609212875366,586.2781994703922,-161.0429528221126,329.9082066145322,0.7210738062858582,824.5564458293834,287.7260925004483,203.1248011273141,0.8826902508735657,736.7070135340589,-193.66328165760913,179.35260100132268,0.9483380317687988,531.0589429766059,157.7604417777033,135.1494757614837,0.582240879535675,468.3825687966954,-33.470017721765245,-21.08413569825842,0.27341124415397644,475.445682732583,213.22755870680803,-339.66371943099705,0.07844159007072449,448.2396853891723,-61.67738012368808,-450.33580970735375,0.05767807364463806,300.67811908750144,280.06062086563617,-758.7128336394072,0.007445544004440308,509.8372315118797,-65.47290806502502,-502.77164446443567,0.2501370310783386,724.2550581058837,2098.7233976757648,5.079131377177127,267.9415245202316,1886.002509354821,2092.84,7.796698837882327,90.16,1867.0194977336448,2092.8933011621175,8.743204648470687,90.16,1450.789111679057,2096.24,7.53,90.57,1436.3724128411745,2096.3833011621177,7.536216269647398,90.57,1317.3294977336448,2096.94,8.810096513646986,89.86,1167.5861000578802,2096.58,8.613204648470685,89.86,777.2694977336447,2094.6,8.826602324235344,90.06,846.5274906451782,2099.18,7.76,270.06,1g,5,1568113453
39831,39831,1299.0,1568114772.930114,1299.0,-87.37617077059826,649.067178236751,52.34209644053709,637.4989702095215,0.9984397888183594,633.2992163844921,80.04932279070623,671.9801134892448,0.9879533052444458,631.9892847238855,25.83807965284707,670.6385654545453,0.979665219783783,593.6973442078703,125.5595671568865,674.2361938367403,0.8222466707229614,563.6873008946691,-17.16339436284015,659.2678010419015,0.5744284391403198,535.3207446759475,188.75733123647458,514.5620576522199,0.9320663213729858,506.45640172836363,-55.88198881479821,523.0768323844867,0.9391767382621764,612.9575728529578,275.6295197808563,316.54393980019023,0.29366761445999146,591.6231918686389,-160.05798540385663,334.6406869871463,0.7174093723297119,821.7039382263765,288.62252752710685,200.097691620594,0.8484207987785339,737.5959432947722,-192.61892903584047,183.76638719884613,0.9510214924812316,534.8325506857697,157.17144423090332,152.44637183250413,0.5085352063179016,458.4638786302372,-35.82443566568178,-20.4385289319898,0.15003007650375366,496.97276005859254,213.38777972082215,-314.18377757756315,0.046933114528656006,423.1794433694332,-67.36579491821955,-485.62934471738197,0.22310853004455566,278.9224022085155,298.06745542225553,-778.3327407226815,0.0051438212394714355,464.9447467202357,-66.65703027292379,-560.9577414021313,0.04595455527305603,724.09,2098.73,4.99,268.44,1886.26,2092.84,7.8,90.16,1867.31,2092.89,8.73,90.16,1451.04,2096.24,7.53,90.57,1436.62,2096.38,7.49,90.57,1317.62,2096.94,8.82,89.86,1167.87,2096.58,8.6,89.86,777.56,2094.6,8.82,90.06,846.27,2099.18,7.76,270.06,1g,5,1568113453
39832,39832,1299.0330393466115,1568114772.963205,1299.0330393466115,-86.15278962932432,643.6048634564188,53.95975463685183,632.2597048071368,0.9984135627746582,630.2965108611638,81.9081588842094,669.7689023905281,0.9856927394866944,628.6991716604632,25.263329900770454,668.5686673188846,0.9843164682388306,594.7248375567151,126.1719637423793,675.2072543880083,0.8247513771057129,562.0766151046296,-15.437842375564875,660.1199976618591,0.6157265305519104,521.7081965794092,194.0564421022467,504.34819003848844,0.9323613047599792,506.17361116159134,-54.646081435147046,523.7492151662186,0.9361175298690796,611.8209843600838,271.5145867524983,307.7679402377313,0.3717266023159027,585.5988001219962,-161.6802959096084,335.53904335290724,0.6843281388282776,824.3746361160263,288.7386656277264,209.36826879835425,0.3698304295539856,731.6770723419138,-192.0680570821381,175.48364598312622,0.9541220664978028,541.3495724316207,157.1524988527245,136.133899585076,0.2834365963935852,450.52546955288767,-35.17693830051622,-11.571119467839706,0.0537605881690979,583.3268961820596,191.8570956125943,-193.00633774313042,0.10186949372291564,389.97128886551764,-70.23616742786244,-475.89558265713936,0.2571909427642822,341.50935506221225,259.4025984674448,-708.1896635921845,0.011103183031082152,425.9235010846898,-71.53035847224359,-602.8928659033943,0.05224090814590453,723.9248032669423,2098.7366078693217,4.99,268.9488059378181,1886.51770690357,2092.84,7.7966960653388435,90.16,1867.5974423155205,2092.89,8.743215738644624,90.16,1451.2910990342475,2096.2366960653385,7.566343281272718,90.57,1436.8710990342481,2096.3766960653393,7.516431477289249,90.57,1317.9107462501818,2096.94,8.800176392033064,89.86,1168.1541383808594,2096.58,8.58348032669422,89.86,777.8507462501817,2094.6,8.823303934661158,90.06,846.0155970310908,2099.18,7.76,270.06,1g,5,1568113453
39833,39833,1299.0663764886795,1568114772.9965944,1299.0663764886795,,638.0757479711081,55.51691081123267,625.6188104302411,0.9983280897140504,634.845314703775,80.71340588416275,668.3841046714892,0.9894715547561646,632.8673248126688,25.502684316481872,668.0314286401673,0.986555814743042,599.8549764662781,124.06182950947996,677.5177841656111,0.7744197845458984,565.1205237989002,-15.236743777396695,660.419025763246,0.5785785913467407,518.5696578524612,192.25752981448215,507.2350799004171,0.9180439710617064,507.0364655089412,-53.88031209641433,522.0729198638794,0.9393507242202759,616.4304706823839,274.07284359704727,317.53752329572114,0.28158706426620483,580.479094410159,-159.7366460081943,330.1756893899173,0.6879131197929382,825.0812620530706,288.7799787298701,202.2717658567295,0.7208397388458252,752.0932346304334,-188.66019285711133,191.05762604510383,0.952114462852478,523.4787451836071,160.4916235986664,153.2597011256789,0.4572560787200928,465.59537912151177,-34.91662899118274,4.8648466126225856,0.07327491044998169,683.3979642582286,169.10350846089187,-57.96838672807906,0.1958582103252411,374.74932713659257,-63.918540917615395,-453.3882534786818,0.5486869812011719,376.1774137830291,272.364729261612,-664.2925833936997,0.009874284267425535,446.8692019938951,-69.87103313986701,-589.4456092162424,0.04545986652374268,723.7581175566013,2098.743275297736,4.99,269.46219792566797,1886.777736611702,2092.84,7.793362351132027,90.16,1867.8874754515134,2092.89,8.756550595471897,90.16,1451.5444613139662,2096.2333623511317,7.603014137547714,90.57,1437.124461313966,2096.373362351132,7.543101190943793,90.57,1318.2041131003814,2096.94,8.780174106792156,89.86,1168.4408378026458,2096.58,8.56681175566013,89.86,778.1441131003818,2094.6,8.826637648867974,90.06,845.758901037166,2099.18,7.76,270.06,1g,5,1568113453
39834,39834,1299.1,1568114773.0302706,1299.1,-86.30812216957382,641.4606757287402,56.76094801763007,626.2679469780303,0.9984472990036012,625.0239561855552,81.1929984828585,663.4328360061323,0.9902864694595336,633.9363283715917,26.18563869431029,666.445417268116,0.9871602654457092,576.0458281428225,127.36005622021929,660.6920894109053,0.603456974029541,572.2321000102734,-13.497535351664245,656.2545471522285,0.5547004342079163,523.4626347371412,192.34796503595607,507.3762246291835,0.9379496574401855,507.9926789977565,-54.886648941142425,520.0693017153088,0.9357986450195312,609.2930334328197,275.0452186528672,316.462931635337,0.2867053747177124,599.6160077651357,-160.36302044976497,344.3501381088536,0.610595166683197,827.8854046817177,292.9383738449489,195.97659544977842,0.7246906161308289,743.7317877548187,-191.4737691420456,183.11748333521462,0.9541410207748412,528.4053057657543,158.7042257248774,128.52030692124816,0.4132062494754791,469.77266824846095,-35.55080521359769,9.055280958944564,0.09568783640861513,697.3354535779839,160.1019655198506,-47.36363354441227,0.19446852803230288,401.1576949671655,-55.91731494399068,-411.0821463425351,0.3027570843696594,476.48530078502404,262.2494207855989,-554.5173689074057,0.02294108271598816,614.9154279816637,-54.062360506358566,-408.2266823394929,0.016663879156112667,723.59,2098.75,4.99,269.98,1887.04,2092.84,7.79,90.16,1868.18,2092.89,8.77,90.16,1451.8,2096.23,7.64,90.57,1437.38,2096.37,7.57,90.57,1318.5,2096.94,8.76,89.86,1168.73,2096.58,8.55,89.86,778.44,2094.6,8.83,90.06,845.5,2099.18,7.76,270.06,1g,5,1568113453
39835,39835,1299.1330346405525,1568114773.0632136,1299.1330346405525,-86.31840715922104,638.6010973693881,56.59375240453465,624.0068643139541,0.9984421730041504,633.9857933737101,79.34793425084523,664.7422335854202,0.992936670780182,631.1135940338808,26.07509082191898,663.7428902189928,0.9869109392166138,581.1197994520403,126.28463230564691,659.0290480732348,0.6038174629211426,569.1233335672421,-15.002795067767252,648.3512851695117,0.27467992901802063,534.8567332987672,190.04378956327068,513.9136980744905,0.9372808337211608,511.258310836138,-55.806099789214,521.6675626791742,0.9409400224685668,606.2828940044536,274.48219710558914,316.7154720752706,0.4100150763988495,593.4952036825905,-165.0786349223671,335.0619175523325,0.5316253900527954,824.8941578512836,291.0342138852064,201.6708741625316,0.8699079751968384,759.8280600843068,-192.9234298623669,194.47198389027957,0.9641932249069214,515.1357431337153,152.81904269020652,138.8572907183841,0.6765696406364441,484.3731187062737,-39.405726266367886,4.705052709010374,0.2972012460231781,614.8578484848048,171.63072642104675,-166.39658323274895,0.11369657516479492,354.4650047099218,-69.38459524922196,-505.5096257475213,0.12309935688972473,540.908951485545,229.75085205919862,-481.2508944141779,0.005178928375244141,736.1091347231297,-44.22953222391767,-275.1188454920384,0.012092620134353638,723.4248267972372,2098.763213856221,4.99,270.50525078478586,1887.29767019631,2092.84,7.786696535944742,90.16,1868.4707048368625,2092.89,8.763393071889485,90.16,1452.0510632681994,2096.2266965359445,7.613572287557943,90.57,1437.6310632681996,2096.37,7.586517320276285,90.57,1318.7907048368627,2096.94,8.76991039216577,89.86,1169.0107944446968,2096.58,8.540089607834231,89.86,778.7340083009178,2094.6,8.83,90.06,845.2423298036899,2099.18,7.76,270.06,1g,5,1568113453
39836,39836,1299.1666115184798,1568114773.0966973,1299.1666115184798,-86.47605579470014,642.8873757796251,53.407710784771844,623.0935883120125,0.9981197714805604,623.2407572738615,78.3912839163855,657.9844101843952,0.9953011274337769,627.543625640144,22.87711761177719,661.7178071146485,0.9882171154022216,574.2763831146201,124.47376809810251,655.0446311378596,0.6228432059288025,567.3163517924804,-16.389308262503867,643.9807585221217,0.2869365811347961,527.5698853520222,180.8800985674403,509.80621905718033,0.22137919068336487,507.65981461587273,-56.17631534503998,521.3213179786793,0.9428989887237548,627.0582827750927,281.9587283341008,312.4264443040157,0.9413714408874512,594.269490290243,-166.813982346213,332.3101493507985,0.5968640446662903,833.3658274044587,291.0556799885227,206.73141537956985,0.5421967506408691,745.4242078330168,-195.65712669644847,180.91601904311625,0.9530640840530396,544.8599953041037,152.215181444759,86.80810523760931,0.6522772312164307,512.8745115584223,-41.35904366580118,5.295325719829037,0.40382951498031616,566.35189296366,187.03554025529976,-271.6702960338606,0.03758722543716432,1364.9392377221131,-17.242020186770198,478.0645390828154,0.09269136190414427,559.0941888318198,214.00366476818425,-455.73510438543997,0.012524247169494629,774.0975931752916,-41.99031789913546,-233.2590293459916,0.014177381992340088,723.2569424076007,2098.776644607392,4.99,271.03912314382944,1887.5595698441427,2092.84,7.783338848152017,90.16,1868.7661813626223,2092.89,8.756677696304031,90.16,1452.3062475404467,2096.223338848152,7.586710785216128,90.57,1437.8862475404471,2096.37,7.60330575923992,90.57,1319.0861813626227,2096.94,8.779983455543949,89.86,1169.2961979070785,2096.58,8.530016544456048,89.86,779.0328425144706,2094.6,8.83,90.06,844.9804301558572,2099.18,7.76,270.06,1g,5,1568113453
