,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,K_in-H_out.14_x,K_in-H_out.14_y,K_in-H_out.14_speed,K_in-H_out.14_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,scenario,participant_id,source_file
30394,30394,955.4666523389927,1569241951.5981436,955.4666523389927,,609.8879697149542,12.562966418184589,601.2484011470373,0.9967107772827148,625.4213507432603,41.833330967959036,646.1243595991067,0.9631889462471008,641.1079726483853,-22.21049636154832,646.8690832615594,0.9939578771591188,605.5669936937668,70.91758499023454,660.7396671044091,0.7688711881637573,617.9585389529791,-69.25065112688105,654.1465126468078,0.8919010162353516,457.40318705656097,133.0798543696063,549.7424979573394,0.9676591157913208,486.09383829675414,-115.96369979652123,533.652165964292,0.9655479788780212,545.8408395004053,216.9921470920445,338.0076123431013,0.982003688812256,558.6706957617541,-211.23386877824922,316.37132417616874,0.9668882489204408,686.0415779122409,265.6817131225536,156.11636148986236,0.9329122304916382,741.4772546232059,-207.3755622329889,147.72607226620354,0.869634747505188,393.80564289067866,137.47382766804873,158.72910081289163,0.4865479171276093,373.80256569155154,-82.88067735245392,106.28575324924549,0.2489611208438873,729.4335697044924,192.1935693883014,0.16649076254185502,0.24243900179862976,824.1012125720325,-85.92263739915495,48.169904422089864,0.7843099236488342,166.59307097500655,264.3541012314817,-792.0858365234901,0.00352245569229126,448.2081051681663,-76.27672988072568,-515.7886010403328,0.0996001958847046,1756.2733347661008,1992.0865878644602,5.546669532201452,359.29,2755.436605057669,607.2434035389356,6.506656637294919,138.41,1759.88,1453.333442223655,7.65,179.85,557.2899054373521,2094.73,6.45329608138112,89.67,513.6165448814382,2094.4766652338994,8.49,89.67,162.9799011390499,2116.9533605559136,7.176660935597097,106.01,1748.4466652338992,2241.70678558636,8.193304677985477,178.81,,,,,,,,,,,,,1a,28,1569240955
30395,30395,955.5,1569241951.6314387,955.5,-85.19220010474805,623.4270136324291,11.082253841827983,606.4500044167272,0.9966130256652832,629.0706023439233,41.284792379332366,648.5057772188642,0.9703397750854492,638.7959197619882,-20.662682596833868,648.4540534782693,0.9928013682365416,602.0366422771751,73.69466916822317,660.9214605181987,0.7305783033370972,620.7606993485706,-66.28053266348866,657.6709724616669,0.9037635326385498,451.9519501120865,140.49503164052715,551.7262798489505,0.830193817615509,481.1343008881569,-116.33523205491748,531.7520449180131,0.9626516103744508,541.7998134063549,218.15482558122704,337.3793229840103,0.32712942361831665,551.3598626738923,-217.3732199286783,311.88359038714884,0.9786473512649536,682.2237305168186,264.49173763856345,153.71315248875732,0.9295305013656616,732.2574594518085,-213.53834125618286,153.16919637569163,0.704072117805481,382.2247134954848,135.99154073592172,176.88483591944518,0.6163764595985413,371.6696777319318,-83.61273708190303,105.55217411042118,0.21989068388938904,741.2125434742804,168.95357186202088,23.57314474478059,0.5841571688652039,821.4682119882505,-80.71226659340306,45.2127265611321,0.7722753286361694,167.03060304782042,263.8984990041107,-791.1625510718802,0.0035603642463684078,404.75609555767585,-77.12330913681791,-554.6565323426198,0.3810386657714844,1756.27,1992.27,5.54,359.29,2755.58,607.08,6.53,138.41,1759.88,1453.08,7.65,179.85,557.51,2094.73,6.54,89.67,513.9,2094.48,8.49,89.67,163.21,2116.89,7.19,106.01,1748.45,2241.43,8.26,178.81,,,,,,,,,,,,,1a,28,1569240955
30396,30396,955.5336865232982,1569241951.665215,955.5336865232982,,616.877242056598,15.631513246575134,605.6115771993058,0.9967498779296876,632.0475550816006,44.41378521400941,652.2650760480376,0.96261066198349,634.4473506270573,-20.41578173516892,648.9357548441351,0.9857900142669678,610.7895004944369,75.64385606291515,663.7605643266853,0.6469740271568298,599.8437954454382,-67.29237226667139,647.4803730876204,0.5405950546264648,459.8223671454301,137.5633804637672,553.6115478558596,0.8361533284187317,482.4269006959297,-114.3895412729371,527.8982719203013,0.9604089260101318,545.3604901853329,218.3519995882353,343.1642284054551,0.36060699820518494,552.029873016719,-208.15180737639008,322.30739585258516,0.9738012552261353,684.1583840310908,257.7241624074818,147.0803318827161,0.8775765299797058,738.7114284205037,-207.74998492863705,146.86014009071408,0.8254381418228149,385.34988027054084,133.90384245975218,192.72885750988144,0.5377805233001709,367.93145674536936,-83.61236182199248,102.61453384951729,0.2143634557723999,673.2105583141097,155.50063043179503,24.79387601350456,0.4943314492702484,821.3694993365297,-79.28842590102126,52.674618303827174,0.6783627867698669,188.74396412149648,262.1179074125536,-770.5197454743179,0.006392002105712891,359.66364659506377,-72.05368007860581,-594.8506250598373,0.09033924341201782,1756.2666313476702,1992.45527587814,5.54,359.2596821290316,2755.7248520501826,606.9183046881685,6.506419433691246,138.41,1759.88336865233,1452.8239824229333,7.629788086021067,179.85,557.739068358428,2094.73,6.627584960575375,89.67,514.1863354480348,2094.48,8.486631347670178,89.67,163.4390683584279,2116.8226269534034,7.179894043010534,106.01,1748.4567373046598,2241.160507813614,8.185889648743911,178.81,,,,,,,,,,,,,1a,28,1569240955
30397,30397,955.5664442584438,1569241951.69806,955.5664442584438,,622.9506744160154,19.94424676039855,610.1759692230897,0.9971110820770264,625.8353915507089,47.470281059320975,651.6229025266384,0.9516594409942628,640.9113683839778,-15.953108778651385,652.9171785389248,0.98936665058136,600.4081840356772,79.01263156996184,662.0170037819688,0.5501695275306702,598.2565877502933,-66.13060468205887,648.5004694723051,0.6033189296722412,456.4669595902994,138.26236329043346,552.4936579456311,0.974130392074585,492.0526507093219,-112.89142527240526,529.0389877418327,0.9641733169555664,544.8275043669172,221.0151668487891,344.89656072659653,0.34731513261795044,552.8699427180633,-207.95135149660484,321.07018986208857,0.977603554725647,673.4686751316736,258.6704804621912,140.82142137194415,0.8405125737190247,739.6079545448273,-207.23096236105496,145.86622023099534,0.8266900181770325,381.830994300361,135.92387862449507,195.62041472075543,0.4892327785491944,361.93428263835716,-83.67523390995805,101.44314330161095,0.18424522876739505,685.5478046164192,174.43486253389602,43.892611119462366,0.27302810549736023,811.5799049206453,-79.2008387074509,34.250469513745884,0.7263808250427246,194.99319240054183,264.4433527545772,-765.9076934977907,0.006580471992492676,319.95403305729707,-73.06016149050906,-636.2292368299213,0.02739176154136657,1756.2633555741556,1992.6354434214406,5.54,359.2302001674006,2755.865710311308,606.76106755947,6.483489019089374,138.41,1759.8866444258445,1452.5750236358276,7.61013344493375,179.85,557.9618209574176,2094.73,6.7127550719537545,89.67,514.4647761967718,2094.48,8.483355574155626,89.67,163.66182095741752,2116.7571114831126,7.170066722466875,106.01,1748.4632888516887,2240.89844593245,8.113822631423746,178.81,,,,,,,,,,,,,1a,28,1569240955
30398,30398,955.6,1569241951.7317052,955.6,-100.68027442537985,623.6470714086337,20.972077854552275,609.7857710599952,0.9970792531967164,637.796715689396,41.03296669701067,657.2423219079917,0.9899879693984984,638.3282138851699,-14.892005434841408,650.738489241809,0.9880714416503906,609.9256417670717,78.26744430677256,664.3366653852731,0.5593001842498779,589.6238285885468,-63.90712531450474,644.1609962199889,0.6281973123550415,460.6893519685193,141.57790149562263,554.3307408623957,0.9804737567901612,487.64548585543963,-113.701270007483,529.2362886371122,0.9635975360870358,536.7684760822622,223.30064798474143,342.19334670104666,0.3703984022140503,552.1918160539353,-208.47877000796825,322.675500668283,0.9737090468406676,668.0142161366323,260.2058983578737,138.80388337020622,0.834498405456543,742.7353071237958,-207.15238865022567,147.51048633410045,0.8096520304679871,382.9860759969272,133.877824738786,202.2880089500893,0.4489559233188629,367.08553462980416,-83.13117729859403,104.25662742044584,0.2184222936630249,663.0225263637518,151.33505265616103,44.9770757035748,0.5954455733299255,817.0254890120061,-71.24319786709117,40.78104397314723,0.6788790225982666,258.4288541028185,254.92724367303254,-705.8447963832283,0.015190899372100832,316.59027093940847,-69.65226600132519,-650.2425613936707,0.028212279081344608,1756.26,1992.82,5.54,359.2,2756.01,606.6,6.46,138.41,1759.89,1452.32,7.59,179.85,558.19,2094.73,6.8,89.67,514.75,2094.48,8.48,89.67,163.89,2116.69,7.16,106.01,1748.47,2240.63,8.04,178.81,,,,,,,,,,,,,1a,28,1569240955
30399,30399,955.6331865182087,1569241951.7647774,955.6331865182087,-100.68027442537985,624.1151939731277,20.668457249380825,608.6845554415894,0.9971368312835692,638.4110122080842,41.312984264024564,658.0659565155854,0.988283097743988,641.474999608766,-14.65802007777723,652.4088966911432,0.9876546859741212,606.2428797670166,80.57887219152809,663.8056282846096,0.5154930949211121,593.3096893200576,-63.202891652077376,646.2540822949284,0.5659456849098206,461.7191629860017,141.02726922800048,552.5514223897229,0.976057767868042,492.6342173351077,-111.86875878952131,528.8337743546458,0.9679043889045716,539.6571370034426,224.77563098966843,346.2718159049344,0.3464714884757996,556.5302521525423,-208.91814656195461,321.88281902756063,0.9745148420333862,670.2557711696102,257.4926322396151,142.5469634740728,0.8516101837158203,739.9590309688529,-208.07673856334816,146.53808480600378,0.7387618422508241,387.5385361550029,134.35583030491162,205.31381540722003,0.4371006488800049,373.0333435943131,-78.65662653187546,86.84864175559362,0.05925166606903076,658.8186112723494,149.03902274674974,42.71538389211375,0.7740050554275513,815.7153017731482,-65.95440468620754,39.657695280775954,0.7041506767272949,390.15337347441033,230.84038065645657,-585.3633000610632,0.01184999942779541,303.1319338690793,-78.12969713936401,-668.1961095842311,0.03099009394645692,1756.2566813481794,1993.0058445019688,5.54331865182087,359.15353887450783,2756.152702028297,606.4407047125983,6.47991191092522,138.41,1759.89,1452.0677824616141,7.593318651820871,179.85,558.4256242792818,2094.733318651821,6.886284947342622,89.67,515.0287667529531,2094.483318651821,8.48,89.67,164.11898697564004,2116.6236269635824,7.14672539271652,106.01,1748.4766373036416,2240.3578705506893,8.093098429133919,178.81,,,,,,,,,,,,,1a,28,1569240955
30400,30400,955.6665086868937,1569241951.7979848,955.6665086868937,,627.3598475925388,17.85888044375352,610.2673408965267,0.9967647194862366,632.7165097071608,44.636101838851815,653.0621288378566,0.9658583402633668,631.2786417213471,-17.664188184424468,647.8385373925241,0.9856445789337158,607.333326365916,78.33738738926844,662.341414833212,0.5995657444000244,584.4488196062352,-64.27630375781321,640.6622273782997,0.5869384407997131,456.4122314849344,140.62208716041226,553.1625269193494,0.9780688285827636,492.90527978645423,-113.0505608745305,528.8333099203248,0.969402551651001,544.1303227609031,223.4273157341454,347.5830582164605,0.3385752439498901,549.5093402951319,-209.7602199597682,317.47289752463485,0.9768854379653932,678.4141034885895,255.03397969622523,147.08779844544364,0.8892142772674559,745.9436008453087,-208.4050298978633,148.4631127359104,0.760025143623352,389.2240203272766,134.53612408413886,205.3903128966549,0.4996741712093353,373.4484979695626,-79.12654006543181,94.50439199399445,0.3613656759262085,666.0082458092543,149.5955103268599,34.05258874542676,0.6079445481300354,818.2361750362597,-71.10048834092103,48.91807329116196,0.6830344796180725,461.712393817552,198.63813002698086,-515.9425051774554,0.008454680442810059,367.60011749753136,-67.08892114156893,-606.2976902231767,0.07540136575698853,1756.2533491313104,1993.1924486466053,5.5466508686893805,359.1068878383486,2756.295987353644,606.2807583029098,6.499905212136286,138.41,1759.89,1451.814533979607,7.596650868689381,179.85,558.6622116769461,2094.736650868689,6.972922585923908,89.67,515.308672969908,2094.486650868689,8.48,89.67,164.3489099395673,2116.5569826262117,7.1333965252424765,106.01,1748.483301737379,2240.084628767471,8.146413899030097,178.81,,,,,,,,,,,,,1a,28,1569240955
30401,30401,955.7,1569241951.8313608,955.7,-104.31218974333784,617.7241152482745,16.098972585054742,604.4008213672644,0.9963883757591248,637.9036258040308,44.47959140948617,653.5832859238087,0.9539870023727416,633.9201490806245,-18.383557360830288,649.2399089245756,0.9840614795684814,604.5258502429043,77.8923375599763,661.1063326399981,0.627444326877594,592.5446827934377,-65.26188224145888,644.4723957239622,0.5987284779548645,447.57014385281684,139.21966761081234,550.7898827950165,0.8211426734924316,483.0315479140953,-113.47901039875015,528.4385720685384,0.9631394743919371,542.0094432250611,224.21589588579815,347.95405738655256,0.3447459936141968,563.4702485258052,-211.51375099810744,316.1883007719307,0.9784895181655884,672.8966564413371,252.77530384349862,150.7706428064262,0.921062707901001,747.8670018579556,-208.87161494145832,146.20169989693662,0.6611825227737427,371.0925003570498,136.92588436719092,195.26904098781912,0.5381626486778259,369.5444123550734,-80.32355119127834,96.04938765987741,0.2979361712932587,661.6359948494428,151.64629573851988,26.24801136322367,0.6125054359436035,824.3771952319693,-75.36857039637103,54.94229461256946,0.6208706498146057,491.8401138239648,182.25392049611838,-483.5580566187258,0.005519896745681764,535.7347624228203,-44.67027614885329,-448.7204415911384,0.018380671739578247,1756.25,1993.38,5.55,359.06,2756.44,606.12,6.52,138.41,1759.89,1451.56,7.6,179.85,558.9,2094.74,7.06,89.67,515.59,2094.49,8.48,89.67,164.58,2116.49,7.12,106.01,1748.49,2239.81,8.2,178.81,,,,,,,,,,,,,1a,28,1569240955
30402,30402,955.7364367531303,1569241951.8678255,955.7364367531303,-81.93739073764318,606.7592974240903,14.144158185995545,599.3331910935626,0.9963933229446412,630.388624398893,44.94931276031114,648.6901997861072,0.9554026126861572,629.732217513143,-20.699876102706405,644.8813180683627,0.9836373329162598,601.2755382863843,79.422195351098,659.1844086270521,0.6383070349693298,611.3454739465069,-64.52658788532892,652.2586362709071,0.898795485496521,458.52429933712614,141.18575887319557,555.7348148014121,0.8280608057975769,482.2153463403392,-114.114410545001,528.5071718198404,0.9645752906799316,548.3148348401339,220.58225735861592,348.5698333844011,0.3648660182952881,556.9433780927092,-210.3116670506699,322.17542907713414,0.971892774105072,660.2301281289236,254.73448129452592,144.76193457657664,0.9437911510467528,747.4242870066719,-210.80669936873159,147.46157772870203,0.6789188981056213,369.491558285824,135.55458398942466,191.59720398998246,0.5371189117431641,364.2829255054831,-79.60371302319857,94.27472153882714,0.284858763217926,737.9837374885636,156.86168321026105,31.31306530014172,0.7926689386367798,827.1443864810702,-80.36567289218598,60.5629670602078,0.6596388816833496,506.9389609806952,193.3482598688156,-469.21789277421203,0.003294587135314941,685.7164996191304,-47.47317467462091,-297.0697308602328,0.007087051868438721,1756.246356324687,1993.580402142217,5.55,359.01627589624354,2756.593034363148,605.9451035849739,6.487206922182633,138.41,1759.89,1451.2830806762088,7.614574701252162,179.85,559.165988297852,2094.74,7.154735558139058,89.67,515.8997124016087,2094.49,8.483643675313042,89.67,164.82776992128674,2116.420770169052,7.12,106.01,1748.4972873506258,2239.5148622996435,8.145344870304388,178.81,,,,,,,,,,,,,1a,28,1569240955
30403,30403,955.7666915226132,1569241951.8981035,955.7666915226132,-84.83477586233798,623.7185757100127,13.917832646695588,605.5779801214237,0.99687260389328,633.0506232546699,44.71347173714022,650.1109264306244,0.9635733366012572,640.414338342016,-21.036864856920687,647.4388554942761,0.9847285747528076,604.1125331678763,75.98069878332728,662.053406131334,0.598007082939148,604.238909338761,-65.83287216838693,650.9256326721826,0.9088021516799928,455.0111739633073,135.57158988349732,555.509820479181,0.9685560464859008,486.8246878072466,-114.80472538086865,529.2884346950206,0.9695442914962769,544.939100515311,218.60486465747462,343.6595679653177,0.3603546321392059,548.8938572027524,-207.52379045302055,319.47936491929187,0.9672477245330808,660.6426714479811,253.42430502990769,151.86202533310268,0.7765898108482361,751.4770590177411,-212.34958396009705,148.38558409598392,0.7210535407066345,368.140673775102,136.8081144755347,180.87930346127982,0.6120740175247192,369.8801376477903,-82.10649053361381,97.52850104541142,0.27870580554008484,741.2971340335936,162.1708059147424,30.668093203938014,0.7309616804122925,824.5703777875083,-82.86081830890564,60.491311871205816,0.6798930168151855,503.281715763882,187.7398148725008,-469.84287486995635,0.005050927400588989,741.2456698944574,-48.40791033803559,-242.4112235922432,0.01183384656906128,1756.2433308477387,1993.7468033743733,5.55,358.979970172864,2756.7201043949763,605.799880691456,6.4599776296480025,138.41,1759.89,1451.0531444281387,7.626676609045331,179.85,559.3868481150773,2094.74,7.233397958794656,89.67,516.1568779422133,2094.49,8.486669152261332,89.67,165.03350235377061,2116.3632861070346,7.12,106.01,1748.5033383045227,2239.269798666832,8.099962716080006,178.81,,,,,,,,,,,,,1a,28,1569240955
