,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.7_x,W_in-P_out.7_y,W_in-P_out.7_speed,W_in-P_out.7_angle,scenario,participant_id,source_file
40712,40712,1286.8335548077546,1568816001.7174714,1286.8335548077546,-102.32587246964717,560.5068903977731,90.37067030428041,609.698829131843,0.9977600574493408,549.8662239298678,116.97775880835816,649.6017063740001,0.9978628158569336,574.2265091138097,67.67327658310457,664.3204695770457,0.9784104824066162,519.0074913442372,144.01591090796404,644.1873002822231,0.5955060720443726,539.9787801496226,9.042451819923027,657.2143924554488,0.972212016582489,466.636062315981,168.7177854386574,522.914795505977,0.966096043586731,509.8984562957472,-21.973998782855396,539.1193286075484,0.9192485809326172,615.4818589626159,239.56250644006343,384.2097036884758,0.9322717189788818,590.5401391228821,-118.92332725770201,411.1322073936728,0.8461066484451294,820.2537402488008,283.99976537654675,269.32387575113563,0.9387226700782776,793.4267490236307,-184.29225976752807,262.8203200616499,0.7387780547142029,395.0898542003254,107.42833066682181,176.30760620464528,0.2305162847042084,413.5900792820297,-51.52827331946235,172.06130950554154,0.6483626365661621,597.7729244086166,117.66507247844784,-7.351418439801421,0.5991172790527344,678.1929151488565,-46.05493106378744,48.45613818537012,0.3076782822608948,574.8011624002893,167.20557905371444,-388.55024924212165,0.030017822980880737,575.6145259863238,-118.57751296101759,-427.36101925223466,0.003991901874542236,1756.4133554807754,1976.8875082694665,3.766644519224565,2.2165116345719533,1054.4585049043612,2096.2733554807755,8.290066442326305,89.64,1036.4649500966068,2096.16,7.2072425001613185,89.4,1020.3683055773822,2095.9933554807753,7.340265769305224,89.4,1760.45,1235.5916944226176,7.426644519224564,179.85,732.3117939428103,2094.65,8.060199326978918,90.06,382.73837201970855,2093.73,7.676710961550871,89.67,368.23837201970855,2093.6433554807754,7.630132884652612,89.67,,,,,,,,,,,,,,,,,,,,,1a,20,1568814665
40713,40713,1286.8667542374299,1568816001.7506135,1286.8667542374299,-102.45810887819506,558.5526540117064,85.31056492977439,613.8847652117538,0.9969279170036316,548.527870427257,111.70784889910068,652.5663294965644,0.998375415802002,574.0360703985822,58.3717743847633,663.8461003887518,0.9403733015060424,533.2022644272686,140.1113078090157,654.2154810563252,0.6858591437339783,540.1433575129577,5.979001343660943,658.8725396701414,0.9700465202331544,472.3048880625987,156.45138072258845,530.7940177199647,0.8266506791114807,511.5256439348723,-22.342909557474567,546.2588235583563,0.84905606508255,609.2224719019978,236.4662743039433,382.62525294953406,0.7477309107780457,588.9408029371382,-120.72553470653526,410.5784758720494,0.8762183189392091,820.8078149822547,282.91789787535794,268.9280143615304,0.934623122215271,808.0123741466409,-181.3898246141111,274.0687155223874,0.7883591651916504,380.51896562929886,119.66151662441878,172.70030546822272,0.7130675911903381,405.2764771751321,-48.65254098044564,177.53928808077575,0.7367791533470154,541.0777582042314,117.96996014846852,-34.11058527090881,0.3570462465286255,644.3795128171993,-52.05010420397452,26.09570130375375,0.2357054352760315,565.6439763488182,164.21733504328594,-399.58788518287264,0.09052711725234984,510.04583939753707,-128.4649908416902,-503.0114942373658,0.013917863368988035,1756.416675423743,1977.0136661022332,3.7633245762570176,2.1932720337991305,1054.7340601706674,2096.276675423743,8.300026271228942,89.64,1036.7073059332376,2096.16,7.293561017317514,89.4,1020.6139813569806,2095.996675423743,7.380105084915776,89.4,1760.45,1235.3460186430193,7.423324576257018,179.85,732.5807093231815,2094.65,8.090078813686832,90.06,382.9940076282096,2093.73,7.683350847485963,89.67,368.4940076282096,2093.646675423743,7.650052542457888,89.67,,,,,,,,,,,,,,,,,,,,,1a,20,1568814665
40714,40714,1286.9,1568816001.783802,1286.9,-102.58962692771813,564.5389768262962,80.36185443155235,620.6431129138982,0.9966206550598145,559.1733887726218,106.16779102178137,660.5609615457918,0.9984787702560424,576.0150738718877,51.39499720199139,668.0287401549176,0.9971585273742676,527.6734652907836,137.09673289543923,655.666084945695,0.7256314754486084,528.2137479696859,-1.8027943106160205,653.8762386245328,0.9569993019104004,473.8722364187437,161.4437146180471,530.4548273236613,0.9808568954467772,512.5138845293067,-20.116479071214194,545.7086178288076,0.990413248538971,612.5870615389438,237.90647892071044,383.6957171490308,0.9342304468154908,600.8925406594424,-117.85601394162205,415.684193544518,0.837088942527771,811.2776552471605,283.3290543734384,261.7800179390038,0.9171134233474731,799.6370790789817,-183.29091098266255,271.2229782390225,0.8471310138702393,384.02146619400634,113.40445363310907,161.40184199797287,0.36616793274879456,424.40881758833603,-44.52225507175209,187.35827936166413,0.7948650121688843,518.2062691537634,122.1398912754312,-75.60265719449714,0.6642919778823853,636.9674825757025,-55.668939614205314,25.312580946123923,0.18712550401687625,556.7117876637728,161.10489807423428,-405.07686022902647,0.12326261401176453,449.6320134404378,-140.67900702357394,-574.8057513778938,0.0140344500541687,1756.42,1977.14,3.76,2.17,1055.01,2096.28,8.31,89.64,1036.95,2096.16,7.38,89.4,1020.86,2096.0,7.42,89.4,1760.45,1235.1,7.42,179.85,732.85,2094.65,8.12,90.06,383.25,2093.73,7.69,89.67,368.75,2093.65,7.67,89.67,,,,,,,,,,,,,,,,,,,,,1a,20,1568814665
40715,40715,1286.9333592510882,1568816001.817149,1286.9333592510882,-102.72041949304892,561.1357086914313,82.82641492838057,628.2622771624832,0.997531533241272,555.4655116704082,102.1098018414775,661.220397270352,0.9983401298522948,575.1111087954934,46.101486332120324,670.193057888139,0.9961146712303162,547.8349701041755,133.90033112216426,667.602283873731,0.5296285152435303,519.8794593788376,-6.499089875304928,649.9521816822808,0.9288123250007628,472.72101325783655,152.53868213858323,532.7291872518445,0.778823971748352,516.8799623502086,-21.216611018614213,547.5292792470226,0.9887197017669678,612.6194160856746,239.36914373767053,388.75456830644094,0.7493773102760315,585.3225105194826,-118.7755500128462,410.5809649256343,0.8752346038818359,815.8427585106465,283.74576243267137,268.3644328878968,0.9284688234329224,800.2908197966292,-184.67922316662032,267.81882876545643,0.7236046195030212,399.9307914901152,111.58164286632336,168.0016492182849,0.2982645928859711,435.5243563991917,-42.14103921137645,195.9299382914684,0.736103892326355,507.10401787876185,125.09611971122372,-83.71206304402506,0.7075988650321959,634.408200962361,-56.13930040393628,24.63303304442772,0.13966810703277588,541.0700640329129,162.82672922889918,-415.0927114828888,0.1783684492111206,528.1548599803386,-127.21637951253791,-483.1146336639711,0.005771547555923462,1756.4233359251086,1977.2634292290259,3.76,2.0665863216268385,1055.2868817840313,2096.28,8.30666407489119,89.64,1037.2035303082698,2096.1633359251086,7.4400466519586095,89.40667185021763,1021.1135303082697,2096.003335925109,7.4967262775026695,89.4,1760.45,1234.849805616839,7.42,179.85,733.1202099338137,2094.65,8.116664074891187,90.06,383.50353030826966,2093.73,7.656640748911884,89.67,369.0068662333785,2093.65,7.680007775326434,89.67,,,,,,,,,,,,,,,,,,,,,1a,20,1568814665
40716,40716,1286.9694560849084,1568816001.8532324,1286.9694560849084,-98.9011409377408,572.9387973460575,81.23823512324593,634.1221804357524,0.9980350136756896,558.4886369795695,99.24923303521037,663.1334406905662,0.9982198476791382,578.7545315059037,44.884066545355815,671.3495304085599,0.9964801073074341,532.779165538051,129.89541559264904,664.0942966402142,0.5884915590286255,530.3525500250909,-8.598677044685148,655.5996346054652,0.9207218885421752,478.679564078941,153.41070115430506,533.4890444721399,0.9886379241943359,513.4481923192318,-23.777869077030182,544.6300824805767,0.9900283813476562,616.409381400435,243.73265539452598,399.82515517995904,0.6792243123054504,592.8442212122839,-122.03728053442276,411.2230323936973,0.8270108699798584,794.8577393318451,283.64449672186163,272.3789880004564,0.6105865836143494,807.7535520861006,-183.5657429465678,269.4303478201802,0.7397737503051758,400.5175988628324,116.45566168283844,169.87271047621897,0.4830060005187988,440.63021276122805,-40.32518474927613,201.91943745908725,0.7371772527694702,490.01471261650164,133.49653850261922,-106.64920250551027,0.7378833889961243,634.4324343124526,-51.93783463524574,22.134159238927282,0.3040767312049866,513.9134017729181,163.56735537118774,-442.30627741062136,0.1850197911262512,526.7718120862976,-127.8778584643144,-482.6980970558522,0.0059557855129241935,1756.426945608491,1977.396987514161,3.76,1.954686136783998,1055.5864855047396,2096.28,8.303054391509162,89.64,1037.4778662453039,2096.166945608491,7.505020952835097,89.41389121698168,1021.3878662453036,2096.0069456084907,7.579748995289293,89.4,1760.45,1234.579079363187,7.42,179.85,733.4125942877579,2094.65,8.113054391509161,90.06,383.7778662453037,2093.73,7.620543915091613,89.67,369.28481185379457,2093.65,7.690836825472517,89.67,,,,,,,,,,,,,,,,,,,,,1a,20,1568814665
40717,40717,1287.0,1568816001.883765,1287.0,,560.1932319912181,77.82577403157254,631.8023732479427,0.9981914162635804,550.1227256544751,98.3621697070878,661.3394525496693,0.9984025359153748,574.7575910027238,42.02854919881567,671.359897977975,0.9958961009979248,531.7407228668217,128.58231393680902,665.5045336727643,0.6143053770065308,529.5006613466785,-11.09683282918468,654.6499067519304,0.933706760406494,479.89112038129616,157.79572569716896,531.9904627451958,0.9557424783706664,514.0503253982577,-25.841782506479074,542.8638632305822,0.9881619215011596,621.1020217630756,245.33103806242372,403.1174100450997,0.6873080730438232,598.6860271672753,-120.8228748543705,411.37330644126826,0.8195879459381104,792.6367346832312,285.1756222399289,277.30473849425607,0.6251333951950073,806.3909396213209,-184.253955864667,265.67131750216373,0.7243680357933044,395.89309330497287,119.34071841123608,179.44187730498558,0.3714305758476257,437.4727250314015,-42.758787984779204,210.24069336868286,0.5264334082603455,472.6441058399681,141.2518467445054,-97.59439101099701,0.04322934150695802,621.2113356786429,-54.54108607452192,62.626490166476536,0.2130410373210907,490.6508739241523,168.19336466823006,-479.4352603004077,0.1279410719871521,506.5863566966961,-124.06341145170195,-473.19201292686995,0.0038247704505920406,1756.43,1977.51,3.76,1.86,1055.84,2096.28,8.3,89.64,1037.71,2096.17,7.56,89.42,1021.62,2096.01,7.65,89.4,1760.45,1234.35,7.42,179.85,733.66,2094.65,8.11,90.06,384.01,2093.73,7.59,89.67,369.52,2093.65,7.7,89.67,,,,,,,,,,,,,,,,,,,,,1a,20,1568814665
40718,40718,1287.033238793317,1568816001.9170432,1287.033238793317,-102.63465062348752,571.6511139110447,72.48490660535573,628.5235025034457,0.9977744817733764,550.7681733620411,97.8806888549375,664.0821882188477,0.9980208277702332,576.2574602112912,42.700025849570615,675.9454162815255,0.9433320760726928,524.4298587919228,126.42292923804932,664.8514347123735,0.5152010917663574,538.1860617434506,-13.02834536623198,660.311291390436,0.9176977872848512,487.93930258791465,156.13394078636887,536.5500827626207,0.9560604095458984,518.075755937592,-29.683211899913484,545.1730285385631,0.9856511354446412,618.048387499187,247.93373247427812,402.6380331509969,0.6289743781089783,592.5465274662679,-123.92387948357174,406.45644364452943,0.7442317605018616,787.8957485075557,286.8714653405193,271.33559259042227,0.6071396470069885,815.5281270119355,-182.55072676874443,271.09963321894185,0.7893440723419191,406.7060993467653,119.54909027841238,199.5055292426949,0.39006707072258,427.8777076377726,-45.283077488079904,210.08192791582871,0.4880981743335724,467.34711406322685,144.7239831769301,-88.56765205842116,0.06132906675338745,622.3053861457337,-57.618407591371295,80.89160013688408,0.20043492317199707,475.4718999400582,166.22112294282422,-498.02799136131904,0.2181143164634705,372.3909435566258,-140.11328471626808,-603.9734544861435,0.0044616758823394775,1756.4333238793313,1977.6363074146045,3.7566761206683,1.6971299127467063,1056.1158819845311,2096.283323879332,8.3099716379951,89.64,1037.965938708541,2096.1733238793317,7.616505948638897,89.4299716379951,1021.8792625878726,2096.01,7.683238793316998,89.4,1760.4533238793313,1234.107356808786,7.4100283620049,179.85,733.9292342258677,2094.65,8.0967044826732,90.06,384.2659387085409,2093.733323879332,7.626562672648697,89.67,369.7726148292092,2093.6533238793318,7.676732844678101,89.67,,,,,,,,,,,,,,,,,,,,,1a,20,1568814665
40719,40719,1287.0671188870472,1568816001.9509635,1287.0671188870472,-103.86296178181057,571.2128254894229,72.25818648808813,630.4879097924162,0.997989535331726,551.8074102151073,98.40839239756954,667.4009109916926,0.9985207319259644,580.8248183018327,42.53671819478647,677.6974516752,0.9369826912879944,516.0220640445009,125.75203900700676,662.2821507921549,0.5599827170372009,532.0323452360822,-16.077756422696044,656.6391192033359,0.898499608039856,485.696316983031,152.95184742537515,532.4619135770408,0.9436947703361512,514.1527951999939,-30.386715215935677,543.2509579674194,0.9848437309265136,621.6162004624861,248.91572296822602,408.9850853892266,0.505462646484375,590.997473069646,-124.65035225785206,406.6888829561406,0.7594523429870605,788.5549296759018,288.7420381924975,273.5701134497966,0.6058375835418701,817.4346233667925,-178.05611211973545,270.80943314214323,0.7955694198608398,400.98132615100326,122.71576550532852,201.65047605999013,0.4269756972789765,440.2669028501757,-40.30418870242418,220.08440997002486,0.4292039275169373,444.5870365277274,146.20070668595605,-71.46811257143034,0.012820303440093994,622.1791774661209,-51.68666091607649,98.42453075517678,0.3479858636856079,459.36239037850646,166.4520907466302,-528.4424772885186,0.1257493793964386,433.4927237695456,-132.2041884089877,-476.49988242987104,0.011194437742233276,1756.4367118887048,1977.76505177078,3.753288111295277,1.5311174534685563,1056.397086762492,2096.2867118887048,8.320135666114169,89.64,1038.2268154302637,2096.1767118887046,7.674102107980298,89.44013566611417,1022.1435273189684,2096.01,7.717118887047232,89.4,1760.4567118887048,1233.8600321245551,7.399864333885831,179.85,734.2036629850826,2094.65,8.083152445181106,90.06,384.5268154302637,2093.736711888705,7.663830775751957,89.67,370.0301035415589,2093.6567118887046,7.653016779066937,89.67,,,,,,,,,,,,,,,,,,,,,1a,20,1568814665
40720,40720,1287.1,1568816001.9838836,1287.1,-102.76889646752802,570.8937510317618,71.1961874091005,631.1549099789545,0.9981207847595216,548.612047022614,98.00570244406263,668.751247212698,0.9984848499298096,576.5344172546908,40.768642152197216,677.0143892890461,0.9088616967201232,525.3825864434485,124.54778670354341,669.5122489071464,0.5501649379730225,531.4972645177844,-15.397403857049653,656.1170595372038,0.9004228115081787,480.9463796053381,151.42685635287398,530.8869789484964,0.9550196528434752,514.0685272196749,-32.38109708111348,542.7742444976594,0.9827060699462892,614.3437762208591,251.76094427019316,404.97771100865646,0.3995875418186188,587.7665656119926,-126.32733637550993,403.3853332975162,0.7469452023506165,786.0835248263871,289.27988092175303,271.8263281552681,0.7629137635231018,811.2656395362112,-173.15619606702217,275.3125255655935,0.9107767343521118,386.969854579021,126.07625808639212,172.5100514055571,0.20822849869728088,454.8869138434868,-20.34466769977579,241.3887863055226,0.4673364758491516,457.4079664696023,145.63257242570302,-72.72579028031123,0.08081099390983583,1019.0179640333483,-25.33367644695227,458.2926407987305,0.055596143007278435,450.0571417540158,168.84908750491164,-544.9997676859523,0.08846381306648254,488.6777975076287,-103.22324855096683,-335.4977244632222,0.01839363574981689,1756.44,1977.89,3.75,1.37,1056.67,2096.29,8.33,89.64,1038.48,2096.18,7.73,89.45,1022.4,2096.01,7.75,89.4,1760.46,1233.62,7.39,179.85,734.47,2094.65,8.07,90.06,384.78,2093.74,7.7,89.67,370.28,2093.66,7.63,89.67,,,,,,,,,,,,,,,,,,,,,1a,20,1568814665
40721,40721,1287.1335242284454,1568816002.0174634,1287.1335242284454,-92.59658060462131,571.1051982847333,70.88662098564157,630.7537578192575,0.9980334043502808,542.7674999336106,97.61031245108576,664.4378660986472,0.998319149017334,576.2121007657253,40.68130549396545,676.7727697767459,0.9146445393562316,517.7720805462668,123.3570184679077,666.6807165238499,0.5997030735015869,527.9715104195411,-16.92668298678634,653.0110400831661,0.8939165472984314,478.8689512738191,150.59863384543556,534.001831577577,0.9728013277053832,505.0745341060498,-32.8890805358948,539.7995715747145,0.9810892343521118,604.6602319825835,250.34467583667598,401.5245690243215,0.5247515439987183,591.9598540271057,-125.63005416607677,402.9991503388155,0.7732993364334106,787.8369133068562,289.4887398682037,274.4763030875523,0.6669967174530029,797.3902291677012,-165.6516449034916,285.5748619163152,0.6651626825332642,403.3232159672343,121.97114850306343,197.24683770689217,0.3466287851333618,454.0629496432662,-25.953735985342803,237.79866344975608,0.3726772964000702,440.7708629194509,144.90541176862348,-57.55530662911687,0.024704396724700928,746.1574282110645,-35.60890841706929,244.14540789734798,0.2688465714454651,435.88851982696406,167.88029036290837,-532.0338991934381,0.03332802653312683,536.7719925860199,-84.3537650557658,-300.3321765763178,0.005806028842926025,1756.4366475771556,1978.0173920680932,3.753352422844564,1.1487400922587785,1056.9482510960988,2096.2933524228447,8.31323788577718,89.64,1038.748193827565,2096.18,7.810458148269535,89.46005726853369,1022.6614889818761,2096.0133524228445,7.776819382756511,89.4,1760.46,1233.3685682866576,7.413466959911947,179.85,734.7415462504097,2094.65,8.096819382756513,90.06,385.0381365590314,2093.74,7.696647577155436,89.67,370.5381365590314,2093.66,7.643409691378256,89.67,,,,,,,,,,,,,,,,,,,,,1a,20,1568814665
