,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,K_in-H_out.9_x,K_in-H_out.9_y,K_in-H_out.9_speed,K_in-H_out.9_angle,K_in-H_out.10_x,K_in-H_out.10_y,K_in-H_out.10_speed,K_in-H_out.10_angle,Q_in-J_out.7_x,Q_in-J_out.7_y,Q_in-J_out.7_speed,Q_in-J_out.7_angle,Q_in-J_out.8_x,Q_in-J_out.8_y,Q_in-J_out.8_speed,Q_in-J_out.8_angle,Q_in-J_out.9_x,Q_in-J_out.9_y,Q_in-J_out.9_speed,Q_in-J_out.9_angle,K_in-H_out.11_x,K_in-H_out.11_y,K_in-H_out.11_speed,K_in-H_out.11_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,K_in-H_out.12_x,K_in-H_out.12_y,K_in-H_out.12_speed,K_in-H_out.12_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,scenario,participant_id,source_file
30757,30757,961.8336086653816,1568978712.5778394,961.8336086653816,-89.21275340002796,574.9513781078358,24.47666653421092,560.0564054550077,0.9962161779403688,558.0200471906082,55.09451700881473,589.7821871414986,0.9981393814086914,579.1572432130004,-1.7521628830778295,605.6051868985874,0.9816110134124756,537.050379100708,96.24396310841928,602.0523680398172,0.6429004073143005,568.0506378433722,-41.9069173572049,608.2937143659033,0.8352682590484619,448.01415649163147,137.10973224516277,457.6480725899638,0.9783253669738772,490.17166046105973,-88.0048460212522,475.97262000554537,0.8290217518806458,622.0079914845755,244.8268273895094,350.1031228103901,0.6683989763259888,591.9805586155512,-205.2786911756684,327.40564118065674,0.4117679297924042,780.6927805973628,238.76754898386883,208.99404738984714,0.8369474411010742,753.1203903524201,-224.83829378037308,179.71302833335469,0.7725150585174559,441.072433472757,125.09457374667092,122.03139862085385,0.2997035682201385,467.44961234446464,-70.11509764991985,145.12456601039625,0.6316398978233337,746.5242455437942,127.55175354914176,40.74745177737262,0.02641385793685913,711.7302105014846,-86.54808460806835,26.403027870467984,0.050906360149383545,533.0975865974356,148.93765708944915,-466.76992153299835,0.008619457483291626,1132.0981869089242,-71.975628680731,137.5389843150228,0.00437512993812561,1756.6332782669238,1909.2886215242092,7.179917400385517,358.2035260657671,2751.951321593832,611.1685132069392,7.1967217330763225,138.41,2742.657960727293,621.6518740734774,7.126639133461839,138.41,1760.97,806.8844089438707,8.123526065767129,180.37,1761.02,1018.1778524100233,7.686969531919775,179.85,1760.6933608665381,1141.4180176092525,7.120165199228968,179.85,2601.7920649903617,874.65,7.553360866538161,89.83,1760.66,1155.3413784757906,7.073691264996097,179.85,1760.61,1174.8278524100233,7.849752201156548,179.85,2586.5354258569005,874.61,7.556639133461839,89.83,692.6657562553582,2094.69,8.876556533847356,90.06,519.4791997215109,2094.5133608665383,9.12688693230529,89.67,1758.323360866538,1602.2312132765617,7.573608665381613,179.28,355.4652606576713,2093.57,7.0899174003855165,89.67,,,,,,,,,,,,,,,,,1a,25,1568977693
30758,30758,961.8667489189586,1568978712.6112044,961.8667489189586,-87.91071224626222,569.8634614108713,17.037783071995747,559.8793100442988,0.9927037954330444,562.3530566393949,49.802085884447905,591.0915219342802,0.9984261393547058,583.1862541990139,-6.001477273931174,607.2458263031751,0.9762496948242188,535.9312501111567,93.33137643008921,603.142465755318,0.7177283763885498,564.7044887102518,-44.94397370258626,607.6220122381615,0.749639630317688,459.0914518980127,132.61094642184386,458.8067846126146,0.977784276008606,499.7124574555307,-88.26102873552436,478.0638071820077,0.8249839544296265,639.3150254731737,241.83714815125273,346.92608842312563,0.6879449486732483,594.2298602342996,-206.16644892245696,330.0641232712632,0.4974213242530823,799.4574667200387,252.25841851953984,218.7713580137017,0.7819399833679199,748.7568797733493,-221.7432799525924,179.9505230972646,0.7630518674850464,423.4162903491415,123.85895074854014,136.94853624612884,0.5112436413764954,474.6805585718885,-65.35829494729096,147.28002426080775,0.5188773274421692,701.6116402264862,128.66886110187366,9.525058235595566,0.05989795923233032,703.7016526752394,-93.03766542857977,24.43449579262196,0.06753677129745482,514.6745100447474,147.57988763068454,-491.9046035800745,0.009045809507369995,1694.172805488761,-22.248907414573914,713.3236723878438,0.00496286153793335,1756.6266502162082,1909.523917324606,7.169975324312412,358.226724243271,2752.110394811001,610.9895558376234,7.203349783791723,138.41,2742.8137199191056,621.4762307295192,7.1233251081041375,138.41,1760.97,806.6126588645392,8.146724243271036,180.37,1761.02,1017.9193584321227,7.7234238108544835,179.85,1760.696674891896,1141.179407783498,7.140049351375174,179.85,2602.040616892189,874.65,7.556674891895863,89.83,1760.66,1155.1060826753935,7.11677359464621,179.85,1760.61,1174.5693584321227,7.819925972937241,179.85,2586.787291784085,874.61,7.553325108104137,89.83,692.9573904868358,2094.69,8.863300432416551,90.06,519.7840900544194,2094.516674891896,9.153399135166898,89.67,1758.3266748918961,1601.9760333240185,7.606748918958623,179.28,355.69724243271037,2093.57,7.0799753243124135,89.67,,,,,,,,,,,,,,,,,1a,25,1568977693
30759,30759,961.9,1568978712.6446815,961.9,-87.75179395917758,569.9247197562853,16.723937978409975,559.026117919957,0.99256432056427,553.8037618015661,48.95522630388477,587.793636973656,0.9982655048370358,567.9578943045408,-6.453179539104347,601.0045039436102,0.9736734628677368,534.2159968264306,91.5954109356425,601.5243262853826,0.7193130850791931,554.8541077033896,-47.11097231522285,603.508299448888,0.7455021142959595,469.0623035169336,130.82682438625812,463.23841938665845,0.9763484001159668,506.5543150253766,-90.29370968363384,481.13765916875036,0.7722448110580444,643.2985567565566,239.1546245336017,344.5421671079181,0.7474125027656555,594.6796747773483,-207.43937564517242,331.0004545623458,0.5365591645240784,793.6649481711016,247.28296536137256,220.2525796476337,0.6997953057289124,762.07100725025,-218.21115475541984,188.43481994131446,0.5556630492210388,433.183371520398,116.85342890284198,144.93770490613457,0.5305330753326416,473.13610707054215,-68.386002344377,173.74751867243336,0.6274266242980957,707.6363516661484,124.90470043263494,10.732300545854116,0.05260694026947022,658.7523487676689,-110.19152357443913,27.58096691517869,0.22382357716560364,475.26671540907364,150.31752275543326,-533.7977381455288,0.009485632181167604,1032.2405427600456,-75.35518708583328,128.1569380658686,0.005951195955276489,1756.62,1909.76,7.16,358.25,2752.27,610.81,7.21,138.41,2742.97,621.3,7.12,138.41,1760.97,806.34,8.17,180.37,1761.02,1017.66,7.76,179.85,1760.7,1140.94,7.16,179.85,2602.29,874.65,7.56,89.83,1760.66,1154.87,7.16,179.85,1760.61,1174.31,7.79,179.85,2587.04,874.61,7.55,89.83,693.25,2094.69,8.85,90.06,520.09,2094.52,9.18,89.67,1758.33,1601.72,7.64,179.28,355.93,2093.57,7.07,89.67,,,,,,,,,,,,,,,,,1a,25,1568977693
30760,30760,961.9335395978312,1568978712.6785905,961.9335395978312,-95.09801057704908,570.8396674896707,14.688196564819656,556.7090861866251,0.99215430021286,561.7332164698795,47.59077146519642,591.5948060414822,0.9982547760009766,570.0549572088739,-8.367358477448526,602.4049548646857,0.978043794631958,541.0937450344363,87.78530165987047,604.7289009070105,0.6762868165969849,556.7778972094329,-50.35834862285105,604.7886386099307,0.6899398565292358,459.7420307921103,127.9836223082965,460.55061309503446,0.977497100830078,505.6412595211466,-91.32551259639044,480.6847305995116,0.7642818689346313,636.6223993254688,238.66841537407203,340.06251790495764,0.7343819737434387,594.3918456626353,-205.47396447688183,332.37258035281536,0.5565317273139954,789.1534921133482,244.6696125449949,219.71014297979875,0.7708127498626709,745.1611999035111,-221.17799914620304,176.50542579400457,0.6504955887794495,432.48985558682864,123.39569946409271,121.36308592109975,0.2977614402770996,494.9419628355004,-59.36322765371885,165.99413621810294,0.3559907674789429,655.0692283198997,126.91724141635186,-66.58707307255972,0.0617729127407074,639.3441541956278,-113.82446122064779,11.842831064114675,0.1480196714401245,446.2471480024604,154.22817567016648,-562.3467107744281,0.00540393590927124,742.7192784889796,-96.62073310983706,-99.94985778331413,0.008062928915023805,1756.6132920804334,1910.0014851043854,7.163353959783135,358.27683167826507,2752.4276361098077,610.6322401314939,7.179814361951793,138.41,2743.127636109807,621.1188861717108,7.136769798915672,138.41,1760.9666460402166,806.0683292575661,8.159938120650597,180.37,1761.02,1017.4017450966986,7.7432302010843275,179.85,1760.7,1140.7018688553974,7.136522281518062,179.85,2602.5449009435183,874.6533539597832,7.576769798915671,89.83,1760.66,1154.6285148956142,7.146584160867463,179.85,1760.61,1174.0450371771326,7.816831678265075,179.85,2587.291546983735,874.61,7.536584160867464,89.83,693.5485024206988,2094.69,8.863415839132537,90.06,520.3985643000484,2094.52,9.183353959783133,89.67,1758.3333539597834,1601.468453016265,7.61652228151806,179.28,356.1681311446025,2093.573353959783,7.063292080433731,89.67,,,,,,,,,,,,,,,,,1a,25,1568977693
30761,30761,961.9669214316202,1568978712.71234,961.9669214316202,-95.09801057704908,574.3900199589458,12.876295252540196,560.0694108341104,0.9917659163475036,566.1991080090689,46.36639197977145,594.3149818852403,0.998368799686432,578.6546056402093,-9.084812568946493,606.2953556499765,0.9711544513702391,538.7171520428692,86.25256561137661,603.3691792487567,0.7314473390579224,563.5246517844654,-52.16844851391983,608.6281455260638,0.6917200088500977,454.1331881270968,128.62152130917428,457.8613269449765,0.9771997332572936,492.38421716782165,-94.71840000834015,477.26140409589243,0.712615966796875,631.4268728856175,238.94701473048283,338.4325749093275,0.7100231647491455,586.8337335574604,-208.84829881871784,331.2836801935719,0.461234986782074,782.6712857647896,244.2168150001297,211.83686826578446,0.7634900808334351,746.1042046684056,-223.1318839468139,168.8192395879242,0.7962715029716492,430.418723011697,123.87735136939688,117.49759690491106,0.25540971755981445,508.72905366643965,-65.29266425007242,172.4563661584899,0.15880009531974792,736.3981673339647,118.99558327803464,2.3058784731665583,0.011704623699188229,665.1310307386798,-124.45269585422264,64.74732092813707,0.4836629629135132,419.20639170649866,157.8729358157417,-590.9605881646067,0.004186809062957764,614.8122502159148,-88.47552064752531,-195.36498286018195,0.015493601560592653,1756.606615713676,1910.2418343076654,7.166692143162023,358.30353714529616,2752.584530728615,610.4553164124127,7.1497707115417946,138.41,2743.284530728615,620.9386242692507,7.153460715810113,138.41,1760.9633078568381,805.7979364038762,8.149923570513932,180.37,1761.02,1017.1447049765242,7.7265392841898874,179.85,1760.7,1140.4648578354966,7.11315499786584,179.85,2602.798602880314,874.6566921431619,7.5934607158101155,89.83,1760.66,1154.3881656923345,7.133231427351909,179.85,1760.61,1173.7813206902001,7.843537145296183,179.85,2587.541910737152,874.61,7.523231427351908,89.83,693.8456007414202,2094.69,8.876768572648091,90.06,520.7056771709061,2094.52,9.186692143162023,89.67,1758.3366921431618,1601.2180892628485,7.59315499786584,179.28,356.4051421645036,2093.576692143162,7.056615713675955,89.67,,,,,,,,,,,,,,,,,1a,25,1568977693
30762,30762,962.0,1568978712.745783,962.0,-84.63848727726932,574.8768089976012,12.373475123608847,559.6504084748242,0.9892833232879642,553.7911803421383,46.35831730411387,588.2892981813919,0.9983586072921752,574.7600952307863,-9.314441658729944,605.2746674620553,0.967880129814148,538.9673958459173,85.2505202720214,601.6363825693056,0.6697800159454346,560.0032309141477,-52.45433385046654,607.0356571861096,0.675542950630188,447.2155416716776,123.87671789557314,458.0797164457306,0.9800528287887572,489.1999979832247,-94.3168896791398,478.517414488647,0.7831000089645386,629.3377320160632,240.16923134062043,351.4007686930076,0.7973151206970215,587.9547329457369,-209.6889069853833,332.8244607579292,0.5109943747520447,785.6034821444835,241.56706396138603,211.9715167293806,0.7815133929252625,766.5068669655119,-218.24778862526654,181.0106523939357,0.8020564317703247,423.3354033467038,124.28451931427963,142.83805783116316,0.5248116254806519,506.5658865751945,-69.15781227038582,174.1820733697222,0.1561012864112854,651.4528131021948,124.96318384569835,-41.6590117067456,0.010315954685211182,654.613875641592,-134.63184260617493,67.3383619867482,0.5858443975448608,402.6286408754335,159.726855593192,-607.8931393519267,0.0017637312412261965,554.1279730456647,-102.1902276358448,-242.68011759912662,0.0057758986949920646,1756.6,1910.48,7.17,358.33,2752.74,610.28,7.12,138.41,2743.44,620.76,7.17,138.41,1760.96,805.53,8.14,180.37,1761.02,1016.89,7.71,179.85,1760.7,1140.23,7.09,179.85,2603.05,874.66,7.61,89.83,1760.66,1154.15,7.12,179.85,1760.61,1173.52,7.87,179.85,2587.79,874.61,7.51,89.83,694.14,2094.69,8.89,90.06,521.01,2094.52,9.19,89.67,1758.34,1600.97,7.57,179.28,356.64,2093.58,7.05,89.67,,,,,,,,,,,,,,,,,1a,25,1568977693
30763,30763,962.034681621184,1568978712.7805068,962.034681621184,-89.41240121074318,571.6356474663422,13.854681731833534,555.601397305629,0.9921835660934448,558.0327346164711,48.286553732877614,588.464363831132,0.9981855154037476,575.2222330219281,-8.302779728621264,603.6310184366649,0.9655985832214355,540.655223590926,85.92669992215905,602.6114757970148,0.6392258405685425,553.4851848105609,-54.399730704578886,604.6632857742758,0.6824144721031189,445.61498478810205,124.29758866480137,460.7159813838495,0.9824520349502563,488.4719353533758,-94.76549964398913,479.2362708948344,0.7797629833221436,625.2713999186373,234.45111085240242,339.4886341189068,0.8439077734947205,591.8400373949204,-208.16592435433392,334.65610183966146,0.5435034036636353,788.9556472650394,243.4489734237117,216.13568533908108,0.7755283713340759,754.8500128288125,-219.27067963866017,181.94501910521686,0.7404289841651917,432.5754665113436,125.82310568252709,133.5565430049761,0.2345474362373352,489.64401456435263,-67.43193245200854,170.77655152498198,0.35885822772979736,714.2480689708771,127.35013054388895,6.062488165361514,0.06974294781684875,643.3696545608805,-126.75175847174127,50.997526659835046,0.34850817918777466,335.9381730074104,167.67603242624025,-675.3358243231584,0.002436816692352295,429.1438900413274,-137.86336726479126,-350.55422324086106,0.004975616931915283,1756.5930636757632,1910.7297076725245,7.176936324236787,358.3750861075391,2752.9064717816827,610.0961874077251,7.1512134590655485,138.41,2743.6030036195643,620.5761874077251,7.173468162118393,138.41,1760.96,805.2456107062918,8.160808972710365,180.37,1761.02,1016.6229515168837,7.727340810591969,179.85,1760.7,1139.9872286517125,7.083063675763213,179.85,2603.317048483117,874.66,7.61,89.83,1760.66,1153.9072286517126,7.102659189408031,179.85,1760.61,1173.2494833547653,7.852659189408031,179.85,2588.0535803209978,874.61,7.541213459065548,89.83,694.4486664285372,2094.69,8.879595513644817,90.06,521.3290709148922,2094.5234681621187,9.196936324236788,89.67,1758.3434681621186,1600.7029515168838,7.5873408105919715,179.28,356.88277134828763,2093.58,7.039595513644817,89.67,,,,,,,,,,,,,,,,,1a,25,1568977693
30764,30764,962.066938848407,1568978712.8128033,962.066938848407,-89.4258605564697,572.4629879779942,16.269012411264566,553.2686783818315,0.9916805028915404,558.4994027620005,46.72710892679001,587.8270411972543,0.9975258111953736,576.6051809937022,-8.737348220604208,600.4199493260758,0.9756065011024476,543.3898608723965,85.49668040458457,602.502108135858,0.7159485220909119,557.3496105307431,-52.914054244924145,602.9610677133096,0.6727252602577211,446.74880240973647,125.78133742848038,458.25325921406716,0.9819600582122804,489.2217607367604,-91.92050855255778,477.719314029875,0.7947596311569214,627.428195346867,235.53252455684373,342.7388103478156,0.7591583728790283,582.0163565975847,-207.7580356752953,330.5003987876362,0.6051262021064758,778.20821607522,245.4666901094297,213.10519749752947,0.761266827583313,737.4192094537192,-224.66759578487915,187.62827067613568,0.2423871755599976,436.894657162324,129.4441446348316,128.49360560226052,0.27968788146972656,486.55629649821685,-67.08576495267806,163.27183067068614,0.5276793837547302,750.4836745447373,131.03466157386964,26.40787532009062,0.05493676662445069,720.7020004512167,-115.28785519438145,70.84145968947266,0.06737416982650757,261.62947663825906,174.72638865338072,-751.5385179855592,0.002029508352279663,552.6857413552664,-121.05025668386284,-349.4214970520837,0.003351062536239624,1756.5866122303187,1910.96195970853,7.183387769681388,358.417020502929,2753.061306472353,609.9252241034433,7.18024496356624,138.41,2743.7546125875124,620.4052241034432,7.1766938848406925,138.41,1760.96,804.9811014430632,8.18016330904416,180.37,1761.02,1016.3745708672667,7.743469424203466,179.85,1760.7,1139.7614280611515,7.076612230318613,179.85,2603.5654291327332,874.66,7.61,89.83,1760.66,1153.6814280611513,7.086530575796534,179.85,1760.61,1172.997876982426,7.836530575796534,179.85,2588.298735247893,874.61,7.57024496356624,89.83,694.7357557508217,2094.69,8.86991834547792,90.06,521.6258374053438,2094.526693884841,9.203387769681386,89.67,1758.3466938848403,1600.4545708672667,7.6034694242034675,179.28,357.1085719388485,2093.58,7.02991834547792,89.67,,,,,,,,,,,,,,,,,1a,25,1568977693
30765,30765,962.1,1568978712.8459046,962.1,-95.11712310608415,572.8290838764152,16.200904592410186,552.3914995446452,0.9915759563446044,559.0072909208079,47.384247364847745,586.7886184993472,0.9974271059036256,569.5118545532382,-8.630676962620974,595.7300736470825,0.9783260822296144,544.6634881112619,85.43463452346256,600.6889015303516,0.720780074596405,559.1367510520951,-50.80149811294673,600.4897202453476,0.7069501876831055,447.3673597675532,128.3502023112963,457.1280399139155,0.9775854349136353,485.4928018015296,-92.66418223052848,475.6130266907397,0.7598521709442139,626.2826033064483,234.91191591024972,336.0503284644214,0.7711464166641235,587.5628210910958,-206.12339708439754,331.2068560177458,0.5289800763130188,768.5334446601454,247.33961462591128,211.66540604414882,0.7989863157272339,753.5941131233387,-213.7809325103624,177.05827675945233,0.8506789207458496,415.4505927700618,134.78280730893488,142.33888021941885,0.5099923014640808,493.17322741971583,-68.92232301459443,167.27073308581006,0.5756200551986694,726.176774250356,136.52555569310437,19.908910044718713,0.11051157116889954,764.471584154723,-103.45515671310848,82.2833994080618,0.1874593198299408,271.7610767920819,175.45896865085385,-742.406855698062,0.0023439228534698486,571.7030979421603,-101.58022207501465,-380.95488646576723,0.014287501573562622,1756.58,1911.2,7.19,358.46,2753.22,609.75,7.21,138.41,2743.91,620.23,7.18,138.41,1760.96,804.71,8.2,180.37,1761.02,1016.12,7.76,179.85,1760.7,1139.53,7.07,179.85,2603.82,874.66,7.61,89.83,1760.66,1153.45,7.07,179.85,1760.61,1172.74,7.82,179.85,2588.55,874.61,7.6,89.83,695.03,2094.69,8.86,90.06,521.93,2094.53,9.21,89.67,1758.35,1600.2,7.62,179.28,357.34,2093.58,7.02,89.67,,,,,,,,,,,,,,,,,1a,25,1568977693
30766,30766,962.1332857816524,1568978712.879394,962.1332857816524,-89.37251038271297,567.2809622524018,18.204266233854845,553.5367944956619,0.9928176999092102,554.5086539562125,49.33727544467598,585.5479460067543,0.9976155757904052,566.2181392955712,-6.2315042361433335,596.2300296349364,0.9808351993560792,536.3688273725083,87.60439017882959,599.5105473491674,0.7043320536613464,554.9517372095833,-49.0675467869609,600.2231985592457,0.6992450952529907,452.63981327562766,129.9634916832547,459.2066256458469,0.9783464074134828,475.39634635235745,-92.42860287983757,473.3953853239824,0.7990849018096924,634.4579422757365,236.86579941047626,337.4903075945054,0.7833539843559265,593.9216778699148,-205.448978048308,328.4488296834336,0.3763798475265503,784.0865344496028,247.62753249493,220.95214045630885,0.7428116202354431,762.6495931399513,-211.251673089928,179.65528448991776,0.8727755546569824,443.4083892960672,133.3876241315055,129.6541800328194,0.4049668610095978,466.8687361533535,-71.28404275516841,177.60023099914628,0.8232287168502808,764.071343518591,136.5717769381785,41.25763902352725,0.06991487741470337,773.377305633981,-88.37989818541752,78.81845963305194,0.08281084895133972,346.56363083367273,169.4806500284657,-666.2027542033636,0.0016788244247436526,564.2930373521842,-87.69259279211731,-412.82194989165833,0.006541043519973755,1756.5766714218344,1911.4363290497324,7.186671421834753,358.56318592312266,2753.3764431737663,609.5702567790768,7.183371374678033,138.41,2744.0664431737664,620.053585357242,7.16335710917377,138.41,1760.9566714218347,804.4403851686151,8.16671421834754,180.37,1761.02,1015.863699481276,7.74335710917377,179.85,1760.7,1139.2936709502676,7.073328578165246,179.85,2604.072971940559,874.66,7.606671421834753,89.83,1760.6633285781656,1153.2136709502674,7.056685687339018,179.85,1760.6133285781652,1172.4803709031107,7.823328578165246,179.85,2588.802971940559,874.6133285781652,7.586685687339016,89.83,695.3229148785416,2094.69,8.846685687339017,90.06,522.2362291912026,2094.53,9.183371374678034,89.67,1758.3533285781652,1599.9470280594414,7.62,179.28,357.5730004715671,2093.583328578165,7.026657156330493,89.67,,,,,,,,,,,,,,,,,1a,25,1568977693
