,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,K_in-H_out.14_x,K_in-H_out.14_y,K_in-H_out.14_speed,K_in-H_out.14_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,K_in-H_out.15_x,K_in-H_out.15_y,K_in-H_out.15_speed,K_in-H_out.15_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,K_in-H_out.16_x,K_in-H_out.16_y,K_in-H_out.16_speed,K_in-H_out.16_angle,Q_in-J_out.14_x,Q_in-J_out.14_y,Q_in-J_out.14_speed,Q_in-J_out.14_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,scenario,participant_id,source_file
28872,28872,902.9668240602847,1568379051.0734165,902.9668240602847,-76.46365514364177,,575.301334394482,25.44919090506899,694.2130840073199,0.9989017248153688,584.6700902955732,53.027849908866045,753.1072248823754,0.8663199543952942,610.0245415068697,-10.470340174800251,756.3941549585277,0.9176191687583924,511.2731327011997,101.91003191298135,744.6191493273755,0.652053952217102,559.5936385440333,-57.57337386684276,745.487494853219,0.557425856590271,461.15338568446083,166.3623319182761,612.2201913771025,0.8312655687332153,472.6135607197082,-97.88511081011265,577.489155838432,0.3479678630828857,601.7241415325818,254.97130669870708,389.7336607123455,0.7908810377120972,586.5527355673054,-181.67631681059441,394.9526297009864,0.35260939598083496,786.3961729478611,303.94103335174213,209.6947752548264,0.7004894614219666,739.3158648719832,-200.03227929662262,174.89858518383858,0.8841001987457275,411.42187966171394,159.80473417187278,162.1867665485791,0.09393960237503053,424.0584252879273,-46.42830015946019,227.73363034535046,0.06464368104934692,661.4853020749321,171.68925010997458,-3.4671970027823704,0.07112294435501099,690.7274557975081,-99.49005803418899,157.79560982098562,0.3818944096565247,375.228257858832,194.18390821963328,-662.7651146775445,0.007805615663528442,831.1134476144816,-12.657346350823795,36.21756215203049,0.02610209584236145,1755.4199055638294,1925.507626767737,6.186682406028481,354.98341203014235,2744.964025865253,619.0425621046044,6.646682406028482,138.41,1760.2933175939716,703.3620427056645,8.120141654256331,180.37,1761.04,817.1121371418353,7.646635187943037,180.37,1761.29,855.5521371418354,7.526776842199371,180.3034120301424,2735.634025865253,629.5625621046044,6.633270375886075,138.41,1761.33,870.1921371418355,7.613270375886072,180.1,2655.216918496456,763.5022315780063,7.190047218085446,166.91,1761.36,885.3754547358069,7.676965714541148,179.89672962411393,594.7745924822785,2094.8,8.066587969857594,90.06,1758.8666824060285,1558.9054075177216,7.980047218085446,179.28,436.4245924822785,2094.0366824060284,8.016587969857593,89.67,400.79791007625005,2093.83,7.890094436170889,89.67,149.43118045213612,2120.839669473402,7.839905563829111,106.01,,,,,,,,,,,,,,,,,,,,,,,,,1a,11,1568378102
28873,28873,903.0,1568379051.1070368,903.0,-76.45698708356504,,578.2098341784102,22.624069130834517,696.5382573268131,0.9986765384674072,590.9530322327888,49.43879355577686,756.0598263537943,0.9909707307815552,604.6069199933103,-11.016802576844334,750.5658771549195,0.9558968544006348,527.526112449658,95.16667911415921,749.4468400061203,0.5835124254226685,563.8717505558933,-57.66799228916011,745.4946665566919,0.5078359246253967,464.7315837596002,170.17572489816743,614.6333167089502,0.7419131994247437,469.6749463602635,-98.50301614232932,575.9337086787821,0.2870302498340607,600.7428576967393,258.3410481043479,391.9759861479128,0.8409504890441895,588.7826364834541,-180.34196574640632,389.9242720395563,0.3383872509002685,773.5441067945949,308.90307737802436,205.52687210545497,0.9404182434082032,747.8161522065207,-195.19162110466357,176.11040667633904,0.5376379489898682,410.87010658796106,174.910494350548,166.59924783275332,0.018748372793197632,425.0280891505729,-49.11579641371418,222.0524313157249,0.12426084280014038,641.6526250857657,172.64632141007934,-12.31714372095746,0.02419385313987732,687.8707733557736,-97.28252824575507,150.4103422537664,0.20447343587875366,328.22623064095797,192.20939438802174,-707.9650136562713,0.008829116821289062,689.4872869718796,-29.254395641714147,-174.10215335175147,0.007431417703628541,1755.4,1925.71,6.19,355.0,2745.11,618.88,6.65,138.41,1760.29,703.09,8.15,180.37,1761.04,816.86,7.64,180.37,1761.29,855.3,7.55,180.32,2735.78,629.4,6.62,138.41,1761.33,869.94,7.6,180.1,2655.27,763.27,7.2,166.91,1761.36,885.12,7.74,179.91,595.04,2094.8,8.05,90.06,1758.87,1558.64,7.99,179.28,436.69,2094.04,8.0,89.67,401.06,2093.83,7.91,89.67,149.68,2120.77,7.82,106.01,,,,,,,,,,,,,,,,,,,,,,,,,1a,11,1568378102
28874,28874,903.0329742983597,1568379051.1400936,903.0329742983597,-81.09423862040428,,574.8637103427105,23.684676045574374,686.9447835261208,0.9983059167861938,574.8425634589439,51.36649807726814,740.2496928977794,0.9362061023712158,599.2108894658554,-12.02331323683586,745.4488983679335,0.9656432867050172,542.4698622828598,92.0435952833065,754.2153245480603,0.5120388269424438,569.0423548967296,-54.8522034954626,744.2859615194484,0.5217490792274475,461.0622045198195,172.15013977121268,614.2133079309733,0.7646270990371704,469.67379197512236,-98.72449040673668,573.2052563418578,0.3777962327003479,606.9481514454576,273.09114654441794,399.8339286336953,0.7694267034530641,586.7832912375617,-177.68866812753402,385.90914697004393,0.4371385276317597,788.5010068843152,309.276236787847,207.1569970742431,0.8873457908630371,741.7513703895961,-199.45620235873287,174.91756416015735,0.9091228246688844,422.6195235099762,181.49915003537976,144.31164838782112,0.010723203420639038,433.3492697519709,-52.116365751067384,219.95241264429782,0.1689237654209137,661.8039558524853,171.70673078583332,-46.66132601707938,0.027980387210845947,689.5290077467322,-93.63888734739521,142.30635485375706,0.20952561497688293,284.5091497078513,226.50940964352023,-756.2781396358296,0.005526334047317505,635.7443090499808,-36.570058945253436,-268.2714785886467,0.009958118200302124,1755.38351285082,1925.91444064983,6.19,355.0725434563913,2745.2550869127826,618.7151285082015,6.66318971934388,138.41,1760.29,702.8229081832865,8.133512850820154,180.37,1761.036702570164,816.6093953324663,7.616917991148213,180.37,1761.286702570164,855.0526927623023,7.533512850820151,180.33318971934392,2735.9250869127827,629.2351285082016,6.629892289507909,138.41,1761.33,869.6893953324662,7.616487149179847,180.1,2655.3260563072117,763.0391799114823,7.216487149179849,166.91,1761.36,884.8628004727942,7.7531897193438795,179.92648714917985,595.3070918167135,2094.8,8.05,90.06,1758.8732974298362,1558.3795030429583,7.9735128508201525,179.28,436.9537943868776,2094.04,7.986810280656122,89.67,401.3204969570416,2093.833297429836,7.919892289507909,89.67,149.9306046675337,2120.6974565436085,7.843082008851787,106.01,,,,,,,,,,,,,,,,,,,,,,,,,1a,11,1568378102
28875,28875,903.0664525457872,1568379051.1736555,903.0664525457872,-112.25902251392614,,575.1108996794868,25.24420597437971,685.5812818340085,0.9983994960784912,587.0554067348178,50.82057229980425,744.2236251870836,0.9233369827270508,607.0482643130449,-12.019445162428616,747.2430980183902,0.9653545618057252,545.8949331549345,92.67454406514985,756.7581726547751,0.5985720157623291,562.5958364804128,-52.482178986552725,739.6545500732122,0.5063492059707642,464.5185357550848,176.20075424384254,615.9168007522368,0.7723904848098755,466.7598895816515,-98.29965200676935,570.1156815414407,0.4537726044654846,607.634776182773,278.5527679523947,401.87742221062587,0.8048063516616821,602.3639364208548,-180.12604221439733,359.9751470046914,0.458991676568985,790.7621272195473,314.93652196416735,206.34701338882388,0.8396278619766235,724.7078640440362,-201.12919400274865,169.26774051005725,0.9061755537986756,474.3314737822886,211.3481414085123,155.2058777444815,0.003909409046173096,422.8547584512848,-60.93029339002178,207.89528129362117,0.05056443810462952,472.2541256894883,217.3276413732404,-286.36365648826774,0.012266188859939577,678.5165920424258,-93.80986000769735,125.47175327267608,0.292631059885025,289.08107694463484,240.55890877159493,-752.3718765643733,0.004596620798110962,606.0378479913325,-44.80293468618989,-326.56565105286995,0.020242840051651,1755.3667737271066,1926.12200578388,6.19,355.1461956007317,2745.402391201464,618.5477372710645,6.67658101831484,138.41,1760.29,702.5517343791245,8.11677372710645,180.37,1761.033354745421,816.354960652018,7.59348321794903,180.37,1761.283354745421,854.8016059065967,7.516773727106449,180.34658101831485,2736.0723912014632,629.0677372710645,6.63993576373613,138.41,1761.33,869.4349606520179,7.63322627289355,180.1,2655.382969327838,762.8048321794902,7.233226272893551,166.91,1761.36,884.6016701428606,7.76658101831484,179.94322627289355,595.5782656208755,2094.8,8.05,90.06,1758.8766452545788,1558.1150248882818,7.956773727106451,179.28,437.22162036629686,2094.04,7.97341898168516,89.67,401.58497511171817,2093.836645254579,7.92993576373613,89.67,150.18503934798196,2120.6238043992685,7.86651678205097,106.01,,,,,,,,,,,,,,,,,,,,,,,,,1a,11,1568378102
28876,28876,903.1,1568379051.2072868,903.1,-81.43615794271047,,571.8835740387608,27.941248922354212,683.7970392843285,0.9983572959899902,589.3076531740271,52.45290200034861,742.4148247027306,0.923814296722412,609.7442654537092,-6.36027182973919,747.791645446156,0.9769965410232544,516.0275830851339,109.73440605579086,743.6999109143396,0.6826339960098267,566.5392205041787,-49.06317711684618,741.3458263798946,0.624643862247467,457.4193778614822,179.48112682258687,612.3275626102528,0.8106159567832947,449.219552838088,-95.83203420452423,593.4315474503218,0.7421307563781738,606.336194767235,282.62814917870844,400.4296550677797,0.7901313900947571,582.0788114219679,-173.61321579222428,376.2085348704242,0.6513221859931946,792.3605903199672,314.2692792779736,203.4616338081877,0.8253112435340881,750.5317923156089,-195.78729394148704,189.3337815927932,0.9169757962226868,466.3487910449865,196.2882806150401,148.39011474986972,0.007354289293289185,419.16486578684754,-64.49217387851812,200.1654639485681,0.10776209831237793,610.8100956194132,186.7152292310973,-118.3963864625786,0.05604439973831177,678.4545961830328,-92.92963962940536,95.3103752352308,0.41650328040122986,254.36427673888875,254.4009670453293,-791.6472932207477,0.003868252038955689,586.8532886596129,-60.256215939479034,-394.40583150248085,0.006522864103317261,1755.35,1926.33,6.19,355.22,2745.55,618.38,6.69,138.41,1760.29,702.28,8.1,180.37,1761.03,816.1,7.57,180.37,1761.28,854.55,7.5,180.36,2736.22,628.9,6.65,138.41,1761.33,869.18,7.65,180.1,2655.44,762.57,7.25,166.91,1761.36,884.34,7.78,179.96,595.85,2094.8,8.05,90.06,1758.88,1557.85,7.94,179.28,437.49,2094.04,7.96,89.67,401.85,2093.84,7.94,89.67,150.44,2120.55,7.89,106.01,,,,,,,,,,,,,,,,,,,,,,,,,1a,11,1568378102
28877,28877,903.133217722112,1568379051.240762,903.133217722112,-75.48034815206509,,568.8090265451934,31.551476099365267,681.3250155018545,0.9983672499656676,578.3826143332392,56.253968401886176,740.5845413707275,0.9094103574752808,595.208668599676,-4.16194067701079,740.3976684515005,0.8259382247924805,521.6035855644038,116.5823087752005,749.3908437014084,0.5857120752334595,560.9924937492253,-45.1213616620411,740.4583886950522,0.6483203172683716,453.967509631327,185.98537427536442,607.9814503565146,0.7501627802848816,457.9315164304495,-87.21168973495459,575.1169282537319,0.14996641874313354,607.4494638541643,283.4353395743925,402.52804029274284,0.8339661359786987,600.6390398344535,-173.22143419675106,352.12871988080605,0.7118815183639526,790.4529870114087,314.70702274372934,207.4112165200579,0.943398118019104,743.8145318423892,-198.0041724506509,180.43683457686728,0.9505627155303956,480.0994065987026,219.97097994045254,156.74746016498656,0.003202974796295166,412.8129019535381,-66.90459945514607,187.3515432341581,0.241155207157135,332.8801441044207,246.712378621023,-429.401920006075,0.028262645006179813,721.0409321434862,-88.67184495519258,88.97080748714913,0.2962111532688141,267.76941467552945,291.78421430964426,-774.5975941964432,0.003308415412902832,573.0422273622228,-59.37963580460644,-431.6873403636352,0.005947768688201904,1755.336712911155,1926.5359498770945,6.186678227788801,355.34622734402564,2745.6961579772933,618.2172331616513,6.660104050099207,138.41,1760.2866782277888,702.0142582231041,8.086712911155203,180.37,1761.03,815.8475453119488,7.583287088844798,180.37,1761.28,854.30086708416,7.516608861055996,180.36332177221118,2736.3661579772925,628.7372331616513,6.653321772211199,138.41,1761.33,868.9275453119487,7.6333911389440035,180.1,2655.493148355379,762.337475945216,7.246678227788801,166.91,1761.36,884.0775799953152,7.816539494323192,179.97328708884478,596.1190635491073,2094.8,8.063287088844797,90.06,1758.8833217722113,1557.584258223104,7.953287088844798,179.28,437.755741776896,2094.043321772211,7.966643544422397,89.67,402.11242000468485,2093.84,7.906782277888008,89.67,150.68581114362874,2120.4769210113536,7.853460505676808,106.01,,,,,,,,,,,,,,,,,,,,,,,,,1a,11,1568378102
28878,28878,903.1667131950574,1568379051.274517,903.1667131950574,-75.36149501892913,,567.3491278580524,37.35442759235005,684.2308318714761,0.9980674386024476,579.7999714062563,63.751140380456846,748.3779689017941,0.9337021112442015,599.1216392839634,0.8772929057353949,746.5673169959264,0.7906355261802673,541.9280491895897,106.61094589379715,759.2913908704124,0.4957138597965241,564.9108603449806,-42.05984090653056,743.1271402977417,0.3787193298339844,451.7458571425918,187.0850986384769,610.6698113998283,0.7465382218360901,457.56532247899423,-83.77956761251616,568.7958281345592,0.1516346037387848,604.3309780928511,283.5119749757891,399.5057397995454,0.8376131653785706,604.9238546383448,-169.925679637263,346.2216920678225,0.818368673324585,790.3002106556137,315.9398565950038,207.83076048852746,0.92899751663208,724.831699401549,-195.6986907619421,169.59023548713742,0.9446300268173218,476.3818310772427,203.6063826632065,149.05658901598258,0.015404731035232544,405.24623252387175,-66.81754293037642,174.6736951162859,0.24435603618621826,511.77018690647867,223.33181388695093,-248.975760178458,0.03417372703552246,783.4669641908615,-88.69235866704453,109.42634191360122,0.2868496775627136,248.79552637300378,279.8556096408868,-796.7211262452169,0.003997892141342163,552.2918575548297,-65.82299359970861,-466.5270499730285,0.02517375349998474,1755.3233147219769,1926.7436218093555,6.1833286804942675,355.4735101412178,2745.8435380582528,618.0531053442191,6.629958124448415,138.41,1760.2833286804944,701.7462944395413,8.073314721977074,180.37,1761.03,815.5929797175644,7.596685278022928,180.37,1761.28,854.0496510370701,7.533356597528657,180.36667131950574,2736.513538058252,628.5731053442191,6.656671319505732,138.41,1761.33,868.6729797175642,7.6166434024713405,180.1,2655.546741112092,762.1030076345987,7.243328680494268,166.91,1761.36,883.8129657590472,7.853384514563048,179.98668527802292,596.3903768799643,2094.8,8.076685278022929,90.06,1758.886671319506,1557.3162944395417,7.966685278022928,179.28,438.02370556045855,2094.046671319506,7.973342639011464,89.67,402.3770342409528,2093.84,7.873286804942683,89.67,150.93367764342415,2120.403230970874,7.8166154854369525,106.01,,,,,,,,,,,,,,,,,,,,,,,,,1a,11,1568378102
28879,28879,903.2,1568379051.3080616,903.2,,,566.7302573854523,41.96250449925385,685.8461425995956,0.9985344409942628,585.6956312915404,68.19586009577316,750.223602599994,0.9585962891578674,600.0475955251212,5.7702574826171755,750.157318177438,0.8698017597198486,544.5624028797215,109.14720449620528,761.2465428187787,0.5379535555839539,560.0154145384254,-36.92751932940645,744.5493423311218,0.3074690103530884,446.5126101026239,194.2168131290631,611.7829246572278,0.8132798671722412,452.5929481243821,-82.73719200997851,592.5016868235738,0.568032443523407,583.5219721803561,272.11741075407804,412.5243306840731,0.6440377831459045,585.2829362796945,-165.5998912798117,367.28027612171235,0.792693018913269,777.1955488873011,310.9367699419692,217.43470954402528,0.052233219146728516,735.1791745924374,-191.43831071061547,170.34601762563102,0.6101265549659729,439.71657823828764,180.65460868946496,165.53467007791988,0.11529499292373654,409.08012940554437,-61.61272515864393,176.2520369694795,0.3009735941886902,606.7479370122226,206.82876803867225,-62.99429205320766,0.013000071048736572,809.3242176506551,-90.33747093589571,116.3610727490764,0.5685541033744812,240.13570375103265,309.1589342110456,-803.9454872672768,0.004189044237136841,533.7059940675254,-73.81041005326297,-492.1083828449645,0.01667112112045288,1755.31,1926.95,6.18,355.6,2745.99,617.89,6.6,138.41,1760.28,701.48,8.06,180.37,1761.03,815.34,7.61,180.37,1761.28,853.8,7.55,180.37,2736.66,628.41,6.66,138.41,1761.33,868.42,7.6,180.1,2655.6,761.87,7.24,166.91,1761.36,883.55,7.89,180.0,596.66,2094.8,8.09,90.06,1758.89,1557.05,7.98,179.28,438.29,2094.05,7.98,89.67,402.64,2093.84,7.84,89.67,151.18,2120.33,7.78,106.01,,,,,,,,,,,,,,,,,,,,,,,,,1a,11,1568378102
28880,28880,903.2332903692703,1568379051.3416224,903.2332903692703,-70.03689191361309,,566.9239573120183,50.84031233624382,686.2176751742113,0.9980480670928956,574.7488501344909,78.05626039101091,749.2111812399171,0.9591830968856812,596.6373257434166,12.263671913561875,752.2042629990535,0.8534203171730042,531.5450065231039,119.94624018133105,754.5188697912554,0.5329261422157288,553.8555846722988,-31.71861160616981,746.9833453795147,0.3044169247150421,456.2052588173257,196.4408924310456,591.4016096217679,0.2084374725818634,450.913304539914,-67.12373823176232,593.0423935551943,0.114804208278656,592.3524303135388,271.90398983509806,398.3804649755616,0.8873996734619141,585.7395036396695,-163.8805085017181,373.4797923331624,0.7989939451217651,795.3447264939416,312.71367723469325,204.9299967168531,0.8156377077102661,734.2943426007512,-188.54202882210467,168.1563285108279,0.6014812588691711,451.1002145876706,173.70218713402141,173.56505570993252,0.019946426153182983,405.5316074218331,-51.913005914693116,178.36610417651855,0.2921719551086426,665.9659662495001,200.6523944505278,19.525035193140763,0.00929519534111023,765.2372565525328,-87.97690121537701,88.42301590140404,0.4285663962364197,223.07919467779098,323.00386246697354,-821.1229790750432,0.004547208547592163,495.1964988178136,-87.50990938153433,-542.3889071090612,0.015842407941818237,1755.2966838522918,1927.153071252548,6.18,355.7531356986429,2746.136477624789,617.7235481536492,6.619974221562115,138.41,1760.28,701.2103480089114,8.079974221562116,180.37,1761.0266709630732,815.0869931935466,7.61,180.37,1761.2766709630732,853.5503222304735,7.533354815364903,180.37,2736.803148587862,628.2435481536489,6.646683852291924,138.41,1761.33,868.1669931935464,7.583354815364903,180.1,2655.6532645908324,761.6369674151086,7.2466580738540385,166.91,1761.3566709630732,883.2903351196925,7.860038667656827,180.01664518463508,596.9296519910887,2094.8,8.08334192614596,90.06,1758.8933290369268,1556.7836770458387,7.98,179.28,438.5529939172345,2094.05,7.966683852291924,89.67,402.9029939172346,2093.8433290369267,7.866632295416154,89.67,151.42967776952645,2120.2600902245326,7.78,106.01,,,,,,,,,,,,,,,,,,,,,,,,,1a,11,1568378102
28881,28881,903.2666507423717,1568379051.3752534,903.2666507423717,-75.18861265177735,,573.9075174182086,53.07275817363187,689.2531307019009,0.9983075857162476,573.4105679810486,82.79548585795311,750.5045907125888,0.94558984041214,593.0799711139869,18.01231619211471,751.3235593031533,0.8455178737640381,529.1907480408954,126.94724043244759,751.2549515595122,0.5869576334953308,546.9661555086585,-26.15952581478935,745.6834528318781,0.32762810587883,460.1397048236762,197.74326749781517,583.1868350678301,0.2285861968994141,458.8515256074832,-56.40724072306536,576.2682592990276,0.039125174283981316,591.9895144849693,270.33860294875467,399.37567641833436,0.9174505472183228,577.7425313203448,-156.48184161776047,383.46808889546685,0.3295779526233673,800.3353296829358,310.3420647254062,205.91712172406704,0.863861083984375,728.6422802000252,-197.01424510040718,159.0957163851555,0.9470368027687072,444.46594781110457,167.7629058322368,197.87309018739188,0.12532374262809753,395.3910912153433,-51.37610885646389,179.17238205358436,0.17215478420257568,705.9245332807753,177.73808661243282,97.7227916131794,0.27974075078964233,787.1696206484855,-93.38127682912138,101.25679711368326,0.5318509340286255,272.32548364168184,256.615120657309,-722.8047739660863,0.0068815648555755615,407.44576402277045,-132.8104313228408,-645.4813565306115,0.007323861122131347,1755.283339703051,1927.3565695284672,6.18,355.90659341490976,2746.2832632664354,617.5567462881414,6.639990445423008,138.41,1760.28,700.9401289867892,8.099990445423009,180.37,1761.0233349257626,814.8334543579753,7.61,180.37,1761.2733349257626,853.3001194322122,7.51667462881416,180.37,2736.946598192198,628.0767462881415,6.633339703051328,138.41,1761.33,867.9134543579753,7.56667462881416,180.1,2655.706641187795,761.4034448033983,7.253330148474336,166.91,1761.3533349257627,883.0301242095009,7.8300143318654865,180.03332537118584,597.1998710132108,2094.8,8.076669851525661,90.06,1758.8966650742373,1556.5167940610265,7.98,179.28,438.81654086473634,2094.05,7.953339703051327,89.67,403.1665408647363,2093.846665074237,7.8933205938973465,89.67,151.67988056778762,2120.1900334410198,7.78,106.01,,,,,,,,,,,,,,,,,,,,,,,,,1a,11,1568378102
