,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,scenario,participant_id,source_file
42510,42510,1351.4245203183916,1568622203.3329825,1351.4245203183916,-89.95248782670542,644.9344881676658,112.32043205023872,679.9302083587263,0.989960789680481,667.701587293542,139.16221744529963,723.5921926306869,0.9281420707702636,686.8082169877622,80.61288812920256,730.7237467563355,0.9821064472198486,616.7024079111568,180.21164993360333,731.0828605329741,0.6814678907394409,650.9532187506634,42.93768671944677,740.6026530848703,0.5351808071136475,507.366597692482,247.6265778647868,584.1663351115409,0.9318796396255492,495.9147490289797,-14.730908858336987,597.7948297799737,0.9669864177703856,605.810165110174,349.0682797775401,389.4105856408103,0.6831813454627991,577.9094884934726,-119.96907724375298,395.0634579474418,0.9838533401489258,773.6337124629836,366.41440019435134,221.54687581413108,0.44802069664001465,767.648833561482,-144.00536738847168,242.12414799347718,0.6226407885551453,460.0074770055376,205.94173222287685,206.56575171157317,0.007276892662048341,446.7516632957354,-8.080556920734816,149.0666444809697,0.35399848222732544,671.7651804296478,271.3826335498789,90.97907397941022,0.4268079996109009,802.7864629475873,-4.4493386431425845,107.58531752566783,0.8855170607566833,312.29982852268796,241.39753974931136,-676.2156900058302,0.019677489995956414,570.9300168261742,-64.92311989802194,-431.71516925768725,0.7474687695503235,1757.5149040636784,1966.2354373690825,4.23,3.593261834939033,1070.6361625471307,2096.35,8.025287808965208,89.86,946.9665462924174,2095.232452031839,7.225095936321736,89.4,932.9365462924176,2095.0824520318392,7.144520318391319,85.67213322161763,730.1308747381653,2094.65,8.665287808965209,90.06,1760.15,1349.9491252618348,8.507164222873923,179.85,366.3291901969,2093.632452031839,6.862260159195659,89.67,,,,,,,,,,,,,1a,12,1568620805
42511,42511,1351.448909719313,1568622203.3662946,1351.448909719313,-89.89876276691652,644.9128790731378,116.44266189608078,679.7174479761925,0.9916426539421082,669.1276245114133,140.88686626830062,722.2600440709509,0.8864713311195374,685.7453887529314,87.2720954054335,726.4301099101372,0.9088776111602784,594.2551240674097,189.1723150740696,717.6969055150228,0.7955665588378906,646.5690955886654,45.92660604243692,738.3103533570122,0.5968089699745178,510.25527511364913,250.67991378434127,578.3880650151159,0.9552172422409058,492.57105286226937,-13.493790051876912,595.6005161389337,0.9717059135437012,601.6113921119878,348.25357782837165,386.12568354789215,0.8461661338806152,577.0503865254523,-115.85832654390629,395.3381501250978,0.9805219173431396,758.1751788723959,369.86207457655365,216.70389719137498,0.4276478588581085,759.1902586852374,-144.77651401006474,234.73464958888192,0.5680195093154907,461.5395240904371,203.4027569880187,226.9419101660971,0.07957226037979126,445.7759351188882,-8.094762470704291,169.3571329069967,0.18729451298713684,665.1493541829756,274.080406378695,107.25097180370147,0.5799141526222229,800.1604573270339,-4.889218156706521,104.92622849195179,0.9085536003112792,326.9440622195417,230.23206546307102,-651.4216326520374,0.01827210187911988,532.9734776412215,-75.66154511088165,-481.2255764048741,0.66107177734375,1757.5197819438627,1966.3403117930454,4.23,3.4274139086722486,1070.8312777545032,2096.35,8.010654168412257,89.86,947.1421499790528,2095.2348909719312,7.220218056137419,89.4,933.1121499790528,2095.084890971931,7.1689097193129045,86.07211939673164,730.3406235860908,2094.65,8.650654168412256,90.06,1760.15,1349.739376413909,8.524236803519033,179.85,366.4974770632591,2093.6348909719313,6.874454859656452,89.67,,,,,,,,,,,,,1a,12,1568620805
42512,42512,1351.4732341851698,1568622203.3995185,1351.4732341851698,-77.3021733352644,630.12072747806,112.47883363432986,661.3217294247818,0.9874077439308168,664.1150170927976,139.3316286459872,710.9573928372113,0.8411236405372621,655.6532716807981,81.77699285045058,705.6444927323332,0.956364631652832,588.3256856920716,195.98028712547432,713.7958991690822,0.76155686378479,645.8985598497703,48.026328073137314,737.3324763603425,0.4811417758464813,507.2078097616948,256.6665587509443,584.3566340801245,0.9660079479217528,489.588572041822,-13.333738764251759,600.9010042712978,0.9374461174011228,604.569298020122,355.7345782753614,388.9071539742217,0.9530673027038574,583.9604129239398,-110.96600203364471,402.2002811961652,0.9825600385665894,756.5999448620888,370.9658439707023,217.44506087819923,0.4435516893863678,757.6152193203151,-144.5525973908577,232.22804802330845,0.5674048066139221,467.12333123199477,203.659826246893,218.11815587582578,0.009923040866851808,456.2610716942556,-6.927578933392668,161.0841511727313,0.379244327545166,741.4095920200183,296.34083229188116,146.41505208324483,0.08659094572067261,876.0135505433414,-0.09942505889388008,163.2836280073779,0.8754889369010925,454.41515154542856,217.42243613099808,-467.3085161197329,0.030515134334564206,484.5979984749562,-83.93227550087612,-524.2218327391547,0.5202598571777344,1757.524646837034,1966.4449069962295,4.23,3.2620075408458087,1071.0258734813576,2096.35,7.996059488898161,89.86,947.3172861332221,2095.237323418517,7.215353162966053,89.4,933.2872861332221,2095.0873234185174,7.193234185169734,86.47104063678361,730.5498139924597,2094.65,8.636059488898159,90.06,1760.15,1349.5301860075404,8.541263929618815,179.85,366.6653158776712,2093.637323418517,6.886617092584867,89.67,,,,,,,,,,,,,1a,12,1568620805
42513,42513,1351.5,1568622203.4360766,1351.5,-75.64905058012819,636.9499651140434,125.04429868607134,661.1418130106323,0.993488311767578,651.5075255159612,148.7588885795819,708.3135526533401,0.9704720973968506,658.0684074238093,94.14057828879378,702.6004071210692,0.9117879271507264,553.4369469763052,207.38485911342525,699.1779430189276,0.7290636897087097,638.2554667166902,49.31738525057122,728.6447255781633,0.2875474691390991,505.60679906011563,257.8540186242787,577.2312821898182,0.9636348485946656,492.3198565880516,-1.3348919497016514,595.2610884388487,0.8430913090705872,600.312272630488,361.47361472712004,387.61496655028395,0.9807298183441162,590.1331980234197,-114.17296617607401,401.3571954462178,0.906073808670044,756.4634899948636,369.95117760167915,217.0689135520568,0.4197041988372803,760.8444895966687,-143.84753071705018,233.19839939656293,0.6148965954780579,468.650797216736,202.25396565085472,238.6627968241277,0.05491763353347778,446.8492691504849,-6.345702008363986,171.01754760552868,0.16763144731521604,696.9747173550238,284.7702278515344,143.07911666874472,0.7792740464210509,883.3269979860336,0.7353257251892646,163.5010443071541,0.8331795930862427,521.1775140352684,183.89399544391003,-413.1100606669351,0.09069859981536864,482.6638321586422,-83.88599476543484,-526.640885042474,0.3763297200202942,1757.53,1966.56,4.23,3.08,1071.24,2096.35,7.98,89.86,947.51,2095.24,7.21,89.4,933.48,2095.09,7.22,86.91,730.78,2094.65,8.62,90.06,1760.15,1349.3,8.56,179.85,366.85,2093.64,6.9,89.67,,,,,,,,,,,,,1a,12,1568620805
42514,42514,1351.5312862521,1568622203.4664905,1351.5312862521,-77.0282998960342,647.7391339814009,132.413169055819,675.9506977477454,0.9970880150794984,647.8444458610971,161.18541748401213,713.4201435025882,0.9904011487960817,685.2033014766969,101.33468168530467,724.1955568680214,0.9724552631378174,578.9881096916456,201.8273200316838,708.6728721749173,0.739319920539856,636.992616548068,48.31047253928198,728.4004273666023,0.5360321998596191,502.4174658577947,257.38089013056344,582.8068867079293,0.955479621887207,490.0214619150045,-3.069210374316365,590.0652011086972,0.8488869667053223,600.1432885988811,356.90354189869583,387.3658758571842,0.9579524993896484,574.2985358209354,-115.29162754387384,391.64079729396485,0.914299726486206,756.5521966269481,368.80142345374117,216.7075583930317,0.493711531162262,763.9347542160991,-143.48388852885608,235.78751056498643,0.6511654257774353,467.56049407544907,203.30514279519474,221.76379779482772,0.010793298482894896,440.06265520570844,-5.948140096640805,171.52007239687228,0.17739909887313846,670.7247332698784,272.8948945980685,106.70911300094679,0.4565446376800537,755.3841790266043,-9.881530587109632,70.29260133245464,0.869094967842102,560.0183344428871,198.50189493805505,-378.02495833553553,0.04497432708740234,452.7708535594032,-89.81720417513975,-541.3942435842116,0.5348517298698425,1757.53,1966.6914022588198,4.236257250420009,2.801552356309595,1071.4934186420103,2096.35,8.008157626890041,89.86,947.7352610151204,2095.24,7.200614124369986,89.4,933.7083896403303,2095.0931286252107,7.232514500840018,87.33862165377062,731.0521903932704,2094.65,8.648157626890043,90.06,1760.1531286252102,1349.0340668571496,8.547485499159983,179.85,367.0627465142803,2093.64,6.881228248739972,89.67,,,,,,,,,,,,,1a,12,1568620805
42515,42515,1351.5656198266029,1568622203.4998667,1351.5656198266029,-75.4117268529246,639.5120146476945,139.60830738468383,667.2768358029464,0.9968886971473694,635.5391302516812,167.94843152032308,708.4804796405895,0.9915277361869812,679.1523860047537,106.17229817009672,721.8440344153305,0.9799001216888428,584.8031060891028,202.07227981773255,712.7190668912313,0.5320193767547607,627.5276768483275,48.329608846410245,725.8217413712007,0.5873580574989319,501.6509612254802,258.9137630650885,584.2480299194555,0.9607270956039428,493.70769164808894,-2.8512330526673626,591.3714137740251,0.8565316796302795,601.4790547783506,356.9388700600337,384.66301773610064,0.9601687788963318,582.3872835604421,-115.13129035256485,393.79817926176077,0.9084072113037108,775.3269977783417,358.56622556141036,216.0599434248066,0.9336925745010376,768.5422525649507,-142.9149043651679,237.06976142720768,0.6133368611335754,484.9888022658099,205.1201636127604,200.1556402550969,0.00264093279838562,445.2164938128851,-4.6403875657101405,174.1056243208135,0.20451077818870544,675.0830686206469,261.51475819506317,74.68125211319469,0.3785814046859741,864.7507708799028,-4.768839518480268,156.55564908069076,0.8486251235008241,579.4415078901362,200.7191194064507,-354.4637947770424,0.13551750779151914,451.3134404680954,-84.63866902429343,-552.9833465761814,0.13794907927513125,1757.53,1966.8356032717334,4.243123965320631,2.4959835432319055,1071.7715205954858,2096.35,8.03905784394284,89.86,947.9824627515428,2095.24,7.190314052019053,89.4,933.9590247342032,2095.09656198266,7.246247930641262,87.80899162446325,731.3508924914474,2094.65,8.679057843942841,90.06,1760.1565619826606,1348.7422314738733,8.533752069358737,179.85,367.29621482090147,2093.64,6.860628104038106,89.67,,,,,,,,,,,,,1a,12,1568620805
42516,42516,1351.6,1568622203.5332882,1351.6,-104.42080915991433,634.3132295918883,140.2836438936289,663.5450985206575,0.9963955879211426,651.3231889631943,167.7153775632087,712.7471425036218,0.9901447296142578,679.0299543519573,105.72723825121632,721.1224941853284,0.9746950268745422,597.9152314525472,202.36724805277802,716.1438745349268,0.5648032426834106,631.5235398846157,50.654698908749936,726.4144984818753,0.4979802072048187,502.2738110290735,259.4472315111758,582.9992460474207,0.9617071747779846,493.5043558195997,0.5657287445147983,592.7429733349331,0.8606379628181458,593.5113698096519,353.6292938164396,390.4367552710015,0.9190462827682496,591.6408093555309,-114.52104059116805,397.27024915278463,0.9094067215919496,765.2027478432589,364.74792494691286,215.6866250413098,0.4923737049102783,780.9323826539911,-146.05336240522237,240.73648901309548,0.7266759276390076,477.24351483984816,208.67953548641003,189.6310707071449,0.1013890504837036,438.00268356494314,-3.3030963964406364,166.68473286572734,0.2273662984371185,691.2178637804035,255.88723049013046,65.96094963818831,0.4185091853141785,880.0206130811215,-8.457608676118738,166.73191525035583,0.8458381891250609,608.9690627232886,217.47003312872863,-363.9607141331493,0.034544676542282104,453.88609825348624,-85.44617796251892,-563.6992850375574,0.08296149969100952,1757.53,1966.98,4.25,2.19,1072.05,2096.35,8.07,89.86,948.23,2095.24,7.18,89.4,934.21,2095.1,7.26,88.28,731.65,2094.65,8.71,90.06,1760.16,1348.45,8.52,179.85,367.53,2093.64,6.84,89.67,,,,,,,,,,,,,1a,12,1568620805
42517,42517,1351.6496903179118,1568622203.5666854,1351.6496903179118,-76.74961012936603,646.283629570764,142.62696390889334,670.1751705855461,0.9959440231323242,647.1571107577665,171.35886258031772,714.9208643818695,0.990422785282135,683.0404927193545,103.63658504127169,725.5495228204242,0.9794785976409912,600.4047999533486,203.11881282846107,720.7384315086999,0.42453470826148987,623.5350794758975,51.04209827028694,724.7715184933785,0.4991335570812225,500.90412251632097,258.3178555444188,585.7343829438572,0.7065413594245911,497.8116641395334,2.3349613970850465,594.133559495902,0.8652561902999878,582.8054473155157,355.2163641370577,391.1503693471217,0.8557883501052856,592.7069804506359,-114.10873593986773,397.2548926651412,0.9138994216918944,762.8112457878384,367.3237949483082,215.04802392596991,0.488145649433136,786.0159321856806,-144.63493830722538,242.80410346513526,0.7291802167892456,500.8457112541047,206.1303006833804,184.4876866270097,0.004867225885391235,449.181891203189,-5.6962556599115,171.08334254768175,0.19893184304237368,702.854765467001,260.2649939741023,66.16240637516819,0.8724567890167236,874.7368551256653,-11.97615812056144,166.67968657453008,0.8234880566596985,614.6184634576435,206.9940793969416,-369.9434410250502,0.12180894613265993,526.0601684028753,-75.8064218145322,-492.6032682575888,0.01978063583374024,1757.5250309682085,1967.1936683670208,4.254969031791181,1.698065852673042,1072.4475225432948,2096.35,8.045154841044091,89.86,948.5877702889653,2095.2449690317912,7.214783222538268,89.4,934.5677702889653,2095.1,7.220247745670549,88.52348255776789,732.0823057658329,2094.65,8.695092904626456,90.06,1760.16,1348.0276322977495,8.529938063582362,179.85,367.8728631935915,2093.64,6.8747832225382695,89.67,,,,,,,,,,,,,1a,12,1568620805
42518,42518,1351.7,1568622203.600499,1351.7,-89.46257495879509,638.8143563504482,144.42934774769168,668.0855445615791,0.9952276945114136,643.8296259826008,173.94111065873378,712.7818775361401,0.9900897741317748,678.658094525552,105.8961675128548,722.620387592176,0.9821095466613772,601.1746801093941,205.0198154319788,725.1051265705794,0.4229493141174317,621.0950472908613,51.37963794043546,724.9276147150771,0.5512170791625977,501.89996637704064,256.72200619390117,583.7790029924086,0.6949639916419983,491.4250482155138,-6.299869994513973,591.1077541905104,0.5385112166404724,582.6844992616043,357.63626270290024,388.88730934998034,0.905525803565979,588.8310759346037,-114.15454405803841,395.02563198718383,0.9273481369018556,758.2099230412932,368.6727778521554,211.958800130743,0.5133022665977478,775.9201570314183,-143.7824530993004,232.35610082605686,0.6792749166488647,491.29817256060153,205.48632250689303,170.4949236029999,0.014964103698730469,454.9958534883365,-6.4154324608088125,169.89111098026885,0.2352312803268433,801.8474427327344,244.61400393910358,105.690472900441,0.8545429706573486,880.9069159040837,-16.546467799338586,168.45954317494184,0.8062541484832764,617.7367808789493,202.58438912894118,-382.87965680055123,0.06681784987449646,685.2176152970187,-53.554349880411216,-320.63289225644064,0.013772159814834595,1757.52,1967.41,4.26,1.2,1072.85,2096.35,8.02,89.86,948.95,2095.25,7.25,89.4,934.93,2095.1,7.18,88.77,732.52,2094.65,8.68,90.06,1760.16,1347.6,8.54,179.85,368.22,2093.64,6.91,89.67,,,,,,,,,,,,,1a,12,1568620805
42519,42519,1351.7328430369996,1568622203.6334252,1351.7328430369996,-83.01506188126554,636.4087397619725,146.23152949211436,667.6238133002628,0.9934388399124146,643.3320257843907,175.52787641133685,713.1927306633777,0.9829894304275512,671.5641019771617,108.45709589147283,719.373130007798,0.9723464250564576,602.7742940565071,204.81472149629784,726.7462910071446,0.4007887244224548,620.4742244297306,52.96717358556917,725.0161804171498,0.5514827370643616,501.80036992169966,256.53036552890364,583.9794217571567,0.7122523188591003,493.12356114098094,-9.444945299491938,592.3852950035632,0.5721640586853027,585.899179548042,357.85873745282373,392.20049912019687,0.8851203918457031,587.9436243488867,-109.20028379268574,395.829136106362,0.9428761601448059,758.4478257318657,368.2835264025665,212.5488924926053,0.5550875663757324,789.5808585345811,-139.07835615840477,242.0866032721817,0.7447047233581543,494.9891543337918,205.17222794006747,164.01767314131862,0.06739261746406555,461.9699691087384,-10.62948523422888,169.89600285942586,0.2517513632774353,775.8472356966092,230.7630819986109,56.16020477749504,0.6223105192184448,883.3774284458333,-8.697574024456394,165.08810960263318,0.4943533539772034,622.7621787433204,200.1834127961877,-395.82547514369315,0.09180530905723573,751.419453757308,-44.565932109614465,-250.65433531093674,0.015413820743560791,1757.5167156963,1967.5479407553973,4.263284303699937,0.8124521634074541,1073.1127442959946,2096.3532843037,8.013431392600125,89.86,949.1897541700954,2095.2532843036997,7.240147088900191,89.4,935.1664698663956,2095.1032843037,7.189852911099809,88.9309308812969,732.8057344218945,2094.65,8.686568607399874,90.06,1760.16,1347.3175498818055,8.536715696300062,179.85,368.4466169552957,2093.6432843037,6.900147088900191,89.67,,,,,,,,,,,,,1a,12,1568620805
