,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,Q_in-J_out.14_x,Q_in-J_out.14_y,Q_in-J_out.14_speed,Q_in-J_out.14_angle,Q_in-J_out.15_x,Q_in-J_out.15_y,Q_in-J_out.15_speed,Q_in-J_out.15_angle,H_in-K_out.9_x,H_in-K_out.9_y,H_in-K_out.9_speed,H_in-K_out.9_angle,Q_in-J_out.16_x,Q_in-J_out.16_y,Q_in-J_out.16_speed,Q_in-J_out.16_angle,K_in-H_out.21_x,K_in-H_out.21_y,K_in-H_out.21_speed,K_in-H_out.21_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,scenario,participant_id,source_file
37704,37704,1003.7600065372686,1569577135.505261,1003.7600065372686,,,606.6956064050812,17.464864955948542,609.0182014146203,0.9945321083068848,612.7057086238017,43.720857105033005,659.9712019298678,0.9687365293502808,626.5074420269189,-17.217521102941358,656.0392786086146,0.974346399307251,611.5789695616079,74.99571459464963,683.0614284230206,0.4781453013420105,581.5200062786082,-67.17336603022869,651.7305972232089,0.7455939054489136,455.8605431500834,135.7334299144606,539.8403625320378,0.9815894365310668,467.01543520135766,-110.25682818104092,532.623341537384,0.7610316276550293,559.4183285349764,236.91962526143502,323.70692988778353,0.3019399046897888,536.4761081757387,-199.3603870162442,297.7741655779115,0.9209842681884766,712.9109666996992,262.5888093498532,137.63516790000972,0.973908305168152,682.3872376489118,-200.34419061515962,116.19164753500864,0.8887234926223755,398.72074024783547,132.54421579676324,103.20955136612102,0.10030925273895264,412.8608170365207,-68.1001635766545,141.58644070287104,0.15486547350883484,261.15056063856855,206.9782055015523,-416.4025779752024,0.32661595940589905,622.6136998150714,-118.80687364721248,17.043154689480133,0.4541277289390564,268.82027233256485,209.62453070975567,-701.4049531259387,0.05934903025627136,440.0136821157389,-135.208027967906,-428.828739061869,0.014130324125289915,1756.206003922361,1974.0060464146088,7.12,4.589973850924562,1761.3460006537268,891.8059548928449,6.856000653726887,179.85,1761.31,905.6879562002986,6.797998692546227,179.85,1761.27,920.4419555465718,6.897998692546227,179.85,1761.23,935.219954239118,7.042001307453773,179.85,1398.2919980388192,796.8819457406685,8.3,181.84,1761.1960006537272,949.4839535853912,7.122004576088202,179.85,2656.1060104596304,759.6999542391179,7.193999346273113,166.91,1759.8060006537269,1483.4399444332144,8.426007190995746,179.85,158.82804772206268,2118.1439862717352,7.6320045760882005,106.01,1748.8020013074536,2224.6239503167567,7.649986925462282,178.81,1748.2620013074536,2250.879947701849,8.043989540369825,178.81,,,,,,,,,1a,30,1569575905
37705,37705,1003.78078272326,1569577135.539813,1003.78078272326,-92.56902105662678,,601.5606946093861,26.992015922232696,612.3795303859968,0.9942525029182434,616.0894894685098,44.90246068326854,662.1477480064168,0.9841347932815552,633.8872536036638,-12.997507439462664,659.6074883722762,0.9811185598373412,618.1399132417575,74.36623815073416,684.5354451711969,0.4733341336250305,573.1956874477257,-65.07274717630672,647.9063581156231,0.7192282676696777,445.6281175575105,137.05655683404638,541.0223123857486,0.9129844903945924,468.3302412465143,-103.18568729859041,527.5442922876522,0.6708847880363464,554.3603383587681,233.3480312331825,323.29671523795366,0.3182381391525269,544.2876130484447,-197.11955541785613,302.14647338627555,0.9410707950592041,716.2099692298102,263.9457408902224,142.86667204471325,0.976105570793152,713.1697104167787,-198.99980803862286,135.6142585000053,0.7489972114562988,405.4098087207827,130.78400673285904,108.93898142953856,0.4351535141468048,399.920765167106,-66.60090387728107,126.46669619937865,0.285842627286911,589.8655875852902,177.36819439536328,-120.29880327998549,0.6451153755187988,610.5669891980838,-113.20857106627228,-2.2087902246353224,0.5518248677253723,235.20656797056938,229.2111887663864,-731.8704380992357,0.02398139238357544,450.8634071116755,-125.34089985019571,-380.8912007716065,0.024534851312637333,1756.218469633956,1974.1535573351453,7.12,4.5068691069602735,1761.3480782723261,891.6625992095064,6.858078272325994,179.85,1761.31,905.5487557541584,6.7938434553480125,179.85,1761.27,920.3006774818324,6.893843455348012,179.85,1761.23,935.0745209371803,7.0461565446519865,179.85,1398.2857651830218,796.7095033969424,8.3,181.84,1761.198078272326,949.3364426648544,7.136547906281952,179.85,2656.139252357216,759.5545209371803,7.191921727674007,166.91,1759.8080782723262,1483.2633468522906,8.448860995585925,179.85,158.97971387979754,2118.1003562811543,7.646547906281952,106.01,1748.8061565446521,2224.4660513032245,7.608434553480136,178.81,1748.2661565446522,2250.713738213921,8.010747642784107,178.81,,,,,,,,,1a,30,1569575905
37706,37706,1003.8,1569577135.5717726,1003.8,,,603.7019638579795,26.70486441206445,606.5395399089844,0.9939361810684204,605.8323367633274,49.08527226485732,658.7422355273548,0.995125651359558,641.173434208946,-10.985246266385488,663.2522931331198,0.9826294183731079,619.0620952577159,77.09518843949385,687.1906230316561,0.3863045573234558,584.015551678624,-61.507175310893075,652.2463761667673,0.5469933748245239,442.85596633239646,144.11374433381926,534.2442254461798,0.9833833575248718,468.72308400721084,-100.3586321331673,526.4356902404583,0.7173174619674683,560.092248684967,241.1053227690384,323.02296524593464,0.930815041065216,547.0938153824533,-193.93671600958302,297.77767313799137,0.9461268782615662,700.6838255732422,267.82834886898496,148.11610386212763,0.9467862844467164,712.5399609835295,-200.2914423678748,142.60612949242915,0.5694175958633423,402.3679793572181,133.61645845265863,111.91548770937638,0.3954014480113983,395.26845991470975,-68.96686454403203,119.90553316584652,0.422482430934906,345.1405329592302,214.12536583373185,-334.63448955245394,0.6003061532974243,735.395081305022,-101.88121272497351,40.87194027901677,0.2385608255863189,211.9776973440559,243.26823393764667,-753.7799212118676,0.019459247589111328,474.7912175852005,-110.9471411702878,-433.785605560121,0.017658740282058716,1756.23,1974.29,7.12,4.43,1761.35,891.53,6.86,179.85,1761.31,905.42,6.79,179.85,1761.27,920.17,6.89,179.85,1761.23,934.94,7.05,179.85,1398.28,796.55,8.3,181.84,1761.2,949.2,7.15,179.85,2656.17,759.42,7.19,166.91,1759.81,1483.1,8.47,179.85,159.12,2118.06,7.66,106.01,1748.81,2224.32,7.57,178.81,1748.27,2250.56,7.98,178.81,,,,,,,,,1a,30,1569575905
37707,37707,1003.8,1569577135.5717726,1003.8,,,598.9525385819995,26.91822343870686,605.7224329909626,0.9941725730895996,612.354335988144,50.07538932756821,661.0079410726887,0.9958468675613404,623.4312557107891,-9.647514020298011,658.8554595702496,0.9815941452980042,616.815147095662,78.80561008367198,686.9413051976987,0.3931906223297119,576.828103372186,-60.481103248456066,651.2525772203724,0.5360926985740662,446.8132043499907,145.18447845635401,536.1003395285453,0.9847152233123779,462.10634860436585,-107.716266191935,529.7863213308468,0.8299868106842041,559.5733339130854,244.5597218197594,319.96011144142034,0.9090282320976256,545.3556468349141,-193.8314151435713,302.12737809606614,0.9129778146743774,703.3824546423033,266.3999303175645,150.82573207036626,0.9668312072753906,717.4028447575242,-204.2927699613238,141.40025328394412,0.9297175407409668,390.71095809917534,133.78913469746715,103.07648164147898,0.43696328997612,402.20033793388967,-70.08518789659726,121.90651678477973,0.40902721881866455,336.42596191496517,212.9803603394476,-340.788453785559,0.5872331857681274,785.2108774105861,-97.34782105462601,58.67391811401777,0.30834686756134033,192.3499298660902,253.21087259942414,-771.4601147502585,0.02426278591156006,455.49383479283216,-126.79041917028488,-483.88693148504234,0.013394176959991457,1756.23,1974.29,7.12,4.43,1761.35,891.53,6.86,179.85,1761.31,905.42,6.79,179.85,1761.27,920.17,6.89,179.85,1761.23,934.94,7.05,179.85,1398.28,796.55,8.3,181.84,1761.2,949.2,7.15,179.85,2656.17,759.42,7.19,166.91,1759.81,1483.1,8.47,179.85,159.12,2118.06,7.66,106.01,1748.81,2224.32,7.57,178.81,1748.27,2250.56,7.98,178.81,,,,,,,,,1a,30,1569575905
37708,37708,1003.8335250422783,1569577135.6053774,1003.8335250422783,,,632.542028842444,26.940633075402303,614.6280946708105,0.9926637411117554,616.1712350823938,52.15882006669006,662.9933672875575,0.9891438484191896,621.4013399196788,-9.091819100628399,653.2735515234375,0.9954530000686646,602.5874792780651,83.51029710638466,678.8654385317266,0.5239160656929016,569.2237465072737,-61.29966735288372,651.4934702144124,0.7199888229370117,452.2429701917866,147.01484610100314,536.2348518281776,0.9848607778549194,463.699245848774,-100.13106184318173,525.6539335947858,0.7531848549842834,558.4320936673656,245.10457503768242,322.31774658925724,0.924469828605652,543.8847411711104,-193.9629439279883,293.602888125405,0.9608572125434875,703.3707898333879,267.4365219887671,151.68349349792558,0.9248611330986024,718.2687274532933,-205.38417982327542,130.64363826457046,0.9225847721099854,378.42385422716484,136.8945037239976,100.39759761718685,0.3301042318344116,395.8343345112783,-65.20980690143418,107.16737634944005,0.497524619102478,632.1983236288422,177.24106419891152,-56.43662836929431,0.6035621166229248,796.9889194095772,-99.46763556649643,53.05390942884689,0.15664368867874146,196.5478495634424,252.28467455290627,-767.1949699220586,0.016518592834472656,449.39630736727065,-123.46153544358258,-505.86559904952026,0.013641029596328735,1756.2434100169116,1974.528027800176,7.116647495772176,4.275784805520055,1761.35,891.3087347209636,6.782892402760028,179.85,1761.31,905.1886772082801,6.793352504227824,179.85,1761.27,919.9353247040524,6.9067625211391235,179.85,1761.23,934.7086772082802,6.999712436582628,179.85,1398.2732949915444,796.2683896448629,8.310057512683475,181.84,1761.2,948.9586196955968,7.15,179.85,2656.2236400676447,759.1853247040523,7.210115025366949,166.91,1759.81,1482.8183896448627,8.47,179.85,159.36808531285905,2117.9895974112155,7.666705008455651,106.01,1748.8167050084555,2224.05850467023,7.657165109923447,178.81,1748.273352504228,2250.291799661774,8.016877546506072,178.81,,,,,,,,,1a,30,1569575905
37709,37709,1003.8672646273213,1569577135.6391973,1003.8672646273213,-87.02494998461648,,604.1702025678455,29.27399258762993,610.7015715829077,0.990154266357422,606.8772162156695,56.648303382340096,657.3275948242606,0.9962105751037598,621.9160514393158,-5.022430832721746,659.2886830096967,0.9824062585830688,606.2375992231141,86.28259098731186,679.6817281306091,0.6086942553520203,582.309914452099,-55.298322259965666,657.6887600886361,0.6559970378875732,450.46965243422966,148.9152053795691,541.6190713677181,0.944890558719635,464.2983497298488,-95.89621002235417,524.6074602925121,0.7894026041030884,557.608330821956,245.72330604949184,324.34814157887695,0.913749635219574,531.5909828032908,-178.31985460762974,299.00520570310243,0.2994171977043152,706.6902896552774,268.42757553611267,153.39199399591482,0.922460675239563,708.5850076721515,-207.8145850649729,141.01176337249169,0.9105242490768432,379.56286446710726,135.86179035898732,139.7459309918848,0.6854120492935181,381.6454153541909,-63.0715038790715,95.4366209227618,0.5599632859230042,621.0731584363193,163.312730523537,-17.46178231820332,0.8130334615707397,807.4048113671743,-102.50883740342148,65.43574619278658,0.6872972846031189,201.0049884651886,222.0095620276562,-725.9834317256067,0.014167577028274538,438.044295803498,-116.05489183568932,-521.8275041237396,0.02724999189376831,1756.2569058509287,1974.76757885398,7.1132735372678875,4.120582714322775,1761.35,891.0860534596803,6.705291357161388,179.85,1761.31,904.9558740714841,6.796726462732114,179.85,1761.27,919.699147608752,6.923632313660566,179.85,1761.23,934.4758740714842,6.949103059018296,179.85,1398.2665470745358,795.9849771305023,8.32017938819634,181.84,1761.2,948.715694683288,7.15,179.85,2656.2776234037133,758.949147608752,7.2303587763926815,166.91,1759.81,1482.5349771305025,8.47,179.85,159.6177582421764,2117.918744282625,7.673452925464227,106.01,1748.8234529254642,2223.795335906895,7.744888031034954,178.81,1748.2767264627319,2250.021882981431,8.05399109005325,178.81,,,,,,,,,1a,30,1569575905
37710,37710,1003.9,1569577135.6720107,1003.9,,,602.3171004342701,31.514952577057024,610.8474389924978,0.9926668405532836,604.366140332486,61.07067629064362,657.3551813767052,0.9968780875205994,628.5381420941959,-0.7871446028587101,663.886708800989,0.9804589748382568,607.4172146500848,89.41581144569929,679.2644354113631,0.578234076499939,589.2394838465252,-50.90823397801263,661.7856311378807,0.6851223111152649,451.0863366718895,150.8798646736235,540.4938520234152,0.9451002478599548,464.1065795066326,-94.74488953635445,525.2047798956844,0.8162611722946167,561.4934675549309,246.64017599087384,326.8330604304557,0.8919766545295715,524.8013726784259,-171.69115087003337,297.6956255865066,0.3933740556240082,715.2498516798897,263.5363376930846,145.05168441306895,0.9654433727264404,708.3697263992917,-209.6447869501368,140.04733354591173,0.9276968836784364,377.6755661907891,138.3503282923138,151.99329691983843,0.5537018179893494,374.8977772735633,-65.07203976573724,92.83299864882255,0.1991155445575714,592.0683898268085,161.6665826089957,-16.357142170155672,0.6892589926719666,805.1313540370693,-104.3073938652252,69.24355402465531,0.5544410347938538,107.78216211411362,246.96857127878502,-753.7568235214641,0.018628031015396118,435.0627215799981,-105.76589541539013,-523.1128868331225,0.04285621643066406,1756.27,1975.0,7.11,3.97,1761.35,890.87,6.63,179.85,1761.31,904.73,6.8,179.85,1761.27,919.47,6.94,179.85,1761.23,934.25,6.9,179.85,1398.26,795.71,8.33,181.84,1761.2,948.48,7.15,179.85,2656.33,758.72,7.25,166.91,1759.81,1482.26,8.47,179.85,159.86,2117.85,7.68,106.01,1748.83,2223.54,7.83,178.81,1748.28,2249.76,8.09,178.81,,,,,,,,,1a,30,1569575905
37711,37711,1003.9,1569577135.6720107,1003.9,,,619.9924921219966,30.09729801963201,616.6855337858958,0.990571141242981,609.1844964054224,59.73096836085352,659.8553643826021,0.9968194961547852,619.4695449818719,-0.4426122300989164,660.3577435900852,0.9794356822967528,599.0689609911102,88.70699071160179,675.401019410862,0.5895122289657593,586.1853403578398,-47.42342977424165,660.8373767481389,0.6410084366798401,464.46555210517135,153.30390407795235,544.5247828003148,0.9400627613067628,463.4956907510328,-93.90938402812333,526.7926600820018,0.8272808790206909,558.573189946496,250.00266499461742,324.01102128210897,0.8598006963729858,549.8222416493531,-189.51993116229684,299.69942684395266,0.9583483338356018,716.5457429260363,263.6221597322613,142.9037985518728,0.963647723197937,716.6763042061514,-209.663761188228,132.00288766346642,0.9587604999542236,384.04570710781235,134.6079565103312,161.67483046208318,0.5509127378463745,365.0938560811737,-67.13038215100502,88.8545020466916,0.15433120727539062,600.5355623340478,164.13688099912036,-14.724927852374066,0.7075482010841371,796.0721662105726,-97.40333862795015,68.4876981395303,0.43233972787857056,107.45021948645302,254.49085844356534,-724.6189973783977,0.023966401815414432,410.81879925567694,-104.10882528783216,-538.8319137708802,0.07237297296524048,1756.27,1975.0,7.11,3.97,1761.35,890.87,6.63,179.85,1761.31,904.73,6.8,179.85,1761.27,919.47,6.94,179.85,1761.23,934.25,6.9,179.85,1398.26,795.71,8.33,181.84,1761.2,948.48,7.15,179.85,2656.33,758.72,7.25,166.91,1759.81,1482.26,8.47,179.85,159.86,2117.85,7.68,106.01,1748.83,2223.54,7.83,178.81,1748.28,2249.76,8.09,178.81,,,,,,,,,1a,30,1569575905
37712,37712,1003.9428476431309,1569577135.7055006,1003.9428476431309,-91.0977211277006,,607.0474601959173,34.31533730985214,612.3958415043543,0.9945694208145142,603.0308425751547,63.10358438272623,656.4409082131617,0.9961042404174804,618.7007849466222,2.3202435745370806,660.8775295951153,0.984243631362915,601.9641966048839,91.75754691632808,679.7647562234174,0.5949016809463501,584.2522596524258,-44.312562294256594,664.1222324017315,0.6738781332969666,452.4144433467728,152.16074350864312,540.4081742423954,0.9467770457267758,467.874766093781,-90.49584910800644,528.215718821707,0.8450714945793152,557.6915636340348,249.71775051852882,324.86980986976863,0.8952575922012329,552.6562416073333,-192.0964562730561,297.4662158623704,0.9556702375411988,717.4291708092453,261.8596657708997,140.59111819099448,0.9700182676315308,712.9512939946402,-208.55430555669184,130.14933475690418,0.9261009097099304,380.05030800728247,135.19732720345172,165.8951970989203,0.4512423872947693,365.3106464097935,-61.17434948540818,76.67334212708658,0.3873447775840759,615.5422880757545,172.56381660962882,12.46067127342721,0.4096986651420593,799.4633544934865,-97.84053117825701,46.48166952648205,0.2734726965427399,69.11153719598465,261.74300960124333,-700.7614097029676,0.08228203654289246,378.59340289065375,-111.97802289717951,-579.2331224788203,0.07390791177749634,1756.2828542929392,1975.3042182662305,7.105715235686897,3.734337962779333,1761.35,890.6043446125876,6.4457551345365705,179.85,1761.31,904.4429207910221,6.7571523568689695,179.85,1761.274284764313,919.1743512623959,6.931430471373794,179.85,1761.234284764313,933.9500664980827,6.9471324074441325,179.85,1398.2471457070608,795.3543645620125,8.312860942747589,181.84,1761.2,948.1800664980827,7.098582828242764,179.85,2656.4028409933226,758.4157817337697,7.258569528626205,166.91,1759.81,1481.9000797976996,8.440006649808279,179.85,160.17278779485653,2117.7600199494245,7.66714570706069,106.01,1748.834284764313,2223.2186426765174,7.710026599233115,178.81,1748.288569528626,2249.417218854952,8.034298063929661,178.81,,,,,,,,,1a,30,1569575905
37713,37713,1004.0,1569577135.7501712,1004.0,,,617.2335301478372,37.19735153434205,615.4560662546389,0.9959070682525636,612.7017825567017,65.39186150606253,661.73268766196,0.9950308799743652,631.8463436556763,7.992345645112662,666.5359462415547,0.9852968454360962,594.7704035737981,94.26868936087808,675.8799415939197,0.5609070062637329,584.0423638152142,-46.07683098747617,663.9864256252997,0.8708350658416748,457.0608342350417,153.1783209892928,538.075258228416,0.7951693534851074,468.1683651927893,-97.80911323551828,539.3828368688115,0.8620137572288513,549.3909460525114,251.09410427321944,321.5389540759031,0.889802098274231,540.5072495365481,-175.95125997996516,302.74490321328653,0.3495003581047058,721.6321431671411,260.88200386489024,142.4498464485711,0.970218539237976,708.9548750938553,-207.17784140360385,138.9836970007516,0.9206624031066896,392.5819984373026,136.71663492773158,177.61500774618764,0.2996652722358704,363.06663484495385,-65.30370215381679,87.27021873838241,0.08030420541763306,622.6244170954758,162.40365981116125,27.139162198585637,0.6383349895477295,810.4669075186415,-96.33907751011962,60.02623514590826,0.3715358972549439,214.4204269358061,222.28935720288445,-548.5982205122547,0.04668402671813965,354.61729907472466,-115.31537184896852,-609.2135074723508,0.04615628719329834,1756.3,1975.71,7.1,3.42,1761.35,890.25,6.2,179.85,1761.31,904.06,6.7,179.85,1761.28,918.78,6.92,179.85,1761.24,933.55,7.01,179.85,1398.23,794.88,8.29,181.84,1761.2,947.78,7.03,179.85,2656.5,758.01,7.27,166.91,1759.81,1481.42,8.4,179.85,160.59,2117.64,7.65,106.01,1748.84,2222.79,7.55,178.81,1748.3,2248.96,7.96,178.81,,,,,,,,,1a,30,1569575905
