,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,scenario,participant_id,source_file
31726,31726,1032.6166672226934,1568114506.5975068,1032.6166672226934,-92.12258694596252,646.1272895967812,121.70012393470623,622.9545884668713,0.9963782429695128,640.8896294242272,138.08759066799692,660.6162921987018,0.9935771226882936,643.6974738813575,87.70886144759302,660.6086961716052,0.9813392758369446,615.7385868346266,173.63664165804923,671.9782402580038,0.4241085052490233,566.3061846342002,31.722265011444172,657.6127293533639,0.70835942029953,510.12107783500886,221.675983895262,527.381449869977,0.887481153011322,513.755780086907,-15.887055145063133,519.3300276482274,0.6441951394081116,587.9377103805192,309.4105215355959,319.34743862769227,0.941647171974182,646.402664143981,-123.65607329931395,341.61713477178836,0.19476664066314692,777.1447971893297,317.87081187268325,194.6758281740353,0.8563104867935181,803.616316457064,-161.44134161375982,209.1126882268691,0.9278137683868408,541.4345950700902,188.04401770220852,66.64878826493384,0.5466424226760864,516.129046545504,-8.119028713232451,-9.160176105641282,0.2092835009098053,568.4773019661449,212.9375608989193,-308.4666971250332,0.06112942099571227,,,,0.07554316520690918,574.4780614336264,217.91137856199242,-439.51410253784456,0.15132975578308105,1443.9805866355973,-8.07531420198152,509.21550481581914,0.0201159417629242,1757.384999833192,1961.0400026689288,4.8383332777306505,356.9466668890774,1761.27,852.8066632193003,6.243333444538697,180.37,1761.32,865.934996497031,6.206666889077398,180.1,582.0233374479318,2094.8,7.355000500424143,89.87,1759.4116667222695,1515.8999963302228,6.515000500424143,179.28,389.2166718933188,2093.7616667222696,9.488333277730652,89.67,,,,,,,,,,,,,,,,,1a,5,1568113453
31727,31727,1032.633362445311,1568114506.6309142,1032.633362445311,-92.27117822137322,642.4925097653021,120.70977931392665,621.2653349929401,0.9963647127151488,634.3418928457004,137.33915593520092,657.4744965160435,0.9926489591598512,646.696687234614,85.68240682693006,660.7402460719061,0.9805291891098022,620.2186030625174,170.46406042972563,673.6217952479094,0.387406587600708,568.7914485722482,34.07649959175816,650.8129999006508,0.30254215002059937,516.6467229315397,218.5449875112484,531.0785645987551,0.8889637589454651,518.5528487009599,-22.4664451763388,520.665837283751,0.96346116065979,575.172019419501,308.9655995238692,314.72347326588755,0.9540799260139464,639.7921471652194,-123.69083906671015,333.8881451778424,0.32852739095687866,768.9254790178557,323.33534973969296,186.31386785717567,0.7790687680244446,804.3428276569742,-162.62493713478588,215.6766261150744,0.9283379316329956,536.6612606645741,190.4090164176692,59.10141384969083,0.6056716442108154,530.7833940319638,-4.096174654401153,-15.760987124455257,0.2522943913936615,539.3982688774253,227.8506370425196,-391.8559259425948,0.10394638776779176,,,,0.09291493892669678,571.5597855646681,210.39606429292442,-453.2363897190364,0.07491505146026611,932.8547746624381,-34.90218114670708,-64.54263565963278,0.023558050394058228,1757.379991266407,1961.120139737492,4.836663755468926,356.95334497812433,1761.27,852.7031528390734,6.2466724890621474,180.37,1761.32,865.8298165945422,6.2133449781242955,180.1,582.1468820952995,2094.8,7.370026200779666,89.87,1759.4133362445311,1515.7898078609494,6.530026200779666,179.28,389.37360698592096,2093.7633362445317,9.486663755468928,89.67,,,,,,,,,,,,,,,,,1a,5,1568113453
31728,31728,1032.6499731915624,1568114506.6641526,1032.6499731915624,-92.41965811788263,652.2025728607106,112.57556260810571,625.8606314670908,0.9961059093475342,630.3323249272995,135.85913479388822,656.0397964830472,0.9768578410148621,646.9892293582824,79.14111834031587,660.0654801023973,0.9678493142127992,619.1927530219821,166.96335783848102,672.4892027301653,0.3870044946670532,562.1145656463958,29.75842199504629,647.0985580600609,0.6277228593826294,515.8473408859469,225.42217012891288,526.7658822327691,0.955833911895752,515.9312032715371,-24.1463064809393,516.2789632676804,0.95984148979187,592.45865042656,311.29824943308046,318.78653316128515,0.9302216172218324,638.1845754620696,-126.29751640858072,337.7672816367221,0.8767764568328857,776.0566619550453,325.7978583070294,198.5914303787069,0.9042857885360718,803.2439936870887,-164.2619407550381,210.32225498661617,0.9160076379776,529.6732213851622,189.7161676494818,47.467779390279034,0.6652500629425049,544.4677154659373,-4.539778246823282,-18.23676811229697,0.23328596353530884,562.1878863779199,218.98850071210504,-346.55408128593575,0.11466720700263976,,,,0.09667447209358217,554.3512658578608,212.6516360863491,-478.10041966644053,0.0356658399105072,686.8886060703503,-52.09615857149148,-341.5902940747153,0.023970216512680054,1757.3750080425314,1961.1998713195,4.835002680843761,356.959989276625,1761.27,852.6001662123132,6.2499946383124785,180.37,1761.32,865.7251688931569,6.219989276624956,180.1,582.2698016175617,2094.8,7.384975872406152,89.87,1759.4149973191566,1515.6801769356882,6.544975872406151,179.28,389.5297480006865,2093.7649973191565,9.485002680843762,89.67,,,,,,,,,,,,,,,,,1a,5,1568113453
31729,31729,1032.6666356483115,1568114506.6974945,1032.6666356483115,-94.58579013377664,658.8389828954403,112.00633382535679,630.8667265175561,0.9960718154907228,636.7262483278021,134.66855938679868,659.1981650295428,0.9807093143463136,647.0943377507292,78.75574953926885,659.8547341582963,0.9695570468902588,623.8090768845792,164.98089042657756,674.5380378328817,0.3701999187469481,567.6423334700125,27.51154100820096,648.5589996266464,0.6695020794868469,506.79580752899864,224.897011824136,523.6171563506991,0.9647872447967528,514.7074197880934,-26.073633440027237,517.8690126024699,0.9515175819396972,589.7177677099795,306.3192409959828,317.0290559624544,0.9396559596061708,627.5490065818112,-124.6823360330452,339.99314953297437,0.8063867092132568,769.6814698241168,324.8668746957948,191.34089768838157,0.9387671947479248,806.3238907141466,-156.25955692822353,212.28541512114398,0.9396889209747314,515.2338776913218,190.73712732679581,38.44295369174691,0.6955169439315796,552.8691695662137,-4.243612191027115,-8.73557353283914,0.23884359002113345,512.3526937079575,221.0324941680562,-386.7961705621842,0.18920820951461792,,,,0.09156838059425354,513.9896688223777,216.59580932182286,-522.8165435116236,0.04887032508850098,1456.2362581156397,-13.404529818257494,521.0626130459452,0.02135363221168518,1757.3700093055065,1961.2798511118954,4.833336435168849,356.9666542593246,1761.27,852.4968589804686,6.253327129662303,180.37,1761.32,865.6201954156376,6.226654259324605,180.1,582.3931037975053,2094.8,7.399972083480361,89.87,1759.4166635648312,1515.5702047211441,6.559972083480361,179.28,389.6863750941282,2093.766663564831,9.48333643516885,89.67,,,,,,,,,,,,,,,,,1a,5,1568113453
31730,31730,1032.6833414751552,1568114506.7309232,1032.6833414751552,-92.79034495360752,651.5103917486848,102.34425667235266,620.6645386199389,0.9964883327484132,633.6460640293784,129.5605606626779,657.6765048043577,0.9892127513885498,640.435229485128,69.63923200745607,657.8141760788727,0.9895933866500854,620.2783317087802,162.48033091815637,672.1781485797858,0.4635475277900696,575.6539092928115,26.124024495009703,650.5706493299133,0.6097104549407959,513.1809240224691,218.54990754565284,519.1286136561339,0.972568929195404,522.6176107069625,-26.06889417956409,501.89831769295495,0.6046873331069946,602.519907245895,313.8552166314837,311.79932234831773,0.93175607919693,625.2164660613065,-116.65693796281231,342.9965145881801,0.5357255339622498,763.1295403949263,330.6297815620698,185.6734174532316,0.8353245258331299,806.3400910103833,-156.9535967775425,212.8328736830207,0.941962957382202,515.791758430822,189.0746969549987,41.17569755714058,0.6377047896385193,546.8398691504359,-3.4455291049665564,51.4975343129944,0.3876178860664368,522.7771819448985,213.3501819104787,-369.95616507042917,0.1785735785961151,424.8700519613359,-64.26068681171633,-557.0355528015306,0.13320472836494446,505.2632048750047,212.01421376698883,-530.6892243254829,0.030466169118881226,1031.886728418992,-36.50321799674226,42.918325530444754,0.02301311492919922,1757.3649975574533,1961.3600390807446,4.831665852484481,356.9733365900621,1761.27,852.3932828540378,6.256668295031036,180.37,1761.32,865.5149487065222,6.2333365900620725,180.1,582.5167269161482,2094.8,7.41500732763966,89.87,1759.4183341475155,1515.4599462639758,6.575007327639661,179.28,389.8434098664586,2093.7683341475154,9.481665852484484,89.67,,,,,,,,,,,,,,,,,1a,5,1568113453
31731,31731,1032.7,1568114506.7642572,1032.7,-90.75307099909641,650.0599361651638,98.1157378589228,617.5444605392528,0.9968750476837158,637.6827020801516,125.26571497298286,657.1750094097827,0.9933147430419922,646.6719380605944,66.85069104395001,658.8346487882898,0.9904820919036864,612.0831126023971,158.18365202962752,665.1587718545504,0.5500783920288086,580.6427249572864,24.83127098910541,651.4163954720123,0.6086311936378479,527.3924372265515,209.14552641918263,504.34522634746764,0.39011669158935547,521.456487233108,-25.162013579043933,497.1333025229511,0.6404490470886229,589.6832641391189,311.08560985778337,304.3006403816335,0.5724167823791504,626.334708305225,-118.00400013476671,348.15158211625686,0.440392017364502,762.3885466963809,336.61408228278657,185.164148736641,0.8708550333976746,806.5691988801227,-154.51967182550624,212.615392427652,0.9516977071762084,499.4787649410849,185.81321878284896,51.441436828615046,0.7989479899406433,544.3958648815835,-8.767432803697375,70.08507601706722,0.3207868933677673,513.2787654184383,204.36751708111092,-316.31397772173636,0.16435307264328006,318.4099027162485,-69.34634542873178,-622.7907296847461,0.13738539814949036,511.0057505191601,206.2826780134148,-523.9528674752797,0.043168872594833374,742.078210322331,-50.18613545643855,-280.87521612982664,0.01830980181694031,1757.36,1961.44,4.83,356.98,1761.27,852.29,6.26,180.37,1761.32,865.41,6.24,180.1,582.64,2094.8,7.43,89.87,1759.42,1515.35,6.59,179.28,390.0,2093.77,9.48,89.67,,,,,,,,,,,,,,,,,1a,5,1568113453
31732,31732,1032.7498780275619,1568114506.7977474,1032.7498780275619,-93.09570403161308,655.9784359277959,94.86772255719684,617.6941093985478,0.9968503713607788,639.967143616798,123.0369642222635,657.1215304078847,0.9955756664276124,644.6355461046068,64.08042584456459,657.2786811391733,0.9911943674087524,613.5934969421868,157.28588850220518,670.5823381918094,0.6488884091377258,583.6918172896284,13.972166281345274,655.0137759997976,0.8492539525032043,520.3314994061991,219.26157937889386,516.8866409830821,0.9852383136749268,520.8682335437286,-33.9014813434678,514.4393467276011,0.9329735040664672,600.5427145208453,310.04726707850443,308.19444703159377,0.4937874972820282,622.7233282604731,-123.7103558947192,339.82449104831846,0.8438321352005005,783.7493783299153,334.77293094241134,200.8387500908325,0.76849365234375,806.8224340132335,-155.09482175555186,212.06498140318985,0.944993495941162,495.4224465579639,186.88248004524465,24.416125119080768,0.5515256524085999,601.7330474894843,-11.221388960854515,62.2023620455044,0.6421975493431091,500.69771445228866,205.81067994415767,-352.7778550672902,0.059895128011703484,,,,0.10636773705482484,490.3098206794405,212.7457471762339,-525.9677413670358,0.12134021520614625,679.2534437826987,-49.4190991958673,-349.0777629718966,0.026831775903701786,1757.3500243944877,1961.6744267295408,4.765158564169578,357.0348658303181,1761.2650121972435,851.9757684263603,6.250024394487628,180.37,1761.32,865.1007562291163,6.220048788975254,180.1,583.0090974039578,2094.8,7.425012197243813,89.87,1759.42,1515.025792820848,6.555085380706696,179.28,390.4788290645938,2093.77,9.509926816537117,89.67,,,,,,,,,,,,,,,,,1a,5,1568113453
31733,31733,1032.8,1568114506.8314009,1032.8,-91.05900010691923,651.9407644840971,90.71439302426388,617.805334181314,0.9970412254333496,638.6268837084315,119.66272195981449,655.6244579820124,0.9967598915100098,637.9047870756928,61.70384106579882,653.4456776501883,0.9912971258163452,614.7236278620009,152.7677390501078,669.6657481001896,0.6507066488265991,572.7728363182136,9.72047823888159,652.5944055369077,0.8149690628051758,526.3244673515114,210.42251429507863,503.97842021380836,0.8402323722839355,515.8368279990707,-36.39523575279494,515.5418560185623,0.938187837600708,603.9279988719792,311.0898585207641,307.98288903429284,0.4230819642543793,621.9390650256953,-124.0566073049322,333.42494882672344,0.13793963193893433,779.842835020321,330.69408795037805,192.63702784587798,0.7612441778182983,790.6801982630162,-155.19859182681603,201.04668938195093,0.9527937769889832,490.106694660224,185.82978863142415,37.12954840857006,0.8403335809707642,582.6971732448012,14.474777935795956,24.682403932890374,0.02822518348693848,479.0094355208362,205.9523553077901,-395.06036170670166,0.04926866292953491,500.7410855798482,-59.61192654378385,-536.2207864154577,0.06723704934120177,451.65281451938864,218.8717849650391,-561.0645911027858,0.07049345970153809,580.9178078350427,-51.907989158907604,-455.3757260944481,0.020381927490234368,1757.34,1961.91,4.7,357.09,1761.26,851.66,6.24,180.37,1761.32,864.79,6.2,180.1,583.38,2094.8,7.42,89.87,1759.42,1514.7,6.52,179.28,390.96,2093.77,9.54,89.67,,,,,,,,,,,,,,,,,1a,5,1568113453
31734,31734,1032.8514610744646,1568114506.866183,1032.8514610744646,-87.88199033719248,658.2726519550165,89.2423304751857,621.3671347618551,0.9973562359809875,639.2402877590117,118.15992350286669,654.0309426095885,0.9969284534454346,654.45934139929,58.74507153697247,658.801092698863,0.9903098344802856,613.3605511505111,151.25857991598102,658.2029724548032,0.655204176902771,577.4689620620328,5.140447927825914,649.1496812381793,0.7664686441421509,529.9256024809051,203.23773975384225,504.0109876514188,0.8351249694824219,514.2857640673475,-39.209051779120394,517.6984444665393,0.9288704991340636,601.5756989184745,311.2131015379538,306.53785609592614,0.4552773237228394,623.7096364136738,-123.54765492014648,333.271563975466,0.0936765968799591,773.5887607470003,331.2285903808768,190.0179458290469,0.8263497352600098,801.4346959617658,-155.12825100944852,211.17350633249387,0.9516131281852722,494.0670242534072,177.46918207487892,54.26114343235889,0.8304802775382996,569.4881069455969,29.029923875589127,2.9799255914927585,0.017742902040481567,473.61233881627265,205.5499742974041,-363.00105174381935,0.04324337840080261,541.5972092461117,-59.2635974737863,-504.1707957573472,0.03814888000488281,435.26799660213766,220.46335610790013,-575.8836751929989,0.040396451950073235,586.9756997513232,-50.720789076687424,-442.83228434929606,0.015617549419403074,1757.3245616776605,1962.167305372323,4.833798793607957,357.18262993403624,1761.26,851.3409413383196,6.2245616776606205,180.37,1761.32,864.4709413383194,6.225730537232299,180.1,583.760811951038,2094.8,7.42,89.87,1759.4251461074466,1514.3655030159803,6.494269462767702,179.28,391.4488802074137,2093.7751461074467,9.514269462767698,89.67,,,,,,,,,,,,,,,,,1a,5,1568113453
31735,31735,1032.9,1568114506.8989902,1032.9,-89.3958869722754,649.1110395621603,88.43735146608299,615.4058730673007,0.9975913763046264,636.3478424529345,116.93985396129423,651.3010893364241,0.9959701299667358,648.4244254936652,56.843478195236216,653.2930429907078,0.9891674518585204,603.1131175486908,151.787741125123,653.1611521594123,0.6148324608802795,573.3816359650361,3.925503567954284,648.8053716959153,0.7500085830688477,528.05510756391,211.8622400628259,519.9809432891232,0.979092001914978,510.86502746391466,-33.6285919498378,519.0707853521027,0.2905002236366272,596.301393571604,311.02515763569824,307.57339269835086,0.4050823152065277,624.6127498426986,-125.58947663698757,341.1892842372721,0.8083624839782715,784.0448410642093,333.4303232427432,196.9226447363824,0.7808762788772583,795.8337823653262,-156.76651139249358,208.27106602231805,0.9524181485176086,481.5970512332248,171.77538219451338,57.444030805039255,0.758215606212616,597.1670031186209,-2.4797582438841244,36.530252181080435,0.6184117794036865,581.3550854033085,194.88653589874852,-188.90587049886418,0.09938624501228333,502.79380953502226,-61.191605932193184,-499.1415272718451,0.12915584444999695,407.7647282547113,210.77666443010327,-608.1350054198491,0.02913004159927368,1405.158137232852,-11.120626114856858,469.37895721807405,0.01169636845588684,1757.31,1962.41,4.96,357.27,1761.26,851.04,6.21,180.37,1761.32,864.17,6.25,180.1,584.12,2094.8,7.42,89.87,1759.43,1514.05,6.47,179.28,391.91,2093.78,9.49,89.67,,,,,,,,,,,,,,,,,1a,5,1568113453
