,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,conflict_1a_1_x,conflict_1a_1_y,conflict_1a_1_speed,conflict_1a_1_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,conflict_1a_2_x,conflict_1a_2_y,conflict_1a_2_speed,conflict_1a_2_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,conflict_1a_3_x,conflict_1a_3_y,conflict_1a_3_speed,conflict_1a_3_angle,scenario,participant_id,source_file
38687,38687,1208.7678984356767,1568017442.7757332,1208.7678984356767,-88.56654111345671,521.4683230440802,64.97166181709052,679.6441496357647,0.9972268342971802,529.2560727308519,97.13996796463523,722.4634091885925,0.9988269805908204,519.8784057406448,33.80321698737771,722.6609004034374,0.9975268840789796,504.1290382365097,141.05058767302285,726.9679636120325,0.9406900405883788,517.7292042398468,-2.279084310868376,740.0171026587445,0.8644928932189941,397.9171533007978,219.95104172501087,578.1001635411333,0.9061949253082277,401.59063809638985,-52.81594147620801,563.2437852941382,0.6634035110473633,521.7669520640757,272.8452004738236,358.70492021212317,0.4945562183856964,540.350076723267,-139.90398364483187,337.92576967258077,0.2987405955791473,674.7508435268137,326.66677370926584,172.64465350940395,0.4900403618812561,749.4329583410198,-143.03333063277432,177.57289843554753,0.1629718840122223,370.65962582737177,168.81213714243523,159.43872795961119,0.6613627076148987,420.54150545436005,-23.599716016889506,170.38346651418595,0.16630810499191284,734.5935508529695,195.66299907321965,14.191578900267984,0.4492715895175934,675.7567067142162,-40.69110453280321,53.862680373595744,0.7014904022216797,353.23599344750954,237.02652780204792,-666.7462377457707,0.01109236478805542,550.6154843673639,-48.24969351901542,-298.8803754192311,0.015066534280776978,1756.06,1995.161593742706,4.006789843567645,358.74431874854116,1028.1399773289793,2096.0767898435674,8.13394921783823,89.4,1760.16,1346.9047109502646,6.976420312864707,179.85,569.4120788933028,2094.77,7.139630469297062,89.87,555.3820788933028,2094.7167898435673,7.12,89.67,410.04207889330286,2093.8867898435674,7.10605078216177,89.67,,,,,,,,,,,,,,,,,,,,,1a,1,1568016169
38688,38688,1208.8,1568017442.8088512,1208.8,-88.56654111345671,521.509139292793,62.59961061699469,679.4182870148743,0.996654212474823,527.3166108446853,94.79102124519876,720.4512966006673,0.9989298582077026,518.8719522537317,32.814644797763115,720.8769661346588,0.9971065521240234,502.14563487835267,141.6275588689829,722.5616665777713,0.970599889755249,498.39205694098234,-2.7892426301706745,731.3573749833888,0.8636924028396606,402.2987921380149,221.09714061503811,578.554872543882,0.9153927564620972,400.7183858978759,-50.96332561935159,563.0962063784136,0.7388063669204712,518.9708734569857,275.50566809585706,355.0503940927658,0.5159564018249512,532.8831029937907,-139.8255320771272,339.9454658615548,0.2860644459724426,680.156468374929,326.04569493915125,176.1599047626733,0.5110207796096802,758.3326301405878,-139.43327902279412,179.41096043370402,0.6856791377067566,371.52585707599,166.0458041940671,159.05580520823915,0.5905873775482178,423.8153403499003,-22.732171631457838,168.61633006745834,0.18696600198745728,733.8889906655912,196.6049647736681,13.167502301156164,0.469889909029007,672.4730350652483,-40.887944133658436,50.4140830699206,0.6359982490539551,321.5706930773652,243.7293850268308,-695.6394751303533,0.0142001211643219,538.0001374705455,-48.55629667920769,-362.2949231052271,0.01580590009689331,1756.06,1995.29,4.01,358.77,1028.4,2096.08,8.15,89.4,1760.16,1346.68,6.97,179.85,569.64,2094.77,7.13,89.87,555.61,2094.72,7.12,89.67,410.27,2093.89,7.09,89.67,,,,,,,,,,,,,,,,,,,,,1a,1,1568016169
38689,38689,1208.8313733803675,1568017442.8397248,1208.8313733803675,-88.52168155587208,532.7677618186336,64.32906692852906,682.0687899271562,0.9968600273132324,533.2466866917208,96.2224175007332,721.9036658424554,0.998541533946991,511.7525412921245,34.10301440041833,718.1498606960797,0.99724143743515,501.68119810640195,142.16985910931973,722.9334311333351,0.9433522224426272,499.2689100174633,-1.042556849267342,732.1705831393996,0.8674293160438538,402.5448778885557,221.87397676403472,578.9581296070082,0.9112899303436279,400.75296280214087,-49.349425081949136,562.740144726185,0.7745587825775146,518.5690737249251,275.93785688154816,353.47658039132585,0.519578754901886,533.1772855720591,-138.36796103130328,342.26439740063387,0.2879180908203125,684.625590246794,331.82676114209886,167.51408514215262,0.8331674933433533,749.5493434912747,-143.72857663369612,181.4581232920484,0.2299163639545441,377.1602656531194,164.83638493592875,158.38531162691075,0.5873486399650574,416.62989793797925,-28.348787224304147,158.87693393476212,0.2471863627433777,739.1493612640762,194.43237903093643,20.658150619763433,0.4596255719661713,715.7644944823319,-38.23671918846674,59.738890059185934,0.08581387996673584,275.95674480795657,249.7805151393269,-742.8712895901346,0.011979430913925173,554.4525101234073,-53.68960788324606,-410.64062348621803,0.011167049407958984,1756.0568626619631,1995.4154935214706,4.01,358.79823604233087,1028.6603990570522,2096.08,8.171961366257408,89.4,1760.16,1346.4635236754627,6.966862661963228,179.85,569.8658883386478,2094.77,7.151961366257408,89.87,555.8202016484638,2094.72,6.988231802455555,89.67,410.4927510006109,2093.89,7.093137338036772,89.67,,,,,,,,,,,,,,,,,,,,,1a,1,1568016169
38690,38690,1208.8659928091718,1568017442.8737926,1208.8659928091718,-88.47682506563869,526.3042046605066,66.88032536964661,679.8474899530986,0.9968727827072144,525.7150225592818,99.30158830795679,718.9810303139079,0.998530387878418,513.0719777991311,36.49178905005515,714.4653293570218,0.9277097582817078,501.92547317857867,144.87105159572852,722.4645296367547,0.9549517631530762,507.65127508195656,0.8404518798317042,735.913639157938,0.9050293564796448,402.9420915327064,223.187424965282,578.2641561907876,0.9079028367996216,404.25282596575477,-48.601460437382144,565.33014380182,0.7951309680938721,518.1079009509439,276.64790592481285,353.85224496703324,0.4872090518474579,533.2734656842548,-137.8002293663021,343.07951867064065,0.29212629795074463,682.1892425274198,328.43437223178006,163.06042880358146,0.7037284970283508,741.0663424055962,-146.31268138397,179.6612947570242,0.2557506561279297,377.519248463518,163.10583206551314,160.0318641361132,0.5612343549728394,414.4624114498681,-32.816389356259506,154.08134331819383,0.3049306273460388,738.8737532195078,195.6353710794989,19.705000473509873,0.4641479849815369,767.3663495165828,-27.759114641771568,76.33990071453955,0.3049554228782654,253.20904403770058,251.9707796220941,-766.4223612597757,0.009642869234085085,572.6476683581003,-49.23794077637764,-425.17436804780283,0.01182699203491211,1756.0534007190827,1995.553971236687,4.01,358.82939352825457,1028.9477403161252,2096.08,8.1961949664202,89.4,1760.16,1346.2246496167152,6.963400719082829,179.85,570.1151482260364,2094.77,7.176194966420199,89.87,556.0521518214505,2094.72,6.842830201478807,89.67,410.7385489451192,2093.89,7.096599280917172,89.67,,,,,,,,,,,,,,,,,,,,,1a,1,1568016169
38691,38691,1208.9,1568017442.907258,1208.9,,522.3439693004136,70.11076311649015,678.5479417933793,0.998132824897766,521.6454161887208,103.21009541226948,717.7641237801802,0.9977264404296876,514.3386256676719,38.772544134890865,720.4453226121394,0.9975067377090454,494.0455597197257,146.00336426616548,719.9628717488562,0.926543116569519,501.82963114339583,1.1989941161034388,737.4350569428705,0.9376922845840454,402.0611327278592,227.11240885404104,569.9146020636613,0.8947466015815735,403.5365172827719,-60.50306700363162,567.9444188417526,0.9840106964111328,515.7992580063345,273.40735659829534,347.66334681330596,0.9713327884674072,527.0285519256437,-138.96318251798365,341.26567242713327,0.28569018840789795,677.6714995768177,331.79206454981636,160.564739999074,0.8577505350112915,744.4417666749797,-147.31738425107457,184.39959450959483,0.1851460337638855,387.39909707515886,164.84616473115582,140.22153683164458,0.4279402494430542,407.02286512389986,-33.98239831850158,148.57525782449198,0.26751312613487244,745.9214890953235,196.3956234061461,26.425441979686298,0.33465781807899475,784.5122628574711,-24.714479606878122,82.37603544178731,0.08771297335624695,228.23301176108936,273.42146003316606,-792.1873521291959,0.003511011600494385,552.4610660616622,-43.54646379776654,-456.0984504017337,0.013578057289123535,1756.05,1995.69,4.01,358.86,1029.23,2096.08,8.22,89.4,1760.16,1345.99,6.96,179.85,570.36,2094.77,7.2,89.87,556.28,2094.72,6.7,89.67,410.98,2093.89,7.1,89.67,,,,,,,,,,,,,,,,,,,,,1a,1,1568016169
38692,38692,1208.9327789810231,1568017442.9405992,1208.9327789810231,-86.83928812272421,528.1463893385663,72.48065467091482,683.3007156538613,0.9981212019920348,521.9416268391352,104.5657064331242,716.6022263450543,0.9973372220993042,514.7526361458005,42.72851682235718,720.2357019971076,0.9967190027236938,501.3625055756615,146.22009426260817,721.8172392637787,0.904269516468048,500.97008992538804,2.6604586421776,738.3619125446063,0.9414756298065186,397.5141204539505,228.1877121833465,567.9766985564074,0.8964998126029968,403.1138237238758,-61.82346822043702,568.8759251007825,0.9848641157150269,520.5097693828459,274.12979372926367,347.837834556007,0.9715787172317504,536.6595830065829,-136.3968515708747,345.73470626108184,0.2412736415863037,694.1917190173848,327.56853500112487,171.04005891588503,0.8339209556579591,745.7709586788043,-148.63248543748253,186.30255733518862,0.2387831509113312,391.2644367077696,164.00131216792659,132.3647990136103,0.3914754390716553,410.0136638166258,-32.407604392493,143.99899014148846,0.2626808285713196,747.2134850549098,196.7209942259052,29.71762721460277,0.09630241990089417,809.9603996521173,-17.238751942939352,88.89811170983377,0.16491523385047913,221.3834365415556,286.3248870667113,-799.7265924980362,0.002142906188964844,535.0853293411392,-45.60945201849848,-471.0234386340046,0.017112165689468384,1756.05,1995.8211159240925,4.01,358.90916847153466,1029.4955097462869,2096.083277898102,8.206888407590768,89.4,1760.16,1345.7605471328384,6.950166305693075,179.85,570.5960086633662,2094.77,7.1836105094884575,89.87,556.4865075804454,2094.723277898102,6.55249458539611,89.67,411.2127307652639,2093.89,7.093444203795383,89.67,,,,,,,,,,,,,,,,,,,,,1a,1,1568016169
38693,38693,1208.9661959945995,1568017442.9745893,1208.9661959945995,-90.14639319432293,528.6120323527623,73.02544095834523,683.3684562545446,0.9980031251907348,525.9224882612962,107.73887130094204,717.0617097090694,0.9967256784439088,509.39889145032237,44.98697651949399,718.4712603499588,0.9966736435890198,495.0331950976319,149.29405330423168,718.0267209721974,0.9046777486801147,493.36713900894097,4.221026322764302,737.2320428396382,0.9386467933654784,397.0983958423124,229.61837973162213,567.7351858595258,0.8834798336029053,412.56531155623117,-71.45494147858876,570.4171667966599,0.9768978953361512,521.3714663689966,273.8356119439884,346.7508308029506,0.9612245559692384,526.4858595981854,-140.89341895752858,348.72039479074823,0.04561328887939453,688.1731770514308,326.08282809363675,163.03245104746,0.832317590713501,744.0752288533228,-146.95772564973637,174.63727279860328,0.7684539556503296,391.7697180046152,162.99398194299337,131.33489084960166,0.37410444021224976,401.4377185378608,-28.80249755488125,141.81192179672848,0.5248759984970093,749.2932950441472,193.9483385877044,36.85838272529082,0.14663514494895935,825.2428746229781,-14.537535462707089,93.75807648244572,0.19188281893730166,218.6234344002972,295.24986453705316,-803.8944983538215,0.0030888617038726807,519.700904061797,-44.17342697192371,-481.27995132055236,0.025455862283706658,1756.05,1995.9547839783982,4.01,358.9592939918992,1029.7661875562558,2096.08661959946,8.193521602160214,89.4,1760.16,1345.5266280378034,6.940141201620159,179.85,570.8366111611163,2094.77,7.1669020027002635,89.87,556.6970347659767,2094.7266195994603,6.4021180243023785,89.67,411.44999156165625,2093.89,7.086760801080105,89.67,,,,,,,,,,,,,,,,,,,,,1a,1,1568016169
38694,38694,1209.0,1568017443.0089734,1209.0,-94.39482220508025,524.6363008279251,77.43208493308731,683.1585663012954,0.9981531500816344,525.948697523793,111.1152573462846,717.6403616415172,0.9951726198196412,515.6823101219154,47.43299456577838,717.6411481954617,0.9840494394302368,501.4711014582299,151.3680167165444,721.6332437513199,0.8879246115684509,485.2170113150708,5.399625894328537,733.7204637415294,0.9438621997833252,397.1710544094426,230.51102779036663,567.4916139123583,0.8802864551544191,408.64897004613374,-74.81513994819892,569.20260759245,0.9758322834968568,521.2287045657372,274.319418085286,347.11417275883935,0.9633920192718506,530.0708538722653,-142.5014127102614,348.2172740503472,0.6252934336662292,680.3342591440768,326.13255592759066,156.8297371408881,0.8101871013641357,743.2186991752934,-148.6824950434821,181.68976368772053,0.17853888869285586,395.50924740505883,163.34508676190055,132.95975640643601,0.3427422046661377,399.4771957010553,-28.92485311241803,140.89476515140163,0.5091409683227539,758.0094221573572,193.7726853912524,51.99678208955456,0.1629619002342224,831.4525944635733,-12.154852060048896,94.78052935874615,0.17477285861968994,222.37286574064385,296.98512879131715,-803.8186287558417,0.003247261047363281,501.4124704281916,-47.47134391938178,-491.90699849983986,0.07228383421897888,1756.05,1996.09,4.01,359.01,1030.04,2096.09,8.18,89.4,1760.16,1345.29,6.93,179.85,571.08,2094.77,7.15,89.87,556.91,2094.73,6.25,89.67,411.69,2093.89,7.08,89.67,,,,,,,,,,,,,,,,,,,,,1a,1,1568016169
38695,38695,1209.0339430797735,1568017443.0430384,1209.0339430797735,-84.84473783242643,527.8227539896635,80.201489680182,684.7672158977473,0.9981200695037842,522.0402922101584,114.3961669372254,717.2442783518559,0.9933823347091676,515.4959349985753,50.80818604788141,718.9357346606697,0.989008903503418,508.42599805496,154.1400690596667,725.0077565589295,0.8204364776611328,480.3425150745186,5.97402720992315,733.738598271643,0.9356510043144226,389.90152967658463,227.71310337535846,560.7360021975088,0.7959381341934204,402.058935234774,-64.80507133135538,572.4152573740323,0.8521758317947388,511.9480617973851,274.6227653569223,355.9757014225022,0.8978550434112549,534.5025050943954,-139.61765393635798,347.8840811331217,0.287924587726593,692.7764230667708,326.2375295272255,175.7873732101163,0.9162172675132751,736.2937575478239,-150.55871029701362,179.44109442860128,0.20928150415420527,393.10355371849266,174.26764687671712,151.1490159301721,0.21914991736412048,392.4228271611258,-30.49915921335841,135.21451371309888,0.2509590983390808,736.6001371356247,200.87058501028443,44.107117651556386,0.20858284831047053,818.9241109440095,-9.319885477951921,84.35898305444209,0.2253847122192383,206.83838058312298,300.0227849916208,-820.3089723100559,0.004910588264465332,503.6649219811307,-37.86617644820649,-507.6297211181244,0.03558579087257385,1756.0466056920227,1996.2257723190949,4.006605692022624,359.0677032356154,1030.3047560222353,2096.0933943079776,8.054410604837067,89.4,1760.1633943079773,1345.0557927495606,6.946971539886882,179.85,571.3209958663938,2094.7733943079775,7.143211384045247,89.87,557.1306300185295,2094.73,6.338252007411791,89.67,411.93099586639374,2093.8933943079774,7.086788615954753,89.67,,,,,,,,,,,,,,,,,,,,,1a,1,1568016169
38696,38696,1209.066061671497,1568017443.0752726,1209.066061671497,-94.23632677896556,527.1044387558893,83.38549238887524,686.8437956465755,0.9983216524124146,528.6927193975309,116.14264951107944,722.3785420764357,0.992801070213318,521.319533543162,55.88379950953394,724.3232283512114,0.992536187171936,504.58206643213526,156.35314713852858,727.6444493697384,0.7161338329315186,457.5083851902552,-0.10120066574450703,725.8215434052513,0.913748860359192,396.61060680691804,227.83189635665286,576.7507191855801,0.9032134413719176,405.1695688296992,-64.39908199715475,574.8264935894374,0.8501327037811279,512.1306559231105,272.68653146952323,343.86084707477517,0.9613623619079592,541.8886207869418,-137.72557493677155,350.51449514445574,0.2679498195648193,700.1044767303082,322.378770764799,174.4581756152871,0.8151892423629761,735.4030656838881,-151.12699271164504,180.78497984079326,0.20069006085395813,391.00593899207576,176.19961143539211,160.15553757062432,0.16016924381256106,386.5818893924689,-31.805216764123173,131.42031556861684,0.22450488805770874,656.5863837410366,212.5650275923175,41.796519387232905,0.7107182145118713,814.2606593741885,-8.828475101572588,80.87842894101837,0.1867467761039734,154.27432620220858,302.67350329804225,-802.3085254552417,0.003982037305831909,486.6870970235858,-33.98713196198125,-540.3177807621972,0.019692927598953247,1756.0433938328501,1996.3542466859878,4.0033938328502945,359.12230484154503,1030.5552810376767,2096.0966061671493,7.935571815460944,89.4,1760.16660616715,1344.8341744666704,6.963030835748521,179.85,571.5490378676291,2094.77660616715,7.136787665700592,89.87,557.3394008647307,2094.73,6.421760345892309,89.67,412.1590378676289,2093.89660616715,7.093212334299407,89.67,,,,,,,,,,,,,,,,,,,,,1a,1,1568016169
