,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-K_out.10_x,H_in-K_out.10_y,H_in-K_out.10_speed,H_in-K_out.10_angle,K_in-H_out.13_x,K_in-H_out.13_y,K_in-H_out.13_speed,K_in-H_out.13_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,K_in-H_out.14_x,K_in-H_out.14_y,K_in-H_out.14_speed,K_in-H_out.14_angle,H_in-K_out.11_x,H_in-K_out.11_y,H_in-K_out.11_speed,H_in-K_out.11_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,scenario,participant_id,source_file
28111,28111,881.2,1569241877.3351128,881.2,-97.07398729611636,591.3304004243578,56.82174166564822,606.1721763336709,0.9972925186157228,613.5544861644859,80.04192963677994,653.925081627161,0.990830898284912,633.1963884559761,19.60534216933537,658.1850021815392,0.9711371660232544,594.9558369172178,112.24861565172708,668.3627033414161,0.4839835166931152,561.995784768298,-26.192512821332393,657.0515246135693,0.9320874810218812,456.1643810379929,163.2516945533601,556.2493094893658,0.98156476020813,477.0415348108088,-95.01628793967569,530.6580663873774,0.9478194713592528,555.1510455717985,232.95316579981082,332.3647430013927,0.7663631439208984,548.943388422477,-191.51509021756416,319.9754216299586,0.9709820747375488,661.4907464778007,265.12799222654314,139.27177044620177,0.4829531013965607,730.3399346095143,-197.36573319033246,143.63518719126753,0.8690352439880371,353.214971115096,170.26822588015992,151.68123822799564,0.8423519134521484,401.59404978521377,-57.12629113486597,135.31501477467998,0.08844897150993347,674.3460816210943,181.89451924901886,-28.61902612367837,0.7660803794860841,616.7763228881691,-85.71026438623983,-5.437251718995356,0.8372529745101929,382.1660666863504,199.18052549765667,-553.7261926362307,0.26290181279182434,660.5602861196021,-61.23786645331014,-239.83031278515853,0.01639866828918457,1762.52,1634.99,5.51,358.64,1581.19,869.71,7.09,268.61,2704.4,667.18,8.13,142.36,1761.07,998.53,7.97,179.85,1761.03,1013.59,7.99,179.85,2443.62,874.19,6.51,89.83,1595.19,870.05,7.02,268.61,,,,,,,,,,,,,4a,28,1569240955
28112,28112,881.233480301149,1569241877.368606,881.233480301149,,598.6570280761467,54.750278256220895,608.4063305637421,0.9976066350936892,624.1455251829624,77.76491801764703,656.8291308893313,0.9920009970664978,629.4337074581098,17.373921834420308,656.2527999329176,0.9683883190155028,593.1081460354395,112.55165339830162,667.337919891934,0.5219948887825012,564.5240008479248,-27.365006815583573,658.0870032159594,0.9128597378730774,456.10202089516883,165.68331921998222,556.7088983935773,0.9816532731056212,481.9370317659405,-93.57858152622343,530.9818813110403,0.9428690075874328,557.7991702392792,232.59467584651958,333.6281666999683,0.7720856666564941,553.2738485249092,-194.1269307313962,321.22735727905916,0.965125858783722,654.6251424435815,266.12483204035726,134.0067915966349,0.5194834470748901,738.4658639775888,-197.54907763333324,147.20197259054225,0.8632371425628662,363.16348911322405,171.70245739625997,156.38951606915208,0.8550646305084229,401.4015161514899,-58.705054767580926,134.34276370197765,0.07728299498558044,678.4885865217076,179.43207881828968,-30.009024173131362,0.7567105889320374,632.428015036726,-87.65941027535416,-2.3818008143038867,0.6486375331878662,384.15060640615775,199.83370197001213,-552.6439126101933,0.15371036529541016,697.6283200888669,-59.60821590389658,-205.1299391522492,0.019269973039627075,1762.516651969885,1635.1741416563195,5.506651969885097,358.64,1580.9556378919572,869.7033039397702,7.073259849425492,268.61,2704.5640534756303,666.9657260726462,8.146740150574507,142.36,1761.07,998.262157590808,7.963303939770197,179.85,1761.03,1013.3221575908079,7.993348030114903,179.85,2443.834273927353,874.1933480301151,6.4865637891956895,89.83,1594.952289861842,870.04330393977,7.040088180689407,268.61,,,,,,,,,,,,,4a,28,1569240955
28113,28113,881.2671016914011,1569241877.4022405,881.2671016914011,-88.48662588338131,599.2130962276333,54.49834354855664,608.2607798509448,0.9976654648780824,621.6088475316418,77.03072559035814,654.8571510786918,0.9930253028869628,629.5225040077746,16.27881116350288,655.1066332430087,0.9606866240501404,593.0028086094962,111.86836351338994,666.0947835628251,0.5366165637969971,571.0686738818074,-29.539034400542196,661.7199460824343,0.9256715774536132,461.3657166634193,162.66946556068018,555.7691046275473,0.9818806648254396,481.927401288237,-97.49239328088049,531.408459017458,0.9303684234619141,554.8660475004795,232.7330134103872,330.8129809579758,0.7676129937171936,549.5087654466166,-193.89225015263042,319.1108166596022,0.9688358306884766,661.3010343391859,265.60836552431493,139.8484797310484,0.5358631014823914,725.7660742811339,-198.17505063118298,139.46363636811085,0.8217960596084595,363.500598766178,172.45165621909007,152.122340303958,0.865260124206543,400.98227536325714,-59.38301145166986,134.7357000653574,0.07661595940589905,675.5069453424389,177.78891547810107,-32.65100360009035,0.7533149719238281,628.3601208679361,-86.11225798993149,-0.5868891686393454,0.8624091148376465,384.3415582657772,197.265789037139,-551.0226055396138,0.2608996629714966,542.9041792297995,-67.35251562801686,-292.5325220929825,0.02970454096794128,1762.5132898308598,1635.3590593027054,5.503289830859902,358.64,1580.7202881601931,869.6965796617199,7.056449154299508,268.61,2704.728798287865,666.7505491750337,8.163550845700492,142.36,1761.07,997.9931864687919,7.956579661719804,179.85,1761.03,1013.053186468792,7.996710169140098,179.85,2444.0494508249662,874.1967101691401,6.463028816019312,89.83,1594.713577991053,870.0365796617198,7.06026101484059,268.61,,,,,,,,,,,,,4a,28,1569240955
28114,28114,881.3,1569241877.4351516,881.3,,599.6530038156366,52.17380191859158,606.935302295524,0.9977118968963624,625.1143711093941,77.02256971634797,655.7026300715429,0.9924651384353638,625.5601618318171,14.736607092868544,654.7771809261932,0.9437479376792908,596.0093652913571,112.89102055198244,666.7593160237001,0.589855432510376,579.3102975142193,-29.60472081569921,664.7174946407413,0.8951048851013184,456.045917337848,165.5527791459214,557.6482094151271,0.9800400137901306,487.36567405862365,-95.78659250999438,530.563062791287,0.9301627278327942,554.8199666110851,232.15597237720425,329.3547431702456,0.7275159358978271,549.120498557618,-192.81471161818519,319.3928025239572,0.9647251963615416,662.5163612912984,264.4436095864817,137.2350755863797,0.5481221675872803,732.5400745878271,-196.7773865442869,143.64284309297182,0.8598542213439941,352.1983970398014,173.53886557805959,141.8623105450415,0.8776458501815796,400.7285748404754,-58.728813037746384,135.219289711156,0.08471858501434326,684.4081460182263,178.28144009119285,-22.61862669627089,0.7508339285850525,619.3267388895114,-86.86936093272041,-5.1771008442802895,0.8509337306022644,376.5513783504439,198.5035017295697,-558.6096337856966,0.2907930016517639,472.7000118849073,-70.72589714023394,-329.8417682862576,0.031367987394332886,1762.51,1635.54,5.5,358.64,1580.49,869.69,7.04,268.61,2704.89,666.54,8.18,142.36,1761.07,997.73,7.95,179.85,1761.03,1012.79,8.0,179.85,2444.26,874.2,6.44,89.83,1594.48,870.03,7.08,268.61,,,,,,,,,,,,,4a,28,1569240955
28115,28115,881.3332287781571,1569241877.4684155,881.3332287781571,,599.6494015324248,52.68508319483222,607.0237011155747,0.9975189566612244,618.5297666247137,77.7986045421018,652.6908163376095,0.991418719291687,632.638457572677,17.154374949767266,656.5714448787994,0.9572483897209167,591.651376899251,111.2357274698826,662.9054810735431,0.5405395030975342,574.1761773055032,-26.985004827131053,658.3619414601677,0.9347187280654908,458.1409173331435,164.0815142613454,557.7067916714531,0.9826643466949464,483.9959690440146,-96.2623184319638,527.8103919852163,0.91828852891922,558.6634964891687,231.98886726425152,330.61609949539366,0.7159424424171448,549.6325664067748,-189.85673925820961,318.5371074748462,0.9379053115844728,662.9553790511402,264.4336999339454,136.29296775245254,0.53775554895401,731.3942193522647,-195.93620522098132,144.2411463657761,0.8806740045547485,343.6276333819262,174.08448338751495,142.40326423853116,0.8540095686912537,410.49334991803033,-55.92266507390568,120.54549574653684,0.0057392418384552,677.8109173197686,181.780034910256,-23.29026739275844,0.768091082572937,643.8837129171786,-87.30559180581369,6.316065181606859,0.6923139095306396,379.032272314948,200.73780223699703,-559.8247519966193,0.23148730397224426,614.2801266529748,-62.600222881038405,-247.6081363797628,0.013979315757751465,1762.5033542443687,1635.722758279865,5.49667712218427,358.6433228778157,1580.2540756750834,869.6866771221843,7.063260144710112,268.61,2705.056143890786,666.3273358197932,8.153416977474159,142.36,1761.07,997.4641697747417,7.963291511262921,179.85,1761.03,1012.5241697747417,8.00332287781573,179.85,2444.4759870580224,874.2,6.4433228778157305,89.83,1594.2473985528989,870.0266771221843,7.063385610921348,268.61,,,,,,,,,,,,,4a,28,1569240955
28116,28116,881.3668941158537,1569241877.5021164,881.3668941158537,-76.97822713372831,603.6445389255571,52.71016731600568,609.6675373854032,0.9974528551101683,627.8697885394017,77.1259200162638,655.8176812780457,0.992830753326416,635.4860633144363,16.809673175083507,655.9178911410129,0.9598627090454102,595.8378152310618,109.8922044593835,665.2466216679297,0.5803943872451782,577.1569241341584,-27.320175807312765,655.2261235679655,0.8108009696006775,456.599698111604,163.41518886530795,555.584314387532,0.9831520318984984,479.08991434880363,-97.1987190022,526.6265171473761,0.92015540599823,562.9177605976579,232.423005039043,332.6946720218369,0.6567524671554565,545.6479699923964,-188.958411715631,316.34050437563616,0.9320651292800904,661.3357871630118,264.4821017275295,136.38178996659252,0.4904298484325409,724.4528767516123,-197.79252636624386,139.4105767485315,0.8865208029747009,352.45792942695056,172.98204410461238,148.31392582892875,0.837723970413208,406.13418716929283,-59.09774154282363,125.57096664696077,0.10701099038124083,672.2394459103759,178.78613587298756,-24.01705505233059,0.7726457118988037,640.7049878718542,-88.41884691540989,-1.7934485938766045,0.6597098708152771,381.1487468724427,200.91811498463898,-550.0202691922628,0.2357480525970459,384.3067055383528,-83.16957058423452,-472.56609140954873,0.019214928150177,1762.4966211768292,1635.907917637196,5.493310588414616,358.6466894115854,1580.0150517774375,869.6833105884144,7.0868258810977,268.61,2705.224470579269,666.1118776585353,8.126484707316916,142.36,1761.07,997.1948470731693,7.976757646341543,179.85,1761.03,1012.2548470731692,8.006689411585388,179.85,2444.69481175305,874.2,6.4466894115853846,89.83,1594.011741189023,870.0233105884146,7.046552942073072,268.61,,,,,,,,,,,,,4a,28,1569240955
28117,28117,881.4,1569241877.5352573,881.4,,593.7556136356183,53.662142981904964,602.4891502933336,0.997745156288147,622.4390693299855,77.23632121542356,653.426229694808,0.9883410930633544,636.2221132611221,16.67598301636091,654.5975964393763,0.9350309967994692,594.6055423868182,110.27021213841472,663.3160449369602,0.4928678572177887,573.4474551512858,-27.25422427801867,650.3894442562985,0.759438693523407,456.4932461864048,164.3277041840532,555.5922109540717,0.981992483139038,481.23952099675523,-97.59891597027573,532.0622280479117,0.9202446937561036,560.8350147117691,232.9697823487901,329.8389061646128,0.6295984387397766,543.3615533877688,-186.89011627366875,321.0914818049726,0.9638385772705078,660.1496604216512,265.50908357686046,134.31570269415693,0.574867844581604,730.1493115179396,-197.3575321374699,144.5789760407039,0.8911923170089722,349.45467458320815,174.06092368080726,145.4648078694201,0.8258922100067139,413.228696498933,-55.656459935266206,115.57119877759035,0.00696253776550293,677.0051189431363,180.52134615426502,-26.178339655131,0.7811048030853271,660.7749615221676,-88.49141253312872,10.546855922340713,0.6163982152938843,382.9047310624462,199.49543504729976,-549.0900770882076,0.21409040689468384,211.29802196489547,-96.11913744654652,-638.3342305745931,0.017703711986541748,1762.49,1636.09,5.49,358.65,1579.78,869.68,7.11,268.61,2705.39,665.9,8.1,142.36,1761.07,996.93,7.99,179.85,1761.03,1011.99,8.01,179.85,2444.91,874.2,6.45,89.83,1593.78,870.02,7.03,268.61,,,,,,,,,,,,,4a,28,1569240955
28118,28118,881.4332602281737,1569241877.5685582,881.4332602281737,,592.8987554098326,54.522946729009256,602.7821912411414,0.9978926181793212,618.7045336445767,78.26361028420403,651.7991011276987,0.9882259368896484,634.7429703328737,17.957148850815855,653.568934453285,0.9572539329528807,594.252169405564,110.18426472107515,662.8704978897922,0.466576099395752,585.1205130299978,-27.607279753997588,654.0268810433872,0.8206473588943481,456.11381826345,160.99718781988608,555.9889929186161,0.9847601056098938,481.91168905812884,-97.58475841348594,531.4304222893384,0.9262130260467528,559.8109604346058,231.2769515798631,330.3313741108546,0.7099387049674988,542.3902473649048,-188.57388654431784,323.10113027763487,0.9675517082214355,661.7208284438998,263.75187490172556,137.15967867480788,0.5784344077110289,720.902437061833,-198.79138469311974,138.18919133403747,0.8880962133407593,348.5628455358172,174.34273931248387,146.31692319123067,0.8390955328941345,416.3144705153564,-55.05683178902712,111.23055910180936,0.004749298095703125,664.9935980298585,182.71032810194092,-41.669947911366,0.749876856803894,624.3505975193939,-86.13297073534497,-6.71054059246606,0.8563599586486816,384.22066019112,198.01704652198168,-550.535857953215,0.15891483426094055,126.71259604177212,-104.58304681879021,-731.7993518190317,0.02504381537437439,1762.4866739771826,1636.2729312549561,5.483347954365232,358.66330409126954,1579.5438523799658,869.6733479543652,7.113326022817384,268.61,2705.552975118052,665.6871345396875,8.106652045634767,142.36,1761.07,996.6672441974266,7.976695908730465,179.85,1761.03,1011.7239181746094,8.000021931547849,179.85,2445.1261914831302,874.2,6.473282159721687,89.83,1593.5438523799658,870.0133479543653,7.049956136904303,268.61,,,,,,,,,,,,,4a,28,1569240955
28119,28119,881.4686533648614,1569241877.6039946,881.4686533648614,-77.04072310212908,596.7221669575179,53.174554378594294,603.0734080862322,0.9979268908500672,614.7423594345591,79.71569784131708,651.0922376288424,0.9868052005767822,640.2147474202527,17.823149482836413,659.5764083781896,0.9930881857872008,593.6066959168156,110.41052594157476,664.0999433959904,0.4969353973865509,592.7942144325617,-30.90676895240041,663.2061595608083,0.9245316982269288,451.672303656827,160.82291118297704,554.4649853924192,0.9841588735580444,481.4341558180194,-95.99820213249416,532.8998509759369,0.9099563360214232,558.2147993075555,231.53776919486612,328.6062134964421,0.6829545497894287,542.7644045554099,-190.94071337313235,315.93282878668094,0.916995644569397,665.910077366758,264.8518868252218,138.07033382432286,0.444020003080368,712.4731038818486,-200.08786462815777,134.55656550625105,0.8617990016937256,360.60247868012056,171.8616973425271,159.5545468957985,0.8047195672988892,415.6906785713391,-52.87132288374976,105.93435429935566,0.0060440003871917725,653.2311498413411,173.29703139343326,-57.34966937423312,0.5248538851737976,645.555471506314,-87.2103465408828,3.6034264076343447,0.672016978263855,375.81735231184985,200.30682564245635,-554.4384463662624,0.16039729118347168,123.69124719663692,-107.87682503926548,-733.2002732974654,0.022129267454147342,1762.4831346635142,1636.467593506738,5.476269327027711,358.6774613459445,1579.2925611094836,869.6662693270276,7.1168653364861445,268.61,2705.726401487821,665.4606184648868,8.113730672972286,142.36,1761.07,996.3876384175943,7.962538654055423,179.85,1761.03,1011.4407730811084,7.989403990541566,179.85,2445.3562468715995,874.2,6.498057355403013,89.83,1593.2925611094836,870.0062693270278,7.071192018916867,268.61,,,,,,,,,,,,,4a,28,1569240955
28120,28120,881.5,1569241877.6353796,881.5,-84.01424163914515,600.2341454483585,51.180860730669,604.7212515894666,0.9974685907363892,617.9425615223292,77.5643478659713,652.1530345559529,0.987378180027008,640.5355750624838,17.814011634170136,660.0075705794137,0.9926960468292236,591.9039505844171,110.50434248543509,664.2929046721413,0.4821312129497528,583.2008795275183,-31.040864692712717,660.4755185083658,0.9102528095245358,451.5579611106272,161.10095879029777,553.9726408880274,0.98399817943573,476.5857288087078,-97.90966112699469,532.5975355373208,0.8904784917831421,559.5975156323819,231.35733335617783,329.50337226028773,0.6792522072792053,547.3940723718704,-197.56915686236744,309.34267508628085,0.9840635061264038,667.6222768655023,264.1701137164506,137.13620474855986,0.5775863528251648,725.8489770967128,-200.01526299856326,140.99016978146818,0.849308967590332,361.71566418642936,172.10272651218486,162.91718285096653,0.8510368466377258,422.78864597597914,-54.39244248366646,110.83651192237276,0.005003631114959717,674.2133513775148,168.1948509058615,-38.24946939160503,0.6284439563751221,631.4669363137673,-87.23547843354004,-2.67663027795328,0.7964013814926147,383.7539849445172,199.45326130333717,-545.0922815542502,0.18240618705749512,114.22579609801821,-107.79374826730766,-744.0955902749232,0.01851484179496765,1762.48,1636.64,5.47,358.69,1579.07,869.66,7.12,268.61,2705.88,665.26,8.12,142.36,1761.07,996.14,7.95,179.85,1761.03,1011.19,7.98,179.85,2445.56,874.2,6.52,89.83,1593.07,870.0,7.09,268.61,,,,,,,,,,,,,4a,28,1569240955
