,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-K_out.17_x,H_in-K_out.17_y,H_in-K_out.17_speed,H_in-K_out.17_angle,H_in-K_out.18_x,H_in-K_out.18_y,H_in-K_out.18_speed,H_in-K_out.18_angle,H_in-K_out.19_x,H_in-K_out.19_y,H_in-K_out.19_speed,H_in-K_out.19_angle,H_in-K_out.20_x,H_in-K_out.20_y,H_in-K_out.20_speed,H_in-K_out.20_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,H_in-K_out.21_x,H_in-K_out.21_y,H_in-K_out.21_speed,H_in-K_out.21_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,scenario,participant_id,source_file
29460,29460,958.1332577922526,1568114432.1090364,958.1332577922526,,652.0136759511036,106.64897222048498,618.8906268311745,0.9965261220932008,630.7455548450388,130.12972287697892,645.6709028416848,0.9814021587371826,645.0838091132905,69.03898644775805,648.3182948106128,0.9918302893638612,617.8257479067443,153.7400090845645,662.9656042178623,0.4561325311660767,575.6280522465071,19.379654830775703,642.4314530139628,0.7280144691467285,511.37835289515283,218.45990146574547,522.6752949628946,0.9698320627212524,521.4583150553327,-29.193243059978272,494.9864627890376,0.7634389400482178,574.2401651773774,302.10083352576976,304.79526909280366,0.8044431209564209,620.2569680262696,-117.51519976893502,330.87952647909026,0.2536540925502777,766.4856656522911,339.9391021785732,195.42832039083598,0.7395997047424316,789.5078896403911,-156.1377243449744,213.72260100794446,0.956200122833252,503.22475907345597,188.1213212519551,35.3199142320355,0.5208034515380859,520.1983752369756,8.074416897657862,69.80851531301428,0.39411401748657227,357.54160347420196,223.38130152408317,-420.90724444244563,0.049009621143341064,560.4090790931704,-37.46489773650315,-258.54079156852595,0.10782760381698607,326.2461333438011,230.0747769566344,-710.6662855704185,0.015003204345703125,618.1684717127644,-46.85828342144717,-399.3648516515185,0.04372617602348328,1762.8366742207747,1642.4429631820374,4.826674220774742,359.11006798697264,1415.7938696750064,865.6866742207746,7.326968830989692,268.61,1433.703892337331,866.1233484415495,7.46,268.61,1448.883892337331,866.4933484415495,7.510113311621135,268.61,1463.2105665581055,866.8433484415497,7.526674220774742,268.61,1760.68,762.2607025320509,9.260045324648454,180.37,1760.24,1317.603801688034,6.226651558450516,179.85,1760.2,1330.7504759088088,6.2733257792252575,179.85,1478.4205665581055,867.2133484415497,7.496628896126289,268.61,,,,,,,,,,,,,4a,5,1568113453
29461,29461,958.1664564344136,1568114432.1423564,958.1664564344136,-94.8935481299148,644.2250499400018,111.96924740535525,617.6451316949799,0.9962277412414552,628.4041160529982,135.25833408827398,650.2219507593928,0.9743775129318236,643.7824787884701,76.8579607675682,650.6971418100178,0.9729158878326416,622.7910023679444,156.63491505153118,666.8663484644082,0.4531140923500061,569.0838890166124,20.301101936819233,648.8344970220737,0.916282832622528,503.49840080534415,219.12627339685002,518.3776278377252,0.9744257926940918,522.2142604252889,-26.385726846525372,493.67738159086633,0.7217787504196167,584.0235152005346,304.97571867345806,303.02101590826686,0.8688138723373413,623.5581004223387,-116.52525875261291,332.30885469574275,0.27786052227020264,749.5764321796263,343.4404710249442,183.63408783295742,0.7631782293319702,796.2612241977326,-153.6690076351321,214.30121228384544,0.961073875427246,505.25409639116,189.43794289733844,35.12293907171852,0.4992192983627319,524.4508312624424,0.5291977304130421,72.93606977259122,0.4758453071117401,322.09146050079005,239.56920490038726,-483.87900093893364,0.13145267963409424,559.1287629631112,-41.94594173713531,-271.188730836227,0.13928377628326416,339.8564086793158,256.76522542500703,-697.0598225059415,0.008626878261566162,610.6690987562703,-58.498905596369326,-411.06476135684784,0.052923589944839484,1762.8333543565586,1642.6056365286258,4.8233543565586565,359.08018920902794,1415.5581593156644,865.6833543565587,7.194174262346247,268.61,1433.4582223853406,866.1167087131172,7.46,268.61,1448.638222385341,866.4867087131172,7.460315348379844,268.61,1462.961576741899,866.8367087131172,7.523354356558657,268.61,1760.68,761.951955159955,9.240126139351938,180.37,1760.24,1317.3979701066364,6.233291286882688,179.85,1760.2,1330.5413244631952,6.276645643441343,179.85,1478.1715767418991,867.2067087131172,7.513228217206719,268.61,,,,,,,,,,,,,4a,5,1568113453
29462,29462,958.2,1568114432.1760225,958.2,-94.09148867461245,646.6371011506266,110.462603274127,620.0505045488068,0.997101664543152,631.3284879139244,135.00034919847133,652.6663071092744,0.9817848205566406,648.9960704971977,76.69534336252893,654.7811486241646,0.9767122268676758,627.0982528718989,159.81859486693747,668.9963341034338,0.4973149299621582,576.1220611589544,22.675965709911647,652.6443111543331,0.926754891872406,516.1515713944375,223.03618408087848,523.0960145254759,0.96942800283432,521.8936424306052,-25.687543303694127,494.3760879866969,0.6743167042732239,591.8919731934941,308.11691900993384,309.14432896489825,0.8450683951377869,626.2060679761745,-118.31407194553672,329.68577894022275,0.3115482926368713,747.751752263859,343.40483020637123,179.96233585746066,0.8247920274734497,809.7698297594127,-144.900392260858,221.79557458042197,0.8086376190185547,493.94978185353136,196.1848152571014,26.79184116837996,0.5591313242912292,538.1118165448024,0.3178279415078258,69.34496134552742,0.5474413633346558,302.5367423528324,250.1703836891932,-518.7738570123204,0.14173713326454165,548.2480862372911,-48.468143873861216,-331.5545558015081,0.17771950364112854,330.7043939386341,269.1941331736717,-719.8031852671138,0.009150058031082152,594.8571627813867,-62.64081130293135,-426.5078005992317,0.0604296624660492,1762.83,1642.77,4.82,359.05,1415.32,865.68,7.06,268.61,1433.21,866.11,7.46,268.61,1448.39,866.48,7.41,268.61,1462.71,866.83,7.52,268.61,1760.68,761.64,9.22,180.37,1760.24,1317.19,6.24,179.85,1760.2,1330.33,6.28,179.85,1477.92,867.2,7.53,268.61,,,,,,,,,,,,,4a,5,1568113453
29463,29463,958.234234798492,1568114432.2102964,958.234234798492,-92.65087491976904,650.8123864406405,115.58801796848036,620.9425493513943,0.9965155124664308,624.6047821148114,138.94191223527818,650.3280095265973,0.976301610469818,652.5654766369146,81.1145899779422,657.3519179172824,0.9830965399742126,622.8884292889118,161.63572496001458,667.637216953415,0.3983949422836304,568.1016361013874,21.34814947776785,646.2400899920079,0.6909661889076233,511.94075904323296,224.394609442055,523.3894104377327,0.9735459685325624,522.3340249543412,-24.334705555232464,493.5953641198152,0.7317571043968201,595.3355726372491,304.54060400504454,314.8204791921103,0.9092250466346741,621.7506966364623,-117.57751148725359,324.26821533454046,0.3651357889175415,748.4322974723981,342.7550354359057,181.55593440630776,0.8663708567619324,806.0320207432255,-149.17256233385618,223.5601729746331,0.9608465433120728,502.7572000617334,197.5528072592852,35.133772087072394,0.6201255321502686,541.5113377687526,-0.4712426415633004,68.1238994489484,0.5202590823173523,299.81477488531897,255.623572092484,-523.406884968865,0.1023845076560974,554.7786551545116,-49.89353426077978,-338.3985438921786,0.1155189573764801,366.3205037980668,272.223273327315,-681.733398682723,0.013795226812362673,581.681035725823,-63.390909492113245,-433.1163052125789,0.23973974585533145,1762.8265765201504,1642.9240565932141,4.724142564222371,359.0123417216588,1415.0940503299528,865.6731530403017,6.923060806031955,268.61,1432.9635094508576,866.1031530403018,7.374413003769972,268.61,1448.1332390113098,866.4731530403018,7.447658278341214,268.61,1462.4532390113097,866.8231530403017,7.499459120904794,268.61,1760.6765765201508,761.3250398538735,9.233693919396805,180.37,1760.24,1316.9777442493496,6.233153040301597,179.85,1760.2034234798493,1330.1177442493495,6.2594591209047925,179.85,1477.659815531461,867.1931530403017,7.536846959698403,268.61,,,,,,,,,,,,,4a,5,1568113453
29464,29464,958.2665498953343,1568114432.2426484,958.2665498953343,-92.57662756024071,649.6819352136615,116.56359710335053,619.6190173560284,0.9963213801383972,624.1800588889332,140.41642501510796,650.1780964821397,0.9683191180229188,643.0476490697754,83.25303564344475,654.2361665960248,0.9813205003738404,621.7781140976198,162.9034041779081,666.9395483040325,0.41740334033966064,566.1047738643115,21.265804756088453,646.1117856851934,0.7009902596473694,516.4029346499041,224.69544713308312,524.2835252556505,0.9703052043914796,521.932783808767,-23.00718117526309,494.5070410431957,0.6889600157737732,598.0371024760512,312.32150263863275,311.1949470459505,0.8390029072761536,623.7016663618008,-115.80149711080486,323.57974432152344,0.3215659260749817,743.5533298088104,344.1926669592321,174.09169887672059,0.8405932784080505,793.6999687158507,-149.84810817753325,214.6325277206004,0.962665319442749,503.02620587375463,196.97702590881042,40.071352148511664,0.6277182102203369,525.5874437582711,-2.193585036411722,62.20018134371554,0.4671720862388611,303.58843783080493,252.90279477683475,-517.5305653974034,0.1532782018184662,546.2229153146278,-51.210015740547206,-356.69470864318964,0.16488265991210938,325.63425827403273,286.37312456502764,-726.7435217295167,0.012716442346572876,579.0879185249389,-60.09269527758409,-438.8386247271943,0.12864631414413452,1762.8233450104667,1643.0694745290052,4.633660293063381,358.97679511513206,1414.8807706907926,865.6666900209331,6.793800418661971,268.61,1432.7308407535916,866.0966900209331,7.293625261663733,268.61,1447.890875784991,866.4666900209331,7.483204884867956,268.61,1462.2108757849912,866.816690020933,7.480070062799295,268.61,1760.6733450104666,761.0277409629225,9.246619958133802,180.37,1760.24,1316.777390648926,6.2266900209330975,179.85,1760.2066549895335,1329.917390648926,6.240070062799297,179.85,1477.4142207954578,867.186690020933,7.543309979066901,268.61,,,,,,,,,,,,,4a,5,1568113453
29465,29465,958.3,1568114432.2761366,958.3,-92.50235031192119,647.5612032875991,117.2294899470223,619.4914742857218,0.996969759464264,641.1050226334544,135.4166578066951,657.8021578148266,0.9936376810073853,651.7845626349907,83.7236416772227,658.2662152722472,0.983964204788208,622.199464487696,164.75855351031313,668.5576791790883,0.4400123357772827,567.8582897495818,24.68744873164897,649.4036267522632,0.6752742528915405,518.322817729274,225.82694358601032,502.70518955952315,0.6984286308288574,516.2547804314738,-21.52732755116977,514.3865922941243,0.9661630988121032,590.4976598536985,307.90784497613805,305.9933739832378,0.8938100337982178,629.3583100896702,-114.48523641603194,327.53488125764414,0.3993757367134094,743.742320160848,345.7620169065159,167.8559852742513,0.7988345623016357,803.0414290272687,-146.4451960719292,218.4345237663538,0.9522167444229126,499.61238120456426,197.61596585601768,77.96305794645951,0.4960574805736542,516.9441475211437,-3.0395074944780127,51.506492972262535,0.3502720594406128,400.61150522640094,230.38278317922763,-375.3075478104634,0.08113721013069153,538.0145525118992,-50.61691825515953,-368.8122036251172,0.11680394411087035,267.3360673352227,301.70484444369,-791.2814130746706,0.01587614417076111,567.3495272960366,-56.97446282379596,-457.6182069283106,0.11155465245246887,1762.82,1643.22,4.54,358.94,1414.66,865.66,6.66,268.61,1432.49,866.09,7.21,268.61,1447.64,866.46,7.52,268.61,1461.96,866.81,7.46,268.61,1760.67,760.72,9.26,180.37,1760.24,1316.57,6.22,179.85,1760.21,1329.71,6.22,179.85,1477.16,867.18,7.55,268.61,,,,,,,,,,,,,4a,5,1568113453
29466,29466,958.3333310287444,1568114432.3094695,958.3333310287444,-92.89384787767382,655.0488806152745,119.04716699266234,621.179459737354,0.9968857765197754,635.8374368337837,135.4174998781555,654.1757219968541,0.992840588092804,646.7357035106702,84.05454999366131,655.2125900854537,0.9801385998725892,623.9585972668026,165.196857797029,668.9153962231433,0.43292000889778137,577.9429672459105,27.78910605022531,654.4936535397455,0.692920446395874,518.8069585491177,225.7634594848304,498.44335383191236,0.7409842610359192,515.528626293386,-16.563203937937026,516.7862970934757,0.7245513796806335,588.4932426159221,307.90385609804133,307.95393400605144,0.9168688654899596,633.9937847985018,-114.7966289879057,330.49943010696387,0.3819021284580231,760.3939622499793,339.0206442333445,182.51744442122944,0.8540768623352051,811.8176903595601,-144.3777291269771,221.29759629466054,0.9477053880691528,498.74837441240265,200.6285275089933,88.48589081801019,0.5978343486785889,520.0334676786779,-4.369752497668348,45.39102486572611,0.31169310212135315,503.1851619509138,213.8929513030193,-255.3076128633693,0.07504737377166748,541.6974449123468,-49.118490022399904,-414.3562247587684,0.2553298771381378,271.5477107329807,306.52660347177687,-783.5845553648413,0.01083555817604065,569.2937779949592,-55.19558966258344,-460.7274988284604,0.05734243988990784,1762.8166668971255,1643.3899882465969,4.7133213494716495,358.92000138275324,1414.4500145189097,865.6533337942509,6.526675885021808,268.61,1432.2566827987882,866.0866668971255,7.120006222389719,268.61,1447.3966834901648,866.4533337942511,7.436672428138629,268.61,1461.710017284416,866.803333794251,7.456666897125546,268.61,1760.6666668971257,760.4133545355502,9.243334485627726,180.37,1760.24,1316.3600145189093,6.233332411497818,179.85,1760.21,1329.503347621784,6.223333102874456,179.85,1476.910017284416,867.173333794251,7.54333379425109,268.61,,,,,,,,,,,,,4a,5,1568113453
29467,29467,958.3666632495178,1568114432.3428035,958.3666632495178,,648.4983042667442,120.20466317632612,618.5806333208478,0.9973347187042236,635.4645923168703,136.49146615251786,654.1153903952862,0.994185209274292,646.2045966287194,84.79555981159255,655.4384232443388,0.9841020107269288,623.2451940645745,167.14839666542542,668.3821701166046,0.45216143131256104,579.8743021591459,30.70372285400625,655.5347281132897,0.7385336756706238,519.2029400745199,226.21412318094883,497.16464315897485,0.6627458333969116,515.4082611170916,-15.487540854945445,517.2064789734011,0.7314869165420532,594.6468715098342,306.748500052928,315.54984925653685,0.9027209281921388,637.2956921982088,-115.70254557054042,334.90971442536363,0.3149421811103821,762.153854003604,336.89835296397814,184.51567614920074,0.8316758871078491,803.4627571557338,-142.75969065312756,221.2588361467608,0.9515429735183716,502.4708983181275,198.2432429999588,92.69186354157243,0.5168561935424805,518.1728916926921,-7.716265943318093,39.53899155572515,0.3930076062679291,408.44691238203797,227.3849324822113,-363.98120246250573,0.04987448453903198,548.4508959923053,-50.08292463986026,-383.365174857596,0.13097316026687622,323.9407797425445,265.41760805239585,-726.2697005187349,0.018074333667755127,559.6511376829321,-55.37741331442953,-477.33004111174057,0.04086437821388245,1762.8133336750482,1643.5599825725412,4.886648897492934,358.9000020502893,1414.2400215280375,865.6466673500964,6.393347001928512,268.61,1432.0233572533746,866.0833336750483,7.030009226301745,268.61,1447.1533582785196,866.4466673500964,7.3533418762053175,268.61,1461.460025628616,866.7966673500964,7.453333675048213,268.61,1760.6633336750485,760.1066981044354,9.226668375241065,180.37,1760.24,1316.1500215280373,6.246665299807148,179.85,1760.21,1329.2966878529892,6.226666324951787,179.85,1476.660025628616,867.1666673500964,7.536667350096426,268.61,,,,,,,,,,,,,4a,5,1568113453
29468,29468,958.4,1568114432.376142,958.4,-92.35370810038307,647.7708617121465,120.81316553224899,619.1232049020414,0.997427463531494,637.624534984285,138.33009675530457,658.2918487466218,0.9943974018096924,647.5820412116996,85.59691645913495,658.972277552288,0.9856496453285216,622.9718315202792,169.91855122641638,671.77347266733,0.4344320297241211,582.2603873384602,36.91150792550616,651.8353161781181,0.31638050079345703,510.74068770207583,223.20041378146016,523.9338631651235,0.8918899893760681,511.9183487434333,-14.825499926874928,516.8721671363952,0.7139411568641663,587.5876639445526,308.64512781350976,311.4425327688856,0.9255881905555724,638.6685431121476,-114.62869941637017,336.2051403356552,0.4304528534412384,752.6814559115197,339.1261926544604,177.45855231614019,0.7948607206344604,803.2543095125969,-143.09988032851388,211.99502476807405,0.957943558692932,505.2205933687944,194.5372381398342,49.027826757321996,0.5440364480018616,517.8204735201615,-6.172116515753918,37.51475867418267,0.4102553427219391,339.2067464767356,240.95546175374142,-483.35325712876124,0.05210906267166138,533.9565986045096,-51.851244204448214,-388.9407932959393,0.1392177939414978,317.43549578383187,282.846580610333,-732.5440266456441,0.011362701654434204,569.5496378295758,-52.70742243784836,-467.83899239233523,0.0472697913646698,1762.81,1643.73,5.06,358.88,1414.03,865.64,6.26,268.61,1431.79,866.08,6.94,268.61,1446.91,866.44,7.27,268.61,1461.21,866.79,7.45,268.61,1760.66,759.8,9.21,180.37,1760.24,1315.94,6.26,179.85,1760.21,1329.09,6.23,179.85,1476.41,867.16,7.53,268.61,,,,,,,,,,,,,4a,5,1568113453
29469,29469,958.4333050263233,1568114432.4094298,958.4333050263233,-94.44578049257306,651.4077960859014,121.9678291244688,620.2790658435446,0.9970653057098388,638.4484120310879,139.19998512729586,657.2229606385663,0.9935157299041748,648.7558081306654,86.5049647584455,657.0908974845906,0.9843122959136964,622.9427967740938,171.37436986133008,672.6844823609276,0.40442922711372375,569.9774697257108,34.414884366081836,652.4466371821864,0.7169880867004395,509.4566287723097,222.43342949319458,527.4940008863795,0.9046621322631836,511.3770997949141,-15.780133008199556,516.5885794044909,0.7227985858917236,598.0336192982364,306.0803386434514,319.0258386912674,0.9069357514381408,630.1480616489395,-114.546989644501,332.1849025948028,0.4219245910644531,779.316325379063,336.3342508854991,196.6414226165231,0.7277409434318542,812.1102175720895,-140.9730859951335,220.5181577674577,0.9521129131317142,528.2709849250199,191.35397167400959,53.47561640669136,0.5051140189170837,516.2408368856965,-5.9566557223425285,2.424756084419073,0.31682321429252625,235.94969280027263,258.7330509968708,-605.3187881338678,0.03693246841430664,553.0248164186712,-52.97267041302797,-436.3999980987993,0.0886162519454956,273.23711682597684,294.2811962473497,-779.3934485422471,0.010399729013442991,568.9487567488362,-52.61142554443412,-471.30276217109457,0.03736734390258789,1762.8066694973675,1643.8865336237186,4.9700764289276735,358.87333899473543,1413.833500344694,865.6366694973677,6.126779894707664,268.61,1431.5668563236352,866.0733389947354,6.880050952618449,268.61,1446.6702038104736,866.4366694973677,7.240025476309223,268.61,1460.9668733078415,866.7833389947352,7.410033968412299,268.61,1760.66,759.4902632551953,9.236644021058467,180.37,1760.24,1315.733508836797,6.2433474868384575,179.85,1760.21,1328.8801783341644,6.23,179.85,1476.1635428052093,867.1533389947352,7.493364471044607,268.61,,,,,,,,,,,,,4a,5,1568113453
