,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,K_in-H_out.16_x,K_in-H_out.16_y,K_in-H_out.16_speed,K_in-H_out.16_angle,Q_in-J_out.8_x,Q_in-J_out.8_y,Q_in-J_out.8_speed,Q_in-J_out.8_angle,Q_in-J_out.9_x,Q_in-J_out.9_y,Q_in-J_out.9_speed,Q_in-J_out.9_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,K_in-H_out.17_x,K_in-H_out.17_y,K_in-H_out.17_speed,K_in-H_out.17_angle,K_in-H_out.18_x,K_in-H_out.18_y,K_in-H_out.18_speed,K_in-H_out.18_angle,K_in-H_out.19_x,K_in-H_out.19_y,K_in-H_out.19_speed,K_in-H_out.19_angle,K_in-H_out.20_x,K_in-H_out.20_y,K_in-H_out.20_speed,K_in-H_out.20_angle,H_in-K_out.11_x,H_in-K_out.11_y,H_in-K_out.11_speed,H_in-K_out.11_angle,K_in-H_out.21_x,K_in-H_out.21_y,K_in-H_out.21_speed,K_in-H_out.21_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,H_in-K_out.12_x,H_in-K_out.12_y,H_in-K_out.12_speed,H_in-K_out.12_angle,H_in-K_out.13_x,H_in-K_out.13_y,H_in-K_out.13_speed,H_in-K_out.13_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,H_in-K_out.14_x,H_in-K_out.14_y,H_in-K_out.14_speed,H_in-K_out.14_angle,K_in-H_out.22_x,K_in-H_out.22_y,K_in-H_out.22_speed,K_in-H_out.22_angle,H_in-K_out.15_x,H_in-K_out.15_y,H_in-K_out.15_speed,H_in-K_out.15_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,scenario,participant_id,source_file
32333,32333,884.8500309508902,1568719671.0446072,884.8500309508902,,650.6588050117372,69.6299048540665,664.0422616562048,0.0002187490463256836,701.6306972620813,87.61503800234402,729.7188417533072,0.955801486968994,700.5584334697843,45.84142797715489,728.3141915722463,0.9237930774688721,663.9197682716713,139.65730407962872,754.9939737494105,0.6038070321083069,695.4070615667758,0.8361459680761687,760.9356591928456,0.6006898880004883,508.38598803830115,178.7597414172685,659.0275784986452,0.9862647056579592,516.1385076655218,-37.228834623311855,630.0695604016726,0.6212148666381836,634.6799430741883,239.4796741598317,440.3536753589357,0.3560786247253418,588.2297661731511,-91.60499464912148,400.2726992815126,0.9646743535995485,807.9702016773007,310.454113341514,214.7847703930637,0.030033439397811886,756.3051898793691,-145.99820833706366,208.4503842019643,0.6776980757713318,451.1614331620857,200.5252430396601,260.25436197699736,0.8142244219779968,426.8219867747071,-2.7777236753753263,230.00645447257546,0.7394060492515564,817.2560797027658,187.42271103743084,73.84468643404881,0.05766218900680543,754.2825892040877,-26.83715568102281,90.15766222415436,0.2895214557647705,416.03901820172655,213.25005082197566,-623.4153122132292,0.0126267671585083,602.9591937006003,-47.73959111969046,-394.88196294325724,0.06542566418647766,1762.224996904911,1615.3051640397175,5.264996904910988,359.07,2655.545046426335,762.0997957241252,6.765021665623075,166.91,1761.28,915.7647678683243,7.5099752392879155,179.85,1761.245003095089,930.3897647732354,7.60499690491099,179.85,1761.21,944.9847678683243,7.51,179.85,1761.02,1017.3747492977901,8.02500309508901,179.85,2652.485046426335,775.2597957241252,6.78,166.91,2648.0200557116023,794.4747678683243,7.745003095089011,169.95966573038686,2646.040024760712,809.7797647732351,7.784959763842862,173.91,2644.350024760712,825.6397585830573,7.7650278558010974,173.91,1464.079721441989,866.859993809822,8.965009285267033,268.61,2568.2652321316755,874.555003095089,7.504978334376926,89.83,1760.19,1335.4197895339473,6.8449783343769255,179.85,1598.164736917434,870.119993809822,8.629962858931872,268.465015475445,1762.3297709634135,873.8649969049111,7.459987619643957,269.13,1760.15,1349.9897833437692,6.900012380356042,179.85,1778.1398700062616,874.084996904911,4.374860720994518,269.55,2529.1902537972987,874.44,8.234990714732968,89.83,1791.8498204848377,874.194996904911,5.849938098219787,269.55,176.92024141694282,2113.4699504785763,7.93500309508901,102.2,,,,,,,,,,,,,4a,15,1568718601
32334,32334,884.8750757670633,1568719671.077983,884.8750757670633,-106.05402687274905,643.4487044016139,59.273572836864965,667.7202804487563,0.008828818798065186,698.0283060811528,91.72387284427444,728.7386366225712,0.8351851105690002,703.0040268799886,42.256617563621894,734.2817799680258,0.9737969040870668,658.6305717934274,142.62378502854997,753.9575367383557,0.5432330965995789,694.5897906127296,2.7957442428853576,761.7830242196518,0.582541286945343,507.7014134430972,180.2072434849195,660.4708611357719,0.989564061164856,512.2856429109438,-35.82939706031113,621.3532537713743,0.5690490007400513,648.2873664273861,241.09984104551896,413.5942565343489,0.590839684009552,605.925721447352,-87.86971803477718,410.8593678983217,0.96811181306839,795.1756931628429,305.3271626417077,208.62856271656773,0.03668767213821411,779.7023830367783,-147.53326228229062,214.11945396061,0.8533785939216614,449.05713818826143,195.3916551443953,253.4309828638633,0.6785123944282532,427.5101618823361,-11.069615438528018,213.3972642403089,0.3078521490097046,823.6483308683162,187.7386354053912,75.30191898172188,0.5446486473083496,830.5616608078682,-14.308766186697685,122.74572602119244,0.31679314374923706,315.5299697610953,222.8450305078781,-736.629362482979,0.014542579650878906,602.7303068556718,-40.505356368658816,-407.00893400262834,0.20972630381584167,1762.2224924232935,1615.4379015654351,5.2624924232936765,359.07,2655.5826136505952,761.9344999373826,6.7825530369442655,166.91,1761.28,915.5769317470256,7.489939386349411,179.85,1761.2475075767065,930.1994241703194,7.602492423293676,179.85,1761.21,944.7969317470256,7.51,179.85,1761.02,1017.1718862867878,8.027507576706324,179.85,2652.5226136505953,775.0944999373827,6.78,166.91,2648.0651363807133,794.2869317470257,7.747507576706322,169.68918171571704,2646.0600606136504,809.5894241703194,7.752401502817793,173.91,2644.3700606136504,825.4444090169068,7.787568190356913,173.91,1463.854318096431,866.8549848465874,8.972522730118971,268.61,2568.453068252974,874.5575075767063,7.487446963055733,89.83,1760.19,1335.2494847839698,6.827446963055733,179.85,1597.9518559799624,870.1149848465874,8.599909079524117,268.4775378835316,1762.144439323732,873.8624924232938,7.4499696931747055,269.13,1760.15,1349.8144696305576,6.910030306825295,179.85,1778.0346817783343,874.0824924232937,4.262159048215435,269.55,2529.3956212899184,874.44,8.22747726988103,89.83,1791.7045605510334,874.1924924232937,5.799848465873526,269.55,177.11559098309326,2113.429878772699,7.937507576706324,102.2,,,,,,,,,,,,,4a,15,1568718601
32335,32335,884.9,1568719671.111198,884.9,-91.16662507284269,648.6620801068651,68.16477238004553,666.8235053532993,0.00014576315879821775,701.6088687040464,90.69969829772585,732.8836014586259,0.9472981691360474,697.1936939660179,47.1534473098458,730.2152975438562,0.9480113983154296,669.8737271793308,143.92416662332374,759.8552672700481,0.4801377952098846,690.7107921366513,4.271593413001091,762.8297631313774,0.5058944821357727,507.4032184967159,183.9051452894741,661.1313242670733,0.989716649055481,511.4687769616944,-29.07075180656856,618.6761761260816,0.8420292139053345,659.5987921668102,240.0871639672509,410.96759353935545,0.5877641439437866,612.0941983542646,-86.83677620600983,406.79912820233193,0.9633485078811646,786.9791630792163,301.90424677551897,204.8036044207444,0.027999848127365112,749.095619509329,-144.55424948096194,199.8463069703056,0.8250774145126343,462.3492851981504,189.7043939777272,269.2455253168568,0.7094453573226929,426.9554235039208,-5.9153968594287445,229.06233370152458,0.4477750658988953,829.8372395041209,189.91015241444907,81.1278581907859,0.4813905954360962,838.8340958094475,-20.73091867459581,125.72341996043501,0.07481443881988525,311.4932274238231,225.603642123704,-745.5345573410123,0.02165597677230835,584.4015291255151,-36.61485854779648,-425.8975142823688,0.22169703245162964,1762.22,1615.57,5.26,359.07,2655.62,761.77,6.8,166.91,1761.28,915.39,7.47,179.85,1761.25,930.01,7.6,179.85,1761.21,944.61,7.51,179.85,1761.02,1016.97,8.03,179.85,2652.56,774.93,6.78,166.91,2648.11,794.1,7.75,169.42,2646.08,809.4,7.72,173.91,2644.39,825.25,7.81,173.91,1463.63,866.85,8.98,268.61,2568.64,874.56,7.47,89.83,1760.19,1335.08,6.81,179.85,1597.74,870.11,8.57,268.49,1761.96,873.86,7.44,269.13,1760.15,1349.64,6.92,179.85,1777.93,874.08,4.15,269.55,2529.6,874.44,8.22,89.83,1791.56,874.19,5.75,269.55,177.31,2113.39,7.94,102.2,,,,,,,,,,,,,4a,15,1568718601
32336,32336,884.9334727464462,1568719671.1446474,884.9334727464462,-80.25499957443245,669.7069036736175,74.55461566752734,685.068452473917,0.99241042137146,704.1459238276227,91.58861808556637,737.038961389338,0.945500373840332,699.3864127007075,49.143005861397754,732.8622108331037,0.9499996900558472,680.8363742055003,144.26504375985542,767.4749753714647,0.3272308707237244,693.2143697689453,4.297305438219625,767.5467768987006,0.4580163359642029,512.7948200480686,190.2171742257373,649.9477763229471,0.2403223812580109,518.7091504621142,-28.75058974852066,623.9541071885083,0.9133922457695008,653.4445706737141,238.35002061460534,438.73790141122856,0.4188176393508911,624.0367842631107,-85.94747888803758,412.2218288992569,0.9407047033309937,800.1109747598817,299.69365267789175,213.64378121534162,0.017657935619354248,790.5802381866138,-135.09763096813924,231.0229828832869,0.8060104846954346,460.8493160884412,197.7643094840517,268.38221399059324,0.8878191709518433,416.5270222893298,-17.904732270720967,232.9062525435548,0.6607084274291992,827.9363838842944,194.0374256470172,89.07108501225622,0.0896180272102356,875.9162121218436,-16.01073818580534,143.70024871992175,0.5702782273292542,286.75293369787937,258.93783622832734,-768.4908679158023,0.018117785453796387,584.8868047425201,-35.27714142019689,-431.77314884714997,0.11621123552322388,1762.2166527253555,1615.7440582815204,5.256652725355376,359.07,2655.673556394314,761.5490798734547,6.806694549289247,166.91,1761.2833472746445,915.1389544016533,7.4934309225123705,179.85,1761.25,929.7589544016533,7.569874528198381,179.85,1761.21,944.3589544016532,7.506652725355376,179.85,1761.02,1016.7055653030746,8.016610901421503,179.85,2652.610209119669,774.7124271480993,6.766610901421503,166.91,2648.1669036689586,793.8523016762978,7.723221802843006,169.06518888766982,2646.106778197157,809.1422598523641,7.723347274644624,173.91,2644.416778197157,824.9922598523641,7.799958176066128,173.91,1463.3287452819839,866.8433054507108,8.986694549289249,268.61,2568.8876983237024,874.56,7.456610901421503,89.83,1760.19,1334.8523853241654,6.806652725355376,179.85,1597.4521343805625,870.1033054507108,8.573347274644625,268.50673637322313,1761.708954401653,873.8533054507108,7.456736373223122,269.13,1760.15,1349.4123853241656,6.889874528198383,179.85,1777.8061508381488,874.08,3.999372640991908,269.55,2529.8811710701484,874.4433472746448,8.260167295735492,89.83,1791.3792471691904,874.19,5.626150838148902,269.55,177.5677401476361,2113.3330963310414,7.94,102.2,,,,,,,,,,,,,4a,15,1568718601
32337,32337,884.9668202358173,1568719671.1779716,884.9668202358173,-79.66324576154963,667.1750321615798,76.51883390330568,685.6182217527487,0.9901063442230223,699.1586108056795,93.62050636818262,735.5556145664302,0.9331838488578796,699.6289409180838,51.71788478387804,732.9584774985649,0.9484008550643921,682.3777068842097,145.7950556149356,768.108739766005,0.3310110569000244,693.810946603277,5.129141497103487,769.0059496387994,0.421083927154541,515.2938690081527,192.6277679230457,644.7587786968585,0.29520857334136963,518.3712250175777,-28.06982583585073,626.5827814656293,0.8989262580871582,649.7836980347868,237.27464856937885,444.13410037137527,0.4630391001701355,601.6871800075666,-86.26745079505454,385.36339956896757,0.8992230892181396,810.9023170798407,296.99972708160664,218.71769128657363,0.007885396480560303,762.2095686222466,-139.89656819227716,207.3494311169868,0.7862824201583862,460.4397137854329,190.8044836182921,280.73618327485497,0.8081656694412231,425.56736034598396,-12.23241459368464,242.24147995644446,0.4249995350837708,773.4716492118796,196.16232934053212,74.2174961243539,0.18017157912254333,816.9804350416031,-25.57788901724719,106.98920637598766,0.10425984859466553,281.85943853776786,248.46893801152092,-772.0158112143528,0.014551103115081787,592.0203780292935,-34.764022678841556,-434.377865463298,0.04399767518043518,1762.2133179764182,1615.91746522625,5.253317976418269,359.07,2655.726912377308,761.3289864436058,6.813364047163462,166.91,1761.2866820235818,914.8888482313704,7.5167741650721105,179.85,1761.25,929.5088482313704,7.539861787764428,179.85,1761.21,944.1088482313704,7.50331797641827,179.85,1761.02,1016.4421201370433,8.00327190567308,179.85,2652.660230353726,774.4956684671877,6.75327190567308,166.91,2648.223594400889,793.605530254952,7.6965438113461575,168.7117055003366,2646.133456188654,808.8854841842067,7.7266820235817315,173.91,2644.4434561886537,824.7354841842067,7.78995392925481,173.91,1463.0286178776444,866.8366359528366,8.993364047163462,268.61,2569.134469745048,874.56,7.44327190567308,89.83,1760.19,1334.6256223964426,6.80331797641827,179.85,1597.1653459719712,870.0966359528367,8.57668202358173,268.52341011790867,1761.4588482313702,873.8466359528367,7.473410117908652,269.13,1760.15,1349.1856223964426,6.8598617877644275,179.85,1777.682765127476,874.08,3.84930893882214,269.55,2530.1612899808647,874.4466820235817,8.300184282980762,89.83,1791.1991707265865,874.19,5.502765127475982,269.55,177.82451581579326,2113.2764055991106,7.94,102.2,,,,,,,,,,,,,4a,15,1568718601
32338,32338,885.0,1568719671.2111282,885.0,-79.5633852056868,670.5214706992888,81.00854038118044,687.0424707550509,0.9903857707977296,699.1480716762219,96.64754609672345,734.569619362963,0.9469375610351562,696.7771183248892,51.80950369623084,734.6625021459876,0.9698135256767272,694.5880206052374,139.00379692703729,771.8872586140387,0.2497129440307617,692.6610766830644,7.4845677875556555,769.6673347909982,0.5158332586288452,511.97835310755227,191.12974106377305,661.018208503061,0.6722044944763184,510.9688169781176,-25.20439539364921,631.9911612896552,0.866262674331665,642.0855783827608,238.20895558733204,410.2112783318933,0.6607642769813538,612.8577888087777,-85.18201420258593,390.8380571952433,0.87700355052948,817.401493112085,295.9350801938402,222.83330158770835,0.011197984218597412,757.8911577197026,-140.57286954403784,204.31845104419259,0.78361976146698,450.8464983551863,186.39783442171588,269.1854687318081,0.6292515993118286,430.6136059701045,-14.153645402781901,234.544315578638,0.7494900226593018,757.1990449652666,185.80112974885924,90.0659216036466,0.5556013584136963,860.8517128128744,-16.875019661977348,131.20580437260546,0.2645460367202759,346.6625478753939,235.51982029344086,-696.1926396561706,0.0073282718658447266,574.490729552091,-39.02165329599174,-460.12056288620994,0.029090434312820438,1762.21,1616.09,5.25,359.07,2655.78,761.11,6.82,166.91,1761.29,914.64,7.54,179.85,1761.25,929.26,7.51,179.85,1761.21,943.86,7.5,179.85,1761.02,1016.18,7.99,179.85,2652.71,774.28,6.74,166.91,2648.28,793.36,7.67,168.36,2646.16,808.63,7.73,173.91,2644.47,824.48,7.78,173.91,1462.73,866.83,9.0,268.61,2569.38,874.56,7.43,89.83,1760.19,1334.4,6.8,179.85,1596.88,870.09,8.58,268.54,1761.21,873.84,7.49,269.13,1760.15,1348.96,6.83,179.85,1777.56,874.08,3.7,269.55,2530.44,874.45,8.34,89.83,1791.02,874.19,5.38,269.55,178.08,2113.22,7.94,102.2,,,,,,,,,,,,,4a,15,1568718601
32339,32339,885.0334903841118,1568719671.2446668,885.0334903841118,-76.34785699425007,666.3654099436292,85.8491506196291,687.630303454983,0.9913487434387208,704.2387781951005,103.16090403717556,741.1504822829401,0.9758301973342896,701.3595230145862,54.48555412448893,737.7121735492813,0.9711576104164124,699.2534276748801,138.4440184418602,772.9240804140486,0.28244248032569885,693.5624160212441,9.01911994035369,769.9875836553508,0.5522154569625854,504.09207227215074,193.2305344446422,662.262823810751,0.69582599401474,512.0979663349517,-23.674294374714947,638.7217402844719,0.855934739112854,656.1640086507366,237.94754342821312,411.9832227283384,0.7220782041549683,618.0517671397517,-85.08977642148905,393.3995124361445,0.868773341178894,834.5282511322197,292.8403050525968,232.85997258199419,0.009505659341812134,762.9235801587957,-141.8738937881599,209.9777081429036,0.8055176734924316,451.77864194911484,193.61979517154546,241.86503718963246,0.30819010734558105,420.606760480287,-15.57895158605174,226.01277733007626,0.7307209968566895,752.1082587271612,185.69115216625733,105.2807058411142,0.5787308812141418,785.8209624446422,-30.080641649964925,83.00113280657618,0.07101476192474365,318.4717584525381,233.72476604598785,-725.9038996399339,0.012990742921829224,547.9994201040557,-43.20975541777683,-492.5358847168408,0.024942010641098026,1762.2066509615888,1616.2674990357925,5.253349038411182,359.07,2655.830235576168,760.8923125032733,6.7898586542993735,166.91,1761.29,914.3888221191614,7.54,179.85,1761.25,929.0088221191613,7.50330192317764,179.85,1761.21,943.6088221191617,7.516745192055904,179.85,1761.02,1015.9087278886943,7.993349038411182,179.85,2652.763584614579,774.058963464862,6.763443268878264,166.91,2648.340282691401,793.1054730807502,7.703490384111808,167.99830385159245,2646.186792307289,808.3754730807502,7.7065567311217364,173.91,2644.5001413457003,824.2221240423391,7.796745192055904,173.91,1462.431935581405,866.8233019231776,8.983254807944094,268.61,2569.6311778808385,874.56,7.446745192055904,89.83,1760.19,1334.1722653880395,6.810047115233543,179.85,1596.5886336582273,870.0833019231778,8.610141345700626,268.55674519205587,1760.9621711575726,873.8366509615887,7.479952884766457,269.13,1760.1533490384113,1348.7322653880397,6.836698076822361,179.85,1777.4528307708422,874.08,3.5526423099080486,269.55,2530.717970188128,874.45,8.326603846355278,89.83,1790.8458500026184,874.1866509615887,5.319717308598747,269.55,178.3378759576609,2113.16306634701,7.909858654299374,102.2,,,,,,,,,,,,,4a,15,1568718601
32340,32340,885.0667293600043,1568719671.2779536,885.0667293600043,-76.34785699425007,673.5786888863763,84.863656980004,689.389494961176,0.9913758635520936,704.6010577713025,104.6340761844365,741.6017519778809,0.972219705581665,701.956640465449,54.13712768750246,737.3600318856724,0.9634501934051514,700.5780320058275,138.11144407366146,773.8780347465871,0.27445703744888306,693.2006711470998,10.585918121596233,771.2672145822098,0.5023426413536072,505.4539667579898,194.61333149663903,664.2658573972494,0.705865740776062,507.6198927614628,-24.170040864678878,638.841306174102,0.8746026754379272,639.7257342161472,239.16896799394482,401.93658196646317,0.6705862879753113,614.6507822396967,-85.90095245107054,391.759738398448,0.8604528903961182,842.3794720066866,289.6121889440342,232.2589164543052,0.0056947171688079825,776.3065234651349,-140.9812109312577,221.3754921762105,0.7614473104476929,452.3665502597668,196.94127203096,232.26373942218825,0.2770783305168152,422.4635397323642,-17.243995703990063,228.7087179136401,0.7190850973129272,763.9826841758969,183.20868488768463,115.64195025818876,0.5896055698394775,755.1003451797086,-38.997159388172975,64.69110268821146,0.08108985424041748,429.57468908813047,217.5707872848436,-567.1873406775333,0.0113869309425354,515.9152522447525,-49.59697819413567,-527.3826516226611,0.02397421002388,1762.2033270639997,1616.4436656080218,5.256672936000414,359.07,2655.880094040006,760.6762591599731,6.759943575996269,166.91,1761.29,914.1395297999691,7.54,179.85,1761.25,928.7595297999691,7.496654127999171,179.85,1761.21,943.359529799969,7.533364680002072,179.85,1761.02,1015.6394921839664,7.996672936000414,179.85,2652.8167669760064,773.8395862239728,6.7867105520029005,166.91,2648.400112848008,792.8528568639687,7.736729360004145,167.63932291195525,2646.2133834880037,808.1228568639685,7.683289447997098,173.91,2644.5300564240038,823.9661839279681,7.8133646800020715,173.91,1462.1361086959632,866.8166541279993,8.966635319997929,268.61,2569.880470200031,874.56,7.463364680002072,89.83,1760.19,1333.946240351972,6.820018808001244,179.85,1596.299454567964,870.0766541279993,8.640056424003731,268.57336468000204,1760.7162027359693,873.8333270639996,7.469981191998756,269.13,1760.1566729360004,1348.506240351972,6.843345872000829,179.85,1777.3464660479867,874.08,3.4063908159817613,269.55,2530.9938536880345,874.45,8.313308255998344,89.83,1790.6730073279784,874.1833270639995,5.2598871519925385,269.55,178.5938160720319,2113.106560087993,7.879943575996269,102.2,,,,,,,,,,,,,4a,15,1568718601
32341,32341,885.1,1568719671.3112721,885.1,-76.26702418137711,670.5944583966267,84.61633870572001,688.0138018678647,0.9910540580749512,706.9813278269844,105.74837089628154,743.1735642756306,0.970178723335266,705.2692050027027,54.017486161004065,739.0924529213396,0.9671676158905028,700.741899445174,138.24628231734135,774.814695899729,0.2418303191661835,693.3687503797263,9.756791435247534,771.0432308478105,0.5501121282577515,509.5479146581933,195.9198972487556,666.3408865295826,0.7518398761749268,507.8354483648114,-22.810558805379078,637.4002047940278,0.8531659841537476,658.6489126023818,236.94231194582096,411.6648043825897,0.6238126158714294,625.5038271098942,-84.95186438960296,397.62977552147316,0.7732363939285278,838.3745371569048,291.5785884127385,226.54462159777668,0.005629450082778932,778.6728468390494,-140.44600732120358,222.52387870334232,0.7511917352676392,477.3635627494474,198.392351863699,242.9638494485223,0.3040420413017273,425.73193264089457,-16.459242028156662,234.4102827052763,0.7007042169570923,763.0029819580924,185.26996791158646,109.90319978081371,0.4795226752758026,718.7421207759198,-44.1597230822119,40.70137341213877,0.1057254672050476,460.3807012329608,216.3466073112914,-555.5093187373774,0.012842357158660887,491.98258066884506,-66.54832393116338,-555.6748868075537,0.031836867332458496,1762.2,1616.62,5.26,359.07,2655.93,760.46,6.73,166.91,1761.29,913.89,7.54,179.85,1761.25,928.51,7.49,179.85,1761.21,943.11,7.55,179.85,1761.02,1015.37,8.0,179.85,2652.87,773.62,6.81,166.91,2648.46,792.6,7.77,167.28,2646.24,807.87,7.66,173.91,2644.56,823.71,7.83,173.91,1461.84,866.81,8.95,268.61,2570.13,874.56,7.48,89.83,1760.19,1333.72,6.83,179.85,1596.01,870.07,8.67,268.59,1760.47,873.83,7.46,269.13,1760.16,1348.28,6.85,179.85,1777.24,874.08,3.26,269.55,2531.27,874.45,8.3,89.83,1790.5,874.18,5.2,269.55,178.85,2113.05,7.85,102.2,,,,,,,,,,,,,4a,15,1568718601
32342,32342,885.1336756096574,1568719671.344996,885.1336756096574,-79.36182065866934,667.8130389611027,84.99067809539397,684.6748143813658,0.990123987197876,703.1212804058538,100.8622734024886,736.8199292847139,0.9375514388084412,696.9564321623994,53.30970980638102,735.6124327267993,0.967578947544098,700.9868168008647,138.64668143292343,774.7668038601104,0.2245531082153321,693.3237585032433,9.941123276000264,771.1712081884109,0.5384128093719482,516.9488986683067,195.48074716919132,652.2795255373028,0.373053789138794,504.8373783125878,-21.595910497469763,633.3744216211057,0.8487385511398315,655.4606561361446,236.50495442976435,410.2668596310898,0.6589159369468689,606.997975568401,-90.14453909761292,388.195262817072,0.6985193490982056,839.226636803866,293.3221161561412,229.6376146628017,0.008762508630752562,780.1829105379968,-149.8653988340579,210.30936548593857,0.8024121522903442,444.5157789734079,180.93500058208755,257.92720198042184,0.6317743062973022,427.2605527054866,-12.168968083299534,243.80737421082424,0.3057396411895752,771.3322508591829,186.39939312793805,97.69433265642272,0.1306149959564209,733.6676678098448,-36.72985964933757,51.400213139498504,0.15122351050376892,548.9917453054196,210.45880020143954,-476.99782360900895,0.03593519330024718,471.4588562579717,-74.19688439480959,-581.889947239137,0.047994256019592285,1762.2,1616.7951131702184,5.263367560965738,359.0632648780685,2655.9805134144863,760.2377409762613,6.756940487725909,166.91,1761.29,913.634065366604,7.533264878068522,179.85,1761.25,928.254065366604,7.510205365794432,179.85,1761.21,942.8574329275696,7.516324390342613,179.85,1761.0233675609657,1015.100595122741,8.003367560965739,179.85,2652.920513414486,773.4011085372272,6.772956829376875,166.91,2648.5172485364183,792.3508004885354,7.74642707323983,167.1554002442677,2646.2703080486913,807.6106978056381,7.717248536417557,173.91,2644.5869404877253,823.4506978056381,7.813162195171308,173.91,1461.5369195130836,866.8032648780685,8.953367560965738,268.61,2570.3825670724304,874.56,7.496837804828694,89.83,1760.1933675609655,1333.487638293364,6.850205365794432,179.85,1595.7237573179125,870.0632648780687,8.632956829376875,268.5967351219315,1760.2140653666038,873.8266324390343,7.490308048691647,269.13,1760.16,1348.047638293364,6.8601026828972165,179.85,1777.1457082929596,874.08,3.1084597565417638,269.55,2531.5461399991905,874.45,8.273059512274093,89.83,1790.334989512679,874.18,5.095605610062103,269.55,179.10930219436187,2112.996119024548,7.880308048691647,102.2,,,,,,,,,,,,,4a,15,1568718601
