,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-K_out.16_x,H_in-K_out.16_y,H_in-K_out.16_speed,H_in-K_out.16_angle,Q_in-J_out.21_x,Q_in-J_out.21_y,Q_in-J_out.21_speed,Q_in-J_out.21_angle,K_in-H_out.22_x,K_in-H_out.22_y,K_in-H_out.22_speed,K_in-H_out.22_angle,K_in-H_out.23_x,K_in-H_out.23_y,K_in-H_out.23_speed,K_in-H_out.23_angle,Q_in-J_out.22_x,Q_in-J_out.22_y,Q_in-J_out.22_speed,Q_in-J_out.22_angle,H_in-K_out.17_x,H_in-K_out.17_y,H_in-K_out.17_speed,H_in-K_out.17_angle,K_in-H_out.24_x,K_in-H_out.24_y,K_in-H_out.24_speed,K_in-H_out.24_angle,Q_in-J_out.23_x,Q_in-J_out.23_y,Q_in-J_out.23_speed,Q_in-J_out.23_angle,Q_in-J_out.24_x,Q_in-J_out.24_y,Q_in-J_out.24_speed,Q_in-J_out.24_angle,Q_in-J_out.25_x,Q_in-J_out.25_y,Q_in-J_out.25_speed,Q_in-J_out.25_angle,H_in-K_out.18_x,H_in-K_out.18_y,H_in-K_out.18_speed,H_in-K_out.18_angle,H_in-K_out.19_x,H_in-K_out.19_y,H_in-K_out.19_speed,H_in-K_out.19_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,scenario,participant_id,source_file
34624,34624,1093.1667854171,1568730132.96449,1093.1667854171,-86.31707705957157,627.6112847508,35.53306771544044,616.6995272033089,0.99647319316864,619.4827054191837,60.59582229370568,660.3049630946532,0.9941506385803224,628.3751385559411,4.108554356075045,658.5127549565159,0.9918837547302246,593.8018727278752,95.28069578255156,661.337667802479,0.7525784373283386,598.570902829745,-40.88942757251679,650.3298154247433,0.798172116279602,519.2932642837262,137.1738270603097,533.9785529904785,0.9634037017822266,517.9654013161789,-61.57355731052436,523.175873278265,0.8138704299926758,630.7094672684841,222.03068039783423,348.76760605888086,0.33175796270370483,636.5743863872278,-130.28117250916392,322.0958905893357,0.972530722618103,779.779842204617,260.56535355483805,216.6480580630045,0.1899295151233673,799.0516484799991,-182.0037061461225,195.672760883807,0.8941312432289124,423.66687191897415,138.08660354505952,194.40745162353423,0.2284689843654633,413.7588964079599,-61.41277561483621,146.99055363014745,0.07438668608665466,676.2338129161386,113.67922150541641,10.491035984916806,0.7044813632965088,843.5861930377374,-37.52284166474988,108.20595102498258,0.2800751030445099,575.459476184008,117.01671526479778,-444.6676284963212,0.004552960395812988,560.81045629124,-75.11776400431869,-459.07075287666845,0.021671891212463386,1760.23660729145,1640.2105700020804,4.786642916579987,355.30271583107964,1398.11996437487,791.3488956209692,9.350035625130019,181.84,1761.0,1022.9425377054297,6.73,179.85,2732.6039270855003,632.9760016642397,7.539964374869977,138.41,2723.0739270854997,643.7160016642397,7.563357083420015,138.41,1760.97,1036.4925377054294,6.699964374869977,179.85,1398.76996437487,811.6123239546494,8.546678541710008,181.84,2643.3767497919707,834.7691806220095,6.969928749739957,173.91,1760.93,1050.9125377054297,6.716571666319942,179.85,1760.89667854171,1064.5891806220095,6.790106875390066,179.85,1760.86,1078.2458591637196,6.79,179.85,1698.2225020802994,872.4833214582901,6.993357083420015,268.68,1882.0292874973995,874.9,6.06325020802995,269.55,219.04756916996052,2104.3564647909297,7.816678541710008,102.2,,,,,,,,,,,,,,,,,,,,,,,,,4a,16,1568728996
34625,34625,1093.2,1568730132.9979885,1093.2,-87.6744846697228,626.0847560032812,35.514725941931985,615.8466232363362,0.9963633418083192,630.7776773717832,61.27420299085943,664.3805601386738,0.9944981336593628,632.9435606948074,4.986235908748753,660.3387415001603,0.9906018376350404,601.7623552562592,96.28426429109085,663.4251035508288,0.7525146007537842,595.6390584086846,-39.56937108695496,649.5578226131373,0.7512571811676025,523.0075360398188,135.79991893319922,536.9639765099206,0.9610580801963806,517.4708287094077,-61.20797284891197,524.2160480330115,0.8108208179473877,627.0937089931788,220.8854506477389,349.29021765461795,0.16038715839385986,638.8324076670135,-130.49661722356842,327.3543626883811,0.96872878074646,779.1178055280745,265.0530212750159,215.7406752598237,0.8174853920936584,807.5257147085921,-182.1414781429063,202.5861489279356,0.9526610374450684,423.7823434217832,135.90590146573186,197.02276173601467,0.1832466423511505,402.3766886378228,-65.82177603445224,140.8985585557654,0.08490917086601257,662.5127015109181,107.64865212778835,14.017102624804352,0.8417026996612549,697.1041886298506,-52.060418805784884,6.355299870304066,0.4749562740325928,483.22997171749915,112.39438467405031,-506.2499623972183,0.01029503345489502,524.958529006448,-77.83938507543691,-498.3026172998377,0.03169867396354675,1760.22,1640.37,4.78,355.13,1398.11,791.04,9.36,181.84,1761.0,1022.72,6.73,179.85,2732.77,632.79,7.53,138.41,2723.24,643.53,7.57,138.41,1760.97,1036.27,6.69,179.85,1398.76,811.33,8.55,181.84,2643.4,834.54,6.95,173.91,1760.93,1050.69,6.69,179.85,1760.9,1064.36,6.82,179.85,1760.86,1078.02,6.79,179.85,1697.99,872.48,7.0,268.68,1881.83,874.9,6.04,269.55,219.3,2104.3,7.82,102.2,,,,,,,,,,,,,,,,,,,,,,,,,4a,16,1568728996
34626,34626,1093.2334006931826,1568730133.0316026,1093.2334006931826,,625.9944016064419,37.54676966594563,615.8082165788957,0.9960883855819702,635.2309287395261,63.59833900441167,665.5142668201022,0.9951373934745787,632.9268716706863,7.495191810320919,661.1231456531317,0.9909693598747252,599.2204397271573,97.94537898220926,661.9713271617853,0.7576088905334473,597.9769430909045,-37.83589030216938,651.4789530767291,0.7837734222412109,514.8338776801996,136.2999973452184,533.4708629816632,0.9583641290664672,521.0812114498359,-61.616969885455205,526.7328754813351,0.8225643634796143,641.3287654964237,218.05270682056263,345.62864605576834,0.8141686320304871,629.6060014921625,-132.3813317963066,325.8380979996823,0.9699041843414308,778.8181046857965,278.75954711699825,205.95888848736908,0.8612540960311891,804.2873723299739,-184.3379421182872,200.6195181767381,0.9490556120872498,426.76440726675855,132.56890585683303,201.8194080067923,0.1842127442359925,402.12304307935403,-68.54436830248191,145.88936194534045,0.05968892574310303,673.4866371779807,108.4194873803042,31.767446989508638,0.7943311929702759,616.9465883767207,-57.78509271745757,-54.32983383534714,0.4326293170452118,463.7474402298972,111.63467689986713,-510.1209800344868,0.006143063306808472,485.2622226344602,-84.44764755066737,-540.7760287955841,0.018424510955810547,1760.2032996534087,1640.5303233272766,4.78,355.0197777124974,1398.0999797920454,790.729373553402,9.349979792045225,181.84,1761.0033400693185,1022.4928752863583,6.7199797920452236,179.85,2732.933663396595,632.6029561181775,7.526659930681741,138.41,2723.407003465913,643.3396160488593,7.566659930681741,138.41,1760.97,1036.0462153556766,6.706700346591294,179.85,1398.7499797920452,811.0460941079482,8.52995958409045,181.84,2643.423380485228,834.3095352170401,6.946659930681743,173.91,1760.93,1050.469555424995,6.686659930681741,179.85,1760.9,1064.1362153556763,6.789939376135672,179.85,1760.86,1077.7962153556766,6.779979792045224,179.85,1697.7561951477219,872.4733198613635,7.006680138636518,268.68,1881.626255771586,874.8966599306817,6.060040415909553,269.55,219.55718533750596,2104.246558890908,7.840040415909552,102.2,,,,,,,,,,,,,,,,,,,,,,,,,4a,16,1568728996
34627,34627,1093.2670946741496,1568730133.065512,1093.2670946741496,-87.60812386746012,625.6473300051788,38.014771649196256,616.521938666569,0.9957643747329712,624.4494873708754,64.71719880971354,660.438401699585,0.99609637260437,628.8458531530747,8.16901017655254,658.8549726594749,0.9917036294937134,595.6738288640108,98.37489972662549,660.4302026623882,0.7765352725982666,599.7111297708575,-36.927722769165726,652.8079311216729,0.7815945148468018,518.4759074011715,137.54828989835912,534.9822391411421,0.95603346824646,521.2037593111618,-61.33616444279852,527.7962330059971,0.8213845491409302,634.6187079562177,218.53601359491853,348.05626370146746,0.165989488363266,630.1020069811221,-133.95812903254216,323.2945361302476,0.9664451479911804,786.0209813343663,264.79167713596627,215.440763722063,0.09745514392852783,802.2039044905111,-184.83201259771184,195.78201161755183,0.9413559436798096,426.3193581634175,130.4641509700293,206.81687856368808,0.11973872780799864,395.65164253497596,-68.59737397797774,144.38279977882846,0.06023910641670228,656.9149761034292,104.19824311864842,38.69032169034895,0.7677054405212402,580.0347850744922,-61.7526204518834,-79.55936554861722,0.5334264039993286,531.3717692683756,99.20640717134441,-401.4216390073645,0.02586132287979126,446.2163078895434,-91.07037641818305,-582.4075462313998,0.009855896234512327,1760.1864526629251,1640.692054435918,4.78,354.9085875753064,1398.089871597755,790.4160195304088,9.339871597755124,181.84,1761.0067094674148,1022.2637562157828,6.709871597755122,179.85,2733.0987639033333,632.4142698247623,7.52329053258504,138.41,2723.575473370748,643.1475603573474,7.56329053258504,138.41,1760.97,1035.8204656831977,6.723547337074796,179.85,1398.7398715977552,810.7596952697286,8.509743195510245,181.84,2643.446966271905,834.0770467483678,6.943290532585041,173.91,1760.93,1050.2471751506127,6.6832905325850405,179.85,1760.9,1063.9104656831978,6.759614793265368,179.85,1760.86,1077.5704656831977,6.769871597755122,179.85,1697.5203372809528,872.4665810651701,7.013418934829918,268.68,1881.4207224876873,874.8932905325852,6.080256804489754,269.55,219.81662899095184,2104.1926485213608,7.860256804489754,102.2,,,,,,,,,,,,,,,,,,,,,,,,,4a,16,1568728996
34628,34628,1093.3,1568730133.0986276,1093.3,-83.94516050550304,621.2143026229601,36.583833562324,614.8963406044878,0.996646761894226,620.1338327931871,62.7697494709096,659.0412884427623,0.9956974983215332,628.1136480156313,6.786449762187227,659.6851070827391,0.9916671514511108,598.1741682975047,97.70471090838306,661.7008179083348,0.7629367709159851,596.8401151748792,-38.036962619553215,651.6841749602936,0.7635118961334229,522.9416504509938,138.0454583681869,537.0877067690697,0.9643265008926392,521.0981191954393,-61.753940616129,528.1828986807975,0.7934214472770691,627.4343569384229,216.76672648579498,336.0214426324579,0.8526517152786255,632.6401716604735,-135.52237287523144,328.6193900347359,0.9724006056785583,784.4994743029903,258.68413380321425,216.88247845143482,0.0914539098739624,814.0304416329423,-182.06723151109867,206.28652163318768,0.9326870441436768,453.7471399263363,125.81224296759537,222.06963264880872,0.1794196367263794,400.12244768931504,-68.84852785778838,149.86082277283984,0.04290294647216797,674.288443472123,105.18246822466223,55.06072235538653,0.8493586182594299,572.2208516128655,-63.57998508137514,-77.99547624036683,0.5299045443534851,489.07917901761823,100.39007087410236,-423.4466909854718,0.023649603128433228,423.77522083750506,-84.93906630093687,-569.2896681542989,0.022534281015396118,1760.17,1640.85,4.78,354.8,,,,,1761.01,1022.04,6.7,179.85,2733.26,632.23,7.52,138.41,2723.74,642.96,7.56,138.41,1760.97,1035.6,6.74,179.85,1398.73,810.48,8.49,181.84,2643.47,833.85,6.94,173.91,1760.93,1050.03,6.68,179.85,1760.9,1063.69,6.73,179.85,1760.86,1077.35,6.76,179.85,1697.29,872.46,7.02,268.68,1881.22,874.89,6.1,269.55,220.07,2104.14,7.88,102.2,,,,,,,,,,,,,,,,,,,,,,,,,4a,16,1568728996
34629,34629,1093.3335050523192,1568730133.1324315,1093.3335050523192,-83.94516050550304,625.7997065283515,37.1418113437941,615.5242036900137,0.9958289861679076,621.4954944724445,62.31186233922666,659.8951637914092,0.994784653186798,632.4147351363086,6.797942337724595,661.4964318413972,0.9900521039962769,598.4506554097095,96.9776651091372,662.1035242755634,0.7244759798049927,601.4947551804962,-38.14849975559608,653.6798461194743,0.7803241014480591,513.7374276381953,136.1760773667156,535.7758345261775,0.9559324979782104,520.7406588796241,-61.785123619524896,528.9526639057067,0.7756981849670409,636.0459753110415,215.2459739705312,346.9329668234116,0.3445676565170288,633.5493558881832,-135.5841733869627,327.4739575266425,0.9617831707000732,784.201044951171,257.19480424514853,216.79179766443852,0.07347476482391357,810.7773763606388,-182.07907220559682,203.47652409622762,0.9272092580795288,444.3227974595717,125.02481545716205,221.4228197248096,0.1517278552055359,398.3754566757474,-68.07552846482028,155.5331085282975,0.024798125028610236,671.0868006818666,104.1221196280892,57.87440262570749,0.8519087433815002,547.4477314509763,-66.50250880248511,-98.70408273958704,0.5525554418563843,487.6689290227711,97.4398160113382,-408.80048082847145,0.07182741165161133,432.28561667486167,-81.74082432182766,-590.8247362245568,0.028561443090438843,1760.1532474738406,1641.010824251132,4.78670101046384,354.78994848430426,,,,,1761.01,1021.8121656442296,6.736855557551116,179.85,2733.430875766828,632.0390212017804,7.543453536623438,138.41,2723.9041747563642,642.7757222122443,7.529845452912723,138.41,1760.97,1035.3755161494614,6.7299484843042405,179.85,1398.7199484843045,810.1918565500549,8.523505052319196,181.84,2643.4968040418553,833.6221656442294,6.9299484843042425,173.91,1760.9333505052318,1049.8021656442295,6.720206062783037,179.85,1760.9,1063.465516149461,6.73670101046384,179.85,1760.86,1077.1221656442294,6.756649494768079,179.85,1697.0521141285337,872.4566494947683,7.036752526159599,268.68,1881.012268675621,874.89,6.113402020927677,269.55,220.3279889028578,2104.083041411057,7.8665979790723215,102.2,,,,,,,,,,,,,,,,,,,,,,,,,4a,16,1568728996
34630,34630,1093.3667671774126,1568730133.1659904,1093.3667671774126,-83.29974757694106,621.3371447490298,35.90806047219767,614.5915257201058,0.996737003326416,623.0259552015542,61.519305342190655,661.2641278110729,0.9950650930404664,620.8020044708643,4.877692400845547,658.2384159412022,0.9903360605239868,588.5486425364156,96.45311972231006,658.0119820199187,0.7207251191139221,599.0020848815956,-39.067146030179295,651.817554115205,0.7543131113052368,508.2215802532022,134.73797302620042,532.8752768069639,0.9556766152381896,516.4431816539477,-61.50702804717097,528.1919713251093,0.7534247636795044,638.3292205679627,214.1759513184266,351.69162431662994,0.3854351341724396,619.5453850051067,-139.83054318640882,324.60097806363615,0.9625827074050904,785.2984554893605,254.6753428110089,219.612370133408,0.12136712670326233,784.8484166961495,-189.17345339049209,185.11390485305282,0.9233436584472656,435.76737527850923,124.56393851715544,218.31830961756242,0.12636727094650269,394.76882687062937,-68.2648767070566,155.08518241449957,0.02022659778594971,681.5701391328413,97.39220467962244,67.17213848856042,0.7898916006088257,547.4961302070657,-67.28206845853279,-92.94478046652591,0.6450338363647461,526.3304793933302,95.3326186649881,-370.7414013501915,0.05461278557777405,475.35502503228173,-73.18848096146105,-554.5129986693316,0.017013341188430786,1760.1366164112937,1641.1704824515805,4.793353435482513,354.7799698467762,,,,,1761.01,1021.5859831935944,6.773443895153823,179.85,2733.600512604804,631.8494270887484,7.5667370241887975,138.41,2724.0671591693217,642.5927805242309,7.499909540328691,138.41,1760.97,1035.1526599113358,6.71996984677623,179.85,1398.7099698467762,809.905802274252,8.556767177412567,181.84,2643.5234137419297,833.3959831935945,6.919969846776231,173.91,1760.9366767177414,1049.5759831935943,6.760120612895078,179.85,1760.9,1063.2426599113355,6.743353435482513,179.85,1760.86,1076.8959831935942,6.753323282258744,179.85,1696.8159530403707,872.4533232822588,7.053383588706282,268.68,1880.806043500042,874.89,6.126706870965027,269.55,220.5841072660768,2104.0264957983986,7.853293129034974,102.2,,,,,,,,,,,,,,,,,,,,,,,,,4a,16,1568728996
34631,34631,1093.4,1568730133.1995196,1093.4,-86.62282900807224,620.5181956827746,33.153723480136186,615.6443495633753,0.996925950050354,623.2553272997375,58.44713947908144,661.0370174074022,0.994638204574585,631.4850772476229,3.5643250123468824,662.3414563794342,0.9906102418899536,594.5813431231668,95.192108447726,664.8744499675299,0.6002628803253174,598.0224923303742,-40.17651735692797,652.7359562848567,0.7496063709259033,508.3478940812941,134.89050091484344,531.4895239305795,0.9661206603050232,515.70693070957,-61.792132844212745,528.1666630366893,0.7738046646118164,628.8058649922157,215.55531803811581,357.34526677523735,0.5286064743995667,626.4833595855498,-140.2071684330969,328.9834117178167,0.9457527995109558,781.8563272591757,249.0750760054512,228.9052990390664,0.1605764925479889,782.3528170945458,-191.0552220918993,183.77447991423657,0.9108522534370422,435.0318482244581,125.4070601687681,219.48120161982362,0.12855887413024902,391.90809573734833,-69.45081237873246,157.4585528726582,0.012949824333190918,676.3007635295503,93.46257678861194,61.45513500876069,0.7138199806213379,578.4549227508231,-67.31283825108679,-68.28334685725207,0.6326774954795837,545.8009471058635,105.6436771946215,-383.9920723860929,0.01877903938293457,564.9996178720066,-66.81622763892504,-462.50786568022284,0.009880542755126951,1760.12,1641.33,4.8,354.77,,,,,1761.01,1021.36,6.81,179.85,2733.77,631.66,7.59,138.41,2724.23,642.41,7.47,138.41,1760.97,1034.93,6.71,179.85,1398.7,809.62,8.59,181.84,2643.55,833.17,6.91,173.91,1760.94,1049.35,6.8,179.85,1760.9,1063.02,6.75,179.85,1760.86,1076.67,6.75,179.85,1696.58,872.45,7.07,268.68,1880.6,874.89,6.14,269.55,220.84,2103.97,7.84,102.2,,,,,,,,,,,,,,,,,,,,,,,,,4a,16,1568728996
34632,34632,1093.4336199703594,1568730133.233431,1093.4336199703594,-83.41960253055373,620.1193410267372,24.996231047396602,616.3535823120815,0.9971522688865662,625.7720621165154,54.00900306569084,664.314774672363,0.96165531873703,627.5032431064249,-2.6303628135625017,661.4603967381566,0.9847756028175354,593.1123731246928,93.61755061441313,664.9020850451958,0.6539207696914673,594.0071606943436,-44.15085446540244,653.3511916082472,0.6889111995697021,510.37759156288536,133.33043994405597,533.5504080261558,0.95296311378479,515.0176062781524,-65.53460861806029,529.3104816447536,0.9660339951515198,633.2746921538004,214.31905065092067,362.28736866786863,0.5868691205978394,619.0350105617972,-141.56667353923785,324.99738731057585,0.9231981039047241,777.4825089743974,244.7355819045626,233.0774248785476,0.2164344787597656,785.6678603870688,-190.7617088863699,189.7817375913394,0.9012165069580078,425.24940825638123,117.64231027262508,215.4913570994651,0.024807721376419067,394.6858266537802,-71.33904897612672,158.84472846422338,0.013196706771850586,672.2325350025835,93.08390879382743,36.30011473451347,0.7243323326110841,587.6436122077075,-69.471615574884,-64.26833180267639,0.5693762302398682,548.984347730071,110.74676118132194,-397.20344209967277,0.0102347731590271,737.9594484732953,-50.62674844332765,-278.33612185626157,0.010973125696182251,1760.1031900148205,1641.4913758577245,4.8,354.81370596146706,,,,,1761.01,1021.1347461985927,6.776380029640701,179.85,2733.938099851797,631.4717281659879,7.58663800296407,138.41,2724.3980998517964,642.218366168952,7.513705961467088,138.41,1760.97,1034.6980222045206,6.753705961467088,179.85,1398.6932760059287,809.33086825491,8.59672399407186,181.84,2643.573533979252,832.9346602074849,6.9436199703593,173.91,1760.94,1049.1247461985927,6.752932041496981,179.85,1760.9,1062.7947461985927,6.736552011856281,179.85,1760.8633619970358,1076.4447461985926,6.74663800296407,179.85,1696.3446602074848,872.4432760059282,7.043104023712561,268.68,1880.3949181808082,874.8866380029642,6.12991400889221,269.55,221.09887377176662,2103.916208047425,7.8601719822155784,102.2,,,,,,,,,,,,,,,,,,,,,,,,,4a,16,1568728996
34633,34633,1093.4667416744867,1568730133.26684,1093.4667416744867,-105.21214625389065,620.321883854793,22.330865568251948,615.9011248809409,0.996932864189148,622.162537937898,51.82757782664896,663.883032312855,0.9700505137443542,624.2826227680603,-4.778452957717403,658.9215200339088,0.982240915298462,579.2514778323011,91.31200084074214,656.1839829607617,0.868078351020813,599.2195829689292,-45.879083012759025,655.7203015871225,0.6278249621391296,510.3441987791236,128.91382972847578,528.0369692039006,0.8126342296600342,515.3256498208751,-66.8802182486629,528.6349199111729,0.9643264412879944,631.2257343564039,202.7887288395021,348.7798420711512,0.9758636951446532,622.46883023844,-143.99571107773266,326.5113591407489,0.9114120602607728,792.4250318857887,248.86427176715546,230.59533420384656,0.4998246431350708,763.3749508946531,-193.95299962951873,176.68981453966148,0.8785767555236816,444.4007182470268,130.4186271812724,215.41275353330903,0.2769275903701782,387.5407374404269,-73.05020981420836,151.67961528150016,0.01925626397132873,661.104848647083,93.98275431624613,20.780142652816807,0.7450291514396667,626.8666337491047,-73.15246663814382,-36.015109997546354,0.7004064321517944,573.3881111194519,108.36272701946304,-413.404696071343,0.009955734014511108,822.5092295744696,-54.45453352341425,-187.4501727471727,0.01193833351135254,1760.0866291627567,1641.6503600375356,4.8,354.85676417683266,,,,,1761.01,1020.9128307809393,6.743258325513346,179.85,2734.1037083724327,631.2862466228747,7.583325832551335,138.41,2724.5637083724328,642.0295724554261,7.556764176832651,138.41,1760.97,1034.469482446042,6.796764176832651,179.85,1398.6866516651028,809.0460215994149,8.60334833489733,181.84,2643.596719172141,832.7028082785935,6.976741674486654,173.91,1760.94,1048.9028307809394,6.7065616557186845,179.85,1760.9,1062.5728307809393,6.723303330205338,179.85,1760.8666741674485,1076.2228307809394,6.743325832551335,179.85,1696.1128082785935,872.4366516651027,7.016606660410678,268.68,1880.1928757856315,874.8833258325512,6.119977497654004,269.55,221.35391089354724,2103.8632133208207,7.880045004691992,102.2,,,,,,,,,,,,,,,,,,,,,,,,,4a,16,1568728996
