,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,K_in-H_out.17_x,K_in-H_out.17_y,K_in-H_out.17_speed,K_in-H_out.17_angle,K_in-H_out.18_x,K_in-H_out.18_y,K_in-H_out.18_speed,K_in-H_out.18_angle,H_in-K_out.21_x,H_in-K_out.21_y,H_in-K_out.21_speed,H_in-K_out.21_angle,H_in-K_out.22_x,H_in-K_out.22_y,H_in-K_out.22_speed,H_in-K_out.22_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,H_in-K_out.23_x,H_in-K_out.23_y,H_in-K_out.23_speed,H_in-K_out.23_angle,H_in-K_out.24_x,H_in-K_out.24_y,H_in-K_out.24_speed,H_in-K_out.24_angle,H_in-K_out.25_x,H_in-K_out.25_y,H_in-K_out.25_speed,H_in-K_out.25_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,scenario,participant_id,source_file
26391,26391,1103.9641652689281,1568224419.46664,1103.9641652689281,-88.01617024778506,564.4780795105353,109.70222112695795,620.8034709139345,0.9970088005065918,603.0611623211269,132.7286784582295,678.3687274342601,0.8976225852966309,597.4321723917515,76.91819062636337,667.24456507216,0.9629541039466858,577.0493951275564,167.94312552672972,693.9084330886017,0.7101945877075195,535.3881568450222,11.645182336268132,662.317322970126,0.6928109526634216,435.7239399528133,252.6523008858313,536.2639513309139,0.940076231956482,431.1075507412685,-53.0555923708536,506.72089498044966,0.6833295822143555,578.6515061407042,297.99722368090204,327.71263806036063,0.4818286001682282,534.8921977746467,-108.25678515152408,360.8602908683677,0.7168779969215393,740.9558584507413,336.0464632550412,153.42518614069937,0.49733713269233704,744.967670110645,-166.85899694571873,175.75921106766828,0.8786243796348572,389.0356577459647,188.95275525375592,40.618265515471066,0.10103663802146913,446.3608761477456,-18.465491493875177,140.93607591303802,0.11788928508758545,244.3966792494033,209.59738878366463,-720.4909271550576,0.004414290189743042,702.1979598079338,-22.80991157072266,48.256726742841074,0.05803313851356505,279.6044066716973,154.11461909476324,-712.0664808746918,0.001955091953277588,547.9011243168951,-91.97601524736693,-407.11981652301677,0.0062064528465271,1761.13,1632.5508263446404,5.06641652689281,0.06358347310719054,1761.26,924.8608431175034,6.979249580678427,179.85,1761.2,948.807259644396,6.89,179.85,1761.16,962.6572596443962,6.916416526892808,179.85,2709.041576763962,661.1585918595388,7.8271669462143825,142.36,2699.9915767639623,672.8985918595387,7.755666107571237,142.36,1537.113094375468,868.6371669462144,7.863583473107191,268.61,1733.853676171289,873.3035834731071,6.861500838643142,268.68,1760.9864165268928,1030.4145952141112,8.522833053785618,179.85,1747.797259644396,873.6271669462144,6.904915688249665,268.95150083864314,1762.3972596443964,873.8635834731073,6.910750419321571,269.13,1776.2008431175034,874.07,6.970750419321573,269.54358347310716,,,,,,,,,4a,7,1568223547
26392,26392,1104.0,1568224419.5038753,1104.0,-95.17283859501973,568.7653515914718,106.52854767601428,619.4673381742913,0.996725857257843,583.5405232325596,132.47080042091702,665.2793701552846,0.9955180883407592,591.7192811232061,76.57904458040069,661.2589405227743,0.9757343530654908,564.6423623327416,164.88435719318892,688.4305361098958,0.7847414016723633,500.5954411995796,15.302152675096652,646.626562083588,0.3862596154212952,430.9903639439243,243.5565692463708,533.1718982601225,0.96247398853302,434.0901936250662,-45.964897947241624,517.9791439079278,0.6641420125961304,561.8725855448237,303.21578862770616,344.4123162025525,0.4387037754058838,524.3150466206258,-98.64028352574935,353.43821864608657,0.8725870251655579,737.8754570019032,335.6548329524508,167.2388723858716,0.8782845735549927,729.9756144474936,-165.27611583738855,176.15731371077857,0.3301615417003632,387.4428609818396,190.9338103755072,56.635307450134924,0.23259422183036804,423.0539078306903,-15.815630264458143,139.5083557070323,0.3122592568397522,259.6726916749224,197.6331244705174,-665.0130923406323,0.009495437145233154,718.4020749559213,-19.78687790326033,44.045497182338465,0.11538711190223695,236.096241988924,169.0409842460689,-759.2378024107173,0.0037592947483062735,557.9903251235514,-80.9099146174931,-413.20502430020485,0.010315984487533571,1761.13,1632.73,5.07,0.06,1761.26,924.61,6.99,179.85,1761.2,948.56,6.89,179.85,1761.16,962.41,6.92,179.85,2709.21,660.94,7.82,142.36,2700.16,672.68,7.77,142.36,1536.83,868.63,7.86,268.61,1733.61,873.3,6.84,268.68,1760.99,1030.11,8.53,179.85,1747.55,873.62,6.93,268.93,1762.15,873.86,6.9,269.13,1775.95,874.07,6.96,269.54,,,,,,,,,4a,7,1568223547
26393,26393,1104.0306927604968,1568224419.5334373,1104.0306927604968,-105.21895316883075,568.9940031573364,110.51877057248196,619.3277157204789,0.9965486526489258,597.4134554832975,130.80611527553177,670.7759278272347,0.9083974361419678,587.1371213473694,77.41277318284467,661.0461790741151,0.9711519479751588,567.1971250064519,168.57305691684743,690.1273707686737,0.7437558174133301,493.19882113795893,10.352892439766167,647.3146784858758,0.7467476129531859,440.12609385565287,253.59355410347058,533.8221529071313,0.9350742697715759,442.5909386832797,-54.13564864776354,494.7158362840897,0.2075165808200836,571.0774078326225,306.1183121243543,327.05615942481535,0.46838340163230896,511.8905409345095,-111.0247027792195,320.525426579709,0.9250752329826356,736.3267525730009,331.804739727603,163.2245518597484,0.7902109622955322,722.4868625691882,-167.05605574732743,175.05180243379897,0.37627747654914856,412.6150387021047,192.28030332534686,51.67244359102757,0.18453145027160645,450.53473334130166,-14.73431942467531,114.52298263788198,0.11779004335403442,,,,0.01208430528640747,585.8633170778432,-55.73868796659544,-175.07580132006458,0.10335585474967957,237.8602003693688,155.38717029880658,-755.3252898048752,0.0076519548892974845,542.963632966713,-82.9131739816082,-436.3794563369186,0.02688261866569519,1761.13,1632.8865330785336,5.07,0.06,1761.26,924.3951506765223,6.993069276049679,179.85,1761.2,948.348219952572,6.8992078281490405,179.85,1761.16,962.198219952572,6.904653619751597,179.85,2709.357325250385,660.7497048849199,7.8107921718509585,142.36,2700.304255974335,672.4897048849198,7.77306927604968,142.36,1536.5875271920752,868.6238614479007,7.869207828149041,268.61,1733.4012892286214,873.2938614479007,6.827722895801277,268.68,1760.99,1029.8460422597277,8.548415656298081,179.85,1747.3412892286215,873.6138614479007,6.8962379634535145,268.9115843437019,1761.9382199525721,873.8569307239502,6.906138552099361,269.13,1775.7351506765226,874.0669307239502,6.966138552099362,269.51851506765223,,,,,,,,,4a,7,1568223547
26394,26394,1104.0652453846496,1568224419.566717,1104.0652453846496,-94.54047983396765,570.9469861051799,111.77654908351973,615.0205680108443,0.9963333010673524,590.3542915471763,135.57034848097456,671.6148231606393,0.9972037076950072,593.5646060538395,79.11444558739082,664.1066822238415,0.9762589931488036,573.9623566523768,168.28436991503102,692.9262503566748,0.7765649557113647,504.13053350219343,9.93296046956718,651.6093569168736,0.7817816138267517,441.88234135468514,255.1301744872036,531.7271525743047,0.9432945251464844,437.58718849552116,-53.8721693450406,485.8707045340759,0.3317183256149292,571.0811514138152,307.1306918392418,318.66957116349545,0.5528801083564758,535.8988073266269,-113.14004813564924,337.7358383326814,0.8089860081672668,737.6631525572336,339.848216668964,167.45052569007075,0.8586851358413696,733.7024042987791,-162.21426181499896,171.20018966827757,0.880370020866394,422.42233292374334,198.1176413470427,31.82227358093783,0.3927977383136749,478.6646692977182,-22.32392960174653,98.92033445500387,0.33111393451690674,,,,0.014919877052307129,505.899267007929,-59.24408404504963,-375.13639120146127,0.007751643657684326,246.27150313576192,140.1311730972414,-756.915466094826,0.003042072057723999,520.6372245661428,-84.57965637295659,-468.9411005158648,0.013579607009887695,1761.13,1633.0627514617136,5.07,0.06,1761.26,924.153282307452,6.9965245384649695,179.85,1761.2,948.1098068459172,6.909573615394911,179.85,1761.16,961.9598068459172,6.887377307675148,179.85,2709.5231778463185,660.5354786151719,7.80042638460509,142.36,2700.466653307853,672.2754786151718,7.7765245384649715,142.36,1536.3145614612674,868.61695092307,7.879573615394911,268.61,1733.166331384382,873.2869509230701,6.813901846140118,268.68,1760.99,1029.5488896920126,8.56914723078982,179.85,1747.106331384382,873.60695092307,6.858230076885327,268.8908527692102,1761.699806845917,873.853475461535,6.9130490769299415,269.13,1775.493282307452,874.0634754615352,6.973049076929941,269.4943282307452,,,,,,,,,4a,7,1568223547
26395,26395,1104.1,1568224419.600191,1104.1,-84.30018590371671,569.2853581944889,112.8765442994885,618.6439733368109,0.9976909756660458,589.4861541159471,137.36820473593252,672.5795842815576,0.9966802597045898,593.4211050275734,79.68252531874963,665.5991385258469,0.9675453901290894,566.6852841911905,169.54487622142102,686.5288835726974,0.8090833425521851,515.5682249517565,15.115911103538101,655.398081312704,0.654586672782898,426.94988164863884,256.040996758979,531.9847568289919,0.9059771895408628,433.4748372218272,-49.561095346081,508.168384481034,0.6264055371284485,559.539790010071,305.6121756493472,342.2083809110627,0.4683287441730499,520.1910770452301,-111.18567942123072,350.5706856658993,0.7989583015441895,742.2696150687276,336.943362773875,169.0573174378275,0.8794389963150024,724.302364549599,-162.12865677681515,166.2970244220561,0.8641719818115234,413.3592640972585,196.13217759068826,32.02516330028672,0.2683181166648865,453.981861372404,-26.103518200581693,82.6010633803312,0.2863237261772156,230.08676821357528,176.49372046969998,-805.2122567272568,0.016719311475753784,508.1105914178106,-69.23618525158358,-432.6116856818876,0.02169579267501831,227.70307386620533,137.70734483317517,-774.1322093147872,0.009602278470993042,511.61480860194513,-80.41129794687377,-477.14784340684713,0.013545185327529907,1761.13,1633.24,5.07,0.06,1761.26,923.91,7.0,179.85,1761.2,947.87,6.92,179.85,1761.16,961.72,6.87,179.85,2709.69,660.32,7.79,142.36,2700.63,672.06,7.78,142.36,1536.04,868.61,7.89,268.61,1732.93,873.28,6.8,268.68,1760.99,1029.25,8.59,179.85,1746.87,873.6,6.82,268.87,1761.46,873.85,6.92,269.13,1775.25,874.06,6.98,269.47,,,,,,,,,4a,7,1568223547
26396,26396,1104.1332511863252,1568224419.6334536,1104.1332511863252,-89.57974578909443,565.5535452425246,110.10284688781978,617.8704700300227,0.99595844745636,586.7449190466492,137.16873674195114,669.4883834200161,0.9964616894721984,593.8877646165523,78.94192930107977,664.6828444272202,0.9628341197967528,570.5478212733899,174.02648336699372,691.8645459006892,0.8608042597770691,502.7198019917593,17.348463403600668,652.7096214649193,0.6439195275306702,424.1981673168645,259.6173858796891,534.7981558184863,0.8696008324623108,441.76730878293836,-48.70592436822396,502.8818429028779,0.7270592451095581,561.8015323381787,306.1617274632467,353.41686480454763,0.3767983317375183,537.2006335589217,-107.19592008468149,342.6282383650793,0.9126325249671936,730.930031233455,335.0981657276997,167.18607053468176,0.8894195556640625,723.1361493492321,-161.97039228693276,173.7270191696591,0.5619922876358032,436.7243677882717,190.45027097388427,48.986767642491294,0.19887042045593264,467.23864226348303,-33.91936931126007,66.89899413365565,0.24903839826583865,221.10637485163517,180.9972604599859,-812.2816442852046,0.030080795288085938,487.71695347471314,-84.46700702297291,-449.9257202671873,0.02879175543785095,201.69113182675102,144.74817505078715,-800.5429492266296,0.03764769434928894,498.7788672074929,-92.71596104331823,-492.6899293537402,0.0945536196231842,1761.13,1633.4095810502588,5.063349762734951,0.056674881367475775,1761.26,923.6739165770907,7.009975355897572,179.85,1761.2,947.6405668143558,6.926650237265049,179.85,1761.1633251186329,961.4905668143558,6.899926067692717,179.85,2709.8462805757285,660.1138426447835,7.813275830427671,142.36,2700.789605694361,671.857167763416,7.789975355897572,142.36,1535.7806407466628,868.603349762735,7.863399050939805,268.61,1732.700566814356,873.2766748813673,6.813300474530097,268.68,1760.99,1028.964039797603,8.58334976273495,179.85,1746.6438919329885,873.5966748813673,6.82,268.85004928820484,1761.2305668143558,873.8466748813673,6.896724169572329,269.13,1775.0205668143558,874.0566748813674,6.960049288204856,269.45004928820487,,,,,,,,,4a,7,1568223547
26397,26397,1104.166528828118,1568224419.6667426,1104.166528828118,-105.0812464269955,564.1157632140594,118.5199144270274,620.2076580931036,0.997136116027832,578.2247974921928,147.89518261448222,669.2183336998504,0.9922889471054076,605.3932811066787,87.387701854912,672.4155236546151,0.9468032121658324,569.6171095608504,179.21978422416058,687.0266992279139,0.7930717468261719,523.7102183046559,20.55263086426828,664.0086978535347,0.8760524988174438,437.1340800519182,258.24566759769607,538.9129625964608,0.9180675745010376,435.07282352947135,-48.37899316251479,510.1226670419979,0.630521297454834,570.9263450468078,307.69591043770225,329.49248318107533,0.6153104901313782,523.2850120250965,-110.71445847086838,336.34583058749143,0.6955565810203552,734.2375783570895,333.123935217881,165.8455523936626,0.8954862356185913,742.8666809325152,-159.45971726412702,177.72024433738247,0.8213644027709961,424.3413489095549,182.69820067774484,54.451852643376036,0.3159862160682678,455.72082809113874,-32.888189655791024,68.87476273736581,0.26777398586273193,200.53263593565984,186.9386371584056,-793.9876040059476,0.03808128833770752,513.2065023328962,-76.19905495296601,-389.7649146577255,0.06906592845916748,220.78499321082268,145.57131627392823,-784.2014269694247,0.011986047029495241,471.9561202764656,-89.91697617935156,-514.7600910526469,0.06150621175765991,1761.13,1633.5792970234022,5.056694234376382,0.05334711718819106,1761.26,923.4376453203616,7.019958648435428,179.85,1761.2,947.4109510859853,6.9333057656236186,179.85,1761.1666528828118,961.2609510859853,6.929875945306281,179.85,2710.0026854921553,659.9075212656679,7.836570179682663,142.36,2700.949338374967,671.6541741484798,7.7999586484354255,142.36,1535.521075140679,868.5966942343764,7.836776937505528,268.61,1732.470951085985,873.2733471171882,6.826611531247235,268.68,1760.99,1028.6778520781843,8.576694234376383,179.85,1746.417603968797,873.5933471171883,6.82,268.8300827031292,1761.0009510859852,873.8433471171883,6.873429820317337,269.13,1774.7909510859852,874.0533471171883,6.940082703129146,269.4300827031292,,,,,,,,,4a,7,1568223547
26398,26398,1104.2,1568224419.700225,1104.2,-83.61505469189494,570.7762174877171,117.19119328112735,623.7203582038608,0.9978263378143308,585.0354347383485,146.82436448349574,671.2209778426594,0.9944281578063964,593.5443740183291,82.50388013770592,667.9078412688792,0.9567095041275024,567.7049738569755,182.849604757788,686.0364812656927,0.7841825485229492,522.590914916599,25.477479104394213,663.1501826175538,0.7377532124519348,423.8951060151392,262.5481456669545,538.5194896677837,0.8810484409332275,433.2917773712962,-42.945775632826646,521.4943784160383,0.5329484343528748,567.3302258909622,305.35545414766847,336.534535005577,0.9363926649093628,522.6494963326435,-109.35893339319044,351.18040273191434,0.7628984451293945,737.2939192742032,337.4383115912363,168.05529899382918,0.8445325493812561,727.6489110705742,-166.9541001070007,165.3535933738919,0.9170734882354736,451.13789607887816,180.6504246424908,68.99122897654097,0.15588966012001038,426.82719446402086,-32.8875593407256,69.07473273989007,0.2009270191192627,192.78100489088737,191.46050704720366,-774.2223050989937,0.03956812620162964,650.128141598231,-51.74904526287683,-167.01717711914094,0.049962639808654785,217.0054693779053,149.27382251619719,-788.9936037040594,0.018413782119750977,407.9463306594776,-94.82209104598564,-570.1721759706747,0.014828890562057497,1761.13,1633.75,5.05,0.05,1761.26,923.2,7.03,179.85,1761.2,947.18,6.94,179.85,1761.17,961.03,6.96,179.85,2710.16,659.7,7.86,142.36,2701.11,671.45,7.81,142.36,1535.26,868.59,7.81,268.61,1732.24,873.27,6.84,268.68,1760.99,1028.39,8.57,179.85,1746.19,873.59,6.82,268.81,1760.77,873.84,6.85,269.13,1774.56,874.05,6.92,269.41,,,,,,,,,4a,7,1568223547
26399,26399,1104.2327113293582,1568224419.7335775,1104.2327113293582,-83.70171230676692,563.0425216500828,120.12623216946491,623.5828470854102,0.9984750747680664,574.8842361954073,150.490284210509,667.28611089329,0.9952472448349,597.5402585812571,87.56455061802285,670.1524892624664,0.9969761371612548,568.1100154317924,184.58012799333144,688.4546624717383,0.7722880840301514,540.6630270416349,33.61484320453132,673.7119593913094,0.7227417230606079,434.0008838981788,262.1801787791919,534.7460853364132,0.8860945701599121,430.8226108957537,-42.22068741237858,519.7863523949745,0.506240725517273,579.8709006196062,303.98127731401195,327.04671509705435,0.5250503420829773,531.412121950218,-112.14056268112414,354.40207558456717,0.7533989548683167,731.6005595639499,335.0591209149466,164.61335116971358,0.8693104386329651,738.5957894012666,-165.83243704044563,169.8085327096751,0.9165089726448059,455.7585764727585,176.17670380275294,87.24464856385202,0.10828426480293274,433.220275339353,-39.37066142386284,59.47681531675478,0.14234265685081482,124.39639102080594,194.12753719332954,-780.9974642327434,0.026867061853408813,488.1258213163877,-72.0042171687825,-382.4876063657428,0.02913883328437805,210.49339419341584,169.79012585378726,-794.2574405189372,0.006309092044830322,381.1455217795167,-72.68815368657359,-600.424708852339,0.004690676927566528,1761.13,1633.9135566467908,5.05,0.05,1761.263271132936,922.9742918274287,7.013644335320931,179.85,1761.2,946.951020694493,6.946542265871629,179.85,1761.17,960.801020694493,6.946915468256745,179.85,2710.317014380919,659.5004608909154,7.840373202385117,142.36,2701.2637432479833,671.2471897579796,7.800186601192559,142.36,1535.0048516310064,868.5834577341284,7.813271132935814,268.61,1732.0175629603643,873.2634577341282,6.853084531743255,268.68,1760.99,1028.1119537004558,8.556915468256745,179.85,1745.964291827429,873.5834577341284,6.836355664679068,268.7903732023851,1760.5442918274289,873.8367288670642,6.859813398807441,269.13,1774.3375629603647,874.0467288670642,6.897102069449304,269.3871020694493,,,,,,,,,4a,7,1568223547
26400,26400,1104.2656352157137,1568224419.7671466,1104.2656352157137,-97.087009813146,569.2463450077925,122.71533091478298,626.9801641864105,0.9983421564102172,578.4313693394895,150.85637211621088,666.9141992844411,0.993236780166626,592.6642270814386,90.02721892940319,667.8776118011513,0.9962484836578368,572.0665781279407,187.31241344471783,688.5903588706967,0.8239904046058655,573.5437987983219,40.895944311376255,686.7656575334265,0.7938213348388672,425.3045222371972,262.7663574051116,534.3732499610965,0.8653079271316528,438.9569743625225,-41.91458727412081,527.2620249885135,0.528144896030426,573.3763640187506,304.14046408933035,319.4439490967372,0.4597080647945404,515.35654091326,-111.91181688753336,345.02425067132896,0.6382949948310852,732.8234702521429,339.40322966181225,168.29466751276115,0.7804139852523804,742.1497827779805,-163.50602971062534,173.40969611636024,0.9284664392471312,455.82363410981554,178.6338321708433,99.14631226863469,0.15027102828025818,414.0499870802597,-44.2509700424881,58.19167314758053,0.11441510915756226,257.3934341767213,194.90787770585587,-590.8630171338939,0.01821836829185486,487.2857687540345,-92.76651784832347,-331.0372605983238,0.03757348656654358,223.02106577367283,175.08139341628066,-778.372780810599,0.0009997785091400146,382.36820234389296,-84.09455352142362,-615.1412275889376,0.0040982067584991455,1761.13,1634.0781760785685,5.05,0.05,1761.2665635215712,922.7471170115754,6.997182392143142,179.85,1761.2,946.720553490004,6.953127043142742,179.85,1761.17,960.5705534900039,6.933745913714514,179.85,2710.475049035426,659.2996251841463,7.820618870571772,142.36,2701.418485513854,671.043061662575,7.790309435285885,142.36,1534.7480453174328,868.5768729568573,7.816563521571371,268.61,1731.7936805331467,873.2568729568573,6.866254086285486,268.68,1760.99,1027.8321006664335,8.543745913714513,179.85,1745.7371170115757,873.5768729568573,6.852817607856858,268.7706188705717,1760.3171170115756,873.8334364784288,6.869690564714113,269.13,1774.1136805331466,874.0434364784287,6.8740553490004,269.3640553490004,,,,,,,,,4a,7,1568223547
