,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,K_in-H_out.14_x,K_in-H_out.14_y,K_in-H_out.14_speed,K_in-H_out.14_angle,K_in-H_out.15_x,K_in-H_out.15_y,K_in-H_out.15_speed,K_in-H_out.15_angle,K_in-H_out.16_x,K_in-H_out.16_y,K_in-H_out.16_speed,K_in-H_out.16_angle,K_in-H_out.17_x,K_in-H_out.17_y,K_in-H_out.17_speed,K_in-H_out.17_angle,Q_in-J_out.7_x,Q_in-J_out.7_y,Q_in-J_out.7_speed,Q_in-J_out.7_angle,K_in-H_out.18_x,K_in-H_out.18_y,K_in-H_out.18_speed,K_in-H_out.18_angle,K_in-H_out.19_x,K_in-H_out.19_y,K_in-H_out.19_speed,K_in-H_out.19_angle,H_in-K_out.16_x,H_in-K_out.16_y,H_in-K_out.16_speed,H_in-K_out.16_angle,H_in-K_out.17_x,H_in-K_out.17_y,H_in-K_out.17_speed,H_in-K_out.17_angle,H_in-K_out.18_x,H_in-K_out.18_y,H_in-K_out.18_speed,H_in-K_out.18_angle,Q_in-J_out.8_x,Q_in-J_out.8_y,Q_in-J_out.8_speed,Q_in-J_out.8_angle,Q_in-J_out.9_x,Q_in-J_out.9_y,Q_in-J_out.9_speed,Q_in-J_out.9_angle,H_in-K_out.19_x,H_in-K_out.19_y,H_in-K_out.19_speed,H_in-K_out.19_angle,K_in-H_out.20_x,K_in-H_out.20_y,K_in-H_out.20_speed,K_in-H_out.20_angle,H_in-K_out.20_x,H_in-K_out.20_y,H_in-K_out.20_speed,H_in-K_out.20_angle,H_in-K_out.21_x,H_in-K_out.21_y,H_in-K_out.21_speed,H_in-K_out.21_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,scenario,participant_id,source_file
30381,30381,955.9498872083003,1568374025.721917,955.9498872083003,-85.25999176506312,-2.5647972639622574,606.0415039128088,37.77163799795979,690.5832178295012,0.9987789392471312,598.7736411275591,71.4219888450727,734.1695521203517,0.9981374740600586,589.8494515656289,4.943820016243323,728.5645100155707,0.9893407821655272,556.0929441041436,110.94115258087395,733.0629794094988,0.9006837606430054,501.0297362939035,-42.63331390399983,700.1015632632239,0.648722767829895,488.3080636096569,180.61918061415244,580.910649604114,0.8276187181472778,487.1847723245015,-72.50270794775486,569.4335479770332,0.8343272209167479,568.7783528035548,266.19937404544805,364.29841788238303,0.31260213255882263,531.7136348162232,-163.02686556137976,321.50255018317847,0.6983833909034729,790.9164472312483,290.0831018295006,217.19859413722168,0.8733699321746826,725.2785090322816,-171.84382604477568,184.474345097638,0.8625065088272095,364.18300495046674,163.74991756679736,151.98926876095354,0.2292682528495789,433.9690794376622,-22.85345757607748,185.02774185766785,0.4332914352416992,636.5263488755851,182.5437856483546,-22.683826595522607,0.44291219115257263,698.9434155132535,-26.177141107807252,54.645561576024534,0.4956426918506622,384.8265731557538,209.7938032759957,-659.1356331165338,0.010655820369720459,601.1118714845927,-22.682518246359944,-399.85214213066126,0.009892463684082031,1762.14,1634.8094811581814,4.634988720830032,359.41501127917,2657.7748308124505,752.525710587708,6.61510151252971,166.91,2654.5448308124505,766.4107218668779,6.594921045810225,166.91,2651.224830812451,780.7107218668779,6.579864649960388,166.91,2647.8948308124504,795.025710587708,6.620157908379549,170.0762519878664,1760.85,788.1909700086172,8.554966162490096,180.37,2646.2049210458104,808.2807444252179,6.624875929130354,173.91,2644.7649210458108,821.7607444252177,6.66510151252971,173.91,1553.0808572169174,869.0300225583399,7.6249210458102255,268.61,1568.8558459377475,869.4100225583397,7.59505639584984,268.61,1760.070766983558,873.8250112791701,6.744898487470289,269.13,1761.13,831.1960038461273,8.809909766640258,180.37,1760.44,1239.225755704388,6.735033837509903,179.85,1771.4756429126885,874.0,5.735033837509903,269.13,2643.3249210458107,835.2007444252179,6.6850563958498395,173.91,1782.1155301209885,874.12,4.6849436041501615,269.55,1791.875417329289,874.19,3.5797969749405802,269.55,201.36401871221284,2108.1852143042292,8.925011279169967,102.2,,,,,,,,,,,,,4a,10,1568373023
30382,30382,956.0,1568374025.7560258,956.0,-87.21411878239915,-0.5213235137657132,609.321897959647,39.0963238327572,691.5510729118766,0.9988786578178406,604.2722892858318,72.41033076713808,735.8886111795192,0.9983370304107666,597.0777552714187,6.530484517270622,730.8927417562115,0.9908683300018308,557.4075740068911,112.39231034731532,733.0566516732882,0.9032078981399536,510.1895831045192,-41.459839972095324,703.5228341181851,0.6167038083076477,488.469711311338,180.55859147430886,580.6340147715341,0.843124508857727,484.35979213780007,-72.23501321510327,568.1751987614738,0.8324671387672424,569.2846378306451,265.0160219251024,366.5932222005432,0.3792561888694763,530.1217886497831,-162.5292554370013,319.0991006227236,0.7110549211502075,780.1490502090203,292.57346194102195,211.399466658852,0.8977867960929871,726.8723826760037,-171.33092320026032,183.1990986157613,0.8526263236999512,370.19445311372397,161.94336491253094,153.35535178502454,0.2287459373474121,440.0907177684337,-26.237195863010264,186.86607352288644,0.5804114937782288,622.8924551223718,184.24189829816456,-34.558268977849565,0.3875823616981505,722.1284836956563,-26.94799056811476,62.809543962770356,0.22996440529823306,369.4761261385182,209.12545150165573,-672.1034407895561,0.01075693964958191,611.7238557854755,-44.609370412400075,-404.8964934186139,0.023826450109481808,1762.14,1635.04,4.64,359.41,2657.85,752.21,6.57,166.91,2654.62,766.09,6.63,166.91,2651.3,780.39,6.64,166.91,2647.97,794.71,6.55,169.52,1760.85,787.76,8.57,180.37,2646.24,807.95,6.68,173.91,2644.8,821.43,6.62,173.91,1552.7,869.02,7.66,268.61,1568.48,869.4,7.57,268.61,1759.73,873.82,6.79,269.13,1761.13,830.75,8.85,180.37,1760.44,1238.89,6.72,179.85,1771.19,874.0,5.72,269.13,2643.36,834.87,6.66,173.91,1781.88,874.12,4.71,269.55,1791.69,874.19,3.67,269.55,201.8,2108.09,8.92,102.2,,,,,,,,,,,,,4a,10,1568373023
30383,30383,956.0329758155284,1568374025.7892756,956.0329758155284,-85.19397042395069,0.2924560666105401,609.21048841623,40.82640749126849,692.3778545377947,0.9989210367202759,591.8460836290251,75.57859671154489,732.3720522485263,0.9985166788101196,597.047225375776,8.316630715107628,732.1785693904675,0.9922147989273072,555.7511756592655,115.82840392903326,732.9045117640767,0.8901048302650452,510.15457112708197,-40.848298144024696,704.7757015016339,0.6558502316474915,496.2126361650203,183.21397131958682,582.9488520416944,0.8323417901992798,484.02479315043297,-72.7176691160996,567.9253046277929,0.8262918591499329,573.5740457228568,268.8402500867274,359.4889520893973,0.6797932982444763,525.3942032893266,-162.62995964419355,316.37937241430325,0.7295824885368347,789.8573874776644,292.03686770432233,215.23028370092769,0.8905943632125854,739.2909672569072,-168.79023208767802,185.5403225537175,0.7868114709854126,369.82833556040197,162.96025115267818,150.50934956214704,0.3010634183883667,437.9339331098083,-26.72883637905869,170.4907837997834,0.07328638434410095,623.9168770049696,192.75832051213558,-30.28655947749197,0.5296782851219177,786.2144430345132,-24.417393891016715,87.55926205890188,0.2876904606819153,352.13972494370023,229.91994452415184,-684.0790385233245,0.008558005094528198,629.3598792001453,-40.02295781474457,-389.132783580493,0.0403648316860199,1762.1367024184472,1635.1949863329835,4.63670241844716,359.4198927446585,2657.89616614174,751.9989547806183,6.563404836894321,166.91,2654.669463723293,765.8756571990656,6.636595163105679,166.91,2651.34616614174,780.1789547806183,6.630107255341481,166.91,2648.019463723293,794.4956571990656,6.5961661417397535,169.15067086608195,1760.846702418447,787.4764079864557,8.57,180.37,2646.26308307087,807.7356571990656,6.650321766024443,173.91,2644.82308307087,821.2156571990654,6.629892744658519,173.91,1552.4460862204314,869.0134048368942,7.66329758155284,268.61,1568.2260862204316,869.3934048368942,7.589785489317037,268.61,1759.5090620359595,873.8167024184472,6.753726602918764,269.13,1761.1267024184472,830.463110404903,8.826916929130123,180.37,1760.44,1238.6690620359598,6.7002145106829625,179.85,1770.9987402699353,873.9967024184473,5.749678233975557,269.13,2643.386380652423,834.6523596175126,6.673190326211357,173.91,1781.7217160854639,874.1167024184473,4.723190326211358,269.55,1791.5679894825448,874.19,3.67329758155284,269.55,202.08688959509703,2108.027345950496,8.926595163105679,102.2,,,,,,,,,,,,,4a,10,1568373023
30384,30384,956.0662424689535,1568374025.8228188,956.0662424689535,-87.56085404488725,-0.4612369534812284,612.8610486957838,42.835891997813675,693.6810735995692,0.998876452445984,594.5720768554513,77.62658461019672,733.7672950727856,0.9985859990119934,596.8921302361613,10.166711713282856,732.7193820941698,0.992867648601532,555.8320370024055,118.3237719811516,732.5682216331636,0.8510674238204956,503.98370211880064,-39.55932385758224,701.2844569129994,0.6561404466629028,482.28488307732607,186.68348288163068,576.844794341227,0.7937840819358826,487.30164364052735,-72.08043365846719,569.1989645363396,0.854013204574585,583.5446695495242,283.05476599655145,361.76799225479033,0.9698462486267092,531.8435265047873,-158.8063661844878,322.76181404950404,0.785686731338501,794.7453970698673,286.59262520479166,215.33942740759946,0.8756965398788452,739.4883088931674,-167.9117654980605,181.37273367364463,0.8340702056884766,375.03632845238263,162.15079406992132,147.40708287189,0.25813233852386475,450.6257109765382,-25.92548245985963,160.36457576442868,0.1979251205921173,664.482052890874,192.39308702024502,-1.7158540045484756,0.456462562084198,805.4737037999298,-21.385175763575283,92.47601038631538,0.21016934514045715,299.41667640131806,249.17401125722458,-741.5827564732759,0.013233780860900879,622.1442271848837,-42.08848479360015,-403.6291019961717,0.04450139403343202,1762.133375753105,1635.351339604082,4.6333757531046365,359.4298727406861,2657.942739456535,751.7860481986968,6.556751506209273,166.91,2654.71936370343,765.6594239518013,6.643248493790726,166.91,2651.3927394565358,779.9660481986967,6.620127259313911,166.91,2648.06936370343,794.2794239518013,6.642739456535084,168.7780843477193,1760.8433757531045,787.1903147669988,8.57,180.37,2646.2863697282673,807.5194239518013,6.620381777941732,173.91,2644.846369728268,820.9994239518013,6.63987274068609,173.91,1552.189932989057,869.0067515062093,7.6666242468953625,268.61,1567.969932989057,869.3867515062093,7.609745481372179,268.61,1759.2861754580106,873.8133757531047,6.7171332841510045,269.13,1761.123375753105,830.1736905201033,8.803630271732457,180.37,1760.44,1238.4461754580107,6.680254518627821,179.85,1770.805793680069,873.9933757531046,5.779618222058268,269.13,2643.412993975163,834.4327997049062,6.686496987581452,173.91,1781.5620361490226,874.1133757531046,4.736496987581454,269.55,1791.4449028648714,874.19,3.676624246895363,269.55,202.37630947989655,2107.9641393089887,8.933248493790726,102.2,,,,,,,,,,,,,4a,10,1568373023
30385,30385,956.1,1568374025.8568568,956.1,-85.37763061021238,0.807074072672722,613.1677574948209,44.497146480471336,693.7186340915262,0.99881249666214,601.8640732148845,79.26745096766878,736.5381864624492,0.9986530542373656,600.4429819327336,11.113886765047994,734.0912683834558,0.9938985109329224,556.4412216621391,120.23111262688158,731.4548138944214,0.8471827507019043,529.0608366448571,-37.34750723624661,710.3299233067163,0.633991539478302,487.9160765431064,187.90252112062248,579.8859868643914,0.777388334274292,484.5903376741472,-70.24571000066456,567.7811487299418,0.8622617125511169,589.4547392733112,284.3582371256913,361.9355339678455,0.9703481197357178,532.843963671445,-155.6410812313902,323.81946971549405,0.8051175475120544,788.6565409155281,287.5436969026312,210.8242062667624,0.8716853857040405,755.2934644922908,-164.01059614878704,193.4307940815804,0.8737366795539856,371.7936326889848,165.4338897971625,148.16540260563173,0.2696138620376587,464.4873911508204,-24.585643635385235,156.90430009274638,0.32012102007865906,695.6975006992574,188.4050022001696,17.43872385113184,0.2189914584159851,774.5901573877211,-17.27456776658807,68.13886075630491,0.36208420991897583,309.36122656607387,251.11522530291288,-729.7898676919608,0.014102935791015625,606.1713726145109,-66.4649477233572,-426.61491664501517,0.09883764386177064,1762.13,1635.51,4.63,359.44,2657.99,751.57,6.55,166.91,2654.77,765.44,6.65,166.91,2651.44,779.75,6.61,166.91,2648.12,794.06,6.69,168.4,1760.84,786.9,8.57,180.37,2646.31,807.3,6.59,173.91,2644.87,820.78,6.65,173.91,1551.93,869.0,7.67,268.61,1567.71,869.38,7.63,268.61,1759.06,873.81,6.68,269.13,1761.12,829.88,8.78,180.37,1760.44,1238.22,6.66,179.85,1770.61,873.99,5.81,269.13,2643.44,834.21,6.7,173.91,1781.4,874.11,4.75,269.55,1791.32,874.19,3.68,269.55,202.67,2107.9,8.94,102.2,,,,,,,,,,,,,4a,10,1568373023
30386,30386,956.1329022458192,1568374025.8900118,956.1329022458192,-85.30726603344749,6.184322012155883,614.4605788736193,48.2961831604976,691.4636651498306,0.9989188313484192,602.7445595274082,81.24921035698763,735.9806804095758,0.9987056851387024,600.7468476082079,13.925116832543276,734.2483148681508,0.9943571090698242,550.2510310232312,122.90095623902872,728.3464970558983,0.8440840840339661,527.2728483672629,-33.98796424508803,710.4912126834231,0.5892699956893921,489.03434885478316,190.3266249383342,579.9546509639653,0.7636041641235352,490.42514513208135,-63.999529193111236,561.8380749327463,0.28808778524398804,580.2261501413917,275.4676347581273,361.7995465007042,0.7323733568191528,542.2930413431675,-162.62165192260338,338.3100036106289,0.9880917072296144,793.1534747872456,288.04770183580575,214.1124964728457,0.9041032791137696,745.4045455426062,-164.55671643763725,194.1232983913161,0.6624559164047241,380.9472018959967,165.0902074232159,151.51376117777832,0.2620323300361633,448.8903430555609,-24.029063904092634,141.9749590395547,0.27928346395492554,698.8606947237191,186.15435717765456,18.936486908056622,0.21687594056129456,769.5527586926868,-13.942344896874655,64.82520044169435,0.3919902741909027,292.9810829243158,253.97640996380372,-749.8028801215521,0.015524119138717653,607.4943914623036,-77.13274224819605,-429.6818546348062,0.08522117137908937,1762.13,1635.6613503307688,4.63,359.46632179665534,2658.039353368729,751.3594256267568,6.586192470401207,166.91,2654.819353368729,765.2294256267568,6.626968427926505,166.91,2651.489353368729,779.5361354021746,6.629741347491567,166.91,2648.169353368729,793.8494256267566,6.653807529598793,168.034785071406,1760.84,786.6170406859543,8.58645112290964,180.37,2646.333031572073,807.0828451775927,6.622902245819278,173.91,2644.893031572073,820.5628451775927,6.630258652508433,173.91,1551.6799429317734,868.9934195508362,7.6403879787626465,268.61,1567.4566527071916,869.3734195508362,7.649741347491567,268.61,1758.839554953011,873.806709775418,6.683290224581929,269.13,1761.12,829.5871700122084,8.796451122909641,180.37,1760.443290224582,1237.9995549530106,6.686321796655424,179.85,1770.4191669742481,873.9867097754179,5.81,269.13,2643.4630315720733,833.9961354021747,6.6736782033445765,173.91,1781.2420692200674,874.11,4.7927729195650635,269.55,1791.1982616904684,874.19,3.706321796655424,269.55,202.95953976320962,2107.837485732944,8.943290224581927,102.2,,,,,,,,,,,,,4a,10,1568373023
30387,30387,956.1685069513452,1568374025.92589,956.1685069513452,-85.23685562761618,8.474405976769306,611.4496358682011,51.23326876489674,689.3224588602002,0.9990742206573486,603.0538634947587,84.40204365338461,735.6908234717267,0.9985992908477784,597.1917713589796,16.505033772624632,733.2253968587523,0.9940502643585204,559.2864352184704,125.74302796468453,731.8557057267093,0.813881516456604,532.691694892884,-30.99101447055153,714.6753727503277,0.5844034552574158,485.6216726805529,197.7851398746891,587.8544182597177,0.9566692113876344,487.09832271659127,-72.50440084694843,570.3956146935068,0.9433246850967408,568.5844555012952,269.8028017014936,366.5605037288305,0.3957846462726593,541.4956577053513,-152.95855594289992,331.01559204866294,0.8289290070533752,788.725903828188,287.3353227230882,210.09651171255348,0.8821690678596497,725.9627519918024,-167.89347901442645,172.23960196751358,0.893519401550293,387.44242535584993,170.21051045558605,162.92447110218325,0.4487418234348297,450.61384733981834,-25.082295919519485,141.2815680651071,0.2556923031806946,707.9459892860872,187.1741916524688,25.079081037963252,0.38025030493736267,772.9631243185031,-13.407498529701504,65.70604929156372,0.41786351799964905,250.1059117191596,263.57649117199315,-800.1779278646111,0.0240362286567688,,,,0.07849618792533875,1762.13,1635.8251319761885,4.63,359.4948055610762,2658.0927604270173,751.1315555113903,6.625357646479796,166.91,2654.872760427018,765.0015555113903,6.602045134058312,166.91,2651.542760427018,779.3047048162558,6.651104170807161,166.91,2648.2227604270183,793.6215555113903,6.614642353520204,167.6395728400675,1760.84,786.3108402184306,8.604253475672634,180.37,2646.3579548659422,806.847854121121,6.658506951345268,173.91,2644.9179548659413,820.3278541211212,6.6088958291928375,173.91,1551.409347169776,868.986298609731,7.608343743789258,268.61,1567.1824964746413,869.366298609731,7.671104170807163,268.61,1758.6010034259866,873.8031493048654,6.686850695134528,269.13,1761.12,829.2702881330272,8.814253475672635,180.37,1760.4468506951346,1237.7610034259867,6.714805561076214,179.85,1770.2126596821977,873.9831493048656,5.81,269.13,2643.487954865942,833.7647048162557,6.645194438923785,173.91,1781.0711666335428,874.11,4.83905903674885,269.55,1791.0665242800226,874.19,3.734805561076215,269.55,203.27286117183843,2107.769836792444,8.946850695134525,102.2,,,,,,,,,,,,,4a,10,1568373023
30388,30388,956.2,1568374025.957625,956.2,-85.1663998893388,7.341008295408241,611.47370902711,52.69621010729187,688.8877106180902,0.9990501403808594,596.2653643559987,86.64149480834841,732.6495650740759,0.9984439015388488,588.2953839360258,17.260094012739483,729.5865435489711,0.9940956830978394,556.0567763365368,127.04568094038841,729.5999992131906,0.8310565352439879,519.7259844571909,-28.175557884895625,710.4449877569841,0.5841322541236877,493.8399605676607,199.64333323734212,590.136916873565,0.9525010585784912,491.0896283999581,-70.07637670233733,573.0692163708039,0.936509907245636,571.5651983165883,268.94413170545465,370.5052521502546,0.3617117404937744,534.69318978154,-152.68722246593313,324.0497075569133,0.8100123405456543,784.7965514014265,287.68013643022425,208.6768131760385,0.8702252507209778,748.161112035342,-167.04880572847418,184.6742888448087,0.842565655708313,390.00423073880586,171.89099311428103,164.819713333229,0.4937523007392883,437.44877252457024,-25.43548958787163,131.98994366215848,0.2860337495803833,742.4870774386262,184.69072807516704,48.66050945242685,0.2750657498836517,792.4083052456607,-11.16316064698239,78.08375915108797,0.4654334485530853,284.2333128081552,258.7846864003611,-769.4744719186943,0.011517554521560669,591.2056766238493,-88.08880458514533,-452.6038486886529,0.09994179010391237,1762.13,1635.97,4.63,359.52,2658.14,750.93,6.66,166.91,2654.92,764.8,6.58,166.91,2651.59,779.1,6.67,166.91,2648.27,793.42,6.58,167.29,1760.84,786.04,8.62,180.37,2646.38,806.64,6.69,173.91,2644.94,820.12,6.59,173.91,1551.17,868.98,7.58,268.61,1566.94,869.36,7.69,268.61,1758.39,873.8,6.69,269.13,1761.12,828.99,8.83,180.37,1760.45,1237.55,6.74,179.85,1770.03,873.98,5.81,269.13,2643.51,833.56,6.62,173.91,1780.92,874.11,4.88,269.55,1790.95,874.19,3.76,269.55,203.55,2107.71,8.95,102.2,,,,,,,,,,,,,4a,10,1568373023
30389,30389,956.2329273754933,1568374025.9907513,956.2329273754933,-85.0958993233522,3.3097560134011137,615.2598265248449,54.537228331983535,689.8453271741382,0.9991987347602844,599.6699949574037,87.58052281609021,733.3005019878673,0.9984536170959472,597.0389726734189,19.725995198759342,731.9403423603502,0.9949049949645996,564.3360377884073,127.85285769594515,731.5801845092602,0.8418614864349365,541.1958557971147,-24.458609100585235,719.5651176762183,0.6772460341453552,494.0682274372688,199.0581357771328,591.1026257734368,0.9486722946166992,492.6012660866175,-63.66154171661805,571.4831864456547,0.9811763763427734,575.0401872197939,268.98053747545373,373.82416661846963,0.2747565507888794,537.4079006051038,-162.4094347901794,335.77376253976024,0.9873853921890259,781.2794614032974,288.94980122724473,206.8582743805309,0.8626658916473389,737.6577680382593,-171.27058080710262,176.8636830758479,0.8493156433105469,413.7450361220351,167.36943871950137,179.94140717727527,0.4493488073348999,438.1091548848906,-27.454540073597784,126.60754306185913,0.4420713782310486,756.7176985502931,182.63385216693408,60.7237677145051,0.3118436336517334,793.7106873735013,-15.232458431088581,77.53950222059913,0.3353756368160248,314.54437298060435,255.8612383749392,-736.2277411378267,0.01178017258644104,592.3718709094052,-58.05271696773527,-447.98307500438585,0.03893554210662842,1762.13,1636.1214659272687,4.626707262450682,359.5496346379439,2658.18939106324,750.7159720592942,6.650121787352044,166.91,2654.9693910632395,764.5892647968436,6.589878212647957,166.91,2651.63939106324,778.8892647968436,6.653536312253405,166.91,2648.3160983256907,793.2092647968435,6.593170950197276,167.16487597312587,1760.8367072624505,785.7568245707587,8.62,180.37,2646.403049162845,806.4226793217448,6.666950837154768,173.91,2644.963049162845,819.9026793217448,6.622927375493188,173.91,1550.9197519462518,868.9734145249014,7.589878212647957,268.61,1566.6930446838012,869.3567072624508,7.637316199210898,268.61,1758.1693865841958,873.7967072624506,6.6965854750986376,269.13,1761.1167072624505,828.7035318332092,8.810243574704089,180.37,1760.45,1237.3293865841956,6.71036536205613,179.85,1769.8390212221395,873.9767072624505,5.806707262450682,269.13,2643.529756425296,833.3426793217449,6.6035363122534045,173.91,1780.7553631225342,874.1067072624508,4.893170950197277,269.55,1790.8182904980274,874.1867072624507,3.819269275887741,269.55,203.83646816679072,2107.647437986563,8.943414524901364,102.2,,,,,,,,,,,,,4a,10,1568373023
30390,30390,956.2694280331308,1568374026.0274725,956.2694280331308,-84.08086037663388,3.863605014264745,612.3014111946554,55.64477375686385,687.9477235096724,0.9991495609283448,600.3513115380179,89.39389738615759,732.5313146382422,0.9983952045440674,597.8159779757026,22.133249167871803,731.8067045956736,0.9955143332481384,563.3519534980952,130.02881542564091,728.0905464432118,0.861268162727356,528.1438572139018,-20.69203037592263,714.6951688457827,0.7564229369163513,495.2637129812001,201.82236905996632,589.0428430291373,0.9428659677505492,496.64288379213133,-62.22372995680394,574.0171028646174,0.9801589250564576,572.2991447371086,270.9081487760379,375.72261058967246,0.3163318634033203,549.8566102115742,-156.68964748048296,333.78835808252035,0.8245599865913391,781.974153581856,286.83583325185816,208.25939354779416,0.8860547542572021,724.2398877901386,-172.67012501593953,172.38283682700862,0.8660556674003601,400.8387423997799,168.36926603611968,173.23846910167268,0.4669960141181946,436.2073271070843,-26.547042337890936,119.16663568127716,0.5349077582359314,709.8154788065573,188.37570989771442,58.21306616686326,0.431063175201416,768.075857842816,-19.176226586161206,60.44082688950238,0.3773290514945984,308.52630019866973,258.2659480133418,-742.2739168994917,0.019034594297409058,,,,0.11676493287086487,1762.13,1636.2893689524012,4.623057196686929,359.5824852298177,2658.244142049696,750.4787177846506,6.639171590060791,166.91,2655.0241420496964,764.3556605879636,6.6008284099392105,166.91,2651.694142049696,778.6556605879636,6.6352859834346525,166.91,2648.3671992463833,792.9756605879636,6.60777121325228,167.02617347410333,1760.833057196687,785.442918915076,8.62,180.37,2646.4285996231915,806.1817749813374,6.641400376808512,173.91,2644.9885996231915,819.6617749813374,6.659428033130697,173.91,1550.6423469482068,868.9661143933739,7.6008284099392105,268.61,1566.4192897515195,869.3530571966869,7.578915146990884,268.61,1757.9248321780246,873.7930571966867,6.703885606626138,269.13,1761.1130571966871,828.3859761117631,8.788343180121581,180.37,1760.45,1237.0848321780245,6.6775147701823725,179.85,1769.6273174078422,873.9730571966869,5.80305719668693,269.13,2643.5516568198786,833.1017749813375,6.585285983434652,173.91,1780.5728598343467,874.1030571966869,4.907771213252278,269.55,1790.672287867477,874.1830571966871,3.884970459635256,269.55,204.15402388823708,2107.578086737052,8.93611439337386,102.2,,,,,,,,,,,,,4a,10,1568373023
