,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,K_in-H_out.13_x,K_in-H_out.13_y,K_in-H_out.13_speed,K_in-H_out.13_angle,Q_in-J_out.9_x,Q_in-J_out.9_y,Q_in-J_out.9_speed,Q_in-J_out.9_angle,H_in-K_out.9_x,H_in-K_out.9_y,H_in-K_out.9_speed,H_in-K_out.9_angle,K_in-H_out.14_x,K_in-H_out.14_y,K_in-H_out.14_speed,K_in-H_out.14_angle,H_in-K_out.10_x,H_in-K_out.10_y,H_in-K_out.10_speed,H_in-K_out.10_angle,H_in-K_out.11_x,H_in-K_out.11_y,H_in-K_out.11_speed,H_in-K_out.11_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,Q_in-J_out.12_x,Q_in-J_out.12_y,Q_in-J_out.12_speed,Q_in-J_out.12_angle,K_in-H_out.15_x,K_in-H_out.15_y,K_in-H_out.15_speed,K_in-H_out.15_angle,Q_in-J_out.13_x,Q_in-J_out.13_y,Q_in-J_out.13_speed,Q_in-J_out.13_angle,K_in-H_out.16_x,K_in-H_out.16_y,K_in-H_out.16_speed,K_in-H_out.16_angle,H_in-K_out.12_x,H_in-K_out.12_y,H_in-K_out.12_speed,H_in-K_out.12_angle,Q_in-J_out.14_x,Q_in-J_out.14_y,Q_in-J_out.14_speed,Q_in-J_out.14_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,scenario,participant_id,source_file
27069,27069,843.9664163799789,1568378992.0743625,843.9664163799789,,572.1511924818459,34.47188109186139,673.6916135029974,0.9983758926391602,605.1862125185041,61.65090045518449,744.6432575050017,0.9233793020248412,610.8809188721366,-4.452125743398895,739.9937794531395,0.9016882181167604,572.5868826965223,102.06639900384695,752.5983697000838,0.7381306886672974,544.2593004096054,-40.85715431973433,724.5361878837251,0.2826821506023407,457.46044573398194,181.23899972082432,631.9198865613539,0.9633331298828124,443.27091198447533,-91.93342957415248,594.8261253133887,0.4519988894462586,609.0557843468048,269.282972239446,388.9664530537623,0.7197989225387573,564.3652393642598,-180.4129361026536,402.0249060732428,0.3885327875614166,785.7955622054213,301.4331593136227,216.6617137416499,0.9314451813697816,744.2352838129758,-205.3224161621399,177.09942853376148,0.7928556203842163,445.2927608737538,184.01181221450105,122.47669707386036,0.01190239191055298,422.5948926224843,-56.402711152169076,218.13021807227088,0.10366609692573547,689.0587034378259,160.54822634730573,-80.46278130083408,0.04436236619949342,692.5951633663377,-126.31495998275659,159.61426059966098,0.7864999771118164,438.01427336985086,184.03914480359543,-595.3035144103011,0.011248916387557985,618.5346439702107,7.132140381790942,-209.46819988199036,0.04999852180480957,1761.8401501720127,1601.5984231938671,6.31,354.81634129397264,2767.358648451886,593.8082184441308,8.269924913993675,138.41,1760.79,1106.1684437021497,7.053358362002107,179.85,1399.1600750860064,823.8388191321812,8.556566551991567,181.84,2518.654989745859,874.41,6.65,89.83,1619.6352355121605,870.6767167240042,7.6232832759957825,268.68,1684.2385187881562,872.1633583620021,7.393283275995784,268.68,1760.61,1173.9920273221708,8.15,179.85,1760.37,1265.9485938741625,7.643133103983134,179.85,1760.286641637998,1299.2118771501582,7.576641637997893,179.85,2504.528348107861,874.37,6.6332081899894595,89.83,1760.25,1313.6718771501585,7.533133103983133,179.85,2310.7381979358483,873.81,7.206641637997893,89.83,1743.035610942192,873.5167167240043,9.093283275995782,268.68,1760.21,1328.2018771501582,7.563283275995784,179.85,124.01140612583764,2128.1338839640466,8.026791810010543,106.01,,,,,,,,,,,,,4a,11,1568378102
27070,27070,844.0,1568378992.1080172,844.0,-73.1788499424045,572.2723368899767,29.504777827416,673.5326322587823,0.9978171586990356,599.3974219936002,57.60676334156328,742.127053859833,0.9282455444335938,624.8951084194059,-5.871144839741702,748.5927893683541,0.9698441624641418,513.6722468083125,115.65418665992931,731.990015650724,0.5878400802612305,554.8974276167178,-48.0562295281398,737.9849874679749,0.5425312519073486,454.67944349771375,176.5075254463751,637.303603286696,0.9497373104095459,446.66511139081086,-95.61368953509705,604.2558286747063,0.7424269914627075,626.5758037901505,274.9753149493489,371.04151740406417,0.9180908203125,569.8424868270413,-183.8396262143896,393.15966288238485,0.6723583936691284,793.8391416745649,305.12980607889125,209.99775476831988,0.8995970487594604,748.3298717703449,-204.4896867149614,185.6391905299289,0.7186347246170044,446.4158885276473,187.76700024232602,131.33917479681952,0.011313527822494509,421.5210270816195,-51.96287559204458,223.92075884899361,0.048712342977523804,660.8245039066387,175.87898667292805,-128.37166184137436,0.05975624918937681,691.7454369610347,-127.99632863790308,163.10065153157046,0.8041024208068848,418.80181181517753,181.55208106774512,-615.4524794771617,0.015584945678710938,724.3519891426515,32.23214847203097,-93.11208873116738,0.07556167244911194,1761.82,1601.81,6.31,354.86,,,,,1760.79,1105.93,7.05,179.85,1399.15,823.55,8.57,181.84,2518.88,874.41,6.65,89.83,1619.38,870.67,7.63,268.68,1683.99,872.16,7.4,268.68,1760.61,1173.72,8.15,179.85,1760.37,1265.69,7.67,179.85,1760.29,1298.96,7.58,179.85,2504.75,874.37,6.65,89.83,1760.25,1313.42,7.56,179.85,2310.98,873.81,7.21,89.83,1742.73,873.51,9.1,268.68,1760.21,1327.95,7.57,179.85,124.27,2128.06,8.01,106.01,,,,,,,,,,,,,4a,11,1568378102
27071,27071,844.0333649188307,1568378992.1416812,844.0333649188307,-74.45603026197084,578.7251204395589,29.637065416508445,677.4903809534602,0.9981837272644044,596.1106728443563,56.983903896031435,739.2124167752902,0.9397461414337158,623.8879069297176,-4.323015198970403,747.1384873661493,0.9768977165222168,504.57532552074747,115.27548155681473,727.7104804841672,0.5629756450653076,562.7486035389543,-47.61930932682783,736.1307802824948,0.3593224287033081,466.0043020143779,169.4215018824327,598.7371855141156,0.3192885220050812,449.40239889836073,-93.2047691285732,587.1155797530494,0.17752474546432495,616.4219923886852,266.29325312914136,373.69740237455596,0.9545406103134156,572.1220265072521,-185.81742423103287,388.8282286005197,0.5419029593467712,782.9221050794722,308.5526489228218,214.7309555711072,0.9361795783042908,758.6819243632491,-201.84485277231968,193.75278598990025,0.8438773155212402,426.73698060924033,164.89065620231003,158.76167803676663,0.08941465616226196,415.49813550458236,-57.38470869792114,237.14919602348462,0.14068451523780826,624.1208796598032,165.2587506619755,-71.52514033943274,0.11540117859840393,677.0934666619,-127.67831234342432,162.83267056065432,0.4065851271152496,387.7095551785928,185.61298162088642,-646.1313757368192,0.0070085227489471436,743.4187981211011,17.336598890767945,-69.22649377926979,0.01860183477401733,1761.8066540324676,1602.023535480517,6.320009475649233,355.00680564285545,,,,,1760.79,1105.6997820600675,7.029981048701535,179.85,1399.143327016234,823.2697346818214,8.5399715730523,181.84,2519.1035449561664,874.41,6.666682459415388,89.83,1619.123090125003,870.6633270162338,7.6366729837661556,268.68,1683.7464360925353,872.1533270162338,7.3632985892861464,268.68,1760.61,1173.4497441574706,8.129981048701534,179.85,1760.37,1265.436426616886,7.6366350811692225,179.85,1760.29,1298.706426616886,7.559981048701534,179.85,2504.9735449561663,874.37,6.65,89.83,1760.25,1313.1664266168864,7.576682459415388,179.85,2311.2202274155816,873.81,7.213336491883077,89.83,1742.4263792386398,873.5033270162338,9.083317540584613,268.68,1760.21,1327.696426616886,7.566663508116922,179.85,124.526909874997,2127.983260686689,8.043364918830777,106.01,,,,,,,,,,,,,4a,11,1568378102
27072,27072,844.0665741156455,1568378992.175188,844.0665741156455,-116.00686503532243,579.6764382572461,28.35014393323689,676.4875091411409,0.9971417188644408,602.3107965756924,56.37552502410606,742.2912847221953,0.9291398525238036,617.5679047033616,-7.250040170320107,742.6421737215802,0.9718652963638306,478.0298828495079,118.2997012769662,716.8729840179345,0.6949818730354309,559.9140722432377,-52.715433713533535,731.7545694504407,0.39542195200920105,456.7299250111968,167.566643526772,620.2631543164534,0.5867937803268433,449.2608866328814,-99.40116505577845,599.8454359261217,0.8059062957763672,613.9360261996029,270.02331302920925,394.9695911287236,0.7607764005661011,559.1561619880572,-182.3137202534012,401.8261269577965,0.3253050446510315,784.4148271703901,313.54443201619637,202.6699807789476,0.8681399822235107,752.8733565689149,-206.3712331516758,185.43110830503352,0.5924267172813416,430.59301740806603,179.08572105854566,148.0306218340777,0.008327066898345947,403.6011050869201,-59.34938632877051,233.4927252550289,0.38859397172927856,651.1558115724107,161.00851450700236,-76.29467614721514,0.012283772230148315,679.2226076561311,-122.17278624884086,171.67726582774554,0.32313498854637146,361.4321630416428,187.86012119806176,-671.1406363901747,0.004802197217941284,645.218574637873,-20.485470145837073,-205.16610767141395,0.005370408296585083,1761.7933703537415,1602.2360743401312,6.329972234693644,355.1529261088401,,,,,1760.79,1105.4706386020462,7.010055530612713,179.85,1399.136685176871,822.990777428578,8.510083295919069,181.84,2519.3260465748253,874.41,6.68328705782274,89.83,1618.8673793095295,870.6566851768707,7.6433148231290975,268.68,1683.5040089557879,872.1466851768707,7.326768472789973,268.68,1760.61,1173.1807496632714,8.110055530612714,179.85,1760.37,1265.1840367210946,7.603425884354521,179.85,1760.29,1298.4540367210946,7.5400555306127135,179.85,2505.1960465748252,874.37,6.65,89.83,1760.25,1312.9140367210946,7.5932870578227405,179.85,2311.4593336326475,873.81,7.216657411564548,89.83,1742.124175547626,873.4966851768709,9.06671294217726,268.68,1760.21,1327.4440367210946,7.563342588435452,179.85,124.7826206904702,2127.9068795340154,8.076574115645478,106.01,,,,,,,,,,,,,4a,11,1568378102
27073,27073,844.1,1568378992.2089136,844.1,-81.38711425647449,571.9227585369471,27.537889278513607,666.7353792670423,0.9963542819023132,606.4728835212353,54.51185607479653,741.3180969537517,0.9425522089004515,626.1923752131976,-7.641416982417128,740.7132560276816,0.9692994356155396,463.2433551496167,118.79782592112694,709.0696412954977,0.7006328105926514,570.1559840441379,-52.094332150539074,734.0248695767482,0.3260277509689331,456.81687354180656,178.83535700816466,632.1171902231076,0.927398145198822,444.3581803132058,-98.536275556823,601.6649585484342,0.8657409548759459,613.0501114786707,272.005615724328,399.3505582658578,0.7094532251358032,578.0307300319213,-176.74400111703167,376.281261331394,0.8703740835189819,804.1183071446542,312.60207855863223,212.96134595620083,0.8336065411567688,728.8944222574594,-207.97217710001644,175.7420652974433,0.8285871744155884,432.208900341603,182.91281251531655,143.19630251285346,0.007108181715011597,409.61104166839317,-61.44019618697728,222.0310684005755,0.11459904909133913,670.9915879944243,159.22837643580596,-72.4538038725091,0.022166907787322998,683.3613735782918,-123.988289008052,154.4948589410704,0.1907376945018769,315.5638066662028,190.8712882910939,-723.1162685929628,0.0068927109241485604,591.7308249116011,-49.599279742307,-280.84979855516553,0.0030155181884765625,1761.78,1602.45,6.34,355.3,,,,,1760.79,1105.24,6.99,179.85,1399.13,822.71,8.48,181.84,2519.55,874.41,6.7,89.83,1618.61,870.65,7.65,268.68,1683.26,872.14,7.29,268.68,1760.61,1172.91,8.09,179.85,1760.37,1264.93,7.57,179.85,1760.29,1298.2,7.52,179.85,2505.42,874.37,6.65,89.83,1760.25,1312.66,7.61,179.85,2311.7,873.81,7.22,89.83,1741.82,873.49,9.05,268.68,1760.21,1327.19,7.56,179.85,125.04,2127.83,8.11,106.01,,,,,,,,,,,,,4a,11,1568378102
27074,27074,844.1349133903122,1568378992.244277,844.1349133903122,-111.60805352117062,571.9071698717348,31.165767592435607,665.5212851574875,0.9961978197097778,604.9089636182699,55.067369713658074,738.939777801654,0.9463260173797609,630.1271173176914,-6.857501356892255,740.2350487890233,0.9704772233963012,488.6899180280194,114.79180945224036,715.1082970168454,0.7271612882614136,580.720527661467,-50.44808786966669,733.1212763028823,0.381616473197937,464.096263140283,175.70074923527665,613.0645780105174,0.8784019947052002,443.5364778229537,-99.28752003822107,602.3336892718397,0.8639171123504639,607.6352483846922,269.78302436267546,410.5598618858304,0.844151496887207,567.200508542992,-173.63238974835133,381.53454424895966,0.9003022313117981,807.5742503775414,312.7539141342762,212.1887117979693,0.7809721231460571,725.3336091869041,-206.19708085932044,166.31991711763598,0.7629320621490479,453.5579825276959,191.59389744823503,123.17894723796276,0.006017833948135376,409.8080750899034,-61.82285187360904,213.997532612288,0.12001806497573853,690.8617419864268,155.51541634936382,-59.420944258874215,0.02683731913566589,682.7776883547426,-120.21553643295384,120.80428120543846,0.39123278856277466,326.5949641074135,192.19527237730216,-713.4801793392163,0.01130741834640503,574.6024952477961,-50.406935735228274,-342.8084160655185,0.010170698165893556,1761.7660346438752,1602.6699543589664,6.336508660968789,355.53391971509114,,,,,1760.79,1104.992114928784,7.014439373218473,179.85,1399.1195259829065,822.4097448433159,8.514913390312103,181.84,2519.783919715091,874.4134913390312,6.7,89.83,1618.3446582336276,870.6430173219376,7.625560626781527,268.68,1683.0051322507215,872.1330173219376,7.296982678062421,268.68,1760.613491339031,1172.627201538472,8.100474017093632,179.85,1760.3734913390313,1264.664658233628,7.57,179.85,1760.29,1297.9381495726593,7.540948034187263,179.85,2505.653919715091,874.3734913390313,6.6569826780624215,89.83,1760.25,1312.394658233628,7.596034643875156,179.85,2311.954867749278,873.8134913390312,7.22349133903121,89.83,1741.5022881481598,873.4830173219376,9.084913390312103,268.68,1760.21,1326.924658233628,7.587930712249683,179.85,125.31232444443441,2127.753190541313,8.082069287750315,106.01,,,,,,,,,,,,,4a,11,1568378102
27075,27075,844.1665492883153,1568378992.2763207,844.1665492883153,-74.65541796894831,576.9771967696812,27.16514916661013,671.7765522278943,0.9961992502212524,604.2721685775523,54.97667767374099,739.7663637280967,0.9352720379829408,629.5411605487031,-6.572727649479767,741.9767706090051,0.9739087820053101,495.4303046233069,115.37427604727988,715.8053969283387,0.6990925669670105,593.4679789042348,-50.31984809365924,737.2038429887621,0.30323636531829834,457.8170650609912,178.05524895138095,610.5787825040028,0.8571963310241699,439.63036141952864,-98.31842657301985,600.2645383328967,0.8528258204460144,604.515168337196,274.9254163572936,409.454838629976,0.8407666087150574,548.4771555575588,-172.0625798288531,399.22241841093427,0.7258133888244629,801.9402967839773,313.60451471970663,206.9576130777532,0.8192126750946045,728.8099259889267,-206.24830917548485,170.33585896286345,0.820257842540741,462.80870397995994,188.18462741075103,129.18554187331972,0.00948414206504822,406.49801311594797,-66.59906795745529,197.69236911087688,0.2786509990692139,712.2905582726248,149.89572199062047,-43.55410569768685,0.03145298361778258,712.7935263865338,-115.00932054801001,107.59178792250036,0.2671463191509247,367.89108338769995,190.87780937892776,-668.3170027340269,0.01096305251121521,556.4104400731113,-53.76206319186609,-386.35111543595,0.0172378420829773,1761.753380284674,1602.869260516386,6.3333450711684725,355.74588023171236,,,,,1760.79,1104.7675000529616,7.0365845018206885,179.85,1399.1100352135056,822.1376761204888,8.546549288315271,181.84,2519.995880231713,874.4166549288315,6.7,89.83,1618.1042254088038,870.636690142337,7.603415498179309,268.68,1682.7741901952984,872.126690142337,7.303309857663053,268.68,1760.6166549288314,1172.3709507646465,8.109964786494581,179.85,1760.3766549288314,1264.424225408804,7.57,179.85,1760.29,1297.7008803376355,7.559929572989162,179.85,2505.8658802317127,874.3766549288315,6.663309857663053,89.83,1760.25,1312.154225408804,7.5833802846738925,179.85,2312.185809804701,873.8166549288317,7.226654928831527,89.83,1741.214401476331,873.476690142337,9.116549288315273,268.68,1760.21,1326.684225408804,7.613239430652218,179.85,125.55908444885912,2127.6835915657066,8.056760569347782,106.01,,,,,,,,,,,,,4a,11,1568378102
27076,27076,844.2,1568378992.3102026,844.2,-74.58849351832839,578.466588174317,26.46315607659486,669.7418303956181,0.9967888593673706,605.2690421609079,53.9451039677734,737.6232779214251,0.9268925786018372,633.7458289171589,-6.863145069704579,741.8424960324503,0.9631249904632568,490.62195143068686,118.12360862307017,710.9612130743394,0.8048451542854309,612.6754647041922,-44.45542429307438,742.0715614319507,0.2569222450256348,466.2070094409007,179.20366778837237,611.9273709364509,0.8675913810729979,443.15542692019164,-95.17178360507212,601.8787145711037,0.7823398113250732,605.8290957293938,274.8323695186322,413.74776498946335,0.8462437391281128,540.9347230471826,-175.0365025653909,401.4749837871251,0.7135462164878845,807.2724783888721,311.7895509202796,211.69290836097102,0.8550117611885071,730.5187483178908,-205.47848839443765,168.46988019334395,0.9169975519180298,472.9305722473713,186.3998799454931,127.35442883369049,0.010565668344497679,413.19797278498567,-65.4682539419033,185.17160223868527,0.2374461591243744,496.1075628012108,170.99109960952728,-284.47054012086153,0.023739218711853027,765.2173085844684,-113.3304644559802,115.44479623372463,0.2988247871398926,321.341738540738,195.40383226704307,-715.1241937723563,0.007960885763168335,567.9738338948928,-51.547688459635246,-418.7246913863585,0.02951401472091675,1761.74,1603.08,6.33,355.97,,,,,1760.79,1104.53,7.06,179.85,1399.1,821.85,8.58,181.84,2520.22,874.42,6.7,89.83,1617.85,870.63,7.58,268.68,1682.53,872.12,7.31,268.68,1760.62,1172.1,8.12,179.85,1760.38,1264.17,7.57,179.85,1760.29,1297.45,7.58,179.85,2506.09,874.38,6.67,89.83,1760.25,1311.9,7.57,179.85,2312.43,873.82,7.23,89.83,1740.91,873.47,9.15,268.68,1760.21,1326.43,7.64,179.85,125.82,2127.61,8.03,106.01,,,,,,,,,,,,,4a,11,1568378102
27077,27077,844.2332571563758,1568378992.343719,844.2332571563758,,574.4535210285924,27.962233101738054,669.5711865946213,0.9971829652786256,611.1611026911859,55.45079356618154,740.1582234707599,0.9159291982650756,633.7846673009198,-7.473802478606764,742.3141799612292,0.8735796809196472,494.49821290859336,125.06542272704209,719.0428889777513,0.7844996452331543,619.0023290672586,-40.22109062833139,745.1077941740749,0.2602730393409729,468.32617596611175,186.89016068351762,610.3168687229738,0.8178743124008179,446.56445269033134,-93.08875879540884,605.8881864611601,0.7529928684234619,611.3853337773787,277.06833561755354,413.4480147331269,0.8423210382461548,542.2508210463787,-173.7459585481887,401.3603686235205,0.7145620584487915,808.0550183190552,307.9332940675725,211.5982947180442,0.8202445507049559,732.7053928745128,-203.34591756698484,168.47756363428238,0.9219183325767516,477.3028258880288,184.67181691356186,134.28029369681335,0.008997678756713867,403.73467896505633,-66.91986208656867,178.8883399272585,0.14280980825424194,510.50470407028274,174.7626922401204,-256.2889874999397,0.04952806234359741,799.7217891630803,-110.6891603458468,93.2024241002645,0.2865551710128784,289.38985633150816,229.72245874322888,-749.9258424959646,0.0052991807460784895,568.0171303141318,-47.8062907276744,-441.1607896557943,0.021736681461334232,1761.7300228530871,1603.2895200851667,6.326674284362436,356.2028000946296,,,,,1760.79,1104.2938741897328,7.076628578187821,179.85,1399.0900228530872,821.5673141708072,8.543417127986794,181.84,2520.439497232079,874.42,6.670068559261923,89.83,1617.6005713271827,870.6266742843625,7.566697137449744,268.68,1682.2872227584576,872.1166742843625,7.3033485687248705,268.68,1760.62,1171.8272913177198,8.139954293825385,179.85,1760.38,1263.9172456115452,7.596605725100514,179.85,1760.29,1297.1972456115452,7.5766742843624355,179.85,2506.3094972320787,874.38,6.676651431275128,89.83,1760.25,1311.6472456115453,7.579977146912693,179.85,2312.669451525905,873.82,7.23,89.83,1740.6073598769815,873.4633485687248,9.120068559261922,268.68,1760.2133257156374,1326.1772456115452,7.626697137449742,179.85,126.07608010409244,2127.5368342559736,8.043302862550256,106.01,,,,,,,,,,,,,4a,11,1568378102
27078,27078,844.2665024840312,1568378992.3772235,844.2665024840312,,575.6023846072519,34.620763036311146,667.3087705632142,0.9957298040390016,602.2632143245728,57.68899896146551,737.3886620935994,0.8932256698608398,613.9161240577307,-7.363137431623144,733.0061325950028,0.8453183174133301,516.2958837840844,122.89095531697716,731.1418210188274,0.6530062556266785,609.0766062175151,-39.18569366546133,740.533650166524,0.19621095061302185,465.2807487310978,191.29998426234798,607.2840222681955,0.8293942213058472,446.5274475046301,-87.448896018292,599.5547886994227,0.5110810995101929,631.3333086636902,277.0210944989153,384.65872984399283,0.9055984020233154,563.7244114542718,-177.06793949329503,382.82225565200315,0.8395652770996094,803.470535056259,303.9944779328311,210.83673692131646,0.850554347038269,734.0136596343959,-204.1717301580679,166.14507047385862,0.8991705179214478,486.3841277382528,182.69627544201336,152.4142077799367,0.0072773993015289315,399.55378657926514,-65.12211126219967,172.8013597345099,0.1913180649280548,656.6609944864882,163.04995104574203,-74.05031993172271,0.0496366024017334,818.1511711676474,-108.28463458408213,121.04590079250008,0.7005478143692017,287.55904251232585,245.6306325922015,-753.7840154244759,0.004731059074401856,568.0737787867102,-55.68550608526183,-460.76944061843363,0.015476226806640625,1761.7200492547906,1603.4989656493967,6.3233497515968775,356.43551738821856,,,,,1760.79,1104.0578323633783,7.093251242015612,179.85,1399.0800492547905,821.2847288857346,8.506847267565655,181.84,2520.658916394606,874.42,6.640147764371902,89.83,1617.3512313697659,870.6233497515967,7.5533990063875125,268.68,1682.044531866572,872.1133497515967,7.296699503193755,268.68,1760.62,1171.5546796309438,8.159901490418733,179.85,1760.38,1263.6645811213627,7.623201987224977,179.85,1760.29,1296.9445811213627,7.5733497515968775,179.85,2506.5289163946068,874.38,6.683300496806245,89.83,1760.25,1311.3945811213628,7.589950745209366,179.85,2312.908817885025,873.82,7.23,89.83,1740.304827395316,873.4566995031938,9.0901477643719,268.68,1760.216650248403,1325.9245811213627,7.613399006387511,179.85,126.3320691270404,2127.4636945351317,8.05660099361249,106.01,,,,,,,,,,,,,4a,11,1568378102
