,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,Q_in-J_out.2_x,Q_in-J_out.2_y,Q_in-J_out.2_speed,Q_in-J_out.2_angle,Q_in-J_out.3_x,Q_in-J_out.3_y,Q_in-J_out.3_speed,Q_in-J_out.3_angle,Q_in-J_out.4_x,Q_in-J_out.4_y,Q_in-J_out.4_speed,Q_in-J_out.4_angle,Q_in-J_out.5_x,Q_in-J_out.5_y,Q_in-J_out.5_speed,Q_in-J_out.5_angle,K_in-H_out.7_x,K_in-H_out.7_y,K_in-H_out.7_speed,K_in-H_out.7_angle,K_in-H_out.8_x,K_in-H_out.8_y,K_in-H_out.8_speed,K_in-H_out.8_angle,K_in-H_out.9_x,K_in-H_out.9_y,K_in-H_out.9_speed,K_in-H_out.9_angle,H_in-K_out.8_x,H_in-K_out.8_y,H_in-K_out.8_speed,H_in-K_out.8_angle,K_in-H_out.10_x,K_in-H_out.10_y,K_in-H_out.10_speed,K_in-H_out.10_angle,Q_in-J_out.6_x,Q_in-J_out.6_y,Q_in-J_out.6_speed,Q_in-J_out.6_angle,Q_in-J_out.7_x,Q_in-J_out.7_y,Q_in-J_out.7_speed,Q_in-J_out.7_angle,Q_in-J_out.8_x,Q_in-J_out.8_y,Q_in-J_out.8_speed,Q_in-J_out.8_angle,Q_in-J_out.9_x,Q_in-J_out.9_y,Q_in-J_out.9_speed,Q_in-J_out.9_angle,H_in-K_out.9_x,H_in-K_out.9_y,H_in-K_out.9_speed,H_in-K_out.9_angle,K_in-H_out.11_x,K_in-H_out.11_y,K_in-H_out.11_speed,K_in-H_out.11_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,K_in-H_out.12_x,K_in-H_out.12_y,K_in-H_out.12_speed,K_in-H_out.12_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,scenario,participant_id,source_file
29109,29109,907.8,1568978658.5367904,907.8,-90.00257500099855,582.200256939452,43.10314334663084,558.8354015390083,0.993998646736145,575.5828986130639,68.12013898540881,598.4655842368128,0.9965832233428956,589.102731837294,14.309780264772073,601.8897792304682,0.9593838453292848,553.9377370524277,109.19578543956592,604.1983250645094,0.6051902174949646,556.9249566525664,-33.506834422051114,590.0318708872454,0.65235835313797,444.1419310967714,161.18719742387103,456.4202443235857,0.98001891374588,483.647316308856,-68.73348298954524,478.53944712780543,0.9817475080490112,632.1423143433909,260.5477122791684,349.3230455633842,0.9889038801193236,598.9836253203448,-190.99718246700328,319.9434250964606,0.8642544746398926,790.3762516984578,263.68290315760373,215.09747468768987,0.8074195384979248,783.6759163251945,-205.9543603553744,184.57687807118683,0.924331784248352,461.6431137666476,123.41755734846035,113.69852714576922,0.18526849150657654,496.81366620230006,-64.22838778282569,145.03202056229304,0.22513434290885925,536.6837942427287,167.63378883485976,-185.77541209152923,0.11588996648788452,767.4428026163213,-101.48958144351386,76.00560819632449,0.07178887724876404,354.29052418969195,168.36812439107587,-659.0872205473438,0.0031572282314300537,601.2347425776602,-123.02987327325184,-366.12820050771865,0.008967369794845581,1761.71,1625.9,6.53,0.56,1760.57,744.72,7.69,180.37,1760.88,793.27,7.45,180.37,1761.07,996.72,7.04,179.85,1761.04,1010.61,7.13,179.85,2707.34,663.37,8.18,142.36,2640.71,855.85,7.54,169.51,2534.76,874.46,7.18,89.83,1710.97,872.78,8.21,268.68,2520.67,874.42,7.15,89.83,1760.92,1053.53,8.96,179.85,1760.42,1246.39,8.18,179.85,1759.93,1434.29,7.64,179.85,1759.3,1524.44,7.14,179.28,1777.53,874.08,7.34,269.55,2192.39,873.47,7.59,89.83,1759.13,1538.36,7.08,179.28,1758.39,1597.61,7.86,179.28,2177.1,873.42,7.53,89.83,215.4,2105.15,8.9,102.2,,,,,,,,,,,,,4a,25,1568977693
29110,29110,907.8307512920253,1568978658.5671918,907.8307512920253,-92.34616389435664,578.3350232859719,46.045509639972074,556.2505439461921,0.993348240852356,572.4437757303663,70.69632810673463,596.5913365396705,0.996651291847229,595.3722393569515,17.24847879405464,603.9822186995202,0.959242343902588,545.3410459260806,108.9495188566527,604.0173749692126,0.9018465876579284,554.6909314927855,-32.71930110452871,589.5515343053589,0.6184815764427185,453.6261916454576,163.08699647325614,459.71745131558936,0.9798859357833862,475.02401987573217,-67.64017349098955,474.4320464294683,0.986278772354126,635.4273294485148,264.8591533385807,353.21710555722206,0.988399088382721,600.5604262526123,-187.8837578696371,320.1019227782328,0.881262481212616,774.6161027599982,269.23402936537843,203.3110956386068,0.8370394110679626,785.5929229214674,-204.64079962454701,187.56195174517242,0.9320849180221558,460.78051657399436,127.4049573349526,102.24798994506838,0.21949875354766848,505.6448838114586,-67.06118605131688,105.84884012992029,0.43637579679489136,481.0832757654194,171.3830037878149,-243.24446551533526,0.1223318874835968,779.9571841254187,-89.29860389385715,79.38140916390267,0.1448257863521576,331.90372063935183,196.38922428363603,-683.7288507050497,0.002298802137374878,597.9701091262742,-100.36052924309428,-383.6592518035288,0.013475894927978516,1761.7130751292025,1626.0998833981655,6.526924870797456,0.5938264212279947,1760.5669248707975,744.4862901806067,7.671549224784731,180.37,1760.88,793.0362901806067,7.465375646012725,180.37,1761.07,996.5016658266193,7.036924870797455,179.85,1761.04,1010.3947409558217,7.096173578772005,179.85,2707.4937564601278,663.1701166018346,8.183075129202544,142.36,2640.753051808836,855.6224404390117,7.5584507752152685,169.51,2534.978334173381,874.46,7.164624353987275,89.83,1710.7178394053913,872.7738497415949,8.191549224784731,268.68,2520.8914093025837,874.42,7.16845077521527,89.83,1760.9230751292025,1053.2563135009734,8.96,179.85,1760.42,1246.140914534594,8.164624353987275,179.85,1759.93,1434.0501399222017,7.6769015504305385,179.85,1759.3030751292026,1524.2247409558222,7.1061735787720055,179.28,1777.2962901806063,874.08,7.419953359266169,269.55,2192.6237098193933,873.47,7.596150258405089,89.83,1759.1330751292026,1538.1416658266196,7.083075129202545,179.28,1758.3930751292025,1597.3701399222016,7.850774612392366,179.28,2177.3337098193933,873.4230751292026,7.539225387607635,89.83,215.66753624062144,2105.091572545152,8.90615025840509,102.2,,,,,,,,,,,,,4a,25,1568977693
29111,29111,907.8650098032359,1568978658.6010606,907.8650098032359,-87.33972575154318,578.7995956851048,51.373453566099215,555.0421385181696,0.991028904914856,567.9429040062764,73.67238721210241,594.9031959101719,0.996309757232666,588.4089389649819,19.881702782474605,600.6511487254758,0.9593880176544192,545.2831378912815,111.10828498390212,602.4496851159538,0.8908003568649292,549.1407770018061,-31.58172990483457,587.1368291206808,0.651853084564209,449.46424872347137,165.5605819132125,457.24802215722167,0.9754635095596312,471.32861680713205,-79.22729063040612,466.4403994376357,0.9429653882980348,640.8819396402356,265.6042365043967,353.2422000398216,0.9872426986694336,589.9422381676335,-188.71793431571896,323.5102631826121,0.7537410855293274,776.0059241552557,270.78123454739847,202.97686253310863,0.831726610660553,790.7496018066745,-203.91388950706002,192.37119143200653,0.9269108772277832,476.49272355238236,131.49737750067467,112.56107366114084,0.2500062584877014,488.73155529776886,-65.71592882537746,129.73230406378158,0.2498448491096497,456.1116964468129,172.09500884539506,-265.5236125076184,0.1875106394290924,811.0579914814253,-75.48227773081099,93.79134933861229,0.13226312398910522,260.1717936217426,214.93738954486253,-753.3769330682655,0.00174596905708313,594.2928653564562,-92.19599888104895,-396.5975875101796,0.030191957950592038,1761.7165009803234,1626.3225637210337,6.5234990196764056,0.6315107835595469,1760.5634990196766,744.2259254954068,7.650994118058429,180.37,1760.88,792.7759254954068,7.482504901617976,180.37,1761.07,996.2584303970247,7.033499019676405,179.85,1761.04,1010.1549313773484,7.058489216440452,179.85,2707.66504901618,662.9474362789662,8.186500980323595,142.36,2640.80101372453,855.3689274560539,7.579005881941571,169.51,2535.2215696029753,874.46,7.147495098382024,89.83,1710.4369196134653,872.7669980393528,8.17099411805843,268.68,2521.138070583299,874.42,7.189005881941571,89.83,1760.9265009803235,1052.9514127512,8.96,179.85,1760.42,1245.8634205937888,8.147495098382025,179.85,1759.93,1433.7829235347594,7.718011763883142,179.85,1759.3065009803236,1523.9849313773486,7.068489216440454,179.28,1777.035925495407,874.08,7.5090254884134735,269.55,2192.8840745045927,873.47,7.603001960647191,89.83,1759.1365009803235,1537.8984303970249,7.086500980323595,179.28,1758.3965009803235,1597.1029235347596,7.8404970590292145,179.28,2177.5940745045928,873.4265009803237,7.549502940970785,89.83,215.96558528815282,2105.0264813738518,8.91300196064719,102.2,,,,,,,,,,,,,4a,25,1568977693
29112,29112,907.9,1568978658.6356528,907.9,-87.27132291282501,579.6978647490662,57.189855685390384,553.5887107260538,0.9903008937835692,572.3522130488901,76.85339324900303,596.1375211888279,0.9963615536689758,592.7822310284425,23.76254992153889,601.1964313404575,0.9739360809326172,547.912697574611,111.68104719426356,604.8962517334377,0.8041751384735107,561.7049328402918,-29.092649779271504,590.9895565561998,0.7373487949371338,448.1774229288508,164.5953352177,459.19663470054235,0.9781668782234192,477.0613921198386,-80.11445537313452,465.78343390938727,0.947222113609314,624.7685320033987,268.3042294431062,344.51035169983214,0.9865618944168092,596.8954994247828,-193.1523636223499,326.2210401055682,0.9121984243392944,767.9412126664809,271.49715898790885,196.78343923898478,0.8330945372581482,789.2496809044471,-206.02753292205708,192.525955439438,0.9010095596313475,479.6276488100507,131.70898819248578,116.62844246675812,0.18714165687561035,492.5214525760366,-68.10886219419652,76.09721718878026,0.6926311254501343,484.33286934737794,169.3952737873942,-241.22687099756496,0.08990037441253662,756.0709947770673,-74.18393992728527,-16.71336461788269,0.04510408639907837,266.83662446342635,220.68403694214126,-745.5235235335091,0.0017285645008087158,571.4288037951353,-84.55339163873492,-422.7636795505066,0.015181928873062134,1761.72,1626.55,6.52,0.67,1760.56,743.96,7.63,180.37,1760.88,792.51,7.5,180.37,1761.07,996.01,7.03,179.85,1761.04,1009.91,7.02,179.85,2707.84,662.72,8.19,142.36,2640.85,855.11,7.6,169.51,2535.47,874.46,7.13,89.83,1710.15,872.76,8.15,268.68,2521.39,874.42,7.21,89.83,1760.93,1052.64,8.96,179.85,1760.42,1245.58,8.13,179.85,1759.93,1433.51,7.76,179.85,1759.31,1523.74,7.03,179.28,1776.77,874.08,7.6,269.55,2193.15,873.47,7.61,89.83,1759.14,1537.65,7.09,179.28,1758.4,1596.83,7.83,179.28,2177.86,873.43,7.56,89.83,216.27,2104.96,8.92,102.2,,,,,,,,,,,,,4a,25,1568977693
29113,29113,907.9329692114543,1568978658.6685233,907.9329692114543,-92.75634098575802,575.547399336205,59.02036135596956,551.5710489322066,0.99261075258255,572.9230759978427,79.38104927719031,595.7851135457253,0.9972464442253112,585.2248020385085,25.29682313741488,598.3910008961227,0.9804669618606568,552.4532700148234,112.67030309157607,606.6227462754106,0.8173642158508301,536.9000326007263,-27.854589933737497,581.5857297738609,0.7580971121788025,454.60869908911974,168.71991788253789,458.7877616261522,0.9635507464408876,491.5937957836388,-76.5590994153466,470.6902747780566,0.9469409584999084,625.4044523713133,259.4057328283051,344.91358138445884,0.9659528732299804,593.0902921988044,-193.40398280355686,325.38942629448445,0.9139827489852904,770.2898350579799,262.64036434496404,209.70288148752854,0.5792952179908752,778.7329028236113,-208.3350379939307,184.4221614540511,0.912281334400177,451.9265459729278,126.60378530422537,152.2979428727823,0.6612215042114258,472.7170031596924,-66.31253698699234,114.35639221966751,0.2688161134719849,661.0836483733809,154.28868145839917,-71.62157100873947,0.07728487253189087,757.5857961269318,-61.15816206478975,16.903641703698327,0.05726999044418335,311.2621638503158,219.77604163361198,-702.1015522496492,0.0017462372779846196,547.9272769816433,-79.15457459300984,-446.6187992394815,0.01495736837387085,1761.7232969211457,1626.7642998744548,6.513406157709093,0.7128599748908954,1760.56,743.7094339929456,7.633296921145452,180.37,1760.8767030788547,792.2660278352364,7.490109236563638,180.37,1761.0732969211456,995.7792155198183,7.0267030788545455,179.85,1761.04,1009.6759185986728,7.036484605727267,179.85,2708.001549136128,662.508997046691,8.176812315418186,142.36,2640.8961568960362,854.8660278352363,7.586812315418186,169.51,2535.704081401327,874.46,7.133296921145452,89.83,1709.8829493872186,872.753406157709,8.156593842290906,268.68,2521.6273783224724,874.42,7.196812315418186,89.83,1760.93,1052.343277096909,8.96,179.85,1760.4232969211457,1245.3129493872184,8.123406157709093,179.85,1759.9332969211457,1433.2561370718,7.75010923656364,179.85,1759.3132969211456,1523.5059185986731,7.03989076343636,179.28,1776.5128401506547,874.0767030788546,7.672532265199976,269.54670307885453,2193.4005660070543,873.47,7.6067030788545456,89.83,1759.1432969211455,1537.4192155198184,7.070218473127278,179.28,1758.4032969211457,1596.569543229509,7.843187684581814,179.28,2178.1105660070543,873.43,7.5731876845818125,89.83,216.55683213965446,2104.8973584982364,8.923296921145454,102.2,,,,,,,,,,,,,4a,25,1568977693
29114,29114,907.966763914629,1568978658.7022169,907.966763914629,-91.55224505372595,575.5271481879117,59.112130326079644,550.8990256622253,0.9930869936943054,576.4039591066594,80.74022975992025,597.3932731765146,0.9973276257514954,588.2298207590264,25.06297661069109,599.4502419713225,0.9834861755371094,547.8116896310003,115.3670558689122,601.6851897945658,0.5732126235961914,533.3521825653066,-26.24802955146836,579.3710202235029,0.7834560871124268,455.04672090831184,169.63289553066622,458.9139763346897,0.9613643884658812,483.0125382793097,-63.67021315556603,470.9627646968824,0.7910064458847046,609.2057636288986,265.92219737063874,340.8289696235919,0.9212464094161988,590.3446075202412,-191.4648300875413,319.34326085981183,0.986231803894043,769.1504953127825,267.8771161127321,198.3087865054708,0.8456674814224243,788.4395210657796,-206.4853509155089,191.06045341514942,0.9168874025344848,453.38044609128053,136.53262041076022,176.90784414500956,0.3069987297058105,459.2701249805529,-61.799052600878106,142.28814397596574,0.6337916254997253,666.6332338960386,151.25348661474862,-33.37974175817692,0.031272262334823615,712.8876230086129,-55.754450307509,-1.2540602632347486,0.04470786452293396,242.28029806000728,229.72233298582645,-771.6856370997366,0.0011726319789886475,511.52360252130404,-79.34394889581894,-484.4174123030268,0.012850731611251831,1761.7266763914631,1626.9839654450889,6.506647217074191,0.7567930890177634,1760.56,743.4525942488193,7.6366763914629034,180.37,1760.873323608537,792.015947031745,7.479970825611285,180.37,1761.0766763914628,995.5426525975968,7.023323608537095,179.85,1761.04,1009.4359762061338,7.0533819573145236,179.85,2708.167143181682,662.2927109463741,8.16329443414838,142.36,2640.943469480481,854.615947031745,7.573294434148379,169.51,2535.944023793866,874.46,7.1366763914629034,89.83,1709.6092122915047,872.7466472170743,8.16335278292581,268.68,2521.870700185329,874.42,7.1832944341483795,89.83,1760.93,1052.0391247683383,8.96,179.85,1760.426676391463,1245.0392122915048,8.11664721707419,179.85,1759.936676391463,1432.9959178573565,7.7399708256112865,179.85,1759.3166763914628,1523.2659762061335,7.0500291743887145,179.28,1776.2492414658936,874.0733236085373,7.746880612183907,269.5433236085371,2193.6574057511807,873.47,7.603323608537095,89.83,1759.146676391463,1537.1826525975964,7.0499416512225705,179.28,1758.406676391463,1596.3025650744305,7.8567055658516205,179.28,2178.3674057511807,873.43,7.586705565851619,89.83,216.85084605727272,2104.8331485622048,8.926676391462903,102.2,,,,,,,,,,,,,4a,25,1568977693
29115,29115,908.0,1568978658.7353535,908.0,-89.71725438374786,588.6790786604464,58.3920581440765,555.8368075666691,0.9934002161026,569.2434536468733,81.98654132085119,593.3779267254815,0.9973296523094176,593.1880341713387,24.926326811751427,600.3001696753456,0.9827682375907898,547.0368391831154,117.19264363836636,599.9620227712063,0.5971120595932007,545.1161366579445,-24.137314461760674,582.9012247266941,0.7656319141387941,460.9530798229709,172.62639045436543,459.63679059926176,0.9527562856674194,473.43990783808295,-76.19806559424504,463.1452921175177,0.9454547166824341,640.459841422421,263.46717542267146,348.38180260806917,0.9597935676574708,588.4549321087358,-190.66452896529657,322.98085201146546,0.6580342054367065,790.2184646954868,273.1034396771273,202.31880094920325,0.9757918119430542,770.0621602957125,-211.1925825257969,177.84145239908787,0.9053014516830444,453.3542092643791,135.24522967002,176.10958502848098,0.2331801354885101,430.4230897096065,-63.61617175057746,119.30276772539257,0.7286953330039978,649.0717604217264,151.90204812754342,-4.7912325504978535,0.006716549396514893,756.8701923662636,-44.37239100228582,34.42122536050621,0.022228628396987915,219.0851421954636,237.11632279572308,-749.2575787816781,0.00251924991607666,488.40630930798216,-65.80788321792718,-506.44375344179815,0.0044816434383392325,1761.73,1627.2,6.5,0.8,1760.56,743.2,7.64,180.37,1760.87,791.77,7.47,180.37,1761.08,995.31,7.02,179.85,1761.04,1009.2,7.07,179.85,2708.33,662.08,8.15,142.36,2640.99,854.37,7.56,169.51,2536.18,874.46,7.14,89.83,1709.34,872.74,8.17,268.68,2522.11,874.42,7.17,89.83,1760.93,1051.74,8.96,179.85,1760.43,1244.77,8.11,179.85,1759.94,1432.74,7.73,179.85,1759.32,1523.03,7.06,179.28,1775.99,874.07,7.82,269.54,2193.91,873.47,7.6,89.83,1759.15,1536.95,7.03,179.28,1758.41,1596.04,7.87,179.28,2178.62,873.43,7.6,89.83,217.14,2104.77,8.93,102.2,,,,,,,,,,,,,4a,25,1568977693
29116,29116,908.0335412881368,1568978658.7691553,908.0335412881368,,589.4377498536977,59.737679615550526,556.4392573998109,0.9930461049079896,570.7994346304461,83.04519583773386,594.5373085107957,0.9976662993431092,592.8154008855381,26.311262165444745,602.0885894471643,0.9808302521705629,546.6685367248667,118.01274698354328,600.084690714501,0.5568720698356628,553.2522518115593,-22.055222925854324,588.0310696386755,0.7536358833312988,465.5138698516874,171.2095390419681,461.6247431935429,0.946898341178894,481.7555805333409,-74.90954093021054,467.2846523491157,0.9572070837020874,615.1250871115183,273.27893977594204,343.7277069854074,0.8902500867843628,584.9553081336019,-172.47651332876237,324.9315624557176,0.2199147641658783,787.9969042943171,266.7617400487506,209.99833330862515,0.8475726842880249,765.8269536621452,-213.19124240165127,195.10250724480358,0.6047992706298828,453.819815917282,133.6180118068686,184.52906931105068,0.326676607131958,424.9457164178055,-63.06223213182654,126.03982431195169,0.1933315396308899,658.8153317439272,149.83372195861998,25.02844793898408,0.028314590454101562,622.8701455806614,-46.75057386056015,-59.98106354326777,0.0459662675857544,217.3676973553391,212.3140565292986,-732.6846176638577,0.003796905279159546,453.13122113280366,-77.45538157794012,-541.838285271501,0.006506919860839844,1761.7333541288135,1627.41801837289,6.496645871186309,0.8301871593232181,1760.5566458711862,742.9417320813458,7.656770644068454,180.37,1760.87,791.5184403389733,7.4632917423726175,180.37,1761.08,995.071856854228,7.043478901695836,179.85,1761.04,1008.961856854228,7.073354128813691,179.85,2708.4977064406844,661.8619816271101,8.166770644068455,142.36,2641.0369578033915,854.1184403389732,7.576770644068454,169.51,2536.421497274586,874.46,7.153416515254762,89.83,1709.0649614372776,872.7332917423728,8.159937613558927,268.68,2522.348143145772,874.42,7.149875227117856,89.83,1760.93,1051.438128406768,8.976770644068457,179.85,1760.43,1244.4949614372774,8.120062386441072,179.85,1759.94,1432.481732081346,7.719937613558928,179.85,1759.3233541288134,1522.7885027254142,7.090187159323218,179.28,1775.7216696949047,874.0666458711862,7.893790833901201,269.5131669694905,2194.1649137898403,873.4733541288138,7.586583484745237,89.83,1759.15,1536.711856854228,7.0601871593232195,179.28,1758.41,1595.778377952532,7.849875227117853,179.28,2178.8749137898403,873.43,7.616770644068454,89.83,217.4318092067911,2104.70627155254,8.923291742372617,102.2,,,,,,,,,,,,,4a,25,1568977693
29117,29117,908.0667719452646,1568978658.802644,908.0667719452646,-90.28395327233736,585.2333259941238,60.34050328447184,554.5499284045925,0.9931268692016602,572.8542685733312,82.84232791063435,595.9542386069761,0.9972184896469116,592.7565127817742,26.361996606945173,602.2809495689736,0.9806482195854188,545.5021952396602,118.0901557165231,602.5093330411472,0.7654690146446228,558.0913516689536,-21.374168641613828,591.1393299280567,0.7348496317863464,461.5437396429693,171.74766924738816,460.31914979689054,0.9427210092544556,478.0495857075254,-74.4229251692106,466.05679451030227,0.9565417170524596,608.5730468021336,277.6272337984153,341.53715999654776,0.8693281412124634,584.6699907074118,-163.96882703513137,323.19755228863585,0.4110424816608429,776.4636531993096,267.7276963791832,205.8439934086041,0.8683211803436279,735.9620679970812,-218.03731792230764,180.01338322102185,0.6682056188583374,448.8564666998314,131.94576348273716,178.72744893211066,0.33986544609069824,426.98236000336266,-61.32469939330315,124.26573706630552,0.3361780643463135,647.1572360505874,152.18185992008574,28.76548386028685,0.019760549068450928,653.2118109063833,-40.56041527066507,-40.42315562776264,0.009705305099487305,194.09497146942903,229.30282044157659,-745.0244097688161,0.0063051581382751465,440.5212619983362,-55.77023695219186,-563.0825933633066,0.005889207124710083,1761.7366771945265,1627.6340176442193,6.493322805473543,0.8600947507381056,1760.5533228054737,742.6858560214629,7.673385972632282,180.37,1760.87,791.2692104105157,7.456645610947087,180.37,1761.08,994.8359191886217,7.066740361685192,179.85,1761.04,1008.7259191886217,7.076677194526456,179.85,2708.663859726323,661.6459823557802,8.18338597263228,142.36,2641.0834807233705,853.8692104105157,7.593385972632282,169.51,2536.6607580059053,874.46,7.166708778105824,89.83,1708.7924700488306,872.7266456109471,8.149968416420633,268.68,2522.5840808113785,874.42,7.1299368328412625,89.83,1760.93,1051.139052492619,8.993385972632279,179.85,1760.43,1244.2224700488307,8.130031583579369,179.85,1759.94,1432.225856021463,7.709968416420633,179.85,1759.3266771945264,1522.5492419940952,7.120094750738105,179.28,1775.4558244378836,874.0633228054735,7.966898279582035,269.4865824437884,2194.4174667840107,873.4766771945265,7.573291221894175,89.83,1759.15,1536.4759191886214,7.090094750738107,179.28,1758.41,1595.5191788269367,7.829936832841263,179.28,2179.1274667840107,873.43,7.633385972632282,89.83,217.7209159238017,2104.6431333039973,8.916645610947088,102.2,,,,,,,,,,,,,4a,25,1568977693
29118,29118,908.1,1568978658.8361301,908.1,-90.28395327233736,580.8578097919194,61.050839344827146,552.207857842352,0.9924858808517456,568.8842930806544,83.21745877759648,593.7265410902716,0.997403621673584,588.7251724471768,27.399436479093552,599.9787886209815,0.9802740812301636,539.1568420944574,119.58261653932549,598.4195356410652,0.5262373685836792,550.9849306984199,-21.106183532933606,589.0600170134783,0.7185137271881104,452.14796372532487,173.71116173430232,453.8171879967937,0.9323900938034058,477.9522398194725,-73.79147602916228,465.5966499284685,0.9615281820297241,628.6766488155159,273.56228304232366,340.73061618298533,0.913070559501648,564.0195610624347,-161.85248822694942,316.322396664953,0.31888875365257263,797.1545578464046,272.4228764916287,208.91117264380256,0.974002480506897,758.5711764031172,-213.81173374547092,197.1387630479657,0.6606686115264893,459.4838163562475,128.88221864425032,190.75148070945545,0.3423110842704773,423.7642095758969,-61.51786105885632,127.67474353765049,0.2058570384979248,655.8497804971875,153.60724012957618,45.20609545230949,0.028120487928390503,698.0850917556858,-36.36197412047396,-6.861599969539725,0.05707383155822754,203.87922035132527,232.31890314368613,-730.9452530489173,0.00671541690826416,421.93679824638207,-77.33221669481344,-582.1219126835033,0.0074818432331085205,1761.74,1627.85,6.49,0.89,1760.55,742.43,7.69,180.37,1760.87,791.02,7.45,180.37,1761.08,994.6,7.09,179.85,1761.04,1008.49,7.08,179.85,2708.83,661.43,8.2,142.36,2641.13,853.62,7.61,169.51,2536.9,874.46,7.18,89.83,1708.52,872.72,8.14,268.68,2522.82,874.42,7.11,89.83,1760.93,1050.84,9.01,179.85,1760.43,1243.95,8.14,179.85,1759.94,1431.97,7.7,179.85,1759.33,1522.31,7.15,179.28,1775.19,874.06,8.04,269.46,2194.67,873.48,7.56,89.83,1759.15,1536.24,7.12,179.28,1758.41,1595.26,7.81,179.28,2179.38,873.43,7.65,89.83,218.01,2104.58,8.91,102.2,,,,,,,,,,,,,4a,25,1568977693
