,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-K_out.19_x,H_in-K_out.19_y,H_in-K_out.19_speed,H_in-K_out.19_angle,H_in-K_out.20_x,H_in-K_out.20_y,H_in-K_out.20_speed,H_in-K_out.20_angle,Q_in-J_out.15_x,Q_in-J_out.15_y,Q_in-J_out.15_speed,Q_in-J_out.15_angle,H_in-K_out.21_x,H_in-K_out.21_y,H_in-K_out.21_speed,H_in-K_out.21_angle,H_in-K_out.22_x,H_in-K_out.22_y,H_in-K_out.22_speed,H_in-K_out.22_angle,K_in-H_out.8_x,K_in-H_out.8_y,K_in-H_out.8_speed,K_in-H_out.8_angle,Q_in-J_out.16_x,Q_in-J_out.16_y,Q_in-J_out.16_speed,Q_in-J_out.16_angle,Q_in-J_out.17_x,Q_in-J_out.17_y,Q_in-J_out.17_speed,Q_in-J_out.17_angle,H_in-K_out.23_x,H_in-K_out.23_y,H_in-K_out.23_speed,H_in-K_out.23_angle,K_in-H_out.9_x,K_in-H_out.9_y,K_in-H_out.9_speed,K_in-H_out.9_angle,H_in-K_out.24_x,H_in-K_out.24_y,H_in-K_out.24_speed,H_in-K_out.24_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.4_x,W_in-P_out.4_y,W_in-P_out.4_speed,W_in-P_out.4_angle,W_in-P_out.5_x,W_in-P_out.5_y,W_in-P_out.5_speed,W_in-P_out.5_angle,W_in-P_out.6_x,W_in-P_out.6_y,W_in-P_out.6_speed,W_in-P_out.6_angle,scenario,participant_id,source_file
31782,31782,997.9664196933355,1568968464.6999574,997.9664196933355,-105.37665092846107,673.9143835382863,6.173010833701099,553.4885884992611,0.00015887618064880368,724.3869097893522,34.490872857359925,615.8803656112517,0.6141627430915833,713.4569256319063,-22.211855561878014,610.5876537526543,0.9705554246902466,672.6348862184168,87.96509331636665,628.8490961695887,0.392760306596756,700.6213079950978,-58.829674260785076,636.87015600169,0.2652856707572937,541.9941341044512,129.4899806422282,515.9278904482846,0.6566303968429565,555.2918847832448,-91.87829276638651,521.2770124033682,0.925535261631012,666.3691663471773,235.8332485451352,330.4603084338752,0.9893131852149964,602.8505479160401,-236.9025906145509,312.1520736215428,0.1971120834350586,836.9503409558287,247.94954400931167,217.68435063459808,0.9311802387237548,745.8114494651272,-246.48513401075598,178.47248834678527,0.8422495126724243,394.2519794197441,124.705997878702,156.91299207311468,0.15146881341934204,406.5269520453665,-92.10633884439535,179.26756350716374,0.2694927752017975,699.2847559974127,175.18659491669888,40.847340310394884,0.03572389483451843,567.1106688959749,-98.37635564561928,-50.83896643429705,0.3946942090988159,531.4279847925585,155.82046504479348,-419.5884198392853,0.013519078493118286,860.7182305557236,-75.1508328743344,-25.81361894113957,0.03489798307418823,1761.4034321226661,1564.394937853349,6.933358030666446,356.42612332533815,1440.3250621466514,866.2867160613329,7.036864245331575,268.61,1454.4384201773178,866.6267160613329,7.066567877334213,268.61,1761.21,944.4920004839822,8.07,179.85,1515.8952103306501,868.1233580306664,7.703580306664468,268.61,1610.908494269317,870.4767160613328,7.413061662669085,268.68,2759.508518160013,602.6549880546519,8.99,138.41,1760.64,1163.81521033065,7.643283938667108,179.85,1760.55,1198.3220745759813,8.42358030666447,179.85,2012.491555931986,875.92,6.310074091999342,269.55,2606.684493301353,874.6666419693337,8.756641969333554,89.83,2070.898494269317,876.3733580306664,7.483283938667108,269.5767160613329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a,23,1568967420
31783,31783,998.0,1568968464.7337036,998.0,-93.93768930561363,674.4933185662195,8.48416264463151,549.5429044343015,0.00019422173500061035,728.8047259706534,26.81629539653441,619.887717989621,0.9002203941345215,712.019682395051,-23.941194650451077,610.2215905136758,0.7490861415863037,659.0000281268059,85.78700647800402,623.4808152296223,0.5556681156158447,698.5794642106639,-63.46311407239352,634.292498661428,0.27784258127212524,554.2380342369588,130.91979728047446,512.7758637629803,0.4324193298816681,551.4960909216878,-104.70674180592763,518.4396317066818,0.683396577835083,662.6998149459173,232.1749632212778,326.89302333605497,0.9894360303878784,605.4932863064963,-235.60903127968163,314.0219583107845,0.1486487090587616,828.1416563730124,250.53556853880283,209.82634312956586,0.9305322170257568,744.4070514727243,-246.37373045352643,176.2142189622148,0.8462120294570923,384.06845204177483,122.3008922193502,160.97772789758426,0.2389010190963745,420.3782399248453,-84.6681875736977,181.69333658305402,0.44323769211769104,589.0268437583712,158.191179907457,-45.525122983933144,0.17604154348373413,599.0993936071094,-111.25449793403618,-20.326986151585032,0.2953740656375885,530.2745535505741,158.30273312252191,-452.89948310028433,0.013044744729995728,751.8817107705615,-90.46338827633886,-22.69095128531416,0.10700947046279907,1761.39,1564.63,6.93,356.5,1440.09,866.28,7.01,268.61,1454.2,866.62,7.08,268.61,1761.21,944.22,8.07,179.85,1515.64,868.12,7.67,268.61,1610.66,870.47,7.45,268.68,2759.71,602.43,8.99,138.41,1760.64,1163.56,7.65,179.85,1760.55,1198.04,8.39,179.85,2012.28,875.92,6.3,269.55,2606.98,874.67,8.76,89.83,2070.65,876.37,7.49,269.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a,23,1568967420
31784,31784,998.0334154072564,1568968464.7674837,998.0334154072564,-86.87153372339407,672.514395526597,-1.3625655795593798,546.3040815411124,9.09566879272461e-05,714.8706375823863,25.37367889477323,612.7176893848297,0.6630104780197144,724.080653646266,-31.06861899038557,621.1323654501834,0.8692418336868286,650.3462403694878,80.6903943130902,621.6333932581401,0.5607035160064697,691.20805172886,-67.62632425042241,628.7205298197699,0.28761693835258484,552.0996498458268,124.0204845472028,514.8576098658804,0.604054868221283,550.7720933672496,-111.0906169383818,517.5424436540331,0.662889301776886,662.8093468637009,232.43673559034713,325.9399495926263,0.9877935647964478,598.2723540531385,-228.708667733172,310.80833761170396,0.12151941657066345,831.2326336851393,251.19927909421105,209.48221992635132,0.9312422275543212,758.1904605140942,-245.9203889768529,175.50903717776276,0.8914774060249329,379.0477032814337,122.81972640112869,165.5907849584421,0.2300776541233063,426.0412143324734,-93.27779406590736,175.16695029276107,0.028015345335006717,662.1067877397652,178.60030215636638,8.342459352671879,0.03020808100700378,608.4938726509021,-122.74923462757192,6.316589520535729,0.4321259260177612,499.07482745062117,185.5091022125073,-498.2673387754557,0.003860682249069214,654.3218077721083,-101.65482737581692,-20.978425921388094,0.29289743304252625,1761.3766338370974,1564.86056631007,6.93,356.65705241410546,1439.8560921492044,866.2733169185486,6.999975377823057,268.61,1453.9627506084794,866.6133169185488,7.08,268.61,1761.21,943.9493352012224,8.086707703628239,179.85,1515.3793598233995,868.1133169185488,7.693390785079534,268.61,1610.412725986302,870.4633169185487,7.439975377823057,268.68,2759.907150902813,602.2061167713815,9.013390785079533,138.41,1760.64,1163.3060429048508,7.643316918548706,179.85,1760.55,1197.7559690383198,8.423415407256478,179.85,2012.069482934284,875.9166584592743,6.3,269.55,2607.270714043131,874.67,8.743292296371761,89.83,2070.3993844455767,876.37,7.49,269.5633169185487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a,23,1568967420
31785,31785,998.0690232259767,1568968464.8034801,998.0690232259767,,673.1639569716358,-9.44621784491282,546.2529687068477,0.00013712048530578608,718.9564572518399,20.563242839454496,611.6423436751966,0.7170921564102173,728.2342083705537,-33.486963439659704,622.6960989931638,0.9188783168792723,667.285396879676,68.71029693758545,630.1044238265323,0.5994144678115845,716.2271266639818,-63.24895753270318,641.2176806536883,0.4569061398506165,561.4441792868006,128.3624964914762,511.5900843396617,0.4457544982433319,554.8892876014942,-116.83773629092406,517.5977418892147,0.7399426698684692,661.1959928415017,229.66937173034088,329.23104842446645,0.9876744747161864,604.5870085167276,-239.9166966463436,316.9978917037162,0.7807350158691406,845.1797429245006,254.40036519367592,216.25657955876,0.8733026385307312,748.8364974329531,-243.29919814204123,178.5874855392162,0.8063641786575317,381.525450710529,122.2627486457887,168.40739869873585,0.2349756956100464,446.5889155199327,-93.73284953283449,175.8962459661995,0.038140952587127686,567.0855958901419,159.21202720649964,-66.71727366191789,0.04976072907447815,622.1001282807421,-125.21508388422764,30.285943684844085,0.444095253944397,461.9188517623349,175.24215217531292,-544.0773331650635,0.003349006175994873,631.0903876939948,-109.35587073450844,-1.5998715788276172,0.3760266900062561,1761.3623907096094,1565.1062602592408,6.93,356.8244091620915,1439.6068374181616,866.2661953548047,6.989293032206924,268.61,1453.7099350955639,866.6061953548046,7.08,268.61,1761.21,943.6609118695868,8.104511612988459,179.85,1515.10161883738,868.1061953548046,7.718316258183843,268.61,1610.1492281277706,870.4561953548047,7.4292930322069255,268.68,2760.1172370332642,601.9675443859546,9.038316258183844,138.41,1760.64,1163.0354234825754,7.6361953548046175,179.85,1760.55,1197.453302579196,8.459023225976921,179.85,2011.8451536763453,875.9130976774022,6.3,269.55,2607.580502065999,874.67,8.725488387011541,89.83,2070.1323258051734,876.37,7.49,269.55619535480463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a,23,1568967420
31786,31786,998.1,1568968464.834795,998.1,-99.62787754188484,684.0453254664986,-7.275495507463948,562.9727103161182,0.00015604496002197266,716.9880182329131,16.554853387084307,617.3136477187708,0.9525320529937744,720.2339660621136,-36.47638931036639,616.2293587592769,0.974687159061432,682.5411454378348,59.11994222560715,634.6106851847071,0.6232429146766663,718.0134416097258,-64.99461038602959,641.6469131009062,0.4337921440601349,556.5886349749795,107.69405004313421,515.2903562806622,0.9265924692153932,556.4999989999832,-118.67691491451193,514.9115319069034,0.10421007871627808,663.624162998445,225.43395804441383,334.8148670797646,0.9824618101119996,608.4979486409474,-247.484704352528,310.88944558640554,0.9845013618469238,835.6399883816507,256.93880456813054,213.7148123427008,0.8703640699386597,744.8193997548371,-243.34049815720212,176.86929302417442,0.7556799650192261,386.9791096463231,113.96678989170736,127.0163783942208,0.15575435757637024,431.4866111698455,-98.55886215064587,195.0291397685506,0.14676225185394287,514.3962984301924,150.18239809619837,-104.61592180224092,0.05241891741752625,619.042641241951,-120.4148873994938,33.58924763454374,0.4957467019557953,438.8135389910793,168.6796339297039,-574.2893397636726,0.0027857720851898193,733.8315998790889,-105.32946896574572,50.303880301796205,0.05436679720878601,1761.35,1565.32,6.93,356.97,1439.39,866.26,6.98,268.61,1453.49,866.6,7.08,268.61,1761.21,943.41,8.12,179.85,1514.86,868.1,7.74,268.61,1609.92,870.45,7.42,268.68,2760.3,601.76,9.06,138.41,1760.64,1162.8,7.63,179.85,1760.55,1197.19,8.49,179.85,2011.65,875.91,6.3,269.55,2607.85,874.67,8.71,89.83,2069.9,876.37,7.49,269.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a,23,1568967420
31787,31787,998.1333927116301,1568968464.8684044,998.1333927116301,-82.74529755506968,684.9227028472524,-13.23122237904836,563.2418495100435,0.0002180635929107666,722.9507504587358,13.107528189515474,621.9027548900067,0.9625095129013062,717.8197732153909,-42.03361841622007,614.8022474911629,0.9728035926818848,691.3682903768042,54.88497222247649,641.3396542845919,0.5657931566238403,726.2401241736698,-69.33918559482981,647.2407365610076,0.33869659900665283,559.3920602749746,112.30374562834145,514.2813225004172,0.7732342481613159,553.3972525322948,-119.76396193585428,522.5124934004505,0.8975856304168701,668.6567423601329,223.8429755154987,335.60675130349637,0.985664963722229,593.4883152601496,-245.61699604022363,311.38442765980886,0.7857997417449951,839.8750609490057,255.32977968881386,212.25335036579688,0.8728433847427368,744.4408905432788,-242.2423296398746,184.4957275428769,0.7715798616409302,392.7735493239848,112.60029720174536,112.988355280223,0.1634806990623474,432.6930890758725,-98.1900310123227,205.05656998966882,0.2408137321472168,567.9592393043491,140.66006528500046,-81.49755585298541,0.07978415489196777,614.6397797901104,-127.55311624606816,31.61806185269887,0.3629692196846008,413.6852476115232,165.04791119521624,-605.2590935833632,0.008686482906341553,749.7826501330134,-96.40853913637298,47.683014398505925,0.10918718576431274,1761.343321457674,1565.5637667948984,7.066910117682854,357.17369554094284,1439.1562510185904,866.2533214576739,7.006714169303971,268.61,1453.259590289753,866.5966607288369,7.033250203718049,268.61,1761.21,943.1395190357973,8.086607288370034,179.85,1514.6028761204489,868.0933214576739,7.74,268.61,1609.6728939339387,870.4433214576741,7.406642915348014,268.66330364418496,2760.5003562697802,601.5362688320793,9.043303644185018,138.41,1760.64,1162.546215391612,7.623321457674008,179.85,1760.55,1196.9095012223086,8.459946559533032,179.85,2011.4396259167315,875.91,6.316696355814982,269.55,2608.140516591181,874.67,8.696642915348015,89.83,2069.6495546627752,876.366660728837,7.479982186511011,269.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a,23,1568967420
31788,31788,998.1695472246963,1568968464.9047935,998.1695472246963,-82.41610664618447,679.622585273689,-18.7454798580676,558.6019573486705,0.00020402669906616208,719.2078953837556,7.557162072609934,614.2320827650243,0.7766619920730591,700.9169301134875,-44.83380365567173,601.9874079306994,0.9604291915893556,697.6263728976323,48.497676524169904,641.1282375079752,0.6586900353431702,723.9565057805447,-71.79859227371597,646.6113847414396,0.38959744572639465,560.7727945218056,100.23441615108229,516.2588535664469,0.9160484075546264,554.995202290566,-120.93491344107096,518.8417367609484,0.15086135268211365,674.850616766091,220.5088045625597,342.80110834803105,0.980462610721588,598.6001558099432,-250.7200459415053,305.5162683026108,0.98388934135437,841.662601925568,255.11452511548646,217.831807061078,0.8599430918693542,731.3340746946394,-242.89035470729957,174.65468171783183,0.8007446527481079,389.38300318921654,115.60437176759716,155.3925156415603,0.15121081471443176,422.4787570275034,-100.59764312338076,201.826822145174,0.29016590118408203,503.51624254852203,142.3573083489741,-121.16183315162056,0.09155422449111936,623.8004213273277,-124.7074738736866,7.761105806491088,0.3814414739608765,401.2959098889673,186.52098364934918,-614.786776069525,0.005221724510192871,574.3707464517556,-134.6513775869085,-202.5491964206637,0.01958784461021424,1761.3360905550608,1565.8276947402828,7.215143621254739,357.3942380706473,1438.9031694271262,866.2460905550607,7.035637779757023,268.61,1453.0101241495956,866.5930452775306,6.982633885425211,268.61,1761.21,942.8466674799602,8.050452775303723,179.85,1514.3244863698385,868.0860905550608,7.74,268.61,1609.4053505372476,870.4360905550608,7.392181110121489,268.6452263876518,2760.7172833481777,601.294033594535,9.025226387651859,138.41,1760.64,1162.2714410923086,7.616090555060746,179.85,1760.55,1196.6058033125512,8.427407497773348,179.85,2011.2118524844132,875.91,6.334773612348138,269.55,2608.455060854857,874.67,8.682181110121489,89.83,2069.3783958147783,876.3630452775303,7.4691358325911175,269.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a,23,1568967420
31789,31789,998.2,1568968464.9354439,998.2,-82.89739208728787,670.5185836139859,-18.710372924077934,542.4566269389417,0.0001029372215270996,710.7931432687976,3.868676483765583,604.3340197163068,0.8515404462814331,705.7917455885507,-43.94395348161275,605.3289287827083,0.9328144788742064,699.6312939840393,46.255472802247326,639.3914038956293,0.7662796974182129,722.6482927246221,-72.75396201438275,644.2875179306496,0.4103656709194183,563.2458325072257,111.69576559398851,512.4691239932348,0.8016668558120728,555.9823937200091,-116.7388268533694,522.7131824500058,0.9298158288002014,672.8962357727129,221.32571722255886,337.2449588905047,0.982535183429718,592.2268338275494,-245.2517513242628,310.2898354846413,0.784576416015625,839.6999881062718,254.54001545151334,214.6865379016737,0.831527829170227,731.9983139745325,-242.44102192461315,178.316646016636,0.7974627017974854,371.0968914642497,111.82087537685119,154.91427275267688,0.13288527727127075,414.5830043941205,-99.61019686679785,202.2159771977756,0.1891187429428101,454.72776092931053,145.0934339104138,-142.99412840033742,0.10322347283363342,620.088590359476,-114.5474710852842,16.138691904514758,0.3197368383407593,375.9781374759603,198.14657317774362,-598.8403586071528,0.006509125232696533,566.1294738172937,-129.02650880192752,-267.5115903049324,0.012203514575958252,1761.33,1566.05,7.34,357.58,1438.69,866.24,7.06,268.61,1452.8,866.59,6.94,268.61,1761.21,942.6,8.02,179.85,1514.09,868.08,7.74,268.61,1609.18,870.43,7.38,268.63,2760.9,601.09,9.01,138.41,1760.64,1162.04,7.61,179.85,1760.55,1196.35,8.4,179.85,2011.02,875.91,6.35,269.55,2608.72,874.67,8.67,89.83,2069.15,876.36,7.46,269.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a,23,1568967420
31790,31790,998.2334144144783,1568968464.9691453,998.2334144144783,-82.49064073080483,664.9697699137317,-25.03602660207911,537.4244039081279,0.00010058283805847168,712.2510340034102,0.9783235251394444,605.9923044453864,0.8339790105819702,710.2692116608753,-44.10906445484994,609.8522684181587,0.9137833118438721,691.2495011762297,46.20197553879443,637.9551745736003,0.7548800706863403,726.8407372354231,-71.78277289006655,646.8314158742216,0.3419300615787506,563.3370585193625,113.7280695986928,512.5573853926884,0.8085943460464478,553.1221072176681,-121.74026534862342,518.0319423292019,0.12556514143943787,676.8684214997531,221.95057685333808,339.19329525739505,0.9815131425857544,614.9379757764805,-245.21260470668432,317.44423046391125,0.9860413074493408,842.2016716407076,256.86264404440146,216.78371678952053,0.7841621637344359,722.9893330990233,-240.4551788450098,178.37114965882978,0.7950537204742432,359.6296666767383,113.15047231286295,153.75543944133597,0.13822618126869202,411.7529973291858,-96.67595857417628,202.05502351190742,0.2165402173995972,468.2042669102492,145.50690218714118,-121.3855553563414,0.1777542233467102,617.9993894489296,-105.21483343541449,15.907016328383687,0.5193722844123839,347.2868616046801,177.3429349020053,-606.6848864989076,0.007709085941314697,576.2738410738939,-120.76950104408277,-313.6934533339957,0.0149727463722229,1761.326658558552,1566.2705351355569,7.079367567068792,357.80721801845283,1438.4527576572034,866.2366585585522,7.049975675656492,268.61,1452.5627576572033,866.5833171171042,6.99012162171754,268.61,1761.2133414414482,942.3326846841733,8.03670720723918,179.85,1513.8327090085165,868.0733171171044,7.726634234208658,268.61,1608.9327333328602,870.4233171171041,7.390024324343507,268.61329279276083,2761.0971450454217,600.866123422995,8.999975675656493,138.41,1760.64,1161.7827090085166,7.630048648687016,179.85,1760.55,1196.0693189183814,8.403341441447836,179.85,2010.8094891887865,875.9066585585523,6.326609909865147,269.55,2609.0107054059617,874.67,8.700072973030522,89.83,2068.8993918914125,876.3566585585522,7.456658558552164,269.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a,23,1568967420
31791,31791,998.2666212801364,1568968465.0026374,998.2666212801364,-82.49064073080483,664.8329216459712,-24.95142628521636,538.6428605378626,0.0001271665096282959,706.6823425449571,5.343701546837637,602.5590432057655,0.8159223198890686,712.8098844307158,-41.38698431957925,610.2768884400797,0.9174882173538208,678.5096501713667,50.472473712137976,633.1280077426175,0.7310886383056641,725.8827304477318,-69.79773149518965,646.3729375028797,0.3361525237560272,559.7547872592988,114.40861501450829,510.0833780031221,0.8039722442626953,551.67984072902,-126.22720570170134,514.6670949381495,0.7367305159568787,684.8925925544416,234.46580374358368,343.5566677260012,0.7241434454917908,604.0642413892888,-244.80135284554603,308.9178085305208,0.9867148399353028,836.7359747849789,254.54928378135966,215.35795931313882,0.9367058277130128,717.7881000850308,-239.5423548903041,178.86965346808918,0.7843018174171448,344.564985703071,124.77017991870622,157.33957989767478,0.07352781295776367,419.0076259663057,-93.31746873509844,204.3428396936582,0.2821516096591949,495.1388506375422,159.97212044818576,-72.5574047993634,0.2501963078975677,563.9531240010173,-103.77184273003769,-22.85863739166473,0.463072657585144,368.6539088795408,167.52078704496225,-575.472113596813,0.007225751876831055,593.907136016515,-113.21348907201164,-295.0131004953548,0.029303848743438717,1761.3233378719865,1566.4897004489014,6.820354014935032,358.03302470492844,1438.216988911031,866.2333378719864,7.0400136159590385,268.61,1452.3269889110306,866.5766757439728,7.0399319202048005,268.61,1761.2166621280137,942.0670297589077,8.053310640068268,179.85,1513.5770161429487,868.0666757439727,7.7133514879453875,268.61,1608.6870025269898,870.4166757439726,7.39998638404096,268.5966893599317,2761.2930655528053,600.6436374230852,8.99001361595904,138.41,1760.64,1161.5270161429487,7.649972768081922,179.85,1760.55,1195.790381246853,8.406662128013654,179.85,2010.6002859351397,875.9033378719862,6.303365103904426,269.55,2609.2996051371883,874.67,8.72995915212288,89.83,2068.650340398976,876.3533378719864,7.4533378719863475,269.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a,23,1568967420
