,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-K_out.14_x,H_in-K_out.14_y,H_in-K_out.14_speed,H_in-K_out.14_angle,Q_in-J_out.5_x,Q_in-J_out.5_y,Q_in-J_out.5_speed,Q_in-J_out.5_angle,Q_in-J_out.6_x,Q_in-J_out.6_y,Q_in-J_out.6_speed,Q_in-J_out.6_angle,H_in-K_out.15_x,H_in-K_out.15_y,H_in-K_out.15_speed,H_in-K_out.15_angle,H_in-K_out.16_x,H_in-K_out.16_y,H_in-K_out.16_speed,H_in-K_out.16_angle,H_in-K_out.17_x,H_in-K_out.17_y,H_in-K_out.17_speed,H_in-K_out.17_angle,H_in-K_out.18_x,H_in-K_out.18_y,H_in-K_out.18_speed,H_in-K_out.18_angle,K_in-H_out.14_x,K_in-H_out.14_y,K_in-H_out.14_speed,K_in-H_out.14_angle,Q_in-J_out.7_x,Q_in-J_out.7_y,Q_in-J_out.7_speed,Q_in-J_out.7_angle,K_in-H_out.15_x,K_in-H_out.15_y,K_in-H_out.15_speed,K_in-H_out.15_angle,H_in-K_out.19_x,H_in-K_out.19_y,H_in-K_out.19_speed,H_in-K_out.19_angle,K_in-H_out.16_x,K_in-H_out.16_y,K_in-H_out.16_speed,K_in-H_out.16_angle,H_in-K_out.20_x,H_in-K_out.20_y,H_in-K_out.20_speed,H_in-K_out.20_angle,Q_in-J_out.8_x,Q_in-J_out.8_y,Q_in-J_out.8_speed,Q_in-J_out.8_angle,Q_in-J_out.9_x,Q_in-J_out.9_y,Q_in-J_out.9_speed,Q_in-J_out.9_angle,H_in-K_out.21_x,H_in-K_out.21_y,H_in-K_out.21_speed,H_in-K_out.21_angle,Q_in-J_out.10_x,Q_in-J_out.10_y,Q_in-J_out.10_speed,Q_in-J_out.10_angle,Q_in-J_out.11_x,Q_in-J_out.11_y,Q_in-J_out.11_speed,Q_in-J_out.11_angle,W_in-P_out.0_x,W_in-P_out.0_y,W_in-P_out.0_speed,W_in-P_out.0_angle,conflict_4a_x,conflict_4a_y,conflict_4a_speed,conflict_4a_angle,W_in-P_out.1_x,W_in-P_out.1_y,W_in-P_out.1_speed,W_in-P_out.1_angle,W_in-P_out.2_x,W_in-P_out.2_y,W_in-P_out.2_speed,W_in-P_out.2_angle,W_in-P_out.3_x,W_in-P_out.3_y,W_in-P_out.3_speed,W_in-P_out.3_angle,scenario,participant_id,source_file
23971,23971,740.0667493902803,1568817425.069505,740.0667493902803,-104.71461963290592,669.4755465111235,128.47380640755546,616.1734474286118,0.9891798496246338,693.4282241251979,158.16983884558576,666.9153922987092,0.982388198375702,707.9544416314395,103.85182496023589,669.3799997893143,0.9486092329025269,668.2473285688783,194.44439373542943,677.8965229614545,0.2606890797615051,664.7959017222285,54.54355265056283,671.4508426080897,0.18479058146476746,511.724209422668,244.74251933464214,496.80711307324884,0.5777237415313721,521.2458340825307,11.610114321782007,508.3451153889645,0.047181904315948486,586.4095119890652,328.10208725204535,270.80907418647627,0.9798071980476379,584.5503796229343,-110.16669092209804,311.3378165221703,0.5580279231071472,739.904251443783,330.3341934237445,76.48373038587096,0.8887091279029846,714.6950810435243,-137.84251807127146,112.3059122704146,0.1591677963733673,441.4429640674138,195.9196533554432,16.501195257680962,0.028609097003936768,419.7034376808297,-0.9021263147694204,107.8735570257808,0.030818045139312744,442.97269150846313,180.4775783498949,-347.68550013593574,0.0239524245262146,656.14944450737,-54.770045903304045,-31.580607009721064,0.14947810769081116,233.80452921133735,145.83473441404198,-853.4351692061674,0.00987514853477478,434.6084133859568,-158.91164813020757,-634.6157832159485,0.008722782135009766,1761.546650121944,1646.8904963416805,6.08665012194397,358.7399255487478,1595.032803902207,870.0466501219438,6.380074451252137,268.59002481708404,1760.51,735.7992803045627,8.77325060971985,180.37,1761.1,984.6993795728987,7.46339951222412,179.85,1609.529478841235,870.443325060972,6.313275426803894,268.653300243888,1622.769478841235,870.746650121944,6.376674939028015,268.68,1636.802803902207,871.073325060972,6.376724573196106,268.68,1761.9293795728988,873.853325060972,7.50665012194397,269.13,2661.6636228659804,739.3659552435907,9.35325060971985,158.34530999940554,1760.97,1034.8959056094222,9.176699756112061,179.85,2575.090670061269,874.5766749390282,8.100024817084044,89.83,1853.4293795728988,874.6733250609718,7.553300243887941,269.55,2379.9639703051566,874.01,7.69995036583191,89.83,1868.6593795728988,874.7933250609718,7.503374695140074,269.55,1759.92,1440.2593299387308,8.033374695140076,179.85,1759.186674939028,1533.7726798167869,7.940024817084045,179.28,1930.2426053655347,875.273325060972,8.863325060971984,269.55,1758.986674939028,1549.4260048777592,7.90669975611206,179.28,1758.796674939028,1565.0426798167869,7.94,179.28,221.8273201832132,2103.756526036524,8.11330024388794,102.2,,,,,,,,,,,,,,,,,4a,21,1568816637
23972,23972,740.1,1568817425.1028225,740.1,-104.5403360273047,666.1309613610588,134.13829312484236,614.9924639959252,0.9853753447532654,687.2413449650501,159.19332210009946,664.6324980307868,0.9759812355041504,703.7929506789499,107.99102363117814,668.8604041142041,0.9458355903625488,659.6535698087922,194.36794902010325,673.8352925760389,0.3042774796485901,667.8038589590171,57.44841061694853,675.7592019939382,0.27176839113235474,496.5117191180365,252.12421048559662,519.0948928580931,0.9632844924926758,526.3771159545099,-0.36604969768789,548.7416603352276,0.7216894030570984,577.6301346280106,332.33754726256717,270.4633779195889,0.9738755226135254,583.8167483132593,-106.6413184787871,298.50959063134917,0.8897812962532043,752.4588163111885,327.68920519699435,82.71401024895657,0.9486731886863708,715.1373612542003,-140.15730446870887,92.43818322363977,0.8346750736236572,426.3659213779555,189.11826390206338,46.91662760262247,0.28295260667800903,437.9986410056224,-15.165846904033472,113.7551299109642,0.4134356379508972,572.37758124876,185.8420950565307,-210.32257917018532,0.026415377855300903,667.1381296591263,-56.739468561211844,-33.59758510651892,0.13655909895896912,255.21499103112183,162.8067801254659,-829.9131216978383,0.0046440958976745605,497.4576712266685,-116.38586672906143,-567.723434847481,0.034050196409225464,1761.54,1647.09,6.08,358.71,1594.82,870.04,6.41,268.6,1760.51,735.51,8.74,180.37,1761.1,984.45,7.49,179.85,1609.32,870.44,6.29,268.64,1622.56,870.74,6.38,268.68,1636.59,871.07,6.4,268.68,1761.68,873.85,7.5,269.13,2661.78,739.08,9.32,157.8,1760.97,1034.59,9.19,179.85,2575.36,874.58,8.11,89.83,1853.18,874.67,7.54,269.55,2380.22,874.01,7.68,89.83,1868.41,874.79,7.52,269.55,1759.92,1439.99,8.05,179.85,1759.19,1533.51,7.95,179.28,1929.95,875.27,8.86,269.55,1758.99,1549.16,7.92,179.28,1758.8,1564.78,7.94,179.28,222.09,2103.7,8.1,102.2,,,,,,,,,,,,,,,,,4a,21,1568816637
23973,23973,740.1327052779076,1568817425.1362116,740.1327052779076,-104.36520477375977,659.0136104605657,129.06432479471766,614.5325639659836,0.9840941429138184,677.2717233693568,158.31878308641726,663.0625910523922,0.9706739187240601,697.1792124769194,108.79961898448715,671.6250938010804,0.9199001789093018,658.7326568687795,194.14004528092426,674.5262151216932,0.2684147357940674,666.940964170305,56.44690343390812,685.7759201119562,0.5189304351806641,505.14018706375055,245.19061014120769,510.7176987088269,0.9398126602172852,517.6936380729381,-4.785262475622906,531.6911030814556,0.1478726863861084,579.1627223306364,330.3730589240411,274.6176606301782,0.9213329553604126,584.5734022639887,-105.8016123490597,312.1784843694661,0.3599506914615631,747.677976791589,325.21279845141663,81.54406109088163,0.9620586633682252,719.0591743897669,-136.7006730573605,108.3588758136911,0.08191725611686708,440.88009090108017,183.57758023113536,40.69249995648728,0.084250807762146,405.7965806680809,-13.652253911006708,138.8602019082058,0.3261104226112366,590.3992596354772,185.3318227388077,-168.6634444760232,0.12165951728820801,644.4781724020075,-55.05395892632418,-28.60686385507861,0.1541057825088501,206.2408667521776,171.21908381313983,-881.0329917454654,0.004987508058547975,505.2334393057669,-108.29789840767592,-522.6550753186309,0.024978727102279663,1761.5367294722091,1647.2895021952359,6.0734589444184905,358.69037683325547,1594.6139567491825,870.0367294722093,6.387106305464719,268.6032705277908,1760.5067294722091,735.2221935544136,8.743270527790754,180.37,1761.1032705277908,984.2079809434842,7.467106305464719,179.85,1609.1139567491825,870.4334589444185,6.312893694535282,268.62364736104615,1622.3539567491825,870.7367294722093,6.340753666510945,268.68,1636.3839567491825,871.0634589444185,6.377106305464718,268.68,1761.4379809434845,873.8467294722093,7.477106305464718,269.13,2661.8977390004675,738.8020051377858,9.32654105558151,157.62339149929926,1760.9732705277909,1034.2891114432505,9.203082111163019,179.85,2575.624912751052,874.58,8.113270527790753,89.83,1852.9314398879028,874.67,7.546541055581509,269.55,2380.468560112097,874.01,7.663647361046227,89.83,1868.1614398879028,874.79,7.539623166744528,269.55,1759.92,1439.7283577767396,8.040188416627737,179.85,1759.1932705277911,1533.2483577767396,7.9467294722092445,179.28,1929.658923026623,875.27,8.856729472209246,269.55,1758.9932705277909,1548.9048988323211,7.906917888836983,179.28,1758.8032705277908,1564.5216283045306,7.913835777673963,179.28,222.35164222326043,2103.6509420831385,8.12943475011679,102.12477786081264,,,,,,,,,,,,,,,,,4a,21,1568816637
23974,23974,740.1654203643158,1568817425.1696107,740.1654203643158,-94.21179417606692,661.3036217306193,131.93297909809792,617.3323562887706,0.9923610091209412,681.3035707388563,161.7075785811459,668.0201968835597,0.9654581546783448,701.6340976058086,111.70098139845553,676.1191849168019,0.9434946179389954,658.0107552212285,195.6681354663166,680.8856438558722,0.5107700824737549,663.1382060515813,56.19562656726777,689.0732845807346,0.4778538942337036,511.4060265788023,243.56935774594658,508.94998557140815,0.9404401779174804,517.0072535064505,-5.665578952835835,524.3960039185981,0.15949121117591858,580.1968047189445,328.1671040275982,273.14179600169814,0.9733127951622008,591.052175643676,-103.48307124020374,318.01662574851736,0.399539977312088,749.2016465268563,325.21999044260065,82.8900064052645,0.9610418081283568,723.3194121028466,-139.3396774632067,113.01765294310093,0.5362032651901245,429.69145481043,185.83256608513042,58.321530235573704,0.3431953191757202,387.829325944905,-12.848614696458124,141.35363270281445,0.3672087788581848,650.2159905132593,188.1787909300226,-123.8109156900155,0.028483688831329342,638.4760781566567,-54.489431710894706,-33.0951974739842,0.14067590236663818,265.6324310647959,174.4967778111341,-817.2817262378662,0.004940539598464966,534.7184845615568,-109.75147739332749,-511.31012726658605,0.02697008848190308,1761.5334579635685,1647.489064222326,6.066915927136854,358.6707477814106,1594.407851704811,870.0334579635684,6.364205744978992,268.60654203643156,1760.5034579635685,734.9343007940216,8.746542036431572,180.37,1761.1065420364316,983.9658893040636,7.444205744978992,179.85,1608.907851704811,870.4269159271369,6.335794255021009,268.6072898178421,1622.147851704811,870.7334579635684,6.301495562821128,268.68,1636.177851704811,871.0569159271369,6.354205744978992,268.68,1761.1958893040635,873.8434579635684,7.454205744978991,269.13,2662.015513311537,738.5239269033164,9.333084072863146,157.44673003269511,1760.9765420364315,1033.9881326482953,9.216168145726293,179.85,2575.889904950957,874.58,8.116542036431571,89.83,1852.6828052312005,874.67,7.553084072863145,269.55,2380.7171947687993,874.01,7.647289817842138,89.83,1867.9128052312005,874.79,7.559252218589437,269.55,1759.92,1439.4666370854745,8.030373890705281,179.85,1759.1965420364315,1532.9866370854745,7.943457963568427,179.28,1929.3677587575896,875.27,8.853457963568427,269.55,1758.9965420364315,1548.6497211583373,7.893831854273709,179.28,1758.8065420364317,1564.2631791219058,7.88766370854742,179.28,222.6133629145258,2103.6018694535264,8.158878327884151,102.04953316207384,,,,,,,,,,,,,,,,,4a,21,1568816637
23975,23975,740.2,1568817425.2049134,740.2,-95.56836828273636,660.6993107393315,135.2411268407251,619.012163386823,0.9937330484390259,680.972831008006,163.50652464564138,669.6950454901889,0.9630960822105408,703.8396720883362,113.14622035023748,678.9945341532848,0.9294019937515259,655.5830553756352,197.00069105602833,682.1682479371564,0.4381348490715027,662.5334648433764,56.20444657050186,689.0374086760824,0.4808624684810638,506.66269037750715,242.0581933730714,509.4479482765107,0.9242687225341796,511.8415727210824,-7.925293474376961,519.095853713238,0.17110800743103027,581.9263728495906,328.25952311178145,269.3897205992444,0.959551215171814,580.1471383854472,-105.4239540479582,315.9377818914105,0.4047916531562805,743.6047697765769,330.3997623041172,79.94832446513902,0.921273112297058,710.3267860403495,-142.99996300054684,104.2410285214898,0.4874667227268219,447.76584704396095,191.84477222473262,32.56602185451126,0.03069829940795898,377.60436281962217,-15.994282109364194,142.21460533918298,0.3851967453956604,514.2363357302844,192.85507684796056,-268.628962261119,0.02654680609703064,644.5392948299769,-54.20479071389537,-23.94586372489195,0.1008070707321167,268.38056625215427,178.18699276994911,-816.8796209731787,0.004469096660614014,542.3717582257522,-95.17736423741242,-513.1433731877773,0.03437325358390808,1761.53,1647.7,6.06,358.65,1594.19,870.03,6.34,268.61,1760.5,734.63,8.75,180.37,1761.11,983.71,7.42,179.85,1608.69,870.42,6.36,268.59,1621.93,870.73,6.26,268.68,1635.96,871.05,6.33,268.68,1760.94,873.84,7.43,269.13,2662.14,738.23,9.34,157.26,1760.98,1033.67,9.23,179.85,2576.17,874.58,8.12,89.83,1852.42,874.67,7.56,269.55,2380.98,874.01,7.63,89.83,1867.65,874.79,7.58,269.55,1759.92,1439.19,8.02,179.85,1759.2,1532.71,7.94,179.28,1929.06,875.27,8.85,269.55,1759.0,1548.38,7.88,179.28,1758.81,1563.99,7.86,179.28,222.89,2103.55,8.19,101.97,,,,,,,,,,,,,,,,,4a,21,1568816637
23976,23976,740.223810440134,1568817425.2361846,740.223810440134,-90.6340874285203,663.2217229570957,136.78922888401647,620.228405187974,0.9958077669143676,671.1529005579819,165.3795959629363,666.61073494676,0.9705110788345336,695.0109628728626,113.56736178609651,676.8191975966032,0.9535999894142152,650.0668650591571,197.52545034266623,681.7764575041506,0.3383612036705017,662.4981086862647,57.94622787295801,688.6691949694516,0.4935247600078583,506.0584487755097,243.20291496429138,509.8258594587403,0.9139173030853271,506.7649090103072,-9.350260203686444,516.3807285920743,0.17420339584350586,578.4415805336038,328.1569910586598,268.1692641026912,0.949994683265686,581.1386147555256,-104.26543325798063,314.40160789006785,0.4215428829193115,754.2793734539026,330.0818194282599,87.76886414885027,0.9019483923912048,707.1887026391969,-143.81957683221472,101.2040315939282,0.4938466846942902,443.11385783114054,195.9386322025895,15.614941636443007,0.0317879319190979,382.1071444339467,-14.433007650413193,145.44711720290354,0.35149216651916504,391.65158147624936,181.15588026334046,-433.7447465856163,0.011399507522583008,622.260909452133,-49.28743238877014,-14.5412619168755,0.2610573172569275,287.1955072071793,179.20902757468608,-797.6823554577542,0.004610061645507813,520.1501296895543,-102.1997528679822,-504.769086551338,0.020816206932067868,1761.5252379119734,1647.8428626408038,6.06,358.6452379119732,1594.0376131831424,870.0252379119731,6.344762088026795,268.61,1760.4976189559866,734.420468126821,8.769048352107182,180.37,1761.11,983.5338027430086,7.417618955986602,179.85,1608.5376131831424,870.4152379119731,6.36,268.578094779933,1621.7776131831424,870.7252379119733,6.290953572174172,268.68,1635.809994227156,871.0476189559865,6.310951647892817,268.68,1760.7638027430087,873.8376189559866,7.43,269.13,2662.225717584482,738.0252302148479,9.335237911973204,157.26,1760.98,1033.4509439507674,9.222856867959807,179.85,2576.362864565085,874.58,8.12,89.83,1852.2414216989953,874.6676189559864,7.54809477993301,269.55,2381.165721433045,874.0123810440134,7.653810440133978,89.83,1867.4714216989953,874.7876189559864,7.570475823946409,269.55,1759.92,1438.9995164789282,8.024762088026796,179.85,1759.2023810440135,1532.5195164789282,7.951905220066989,179.28,1928.8480870828075,875.2676189559867,8.854762088026797,269.55,1759.0023810440134,1548.1918975229416,7.884762088026795,179.28,1758.8123810440134,1563.804278566955,7.852856867959807,179.28,223.08286456508517,2103.526189559866,8.180475823946407,101.78427856695495,,,,,,,,,,,,,,,,,4a,21,1568816637
23977,23977,740.2502030479892,1568817425.270847,740.2502030479892,-90.63786323250021,661.9549334366898,138.48736393070243,623.3538662824442,0.9959040880203248,671.4289073920455,168.59366756039327,673.1073176762678,0.9872738718986512,700.7079531329375,114.09322239894941,681.3890454975602,0.9395266771316528,648.639851240182,192.13050504539726,681.1528504919357,0.3165401518344879,657.1518615194502,57.9195352942999,688.036913170077,0.466994971036911,494.3223172994537,248.27842831378143,516.5920276939897,0.8016746044158936,507.5809756152208,-11.0573215701806,516.5597304785738,0.1531098186969757,584.8365352142483,328.95602003551636,273.4120663109322,0.9559566974639891,581.3535464876524,-103.68341686454436,314.10655075040415,0.43245887756347656,749.3686161142889,329.2518077608601,84.24252236204217,0.910902738571167,708.9132265899426,-144.3473505161351,101.7952816228523,0.4325672686100006,448.46159703753233,198.0479556664584,9.053357314376797,0.03291037678718567,388.55499813550745,-4.879577679261931,144.07444782908675,0.08118760585784912,337.4511211844747,171.94874548712409,-512.1565390664716,0.01007881760597229,617.2865030945184,-44.290842343701705,-17.628945735091207,0.2398132383823395,263.7105275559412,180.28572543681457,-821.9044990827638,0.008040696382522583,516.8559579516276,-102.64213562034712,-488.02127557275526,0.03652232885360719,1761.5199593904022,1648.0012182879345,6.06,358.6399593904022,1593.8687004928695,870.0199593904023,6.3500406095978175,268.61,1760.4949796952012,734.1882131776961,8.790162438391272,180.37,1761.11,983.3384974448807,7.41497969520109,179.85,1608.3687004928695,870.4099593904023,6.36,268.56489847600545,1621.6087004928695,870.7199593904022,6.325263962385817,268.68,1635.6437207976687,871.0449796952009,6.289837561608728,268.68,1760.5684974448807,873.8349796952011,7.43,269.13,2662.320730972761,737.7982537872937,9.32995939040218,157.26,1760.98,1033.2081319585004,9.214939085603273,179.85,2576.576644688712,874.58,8.12,89.83,1852.0434771400821,874.6649796952009,7.534898476005456,269.55,2381.371583774315,874.0150203047989,7.68020304798909,89.83,1867.2734771400822,874.7849796952011,7.559918780804363,269.55,1759.92,1438.7883756160873,8.030040609597817,179.85,1759.2050203047988,1532.3083756160872,7.965101523994544,179.28,1928.6131928728967,875.2649796952011,8.860040609597819,269.55,1759.0050203047988,1547.9833959208859,7.8900406095978175,179.28,1758.815020304799,1563.598416225685,7.844939085603273,179.28,223.29664468871158,2103.499796952011,8.169918780804364,101.5784162256851,,,,,,,,,,,,,,,,,4a,21,1568816637
23978,23978,740.274631073513,1568817425.3029294,740.274631073513,-83.35483871879148,658.3928891018433,139.3937618054862,624.3702368121552,0.9946791529655457,663.2139670566,168.78519836938366,673.5785832652226,0.9846696257591248,699.1459010945352,112.4971707896203,683.0264255726372,0.9255237579345704,648.1730790906847,190.05934960407055,680.9538067186098,0.2961024343967438,651.1470753942448,55.787201012632465,686.3929018318145,0.3819679021835327,509.53269979794334,245.02155361169724,511.2974609271532,0.9231059551239014,503.8500480580439,-3.66532543288856,510.6111121564832,0.33716532588005066,581.8824935983519,326.70317993165133,270.2663609403334,0.980862319469452,581.784157400056,-102.25987759882456,313.15648637422464,0.4537180066108704,735.8534356575406,324.95868344416704,72.52763711858535,0.9626448154449464,714.5095073020295,-140.12346032222237,110.02493510951048,0.10684490203857422,428.84399067278486,188.9104986804168,34.741253785006926,0.29062753915786743,406.4130520235642,-8.904729074866708,151.07288816293297,0.34763625264167786,536.8011567370893,180.76394338207407,-274.61256950368187,0.02854996919631958,627.7372237735344,-50.59027723267853,-22.078212093294468,0.1322825253009796,231.70508094980858,180.15682607603523,-854.1120354250778,0.0044701993465423575,465.64444278154815,-158.34631081032754,-571.8257437037663,0.010651588439941406,1761.5150737852973,1648.1477864410779,6.06,358.6350737852974,1593.7123611295167,870.0150737852974,6.354926214702599,268.61,1760.4925368926486,733.9732465530857,8.8097048588104,180.37,1761.11,983.1577300560041,7.4125368926487,179.85,1608.2123611295167,870.4050737852974,6.36,268.5526844632435,1621.4523611295167,870.7150737852976,6.3570203955669005,268.68,1635.489824236868,871.0425368926486,6.2702951411896,268.68,1760.387730056004,873.8325368926488,7.43,269.13,2662.4086718646467,737.5881727677883,9.3250737852974,157.26,1760.98,1032.9833941236805,9.207610677946098,179.85,2576.774511695455,874.58,8.12,89.83,1851.8602669486527,874.6625368926486,7.5226844632434995,269.55,2381.562122373401,874.0174631073512,7.704631073513001,89.83,1867.0902669486527,874.7825368926486,7.5501475705948,269.55,1759.92,1438.5929514118961,8.0349262147026,179.85,1759.2074631073515,1532.1129514118961,7.9773155367565,179.28,1928.3957834457347,875.2625368926488,8.8649262147026,269.55,1759.0074631073514,1547.7904145192472,7.8949262147026,179.28,1758.8174631073514,1563.4078776265985,7.837610677946099,179.28,223.49451169545532,2103.475368926487,8.1601475705948,101.38787762659858,,,,,,,,,,,,,,,,,4a,21,1568816637
23979,23979,740.3,1568817425.3362474,740.3,-83.09961147966445,656.7931028179096,138.60814790206516,627.4968783771029,0.9970251321792604,669.5718741169783,167.28283373247598,676.5966782604718,0.9906940460205078,695.3300549540246,112.6140417945377,682.3255243167632,0.9562455415725708,654.819906250562,188.6822399452396,684.701534369676,0.26634055376052856,645.5854828209308,54.557151641429996,686.5572080098327,0.5095010995864868,495.1065149672937,250.20294266768084,522.9492672342009,0.968056321144104,510.0083976859983,-9.778007663177695,545.8093980010522,0.7205204367637634,582.4039616232427,324.8853368785344,268.54564407028744,0.9781525731086732,579.9698300110657,-111.56238359466793,308.6016831608684,0.5094379782676697,752.1372655835472,323.2715476820553,82.73426263364941,0.95723295211792,715.5719083324827,-140.07823795185402,102.37698421149548,0.5782915353775024,435.44656444597024,195.5803471584824,14.754371736687913,0.04326334595680237,415.9748780213243,-2.197558663135215,125.78381194353086,0.03760233521461487,402.158436675444,174.6525847569769,-437.5653059048475,0.013285964727401732,625.7859784110246,-46.51512060875318,-40.1692438159221,0.1036818027496338,241.7563522689153,178.745612450124,-841.981836941751,0.006134450435638428,511.31255766337824,-132.15272092058672,-540.8280087284038,0.014974862337112428,1761.51,1648.3,6.06,358.63,1593.55,870.01,6.36,268.61,1760.49,733.75,8.83,180.37,1761.11,982.97,7.41,179.85,1608.05,870.4,6.36,268.54,1621.29,870.71,6.39,268.68,1635.33,871.04,6.25,268.68,1760.2,873.83,7.43,269.13,2662.5,737.37,9.32,157.26,1760.98,1032.75,9.2,179.85,2576.98,874.58,8.12,89.83,1851.67,874.66,7.51,269.55,2381.76,874.02,7.73,89.83,1866.9,874.78,7.54,269.55,1759.92,1438.39,8.04,179.85,1759.21,1531.91,7.99,179.28,1928.17,875.26,8.87,269.55,1759.01,1547.59,7.9,179.28,1758.82,1563.21,7.83,179.28,223.7,2103.45,8.15,101.19,,,,,,,,,,,,,,,,,4a,21,1568816637
23980,23980,740.3500613588852,1568817425.369705,740.3500613588852,-94.8362645039398,653.2195615298297,138.8052654583879,626.2477901731343,0.9967491626739502,659.730950515695,169.14002796499818,674.3440569959183,0.9908074140548706,692.3492753741318,112.23997930672282,681.5105284260442,0.954715132713318,651.3410226989517,190.63110172556907,684.6762211261349,0.2654856741428375,644.7193087846327,53.350469791211474,688.9947217242708,0.481970340013504,511.9587383201895,245.3938679614336,514.9755019837465,0.884677529335022,504.46340357762045,-13.137467964439635,528.4740782164811,0.12501093745231628,588.6329926002481,325.6901672215244,276.8004401477412,0.9305872917175292,566.7889291076306,-107.74646599536241,306.2539878490071,0.463260143995285,739.5813375227713,324.6236391890752,73.61665286314553,0.9621473550796508,710.8476690799499,-142.95063275752926,103.26116363941313,0.41254207491874695,439.20592002602217,198.2006657918858,4.0949503430449,0.03740522265434265,410.10764868180166,-9.711460590138396,146.62944367180253,0.3418269157409668,332.2686884875417,181.98892356903386,-516.9506556307631,0.014394283294677734,637.9154847154738,-50.551243721599405,-29.42414895356637,0.168398916721344,258.779909833964,178.92284417744114,-824.5430640810347,0.004593163728713989,467.8013298357824,-168.88471546832113,-590.36412127207,0.015071749687194824,1761.5049938641116,1648.6053742892002,6.054993864111474,358.61998772822295,1593.2346134390232,870.0049938641115,6.365006135888526,268.61,1760.49,733.3094600418096,8.784944777003265,180.37,1761.11,982.5945398083604,7.4250184076655765,179.85,1607.7296073031346,870.389987728223,6.385030679442631,268.5149693205574,1620.9746134390232,870.7049938641114,6.3399386411147365,268.68,1635.0096073031345,871.029987728223,6.3300981742164195,268.68,1759.824539808361,873.8249938641114,7.455030679442631,269.13,2662.680220891987,736.9394723135867,9.335018407665578,157.26,1760.98,1032.2844293623668,9.220024543554104,179.85,2577.3854970069706,874.58,8.084957048780318,89.83,1851.2895336724719,874.6549938641115,7.545042951219683,269.55,2382.140466327528,874.02,7.699963184668842,89.83,1866.524539808361,874.7749938641115,7.509963184668844,269.55,1759.92,1437.9895091289181,7.999950912891791,179.85,1759.2150061358884,1531.5145152648065,7.984993864111473,179.28,1927.7294600418095,875.2549938641115,8.864993864111474,269.55,1759.0150061358884,1547.1895091289182,7.930036815331158,179.28,1758.8250061358883,1562.8145152648065,7.865042951219682,179.28,224.1054970069706,2103.3999386411147,8.170024543554106,100.80452753658348,,,,,,,,,,,,,,,,,4a,21,1568816637
