,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.17_x,H_in-C_out.17_y,H_in-C_out.17_speed,H_in-C_out.17_angle,E_in-C_out.4_x,E_in-C_out.4_y,E_in-C_out.4_speed,E_in-C_out.4_angle,H_in-C_out.18_x,H_in-C_out.18_y,H_in-C_out.18_speed,H_in-C_out.18_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,H_in-C_out.20_x,H_in-C_out.20_y,H_in-C_out.20_speed,H_in-C_out.20_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,E_in-C_out.5_x,E_in-C_out.5_y,E_in-C_out.5_speed,E_in-C_out.5_angle,H_in-C_out.23_x,H_in-C_out.23_y,H_in-C_out.23_speed,H_in-C_out.23_angle,H_in-C_out.24_x,H_in-C_out.24_y,H_in-C_out.24_speed,H_in-C_out.24_angle,E_in-C_out.6_x,E_in-C_out.6_y,E_in-C_out.6_speed,E_in-C_out.6_angle,H_in-C_out.25_x,H_in-C_out.25_y,H_in-C_out.25_speed,H_in-C_out.25_angle,E_in-C_out.7_x,E_in-C_out.7_y,E_in-C_out.7_speed,E_in-C_out.7_angle,H_in-C_out.26_x,H_in-C_out.26_y,H_in-C_out.26_speed,H_in-C_out.26_angle,H_in-C_out.27_x,H_in-C_out.27_y,H_in-C_out.27_speed,H_in-C_out.27_angle,E_in-C_out.8_x,E_in-C_out.8_y,E_in-C_out.8_speed,E_in-C_out.8_angle,conflict_3a_x,conflict_3a_y,conflict_3a_speed,conflict_3a_angle,H_in-C_out.28_x,H_in-C_out.28_y,H_in-C_out.28_speed,H_in-C_out.28_angle,H_in-C_out.29_x,H_in-C_out.29_y,H_in-C_out.29_speed,H_in-C_out.29_angle,E_in-C_out.9_x,E_in-C_out.9_y,E_in-C_out.9_speed,E_in-C_out.9_angle,scenario,participant_id,source_file
11566,11566,618.0,1568223933.5865517,618.0,-82.62070659307928,,559.6316197910057,97.32896131506729,640.4135523733572,0.9950714111328124,569.4057089951598,126.90659764102683,680.6909509994584,0.9969414472579956,591.0697691493604,72.23246905533249,687.8558713304812,0.9801554679870604,535.9622709358716,169.75151584611518,697.2736476180826,0.9780267477035522,530.749674983965,20.07431504267964,686.5505479278993,0.6220421195030212,430.59042725643167,241.43364660067496,527.2637163867598,0.4611622989177704,422.2683384265042,-33.50214359387702,538.3661600056206,0.43709272146224976,537.1775064410286,291.33428552188025,359.4056301930558,0.24133628606796265,502.3372567152082,-106.71483446828779,328.6808565905408,0.877826988697052,697.7613507508992,325.3961887068514,142.86745215971368,0.12187030911445618,591.6229754865072,-156.21225331206932,92.01337692704058,0.02934390306472778,398.50551613940274,173.39627423236405,51.6587722851622,0.35398274660110474,404.94036308138914,-27.23234562384239,164.78190228310064,0.29493600130081177,669.8558034672265,169.892977789864,-75.21138409750326,0.04487526416778565,648.3205881735067,-5.371821678256158,81.03739764849763,0.3506805896759033,319.4831451437916,213.03830823787368,-704.7040380768826,0.001582026481628418,316.4643098223914,-182.31177509757407,-547.8807027443232,0.0028211772441864014,3210.13,753.29,4.58,0.98,3203.11,464.68,7.97,179.77,3207.52,71.53,7.32,179.26,3201.95,611.73,7.98,179.46,3197.35,722.0,7.96,179.64,3197.03,772.07,7.98,179.64,3196.13,881.02,5.53,130.84,3193.23,882.74,6.21,93.34,3203.26,637.4,8.46,179.46,2851.89,880.33,7.97,89.69,2652.45,814.19,7.94,353.93,3201.74,981.72,8.2,179.45,2658.4,780.2,7.3,346.68,3200.71,1090.24,8.28,179.45,2715.17,664.49,7.25,322.4,2758.05,614.63,7.98,318.43,,,,,,,,,,,,,,,,,,,,,3a,7,1568223547
11567,11567,618.0331877501222,1568223933.6198866,618.0331877501222,-105.40331546277979,,560.0224615994022,94.79237869333444,639.6018642929671,0.9937299489974976,568.7408742168981,126.58420784054148,679.9808886298897,0.9950032234191896,578.3938054288509,67.93700079516293,682.4268025971833,0.9676572680473328,546.5431527226094,168.43937964446496,705.6765827122963,0.9779636263847352,546.5305552500572,17.54981991231266,691.7533071434152,0.593563973903656,424.05190837705743,248.3217495120633,546.6053030844672,0.9042198657989502,428.0686513950458,-33.31462515343226,541.1997073591086,0.4500625729560852,542.2682814989847,298.5145950175658,354.76082895426043,0.3473670482635498,521.6467369546673,-103.16026170015108,362.8851741807061,0.698111891746521,708.0124193146678,327.0607187396609,146.72916033534992,0.2521765828132629,658.0376617133478,-161.45865311043042,153.22218339695215,0.5451449155807495,391.04141552884886,185.27538089266548,33.754406865464354,0.06786990165710449,410.4781510308561,-28.78011753716837,162.60945987553552,0.07924306392669678,608.0920027132959,166.48534895128103,-144.63733922573874,0.0736629068851471,647.522305586074,-9.087818726214193,94.01634250882368,0.2870040535926819,306.4871776411232,185.85262055163528,-721.7971346179555,0.008570671081542969,430.89740021148316,-124.8379749999708,-439.1894352690387,0.009581297636032104,3210.13,753.4426636505623,4.586637550024446,0.9136244997555392,3203.11,464.4144979990222,7.973318775012222,179.77,3207.5233187750123,71.28772942410772,7.339912650073337,179.26,3201.95,611.4644979990221,7.976681224987778,179.46,3197.35,721.7378167740344,7.956681224987777,179.64,3197.033318775012,771.8078167740344,7.970043674963331,179.64,3196.1864191752084,880.8441049243522,5.520043674963331,135.77501844317567,3193.4357640507583,882.7267248999511,6.223275100048893,93.41301305026892,3203.26,637.117904123961,8.456681224987777,179.46,2852.155502000978,880.3333187750122,7.976637550024447,89.69,2652.42013102489,814.4488644509535,7.94,353.93,3201.743318775012,981.4478604489976,8.183406124938884,179.45,2658.3435808247923,780.4356330258679,7.3,346.68,3200.71,1089.9645416739854,8.28,179.45,2715.0239738994624,664.6791701756968,7.236724899951107,322.4,2757.8741049243517,614.8291265007333,7.98,318.43,,,,,,,,,,,,,,,,,,,,,3a,7,1568223547
11568,11568,618.0666085916249,1568223933.6534562,618.0666085916249,-82.3459746979912,,566.0447443167596,96.86473908780277,644.4212122244365,0.995010495185852,571.8162634631508,125.9899243563344,682.1710944602972,0.9961836338043212,591.8193398927831,71.00582266969272,686.4089039606712,0.9820268154144288,542.2589598827527,165.3871281324814,698.7899722293151,0.7629803419113159,536.9397985295478,19.57743244329749,687.6855949389847,0.7645209431648254,423.6663080351952,248.32377935358403,547.9656515173142,0.9200084209442142,422.956261670814,-33.02718772144019,540.0580291383285,0.35974425077438354,552.1788366019982,301.6960260544989,330.6423968078556,0.5993632078170776,520.9054420433199,-100.58392309965991,363.4844628598021,0.6582880020141602,708.2477283602891,327.89487296373744,144.92203944510598,0.1634538471698761,671.6418202410414,-141.47216922217544,165.86853736382557,0.03137972950935364,392.221477684306,194.38602275827407,25.34392663976201,0.18603062629699707,369.9109651149784,-28.98984466209627,172.52887135264052,0.7062805891036987,458.5828173936377,170.71804607684496,-317.67593793168624,0.02229788899421692,653.2752529901122,-17.165506185393788,85.17737496976866,0.17173776030540466,293.55848641776885,180.88473941744243,-726.1294524036003,0.002891629934310913,490.56419106161934,-111.5614618702704,-415.18387831236464,0.006478190422058106,3210.13,753.5963995214745,4.59332171832498,0.8467828167502042,3203.11,464.1471312670008,7.97666085916249,179.77,3207.5266608591633,71.04375728113824,7.359965154974938,179.26,3201.95,611.1971312670007,7.97333914083751,179.46,3197.35,721.4737921261632,7.953339140837509,179.64,3197.0366608591626,771.5437921261632,7.960017422512531,179.64,3196.243234605762,880.6669744643881,5.510017422512531,140.74469757462234,3193.6429732680745,882.7133565633501,6.236643436649959,93.48653890157479,3203.26,636.8338269711883,8.45333914083751,179.46,2852.422868732999,880.3366608591624,7.983321718324981,89.69,2652.3900522675376,814.7095470146742,7.94,353.93,3201.7466608591626,981.173809548676,8.166695704187553,179.45,2658.2867653942376,780.6729210005368,7.3,346.68,3200.71,1089.6871486895134,8.28,179.45,2714.8769221968505,664.8696689722619,7.223356563350041,322.4,2757.696974464388,615.0296515497494,7.98,318.43,,,,,,,,,,,,,,,,,,,,,3a,7,1568223547
11569,11569,618.1,1568223933.686996,618.1,,,563.0396816665948,95.74781358400408,643.1258103116437,0.9945665597915648,574.6729183905692,121.38265810183405,685.4355409744087,0.9426025152206421,588.9653860179893,70.35073187634559,685.9619560482411,0.9776544570922852,540.3587192994363,167.44182663597212,700.7724431852472,0.42453014850616455,532.4033643749642,18.29105037276823,686.5439616640208,0.6092450618743896,427.59796313041534,248.73005813543358,550.3269867924382,0.920884370803833,418.86859432453474,-35.01649107540681,537.0840349808507,0.33896151185035706,561.2173992540236,304.83769115538286,332.6930495877794,0.6776122450828552,509.61015061985483,-102.011783251752,332.04108334114306,0.9266449809074402,699.2463694555537,329.58625013705966,140.19864183555293,0.199192076921463,679.3399596199863,-128.4555532836888,156.07439696791945,0.07704102993011475,396.0332325345501,187.71958759894014,48.90799552232853,0.04301726818084717,362.6471119530837,-26.40904605989011,173.887440601641,0.7733074426651001,578.353810244792,162.92664155358887,-178.52281350681253,0.34633344411849976,648.8955923548383,-19.193411801654467,74.88416716719283,0.12159958481788635,281.2015981864442,178.47447466534427,-727.1367127131392,0.006722748279571533,515.8421313724701,-88.87339064985477,-411.730152858518,0.030214875936508182,3210.13,753.75,4.6,0.78,3203.11,463.88,7.98,179.77,3207.53,70.8,7.38,179.26,3201.95,610.93,7.97,179.46,3197.35,721.21,7.95,179.64,3197.04,771.28,7.95,179.64,3196.3,880.49,5.5,145.71,3193.85,882.7,6.25,93.56,3203.26,636.55,8.45,179.46,2852.69,880.34,7.99,89.69,2652.36,814.97,7.94,353.93,3201.75,980.9,8.15,179.45,2658.23,780.91,7.3,346.68,3200.71,1089.41,8.28,179.45,2714.73,665.06,7.21,322.4,2757.52,615.23,7.98,318.43,,,,,,,,,,,,,,,,,,,,,3a,7,1568223547
11570,11570,618.1328930128149,1568223933.719975,618.1328930128149,-82.68060918294104,,559.890464075297,96.14440425593985,640.4764286412045,0.9957789182662964,568.3370554820536,124.51896343338264,681.9296431757527,0.9959723949432372,580.1770323798808,69.95269117095819,682.2875842041525,0.9831674098968506,539.8883315926992,167.9890943989401,701.0568805729738,0.7516825199127197,535.0933432292621,19.21783973383593,685.9919930934353,0.6980449557304382,420.4581295629587,252.60699496987363,545.0217245821086,0.9151046276092528,416.6491537871309,-34.01362341451336,537.9813943937145,0.3612598776817322,561.3878203772609,305.8451611694674,336.55274111949643,0.7275156974792479,503.705267831358,-103.25618384691636,346.5581268091522,0.8029688000679016,704.2173821369455,323.4297979324631,133.96585459151225,0.32472240924835205,683.5242375965768,-154.28647539389527,159.7066918392436,0.6074996590614319,392.0288297715931,190.20252781417625,44.922862224383046,0.1856456398963928,376.5987471040583,-24.18014706038237,174.16411221958077,0.874851405620575,615.9620621387522,166.97935227060663,-135.58843737928652,0.05860370397567749,668.8473968719419,-28.023328722089506,48.68312001244811,0.18740835785865784,242.6229398632417,211.48264974507728,-772.5273652097513,0.002050340175628662,542.795729689851,-90.1171590827157,-422.51350646570205,0.021278589963912964,3210.13,753.9013078589483,4.6,0.7142139743703377,3203.11,463.6201451987628,7.976710698718517,179.77,3207.533289301281,70.55659170517025,7.356974891029616,179.26,3201.953289301281,610.6668558974814,7.973289301281482,179.46,3197.3532893012816,720.9468558974812,7.946710698718518,179.64,3197.04,771.0168558974814,7.95,179.64,3196.3164465064074,880.4011888654,5.5,152.98593443464063,3194.0440687756077,882.6638176859037,6.256578602562966,94.34943230755594,3203.263289301281,636.2736986923553,8.44013209615555,179.46,2852.9531441025188,880.34,7.99,89.69,2652.3336855897487,815.2298548012371,7.943289301281482,353.93,3201.7532893012817,980.6302772949184,8.163157205125932,179.45,2658.1773711794963,781.1402510897037,7.293421397437034,346.68,3200.7132893012813,1089.1336986923554,8.306314410251865,179.45,2714.585270743615,665.2474901730445,7.21,322.4,2757.345667032081,615.427358076889,7.986578602562966,318.43,,,,,,,,,,,,,,,,,,,,,3a,7,1568223547
11571,11571,618.1665284274256,1568223933.7536983,618.1665284274256,,,562.6405998628152,94.80355950610092,642.9471809162962,0.9951452016830444,570.4823720432316,126.43376723673526,680.6150698300228,0.995375633239746,584.398596207838,70.7101594726992,684.9679733734638,0.9821951389312744,533.5482221044216,167.41389194411914,696.7858074724847,0.9913216829299928,525.1714865622491,18.97258995801704,684.1093944463639,0.6116616129875183,414.5130361662078,252.086948514818,545.1970893080884,0.9167382717132568,419.48473813015676,-33.00632195107777,538.4994868990872,0.3039039373397827,555.6868206624604,304.4989013796208,339.6529627827403,0.7641838788986206,505.6161003990546,-105.86815916172328,353.33849969103477,0.8613594770431519,702.5009145363617,325.82371140094165,138.9013649829502,0.03871652483940125,677.6953054469645,-152.8199973337146,168.01942132161003,0.4120932817459105,403.6558851453547,184.0139157470927,65.92413803553451,0.03282627463340758,357.3384281861179,-21.90787377835662,157.83895963355138,0.9034042954444884,675.9371201861775,164.31808702621754,-58.14678735155039,0.20945632457733154,713.9190061563053,-21.130906050634863,48.496019913209885,0.10515066981315613,240.67315594880108,192.58596366272045,-787.779878207117,0.003367096185684204,561.7814519085528,-76.0640648751476,-433.4951258071442,0.024276316165924072,3210.13,754.0560307661577,4.6,0.6469431451487828,3203.11,463.3544254233377,7.973347157257439,179.77,3207.536652842742,70.3076896370505,7.333430100802075,179.26,3201.956652842742,610.3977725805951,7.976652842742561,179.46,3197.3566528427427,720.6777725805953,7.943347157257439,179.64,3197.04,770.7477725805951,7.95,179.64,3196.333264213713,880.3103732459509,5.5,160.42608814654463,3194.242517721811,882.6268187298317,6.263305685485121,95.15668225821459,3203.266652842742,635.9911612096248,8.430041471772316,179.46,2853.222227419405,880.34,7.99,89.69,2652.3067772580603,815.4955745766623,7.946652842742561,353.93,3201.756652842743,980.35446689511,8.176611370970242,179.45,2658.123554516119,781.3756989919792,7.286694314514879,346.68,3200.7166528427424,1088.851161209625,8.333222741940487,179.45,2714.437274919327,665.4392120363259,7.21,322.4,2757.167399334644,615.6291705645536,7.993305685485121,318.43,,,,,,,,,,,,,,,,,,,,,3a,7,1568223547
11572,11572,618.2,1568223933.7872574,618.2,-100.27655515446301,,556.0052366473965,97.57874490555443,639.8420702073295,0.99555766582489,566.9382461432897,128.82374833580832,684.013239615206,0.9973982572555542,580.4509118677937,70.37356362718906,685.4581659720653,0.9800111651420592,536.4535440433357,171.85235950383338,704.5790396480082,0.6287528872489929,532.2287649180172,19.320572171723725,688.5145106918865,0.6514447927474976,422.7623285872261,256.5493364640873,547.2718833335432,0.8792332410812378,420.6726418975558,-31.12542838403206,538.3127641241404,0.4398041963577271,559.1806236143063,304.5152583634469,340.61306829512364,0.7380243539810181,501.8553246794937,-103.55948215661265,352.18804421541535,0.8427377939224243,696.0957407531554,320.6035202259875,135.15629864856552,0.02009376883506775,679.4453467916118,-158.33133500304632,169.8296582532016,0.4088136255741121,395.9729374862253,197.11063163189323,61.80261319916873,0.025745540857315063,403.4812307196475,-31.798693312860326,136.15055614117205,0.6394628286361694,631.8061308438988,165.8320296025916,-118.64982195071477,0.01060187816619873,761.8535383346962,-21.891516229128126,65.0398034345078,0.10078415274620056,,,,0.0020411908626556396,509.8361897398243,-56.98748646377369,-464.01949195808226,0.0009293258190155027,3210.13,754.21,4.6,0.58,3203.11,463.09,7.97,179.77,3207.54,70.06,7.31,179.26,3201.96,610.13,7.98,179.46,3197.36,720.41,7.94,179.64,3197.04,770.48,7.95,179.64,3196.35,880.22,5.5,167.83,3194.44,882.59,6.27,95.96,3203.27,635.71,8.42,179.46,2853.49,880.34,7.99,89.69,2652.28,815.76,7.95,353.93,3201.76,980.08,8.19,179.45,2658.07,781.61,7.28,346.68,3200.72,1088.57,8.36,179.45,2714.29,665.63,7.21,322.4,2756.99,615.83,8.0,318.43,,,,,,,,,,,,,,,,,,,,,3a,7,1568223547
11573,11573,618.2330109943889,1568223933.8200653,618.2330109943889,-81.74168994763244,,558.3915919335666,99.94455958379707,642.5035086988444,0.9968301057815552,577.3445558019588,130.12136253644888,688.0519203221498,0.9979434609413148,589.8779628210849,72.45438805923841,691.1797299325337,0.98485004901886,537.8443669080823,171.62356228290295,704.5633436867568,0.6620026230812073,548.5826082504751,28.0986549756878,696.6321890655963,0.6409282684326172,434.2595179219989,256.5653409133256,546.1253093868415,0.9160706996917723,426.6550934576291,-20.753162789019814,532.0732102454975,0.03709712624549866,551.6890542394382,311.31760938252893,329.3083626130912,0.7951693534851074,521.7856019254837,-103.59278598536078,339.90514335328083,0.9084475040435792,708.3140008037849,326.2042394696805,137.90554643165115,0.479077011346817,675.4076131705909,-160.50411971707447,164.7838180993539,0.4500700533390045,428.5810200822021,189.52755773409507,49.58801910470662,0.07515949010848999,418.1995525792639,-31.77557338542824,114.30548872651606,0.6529995799064636,424.18470475845686,169.42123110934637,-359.48237876725733,0.01361393928527832,686.9070225166868,-43.20939011973035,-62.22214782468149,0.06205058097839356,231.0403403092369,244.6600903141217,-809.4732884119168,0.001490563154220581,486.0781296961074,-59.52739006773549,-499.775462438586,0.015304356813430788,3210.13,754.3618505741888,4.596698900561112,0.5139780112222196,3203.113301099439,462.82591204488887,7.9799032983166684,179.77,3207.5433010994393,69.8223208404,7.293494502805554,179.26,3201.963301099439,609.8692131443278,7.973397801122223,179.46,3197.363301099439,720.1459120448889,7.959806596633334,179.64,3197.0433010994393,770.2192131443277,7.95,179.64,3196.3533010994392,880.0384395308611,5.523107696072223,168.82363093110558,3194.641367065772,882.5371824089779,6.27,97.4620002446945,3203.273301099439,635.4327076471334,8.42,179.46,2853.754087955111,880.3433010994389,7.993301099438889,89.69,2652.25029010505,816.0240879551111,7.953301099438889,353.93,3201.763301099439,979.8126109454499,8.176795602244443,179.45,2658.013881309539,781.8476791596,7.286602198877778,346.68,3200.723301099439,1088.299309846011,8.330290105049999,179.45,2714.144751624689,665.8214637674556,7.219903298316669,322.4,2756.815041729739,616.0247648668944,7.9933978011222235,318.43,,,,,,,,,,,,,,,,,,,,,3a,7,1568223547
11574,11574,618.2666394785641,1568223933.8534868,618.2666394785641,-105.1449138498448,,556.8801674228805,104.17206714754327,637.1311227575837,0.9905899167060852,568.1630843182378,130.91820967082344,682.6343343189776,0.9974119663238524,577.5912231850604,72.04650729059871,683.8479020277647,0.9857407808303832,535.4342656591475,172.20855844792163,702.4745637190308,0.7137441039085388,523.3365464927803,23.235549456268764,685.3478811029263,0.7303116917610168,424.20377720497527,249.42733898454068,548.7119498110503,0.9294931888580322,426.0373197581197,-12.609914748324584,529.5838269822149,0.08227258920669556,570.0690612639752,310.3538092464334,333.9403719939325,0.7568005323410034,506.4396771886174,-103.53954388983401,347.78563912084394,0.6180750727653503,710.0545021124852,331.37781821484924,142.03742053856718,0.5077223777770996,684.7483783558173,-159.9641286638877,173.11616642288035,0.5482190847396851,441.12475780277987,188.49596226736625,44.045618065542214,0.4723460674285889,435.54791129858324,-38.67742380588577,84.56140376489721,0.7301673889160156,316.1179383802345,172.29539619452086,-483.05287345590887,0.018679797649383545,630.0412767271445,-55.48886656008163,-169.5145791744905,0.03904798626899719,231.0467763876209,184.3190300265701,-807.5729384394708,0.005484014749526978,507.3210929646116,-69.17773324697342,-487.04563757073004,0.018869280815124508,3210.13,754.5165416013949,4.593336052143587,0.4467210428717378,3203.1166639478565,462.55688417148696,7.989991843569238,179.77,3207.5466639478564,69.58019575433825,7.276680260717933,179.26,3201.9666639478564,609.6035481193434,7.966672104287173,179.46,3197.3666639478565,719.876884171487,7.9799836871384775,179.64,3197.0466639478564,769.9535481193434,7.95,179.64,3196.3566639478563,879.8534828678972,5.546647634994891,169.83584830478034,3194.8465008192416,882.4833768342974,6.27,98.99209627466794,3203.2766639478564,635.1502283800612,8.42,179.46,2854.0231158285133,880.3466639478564,7.996663947856412,89.69,2652.220024469292,816.293115828513,7.956663947856412,353.93,3201.766663947857,979.5402202236304,8.163344208574348,179.45,2657.956712886441,782.0898042456618,7.293327895712826,346.68,3200.7266639478557,1088.023556275774,8.300024469292282,179.45,2713.9967862943176,666.016508975672,7.2299918435692385,322.4,2756.6368107636104,616.2231729235284,7.986672104287174,318.43,,,,,,,,,,,,,,,,,,,,,3a,7,1568223547
11575,11575,618.3,1568223933.886642,618.3,-86.87650071664156,,556.3618446117905,106.20955896871313,637.6599407917543,0.9947009682655334,564.4691112744598,131.9303451986525,680.087110672955,0.9979147911071776,576.9069792320278,75.18373539388725,682.9908173519437,0.9899863004684448,530.0540722731471,174.26544886142574,696.6141429296151,0.7597189545631409,511.8558163920661,28.817715364121103,681.7625716247933,0.6822293996810913,433.23538513576943,248.39274467200678,549.2907949122487,0.9432733058929444,423.2637485623802,-8.707038638686903,527.0895496979306,0.0849744975566864,551.9700157882263,311.5774619034705,330.66060202799144,0.8204230666160583,508.9155873883437,-102.21760678881675,355.41846599458285,0.5600740313529968,705.7615450606378,323.0253103546952,138.11778168404408,0.4486994445323944,698.7743863735982,-154.81340838929148,182.48387219736583,0.4831025898456574,431.93558965974427,193.5018032810699,60.31501292761165,0.1516401469707489,431.38371692736234,-34.334109225707124,95.02167803645071,0.8151725530624391,501.3321960454952,170.35758787434037,-284.4915467729618,0.012747853994369509,721.9792903697571,-33.78739489669698,-49.40062931152186,0.3128145039081573,225.4640282724546,181.710219194036,-808.3740991254429,0.011968404054641724,499.33305517717,-80.53006214411158,-503.7859039465546,0.15864092111587524,3210.13,754.67,4.59,0.38,3203.12,462.29,8.0,179.77,3207.55,69.34,7.26,179.26,3201.97,609.34,7.96,179.46,3197.37,719.61,8.0,179.64,3197.05,769.69,7.95,179.64,3196.36,879.67,5.57,170.84,3195.05,882.43,6.27,100.51,3203.28,634.87,8.42,179.46,2854.29,880.35,8.0,89.69,2652.19,816.56,7.96,353.93,3201.77,979.27,8.15,179.45,2657.9,782.33,7.3,346.68,3200.73,1087.75,8.27,179.45,2713.85,666.21,7.24,322.4,2756.46,616.42,7.98,318.43,,,,,,,,,,,,,,,,,,,,,3a,7,1568223547
