,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.12_x,H_in-C_out.12_y,H_in-C_out.12_speed,H_in-C_out.12_angle,H_in-C_out.14_x,H_in-C_out.14_y,H_in-C_out.14_speed,H_in-C_out.14_angle,H_in-C_out.15_x,H_in-C_out.15_y,H_in-C_out.15_speed,H_in-C_out.15_angle,H_in-C_out.16_x,H_in-C_out.16_y,H_in-C_out.16_speed,H_in-C_out.16_angle,E_in-C_out.0_x,E_in-C_out.0_y,E_in-C_out.0_speed,E_in-C_out.0_angle,H_in-C_out.17_x,H_in-C_out.17_y,H_in-C_out.17_speed,H_in-C_out.17_angle,H_in-C_out.18_x,H_in-C_out.18_y,H_in-C_out.18_speed,H_in-C_out.18_angle,E_in-C_out.1_x,E_in-C_out.1_y,E_in-C_out.1_speed,E_in-C_out.1_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,H_in-C_out.20_x,H_in-C_out.20_y,H_in-C_out.20_speed,H_in-C_out.20_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,H_in-C_out.23_x,H_in-C_out.23_y,H_in-C_out.23_speed,H_in-C_out.23_angle,H_in-C_out.24_x,H_in-C_out.24_y,H_in-C_out.24_speed,H_in-C_out.24_angle,H_in-C_out.25_x,H_in-C_out.25_y,H_in-C_out.25_speed,H_in-C_out.25_angle,H_in-C_out.26_x,H_in-C_out.26_y,H_in-C_out.26_speed,H_in-C_out.26_angle,H_in-C_out.27_x,H_in-C_out.27_y,H_in-C_out.27_speed,H_in-C_out.27_angle,E_in-C_out.2_x,E_in-C_out.2_y,E_in-C_out.2_speed,E_in-C_out.2_angle,conflict_3a_x,conflict_3a_y,conflict_3a_speed,conflict_3a_angle,H_in-C_out.28_x,H_in-C_out.28_y,H_in-C_out.28_speed,H_in-C_out.28_angle,E_in-C_out.3_x,E_in-C_out.3_y,E_in-C_out.3_speed,E_in-C_out.3_angle,Q_in-J_out.0_x,Q_in-J_out.0_y,Q_in-J_out.0_speed,Q_in-J_out.0_angle,Q_in-J_out.1_x,Q_in-J_out.1_y,Q_in-J_out.1_speed,Q_in-J_out.1_angle,H_in-K_out.0_x,H_in-K_out.0_y,H_in-K_out.0_speed,H_in-K_out.0_angle,scenario,participant_id,source_file
14762,14762,445.9,1569226642.101058,445.9,,624.0585060883063,80.01922782185139,586.2942665553421,0.9980858564376832,613.1032833183888,106.5223598342952,617.8219696416897,0.9966440200805664,627.524211447789,54.687418369736726,622.1740606507881,0.9933123588562012,572.758747855032,152.94068406499642,615.4179601611933,0.8158801794052124,584.0346440486627,11.549903626035054,622.6651242851394,0.9229629635810852,505.3924962248124,185.6675140919936,494.7177270166059,0.8038398027420044,497.8698102753049,-60.01312470074889,477.7626687946565,0.923210084438324,545.70130943271,241.56375375452308,309.22180976087066,0.8536531925201416,545.1102392848616,-170.15713222426623,293.27196642362526,0.4556204676628113,697.3346746988443,300.1208136464988,164.8407425052679,0.3073235750198364,664.0399648197192,-215.70956547420792,133.3454241229828,0.8812217116355896,329.24034885785716,159.88630269037398,141.4536578132809,0.8676676154136658,356.0599460555382,-25.002634229313692,139.5533789368137,0.30791741609573364,566.7172672545826,175.8379262142389,-69.16056918335349,0.19721055030822754,488.42052036761163,-2.1562594684823004,-107.00719736573215,0.9398339986801147,176.53898774867446,266.7783256560012,-777.0870635173482,0.0250810980796814,467.47794669516156,-73.3429526034396,-467.5121395168546,0.6935257911682129,3210.9,736.91,5.59,1.03,3205.23,128.75,6.76,179.26,3204.09,225.92,6.28,179.63,3202.45,558.26,7.08,179.46,3201.9,616.27,7.42,179.46,3206.0,189.51,8.85,179.26,3196.49,858.73,7.84,179.64,3166.79,881.92,7.96,89.71,3205.2,328.26,9.42,179.77,2901.1,880.59,7.98,89.71,2929.08,880.73,7.97,89.71,2808.85,880.1,7.96,89.69,2745.55,879.77,7.98,89.69,2748.78,880.88,7.99,89.69,2689.24,879.47,7.98,89.69,2652.02,815.34,6.96,353.93,2656.11,789.88,9.35,346.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,27,1569226154
14763,14763,445.9321844668413,1569226642.1327837,445.9321844668413,,623.3469944331707,84.18102155845204,588.5820483457053,0.9988023042678832,622.4006104631533,109.13260067027045,623.9922586482239,0.996200680732727,629.8555385922004,55.643575561094686,625.5322120390742,0.9934937357902528,577.4485198862114,157.2696841658277,620.4560050364213,0.7280029654502869,554.9541467077147,10.145239922533273,607.0532612901256,0.9267879724502563,501.9243142151643,190.30341225798085,491.37866136687484,0.7830663919448853,502.2235091339031,-58.198193661651146,474.73517512083436,0.930355966091156,528.1622856538619,240.28186845448715,284.38708692799196,0.7873917818069458,552.6306796335192,-164.59815605056926,295.39234460869284,0.5150084495544434,705.9846419000304,297.744877658681,156.63356910630432,0.5911043286323547,677.7322464295671,-222.45387686158455,137.2483979133412,0.9086507558822632,333.1257918335352,152.1607952326681,105.29247150120649,0.26762551069259644,354.5834440984326,-26.73276342636917,138.30304421310498,0.299570769071579,541.2030957082213,181.2082856214011,-71.80383355246735,0.07697468996047974,465.27177411399566,-7.454305174874933,-147.57155320007018,0.8346749544143677,175.75067228601154,264.7816649569321,-780.220744531024,0.010670840740203856,467.1067844397197,-72.13424595869562,-480.4195249274235,0.7418619394302368,3210.9064368933678,737.0902330143114,5.583563106631735,1.2134514609955345,3205.233218446684,128.53114562547898,6.7632184466841325,179.26,3204.09,225.71401941221555,6.3089660201571895,179.60103397984278,3202.45,558.0314902854267,7.099310680104793,179.46,3201.903218446684,616.0318349453743,7.407126213263471,179.46,3206.003218446684,189.22355824511226,8.875747573473056,179.26,3196.49,858.4757427119536,7.859310680104794,179.64,3167.04747573473,881.92,7.963218446684133,89.71,3205.203218446684,327.9606844583757,9.40712621326347,179.77,2901.3542572880465,880.59,7.970344659947604,89.71,2929.33747573473,880.73,7.973218446684132,89.71,2809.10747573473,880.1032184466843,7.969655340052396,89.69,2745.8074757347313,879.77,7.976781553315867,89.69,2749.037475734731,880.8832184466843,7.977126213263471,89.69,2689.4942572880464,879.47,7.98,89.69,2651.997470873211,815.5652912678893,6.9664368933682645,353.93,2656.039194172949,790.1728786482561,9.353218446684133,346.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,27,1569226154
14764,14764,445.9662922571235,1569226642.1664052,445.9662922571235,-97.46203139221254,625.4300340461663,84.51587939707457,593.4233286755966,0.9986897110939026,615.8628954775394,111.09800629646608,622.1666904122633,0.994057834148407,623.6469340802747,58.38706267887238,626.7634700891039,0.9908490180969238,581.1278262765262,158.23580061227858,623.0406853353937,0.7226420044898987,546.8685835091404,16.660862159753435,604.0449264717032,0.961398422718048,499.72777402525384,192.1421331361847,494.9850557624391,0.9392596483230592,503.78639969995004,-59.889577500213896,483.2920216199887,0.936877191066742,547.1963046174585,251.65391529850825,321.8625981255832,0.7540459632873535,552.9472877328733,-161.91352538473606,300.25233842908625,0.6290311217308044,723.6733729606177,302.8531800992395,150.26915844404766,0.8503438830375671,669.1898153693321,-218.38861060175392,141.12737575163308,0.8705628514289856,351.6593327719325,150.20144506986787,127.89904577906415,0.5169169902801514,346.7572769953508,-37.712372096958475,127.32766233492866,0.5930455327033997,526.1608941345887,187.21109273964947,-62.27266322472127,0.06256482005119324,411.2814751414949,-16.63920051554657,-168.18079051467336,0.8057626485824585,178.62856729128148,264.4301446051066,-773.6852255975241,0.015472173690795897,468.3481073514576,-70.37853747333318,-485.3958025683376,0.7114583849906921,3210.913258451425,737.2812366398919,5.57674154857529,1.4078658656042289,3205.2366292257125,128.29921265155986,6.7666292257123555,179.26,3204.09,225.49572955440928,6.3396630314111935,179.57033696858883,3202.45,557.7893249744228,7.119775354274129,179.46,3201.906629225712,615.7794372972858,7.393483097150581,179.46,3206.0066292257125,188.91999891160043,8.903033805698838,179.26,3196.49,858.2062911687241,7.87977535427413,179.64,3167.3203380569885,881.92,7.966629225712356,89.71,3205.2066292257123,327.643482008751,9.393483097150579,179.77,2901.6237088312764,880.59,7.960112322862936,89.71,2929.6103380569884,880.73,7.976629225712355,89.71,2809.3803380569884,880.1066292257125,7.9798876771370635,89.69,2746.080338056988,879.77,7.973370774287645,89.69,2749.3103380569887,880.8866292257122,7.963483097150581,89.69,2689.7637088312767,879.47,7.98,89.69,2651.973595420013,815.8040457998648,6.973258451424711,353.93,2655.9641570343288,790.4832595398242,9.356629225712354,346.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,27,1569226154
14765,14765,446.0,1569226642.1996324,446.0,-80.17890653997156,625.149217901705,91.05955131421862,595.6555064353822,0.9984939098358154,603.8227347207643,118.17255251458003,621.8117329073838,0.98543518781662,620.0254480544293,62.91240726098423,625.5536571757666,0.9726762175559998,583.8587237849521,159.4953174072053,626.6210066941143,0.6013745069503784,549.1077048325194,17.485052925008702,611.733876794915,0.802026093006134,513.2260680347133,192.77102424509644,507.76201655728994,0.9353564977645874,507.1229266890641,-55.24665765325122,488.86802001297053,0.9216638207435608,552.8829124337313,256.0934661313113,331.02615890387506,0.6032940149307251,549.3436105301349,-165.88993916228532,298.63176103994016,0.7287573814392091,724.8418542702451,303.27171190910616,151.57455937282626,0.7505968809127808,660.5018679068206,-219.71801138681585,136.8644447856373,0.8581933975219727,357.56083723361235,153.43452440298876,149.63692145211832,0.8044452071189879,344.05286165805336,-29.768086899216513,110.131639656912,0.04395896196365357,525.0425430958202,183.0129544144768,-44.288025472179406,0.19395974278450007,391.07451862348915,-27.73399644735077,-175.96748036628574,0.3916123509407044,191.33059707930667,214.09978983876636,-715.5390313328633,0.08218762278556824,440.9919386485816,-64.70041769110314,-503.6724552421455,0.7808599472045898,3210.92,737.47,5.57,1.6,3205.24,128.07,6.77,179.26,3204.09,225.28,6.37,179.54,3202.45,557.55,7.14,179.46,3201.91,615.53,7.38,179.46,3206.01,188.62,8.93,179.26,3196.49,857.94,7.9,179.64,3167.59,881.92,7.97,89.71,3205.21,327.33,9.38,179.77,2901.89,880.59,7.95,89.71,2929.88,880.73,7.98,89.71,2809.65,880.11,7.99,89.69,2746.35,879.77,7.97,89.69,2749.58,880.89,7.95,89.69,2690.03,879.47,7.98,89.69,2651.95,816.04,6.98,353.93,2655.89,790.79,9.36,346.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,27,1569226154
14766,14766,446.0333823610173,1569226642.2329655,446.0333823610173,-82.03368139097431,621.9734828880678,93.02191365883655,593.8147057148936,0.9986230134963988,606.942926849164,121.43602233030165,622.5465548441388,0.987918257713318,619.8762655461006,64.93070828226013,625.4583356207037,0.9740545153617859,581.2704297987239,162.98928355058032,627.0428634417068,0.7187639474868774,553.4183535650916,22.84011406974545,613.1532155233058,0.8444110751152039,507.49054072111124,199.26791149747325,497.5704821373211,0.5814694762229919,505.71931907759836,-37.17901906802452,486.23859769580025,0.4942499399185181,556.9625366445813,256.85374940137274,326.0659141350286,0.5583047270774841,542.1055049050103,-159.88292133880418,304.1229130779803,0.7821811437606812,722.458166715662,301.2228493550317,148.4337040222112,0.8673528432846069,671.8576367893055,-223.74385041400203,134.53018025696866,0.9324484467506408,365.6516879203053,152.2937430410343,146.1026638500372,0.5353609323501587,330.2622986611067,-36.89173741239078,87.3346149393112,0.17251113057136536,542.547914104484,181.29439350591946,-17.108629865378646,0.3683537840843201,382.24768749354416,-34.59244690740438,-177.27400873812095,0.9071236848831176,212.5759425126286,200.9222507983077,-642.2127196885133,0.06681030988693237,380.94790379425217,-73.44061787242806,-562.6964763904964,0.5748400092124939,3210.930014708305,737.6536029855951,5.57,1.7702500411881328,3205.243338236101,127.8463381811842,6.763323527796542,179.26,3204.0933382361018,225.06301465338768,6.400044124915552,179.5299852916948,3202.453338236101,557.3129852367773,7.133323527796542,179.46,3201.913338236101,615.2829705284721,7.383338236101728,179.46,3206.0133382361023,188.32289698694618,8.926661763898274,179.26,3196.493338236101,857.6729411118617,7.930044124915552,179.64,3167.853720652037,881.92,7.966661763898273,89.71,3205.21,327.0162058064376,9.386676472203458,179.77,2902.1570588881377,880.5933382361017,7.9566764722034575,89.71,2930.1470588881384,880.7333382361016,7.986676472203458,89.71,2809.9170588881384,880.11,7.979985291694816,89.69,2746.617058888138,879.77,7.976676472203456,89.69,2749.8437206520366,880.89,7.946661763898272,89.69,2690.2970588881385,879.47,7.98,89.69,2651.923294111186,816.2703382910192,6.98,353.93,2655.8198970418634,791.0904412491556,9.349985291694816,346.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,27,1569226154
14767,14767,446.0666644381356,1569226642.2661984,446.0666644381356,-81.96334611483543,623.5420336362853,105.28265254631586,591.2557091965173,0.9979766607284546,606.9290877786661,129.67378613795907,624.296837780297,0.9929141998291016,621.8018324911305,74.76583808189483,627.095118307805,0.9849320650100708,578.820300527948,167.00448112701216,624.2953724480194,0.6137211322784424,551.5777130309579,28.56293902309879,610.7310269477123,0.8096277713775635,508.6621792473648,198.7932956094513,496.8361046163556,0.39007043838500977,508.5290809731922,-30.929549906799565,487.9141555356106,0.5351504683494568,553.7240245480326,257.86416325447715,325.4248362838645,0.5029583573341371,556.5309043588253,-168.61016636754317,307.425120176162,0.6153224110603333,724.1064617270938,300.1808230579662,152.62807871543242,0.8741574287414551,678.8915324965478,-220.83292191561986,136.00478670770755,0.8195447325706482,368.53006343451636,153.56877046583705,162.53535504705457,0.578619658946991,327.6768571885067,-39.5747238142997,83.13849052594337,0.12383666634559633,544.8288895048298,183.1405894960624,-9.03292718071384,0.43762439489364624,360.1146399500364,-33.95606927868483,-193.82479369700695,0.8903892636299133,177.99647441862004,229.25484045776423,-685.3967507322311,0.009952902793884277,313.60650183003463,-76.47671532889069,-609.5417429776044,0.6436029672622681,3210.9399993314405,737.8366544097457,5.57,1.9399886344915007,3205.246666443813,127.62334826449155,6.756667112372883,179.26,3204.0966664438142,224.8466811521186,6.4299979943220285,179.5200006685593,3202.456666443813,557.0766824892373,7.126667112372882,179.46,3201.916666443813,615.0366831577966,7.386666443813557,179.46,3206.0166664438143,188.02668650059329,8.92333355618644,179.26,3196.496666443813,857.4066844949153,7.9599979943220305,179.64,3168.1166490612713,881.92,7.963333556186441,89.71,3205.21,326.70335428152543,9.393332887627118,179.77,2902.4233155050847,880.5966664438134,7.963332887627118,89.71,2930.413315505084,880.7366664438135,7.993332887627117,89.71,2810.183315505084,880.11,7.970000668559322,89.69,2746.883315505085,879.77,7.983332887627117,89.69,2750.1066490612707,880.89,7.943333556186443,89.69,2690.563315505085,879.47,7.98,89.69,2651.896668449491,816.4999846231357,6.98,353.93,2655.750004679915,791.3899799432202,9.340000668559325,346.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,27,1569226154
14768,14768,446.1,1569226642.2994847,446.1,,622.5607828481393,107.78076641755035,593.9476509178025,0.9978812336921692,608.5260080252992,137.2502467802417,621.6032059899799,0.9982995390892028,627.224377268506,77.810287388208,629.4573297038503,0.9877196550369264,572.2024012958468,175.73986844852192,618.2213674632552,0.8880575299263,568.6622194850174,39.55245941352267,619.6472912743693,0.8031728267669678,497.1075246685997,204.01413953574416,489.1804470963783,0.5117940306663513,507.8900713381881,-26.15670070836165,486.9371807078002,0.6247487664222717,551.5369798850695,262.55362332942656,328.58604493544686,0.977768898010254,555.7556390478227,-167.62809071737595,307.5496391306283,0.6486573219299316,726.5949737591052,302.5198361966049,153.78145384131975,0.8988222479820251,674.504394550366,-223.19763749813183,136.86132540373742,0.9168598055839542,373.3989801471492,145.56807676353782,161.28730398668966,0.4694116115570069,325.1315076995277,-40.34734308011738,85.13340682603648,0.08835437893867493,536.9699341113261,185.54352247853,-9.87771617696643,0.5819128155708313,366.2033836952961,-30.267252493870515,-182.9596202746729,0.8455984592437744,172.22121041279502,219.46684155621415,-688.8486898753142,0.04276153445243835,280.46959084033875,-70.80545609753906,-588.3860621268146,0.5928637385368347,3210.95,738.02,5.57,2.11,3205.25,127.4,6.75,179.26,3204.1,224.63,6.46,179.51,3202.46,556.84,7.12,179.46,3201.92,614.79,7.39,179.46,3206.02,187.73,8.92,179.26,3196.5,857.14,7.99,179.64,3168.38,881.92,7.96,89.71,3205.21,326.39,9.4,179.77,2902.69,880.6,7.97,89.71,2930.68,880.74,8.0,89.71,2810.45,880.11,7.96,89.69,2747.15,879.77,7.99,89.69,2750.37,880.89,7.94,89.69,2690.83,879.47,7.98,89.69,2651.87,816.73,6.98,353.93,2655.68,791.69,9.33,346.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,27,1569226154
14769,14769,446.1332658241072,1569226642.332889,446.1332658241072,,617.2797868024636,106.26017434774515,586.8443773925554,0.9951830506324768,605.8052464840442,140.40165853769628,618.8160822433576,0.996918797492981,629.6849045470751,78.55237149759176,629.4944667113581,0.9861266613006592,576.439875359933,175.35262295205902,614.4835727781681,0.760865330696106,576.6942166439004,41.786463430159394,624.2459224687882,0.7071409821510315,501.8778116516048,204.9374967465847,487.5796369188736,0.4299945533275604,509.4811016765033,-23.81165014133697,487.97073510333405,0.6418076157569885,546.5620052738799,271.3586811605608,329.69072334434225,0.9436525106430054,555.6943936882227,-168.66806817834782,307.186180028662,0.5414505004882812,728.7791677702045,301.5760310622809,154.96370434465038,0.907357394695282,673.3802273881921,-217.49651725098832,139.55455738914182,0.8604875802993774,380.2108269750256,126.31146265934271,155.59966817434412,0.3407382071018219,330.11416612141585,-41.648588531123536,91.70692360339271,0.04657858610153198,523.8657335939714,182.2703234813952,-40.38562467251997,0.4777627587318421,364.02403011233855,-28.759235923498753,-190.5922714153536,0.8620277643203735,244.4161019640121,228.99929645613256,-620.5096878213404,0.04584673047065735,303.14498041955574,-79.50012381420206,-627.602709349235,0.1690458357334137,3210.963306329643,738.2062886150004,5.573326582410723,2.27965570294687,3205.253326582411,127.17379239607084,6.753326582410723,179.26,3204.1,224.413772143303,6.496592406517952,179.51,3202.463326582411,556.6038126488387,7.110020252767831,179.46,3201.92,614.5438329016065,7.380020252767831,179.46,3206.023326582411,187.43060758303488,8.936632912053614,179.26,3196.5,856.8738734071421,7.986673417589277,179.64,3168.6461265928583,881.9233265824107,7.973306329642893,89.71,3205.213326582411,326.07730125339197,9.396673417589275,179.77,2902.952800010447,880.6,7.960020252767831,89.71,2930.9461265928576,880.74,7.996673417589277,89.71,2810.7128000104467,880.1133265824108,7.966653164821446,89.69,2747.416126592858,879.7733265824107,7.983346835178554,89.69,2750.6361265928576,880.8933265824107,7.94,89.69,2691.096126592857,879.4733265824108,7.973346835178554,89.69,2651.846713923125,816.9595341863399,6.976673417589277,353.93,2655.606815186964,791.9927189993757,9.33,346.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,27,1569226154
14770,14770,446.16650173205085,1569226642.3662634,446.16650173205085,,619.7875271368388,108.47546861346329,584.8217424303742,0.9955941438674928,598.3376449015782,142.35868149971537,614.4152349109816,0.9976818561553956,636.1580184749321,79.65472126228269,629.1155413583027,0.9887609481811525,576.6642064554327,181.30563878879144,615.8644421129343,0.8241847157478333,581.9121122515063,42.50378189691747,624.8653330451014,0.7551953792572021,509.59688621094847,205.1753581418724,489.46592510739686,0.5115606784820557,505.73681928400947,-24.918340828241657,487.6519509096538,0.5758402943611145,546.9415472570388,268.0185363055287,339.0949512500428,0.9110466241836548,549.3923914474426,-168.0479501496973,306.77878048854666,0.6386561393737793,732.1151812519853,302.6402284057245,157.04103576451172,0.8811624050140381,673.8445429008028,-217.60686802427364,138.3192931130127,0.9401353597640992,379.18160928532853,135.8418051382133,152.94694101830638,0.4292662739753723,318.36269349623143,-30.333320468198327,61.78087342824367,0.005238831043243408,556.347653318921,177.31323567898124,-36.27478548586515,0.4436402916908264,437.87064215634246,-21.409926085515163,-174.4834297415028,0.7878693938255309,247.14511265341613,222.79273153846282,-668.3731474096887,0.02924928069114685,,,,0.13208666443824768,3210.9766006928203,738.392409699485,5.576650173205089,2.4491588334596086,3205.256650173205,126.94778822205386,6.75665017320509,179.26,3204.1,224.19773874166916,6.533151905255994,179.51,3202.466650173205,556.3678377024387,7.100049480384729,179.46,3201.92,614.2978871828233,7.370049480384729,179.46,3206.026650173205,187.13148441154186,8.953250866025453,179.26,3196.5,856.6079861435927,7.98334982679491,179.64,3168.9120138564067,881.9266501732051,7.986600692820362,89.71,3205.216650173205,325.7648837187215,9.39334982679491,179.77,2903.2153636832018,880.6,7.950049480384729,89.71,2931.2120138564073,880.74,7.99334982679491,89.71,2810.975363683202,880.1166501732051,7.9733003464101815,89.69,2747.6820138564067,879.7766501732051,7.9766996535898205,89.69,2750.9020138564074,880.8966501732051,7.94,89.69,2691.3620138564074,879.4766501732051,7.966699653589821,89.69,2651.8234487875643,817.1888619511512,6.9733498267949106,353.93,2655.5336961894877,792.2951657616632,9.33,346.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,27,1569226154
14771,14771,446.2,1569226642.3999012,446.2,-79.6878227155957,615.3184850554046,112.26811626129158,579.216022704399,0.9963590502738952,609.7571892629232,137.03924593975086,616.630241762407,0.9972474575042723,623.8979323203213,80.76454635284311,620.6477915797893,0.9910519123077391,575.806880632224,181.0226311522779,613.5656189021548,0.7832714319229126,594.4841234203901,41.52685142149952,625.5458432344856,0.7853778600692749,499.0165222132498,210.29760058569167,473.9280094319315,0.5263569355010986,502.3854937970343,-25.308562327094574,484.1708283617739,0.4698861241340637,555.5372178684612,265.8335466104697,319.13693878410146,0.9224010109901428,549.7341584375022,-169.1084356260489,307.75512729714717,0.6072455644607544,717.4661231888667,298.92914093896917,164.18974389470992,0.754241943359375,680.4251179977276,-215.70876700892262,134.62190386561548,0.9227863550186156,398.2956418472319,136.17702431623792,134.4813409093622,0.11289006471633913,325.54618486917605,-30.91565288885436,76.86995250057475,0.08830207586288452,568.7671162843624,173.2182581347609,-42.30698664746117,0.5202066302299501,669.8659723192683,-16.48768894750921,-25.37918138652415,0.5922071933746338,345.66321501497583,215.42350985840926,-611.714774648065,0.05198866128921509,,,,0.18939805030822754,3210.99,738.58,5.58,2.62,3205.26,126.72,6.76,179.26,3204.1,223.98,6.57,179.51,3202.47,556.13,7.09,179.46,3201.92,614.05,7.36,179.46,3206.03,186.83,8.97,179.26,3196.5,856.34,7.98,179.64,3169.18,881.93,8.0,89.71,3205.22,325.45,9.39,179.77,2903.48,880.6,7.94,89.71,2931.48,880.74,7.99,89.71,2811.24,880.12,7.98,89.69,2747.95,879.78,7.97,89.69,2751.17,880.9,7.94,89.69,2691.63,879.48,7.96,89.69,2651.8,817.42,6.97,353.93,2655.46,792.6,9.33,346.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,27,1569226154
