,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,E_in-C_out.8_x,E_in-C_out.8_y,E_in-C_out.8_speed,E_in-C_out.8_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,H_in-C_out.23_x,H_in-C_out.23_y,H_in-C_out.23_speed,H_in-C_out.23_angle,H_in-C_out.24_x,H_in-C_out.24_y,H_in-C_out.24_speed,H_in-C_out.24_angle,E_in-C_out.9_x,E_in-C_out.9_y,E_in-C_out.9_speed,E_in-C_out.9_angle,E_in-C_out.10_x,E_in-C_out.10_y,E_in-C_out.10_speed,E_in-C_out.10_angle,H_in-C_out.25_x,H_in-C_out.25_y,H_in-C_out.25_speed,H_in-C_out.25_angle,E_in-C_out.11_x,E_in-C_out.11_y,E_in-C_out.11_speed,E_in-C_out.11_angle,H_in-C_out.26_x,H_in-C_out.26_y,H_in-C_out.26_speed,H_in-C_out.26_angle,E_in-C_out.12_x,E_in-C_out.12_y,E_in-C_out.12_speed,E_in-C_out.12_angle,H_in-C_out.27_x,H_in-C_out.27_y,H_in-C_out.27_speed,H_in-C_out.27_angle,H_in-C_out.28_x,H_in-C_out.28_y,H_in-C_out.28_speed,H_in-C_out.28_angle,E_in-C_out.13_x,E_in-C_out.13_y,E_in-C_out.13_speed,E_in-C_out.13_angle,H_in-C_out.29_x,H_in-C_out.29_y,H_in-C_out.29_speed,H_in-C_out.29_angle,E_in-C_out.14_x,E_in-C_out.14_y,E_in-C_out.14_speed,E_in-C_out.14_angle,conflict_3a_x,conflict_3a_y,conflict_3a_speed,conflict_3a_angle,E_in-C_out.15_x,E_in-C_out.15_y,E_in-C_out.15_speed,E_in-C_out.15_angle,E_in-C_out.16_x,E_in-C_out.16_y,E_in-C_out.16_speed,E_in-C_out.16_angle,E_in-C_out.17_x,E_in-C_out.17_y,E_in-C_out.17_speed,E_in-C_out.17_angle,H_in-C_out.30_x,H_in-C_out.30_y,H_in-C_out.30_speed,H_in-C_out.30_angle,Q_in-J_out.0_x,Q_in-J_out.0_y,Q_in-J_out.0_speed,Q_in-J_out.0_angle,scenario,participant_id,source_file
18667,18667,569.0666352537917,1568621421.1085112,569.0666352537917,-72.09948755150765,638.6810835468114,-17.736553891640988,669.9863269397586,0.9977127313613892,664.8529488263998,18.8593726418806,732.1593973265437,0.9725327491760254,672.1049065538352,-42.76023024325121,725.0326532791486,0.8498576879501343,593.7291754100038,73.5645140316518,730.4958112413551,0.6735824942588806,668.5212274255241,-76.33132629498776,734.5413086706226,0.18879380822181704,506.3894732141847,143.29910750725816,609.782571335919,0.8733866214752197,515.4349186483574,-123.27569303731701,573.2739622842843,0.799345850944519,618.6373200106867,250.26947433884925,405.2767250680275,0.9802036285400392,580.3699784710842,-232.7297653555929,369.05120370089526,0.973258137702942,822.6886418785273,265.0794280883571,244.6382831198384,0.9775934219360352,750.883237367116,-229.30746479671367,215.6286430817479,0.6422688364982605,465.81717135883605,122.1501862792193,163.4727069850609,0.4861485958099365,465.1879996079305,-91.59996957449707,202.45508546080436,0.7583898305892944,748.2056626269017,136.16515452045928,4.261968069301133,0.5119762420654297,887.7118808731826,-89.64790732178787,150.23932624261963,0.5485605001449585,605.706369442195,130.26935230384194,-409.46835753248064,0.029972523450851437,1272.1001145367775,-13.014883389651162,338.3036503883858,0.05077981948852539,3208.8966729492413,756.3598680659245,4.176663525379154,357.6999717284124,3204.886663525379,155.36689912194257,7.356663525379155,179.26,3202.766663525379,523.9169179696677,7.983327050758308,179.46,3205.0,379.3868708503549,6.516682373104228,179.77,3197.356663525379,721.1935814950467,7.9666729492416914,179.64,3197.246663525379,738.1769179696678,7.993336474620847,179.64,3197.126663525379,757.3169179696678,7.983336474620846,179.64,3204.946663525379,392.71020732497584,6.54,179.77,3204.89,406.126870850355,6.480018847725072,179.77,3065.0663525379155,881.4066635253791,9.956663525379154,89.71,3202.72,694.7435909189093,8.146635253791544,179.6067012208293,2815.4930820303325,880.14,7.99,89.69,3202.68,860.45688969808,7.193355322345918,179.99,2719.393082030332,879.6266635253792,7.976672949241692,89.69,2712.7430820303325,880.43,7.973336474620845,89.69,3202.036663525379,951.6736003427718,8.486672949241692,179.45,2652.8366917969665,810.5330914541948,7.753336474620847,353.93,3200.226663525379,1140.3302355965636,7.5466541015166175,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,12,1568620805
18668,18668,569.1,1568621421.1420224,569.1,,642.3655949201525,-15.083226489276175,670.5077760542309,0.997958779335022,671.8123315737739,17.942008326340112,735.2633878416126,0.9674912095069884,682.9007747209598,-40.59384127595627,729.7518891169898,0.8611323833465576,588.3984272770582,73.99840458292594,733.1677649556246,0.9505051970481871,673.4736979078273,-78.70606845310623,736.7713023069383,0.2510982155799866,508.7072319420565,140.98999247154993,605.2121275782251,0.8880376815795898,516.3502922043052,-124.1819167781084,571.4688360009368,0.8122787475585938,620.4011580199542,248.8757511340648,404.0027610936137,0.9809677600860596,584.1707039376073,-234.99206851402454,368.8258021187037,0.9654903411865234,829.9320035681186,263.7726582483231,248.8439311192801,0.9746834635734558,740.9905606014598,-232.60797735968097,209.16799045720046,0.64162677526474,483.4401258605647,124.96609985673616,162.77473354586516,0.4791537523269653,476.70842427806986,-96.90962176011587,188.14295525244182,0.39699360728263855,751.3753022770586,141.896975611553,-1.4609666923232112,0.3823719024658203,786.0319099452313,-107.22753968771488,37.822161573171066,0.4236396551132202,595.1079628462057,137.43684518983588,-425.0166348920343,0.009410291910171507,951.7414964633424,-71.7889702959812,-24.363381534921302,0.03973188996315002,3208.89,756.5,4.18,357.73,3204.89,155.12,7.36,179.26,3202.77,523.65,7.99,179.46,3205.0,379.17,6.5,179.77,3197.36,720.93,7.96,179.64,3197.25,737.91,7.99,179.64,3197.13,757.05,7.98,179.64,3204.95,392.49,6.54,179.77,3204.89,405.91,6.46,179.77,3065.4,881.41,9.96,89.71,3202.72,694.47,8.18,179.57,2815.76,880.14,7.99,89.69,3202.68,860.22,7.17,179.99,2719.66,879.63,7.97,89.69,2713.01,880.43,7.97,89.69,3202.04,951.39,8.48,179.45,2652.81,810.79,7.75,353.93,3200.23,1140.08,7.56,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,12,1568620805
18669,18669,569.1328000418765,1568621421.174889,569.1328000418765,-130.9545368864199,643.270148460253,-20.585717776992322,669.2664472275918,0.9967631101608276,673.1209260683959,14.852522224157095,733.9455004190529,0.9735068678855896,672.0491386726436,-45.832470785244475,722.7302240955714,0.8770766258239746,604.4497204307552,67.10491219343677,737.0148800533859,0.684276282787323,670.5909189514848,-83.91471231509485,735.5931591825156,0.230518639087677,513.3861964387831,135.73426635512146,606.065262548432,0.9149565696716307,517.8725666658247,-133.5639279596858,578.0653835287558,0.7840871810913086,616.2259523226439,247.4531592887252,402.0910324357714,0.982442319393158,579.6396290378891,-228.47228924506882,370.1584273010567,0.44739097356796265,826.5830774834708,262.7300572525057,246.4950313596508,0.9691592454910278,753.4211049107507,-234.00089521595788,204.80727315673008,0.7258481979370117,481.5437752774951,125.02184157063436,154.61900100200978,0.47709137201309204,475.9157092143911,-95.93105144464144,182.88398440984798,0.08223694562911987,792.7341161946213,142.23785530784437,47.36855377669446,0.4877377450466156,839.6522083851155,-104.6240649545488,127.68893304485208,0.6031015515327454,597.1555532869704,141.1049969307311,-419.1657272634797,0.012205988168716429,652.5135504195822,-139.61933565563987,-349.37840964330695,0.025488168001174927,3208.8867199958117,756.6377601758812,4.173439991624702,357.78576007119005,3204.8932800041875,154.87727969011397,7.36,179.26,3202.773280004188,523.3908796691758,7.980159987437053,179.46,3205.0,378.95679972780283,6.503280004187649,179.77,3197.36,720.6675996649881,7.973120016750597,179.64,3197.25,737.6475996649881,7.9867199958123525,179.64,3197.13,756.7875996649881,7.983280004187648,179.64,3204.95,392.2767997278028,6.546560008375298,179.77,3204.8932800041875,405.7000797319905,6.463280004187649,179.77,3065.724720414577,881.41,9.96,89.71,3202.7232800041875,694.2010396566127,8.17671999581235,179.53391995393585,2816.022400335012,880.14,7.983439991624702,89.69,3202.68,859.9838396984892,7.17,179.99,2719.922400335012,879.63,7.97,89.69,2713.2724003350118,880.4332800041876,7.9634399916247025,89.69,3202.04,951.1111996440496,8.499680025125894,179.45,2652.780479962311,811.0425603224489,7.736879983249403,353.93,3200.233280004188,1139.8307196817384,7.56,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,12,1568620805
18670,18670,569.166296757185,1568621421.208454,569.166296757185,-66.93315572331058,644.4263696758744,-22.66140130506777,667.0285525957163,0.9961146116256714,680.1706054995226,12.782703114332252,736.5886678229477,0.9728035926818848,668.4813837654427,-50.80129087952365,718.3374159455452,0.9771854877471924,606.76354225127,68.5450733030784,739.9150040219513,0.9534544348716736,669.5748272773938,-88.59453653238045,735.1759080937953,0.1902121901512146,521.6702159486483,150.00727534164665,589.9996561784857,0.040213912725448615,521.5261798618815,-121.24580281418207,564.9685645385248,0.1441408395767212,606.7008058626917,234.36007484916888,400.3448946492195,0.9185359477996826,599.8412233722521,-230.21515979262162,381.2075233009484,0.9810611009597778,823.4321972954483,262.1110817150324,243.85964589992454,0.9687933325767516,776.7159717872299,-222.97816110511383,209.91152444561072,0.7666425704956055,452.5089670175383,106.32564359218156,171.1474096847673,0.8686127662658691,483.40538146945005,-95.12321602727195,188.87170093110595,0.054177075624465935,830.9495682441394,135.6611077775154,101.89662562995441,0.6788710355758667,812.7455988453016,-113.46457021647787,126.69206329686895,0.6116306781768799,568.7932740262447,129.00521764917258,-450.30826880659373,0.013681352138519287,608.6557001685587,-150.05079303223263,-358.27207467892686,0.020997315645217896,3208.8833703242817,756.7784463801769,4.166740648563003,357.8427044872145,3204.8966296757185,154.62940399683114,7.36,179.26,3202.7766296757186,523.1262556182386,7.970110972844504,179.46,3205.0,378.7390710782976,6.506629675718497,179.77,3197.36,720.3996259425202,7.986518702873994,179.64,3197.25,737.3796259425202,7.983370324281503,179.64,3197.13,756.5196259425202,7.9866296757185,179.64,3204.95,392.0590710782977,6.5532593514369974,179.77,3204.8966296757185,405.48570075401614,6.466629675718497,179.77,3066.0563378961315,881.41,9.96,89.71,3202.7266296757184,693.926366591083,8.173370324281501,179.49707356709652,2816.2903740574798,880.14,7.976740648563002,89.69,3202.68,859.7426633482681,7.17,179.99,2720.1903740574803,879.63,7.97,89.69,2713.5403740574798,880.4366296757187,7.956740648563002,89.69,3202.04,950.8264775639276,8.51977805431099,179.45,2652.750332918533,811.3004850303244,7.723481297126006,353.93,3200.2366296757177,1139.5761446453944,7.56,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,12,1568620805
18671,18671,569.2,1568621421.2422256,569.2,-127.87392046284741,647.5378585939671,-22.504093227599643,671.2816947408896,0.9960293173789978,667.8556246384252,8.750884211342296,729.0478051713554,0.985645592212677,675.6221650620422,-52.539668644368106,719.9472373186197,0.9781134724617004,612.5045088935233,61.657610208078566,738.4604202245675,0.7443172931671143,664.0346655042912,-86.49379733225453,725.6966873365673,0.11465364694595336,520.9796512381104,151.3137340614884,591.6231619326917,0.10730350017547607,522.8413880189936,-119.11210572711286,560.0932636100644,0.11286303400993347,601.6338513039727,229.656409336018,394.50721805228414,0.2883851230144501,582.6522261270998,-239.83787998226447,375.80566591153166,0.9571064710617064,815.9507164197632,256.73191687750887,258.2097510501188,0.7358934879302979,753.553399395397,-233.91167717182597,207.61941953366363,0.8024525642395021,453.55018305387694,104.74023142361031,166.08189288198514,0.08830907940864563,474.73174084319396,-93.75201047377442,189.92699304044982,0.20546406507492065,827.4114192988934,133.2615131482495,108.31581561079064,0.4999550879001618,784.9358044812723,-119.09307828638543,113.22219186362251,0.5483783483505249,543.053388632286,122.9073420912414,-477.71967118275205,0.013146042823791504,673.0068423860154,-123.97319636558643,-268.2111354575554,0.02921530604362488,3208.88,756.92,4.16,357.9,3204.9,154.38,7.36,179.26,3202.78,522.86,7.96,179.46,3205.0,378.52,6.51,179.77,3197.36,720.13,8.0,179.64,3197.25,737.11,7.98,179.64,3197.13,756.25,7.99,179.64,3204.95,391.84,6.56,179.77,3204.9,405.27,6.47,179.77,3066.39,881.41,9.96,89.71,3202.73,693.65,8.17,179.46,2816.56,880.14,7.97,89.69,3202.68,859.5,7.17,179.99,2720.46,879.63,7.97,89.69,2713.81,880.44,7.95,89.69,3202.04,950.54,8.54,179.45,2652.72,811.56,7.71,353.93,3200.24,1139.32,7.56,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,12,1568620805
18672,18672,569.2328611226222,1568621421.274933,569.2328611226222,-73.96959257783463,649.3224874646538,-24.26691575405951,672.5783724915259,0.9963330030441284,673.2617762102066,6.7327219435297225,732.8623836755581,0.9874695539474488,675.9475066675317,-52.78875745456746,720.3883614526338,0.9774512052536012,614.3168950431136,58.160677759933606,736.5350792562967,0.7792869210243225,667.9700862983896,-84.30802383437464,723.7302046247729,0.11954492330551147,522.7243664597612,143.37628208325202,588.3968139097752,0.30815911293029785,523.9311282444992,-119.15059118896991,557.0171711100006,0.09076449275016783,620.7341386753556,239.6786735686139,405.7091685539813,0.8462908267974854,593.6200811249001,-238.9238581310896,383.8109030302823,0.9593502283096312,829.6497936424338,260.5628659102568,249.4039195862299,0.9684035778045654,747.286964400045,-235.684490296096,204.2674096901656,0.7384065389633179,444.8291529687238,116.79308413837929,170.7795396455848,0.649666965007782,485.3800174200724,-91.32663231936031,198.22267737729413,0.2596275806427002,832.617111386974,128.73471192956174,113.54669956541464,0.4112695753574371,713.9871701337062,-136.59497870575154,81.63038913243524,0.4683970212936402,518.2864146253528,137.77459961596722,-503.1667793115962,0.01098582148551941,641.836323503236,-118.3579114437319,-194.01615429860453,0.15405353903770447,3208.876713887738,757.0547306027512,4.163286112262222,357.96900835750665,3204.903286112263,154.13682769259555,7.369858336786669,179.26,3202.78,522.5971110190222,7.9534277754755545,179.46,3205.0032861122627,378.3064027029556,6.503427775475554,179.77,3197.3632861122624,719.8671110190222,7.986855550951112,179.64,3197.2532861122627,736.8471110190222,7.976713887737778,179.64,3197.133286112263,755.9871110190222,7.980141663213332,179.64,3204.95,391.62311659069326,6.56,179.77,3204.9,405.05311659069326,6.502861122622224,179.77,3066.718611226222,881.4132861122623,9.969858336786668,89.71,3202.7332861122627,693.38382490676,8.140424989639998,179.46,2816.822888980978,880.1432861122622,7.9765722245244435,89.69,3202.68,859.2633999171201,7.1765722245244445,179.99,2720.722888980978,879.6332861122622,7.97,89.69,2714.069602868716,880.44,7.95,89.69,3202.0432861122617,950.2606804577111,8.52685555095111,179.45,2652.693711101902,811.8130306441911,7.7165722245244455,353.93,3200.24,1139.0735415803333,7.550141663213331,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,12,1568620805
18673,18673,569.2665328443549,1568621421.3084474,569.2665328443549,-67.0916638403672,651.9351206968847,-19.77636232266429,671.7970135648723,0.9959553480148317,677.8667132427138,2.654227964174903,733.0331138062013,0.9872992038726808,687.1818076976464,-50.07371975299135,729.053052950926,0.8943923711776733,616.0573804746548,55.084137107215994,740.8974959531291,0.7685405015945435,676.017739156671,-89.76621912765465,731.6961282567181,0.15338245034217834,518.4136733082452,130.25751025788296,607.3600761011322,0.9354442358016968,514.5113805854036,-140.8909761729386,575.435553998718,0.8369414806365967,620.7799193896891,241.4209153019441,403.6514698039151,0.9845227599143982,588.6517160253243,-239.06353528879262,385.6504298080423,0.96845281124115,837.2224970746138,260.0599421444809,252.2111479400705,0.9687131643295288,746.3369996702397,-224.63595275951,208.10977252201417,0.8102730512619019,450.35504850660146,119.32012517125212,146.0847163876914,0.4818678200244904,486.94537753466835,-91.6007331010164,237.4224722795818,0.5277491211891174,802.6866142414859,137.3713118967797,60.67518520273779,0.6499290466308594,696.0211322372768,-150.3505206101326,104.34740122909969,0.4710415601730346,487.98743189317366,122.50313563085592,-538.2290883648013,0.00818026065826416,720.4465592360417,-44.80914470488114,-91.42169656516336,0.059483587741851814,3208.8733467155644,757.1927846618551,4.166653284435487,358.0397189731452,3204.9066532844354,153.88765695177398,7.3799598533064605,179.26,3202.78,522.327737245161,7.9466934311290265,179.46,3205.006653284436,378.0875365116934,6.496693431129025,179.77,3197.3666532844354,719.5977372451609,7.97338686225805,179.64,3197.256653284436,736.577737245161,7.973346715564513,179.64,3197.1366532844354,755.7177372451612,7.97004014669354,179.64,3204.95,391.40088322725785,6.56,179.77,3204.9,404.83088322725786,6.536532844354872,179.77,3067.055328443549,881.4166532844354,9.979959853306461,89.71,3202.7366532844353,693.1110839607255,8.110120440080616,179.46,2817.092262754839,880.1466532844354,7.983306568870973,89.69,3202.68,859.020963520645,7.183306568870973,179.99,2720.992262754839,879.6366532844354,7.97,89.69,2714.335609470404,880.44,7.95,89.69,3202.046653284436,949.9744708229836,8.513386862258049,179.45,2652.666773724516,812.0723029015326,7.723306568870973,353.93,3200.24,1138.8210036673386,7.540040146693538,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,12,1568620805
18674,18674,569.3,1568621421.341758,569.3,-72.53918544094006,649.4476631763671,-20.6920526206862,668.6783216469871,0.9961458444595336,681.5779579739035,3.963248899544473,734.566053469075,0.9881827831268308,694.8112812029117,-50.272459980108025,731.8983175432173,0.8760465383529663,612.271325105448,54.43204334092079,737.6728702244797,0.7094736695289612,679.6162671967734,-94.09314413219252,734.4981032093015,0.2120916247367859,514.3581818325637,123.27117768462874,606.1538843224614,0.9527966380119324,512.8073824780863,-144.65687533916832,578.7974377634297,0.8407500982284546,622.0029851450819,237.7914469034687,409.412109670252,0.973928928375244,577.7850027649356,-226.23131548702995,378.8026222297509,0.6007605791091919,827.1279094216443,260.37432679199435,246.7099271599279,0.971237301826477,760.7308303034143,-229.8600609270789,210.85571638480408,0.7609196901321411,437.56328321825083,119.14550063469495,126.03214858958609,0.4595710039138794,487.5067731952137,-90.53444977606794,220.45227849054527,0.17310693860054016,830.3119442813295,142.61108662930047,83.42768528206341,0.553686261177063,680.9175877834998,-155.92165605362626,106.08220680734614,0.5017377138137817,471.4061225053885,117.99145657917356,-554.4187987820235,0.012419134378433228,741.5112050168657,-18.072674545716808,-60.57500206691577,0.056983768939971924,3208.87,757.33,4.17,358.11,3204.91,153.64,7.39,179.26,3202.78,522.06,7.94,179.46,3205.01,377.87,6.49,179.77,3197.37,719.33,7.96,179.64,3197.26,736.31,7.97,179.64,3197.14,755.45,7.96,179.64,3204.95,391.18,6.56,179.77,3204.9,404.61,6.57,179.77,3067.39,881.42,9.99,89.71,3202.74,692.84,8.08,179.46,2817.36,880.15,7.99,89.69,3202.68,858.78,7.19,179.99,2721.26,879.64,7.97,89.69,2714.6,880.44,7.95,89.69,3202.05,949.69,8.5,179.45,2652.64,812.33,7.73,353.93,3200.24,1138.57,7.53,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,12,1568620805
18675,18675,569.3340238073146,1568621421.3758516,569.3340238073146,-67.16339078853844,648.5182414673047,-22.139016413058577,670.0472168090173,0.9963853359222412,674.307350679328,3.648185161669317,732.946594098617,0.9886394143104552,690.1526379447971,-51.04687322699067,731.3745461758101,0.8487725257873535,613.2485775357612,54.10992999823226,738.4774175365193,0.7526779174804688,682.1787802062407,-94.66736885506096,737.0410886700791,0.16179969906806946,511.1716697534372,124.37365448209104,611.7938332997478,0.7480664849281311,519.3787812291648,-133.2218581327358,565.5847835516525,0.04733213782310487,626.1034844483222,235.6974876813119,412.2215718482981,0.9773279428482056,578.5385380595771,-238.04770938132117,380.38621840558375,0.9550215005874634,836.5881279358521,261.1609464003817,252.91767017059257,0.9706437587738036,751.8983180125514,-237.13873961984544,207.1926990257449,0.749528169631958,445.97465681182405,123.92662703861315,162.67668761742024,0.575026273727417,489.93377047934615,-89.15932896763172,217.5680723583592,0.18647274374961853,836.6751226434067,138.42751142919332,113.71332912467716,0.4061774909496307,693.2721626674423,-147.35995141560514,97.57164310308805,0.3720972537994385,436.63463035268836,115.33779081537351,-589.6233358410785,0.014036178588867188,640.0819774121227,-79.7214855661724,-174.24392760274975,0.11505654454231262,3208.8665976192688,757.4728999907209,4.176804761462898,358.2120714219435,3204.913402380731,153.39162620660426,7.376390477074205,179.26,3202.783402380732,521.7912119222153,7.946804761462897,179.46,3205.01,377.6488452524558,6.483195238537103,179.77,3197.37,719.0578095414841,7.970207142194347,179.64,3197.26,736.0412119222154,7.97,179.64,3197.14,755.1812119222155,7.953195238537103,179.64,3204.95,390.95884525245583,6.553195238537103,179.77,3204.9,404.38884525245584,6.552988096342754,179.77,3067.7302380731453,881.42,9.976390477074203,89.71,3202.7434023807314,692.5644071607527,8.107219045851593,179.46,2817.6287880777845,880.15,7.972988096342754,89.69,3202.68,858.5350285873358,7.207011903657245,179.99,2721.528788077785,879.64,7.973402380731449,89.69,2714.872190458516,880.44,7.960207142194347,89.69,3202.0534023807318,949.4007976378267,8.496597619268549,179.45,2652.612780954148,812.5919833163216,7.740207142194348,353.93,3200.2434023807314,1138.3114190644098,7.550414284388694,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,12,1568620805
18676,18676,569.3665222429221,1568621421.4084167,569.3665222429221,-67.16339078853844,644.3174008121363,-23.316366728765217,667.9403663157225,0.9965174198150636,663.8897840075807,1.8175669692114207,727.6840299690273,0.9867916107177734,683.8537150445857,-52.60847272729308,729.1246845367273,0.8357778191566467,608.9621859981269,53.71899984431529,738.1056057519029,0.7466191649436951,682.6288809119171,-95.3579284018742,739.1184180706723,0.13574320077896118,510.8822809394361,124.52547455807148,612.2591693725235,0.7288933992385864,519.4211827737445,-128.53003701678847,559.2536986113048,0.03969863057136536,618.9529291341969,236.42640054750342,408.5507037544812,0.9755295515060424,571.6195315192555,-243.8481067628347,373.8671320033408,0.9625835418701172,833.0273879943782,261.1153049262025,249.3911346613199,0.9725345373153688,750.1319668868985,-235.600116271999,207.2847057468037,0.7384572029113771,456.03139772380064,122.83864281507692,144.61970452831875,0.4651872515678406,495.68563008259565,-90.04284580158787,192.1620434990657,0.02468863129615784,797.1528897396672,136.04059495691862,59.68238172609085,0.4711995124816895,692.0123617764958,-144.30394904464345,89.48507974061009,0.4144003093242645,430.0622574685776,108.42779879895326,-600.7561552723798,0.010719358921051024,607.6539487662692,-98.54531081079723,-218.5610585152304,0.06849303841590881,3208.863347775708,757.6093934202728,4.183304448584424,358.3095667287664,3204.916652224292,153.15438762666852,7.363391102831152,179.26,3202.786652224292,521.5344742809152,7.953304448584424,179.46,3205.01,377.4376054210063,6.476695551415577,179.77,3197.37,718.7978220566231,7.979956672876637,179.64,3197.26,735.7844742809152,7.97,179.64,3197.14,754.9244742809152,7.9466955514155755,179.64,3204.95,390.74760542100614,6.546695551415576,179.77,3204.9,404.17760542100615,6.536738878538941,179.77,3068.055222429221,881.42,9.963391102831153,89.71,3202.746652224292,692.301169832331,8.133217794337693,179.46,2817.8855257190853,880.15,7.956738878538943,89.69,3202.68,858.3010398509607,7.223261121461059,179.99,2721.785525719085,879.64,7.976652224292213,89.69,2715.132177943377,880.44,7.969956672876637,89.69,3202.056652224292,949.1245609351621,8.493347775707788,179.45,2652.586782205662,812.8422212705002,7.7499566728766345,353.93,3200.246652224292,1138.0644309537918,7.569913345753272,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,12,1568620805
