,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,dlib_head_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.15_x,H_in-C_out.15_y,H_in-C_out.15_speed,H_in-C_out.15_angle,H_in-C_out.16_x,H_in-C_out.16_y,H_in-C_out.16_speed,H_in-C_out.16_angle,H_in-C_out.17_x,H_in-C_out.17_y,H_in-C_out.17_speed,H_in-C_out.17_angle,H_in-C_out.18_x,H_in-C_out.18_y,H_in-C_out.18_speed,H_in-C_out.18_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,H_in-C_out.20_x,H_in-C_out.20_y,H_in-C_out.20_speed,H_in-C_out.20_angle,E_in-C_out.0_x,E_in-C_out.0_y,E_in-C_out.0_speed,E_in-C_out.0_angle,E_in-C_out.1_x,E_in-C_out.1_y,E_in-C_out.1_speed,E_in-C_out.1_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,E_in-C_out.2_x,E_in-C_out.2_y,E_in-C_out.2_speed,E_in-C_out.2_angle,E_in-C_out.3_x,E_in-C_out.3_y,E_in-C_out.3_speed,E_in-C_out.3_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,H_in-C_out.23_x,H_in-C_out.23_y,H_in-C_out.23_speed,H_in-C_out.23_angle,E_in-C_out.4_x,E_in-C_out.4_y,E_in-C_out.4_speed,E_in-C_out.4_angle,E_in-C_out.5_x,E_in-C_out.5_y,E_in-C_out.5_speed,E_in-C_out.5_angle,H_in-C_out.24_x,H_in-C_out.24_y,H_in-C_out.24_speed,H_in-C_out.24_angle,E_in-C_out.6_x,E_in-C_out.6_y,E_in-C_out.6_speed,E_in-C_out.6_angle,E_in-C_out.7_x,E_in-C_out.7_y,E_in-C_out.7_speed,E_in-C_out.7_angle,H_in-C_out.25_x,H_in-C_out.25_y,H_in-C_out.25_speed,H_in-C_out.25_angle,E_in-C_out.8_x,E_in-C_out.8_y,E_in-C_out.8_speed,E_in-C_out.8_angle,conflict_3a_x,conflict_3a_y,conflict_3a_speed,conflict_3a_angle,E_in-C_out.9_x,E_in-C_out.9_y,E_in-C_out.9_speed,E_in-C_out.9_angle,E_in-C_out.10_x,E_in-C_out.10_y,E_in-C_out.10_speed,E_in-C_out.10_angle,scenario,participant_id,source_file
15948,15948,482.1666410008248,1569237195.4159572,482.1666410008248,,,561.6816871672924,28.65764003765699,630.2857799408582,0.9988967180252076,553.2629397291998,54.404887522568856,667.0405422827021,0.9986017942428588,570.6091316403617,-3.769202690060944,667.140367888778,0.9941192865371704,542.7438401121238,89.2188803654795,683.7424814571259,0.8278757929801941,574.0662760962805,-48.325069519301216,676.7527796690697,0.7338539361953735,397.77428560849637,160.85603211493918,509.3355075538706,0.9892961978912354,415.6216555661105,-81.27972860611105,484.4154136324388,0.4333862066268921,496.5850628295072,238.01608524188012,317.08468779037554,0.4230641722679138,519.8315969977314,-165.98382512334268,273.7791669244688,0.9688275456428528,664.8766040298418,303.8419564490873,159.1612388569799,0.7227447032928467,732.7330947560397,-201.9672657149905,156.69479151674318,0.8887997269630432,329.2736126368473,169.6304255535539,58.01305909340471,0.02543926239013672,413.45223895112855,-47.36269293697597,116.4641762878867,0.1973693668842316,549.1688409583884,179.41185790335018,-154.26508770673686,0.4533213376998901,794.2099807046732,-56.16684362889834,63.12953960954317,0.31936052441596985,341.2281100090957,199.6722863820979,-629.6696140307987,0.05538937449455261,889.8909527809178,-52.5271525917104,-94.8897072741998,0.011622875928878784,3209.77,723.7098691042067,5.166664100082484,0.946671799835035,3204.3166641000826,241.45351299422626,6.9666641000824825,179.75,3205.9233282001646,75.62353609348388,7.966664100082482,179.26,3205.1066641000825,138.80687199340142,7.99,179.26,3202.1166641000823,625.9835129942262,6.979992300247448,179.46,3203.52,362.16020789331884,8.083343599670071,179.77,3201.7166641000817,636.6168565938963,7.396671799835034,179.46,3205.64,225.46019249381385,7.500023099257658,179.6766794995876,3205.4466641000818,268.87687199340144,8.016671799835034,179.75,2879.3431280065993,880.48,7.980007699752552,89.69,3202.7,743.3735129942262,7.049992300247448,179.99,3202.69,757.3768488941437,7.123351299422621,179.99,2652.1200230992577,817.2531280065987,7.986671799835035,353.93,2653.9700230992576,799.8231280065986,7.986664100082482,353.36289701402205,3201.5066641000826,1006.6968719934014,8.013358999175175,179.45,3201.04,1055.4002001935664,7.749992300247447,179.45,2743.623451396206,630.4465332042893,6.956671799835035,318.43,3199.37,1229.8835591927416,8.803335899917519,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,14,1569236662
15949,15949,482.2,1569237195.4493213,482.2,,,559.1002392878427,27.381320211919608,625.8409630729237,0.9989283084869384,553.287823158533,55.075673761364285,666.7291239242287,0.998579442501068,571.2706226990373,-5.095205991644363,666.6859850317045,0.9942594170570374,532.0090188130366,91.3995719253444,680.3184657348985,0.8491062521934509,574.203429349463,-50.4112577879316,676.451741816934,0.6803447604179382,399.4585380821264,158.5752910208681,516.2241556771888,0.9702761173248292,404.0084422112745,-90.99173135563595,484.72651148736674,0.9504880905151368,490.85720302332015,238.1843562546161,314.5469981649643,0.5149720311164856,525.7726406535053,-161.59116980384172,274.5637707066592,0.9641329050064088,662.0055208203868,305.02119299913437,158.9657586937374,0.7634806036949158,720.1771267710692,-202.63829049048343,150.6768823707601,0.8896310329437256,335.06661544410235,170.41233005588913,58.8103468485908,0.010977089405059814,413.7331453049822,-46.48783955216368,119.28653300471159,0.2351570129394531,645.9622258832776,165.27048781465518,-55.72575752067462,0.5023581981658936,760.6718947929622,-55.78777994195335,47.24865679786456,0.3629899322986603,319.5051810456113,198.25825304942302,-649.4947490052374,0.04251521825790405,477.5471219007601,-85.25493298004125,-496.9668712719013,0.004758268594741821,3209.77,723.88,5.17,0.94,3204.32,241.22,6.97,179.75,3205.93,75.36,7.97,179.26,3205.11,138.54,7.99,179.26,3202.12,625.75,6.99,179.46,3203.52,361.89,8.07,179.77,3201.72,636.37,7.39,179.46,3205.64,225.21,7.47,179.66,3205.45,268.61,8.01,179.75,2879.61,880.48,7.97,89.69,3202.7,743.14,7.06,179.99,3202.69,757.14,7.1,179.99,2652.09,817.52,7.98,353.93,2653.94,800.09,7.99,353.93,3201.51,1006.43,7.98,179.45,3201.04,1055.14,7.76,179.45,2743.47,630.62,6.95,318.43,3199.37,1229.59,8.8,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,14,1569236662
15950,15950,482.2331752554842,1569237195.4826953,482.2331752554842,,,556.0289370885077,26.265072387930946,622.6262703293522,0.9988851547241212,556.9910457896225,55.44211801408739,667.6587153963544,0.9986124038696288,560.7246514874075,-6.4389330679739105,662.5770665330932,0.9944256544113159,536.9460972972599,92.17971340026158,685.5481359522707,0.8353950977325441,570.7725154152248,-52.88597300339809,675.9647840159947,0.6712413430213928,394.13051972281454,159.8003514745696,515.5313712716201,0.9652537107467652,403.2527715269417,-94.69125219699986,483.9069820881517,0.9529159665107728,488.3409848735674,232.91555506123177,315.5041349156132,0.590911865234375,518.9194625630269,-162.34488478805554,291.9671866025492,0.8746393322944641,662.3873316463028,301.7893492420958,156.4336647333276,0.7887248396873474,722.4680518416346,-202.70354199614155,153.06747315583954,0.8856663703918457,336.86478972949084,170.4171253621854,61.13652371780613,0.009330272674560549,407.1671962125772,-33.076693281164616,121.10388562971266,0.007971584796905521,683.5152393255704,165.56344674712201,-22.932953322324266,0.6259649395942688,763.732294720587,-63.167089351169864,50.38530056848131,0.2383658587932587,305.32414371101936,199.0940158494621,-661.1910052672872,0.029280483722686768,343.9211374502961,-102.63483920200274,-626.4069936516267,0.004775702953338623,3209.773317525549,724.0525113285173,5.173317525548413,0.9499525766452392,3204.32,240.99109073715945,6.963364948903173,179.75,3205.933317525549,75.09459795612696,7.97,179.26,3205.1133175255486,138.27459795612694,7.993317525548411,179.26,3202.12,625.517773211611,6.983364948903175,179.46,3203.52,361.6245979561269,8.06004742335476,179.77,3201.72,636.1245031094173,7.399952576645238,179.46,3205.643317525549,224.96118558386902,7.4865876277420655,179.64672989780635,3205.45,268.34459795612696,8.016635051096825,179.75,2879.8754020438732,880.4833175255484,7.976635051096825,89.69,3202.7,742.9044556860626,7.0633175255484115,179.99,3202.69,756.9044556860626,7.1,179.99,2652.063459795613,817.7820845183246,7.9766824744515885,353.93,2653.913459795613,800.3520845183248,7.983364948903175,353.93,3201.5133175255487,1006.1612804305784,7.996587627742065,179.45,3201.043317525549,1054.8845505327722,7.746729897806348,179.45,2743.317393824773,630.7925113285174,6.953317525548411,318.43,3199.373317525549,1229.2980577517394,8.806635051096826,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,14,1569236662
15951,15951,482.26631780520637,1569237195.5160365,482.26631780520637,-89.8320929243116,,558.153598798535,26.509212885158448,626.7260417380546,0.9988191723823548,548.826521891637,55.40424837680107,665.8226153628472,0.9987618327140808,561.6615016378516,-5.6887445662325025,663.5062319356916,0.9948117136955258,532.401390230925,92.76841517054476,683.6617141735458,0.8729417324066162,562.9512274902004,-53.907884587370866,673.8948859949663,0.6853410601615906,393.761102334168,162.52279573368068,503.615606377228,0.985180914402008,388.9466541986485,-95.406689530401,479.6448471006905,0.9498420953750608,495.12691533714036,234.44256345033975,317.850075524826,0.5057489275932312,492.53519238833536,-162.87408142854642,280.4803395390302,0.8953627347946167,662.0183833508372,302.07866683172955,157.20187853321409,0.7532322406768799,736.0737933779466,-201.78955179548117,161.3577974308839,0.9066910147666932,335.30674612848406,171.7696058956885,59.588689995203545,0.013645648956298828,397.90562321420646,-36.40070847090101,135.25164714112844,0.0737500786781311,650.7194484482487,175.9668230745436,-57.10439407695827,0.8686121702194214,756.8174303822334,-65.7139102812975,49.88281244499749,0.18654072284698486,272.25550645999283,231.520318276566,-691.1885927190393,0.031202107667922974,445.8708320133853,-76.14761346048225,-522.0265680981681,0.008960843086242676,3209.7766317805213,724.2248525870731,5.176631780520636,0.9598953415619098,3204.32,240.7624071440761,6.956736438958727,179.75,3205.936631780521,74.82945755834908,7.97,179.26,3205.1166317805205,138.00945755834908,7.996631780520637,179.26,3202.12,625.2857753635553,6.976736438958727,179.46,3203.52,361.35945755834905,8.050104658438089,179.77,3201.72,635.8792482414729,7.40989534156191,179.46,3205.646631780521,224.71261646095226,7.503158902603182,179.63347287791748,3205.45,268.0794575583491,8.023263561041272,179.75,2880.140542441651,880.4866317805206,7.983263561041273,89.69,3202.7,742.6691435830348,7.0666317805206385,179.99,3202.69,756.6691435830348,7.1,179.99,2652.036945755835,818.0439106611302,7.973368219479362,353.93,2653.886945755835,800.6139106611303,7.976736438958727,353.93,3201.516631780521,1005.8928257778284,8.013158902603182,179.45,3201.0466317805212,1054.629352899911,7.7334728779174515,179.45,2743.164938096051,630.9648525870731,6.956631780520637,318.43,3199.376631780521,1229.006403314184,8.813263561041273,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,14,1569236662
15952,15952,482.3,1569237195.5499206,482.3,-88.67489507845399,,551.4881730317022,28.402405896477127,621.5325881572131,0.9986050724983216,548.4525519376531,56.11276028900235,665.5279712633551,0.9984914064407348,560.1319165074148,-4.337450030768615,662.7633642188227,0.9536532163619996,541.1420084698411,91.16685136608083,685.2959983815848,0.8695507049560547,568.5908705737553,-51.756491142715795,675.7477130865633,0.6636658906936646,393.64169025249726,161.21683147156838,514.9315378388875,0.965946078300476,382.3744810144043,-93.69062057694359,478.2562235522223,0.9446468949317932,486.1273547246302,234.2895607760157,313.24229730416755,0.5055812597274779,524.7585638195534,-158.5169766193054,273.16746032010315,0.968436598777771,660.7155197688211,303.6172912919473,160.53598038337162,0.7856165170669556,709.4310951980726,-203.04265450360558,146.64795251543381,0.9112383127212524,338.23877354313714,171.1893119379917,63.434144934731684,0.008815586566925049,408.48683619496717,-41.651029463146294,125.59730352625229,0.27227139472961426,690.34699935597,165.34461793066401,-22.833312557906623,0.6157531142234802,781.0461673949559,-55.44177992865722,58.348599141998356,0.3405841290950775,234.88289337532132,217.62236481704247,-724.6036631434688,0.009146332740783691,481.169981602032,-65.54237385324575,-485.5594837623199,0.012599587440490723,3209.78,724.4,5.18,0.97,3204.32,240.53,6.95,179.75,3205.94,74.56,7.97,179.26,3205.12,137.74,8.0,179.26,3202.12,625.05,6.97,179.46,3203.52,361.09,8.04,179.77,3201.72,635.63,7.42,179.46,3205.65,224.46,7.52,179.62,3205.45,267.81,8.03,179.75,2880.41,880.49,7.99,89.69,3202.7,742.43,7.07,179.99,3202.69,756.43,7.1,179.99,2652.01,818.31,7.97,353.93,2653.86,800.88,7.97,353.93,3201.52,1005.62,8.03,179.45,3201.05,1054.37,7.72,179.45,2743.01,631.14,6.96,318.43,3199.38,1228.71,8.82,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,14,1569236662
15953,15953,482.335417198808,1569237195.585624,482.335417198808,-86.15604890404025,,554.0605185467191,28.890310148558093,626.3714494723156,0.9989153146743774,556.5421805154931,55.58936467033765,667.9759215107848,0.998828649520874,559.4683378209111,-3.7025275623580782,664.0834662854161,0.994635820388794,542.3745166031952,91.42096410185584,684.912006630585,0.8477229475975037,559.1497395214744,-48.46017386795328,673.9439642329733,0.7145522832870483,398.9659857663729,161.1162593660221,517.4753116770338,0.9715628027915956,394.43698650738725,-91.04707832259548,481.8634364225104,0.9545774459838868,508.8692285687043,231.40274322655586,321.5242840939174,0.4632127583026886,517.648089071548,-158.896685188446,268.5884723287857,0.9750796556472778,664.5328367591043,304.2861748282093,162.40131242038018,0.7489171624183655,698.9476604152354,-204.23597559730555,142.9782945753154,0.9083614945411682,334.5545081210618,172.4956510773236,64.01705823198111,0.010882854461669922,410.222255712895,-44.34572806298819,116.68210021097632,0.2735886573791504,608.7304530123365,182.1138552557431,-100.6558680333136,0.7646267414093018,799.0395848744713,-63.50160910818997,66.85542414767932,0.189533531665802,214.98968062232967,242.955691100146,-742.4432081798593,0.007139742374420166,498.6202703881469,-65.96407820018986,-473.1576996794935,0.010801762342453005,3209.7835417198808,724.5841694338015,5.176458280119201,0.97,3204.32,240.28207960834408,6.964166879523196,179.75,3205.943541719881,74.2802041294169,7.962916560238402,179.26,3205.123541719881,137.45666240953608,7.996458280119201,179.26,3202.123541719881,624.802079608344,6.966458280119201,179.46,3203.523541719881,360.8031206896552,8.04,179.77,3201.723541719881,635.3679127288209,7.409374840357603,179.46,3205.653541719881,224.1943710089401,7.5235417198807975,179.6058331204768,3205.45,267.5266624095361,8.033541719880798,179.75,2880.6933375904637,880.49,7.9864582801192014,89.69,3202.7,742.1785378884633,7.073541719880799,179.99,3202.69,756.1785378884633,7.082291400596005,179.99,2651.978124521073,818.5897958705832,7.977083439761598,353.93,2653.831666240954,801.1597958705831,7.97,353.93,3201.52,1005.3402041294169,8.012291400596006,179.45,3201.053541719881,1054.0937458492976,7.744792039165592,179.45,2742.847080885484,631.3241694338017,6.963541719880799,318.43,3199.383541719881,1228.3983286504895,8.816458280119203,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,14,1569236662
15954,15954,482.3655458587578,1569237195.6159961,482.3655458587578,-91.32034102449488,,555.2412567066629,27.71314116249681,624.0196712443067,0.99738609790802,553.8173291985694,57.29982309407218,666.3056263454689,0.9989223480224608,547.7598031072349,-1.6255253066634907,660.7205242128327,0.9945107102394104,536.442004979973,94.9338587195747,681.8133976071913,0.8287308216094971,556.7814056947149,-47.42560619736656,675.4718559198333,0.6988155841827393,399.9885962435227,161.51994641425824,516.1719775032815,0.9720221757888794,404.60040948175765,-82.4795686576884,485.01391122751625,0.4463543891906738,512.1335820788871,234.716449603814,322.03154749951767,0.4435423910617829,507.0866482421733,-158.52895872836476,268.18252232995087,0.9827969074249268,663.5103653632024,305.52474982616866,161.36641636981568,0.7245576977729797,715.057019760021,-203.3401100439981,153.584202346361,0.9150700569152832,343.1633100418695,172.35244738936956,67.8688178264812,0.012796640396118164,384.33344867268835,-45.02532223802593,136.87048611163263,0.6715458631515503,644.097522241368,180.13720311604027,-68.14793714359482,0.6968063116073608,805.6433278605498,-70.95811071932607,71.41414294957863,0.27948617935180664,184.83548310161154,259.19787226364275,-773.0485317936689,0.008982747793197632,494.09568356650186,-63.3354916339841,-478.30437760635436,0.013988733291625977,3209.786554585876,724.7408384655407,5.173445414124213,0.97,3204.32,240.07117898869492,6.976218343503146,179.75,3205.9465545858757,74.04218771581286,7.9568908282484285,179.26,3205.126554585876,137.21563312993706,7.993445414124213,179.26,3202.126554585876,624.591178988695,6.963445414124213,179.46,3203.526554585876,360.55907854406126,8.04,179.77,3201.726554585876,635.1449606451918,7.400336242372639,179.46,3205.6565545858757,223.96840605931598,7.526554585875787,179.5937816564969,3205.45,267.2856331299371,8.036554585875786,179.75,2880.934366870063,880.49,7.983445414124214,89.69,3202.7,741.964624402819,7.076554585875787,179.99,3202.69,755.964624402819,7.067227070621067,179.99,2651.951008727118,818.8278122841873,7.9831091717515745,353.93,2653.8075633129943,801.3978122841871,7.97,353.93,3201.52,1005.1021877158126,7.997227070621067,179.45,3201.056554585876,1053.8587423016886,7.765882101130506,179.45,2742.708489049714,631.4808384655407,6.9665545858757865,318.43,3199.3865545858757,1228.1331964429307,8.813445414124214,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,14,1569236662
15955,15955,482.4,1569237195.6507287,482.4,-91.2692219539533,,549.2994295502324,31.47191686156705,616.8550388223236,0.997631311416626,546.8406220645765,62.04059213011488,661.2109873543334,0.9988237619400024,552.4591784991201,2.090531145334161,660.1441277082911,0.9774833917617798,531.7527380399207,97.56241715105908,680.2055665478144,0.7660177946090698,550.1431697011827,-43.58684199215726,673.7008083332261,0.7466585040092468,423.1483394806121,158.1472703161919,523.0655680682027,0.972462236881256,413.99658270773085,-77.7319409460388,490.8929770229145,0.4301106631755829,495.31036115839004,235.79761047062283,312.19578714232944,0.5987106561660767,508.8400693786388,-154.35729072603692,275.0375712971387,0.9862818717956544,665.3675246375515,303.60734754474515,161.50238334627582,0.7671161890029907,699.7591918133456,-202.5216401255805,142.8265876385887,0.929155707359314,346.2169342166157,172.72635341235082,71.72694521579001,0.008815556764602661,364.3537225087429,-47.29469064877009,134.8205086833593,0.7410224676132202,683.3946603940417,179.24790098942887,-34.005595944659014,0.7240545153617859,802.9337984739598,-68.74807959492269,71.52390475294729,0.4473515450954437,188.4086372274024,264.77960612446844,-769.420054935089,0.008681893348693848,494.6756203146489,-72.60793318107972,-477.14140459653436,0.01240307092666626,3209.79,724.92,5.17,0.97,3204.32,239.83,6.99,179.75,3205.95,73.77,7.95,179.26,3205.13,136.94,7.99,179.26,3202.13,624.35,6.96,179.46,3203.53,360.28,8.04,179.77,3201.73,634.89,7.39,179.46,3205.66,223.71,7.53,179.58,3205.45,267.01,8.04,179.75,2881.21,880.49,7.98,89.69,3202.7,741.72,7.08,179.99,3202.69,755.72,7.05,179.99,2651.92,819.1,7.99,353.93,2653.78,801.67,7.97,353.93,3201.52,1004.83,7.98,179.45,3201.06,1053.59,7.79,179.45,2742.55,631.66,6.97,318.43,3199.39,1227.83,8.81,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,14,1569236662
15956,15956,482.43258418018286,1569237195.6829205,482.43258418018286,,,547.1925935458249,33.98857111122622,620.951234344203,0.9986410140991212,545.6379318242239,63.61461477973404,662.9704723960006,0.9988247156143188,540.1190157201886,0.7404069891854661,658.5101712711495,0.9957481026649476,535.1478029367265,98.40680975854544,681.2775904793531,0.7921453714370728,560.8861224951368,-43.954972878686384,676.3625481002033,0.812942385673523,402.21599457493073,164.9297382102524,515.8240388178092,0.9744958877563475,408.9817335872177,-77.38006696891281,490.43338710898576,0.4498210847377777,502.6461065560288,236.06114515387603,313.8670555954128,0.5885105133056641,504.02639819658106,-153.39907237876454,275.2499626222884,0.9864656925201416,662.482261167797,305.5644461847818,158.63635219731898,0.7249675989151001,712.3403881483779,-199.30110637947547,151.69332308819168,0.932185709476471,364.1650132199794,169.88237752368852,79.9871518279118,0.007869690656661987,359.7359890821524,-45.00437219704949,137.9215266069632,0.7925789356231691,748.8955411181634,199.7372932066721,17.61224633113903,0.08517420291900635,808.5859882562953,-69.67604042923718,70.29152122124339,0.3631484508514404,146.62406889279592,305.02987470072446,-809.9295140188797,0.012626886367797852,495.5987358405055,-78.74789781351366,-484.17789889113726,0.01586991548538208,3209.793258418019,725.0861793189326,5.1667415819817135,0.97,3204.323258418018,239.6019107387199,6.9834831639634265,179.75,3205.953258418019,73.50932655853701,7.956516836036575,179.26,3205.133258418018,136.68258497655532,7.976966327926852,179.26,3202.13,624.1251691567381,6.966516836036575,179.46,3203.53,360.019326558537,8.053033672073147,179.77,3201.733258418018,634.6488770666467,7.39,179.46,3205.66,223.46561864862846,7.5202247459451375,179.56370790990857,3205.453258418019,266.749326558537,8.017191073871986,179.75,2881.467415023445,880.49,7.976741581981712,89.69,3202.7,741.49191073872,7.070224745945138,179.99,3202.69,755.49191073872,7.05,179.99,2651.893932655854,819.3606734414631,7.99,353.93,2653.7506742378355,801.930673441463,7.9765168360365735,353.93,3201.523258418019,1004.5660681405188,7.996292090091437,179.45,3201.06,1053.3391018125915,7.7737079099085635,179.45,2742.3968543531405,631.8294377369509,6.973258418018287,318.43,3199.393258418019,1227.5400007963726,8.826292090091437,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,14,1569236662
15957,15957,482.46623139686136,1569237195.7161624,482.46623139686136,-89.19404582981905,,553.8756914176739,36.133545453598046,627.1734846921553,0.998952329158783,548.7127163635812,64.12681938012136,665.3728693215894,0.998894453048706,554.4238206488589,4.120365291314151,664.3101461185768,0.9964852929115297,538.4982152762274,99.05406265048073,683.77261046748,0.8363447189331055,570.8579796419164,-41.351855850963176,682.0833049004308,0.8614027500152588,398.80700169972914,174.40355238825813,506.6502681629135,0.9869566559791564,418.0905445328254,-75.65210833975588,493.1188226416217,0.3011545538902283,486.3621520073025,239.8437414054293,306.968055136328,0.5223889350891113,500.99048018680776,-157.8234067528292,281.16400538887217,0.9359784126281738,673.6414289769014,310.87977202937896,153.8635186849068,0.8651235103607178,700.421331257756,-201.05560369525472,154.0450689375071,0.8051372766494751,382.35271871184096,167.31274026298954,86.52441874068974,0.009204089641571043,356.24594576159933,-52.66899293401056,137.75474325050274,0.6656560301780701,774.5249032358322,209.7960858513679,39.47218769602381,0.0888700783252716,812.9904094354539,-72.43403028297297,71.0386239638164,0.4653788805007935,168.3594463581743,314.9479383102404,-789.8307072627542,0.009351879358291626,493.21872429063285,-79.78435011179612,-496.2052087145763,0.027248173952102658,3209.7966231396863,725.2577801239928,5.1633768603138686,0.97,3204.3266231396865,239.36638022197081,6.9767537206277375,179.75,3205.956623139686,73.24014882510951,7.963246279372263,179.26,3205.1366231396864,136.41677196479566,7.9635074412554765,179.26,3202.13,623.8930033616571,6.973246279372263,179.46,3203.53,359.75014882510953,8.066492558744526,179.77,3201.7366231396863,634.3998876632262,7.39,179.46,3205.66,223.21326452354015,7.510130580941608,179.54688430156938,3205.456623139686,266.4801488251095,7.993638022197082,179.75,2881.7332280352043,880.49,7.97337686031387,89.69,3202.7,741.2563802219709,7.060130580941608,179.99,3202.69,755.2563802219709,7.05,179.99,2651.8670148825117,819.6298511748904,7.99,353.93,2653.720391742825,802.1998511748905,7.9832462793722625,353.93,3201.5266231396863,1004.2935256854233,8.013115698430655,179.45,3201.06,1053.0800182441678,7.756884301569345,179.45,2742.238712434752,632.0044032636788,6.97662313968613,318.43,3199.396623139686,1227.2405405679347,8.843115698430653,179.45,,,,,,,,,,,,,,,,,,,,,,,,,3a,14,1569236662
