,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.8_x,H_in-C_out.8_y,H_in-C_out.8_speed,H_in-C_out.8_angle,H_in-C_out.9_x,H_in-C_out.9_y,H_in-C_out.9_speed,H_in-C_out.9_angle,H_in-C_out.10_x,H_in-C_out.10_y,H_in-C_out.10_speed,H_in-C_out.10_angle,H_in-C_out.11_x,H_in-C_out.11_y,H_in-C_out.11_speed,H_in-C_out.11_angle,H_in-C_out.12_x,H_in-C_out.12_y,H_in-C_out.12_speed,H_in-C_out.12_angle,E_in-C_out.3_x,E_in-C_out.3_y,E_in-C_out.3_speed,E_in-C_out.3_angle,E_in-C_out.4_x,E_in-C_out.4_y,E_in-C_out.4_speed,E_in-C_out.4_angle,H_in-C_out.13_x,H_in-C_out.13_y,H_in-C_out.13_speed,H_in-C_out.13_angle,E_in-C_out.5_x,E_in-C_out.5_y,E_in-C_out.5_speed,E_in-C_out.5_angle,E_in-C_out.6_x,E_in-C_out.6_y,E_in-C_out.6_speed,E_in-C_out.6_angle,H_in-C_out.14_x,H_in-C_out.14_y,H_in-C_out.14_speed,H_in-C_out.14_angle,E_in-C_out.7_x,E_in-C_out.7_y,E_in-C_out.7_speed,E_in-C_out.7_angle,E_in-C_out.8_x,E_in-C_out.8_y,E_in-C_out.8_speed,E_in-C_out.8_angle,H_in-C_out.15_x,H_in-C_out.15_y,H_in-C_out.15_speed,H_in-C_out.15_angle,E_in-C_out.9_x,E_in-C_out.9_y,E_in-C_out.9_speed,E_in-C_out.9_angle,H_in-C_out.16_x,H_in-C_out.16_y,H_in-C_out.16_speed,H_in-C_out.16_angle,H_in-C_out.17_x,H_in-C_out.17_y,H_in-C_out.17_speed,H_in-C_out.17_angle,H_in-C_out.18_x,H_in-C_out.18_y,H_in-C_out.18_speed,H_in-C_out.18_angle,conflict_3a_x,conflict_3a_y,conflict_3a_speed,conflict_3a_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,H_in-C_out.20_x,H_in-C_out.20_y,H_in-C_out.20_speed,H_in-C_out.20_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,scenario,participant_id,source_file
17078,17078,491.733312324297,1568708145.0344918,491.733312324297,-84.44090449932345,592.2050486516996,48.165144172632395,693.9050057693905,0.9982496500015259,575.8389395346193,75.557934191937,729.5520792674182,0.9971110224723816,581.5423838768422,14.160399287858072,726.2738982192361,0.9978432655334472,556.6480114001577,110.57478574193024,737.7841843254944,0.8352010846138,545.5070390666666,-35.36961621562151,721.3401440382328,0.9672812819480896,397.5901601602617,189.68736355589942,575.6633061225846,0.8754230737686157,443.76230722334077,-97.07578518370823,549.6223041306725,0.939333200454712,359.97834418978465,355.64496974540504,436.9409835029104,0.656349241733551,531.7115095739789,-167.30790325870947,343.657601203527,0.9749702215194702,376.0650321122928,590.8149964711229,339.0879422283591,0.8663226366043091,701.6694189776549,-180.9159020574812,197.5837555746864,0.9442541599273682,431.01457871307923,137.5212963251117,126.31357625571985,0.14711624383926392,463.2832046437993,-48.217422167491954,182.4294485405349,0.6479881405830383,805.8475956956582,172.44843005523148,66.17432924786965,0.8201095461845398,863.3988695158635,-86.20623982225905,144.82750891253758,0.6658681631088257,203.90167600659862,234.21053032986438,-845.3218837075442,0.0015102922916412356,612.3736552546773,-89.969714093027,-413.5060359071977,0.027614980936050408,3210.0466624648598,818.61326190261,3.4,1.696618345883247,3203.79,294.29016387048284,7.7933438378514674,179.77,3203.283331232429,420.95350140562346,7.956662464859412,179.77,3203.1633312324293,450.8034888002017,7.463331232429706,179.77,3197.62,726.9268137299207,6.95999369728912,179.64,3202.04,601.9135014056235,7.9766624648594115,179.46,3205.47,262.9301449623503,6.84,179.75,3205.41,276.8801449623503,6.900006302710882,179.75,3198.95,722.4468326380533,7.953331232429706,179.64,3204.39,516.2034888002017,7.329987394578238,179.46,3204.25,531.2668200326316,7.33,179.46,3027.413167361947,881.22,7.95,89.71,3203.37333123243,624.6834951029126,7.706662464859412,179.46,3202.7,709.42,0.01333753514058723,179.99,2650.2533501405624,834.8198487349388,7.303337535140589,353.93,3201.58,999.1501701731937,8.076662464859412,179.45,2661.690037816265,766.3065048970874,7.99,346.68,2665.740037816265,749.1898361295171,7.973337535140589,346.68,2768.200094540663,602.4231988755013,7.763331232429706,320.43994957831296,3206.0,715.2131421511032,9.420094540663213,359.99,,,,,,,,,,,,,,,,,3a,14,1568707580
17079,17079,491.7666213188601,1568708145.067882,491.7666213188601,-112.95845604187305,596.3254025493777,47.782747913013665,695.6411097102849,0.9984502792358398,575.9686681744913,75.2365517996261,729.7774242919168,0.99790221452713,586.442375488235,14.738591596347387,727.4188398713814,0.9980860948562622,554.598677275484,109.64239840447651,736.194007083245,0.8581478595733643,537.3244046705745,-36.32197679803146,718.3085303020907,0.9683138132095336,393.8972704767778,189.6465217374529,573.0247493138303,0.8813083171844482,444.7300791953274,-97.71697754298205,552.4755182742257,0.9162915349006652,357.3535702948031,355.15548058833764,436.8587494243701,0.7255352735519409,527.0656159145632,-168.53166612635042,331.8393654392778,0.9103767871856692,388.3650858844477,589.1299317404017,346.92143809447225,0.8514958024024963,701.9381448342807,-174.9160218584991,196.1122797147352,0.9142497777938844,430.0801900757512,138.4618159280557,126.69515257430504,0.10890457034111024,472.34916364576884,-50.19385915500175,180.49033900870688,0.7738500833511353,759.9022021696013,173.63332837153285,42.49172197024416,0.6675639748573303,878.068271754086,-78.98046882578815,142.97332536589218,0.7267765402793884,243.6079679383198,236.07154769775642,-800.5059641883015,0.0018886923789978027,610.5032022383817,-91.41259030374536,-411.4300181621705,0.03539985418319702,3210.053324263772,818.7265124841243,3.4,1.7732290333781642,3203.79,294.03035371289144,7.7766893405699635,179.77,3203.2866621318867,420.6870294491194,7.963324263772013,179.77,3203.166662131886,450.5570022404354,7.466662131886007,179.77,3197.62,726.6936507679794,6.9699863956580215,179.64,3202.04,601.6470294491194,7.9833242637720145,179.46,3205.47,262.7003128998656,6.84,179.75,3205.41,276.65031289986547,6.890013604341979,179.75,3198.95,722.1836915810054,7.956662131886008,179.64,3204.39,515.9570022404355,7.349972791316043,179.46,3204.25,531.0236643723215,7.33,179.46,3027.6763084189947,881.22,7.95,89.71,3203.376662131886,624.4270158447774,7.713324263772013,179.46,3202.7,709.42,0.006675736227985755,179.99,2650.226702944912,835.0596734957926,7.296675736227987,353.93,3201.58,998.8803673172334,8.083324263772015,179.45,2661.630081626052,766.5629841552226,7.99,346.68,2665.680081626052,749.4496462871084,7.9666757362279865,346.68,2768.0502040651286,602.6363764407045,7.766662131886008,320.5198911652642,3206.0,715.5162540016266,9.270204065129679,359.99,,,,,,,,,,,,,,,,,3a,14,1568707580
17080,17080,491.8,1568708145.1013422,491.8,,585.3933410523565,47.57914264817768,690.8200398927607,0.9984134435653688,572.6198590559927,75.46200191807823,728.1050561862131,0.9980118870735168,580.7770456721207,13.328074127018164,724.7036339676512,0.9980305433273317,547.3386208955226,110.36826779191912,732.1327267558522,0.8743627071380615,545.0142949521123,-37.38252218718814,720.1212177126313,0.9707026481628418,405.4674741869263,177.24481072993808,572.3049325166407,0.19571098685264587,440.28093091538767,-99.19643439431104,549.5996840194165,0.919036030769348,360.0351338408932,357.39133544401886,436.860362917503,0.651193380355835,522.448950007196,-171.01619019814484,339.3272404005412,0.9740644693374634,400.2617928569042,579.8356807015701,350.4604157537544,0.7048003673553467,736.5285691433952,-178.9141181683587,216.78572145274785,0.9332703351974488,424.97556448641785,146.96303634603203,161.48896134274364,0.7272077202796936,475.2475182122585,-51.72166165854972,176.9964260517999,0.7836042642593384,815.3345130383461,170.15640812499126,76.18169943821616,0.8417419195175171,883.8503907535164,-73.75653105935427,135.70547378398206,0.6784527897834778,291.4772304223608,209.8565686361318,-751.9093245580452,0.0022745728492736816,613.6662266768196,-87.59715208872385,-409.8167702803925,0.03641459345817566,3210.06,818.84,3.4,1.85,3203.79,293.77,7.76,179.77,3203.29,420.42,7.97,179.77,3203.17,450.31,7.47,179.77,3197.62,726.46,6.98,179.64,3202.04,601.38,7.99,179.46,3205.47,262.47,6.84,179.75,3205.41,276.42,6.88,179.75,3198.95,721.92,7.96,179.64,3204.39,515.71,7.37,179.46,3204.25,530.78,7.33,179.46,3027.94,881.22,7.95,89.71,3203.38,624.17,7.72,179.46,3202.7,709.42,0.0,179.99,2650.2,835.3,7.29,353.93,3201.58,998.61,8.09,179.45,2661.57,766.82,7.99,346.68,2665.62,749.71,7.96,346.68,2767.9,602.85,7.77,320.6,3206.0,715.82,9.12,359.99,,,,,,,,,,,,,,,,,3a,14,1568707580
17081,17081,491.8333223748469,1568708145.1346912,491.8333223748469,-80.84154398431292,592.4486599804167,47.03508708990231,693.9809606368997,0.9985735416412354,579.4643242531357,74.01720704294435,730.6699282113814,0.998353123664856,581.9331770257411,13.452512196546545,725.7562452827977,0.9980899095535278,546.7194602008636,109.34971983880544,731.3121262463792,0.8567872047424316,560.212086294441,-36.88774101219058,724.0545440492286,0.9701263308525084,416.027382949358,171.83376387819405,575.0309835741576,0.20131206512451166,449.5548133674962,-100.27177291337631,552.0778227088491,0.904646933078766,364.04353735479066,355.5459419512407,440.5642595771259,0.628617525100708,534.2415063960327,-169.97334927325429,337.5078190073224,0.9012454748153688,387.5709752747126,585.1956072101053,345.24349707637987,0.7501976490020752,714.8396912619173,-181.56423689028242,198.94492394365346,0.907197117805481,409.29870619374697,150.22194011965362,161.3288267762981,0.6379080414772034,467.2341811285234,-53.51540783536385,170.5159014054681,0.7709977626800537,784.1967374350497,171.1605576846917,62.95390321496418,0.6901388168334961,882.6901772081575,-69.7631551413563,134.3837673039356,0.6703842878341675,312.38952689416806,220.15982716209297,-727.1507851201808,0.0022208690643310547,607.3407896567268,-86.12298018515823,-412.4661173938102,0.05918315052986145,3210.066664474969,818.9532960744797,3.396667762515305,1.9266414621479704,3203.7933322374847,293.5100854761938,7.76,179.77,3203.29,420.1567532387091,7.966667762515305,179.77,3203.17,450.06008218864787,7.460003287545918,179.77,3197.6233322374846,726.2300756135561,6.976667762515307,179.64,3202.0433322374847,601.1134210012243,7.983335525030612,179.46,3205.4733322374846,262.2400756135561,6.869990137362249,179.75,3205.4133322374846,276.19007561355613,6.8833322374846935,179.75,3198.9533322374846,721.6534210012244,7.969996712454082,179.64,3204.3933322374846,515.4667466636173,7.3600032875459185,179.46,3204.2533322374848,530.5334144261327,7.356657899877554,179.46,3028.2065789987755,881.2233322374848,7.9666611874234725,89.71,3203.383332237485,623.9100854761938,7.733328949938778,179.46,3202.7,709.42,0.0,179.99,2650.173342100122,835.5432533363828,7.29,353.93,3201.5833322374847,998.3400887637398,8.096664474969389,179.45,2661.506687487791,767.0799145238063,7.993332237484695,346.68,2665.5600197252757,749.9665822863216,7.9633322374846935,346.68,2767.7500493131893,603.0632631990204,7.7633355250306115,320.6,3206.0,716.1099046611686,8.970049313188753,359.99,,,,,,,,,,,,,,,,,3a,14,1568707580
17082,17082,491.86726914519033,1568708145.1686652,491.86726914519033,-87.5604831824997,593.8361892074654,47.07416158935794,692.1695717900427,0.99842631816864,580.4997692643735,72.78905808894041,729.5195519022302,0.9982239007949828,587.4978913318027,11.697545560621665,725.203196418579,0.9979507327079772,558.1036780027097,106.65486297851106,733.6134821688414,0.8381242752075195,561.0832086409633,-38.65587227514269,720.4891199238547,0.9688750505447388,422.8276078331805,169.33389543763894,577.3459342446763,0.19514957070350647,450.2587303592021,-101.46722673829872,552.7449684260039,0.9099804162979126,360.09351598755273,344.5867320969294,438.99864414296167,0.9154343605041504,536.5905625069113,-169.94035730220628,334.88973929787886,0.9176810383796692,406.1992560332589,571.626498927815,349.40058521221397,0.7332640886306763,731.4162041330818,-184.89472212058902,209.10465876804355,0.9466310739517212,410.9754341297906,151.3936586989413,164.14145291894081,0.6896502375602722,475.11642527448976,-51.82602554522028,174.61089381467758,0.8220151662826538,825.840113862016,172.40970335842476,90.49261757490251,0.8622561097145081,882.4981744430769,-64.13067833193422,129.20454091631376,0.7593525648117065,315.44317832070203,199.7311869951969,-727.4132869557283,0.0020928680896759033,586.9576922423297,-87.6045333368421,-434.2709013927338,0.0594581663608551,3210.073453829038,819.0687150936473,3.39327308548096,2.0047190339379277,3203.7967269145192,293.24530066751487,7.76,179.77,3203.29,419.88857375299585,7.963273085480959,179.77,3203.17,449.805481411072,7.449819256442879,179.77,3197.626726914519,725.9958428981862,6.973273085480959,179.64,3202.0467269145192,600.8418468384767,7.976546170961919,179.46,3205.476726914519,262.0058428981862,6.900542230671363,179.75,3205.416726914519,275.9558428981863,6.88672691451904,179.75,3198.956726914519,721.3818468384767,7.9801807435571215,179.64,3204.396726914519,515.2189352401101,7.3498192564428795,179.46,3204.2567269145197,530.282208325591,7.383815316152322,179.46,3028.4781531615226,881.2267269145192,7.983634572595202,89.71,3203.386726914519,623.6453006675147,7.746907658076161,179.46,3202.7,709.42,0.0,179.99,2650.1461846838474,835.7910647598899,7.29,353.93,3201.586726914519,998.0651199239577,8.103453829038079,179.45,2661.4421886241385,767.3446993324852,7.996726914519041,346.68,2665.498915538657,750.2279724179663,7.96672691451904,346.68,2767.597288846643,603.2805225292186,7.756546170961919,320.6,3206.0,716.4052415631566,8.817288846643185,359.99,,,,,,,,,,,,,,,,,3a,14,1568707580
17083,17083,491.9,1568708145.2014222,491.9,-109.46510472773771,594.3352337299302,46.034651060506754,691.1834097117587,0.9983502626419068,577.0103217892148,71.09998090275069,728.1518402207773,0.998137593269348,587.8458695869799,10.144124519876133,725.1344015555162,0.997674822807312,559.9714408138452,104.89146799714204,732.9395241275987,0.8297227025032043,562.7221375459916,-41.14365015343189,721.2010164680609,0.9634126424789428,418.1756004567785,167.8145992401357,577.3873623380895,0.2332122027873993,457.0008508924949,-101.95090075697931,551.5256286332221,0.9271014928817748,355.82343738223466,345.25669749249215,434.0557020208346,0.6644436120986938,539.4788100923756,-169.72107561388054,339.84892608335406,0.9764339923858644,408.5086015262081,561.7878551496658,351.5042508021292,0.6836403608322144,721.9392099216889,-187.3944744079909,202.68188080066352,0.9515418410301208,424.0613261380269,151.94986139900791,155.5332267897722,0.13323858380317688,474.38221670423866,-48.94257897645858,178.82209794401768,0.7873144149780273,809.7046845060704,174.60679788201077,85.67028050362613,0.8909789919853209,866.6324009535198,-62.09925871745428,112.2359387603482,0.6962391138076782,308.9621952691148,191.8410833262089,-736.1034096821913,0.002453386783599853,549.2621255200695,-98.96536452633929,-476.63310857105233,0.07748550176620482,3210.08,819.18,3.39,2.08,3203.8,292.99,7.76,179.77,3203.29,419.63,7.96,179.77,3203.17,449.56,7.44,179.77,3197.63,725.77,6.97,179.64,3202.05,600.58,7.97,179.46,3205.48,261.78,6.93,179.75,3205.42,275.73,6.89,179.75,3198.96,721.12,7.99,179.64,3204.4,514.98,7.34,179.46,3204.26,530.04,7.41,179.46,3028.74,881.23,8.0,89.71,3203.39,623.39,7.76,179.46,3202.7,709.42,0.0,179.99,2650.12,836.03,7.29,353.93,3201.59,997.8,8.11,179.45,2661.38,767.6,8.0,346.68,2665.44,750.48,7.97,346.68,2767.45,603.49,7.75,320.6,3206.0,716.69,8.67,359.99,,,,,,,,,,,,,,,,,3a,14,1568707580
17084,17084,491.93331687819864,1568708145.2347305,491.93331687819864,-109.5714223557648,605.7713266407927,44.24451738610591,695.5603467976888,0.9982037544250488,576.5739818369427,69.76713402434122,728.5242103831201,0.9981182813644408,587.9803354423476,7.158794016480537,724.8641580252817,0.9975299835205078,562.9458939761523,104.54584490799951,735.2363598980005,0.8353952169418335,545.9673132578778,-45.04661248062813,713.9372942966437,0.9454843997955322,411.53569531789236,174.93618893592807,567.9136906114503,0.5348774790763855,458.841687199121,-93.93926367738257,548.6118523683326,0.3272236883640289,360.86246559862855,359.91733065763015,434.3639474863792,0.7249930500984192,535.1698967953887,-169.51453396241482,338.8292032805666,0.9785617589950562,403.91725914563835,566.3719910432292,351.15585590276635,0.6822018623352051,713.2226680077607,-189.15986101732602,197.4089679782197,0.9577593803405762,421.64240482567146,149.4258019322686,170.2647074285623,0.5450252294540405,470.4586861691705,-46.61134585791739,175.69121132272994,0.7607386112213135,783.854361632523,169.68097938474753,82.09820657595593,0.873246431350708,868.5516689602364,-55.97347078622125,107.71185911810062,0.7435550689697266,290.0675978141557,187.6269101829441,-759.4135890157722,0.001586824655532837,538.8739148659793,-98.8029582570828,-485.0546467659763,0.04829928278923035,3210.0833316878197,819.2932773858753,3.3833366243602807,2.1532971320369136,3203.8,292.7334600378708,7.736678185260983,179.77,3203.29,419.36346497441116,7.95666831218014,179.77,3203.17,449.3101234135105,7.453326751279438,179.77,3197.63,725.5367818526097,6.97333168781986,179.64,3202.05333168782,600.3134649744112,7.97333168781986,179.46,3205.48,261.55011354042966,6.923336624360282,179.75,3205.42,275.5034452282496,6.883336624360282,179.75,3198.96,720.8534649744113,7.99,179.64,3204.40333168782,514.7334551013304,7.356658439099299,179.46,3204.26333168782,529.7934551013303,7.40666831218014,179.46,3029.006535025589,881.23,7.986673248720561,89.71,3203.39,623.1334600378707,7.730014809621262,179.46,3202.7,709.42,0.0,179.99,2650.0966781852608,836.26988152303,7.28666831218014,353.93,3201.59333168782,997.5268015987716,8.119995063459578,179.45,2661.3200296192426,767.8598716499492,7.990004936540421,346.68,2665.376697931423,750.739871649949,7.97333168781986,346.68,2767.300074048106,603.6998963326512,7.75333168781986,320.5200394923234,3206.0,716.9631984012285,8.520074048106313,359.99,,,,,,,,,,,,,,,,,3a,14,1568707580
17085,17085,491.9666103853363,1568708145.2680154,491.9666103853363,-81.0573011053358,605.8827843954731,43.80651398521118,697.0390352123873,0.9983189105987548,572.5141358200176,69.2572011573933,728.2638889414218,0.998443603515625,591.6107760094018,6.7834095017364735,725.9792962475689,0.9977571964263916,556.3384001176673,105.45046335086731,733.8906374008524,0.8399118781089783,568.0580319563136,-45.59851351709071,719.6007963169483,0.9443824291229248,410.86329875555253,177.20470811686283,563.3886793157071,0.5982500910758972,456.79981223813456,-92.55886872552144,543.9594821617771,0.3070144057273865,363.7946960358834,364.2924450495161,430.113768584344,0.7346455454826355,540.6669126995477,-168.45852382953785,337.1566601518942,0.9085911512374878,388.4464597668869,590.2889433730052,343.0290804077305,0.8471515774726868,717.0604489925167,-188.7574740556884,198.249544183806,0.9492572546005248,415.91718819876917,148.06775883668425,172.437913612892,0.5128278732299805,468.7322746245874,-45.71118100978103,177.550007885075,0.7450028657913208,739.2462309961693,175.2995980400689,51.718585857060134,0.9084339141845704,871.3524784740746,-53.35816694540764,118.2275495148358,0.7381771206855774,400.1507501288058,179.39411444759705,-641.3541686549768,0.0020128190517425537,537.5728623217924,-93.95703733301542,-485.15492680398285,0.026343345642089844,3210.0866610385333,819.4064753101434,3.376677922932737,2.226542847739898,3203.8,292.47710003291036,7.7133727302645765,179.77,3203.29,419.0971169173095,7.953338961466367,179.77,3203.17,449.06042210997765,7.466644154134528,179.77,3197.63,725.3037273026457,6.976661038533633,179.64,3202.0566610385326,600.0471169173095,7.976661038533633,179.46,3205.48,261.3203883411794,6.916677922932737,179.75,3205.42,275.27704937971305,6.876677922932737,179.75,3198.96,720.5871169173096,7.99,179.64,3204.4066610385325,514.4870831485113,7.373305192668158,179.46,3204.266661038533,529.5470831485112,7.403338961466368,179.46,3029.2728830826904,881.23,7.9733558458654725,89.71,3203.39,622.8771000329102,7.700050653197313,179.46,3202.7,709.42,0.0,179.99,2650.0733727302645,836.5095947744214,7.2833389614663675,353.93,3201.5966610385326,997.2537948402423,8.129983115600895,179.45,2661.2601013063945,768.1195610056233,7.980016884399105,346.68,2665.313440267861,750.9995610056234,7.976661038533633,346.68,2767.1502532659865,603.9096454276187,7.7566610385336325,320.44013507519287,3206.0,717.2362051597577,8.370253265986573,359.99,,,,,,,,,,,,,,,,,3a,14,1568707580
17086,17086,492.0,1568708145.3013964,492.0,-89.18145520091522,602.143113572546,42.96409417249381,696.2439574385228,0.9982024431228638,575.3522605975163,68.95074861329994,730.5026922146299,0.998070240020752,591.4082475546752,5.667005363615448,726.9195573645543,0.9974750280380248,558.5717417775799,104.20740026687487,735.4132819949898,0.8281135559082031,559.8142465865583,-49.500432155255254,718.7982803341687,0.9346431493759156,410.4145569255993,177.6989189003935,563.0218254956843,0.5902148485183716,455.5559267122151,-92.09597187155977,543.5617743210066,0.3002601265907288,364.23209474603095,360.8073446179188,429.4678442584514,0.7330651283264159,537.3854482024743,-170.7695956529306,334.173657504686,0.979645609855652,395.1093635164525,571.5516365938504,348.6619627862814,0.8756062388420105,713.5851631006517,-189.4711113597703,195.525362797304,0.9581190943717957,413.8090107469465,147.38849805043043,174.4221798820246,0.4529111385345459,468.6743372551754,-48.51263834729448,177.35067469644196,0.798511803150177,737.1498175439048,175.4699911719046,60.9311918183709,0.9319493770599364,877.8607245208615,-51.41856220688239,124.6941771743618,0.7321452498435974,343.4407528186664,179.5897858959431,-701.2712306583246,0.0029055476188659672,520.8037314282785,-85.75794250790206,-502.36738976604414,0.027546316385269158,3210.09,819.52,3.37,2.3,3203.8,292.22,7.69,179.77,3203.29,418.83,7.95,179.77,3203.17,448.81,7.48,179.77,3197.63,725.07,6.98,179.64,3202.06,599.78,7.98,179.46,3205.48,261.09,6.91,179.75,3205.42,275.05,6.87,179.75,3198.96,720.32,7.99,179.64,3204.41,514.24,7.39,179.46,3204.27,529.3,7.4,179.46,3029.54,881.23,7.96,89.71,3203.39,622.62,7.67,179.46,3202.7,709.42,0.0,179.99,2650.05,836.75,7.28,353.93,3201.6,996.98,8.14,179.45,2661.2,768.38,7.97,346.68,2665.25,751.26,7.98,346.68,2767.0,604.12,7.76,320.36,3206.0,717.51,8.22,359.99,,,,,,,,,,,,,,,,,3a,14,1568707580
17087,17087,492.0333485956303,1568708145.3347373,492.0333485956303,-113.55220311402607,590.1538127194668,41.79298357936515,692.4779296930612,0.9978062510490416,574.6929988797563,68.01069315956859,723.6717034734468,0.998210608959198,591.2557064150923,5.4813950125308395,727.268373125878,0.9976296424865724,551.4854248746542,103.82873117527114,733.094610552921,0.7973905801773071,565.2331000063332,-50.794435382908794,719.7151219231987,0.94214129447937,414.271853137043,175.9816540716547,565.5996583363615,0.6203222274780273,455.194820408854,-93.26543499215981,543.2930892384709,0.2857970595359802,358.5621187013544,358.03492738071475,428.16998064060476,0.6795367598533629,522.8721020608841,-174.66993453740787,327.12000648712103,0.9779734611511228,399.9932619292408,571.6507525968526,355.1627365889956,0.8898081183433533,717.7314819211389,-194.07417025637668,191.299442192964,0.9064146280288696,408.83696610905196,147.3605053737197,174.55113222279374,0.3790032863616944,464.65924532230207,-47.64335296995686,174.00252853514363,0.7559669017791748,714.6896096169245,176.8211987922358,51.99482564708865,0.9429638385772704,877.4558548348413,-49.76916199760961,128.85929661256202,0.7049742937088013,296.2139091729065,209.42366878832212,-750.4759255063158,0.0020429491996765137,483.86503535160864,-79.33614185034642,-534.5442238258344,0.19574135541915894,3210.096669719126,819.6333852251428,3.366665140436978,2.3500228934453333,3203.8,291.9632158136473,7.69,179.77,3203.29,418.56654609452124,7.95,179.77,3203.17,448.56322039233635,7.473330280873956,179.77,3197.633334859563,724.8365598305885,6.983334859563023,179.64,3202.063334859563,599.5165460945212,7.966660561747911,179.46,3205.48,260.85989469015146,6.8999954213109325,179.75,3205.42,274.8198946901515,6.880004578689068,179.75,3198.963334859563,720.0532112349582,7.99,179.64,3204.41,513.9932203923363,7.396669719126044,179.46,3204.27,529.0532203923364,7.379990842621868,179.46,3029.8067887650423,881.23,7.970004578689068,89.71,3203.393334859563,622.3632158136472,7.680004578689068,179.46,3202.7,709.42,0.0,179.99,2650.0233211234963,836.9934447481006,7.286669719126045,353.93,3201.603334859563,996.7098763753952,8.126660561747912,179.45,2661.1399725278657,768.6367841863527,7.97,346.68,2665.189972527866,751.5167841863527,7.973330280873956,346.68,2766.8432616005375,604.3300961524704,7.763334859563023,320.27996337048745,3206.0,717.7767887650418,8.1599725278656,359.99,,,,,,,,,,,,,,,,,3a,14,1568707580
